,CARD,DECK,BALLOT,S83.Q1,S83.Q2.1,S83.Q2.2,S83.Q3,S83.Q4A,S83.Q4B,S83.Q4C,S83.Q4D,S83.Q5.1,S83.Q5.2,S83.Q6.1,S83.Q6.2,S83.Q7,S83.Q8,S83.Q9,S83.Q10,S83.Q11,S83.Q12,S83.Q13,S83.Q14A.n,S83.Q14B.n,S83.Q14C.n,S83.Q14D.n,S83.Q15A.n,S83.Q15B.n,S83.Q15C.n,S83.Q15D.n,S83.Q16.n,S83.Q17A.n,S83.Q17B.n,S83.Q18,S83.Q19,S83.Q20,S83.Q21,S83.Q22,S83.Q23A,S83.Q23B,S83.Q24,S83.Q25A.1,S83.Q25A.2,S83.Q25A.3,S83.Q25A.4,S83.Q25A.5,S83.Q25A.6,S83.Q25A.7,S83.Q25A.8,S83.Q25A.9,S83.Q25A.10,S83.Q25B,S83.Q26,S83.Q27,S83.Q28,S83.Q29,S83.Q30,S83.Q31,S83.Q32,S83.Q33,S83.Q34,S83.Q35,S83.Q36,S83.Q37,S83.Q38,S83.Q39,S83.Q40,S83.Q41,S83.Q42,S83.Q43,S83.Q44,S83.Q45,S83.Q46,S83.Q47,S83.Q48,CARD..1,DECK..1,BALLOT..1,S83.Q49,S83.V50,S83.V51,S83.V52,S83.V53,S83.V54,S83.V55
10,1.0,83.0,11.0,2.0,9.0,42.0,4.0,14.0,2.0,99.0,99.0,9.0,10.0,3.0,33.0,5.0,2.0,3.0,2.0,8.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,83.0,11.0,1.0,1.0,2.0,4.0,1.0,22320.0,11191.0
11,1.0,83.0,12.0,2.0,1.0,43.0,3.0,9.0,2.0,99.0,99.0,7.0,13.0,5.0,53.0,5.0,2.0,3.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,1.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,2.0,1.0,5.0,1.0,5.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,83.0,12.0,1.0,1.0,2.0,3.0,2.0,32202.0,12584.0
12,1.0,83.0,13.0,2.0,4.0,43.0,3.0,7.0,2.0,99.0,99.0,12.0,8.0,7.0,72.0,5.0,2.0,3.0,2.0,12.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,83.0,13.0,2.0,1.0,2.0,2.0,4.0,30312.0,21681.0
13,1.0,83.0,14.0,2.0,12.0,42.0,4.0,10.0,2.0,99.0,99.0,11.0,21.0,9.0,93.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,,,,,,,,,,,,3.0,2.0,3.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,83.0,14.0,2.0,0.0,2.0,1.0,1.0,11202.0,32051.0
14,1.0,83.0,15.0,2.0,5.0,43.0,3.0,6.0,2.0,99.0,99.0,6.0,8.0,2.0,21.0,4.0,3.0,1.0,3.0,10.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,3.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,83.0,15.0,1.0,2.0,1.0,5.0,2.0,31302.0,31771.0
15,1.0,83.0,16.0,2.0,4.0,43.0,3.0,6.0,2.0,0.0,0.0,5.0,7.0,2.0,21.0,5.0,1.0,1.0,1.0,12.0,1.0,2.0,,,,,,,,,,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,83.0,16.0,1.0,2.0,1.0,7.0,4.0,20202.0,32481.0
16,1.0,83.0,17.0,2.0,4.0,43.0,3.0,7.0,2.0,99.0,99.0,4.0,16.0,9.0,93.0,4.0,2.0,2.0,2.0,12.0,1.0,2.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,83.0,17.0,2.0,0.0,3.0,0.0,2.0,32110.0,32091.0
17,1.0,83.0,18.0,2.0,2.0,43.0,3.0,8.0,2.0,99.0,99.0,12.0,20.0,9.0,93.0,5.0,1.0,1.0,1.0,9.0,1.0,3.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,18.0,1.0,1.0,1.0,5.0,2.0,32303.0,32441.0
18,1.0,83.0,19.0,2.0,11.0,42.0,4.0,10.0,2.0,0.0,0.0,3.0,18.0,5.0,53.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,3.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,83.0,19.0,1.0,0.0,2.0,2.0,1.0,21220.0,43305.0
19,1.0,83.0,20.0,2.0,11.0,42.0,4.0,12.0,2.0,0.0,0.0,1.0,6.0,5.0,58.0,3.0,2.0,2.0,3.0,12.0,5.0,3.0,,,,,,,,,,,,3.0,3.0,1.0,3.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,83.0,20.0,1.0,0.0,1.0,3.0,2.0,22222.0,42445.0
20,1.0,83.0,21.0,2.0,10.0,42.0,4.0,13.0,2.0,99.0,99.0,1.0,8.0,6.0,63.0,3.0,2.0,3.0,5.0,9.0,5.0,4.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,83.0,21.0,1.0,1.0,2.0,5.0,3.0,32202.0,44115.0
21,1.0,83.0,22.0,2.0,8.0,42.0,4.0,15.0,2.0,99.0,99.0,8.0,5.0,7.0,74.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,6.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,83.0,22.0,1.0,3.0,1.0,6.0,4.0,22322.0,43655.0
22,1.0,83.0,23.0,2.0,7.0,42.0,4.0,15.0,2.0,99.0,99.0,8.0,7.0,6.0,61.0,5.0,2.0,2.0,4.0,4.0,6.0,2.0,,,,,,,,,,,,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,23.0,1.0,3.0,0.0,7.0,4.0,31303.0,41401.0
23,1.0,83.0,24.0,2.0,10.0,42.0,4.0,13.0,2.0,99.0,99.0,9.0,5.0,7.0,73.0,4.0,2.0,2.0,5.0,4.0,6.0,2.0,,,,,,,,,,,,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,6.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,83.0,24.0,1.0,3.0,3.0,3.0,4.0,303.0,41441.0
24,1.0,83.0,25.0,2.0,3.0,43.0,3.0,8.0,2.0,99.0,99.0,3.0,5.0,5.0,53.0,4.0,1.0,1.0,1.0,11.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,4.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,83.0,25.0,1.0,0.0,3.0,3.0,2.0,21100.0,41491.0
25,1.0,83.0,26.0,2.0,4.0,43.0,3.0,7.0,2.0,0.0,0.0,3.0,20.0,7.0,74.0,4.0,2.0,2.0,2.0,12.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,83.0,26.0,2.0,0.0,2.0,4.0,2.0,32302.0,41271.0
26,1.0,83.0,27.0,2.0,11.0,42.0,4.0,10.0,3.0,99.0,99.0,5.0,12.0,2.0,21.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,83.0,27.0,1.0,1.0,1.0,6.0,4.0,22302.0,12554.0
27,1.0,83.0,28.0,2.0,1.0,44.0,4.0,9.0,3.0,99.0,99.0,7.0,17.0,5.0,58.0,5.0,1.0,1.0,1.0,12.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,28.0,1.0,1.0,2.0,5.0,4.0,32313.0,31571.0
28,1.0,83.0,29.0,2.0,2.0,43.0,3.0,8.0,3.0,99.0,99.0,8.0,10.0,4.0,41.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,29.0,1.0,3.0,2.0,5.0,4.0,32303.0,31111.0
29,1.0,83.0,30.0,2.0,4.0,43.0,3.0,6.0,3.0,99.0,99.0,4.0,17.0,5.0,58.0,5.0,1.0,1.0,1.0,12.0,1.0,2.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,2.0,3.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,83.0,30.0,2.0,0.0,2.0,3.0,1.0,22201.0,31741.0
30,1.0,83.0,31.0,2.0,9.0,42.0,4.0,13.0,3.0,0.0,0.0,12.0,17.0,8.0,87.0,5.0,2.0,3.0,2.0,5.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,83.0,31.0,1.0,1.0,3.0,2.0,2.0,11020.0,43485.0
31,1.0,83.0,32.0,2.0,11.0,42.0,4.0,11.0,3.0,99.0,99.0,10.0,7.0,9.0,93.0,5.0,1.0,1.0,1.0,11.0,1.0,2.0,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,6.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,83.0,32.0,1.0,0.0,1.0,4.0,0.0,22100.0,42485.0
32,1.0,83.0,33.0,2.0,12.0,42.0,4.0,10.0,3.0,99.0,99.0,9.0,6.0,1.0,14.0,5.0,2.0,2.0,2.0,12.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,83.0,33.0,1.0,1.0,1.0,6.0,4.0,32303.0,42875.0
33,1.0,83.0,34.0,2.0,1.0,43.0,3.0,8.0,4.0,0.0,0.0,3.0,16.0,3.0,31.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,83.0,34.0,1.0,1.0,2.0,4.0,4.0,32303.0,12604.0
34,1.0,83.0,35.0,2.0,2.0,43.0,3.0,7.0,4.0,0.0,0.0,12.0,18.0,3.0,31.0,4.0,2.0,3.0,2.0,8.0,1.0,1.0,,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,83.0,35.0,1.0,1.0,1.0,3.0,3.0,12130.0,12083.0
35,1.0,83.0,36.0,2.0,10.0,42.0,4.0,11.0,4.0,99.0,99.0,12.0,98.0,5.0,58.0,5.0,2.0,2.0,3.0,5.0,6.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,83.0,36.0,2.0,1.0,3.0,4.0,4.0,22302.0,31521.0
36,1.0,83.0,37.0,2.0,11.0,42.0,4.0,10.0,4.0,99.0,99.0,4.0,4.0,2.0,21.0,5.0,2.0,2.0,4.0,1.0,6.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,83.0,37.0,1.0,1.0,1.0,6.0,2.0,22312.0,22262.0
37,1.0,83.0,38.0,2.0,1.0,42.0,4.0,8.0,4.0,99.0,99.0,3.0,4.0,2.0,22.0,4.0,2.0,2.0,5.0,12.0,1.0,2.0,,,,,,,,,,,,2.0,2.0,3.0,3.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,83.0,38.0,1.0,0.0,1.0,6.0,1.0,20312.0,21231.0
38,1.0,83.0,39.0,2.0,12.0,42.0,4.0,9.0,4.0,99.0,99.0,11.0,10.0,3.0,32.0,4.0,2.0,2.0,2.0,10.0,1.0,2.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,6.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,83.0,39.0,1.0,1.0,1.0,5.0,2.0,22210.0,31431.0
39,1.0,83.0,40.0,2.0,12.0,42.0,4.0,9.0,4.0,0.0,0.0,8.0,17.0,6.0,63.0,4.0,1.0,1.0,1.0,12.0,1.0,2.0,,,,,,,,,,,,4.0,2.0,3.0,3.0,2.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,83.0,40.0,2.0,0.0,0.0,4.0,0.0,20230.0,22071.0
