,CARD,DECK,BALLOT,FORM,S100C.Q1,S100C.Q2,S100C.Q3,S100C.Q4,S100C.Q5,S100C.Q6,S100C.Q7A.n,S100C.Q7B,S100C.Q7C,S100C.Q8,S100C.Q9,S100C.Q10,S100C.Q11,S100C.Q12,S100C.Q13,S100C.Q14,S100C.Q15.n,S100C.Q16A,S100C.Q16B,S100C.Q17A,S100C.Q17B,S100C.Q18.n,S100C.Q19,S100C.Q20,S100C.Q21A,S100C.Q21B,S100C.Q22,S100C.Q23,S100C.Q24,S100C.Q25,S100C.Q26,S100C.Q27,S100C.Q28,S100C.Q29A,S100C.Q29B,S100C.Q29C,S100C.Q29D,S100C.Q29E,S100C.Q29F,S100C.Q29G,S100C.Q30A,S100C.Q30B,S100C.Q31,S100C.Q32A,S100C.Q32B,S100C.Q32C,S100C.Q33,S100C.Q34,S100C.Q35,S100C.Q36A,S100C.Q36B.n,S100C.Q37,S100C.Q38,S100C.Q39,S100C.Q40.n,S100C.Q40A.n,S100C.Q40B.n,S100C.Q41,S100C.Q42.1,S100C.Q42.2,S100C.Q43A,S100C.Q43B,S100C.Q43C,S100C.Q44,S100C.Q45A,S100C.Q45B,S100C.Q46A,S100C.Q46B,S100C.Q47A.n,S100C.Q47B.n,S100C.Q48,CARD..1,DECK..1,BALLOT..1,FORM..1,S100C.Q49A,S100C.Q49B,S100C.Q49C,S100C.Q49D,S100C.Q49E,S100C.Q49F,S100C.Q49G,S100C.Q49H,S100C.Q50A,S100C.Q50B,S100C.Q50C,S100C.Q51A.n,S100C.Q51B.n,S100C.Q52.n,S100C.Q53A,S100C.Q53B,S100C.Q53C,S100C.Q54,S100C.Q55A,S100C.Q55B,S100C.Q56.n,S100C.V57,S100C.V58
10,1.0,100.0,11.0,3.0,4.0,1.0,3.0,3.0,1.0,4.0,,999.0,999.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,,1.0,8.0,1.0,2.0,5.0,6.0,1.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,,3.0,2.0,1.0,,,,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,,,1.0,2.0,100.0,11.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,7.0,45.0
11,1.0,100.0,12.0,3.0,4.0,1.0,3.0,4.0,1.0,5.0,,60.0,18.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,,2.0,2.0,2.0,2.0,,3.0,8.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0,2.0,7.0,,3.0,3.0,2.0,,,,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,,,1.0,2.0,100.0,12.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,0.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,12.0,17.0
12,1.0,100.0,13.0,3.0,4.0,1.0,4.0,2.0,1.0,5.0,,60.0,18.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,8.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,3.0,,3.0,2.0,1.0,,,,4.0,9.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,0.0,2.0,100.0,13.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,,12.0,15.0
13,1.0,100.0,14.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,,40.0,17.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,,3.0,2.0,2.0,2.0,,3.0,8.0,2.0,0.0,5.0,3.0,4.0,3.0,0.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,,1.0,2.0,1.0,,,,4.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,3.0,2.0,100.0,14.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,0.0,0.0,,2.0,35.0
14,1.0,100.0,15.0,3.0,5.0,1.0,4.0,3.0,1.0,5.0,,54.0,17.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,,0.0,3.0,2.0,2.0,,3.0,1.0,2.0,0.0,5.0,6.0,0.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,,3.0,2.0,1.0,,,,4.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,,,3.0,2.0,100.0,15.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,0.0,0.0,,2.0,36.0
15,1.0,100.0,16.0,3.0,5.0,1.0,4.0,3.0,1.0,2.0,,60.0,14.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,5.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,8.0,5.0,1.0,1.0,2.0,1.0,3.0,,1.0,3.0,2.0,,,,4.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,,,1.0,2.0,100.0,16.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,31.0
16,1.0,100.0,17.0,3.0,6.0,1.0,5.0,3.0,3.0,0.0,,999.0,21.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,0.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,,3.0,2.0,1.0,,,,4.0,12.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,,,4.0,2.0,100.0,17.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,2.0,2.0,,3.0,25.0
17,1.0,100.0,18.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,,75.0,21.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,,3.0,3.0,4.0,3.0,,1.0,8.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,2.0,,,,4.0,11.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,1.0,2.0,100.0,18.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,0.0,2.0,,10.0,41.0
18,1.0,100.0,19.0,3.0,5.0,1.0,4.0,3.0,1.0,6.0,,63.0,21.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,3.0,1.0,2.0,1.0,,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,5.0,3.0,2.0,1.0,5.0,,0.0,4.0,1.0,,,,4.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,,,0.0,2.0,100.0,19.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,,,,1.0,2.0,0.0,2.0,1.0,0.0,,3.0,24.0
19,1.0,100.0,20.0,3.0,6.0,1.0,3.0,3.0,1.0,2.0,,55.0,12.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,3.0,2.0,3.0,2.0,,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,,2.0,4.0,2.0,,,,4.0,9.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,,,3.0,2.0,100.0,20.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,1.0,,4.0,21.0
20,1.0,100.0,21.0,3.0,5.0,1.0,4.0,4.0,1.0,3.0,,60.0,21.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,2.0,1.0,,3.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,,2.0,2.0,2.0,,,,4.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,,,3.0,2.0,100.0,21.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,7.0,43.0
21,1.0,100.0,22.0,3.0,6.0,1.0,2.0,4.0,1.0,2.0,,50.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,,1.0,7.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,3.0,4.0,1.0,,,,4.0,9.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,,4.0,2.0,100.0,22.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,,8.0,28.0
22,1.0,100.0,23.0,3.0,5.0,1.0,5.0,1.0,1.0,3.0,,49.0,21.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,3.0,3.0,2.0,3.0,,2.0,1.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,2.0,2.0,1.0,,,,4.0,8.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,,,3.0,2.0,100.0,23.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,38.0
23,1.0,100.0,24.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,,40.0,13.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,3.0,1.0,3.0,1.0,,3.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,,2.0,3.0,1.0,,,,4.0,4.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,,,2.0,2.0,100.0,24.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,,,2.0,2.0,3.0,2.0,0.0,0.0,,1.0,40.0
24,1.0,100.0,25.0,3.0,6.0,1.0,3.0,2.0,1.0,6.0,,45.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,1.0,,3.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,3.0,2.0,2.0,2.0,2.0,0.0,,1.0,2.0,1.0,,,,4.0,9.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,3.0,2.0,100.0,25.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,,1.0,55.0
25,1.0,100.0,26.0,3.0,6.0,1.0,4.0,4.0,1.0,3.0,,999.0,999.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,3.0,1.0,3.0,1.0,,3.0,8.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,0.0,3.0,,3.0,3.0,2.0,,,,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,,,3.0,2.0,100.0,26.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,1.0,1.0,,5.0,65.0
26,1.0,100.0,27.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,,999.0,15.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,3.0,0.0,3.0,2.0,3.0,6.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,,3.0,4.0,1.0,,,,4.0,10.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,,,2.0,2.0,100.0,27.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,,,,1.0,1.0,2.0,2.0,2.0,2.0,,10.0,36.0
27,1.0,100.0,28.0,3.0,5.0,1.0,4.0,3.0,1.0,3.0,,77.0,7.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,,4.0,2.0,3.0,2.0,,1.0,8.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,9.0,2.0,4.0,2.0,3.0,1.0,1.0,,1.0,2.0,1.0,,,,4.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,,,3.0,2.0,100.0,28.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,,,,1.0,2.0,2.0,2.0,0.0,0.0,,5.0,63.0
28,1.0,100.0,29.0,3.0,5.0,1.0,4.0,3.0,1.0,5.0,,50.0,12.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,4.0,0.0,2.0,2.0,,2.0,8.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,3.0,,1.0,3.0,1.0,,,,4.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,,,4.0,2.0,100.0,29.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,2.0,42.0
29,1.0,100.0,30.0,3.0,5.0,1.0,4.0,4.0,1.0,5.0,,75.0,12.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,2.0,1.0,,3.0,8.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,3.0,,2.0,3.0,1.0,,,,4.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,,,3.0,2.0,100.0,30.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,47.0
30,1.0,100.0,31.0,3.0,4.0,1.0,3.0,5.0,1.0,3.0,,100.0,30.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,,3.0,0.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,3.0,,2.0,2.0,1.0,,,,4.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,,,2.0,2.0,100.0,31.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,,,1.0,3.0,2.0,2.0,0.0,0.0,,11.0,33.0
31,1.0,100.0,32.0,3.0,4.0,1.0,4.0,4.0,1.0,7.0,,100.0,14.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,,4.0,2.0,4.0,2.0,,2.0,8.0,3.0,2.0,3.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,0.0,1.0,0.0,10.0,5.0,3.0,2.0,1.0,2.0,3.0,,1.0,4.0,2.0,,,,4.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,,,1.0,2.0,100.0,32.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,,1.0,36.0
32,1.0,100.0,33.0,3.0,4.0,1.0,4.0,3.0,1.0,5.0,,50.0,25.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,0.0,2.0,2.0,1.0,,2.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,,1.0,4.0,1.0,,,,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,,,3.0,2.0,100.0,33.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,,,,1.0,2.0,3.0,2.0,1.0,0.0,,2.0,41.0
