,CARD,DECK,BALLOT,S142.Q1,S142.Q2A,S142.Q2B,S142.Q3,S142.Q4,S142.Q5A,S142.Q5B.1,S142.Q5B.2,S142.Q5C,S142.Q6,S142.Q7,S142.Q8A,S142.Q8B,S142.Q9,S142.Q10A,S142.Q11A,S142.Q11B,S142.Q11C,S142.Q11D,S142.Q11E,S142.Q12,S142.Q13A,S142.Q13B,S142.Q14A,S142.Q14B,S142.Q15A.1,S142.Q15A.2,S142.Q15B,S142.Q16A.1,S142.Q16A.2,S142.Q16B.1,S142.Q16B.2,S142.Q17,S142.Q18,S142.Q19,S142.Q20,S142.Q21,S142.Q22,S142.Q23A,S142.Q23B,S142.Q23C,S142.Q23D,S142.Q23E,S142.Q23F,S142.Q23G,S142.Q23H,S142.Q24A,S142.Q24B,S142.Q24C,S142.Q24D,S142.Q24E,S142.Q24F,S142.Q24G,CARD..1,DECK..1,BALLOT..1,S142.Q25A,S142.Q25B,S142.Q26A,S142.Q26B,S142.Q27A,S142.Q27B,S142.Q28,S142.Q29A.1,S142.Q29A.2,S142.Q29B,S142.Q30,S142.Q31,S142.Q32,S142.Q33,S142.Q34,S142.Q35A,S142.Q35B,S142.Q35C,S142.Q36,S142.Q37,S142.Q38A,S142.Q38B,S142.Q39A,S142.Q39B,S142.Q39C,S142.Q40A,S142.Q40B,S142.Q41.n,S142.V42,S142.V43
10,1.0,142.0,6.0,3.0,4.0,1.0,7.0,1.0,250.0,75.0,2.0,50.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,5.0,6.0,4.0,2.0,2.0,10.0,1.0,2.0,3.0,15.0,3.0,5.0,22.0,2.0,10.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.0,142.0,6.0,0.0,68.0,21.0,23.0,1.0,663.0,13.0,63.0,11.0,1.0,1.0,3.0,2.0,5.0,4.0,23.0,0.0,35.0,25.0,9.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,142.0,7.0,3.0,5.0,11.0,6.0,1.0,255.0,80.0,2.0,50.0,1.0,1.0,2.0,3.0,1.0,1.0,9.0,9.0,9.0,9.0,10.0,3.0,2.0,7.0,2.0,2.0,4.0,20.0,1.0,5.0,25.0,2.0,10.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.0,142.0,7.0,0.0,35.0,13.0,14.0,1.0,161.0,12.0,61.0,11.0,3.0,1.0,1.0,4.0,5.0,1.0,21.0,1.0,50.0,15.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0,142.0,8.0,3.0,5.0,11.0,5.0,1.0,250.0,71.0,1.0,65.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,4.0,3.0,3.0,2.0,10.0,2.0,1.0,5.0,20.0,3.0,3.0,14.0,10.0,89.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.0,142.0,8.0,0.0,81.0,11.0,22.0,3.0,161.0,23.0,42.0,11.0,3.0,3.0,1.0,2.0,3.0,1.0,23.0,11.0,35.0,20.0,10.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,142.0,9.0,3.0,5.0,1.0,8.0,1.0,250.0,71.0,3.0,65.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,6.0,4.0,3.0,3.0,2.0,9.0,1.0,1.0,4.0,20.0,3.0,4.0,20.0,2.0,10.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.0,142.0,9.0,0.0,45.0,10.0,23.0,1.0,161.0,12.0,41.0,22.0,3.0,1.0,1.0,3.0,4.0,4.0,23.0,1.0,35.0,18.0,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,142.0,10.0,3.0,5.0,9.0,4.0,1.0,250.0,70.0,1.0,99.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,5.0,3.0,3.0,3.0,2.0,10.0,2.0,1.0,5.0,20.0,3.0,4.0,20.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2.0,142.0,10.0,0.0,36.0,11.0,24.0,1.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,10.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,142.0,11.0,3.0,6.0,5.0,6.0,1.0,250.0,75.0,4.0,90.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,6.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0,3.0,3.0,12.0,3.0,12.0,1.0,5.0,2.0,3.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2.0,142.0,11.0,0.0,41.0,0.0,24.0,2.0,163.0,22.0,43.0,11.0,3.0,3.0,1.0,4.0,3.0,0.0,23.0,3.0,40.0,25.0,10.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,142.0,12.0,2.0,5.0,1.0,5.0,1.0,250.0,72.0,1.0,80.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0,6.0,5.0,6.0,3.0,3.0,2.0,10.0,2.0,2.0,4.0,15.0,3.0,3.0,13.0,1.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2.0,142.0,12.0,0.0,65.0,23.0,22.0,2.0,661.0,22.0,53.0,21.0,3.0,2.0,1.0,2.0,5.0,1.0,22.0,1.0,30.0,17.0,10.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,142.0,13.0,2.0,5.0,1.0,7.0,1.0,255.0,74.0,2.0,65.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,6.0,6.0,6.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,18.0,2.0,3.0,12.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.0,142.0,13.0,0.0,58.0,13.0,24.0,1.0,161.0,22.0,63.0,11.0,1.0,1.0,1.0,4.0,5.0,1.0,23.0,10.0,25.0,18.0,10.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,142.0,14.0,2.0,2.0,1.0,6.0,1.0,261.0,73.0,8.0,41.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,10.0,1.0,1.0,5.0,15.0,2.0,5.0,20.0,2.0,88.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.0,142.0,14.0,0.0,47.0,11.0,12.0,1.0,261.0,11.0,73.0,11.0,1.0,1.0,1.0,4.0,1.0,1.0,22.0,4.0,30.0,20.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,142.0,15.0,3.0,2.0,5.0,7.0,1.0,260.0,95.0,10.0,75.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,6.0,4.0,4.0,3.0,2.0,9.0,2.0,1.0,4.0,20.0,3.0,6.0,20.0,2.0,10.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.0,142.0,15.0,0.0,62.0,13.0,13.0,1.0,661.0,14.0,51.0,21.0,3.0,3.0,1.0,3.0,1.0,1.0,22.0,3.0,35.0,20.0,7.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,142.0,16.0,3.0,5.0,4.0,9.0,1.0,265.0,80.0,1.0,60.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,8.0,2.0,2.0,6.0,2.0,1.0,5.0,20.0,2.0,8.0,32.0,3.0,12.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,142.0,16.0,0.0,61.0,13.0,13.0,1.0,663.0,23.0,43.0,21.0,2.0,3.0,3.0,3.0,3.0,1.0,23.0,1.0,40.0,18.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,142.0,17.0,4.0,4.0,4.0,7.0,1.0,260.0,75.0,10.0,90.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,8.0,9.0,8.0,8.0,3.0,4.0,4.0,2.0,1.0,5.0,20.0,10.0,9.0,30.0,5.0,15.0,5.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.0,142.0,17.0,0.0,65.0,0.0,20.0,4.0,663.0,24.0,33.0,21.0,3.0,1.0,5.0,4.0,4.0,4.0,22.0,3.0,35.0,15.0,3.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,142.0,18.0,3.0,5.0,5.0,9.0,1.0,261.0,85.0,3.0,87.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,1.0,3.0,7.0,28.0,2.0,6.0,23.0,3.0,15.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.0,142.0,18.0,0.0,31.0,21.0,22.0,1.0,663.0,23.0,53.0,22.0,1.0,1.0,1.0,2.0,3.0,4.0,22.0,1.0,33.0,19.0,4.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,142.0,19.0,3.0,6.0,5.0,6.0,1.0,265.0,75.0,1.0,50.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,5.0,20.0,2.0,4.0,15.0,3.0,12.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.0,142.0,19.0,0.0,11.0,22.0,12.0,3.0,161.0,12.0,63.0,21.0,2.0,3.0,2.0,2.0,5.0,4.0,23.0,2.0,35.0,24.0,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,142.0,20.0,2.0,2.0,1.0,5.0,1.0,260.0,85.0,1.0,65.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,10.0,1.0,2.0,4.0,14.0,3.0,4.0,14.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.0,142.0,20.0,0.0,21.0,33.0,22.0,1.0,161.0,13.0,73.0,21.0,2.0,2.0,3.0,4.0,1.0,2.0,23.0,3.0,25.0,11.0,8.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,142.0,21.0,3.0,4.0,7.0,9.0,1.0,260.0,80.0,0.0,40.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,10.0,2.0,1.0,0.0,20.0,2.0,2.0,7.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,142.0,21.0,0.0,76.0,12.0,22.0,1.0,161.0,12.0,73.0,21.0,3.0,2.0,3.0,3.0,3.0,2.0,22.0,5.0,25.0,15.0,9.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,142.0,22.0,3.0,4.0,8.0,7.0,1.0,260.0,86.0,2.0,80.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,5.0,6.0,3.0,3.0,2.0,8.0,1.0,1.0,5.0,20.0,3.0,4.0,18.0,2.0,10.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,142.0,22.0,0.0,35.0,11.0,13.0,1.0,161.0,12.0,63.0,31.0,1.0,1.0,2.0,2.0,2.0,2.0,23.0,2.0,38.0,18.0,9.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,142.0,23.0,3.0,4.0,8.0,9.0,1.0,260.0,70.0,11.0,80.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,4.0,5.0,6.0,3.0,2.0,2.0,10.0,1.0,1.0,4.0,20.0,2.0,4.0,18.0,2.0,10.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,142.0,23.0,0.0,81.0,23.0,23.0,3.0,661.0,11.0,73.0,11.0,1.0,1.0,3.0,3.0,3.0,1.0,22.0,10.0,35.0,22.0,9.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.0,142.0,24.0,2.0,4.0,8.0,4.0,1.0,260.0,70.0,5.0,45.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,6.0,6.0,4.0,3.0,7.0,2.0,10.0,2.0,1.0,3.0,12.0,2.0,5.0,25.0,2.0,9.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,142.0,24.0,0.0,88.0,13.0,13.0,2.0,663.0,11.0,43.0,31.0,3.0,1.0,4.0,3.0,1.0,1.0,12.0,4.0,45.0,28.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.0,142.0,25.0,3.0,4.0,8.0,8.0,1.0,266.0,78.0,3.0,85.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,4.0,6.0,6.0,3.0,3.0,2.0,10.0,1.0,1.0,4.0,20.0,7.0,2.0,9.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,142.0,25.0,0.0,68.0,11.0,12.0,1.0,161.0,11.0,53.0,21.0,3.0,3.0,3.0,4.0,5.0,1.0,21.0,3.0,45.0,23.0,9.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.0,142.0,26.0,3.0,4.0,8.0,6.0,1.0,260.0,99.0,2.0,65.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,6.0,4.0,3.0,3.0,2.0,10.0,1.0,1.0,4.0,16.0,3.0,5.0,20.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,142.0,26.0,0.0,98.0,22.0,13.0,1.0,661.0,14.0,53.0,21.0,2.0,3.0,5.0,4.0,3.0,1.0,22.0,5.0,35.0,18.0,9.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.0,142.0,27.0,3.0,4.0,8.0,8.0,1.0,265.0,89.0,3.0,60.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,10.0,2.0,1.0,4.0,20.0,2.0,0.0,89.0,0.0,0.0,1.0,5.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,142.0,27.0,1.0,0.0,11.0,22.0,1.0,662.0,10.0,63.0,11.0,1.0,2.0,2.0,2.0,3.0,0.0,23.0,3.0,89.0,28.0,9.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.0,142.0,28.0,3.0,5.0,1.0,6.0,1.0,264.0,80.0,5.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,9.0,9.0,8.0,3.0,2.0,10.0,2.0,1.0,5.0,20.0,3.0,4.0,18.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,142.0,28.0,0.0,36.0,13.0,13.0,1.0,161.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,23.0,3.0,40.0,23.0,10.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,142.0,29.0,3.0,2.0,2.0,7.0,1.0,270.0,75.0,10.0,85.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,6.0,6.0,3.0,1.0,2.0,7.0,1.0,1.0,4.0,20.0,4.0,4.0,14.0,3.0,10.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,142.0,29.0,0.0,31.0,22.0,23.0,1.0,661.0,12.0,63.0,11.0,1.0,1.0,1.0,3.0,3.0,2.0,23.0,4.0,38.0,22.0,7.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.0,142.0,30.0,3.0,3.0,2.0,6.0,1.0,270.0,70.0,5.0,90.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,6.0,6.0,4.0,3.0,2.0,7.0,2.0,1.0,4.0,20.0,2.0,5.0,20.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
