,CARD,DECK,BALLOT,S204.Q1,S204.Q2,S204.Q3,S204.Q4,S204.Q5,S204.Q6,S204.Q7,S204.Q8,S204.Q9,S204.Q10,S204.Q11,S204.Q12.n,S204.Q13,S204.Q14,S204.Q15,S204.Q16,S204.Q17,S204.Q18,S204.Q19,S204.Q20,S204.Q21,S204.Q22,S204.Q23,S204.Q24,S204.Q25,S204.Q26
31,1.0,204.0,32.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,0.0,1.0,2.0,1.0,,2.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0
32,1.0,204.0,33.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,5.0,,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0
33,1.0,204.0,34.0,5.0,1.0,2.0,1.0,2.0,2.0,5.0,0.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0
34,1.0,204.0,35.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,4.0,2.0,2.0,,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0
35,1.0,204.0,36.0,5.0,1.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,,2.0,0.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0
36,1.0,204.0,37.0,6.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,,2.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0
37,1.0,204.0,38.0,6.0,1.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
38,1.0,204.0,39.0,6.0,1.0,3.0,1.0,2.0,2.0,5.0,5.0,2.0,2.0,4.0,,2.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0
39,1.0,204.0,40.0,6.0,1.0,2.0,1.0,2.0,2.0,5.0,0.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
40,1.0,204.0,41.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,4.0,2.0,5.0,,2.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
41,1.0,204.0,42.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,4.0,,2.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
42,1.0,204.0,43.0,7.0,1.0,2.0,0.0,2.0,2.0,4.0,5.0,2.0,2.0,0.0,,2.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
43,1.0,204.0,44.0,7.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,3.0,2.0,0.0,,2.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0
44,1.0,204.0,45.0,7.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,0.0,,2.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0
45,1.0,204.0,46.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,5.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,1.0,2.0
46,1.0,204.0,47.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0
47,1.0,204.0,48.0,4.0,1.0,3.0,2.0,6.0,2.0,5.0,5.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,204.0,49.0,4.0,1.0,2.0,1.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,,1.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0
