,CARD,DECK,BALLOT,FORM,S160A.Q1,S160A.Q2,S160A.Q3,S160A.Q4,S160A.Q5A,S160A.Q5B,S160A.Q5C,S160A.Q6A,S160A.Q6B.n,S160A.Q7,S160A.Q8,S160A.Q9A1,S160A.Q9A2,S160A.Q9A3,S160A.Q9A4,S160A.Q9A5,S160A.Q9A6,S160A.Q9A7,S160A.Q9A8,S160A.Q9B,S160A.Q10A,S160A.Q10B,S160A.Q10C,S160A.Q11A.n,S160A.Q11B.n,S160A.Q11C.n,S160A.Q12A,S160A.Q13,S160A.Q14A,S160A.Q14B,S160A.Q15.n,S160A.Q16,S160A.Q17A,S160A.Q17B,S160A.Q18A,S160A.Q18B,S160A.Q19,S160A.Q20.n,S160A.Q21A,S160A.Q21B,S160A.Q23,S160A.Q24A,S160A.Q24C.n,S160A.Q25A,S160A.Q25B,S160A.Q27,S160A.Q28A,S160A.Q28C.n,S160A.Q29,S160A.Q30,S160A.Q31,S160A.Q32,S160A.Q33A,S160A.Q33B,S160A.Q33C.n,S160A.V34
30,1.0,160.0,31.0,1.0,3.0,1.0,7.0,3.0,0.0,3.0,3.0,0.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,0.0,,,,1.0,2.0,2.0,5.0,,5.0,1.0,0.0,4.0,0.0,9.0,,1.0,3.0,1.0,1.0,,2.0,3.0,9.0,9.0,,1.0,1.0,0.0,4.0,1.0,1.0,,48.0
31,1.0,160.0,32.0,1.0,0.0,0.0,0.0,4.0,10.0,3.0,9.0,3.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,,,,1.0,2.0,2.0,0.0,,3.0,2.0,0.0,4.0,1.0,1.0,,1.0,2.0,9.0,9.0,,2.0,2.0,9.0,9.0,,1.0,1.0,0.0,4.0,1.0,1.0,,187.0
32,1.0,160.0,33.0,1.0,5.0,6.0,4.0,4.0,0.0,0.0,0.0,3.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,,,,1.0,1.0,3.0,3.0,,3.0,2.0,1.0,4.0,1.0,2.0,,2.0,2.0,9.0,9.0,,1.0,0.0,1.0,1.0,,2.0,5.0,1.0,4.0,1.0,1.0,,336.0
33,1.0,160.0,34.0,1.0,3.0,1.0,0.0,3.0,4.0,0.0,0.0,3.0,,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,,,,0.0,2.0,2.0,3.0,,1.0,4.0,0.0,4.0,2.0,7.0,,1.0,2.0,9.0,9.0,,2.0,1.0,9.0,9.0,,0.0,0.0,1.0,0.0,0.0,0.0,,50.0
34,1.0,160.0,35.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,3.0,,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,,,,0.0,2.0,2.0,3.0,,1.0,4.0,2.0,3.0,1.0,2.0,,1.0,0.0,1.0,1.0,,2.0,2.0,9.0,9.0,,1.0,1.0,1.0,3.0,1.0,1.0,,331.0
35,1.0,160.0,36.0,1.0,3.0,6.0,4.0,4.0,4.0,2.0,4.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,,,,1.0,1.0,2.0,3.0,,3.0,1.0,0.0,3.0,2.0,2.0,,2.0,2.0,9.0,9.0,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,334.0
36,1.0,160.0,37.0,1.0,5.0,1.0,7.0,3.0,1.0,2.0,3.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,,,,0.0,2.0,1.0,3.0,,1.0,4.0,1.0,4.0,1.0,1.0,,1.0,3.0,2.0,9.0,,2.0,0.0,9.0,9.0,,1.0,1.0,1.0,4.0,1.0,1.0,,46.0
37,1.0,160.0,38.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,10.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,,,,1.0,1.0,1.0,3.0,,5.0,2.0,1.0,3.0,1.0,3.0,,1.0,2.0,1.0,9.0,,2.0,2.0,9.0,9.0,,1.0,1.0,0.0,2.0,2.0,1.0,,361.0
38,1.0,160.0,39.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,,,,1.0,2.0,2.0,3.0,,5.0,1.0,0.0,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,,2.0,2.0,9.0,9.0,,1.0,1.0,1.0,4.0,0.0,1.0,,365.0
39,1.0,160.0,40.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,,,,1.0,2.0,1.0,5.0,,1.0,1.0,0.0,3.0,1.0,2.0,,1.0,2.0,1.0,1.0,,0.0,0.0,9.0,9.0,,1.0,5.0,1.0,1.0,2.0,2.0,,395.0
