,CARD,DECK,BALLOT,FORM,S132B.Q1,S132B.Q2,S132B.Q3,S132B.Q4,S132B.Q5,S132B.Q6,S132B.Q7,S132B.Q8,S132B.Q9A,S132B.Q9B,S132B.Q10,S132B.Q11,S132B.Q12.1,S132B.Q12.2,S132B.Q12.3,S132B.Q12.4,S132B.Q12.5,S132B.Q12.6,S132B.Q12.7,S132B.Q12.8,S132B.Q12.9,S132B.Q12.10,S132B.Q12.11,S132B.Q12.12,S132B.Q13.n,S132B.Q14,S132B.Q15A,S132B.Q15B,S132B.Q16,S132B.Q17,S132B.Q18.n,S132B.Q19,S132B.Q20,S132B.Q21,S132B.Q22,S132B.Q23,S132B.Q24.n,S132B.Q25,S132B.Q26.n,S132B.Q27,S132B.Q28,S132B.Q29,S132B.Q30,S132B.Q31,S132B.Q32,S132B.Q33,S132B.Q34,S132B.Q35,S132B.Q36,S132B.Q37.n,S132B.Q38A.1,S132B.Q38A.2,S132B.Q38A.3,S132B.Q38A.4,S132B.Q38A.5,S132B.Q38A.6,S132B.Q38A.7,S132B.Q38A.8,S132B.Q38A.9,S132B.Q38A.10,S132B.Q38A.11,S132B.Q38A.12,S132B.Q38A.13,S132B.Q38A.14,S132B.Q38A.15,S132B.Q38A.16,S132B.Q38A.17,S132B.Q38A.18,CARD..1,DECK..1,BALLOT..1,FORM.1,S132B.Q38A.19,S132B.Q38A.20,S132B.Q38A.21,S132B.Q38A.22,S132B.Q38A.23,S132B.Q38A.24,S132B.Q38A.25,S132B.Q38A.26,S132B.Q38A.27,S132B.Q38A.28,S132B.Q38B,S132B.Q38C.n,S132B.Q38D,S132B.V39
10,1.0,132.0,11.0,2.0,2.0,5.0,11.0,5.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,9.0,3.0,3.0,3.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12123.0
11,1.0,132.0,12.0,2.0,1.0,7.0,9.0,2.0,3.0,11.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,5.0,3.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12142.0
12,1.0,132.0,13.0,2.0,1.0,1.0,8.0,2.0,4.0,12.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,2.0,3.0,1.0,,5.0,1.0,0.0,6.0,1.0,,3.0,,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,13.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,11.0,12064.0
13,1.0,132.0,14.0,2.0,1.0,7.0,9.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,5.0,3.0,2.0,3.0,3.0,,2.0,3.0,1.0,6.0,5.0,,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,18052.0
14,1.0,132.0,15.0,2.0,3.0,6.0,10.0,7.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,4.0,6.0,,3.0,,1.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,18070.0
15,1.0,132.0,16.0,2.0,4.0,6.0,10.0,4.0,5.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,7.0,5.0,0.0,1.0,1.0,,2.0,1.0,1.0,0.0,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,18420.0
16,1.0,132.0,17.0,2.0,2.0,6.0,9.0,4.0,4.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,7.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,,3.0,,3.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,17.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,18421.0
17,1.0,132.0,18.0,2.0,1.0,7.0,7.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,3.0,2.0,,2.0,2.0,1.0,9.0,1.0,,3.0,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,18356.0
18,1.0,132.0,19.0,2.0,9.0,6.0,9.0,6.0,5.0,12.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,1.0,,2.0,1.0,1.0,11.0,1.0,,2.0,,1.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,19.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12233.0
19,1.0,132.0,20.0,2.0,6.0,3.0,9.0,6.0,4.0,4.0,5.0,4.0,3.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,1.0,,2.0,1.0,1.0,6.0,1.0,,2.0,,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12114.0
20,1.0,132.0,21.0,2.0,2.0,6.0,8.0,7.0,5.0,3.0,5.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,7.0,1.0,,3.0,,3.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,132.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,11.0,12074.0
21,1.0,132.0,22.0,2.0,7.0,5.0,10.0,7.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,1.0,,2.0,2.0,1.0,10.0,1.0,,2.0,,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12195.0
22,1.0,132.0,23.0,2.0,8.0,5.0,4.0,5.0,5.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,3.0,2.0,,4.0,1.0,1.0,9.0,1.0,,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,23.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12265.0
23,1.0,132.0,24.0,2.0,6.0,6.0,9.0,3.0,5.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,2.0,,2.0,1.0,1.0,10.0,8.0,,2.0,,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12269.0
24,1.0,132.0,25.0,2.0,3.0,5.0,7.0,3.0,5.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,2.0,,2.0,1.0,1.0,7.0,7.0,,3.0,,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12196.0
25,1.0,132.0,26.0,2.0,7.0,6.0,11.0,4.0,5.0,12.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,1.0,,0.0,1.0,1.0,10.0,1.0,,2.0,,1.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12163.0
26,1.0,132.0,27.0,2.0,1.0,7.0,9.0,4.0,5.0,11.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,6.0,8.0,2.0,1.0,2.0,,3.0,1.0,1.0,7.0,1.0,,3.0,,0.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,27.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12189.0
27,1.0,132.0,28.0,2.0,6.0,6.0,9.0,4.0,5.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,8.0,2.0,1.0,1.0,,2.0,1.0,1.0,9.0,1.0,,1.0,,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,28.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12264.0
28,1.0,132.0,29.0,2.0,1.0,7.0,10.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,0.0,1.0,,1.0,,3.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,29.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,,0.0,12006.0
29,1.0,132.0,30.0,2.0,1.0,7.0,11.0,4.0,4.0,11.0,3.0,6.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,5.0,4.0,1.0,1.0,,3.0,2.0,1.0,1.0,5.0,,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12145.0
30,1.0,132.0,31.0,2.0,2.0,3.0,9.0,4.0,5.0,12.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,5.0,2.0,1.0,3.0,1.0,,2.0,2.0,1.0,6.0,1.0,,1.0,,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,31.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,5.0,12078.0
31,1.0,132.0,32.0,2.0,8.0,3.0,10.0,4.0,4.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,7.0,1.0,,3.0,,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,,10.0,12085.0
32,1.0,132.0,33.0,2.0,1.0,6.0,8.0,4.0,5.0,4.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,9.0,1.0,,3.0,,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,,8.0,12079.0
33,1.0,132.0,34.0,2.0,1.0,7.0,5.0,5.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,8.0,5.0,3.0,1.0,1.0,,2.0,2.0,2.0,3.0,1.0,,2.0,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,34.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12150.0
34,1.0,132.0,35.0,2.0,1.0,7.0,6.0,5.0,3.0,11.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,5.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,132.0,35.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,12.0,12126.0
