,CARD,DECK,BALLOT,S134.Q1,S134.Q2,S134.Q3,S134.Q4,S134.Q5,S134.Q6,S134.Q7.n,S134.Q8,S134.Q9,S134.Q10,S134.Q11,S134.Q12,S134.Q13,S134.Q14,S134.Q15,S134.Q16,S134.Q17,S134.Q18,S134.Q19,S134.Q20,S134.Q21,S134.Q22,S134.Q23A,S134.Q23B,S134.Q24,S134.Q25,S134.Q26,S134.Q27A,S134.Q27B,S134.Q27C,S134.Q28A,S134.Q28B,S134.Q29A,S134.Q29B,S134.Q30A,S134.Q30B,S134.Q31,S134.Q32A,S134.Q32B,S134.Q33A,S134.Q33B,S134.Q34.n,S134.Q35,S134.Q36.n,S134.Q37,S134.Q38,S134.Q39,S134.Q40,S134.Q41,S134.Q42,S134.Q43,S134.Q44,S134.Q45,S134.Q46,S134.Q47,S134.Q48,S134.Q49,S134.Q50,S134.Q51,S134.Q52,S134.Q53,S134.Q54,S134.Q55,S134.Q56,S134.Q57,S134.Q58,S134.Q59,S134.Q60,S134.Q61,S134.Q62,S134.Q63.n,S134.Q64,S134.Q65,S134.Q66.n,S134.Q67.n,S134.Q68.n,S134.Q69,S134.V70
10,1.0,134.0,11.0,1.0,3.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,3.0,,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,3.0,6.0
11,1.0,134.0,12.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,,3.0,,2.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,,2.0,2.0,,,,3.0,10.0
12,1.0,134.0,13.0,1.0,3.0,3.0,1.0,3.0,2.0,,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,2.0,,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,11.0
13,1.0,134.0,14.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,,2.0,,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,,2.0,2.0,,,,3.0,9.0
14,1.0,134.0,15.0,3.0,5.0,3.0,1.0,3.0,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,3.0,11.0
15,1.0,134.0,16.0,1.0,4.0,3.0,1.0,4.0,6.0,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,0.0,3.0,5.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,,1.0,,2.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,,2.0,3.0,,,,3.0,7.0
16,1.0,134.0,17.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,,,,3.0,9.0
17,1.0,134.0,18.0,1.0,3.0,2.0,2.0,4.0,1.0,,2.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,,2.0,,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,2.0,,,,3.0,5.0
18,1.0,134.0,19.0,1.0,4.0,3.0,2.0,4.0,1.0,,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,,2.0,,1.0,2.0,3.0,1.0,1.0,3.0,4.0,0.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,,,,3.0,2.0
19,1.0,134.0,20.0,2.0,4.0,4.0,1.0,4.0,6.0,,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,,2.0,,2.0,3.0,2.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,,,,2.0,10.0
20,1.0,134.0,21.0,1.0,4.0,3.0,3.0,4.0,1.0,,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,,4.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,,2.0,2.0,,,,2.0,6.0
21,1.0,134.0,22.0,1.0,4.0,3.0,1.0,4.0,1.0,,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,,2.0,2.0,,,,2.0,9.0
22,1.0,134.0,23.0,4.0,5.0,3.0,2.0,4.0,1.0,,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,,2.0,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,,2.0,2.0,,,,2.0,8.0
23,1.0,134.0,24.0,1.0,3.0,3.0,1.0,3.0,3.0,,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,,2.0,,3.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,2.0,2.0,,,,2.0,8.0
24,1.0,134.0,25.0,1.0,3.0,2.0,4.0,4.0,6.0,,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,,2.0,,2.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,6.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,,2.0,3.0,,,,2.0,3.0
25,1.0,134.0,26.0,1.0,4.0,2.0,4.0,3.0,1.0,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,,2.0,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,,2.0,1.0,,,,2.0,3.0
26,1.0,134.0,27.0,1.0,4.0,3.0,1.0,4.0,3.0,,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,,2.0,,4.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,2.0,,,,3.0,9.0
27,1.0,134.0,28.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,,2.0,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,,2.0,2.0,,,,2.0,6.0
28,1.0,134.0,29.0,1.0,4.0,3.0,1.0,4.0,1.0,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,,2.0,,2.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,,2.0,1.0,,,,3.0,11.0
29,1.0,134.0,30.0,1.0,3.0,3.0,1.0,4.0,1.0,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,2.0,11.0
30,1.0,134.0,31.0,5.0,5.0,3.0,3.0,1.0,4.0,,0.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,6.0,3.0,3.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,,2.0,3.0,,,,2.0,8.0
31,1.0,134.0,32.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,6.0,1.0,3.0,1.0,1.0,,1.0,,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,3.0,11.0
32,1.0,134.0,33.0,1.0,2.0,2.0,1.0,3.0,2.0,,1.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,,2.0,2.0,,,,3.0,3.0
33,1.0,134.0,34.0,4.0,4.0,3.0,1.0,4.0,1.0,,3.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,,1.0,,1.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,1.0,,,,2.0,6.0
34,1.0,134.0,35.0,1.0,4.0,3.0,1.0,4.0,5.0,,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,,1.0,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,2.0,1.0,,,,2.0,2.0
35,1.0,134.0,36.0,1.0,4.0,3.0,2.0,4.0,1.0,,3.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,,3.0,8.0
36,1.0,134.0,37.0,3.0,4.0,2.0,1.0,3.0,1.0,,1.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,,2.0,,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,,,,3.0,6.0
37,1.0,134.0,38.0,1.0,4.0,3.0,1.0,4.0,1.0,,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,,,,3.0,7.0
38,1.0,134.0,39.0,1.0,5.0,3.0,1.0,4.0,1.0,,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,,2.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,,,,3.0,10.0
39,1.0,134.0,40.0,1.0,3.0,3.0,1.0,4.0,3.0,,1.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,,2.0,3.0,,,,2.0,10.0
40,1.0,134.0,41.0,1.0,5.0,3.0,1.0,3.0,1.0,,1.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,4.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,1.0,2.0,2.0,,2.0,1.0,,,,3.0,9.0
41,1.0,134.0,42.0,1.0,3.0,3.0,1.0,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,3.0,10.0
