S0230.CARD.,S0230.DECK.,S0230.BALLOT.,S0230.Q1.,S0230.Q2.,S0230.Q3.,S0230.Q4.,S0230.Q5.,S0230.Q6.,S0230.Q7.,S0230.Q8.,S0230.Q9.,S0230.Q10.,S0230.Q11.,S0230.Q12.,S0230.Q13.,S0230.Q14.,S0230.Q15.,S0230.Q16.,S0230.Q18.,S0230.Q19.,S0230.Q20.,S0230.Q21.,S0230.Q22.,S0230.Q23.,S0230.Q24A.,S0230.Q24B.,S0230.Q24C.,S0230.Q24D.,S0230.Q24E.,S0230.Q25.,S0230.Q26.,S0230.Q27.,S0230.Q28.,S0230.Q29.,S0230.Q30.,S0230.Q31.,S0230.Q31..1,S0230.Q31..2,S0230.Q31..3,S0230.Q31..4,S0230.Q31..5,S0230.Q31..6,S0230.Q31..7,S0230.Q31..8,S0230.Q31..9,S0230.Q31..10,S0230.Q31..11,S0230.Q31..12,S0230.V31A.,S0230.Q32.,S0230.Q33.,S0230.Q35.,S0230.Q36.,S0230.Q37.,S0230.Q38.,S0230.Q39.,S0230.Q40.,S0230.Q41.,S0230.Q42.,S0230.Q43.,S0230.Q44.,S0230.Q45.,S0230.Q46.,S0230.Q47.,S0230.Q48.,S0230.Q49.,S0230.Q50.,S0230.Q51A.,S0230.Q51B.,S0230.Q51C.,S0230.Q52.,S0230.Q55.,S0230.CARD..1,S0230.DECK..1,S0230.BALLOT..1,S0230.V56.,S0230.V57.
1,230,11,2,8,3,2,3,5,7,2,2,2,1,1,2,3,4,2,2,4,1,4,3,1,2,1,1,1,1,2,4,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,5,5,4,2,2,1,2,2,1,2,5,2,2,2,2,2,2,2,1,2,2,1,1,2,2,230,11,13,26
1,230,12,2,2,4,2,1,2,5,2,4,1,1,1,2,3,2,2,1,2,1,2,2,1,2,2,1,0,0,2,4,2,1,3,2,2,1,2,2,1,1,2,2,1,2,1,2,2,5,2,1,1,1,2,3,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,0,2,230,12,13,44
1,230,13,2,2,4,2,2,4,3,2,4,4,1,1,2,3,4,5,3,3,1,4,2,1,2,2,1,1,2,2,4,3,2,5,3,2,1,2,2,2,1,2,1,1,1,2,2,2,5,5,4,1,1,1,3,2,1,2,5,2,2,3,2,3,5,1,2,3,3,1,1,2,2,230,13,13,36
1,230,14,4,3,4,2,1,2,3,2,4,2,1,2,2,3,2,2,2,3,1,3,2,1,2,2,1,1,1,1,4,3,2,3,3,2,1,1,2,2,1,2,2,1,2,1,2,2,5,5,4,1,2,1,3,1,1,2,5,2,2,2,3,3,3,1,1,1,1,1,1,2,2,230,14,13,3
1,230,15,4,6,4,2,2,3,3,2,4,2,1,1,2,3,2,2,2,2,1,3,2,1,2,2,1,1,2,1,4,3,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,3,5,4,2,2,2,1,3,3,4,5,3,1,3,1,3,5,3,0,5,0,3,2,0,2,230,15,13,46
1,230,16,4,7,4,2,1,3,5,2,2,1,1,1,2,3,2,3,2,3,1,4,2,1,2,2,1,1,1,2,4,1,2,3,3,2,1,2,2,1,1,2,1,1,2,2,2,2,5,1,2,1,2,1,1,2,2,2,2,2,1,3,1,4,5,3,1,1,1,1,1,2,2,230,16,13,52
1,230,17,4,10,3,2,1,2,5,2,3,5,1,1,2,3,2,4,2,3,1,2,2,1,2,2,1,1,1,2,2,1,2,3,2,1,1,2,2,2,1,2,1,1,2,2,2,2,5,5,4,3,2,2,2,3,1,2,5,3,2,3,2,2,5,2,1,1,2,1,3,1,2,230,17,13,5
1,230,18,2,3,4,2,5,3,7,2,4,3,1,1,2,3,3,4,2,3,1,3,3,1,2,2,1,1,2,2,2,2,1,3,2,2,2,2,2,2,1,1,1,1,2,1,2,2,5,2,3,1,1,3,4,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,230,18,13,20
1,230,19,2,3,4,2,1,3,10,2,3,1,1,1,2,3,0,2,1,1,1,4,2,1,2,2,1,1,1,1,0,3,2,3,2,1,1,2,2,2,1,2,2,2,1,1,2,2,5,0,1,2,0,2,3,2,1,1,2,2,1,3,3,1,2,2,1,1,2,2,1,0,2,230,19,13,38
1,230,20,2,4,4,2,3,5,8,1,1,1,1,1,2,3,4,3,2,2,1,4,1,1,2,1,1,1,1,1,4,1,2,3,2,2,1,2,2,2,1,2,1,1,2,2,1,2,5,5,4,1,1,1,4,1,2,1,4,3,3,2,2,2,2,1,1,5,0,1,2,2,2,230,20,13,22
1,230,21,1,5,4,2,1,3,10,2,3,1,1,1,2,3,2,2,1,2,1,2,2,1,2,2,1,1,1,1,4,2,2,3,2,2,1,2,2,2,1,2,1,1,2,2,2,2,4,5,4,1,2,2,4,1,1,1,1,2,2,2,2,2,2,1,1,3,2,1,0,0,2,230,21,13,8
1,230,22,1,5,5,2,1,2,5,2,4,1,1,1,2,3,2,2,1,2,1,2,2,1,2,2,1,1,1,1,4,1,2,3,2,2,1,2,2,2,1,1,2,1,2,1,2,2,5,5,4,1,1,3,3,2,1,1,1,2,2,2,2,1,1,1,1,3,2,1,1,2,2,230,22,13,21
1,230,23,1,5,5,2,2,3,8,2,4,1,1,1,2,3,2,2,0,2,2,4,2,1,2,2,1,1,2,2,0,2,2,2,3,2,1,2,2,2,1,1,2,1,2,1,2,2,5,5,4,1,2,2,3,2,1,1,5,2,1,2,2,3,5,3,1,3,2,3,2,0,2,230,23,13,40
1,230,24,1,6,3,2,2,3,5,2,3,1,1,1,2,3,2,2,1,1,1,2,2,1,2,2,1,2,1,2,4,2,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,4,1,1,2,1,1,4,1,2,3,4,2,2,2,1,1,1,1,1,1,1,1,1,2,2,230,24,13,18
1,230,25,1,7,4,2,1,3,4,2,1,3,1,1,2,3,2,2,3,3,1,2,2,1,2,2,2,2,2,3,3,3,2,2,3,1,1,1,2,2,2,2,2,2,1,2,1,2,5,5,4,2,4,3,1,3,3,2,5,3,3,3,3,1,3,1,1,4,3,3,1,2,2,230,25,13,37
1,230,26,5,9,3,4,1,2,5,2,4,2,1,1,2,3,2,2,1,1,1,2,2,1,2,2,1,2,1,2,0,1,1,3,2,2,1,1,2,2,2,1,2,1,2,2,1,2,5,2,2,1,1,1,2,2,1,2,3,2,1,1,1,2,2,3,1,2,2,1,1,0,2,230,26,15,38
1,230,27,5,9,4,2,2,3,9,2,2,4,1,1,2,3,2,4,3,2,1,3,2,1,2,2,1,1,1,2,2,1,1,3,5,2,2,2,2,1,1,1,2,1,2,1,2,2,5,5,4,1,2,1,3,2,2,1,3,2,2,3,2,2,2,3,2,2,2,1,3,0,2,230,27,15,33
1,230,28,1,9,3,1,2,2,2,1,4,1,1,1,2,3,2,3,1,2,1,4,2,2,2,2,1,1,2,2,1,3,2,3,2,2,1,2,2,2,1,1,1,1,2,2,2,2,5,5,4,1,1,1,1,1,2,2,5,2,2,3,2,3,2,2,2,5,0,3,0,0,2,230,28,15,35
1,230,29,3,8,5,7,2,3,10,2,4,3,1,1,2,0,0,4,3,3,1,2,2,0,2,2,1,1,1,1,4,2,1,5,3,2,1,2,2,2,1,1,2,1,2,2,1,2,5,0,0,1,2,1,1,3,3,2,5,0,0,0,3,3,3,1,2,5,0,3,0,0,2,230,29,15,8
1,230,30,0,0,0,0,0,0,0,2,4,5,1,1,2,3,2,2,2,2,1,4,3,1,0,0,0,0,0,0,0,1,2,3,2,2,1,2,2,1,1,2,2,2,1,2,1,2,5,1,2,1,2,1,2,2,3,2,5,2,2,2,2,3,2,3,1,3,0,3,2,0,2,230,30,15,32
1,230,31,1,3,4,1,3,2,4,2,2,2,1,1,2,3,2,2,3,2,1,3,3,1,1,2,2,2,1,1,4,2,1,3,3,2,1,1,1,2,1,2,2,2,2,1,2,2,5,2,3,1,1,2,1,2,1,2,3,2,2,2,1,2,2,1,1,2,2,2,1,2,2,230,31,15,12
1,230,32,1,4,4,3,2,2,2,2,4,1,1,1,2,3,2,2,1,4,1,2,2,1,2,2,1,1,1,2,4,2,1,3,2,2,1,2,2,2,1,1,2,1,2,1,2,2,5,1,1,1,1,3,1,3,3,2,1,0,1,1,3,3,2,1,1,1,2,1,1,1,2,230,32,15,18
1,230,33,3,11,3,2,1,1,3,1,4,1,1,1,2,3,2,1,1,2,1,1,2,1,2,2,1,1,1,1,0,1,1,3,3,1,2,2,2,1,1,1,2,1,2,2,2,2,5,2,1,1,1,3,2,2,3,3,5,3,1,1,3,2,2,3,1,3,2,3,1,2,2,230,33,15,31
1,230,34,3,9,5,4,2,2,3,2,3,2,1,1,2,3,3,2,2,3,1,4,2,2,2,2,1,1,2,1,4,1,2,3,3,2,1,1,2,2,1,2,2,1,2,2,1,2,5,5,4,1,3,3,2,2,2,2,3,3,2,3,3,2,2,2,1,1,1,1,1,1,2,230,34,15,6
1,230,35,2,9,1,1,3,5,3,2,4,4,1,1,2,3,3,5,3,2,1,2,2,0,2,2,1,1,1,1,4,3,2,4,2,2,1,2,2,1,1,1,2,1,2,2,2,2,5,5,4,1,2,1,5,5,3,4,5,2,0,2,2,5,5,3,2,5,0,1,0,0,2,230,35,16,12
1,230,36,4,11,1,6,2,5,7,3,2,4,2,1,2,3,4,4,3,4,2,1,4,2,2,2,1,1,1,1,4,2,1,4,2,2,1,1,1,2,2,1,2,2,2,1,2,2,5,1,1,1,1,2,5,4,3,4,1,1,2,3,2,4,5,3,2,4,4,3,0,1,2,230,36,16,30
1,230,37,4,10,4,7,2,3,7,2,3,2,1,1,2,3,2,2,1,2,1,2,2,2,2,2,1,1,1,1,4,2,1,4,3,2,1,2,2,1,1,1,2,1,2,2,2,2,5,2,1,1,1,2,3,2,1,3,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,230,37,16,3
1,230,38,5,7,4,7,4,4,5,2,3,2,1,1,2,3,2,2,2,3,1,3,2,1,1,2,1,1,1,2,4,3,2,3,3,2,1,2,2,2,2,1,2,1,2,1,1,2,5,5,4,1,1,3,1,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,230,38,16,26
1,230,39,1,5,4,4,3,5,3,2,4,3,1,1,2,3,4,5,3,3,1,2,2,1,2,2,1,2,2,1,4,1,2,5,5,2,1,1,1,2,2,1,2,1,2,2,2,2,5,5,4,1,1,2,2,2,3,3,5,2,1,3,3,1,2,1,1,2,1,1,2,1,2,230,39,16,22
1,230,40,1,5,4,4,1,5,7,2,4,3,1,1,2,3,3,5,3,4,1,4,4,2,2,2,1,1,1,1,4,2,2,2,3,2,1,1,2,2,2,1,2,1,2,2,1,2,5,5,4,1,1,2,4,1,1,2,5,2,2,2,2,2,2,1,2,2,1,1,2,2,2,230,40,16,48
1,230,41,1,7,3,5,3,5,7,2,2,4,1,1,2,3,4,5,3,4,2,5,4,0,2,2,1,1,2,2,4,1,2,1,3,2,1,2,2,2,1,2,2,2,2,1,2,2,3,5,4,1,2,2,1,2,1,1,2,2,2,2,2,3,2,1,2,3,2,1,1,2,2,230,41,16,28
1,230,42,1,3,4,2,2,2,5,2,3,1,1,1,3,3,2,4,1,1,0,2,2,2,1,2,1,2,1,2,4,1,2,4,1,1,1,2,2,2,1,1,2,1,2,2,2,2,5,5,4,1,1,1,2,1,2,2,1,2,2,3,1,3,2,2,2,2,2,3,2,2,2,230,42,20,5
1,230,43,3,5,4,1,1,2,5,1,4,2,3,3,3,3,2,2,2,1,1,2,2,0,2,1,1,1,2,2,2,3,2,3,2,1,1,2,2,2,1,1,2,1,2,2,2,2,5,5,4,1,1,2,2,1,2,1,2,3,2,2,2,3,2,1,1,3,2,3,2,0,2,230,43,15,2
1,230,44,4,7,4,5,2,5,5,2,2,2,1,1,3,3,3,4,2,2,2,2,4,2,2,2,1,2,2,2,4,3,2,1,3,2,1,1,2,1,1,2,2,1,2,2,2,2,5,5,4,1,2,2,5,5,3,4,5,0,0,0,0,5,5,0,0,0,0,0,0,0,2,230,44,20,21
1,230,45,4,7,5,2,1,3,5,1,4,3,1,1,3,0,2,3,2,3,1,2,2,2,2,2,1,2,2,1,4,3,2,3,3,2,1,1,2,2,2,1,2,1,2,1,2,2,5,5,4,1,1,2,2,1,1,2,3,2,2,2,2,2,2,2,0,2,2,2,1,2,2,230,45,20,2
1,230,46,3,9,5,4,2,3,5,2,4,3,1,2,3,3,2,4,2,3,1,2,2,1,2,2,1,1,2,2,2,1,2,3,3,2,1,2,2,2,1,1,1,1,2,2,2,2,5,5,4,1,3,3,1,2,1,2,5,2,2,2,2,3,2,3,1,3,2,1,2,2,2,230,46,22,21
1,230,47,2,6,2,4,2,2,6,1,4,5,0,1,3,3,2,1,2,1,1,2,2,1,2,2,1,1,2,1,4,2,1,3,5,2,1,1,2,1,1,2,2,1,2,2,2,2,5,5,4,1,1,3,1,2,2,1,3,2,2,0,3,3,5,1,2,5,0,2,2,2,2,230,47,22,12
1,230,48,2,7,2,4,1,1,7,2,4,1,1,1,3,3,2,2,1,2,1,2,2,1,2,2,1,1,1,2,4,1,1,3,2,2,1,2,2,1,1,1,2,1,2,2,2,2,5,2,1,1,1,2,3,2,1,1,2,2,2,2,2,2,2,1,2,5,0,0,2,2,2,230,48,22,4
1,230,49,1,11,3,3,2,3,7,2,3,1,1,1,3,3,2,1,1,2,1,2,2,1,2,2,1,1,2,1,4,2,1,3,2,2,1,2,2,2,1,1,2,2,1,1,2,2,5,1,2,1,1,2,2,3,1,1,2,3,1,3,3,2,3,1,1,3,3,1,2,1,2,230,49,22,9
1,230,50,3,7,3,1,2,4,7,1,3,3,1,1,3,3,3,5,3,4,1,4,3,1,2,2,1,2,1,1,4,2,2,1,3,2,1,2,2,2,1,1,2,1,2,2,2,2,4,5,4,1,2,2,2,3,1,2,1,2,2,2,2,1,3,1,1,5,3,1,2,2,2,230,50,20,40
1,230,51,4,0,4,4,3,4,7,2,4,1,1,2,3,3,2,2,2,2,1,4,2,1,2,2,1,1,2,1,4,1,2,3,2,1,1,2,2,2,2,1,2,1,2,2,1,2,5,5,4,1,1,2,1,3,3,2,2,2,3,1,1,2,3,1,1,4,3,1,3,1,2,230,51,22,38
1,230,52,3,5,4,4,2,3,7,2,4,3,1,1,3,3,3,3,3,2,1,2,2,1,2,2,1,1,2,1,0,3,2,3,3,2,1,1,2,2,2,1,2,1,2,1,2,2,5,5,4,1,2,1,3,2,2,1,3,2,2,2,3,2,2,2,2,5,0,2,2,2,2,230,52,15,34
1,230,53,2,9,4,4,3,5,7,2,2,4,1,1,3,3,3,5,3,3,0,3,4,1,2,1,0,1,1,1,4,2,1,2,3,2,1,2,2,2,2,1,2,1,2,2,2,2,3,4,4,2,3,1,1,4,3,3,5,0,1,3,0,3,5,3,1,5,0,3,0,1,2,230,53,22,44
1,230,54,1,6,5,4,2,2,7,2,4,1,2,2,3,3,2,4,2,3,2,2,2,1,2,2,1,1,1,2,2,1,2,3,2,1,1,2,2,2,2,1,1,2,2,2,1,2,5,5,4,1,1,1,3,2,2,1,4,3,2,3,3,3,2,1,2,2,2,2,2,2,2,230,54,22,19
1,230,55,2,11,4,5,1,1,9,1,2,1,1,1,3,3,1,1,1,2,1,2,2,1,2,2,1,2,1,1,4,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,5,1,1,1,1,3,2,1,1,1,1,2,2,3,1,2,1,1,1,2,1,2,2,0,2,230,55,22,11
1,230,56,1,3,3,1,1,3,10,1,4,3,1,1,3,3,2,3,2,3,1,2,2,2,1,1,1,1,2,2,4,1,1,3,3,1,1,2,2,2,1,1,2,1,2,2,2,2,5,2,2,1,1,1,4,1,1,1,1,1,1,1,1,2,1,2,1,3,2,2,2,0,2,230,56,20,46
1,230,57,3,9,3,5,3,5,10,2,3,4,3,1,3,3,3,5,3,1,1,4,4,2,2,2,1,1,1,1,4,2,1,3,5,2,2,1,2,2,1,1,1,1,2,2,2,2,5,5,4,2,2,1,1,2,3,2,5,2,2,2,2,3,5,3,1,5,0,3,2,2,2,230,57,20,49
1,230,58,2,9,5,5,5,3,10,1,4,2,1,2,3,3,2,4,2,1,1,3,2,1,2,2,1,1,1,1,4,3,2,3,2,2,1,2,2,1,1,2,1,2,2,1,2,2,5,5,4,1,1,2,3,1,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,2,230,58,20,24
1,230,59,1,8,1,6,1,2,2,1,4,1,1,1,3,3,2,2,1,2,1,3,1,2,1,1,1,1,1,3,2,2,1,2,3,1,1,2,2,2,1,1,2,1,2,2,2,2,5,2,2,1,2,1,1,2,3,2,3,1,2,1,2,2,2,1,2,3,2,1,2,2,2,230,59,22,7
1,230,60,2,5,4,4,3,3,2,1,4,1,1,2,3,3,2,2,1,2,2,5,2,2,2,1,1,2,2,2,3,2,1,2,3,1,1,2,2,2,1,1,2,1,2,2,2,2,5,2,2,1,1,3,2,2,1,1,2,2,2,1,1,3,5,3,1,3,2,3,1,2,2,230,60,22,18
1,230,61,4,5,4,2,5,3,2,2,4,3,1,1,3,3,2,3,3,3,1,4,4,2,2,2,1,1,1,1,4,3,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,5,4,1,4,1,3,3,1,1,5,2,1,3,2,2,3,3,1,3,3,1,2,0,2,230,61,15,45
1,230,62,3,6,4,7,2,0,2,2,4,3,1,1,3,3,2,4,3,0,1,4,3,1,2,2,1,1,1,1,4,1,1,2,5,1,2,2,1,2,1,1,2,1,2,2,2,2,5,5,4,1,4,3,1,3,3,2,5,0,0,0,0,3,0,3,0,1,2,2,2,0,2,230,62,21,34
1,230,63,1,4,5,1,5,3,2,2,3,3,2,1,3,3,3,4,3,3,2,0,2,1,2,2,2,2,2,1,4,3,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,5,5,4,2,1,3,5,5,3,4,5,2,2,2,2,5,5,1,0,0,0,1,0,0,2,230,63,20,50
1,230,64,3,10,5,2,2,5,2,2,3,5,1,2,3,3,2,4,3,3,2,3,4,2,2,1,0,2,2,2,2,1,1,2,3,2,1,2,2,2,1,1,2,1,2,2,1,2,5,5,4,1,3,3,1,2,1,2,2,2,2,2,2,3,2,2,1,3,2,1,2,2,2,230,64,22,8
1,230,65,2,7,1,5,2,5,3,1,3,2,1,1,3,3,4,5,3,3,2,4,4,1,1,1,1,1,2,0,2,1,1,4,2,2,1,1,2,2,1,1,1,2,2,2,2,2,5,2,2,2,3,1,2,2,1,1,3,1,3,1,1,1,2,3,1,3,2,1,2,2,2,230,65,20,11
1,230,66,2,8,2,5,1,5,3,3,2,2,1,2,3,3,5,5,1,1,1,3,4,2,2,1,1,1,2,3,2,3,2,4,5,2,1,1,2,2,1,2,1,2,2,1,2,2,5,5,3,3,2,2,4,1,2,1,3,2,2,2,1,1,1,1,1,3,2,3,2,2,2,230,66,19,15
1,230,67,1,10,2,4,1,5,3,1,4,4,1,1,3,3,3,5,3,3,1,4,1,2,2,2,1,2,1,2,0,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,5,5,4,1,2,1,4,2,2,1,3,1,3,3,2,1,2,1,2,3,3,2,2,2,2,230,67,19,3
1,230,68,3,9,3,1,1,4,3,1,2,3,1,1,3,3,2,4,3,3,2,3,2,2,2,2,1,1,2,2,2,3,2,3,2,2,2,2,2,1,1,1,2,1,2,1,2,2,5,5,4,1,1,1,1,1,1,3,3,2,2,2,2,2,2,3,1,1,2,1,1,2,2,230,68,20,28
1,230,69,3,11,4,2,2,2,3,2,3,2,1,1,3,3,3,4,2,2,2,2,1,1,2,2,1,1,2,1,0,3,2,3,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,5,4,1,1,2,3,2,2,2,5,3,3,3,1,1,2,1,1,2,2,1,2,0,2,230,69,15,23
1,230,70,2,3,4,1,1,1,3,1,3,3,1,1,3,3,3,4,2,2,1,4,1,1,2,2,1,1,1,2,3,3,2,2,3,2,1,2,2,2,1,2,1,1,2,2,1,2,5,5,4,1,1,2,5,5,0,4,5,2,1,2,2,5,5,2,1,5,1,1,1,1,2,230,70,15,1
1,230,71,2,4,4,3,3,4,3,2,2,1,0,1,3,3,2,2,1,2,1,3,2,1,2,2,1,1,2,2,3,2,1,3,3,2,1,2,2,2,1,2,1,1,1,2,2,2,5,2,2,1,1,3,3,2,2,2,3,2,1,2,3,1,2,3,2,1,1,1,1,2,2,230,71,22,40
1,230,72,4,10,5,4,1,3,3,2,3,3,1,1,3,3,3,4,3,3,1,4,4,2,2,2,1,1,2,1,4,3,2,3,5,2,1,2,1,2,1,1,2,2,2,2,1,2,5,5,4,1,2,2,2,3,1,2,1,2,2,2,2,4,4,1,1,4,3,1,3,2,2,230,72,15,39
1,230,73,1,5,3,5,4,4,4,2,4,2,1,1,3,3,3,3,2,3,1,3,2,2,2,2,1,1,1,2,4,1,2,3,2,2,1,2,2,2,1,2,1,1,1,2,2,2,5,5,4,1,1,3,1,4,3,4,5,1,3,3,1,3,2,3,1,5,0,3,2,0,2,230,73,22,13
1,230,74,2,8,2,4,2,3,5,2,4,2,1,1,3,3,2,2,2,2,1,3,2,1,2,1,1,1,1,1,4,2,1,3,5,2,1,1,2,2,1,2,2,1,2,1,2,2,5,2,1,1,2,3,3,2,1,1,5,2,2,2,2,3,2,1,2,2,2,3,2,2,2,230,74,22,3
1,230,75,1,11,2,5,2,2,7,3,1,2,1,1,3,3,1,1,1,3,1,4,2,1,2,1,1,1,1,1,3,3,2,4,1,2,2,1,2,1,1,2,1,1,2,2,2,2,5,2,2,2,2,3,1,1,1,1,1,1,3,3,2,1,1,1,2,4,2,2,2,2,2,230,75,9,59
1,230,76,2,5,4,7,2,5,7,2,4,2,1,1,3,3,2,3,2,3,1,3,3,1,2,2,1,1,1,1,4,3,2,4,2,2,1,2,2,2,1,2,1,1,2,1,2,2,5,5,4,1,3,1,1,3,3,2,5,2,2,3,2,4,5,1,2,5,0,1,2,0,2,230,76,12,5
1,230,77,2,10,5,3,1,2,7,2,4,5,3,2,3,3,3,4,3,3,1,4,3,1,1,2,1,1,1,2,0,1,2,3,2,2,1,1,1,2,2,1,2,1,2,2,2,2,5,2,2,1,1,1,1,2,1,0,5,1,2,2,3,2,1,2,0,1,1,1,1,0,2,230,77,11,11
1,230,78,1,10,3,6,3,3,2,1,1,3,1,2,3,3,2,4,2,2,1,4,1,1,2,2,1,1,1,2,2,2,1,2,3,2,1,2,2,1,1,1,2,1,2,2,2,2,5,2,2,1,2,1,1,2,3,3,5,1,2,2,2,3,2,3,1,4,3,2,3,2,2,230,78,12,17
1,230,79,2,5,5,4,2,4,2,1,3,2,1,1,3,3,2,2,2,3,1,2,2,1,1,2,1,1,1,2,4,1,1,3,2,2,1,2,1,2,1,2,2,1,2,2,1,2,5,1,1,1,2,2,3,2,1,1,1,2,2,3,2,2,2,1,1,1,2,2,2,2,2,230,79,11,41
1,230,80,3,9,4,1,2,2,4,1,4,3,1,2,3,3,3,5,3,3,2,5,1,1,2,2,1,1,1,1,4,1,2,2,3,2,1,1,2,2,1,2,2,2,1,1,2,2,5,5,4,1,1,2,1,2,3,2,5,3,2,2,2,3,2,2,0,2,2,1,1,2,2,230,80,11,16
