,CARD,DECK,BALLOT,S199.Q1,S199.Q2,S199.Q3.1,S199.Q3.2,S199.Q3.3,S199.Q3.4,S199.Q3.5,S199.Q3.6,S199.Q3.7,S199.Q3.8,S199.Q3.9,S199.Q4,S199.Q5A,S199.V5B.1,S199.V5B.2,S199.V5B.3,S199.V5B.4,S199.V5B.5,S199.V5B.6,S199.V5B.7,S199.V5B.8,S199.V5B.9,S199.Q6,S199.Q7,S199.Q8.1,S199.Q8.2,S199.Q8.3,S199.Q9.1,S199.Q9.2,S199.Q9.3,S199.Q10,S199.Q11A,S199.V11B.1,S199.V11B.2,S199.V11B.3,S199.V11B.4,S199.V11B.5,S199.V11B.6,S199.V11B.7,S199.V11B.8,S199.Q12.1,S199.Q12.2,S199.Q13.1,S199.Q13.2,S199.Q13.3,S199.Q13.4,S199.Q13.5,S199.Q13.6,S199.Q13.7,S199.Q13.8,S199.Q13.9,S199.Q13.10,S199.Q13.11,S199.Q14,S199.Q15.n,S199.Q16.1,S199.Q16.2,S199.Q16.3,S199.Q16.4,S199.Q16.5,S199.Q16.6,S199.Q16.7,S199.Q16.8,S199.Q16.9,S199.Q16.10,S199.Q16.11,S199.Q16.12,CARD..1,DECK..1,BALLOT..1,S199.V17,S199.V18,S199.V19,S199.V20
10,1.0,199.0,11.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,8.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,8.0,2.0,0.0,1.0,4.0,0.0,5.0,4.0,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,199.0,11.0,4.0,1.0,14.0,1.0
11,1.0,199.0,12.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,5.0,5.0,8.0,2.0,0.0,8.0,1.0,4.0,5.0,4.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,199.0,12.0,4.0,1.0,21.0,1.0
12,1.0,199.0,13.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,0.0,4.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,8.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,199.0,13.0,4.0,1.0,20.0,1.0
13,1.0,199.0,14.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,4.0,0.0,5.0,5.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,14.0,4.0,1.0,7.0,1.0
14,1.0,199.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,4.0,6.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,15.0,4.0,1.0,23.0,1.0
15,1.0,199.0,16.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,8.0,2.0,8.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,5.0,1.0,8.0,2.0,0.0,1.0,4.0,0.0,5.0,3.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,16.0,4.0,1.0,13.0,1.0
16,1.0,199.0,17.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,1.0,3.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,17.0,5.0,5.0,33.0,1.0
17,1.0,199.0,18.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,8.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,7.0,7.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,199.0,18.0,5.0,6.0,77.0,1.0
18,1.0,199.0,19.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,7.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,8.0,2.0,0.0,1.0,4.0,0.0,5.0,2.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,199.0,19.0,5.0,6.0,78.0,1.0
19,1.0,199.0,20.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,199.0,20.0,5.0,6.0,90.0,1.0
20,1.0,199.0,21.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,6.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,4.0,6.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,21.0,5.0,5.0,79.0,1.0
21,1.0,199.0,22.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,1.0,2.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,199.0,22.0,5.0,6.0,23.0,1.0
22,1.0,199.0,23.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,0.0,1.0,8.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,3.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,199.0,23.0,5.0,5.0,68.0,1.0
23,1.0,199.0,24.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,8.0,0.0,6.0,8.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,8.0,2.0,0.0,1.0,3.0,0.0,5.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,24.0,5.0,6.0,22.0,1.0
24,1.0,199.0,25.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,0.0,1.0,8.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,8.0,2.0,0.0,1.0,4.0,0.0,2.0,4.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,25.0,5.0,5.0,61.0,1.0
25,1.0,199.0,26.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,5.0,0.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,199.0,26.0,5.0,6.0,87.0,1.0
26,1.0,199.0,27.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,6.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,199.0,27.0,5.0,5.0,57.0,0.0
27,1.0,199.0,28.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,28.0,5.0,6.0,49.0,1.0
28,1.0,199.0,29.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,8.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,199.0,29.0,5.0,5.0,3.0,2.0
29,1.0,199.0,30.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,199.0,30.0,5.0,6.0,92.0,1.0
30,1.0,199.0,31.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,199.0,31.0,5.0,6.0,50.0,1.0
31,1.0,199.0,32.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,0.0,2.0,7.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,199.0,32.0,5.0,6.0,11.0,1.0
32,1.0,199.0,33.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,33.0,5.0,6.0,60.0,1.0
33,1.0,199.0,34.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,3.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,199.0,34.0,5.0,6.0,6.0,2.0
34,1.0,199.0,35.0,16.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,35.0,5.0,6.0,30.0,1.0
35,1.0,199.0,36.0,20.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,1.0,4.0,2.0,5.0,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,199.0,36.0,5.0,7.0,17.0,1.0
36,1.0,199.0,37.0,20.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,8.0,0.0,3.0,6.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,5.0,0.0,3.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,37.0,5.0,7.0,9.0,1.0
37,1.0,199.0,38.0,20.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,0.0,2.0,8.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,199.0,38.0,5.0,7.0,6.0,1.0
38,1.0,199.0,39.0,20.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,0.0,1.0,8.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,5.0,6.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,199.0,39.0,5.0,7.0,20.0,1.0
39,1.0,199.0,40.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,0.0,1.0,5.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,199.0,40.0,5.0,5.0,47.0,2.0
40,1.0,199.0,41.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,0.0,1.0,8.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,199.0,41.0,5.0,5.0,32.0,1.0
