CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14A.,Q.14B.,Q.14C.,Q.15A.,Q.15A..1,Q.15A..2,Q.15A..3,Q.15A..4,Q.15A..5,Q.15A..6,Q.15A..7,Q.15A..8,Q.15B.,Q.15C.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25A.,Q.25B.,Q.25C.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.29B.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,CARD..1,DECK..1,BALLOT..1,Q.49.,Q.50.,Q.51.,Q.52A.,Q.52B.,Q.52C.,Q.52D.,Q.52E.,Q.52F.,Q.53.,Q.54.,Q.55.,V.58.,V.59.,V.60.,V.61.,V.62.,V.63.
1,159,13,2,7,1,1,6,5,7,1,5,5,10,3,5,4,5,2,2,2,2,1,2,2,2,1,4,5,1,1,3,1,1,3,8,7,1,0,0,0,1,3,5,0,0,0,0,4,3,3,3,3,5,7,1,1,1,1,3,5,3,1,9,3,2,159,13,1,3,2,1,2,1,1,1,1,1,1,1,6,0,3,0,4,0
1,159,14,2,2,5,2,6,3,5,1,6,4,10,3,8,3,5,2,2,2,2,2,2,2,1,10,0,0,3,1,11,1,3,4,0,0,5,0,0,0,3,4,4,0,0,0,0,4,3,3,3,3,8,8,2,2,1,3,3,5,3,1,4,3,2,159,14,3,3,2,1,2,2,1,2,1,1,3,2,0,0,3,0,5,0
1,159,15,1,10,4,2,6,7,3,1,6,5,10,3,7,3,5,2,2,2,2,2,1,2,2,4,3,4,1,1,3,2,2,3,8,7,1,0,0,0,3,3,4,0,0,0,0,4,3,3,3,3,3,4,4,2,3,2,3,5,3,2,11,2,2,159,15,3,2,2,1,2,1,1,2,1,1,4,2,5,3,5,0,5,0
1,159,16,1,4,1,1,6,4,5,1,6,5,10,3,5,3,5,2,2,2,2,1,2,2,2,1,3,4,1,1,3,1,1,3,8,7,1,0,0,0,1,3,5,0,0,0,0,4,3,3,3,3,9,6,4,2,1,2,3,2,4,2,6,3,2,159,16,5,2,2,1,2,1,1,2,1,1,1,1,6,4,1,0,5,0
1,159,17,2,2,1,1,6,1,4,5,6,5,10,3,5,4,5,2,2,2,2,1,2,2,2,1,4,9,1,1,3,1,2,3,8,7,2,4,4,3,1,3,5,0,0,0,0,4,3,3,3,3,5,8,1,1,2,2,4,2,3,1,5,2,2,159,17,1,2,1,1,2,1,1,2,1,1,1,2,6,0,6,0,5,0
1,159,18,4,10,5,3,6,7,5,1,4,4,10,3,6,5,5,2,2,1,2,2,2,2,2,2,4,0,1,2,4,1,0,3,8,7,2,0,1,0,0,0,0,0,0,0,0,4,3,3,3,3,3,4,2,0,3,0,3,3,2,0,0,3,2,159,18,1,2,1,0,1,1,1,0,1,1,2,0,6,1,7,5,2,0
1,159,19,4,9,5,2,6,7,5,2,3,5,10,3,5,5,5,2,2,2,2,2,1,2,2,4,5,9,1,1,3,2,2,3,8,7,1,0,0,0,1,3,5,0,0,0,0,4,3,3,3,3,5,7,2,3,1,3,4,2,2,3,7,2,2,159,19,3,2,3,1,1,1,0,0,1,1,4,2,6,2,4,0,2,0
1,159,20,4,9,1,1,6,7,7,3,5,4,10,3,5,5,5,2,2,2,2,1,2,2,2,1,5,6,1,3,3,1,1,3,8,7,5,0,0,0,1,3,5,0,0,0,0,3,3,3,3,3,3,3,2,1,2,1,3,2,3,2,5,3,2,159,20,1,2,0,1,0,0,1,1,1,1,1,1,6,3,7,0,3,0
1,159,21,4,9,5,3,7,7,5,1,2,4,10,3,10,3,5,2,2,2,2,1,2,2,2,8,8,6,1,1,1,3,3,3,8,7,5,0,0,0,1,3,5,0,0,0,0,4,3,3,3,3,7,3,2,3,3,2,3,2,4,3,4,3,2,159,21,1,3,1,1,2,1,1,2,1,1,2,1,6,3,5,0,5,0
1,159,22,1,11,5,3,6,7,2,1,6,5,10,3,3,6,5,2,2,2,1,2,2,2,2,11,6,7,1,1,4,1,3,1,2,2,4,2,1,3,1,3,5,0,0,0,0,4,3,3,3,3,4,1,0,1,2,1,4,2,3,1,2,2,2,159,22,1,3,1,1,2,1,1,2,1,1,1,1,6,3,8,2,5,0
1,159,23,2,10,5,2,6,7,5,1,4,5,10,3,8,6,5,2,2,2,1,2,2,2,2,11,6,8,1,1,4,1,2,1,2,2,4,2,1,3,1,3,5,0,0,0,0,4,3,3,3,3,5,5,2,1,2,2,4,2,3,2,2,3,2,159,23,3,3,1,1,2,1,1,2,1,2,1,1,6,3,6,2,5,0
1,159,24,4,10,1,1,6,7,5,1,5,4,10,3,8,6,5,2,2,2,1,2,2,2,2,3,8,5,2,1,4,1,3,1,2,5,4,2,1,3,1,3,2,0,0,0,0,4,3,3,3,1,3,5,2,1,1,2,3,2,3,1,2,3,2,159,24,1,3,1,1,2,2,1,2,1,1,3,1,6,6,1,2,5,0
1,159,25,2,6,5,2,6,5,5,2,3,4,10,3,11,3,5,2,2,2,1,2,2,2,2,3,8,9,2,1,4,1,3,2,2,2,4,2,1,3,1,3,4,0,0,0,0,4,3,3,3,3,3,5,2,3,1,2,2,2,3,3,2,3,2,159,25,1,2,2,1,0,1,1,0,1,1,1,1,6,4,2,2,3,0
1,159,26,1,9,5,2,6,7,5,1,6,5,10,3,10,4,5,2,2,2,1,2,2,2,2,3,8,9,2,1,4,1,3,4,2,2,4,2,2,3,1,3,5,0,0,0,0,4,3,3,3,3,5,8,1,3,2,1,2,2,3,1,3,3,2,159,26,3,3,2,1,2,1,1,2,1,2,4,1,6,3,8,2,5,0
1,159,27,2,1,1,1,6,2,4,5,1,5,10,3,0,1,5,1,2,1,2,2,2,2,2,9,7,9,3,3,4,2,3,4,3,0,4,1,1,3,3,4,4,7,0,3,5,3,3,2,2,1,7,8,2,3,3,2,3,2,3,1,10,3,2,159,27,3,3,2,1,1,2,1,2,1,3,4,1,0,5,5,3,4,0
1,159,28,4,4,1,1,6,2,5,1,4,5,10,3,6,1,5,2,2,2,2,2,1,2,2,4,1,9,1,2,3,2,2,2,1,1,1,0,0,0,2,4,1,2,0,3,5,4,3,3,3,3,4,7,2,3,3,2,3,3,2,1,1,3,2,159,28,1,3,3,1,1,1,1,2,1,3,1,2,3,3,5,0,4,0
1,159,29,2,1,1,1,6,2,4,2,5,3,10,3,6,2,5,2,2,2,2,1,2,2,2,7,2,5,2,3,7,2,2,4,1,1,5,0,0,0,0,0,0,3,0,3,5,2,2,3,3,3,7,8,2,3,1,2,4,2,3,3,11,0,2,159,29,3,3,2,1,1,1,1,2,1,3,1,1,6,4,2,0,4,0
1,159,30,4,6,5,2,6,7,5,2,6,3,6,3,5,4,5,1,2,2,2,2,2,2,2,8,0,0,2,1,4,1,3,1,2,4,4,0,3,1,2,1,2,7,0,3,0,4,3,3,3,3,6,7,2,2,1,3,3,2,3,1,4,3,2,159,30,1,3,2,0,0,0,0,0,0,1,3,1,2,5,3,0,9,0
1,159,31,2,9,1,1,5,7,5,1,6,5,10,3,5,5,5,2,2,2,2,1,2,2,2,2,9,5,2,1,3,1,3,1,2,2,4,2,2,2,1,3,5,0,0,0,0,4,3,3,3,3,7,8,2,2,1,2,4,2,3,1,2,3,2,159,31,3,2,1,1,0,0,0,0,1,1,3,1,6,5,2,0,2,0
1,159,32,4,10,5,2,5,7,6,1,6,5,10,3,6,5,5,2,2,2,2,2,2,1,2,2,8,9,2,1,4,1,3,1,2,2,2,4,1,3,1,3,3,0,0,0,0,4,3,3,3,3,3,3,1,1,2,2,3,2,3,1,2,3,2,159,32,1,3,1,1,2,1,1,2,1,1,3,1,6,5,5,5,5,0
1,159,33,2,7,1,1,6,5,3,1,4,5,10,3,6,4,5,1,2,2,2,2,2,2,2,8,0,0,3,3,1,3,2,2,2,3,2,4,3,1,2,4,2,2,0,4,5,4,3,3,3,3,8,8,2,2,1,4,3,2,4,2,1,3,2,159,33,3,3,1,2,1,1,2,2,2,1,1,1,3,3,3,0,1,0
1,159,34,6,9,5,2,6,7,5,2,4,5,10,3,8,5,5,2,2,2,2,1,2,2,2,1,4,4,2,1,3,1,1,2,2,2,5,0,0,0,3,3,3,0,0,0,0,4,3,3,3,3,5,8,2,3,2,1,3,2,3,1,4,2,2,159,34,1,2,1,2,2,2,1,1,1,1,1,1,5,0,7,0,3,0
1,159,35,8,9,6,2,6,7,7,1,5,5,3,3,11,4,5,2,2,2,2,1,2,2,2,7,4,9,3,3,3,1,2,2,2,3,5,0,0,0,3,4,1,3,1,2,5,3,3,3,3,3,5,7,1,2,2,2,3,2,3,1,4,3,2,159,35,3,1,1,1,2,1,1,2,1,1,4,1,4,5,5,0,5,90
1,159,36,3,3,1,1,6,3,5,1,6,1,4,3,7,1,5,2,2,2,2,1,2,2,2,8,8,4,3,3,3,2,3,2,2,2,5,2,2,1,3,4,2,2,1,2,5,4,3,3,3,3,5,7,2,2,1,2,3,2,3,1,7,3,2,159,36,3,2,1,1,2,1,1,2,1,1,4,2,4,6,1,0,5,98
1,159,37,3,7,1,1,5,7,6,1,3,2,12,3,6,3,5,2,2,1,2,2,2,2,2,3,4,3,1,1,4,2,3,1,3,3,4,1,2,2,3,4,4,0,0,0,0,4,3,3,3,3,7,8,3,2,2,2,2,5,3,3,11,3,2,159,37,1,2,2,1,1,2,1,1,1,1,3,1,0,2,6,2,3,90
1,159,38,1,9,5,4,6,7,5,1,5,5,4,3,5,5,5,2,2,2,2,1,2,2,2,1,5,3,1,1,3,2,2,2,4,1,1,0,0,0,1,3,5,0,0,0,0,3,3,3,3,3,1,2,4,2,1,1,3,5,3,1,4,3,2,159,38,1,2,1,1,1,1,1,2,1,1,1,3,6,0,3,0,4,98
1,159,39,4,9,1,1,6,7,7,1,6,5,1,3,5,4,5,2,2,2,2,1,2,2,2,1,8,4,1,1,1,1,3,2,4,4,1,0,0,0,3,4,3,7,1,3,5,4,3,3,3,3,7,3,3,2,2,2,3,2,4,3,6,3,2,159,39,3,3,1,1,2,1,1,0,1,1,2,2,0,3,5,0,4,90
1,159,40,2,4,1,1,6,4,5,1,4,5,2,3,6,3,5,2,2,2,2,1,2,2,2,1,3,5,1,1,3,1,1,2,4,8,1,0,0,0,1,3,5,0,0,0,0,4,3,1,3,3,5,8,0,2,2,0,0,5,0,1,2,3,2,159,40,3,3,1,1,2,2,1,1,1,1,1,1,6,1,8,0,4,98
1,159,41,2,3,6,2,5,3,5,1,6,5,5,3,10,3,5,2,2,2,2,1,2,2,2,1,3,4,1,1,3,1,1,2,4,2,1,0,0,0,1,3,5,0,0,0,0,4,3,3,3,3,3,6,4,2,1,1,4,5,3,2,2,3,2,159,41,1,2,1,1,2,1,1,2,1,1,1,1,6,2,4,0,5,98
1,159,42,1,5,5,3,6,4,5,2,5,5,12,3,7,1,5,2,2,2,2,1,2,2,2,7,1,4,2,3,3,1,2,2,4,4,1,0,0,0,3,3,4,0,0,0,0,4,3,3,3,3,4,4,2,1,1,2,3,2,3,1,2,3,2,159,42,3,3,2,1,2,2,1,2,1,2,1,2,5,6,1,0,5,90
1,159,43,4,9,6,2,6,4,7,3,1,5,4,3,6,3,5,2,2,2,2,1,2,2,2,8,9,5,2,1,1,3,3,4,4,2,1,0,0,0,3,2,2,2,1,3,5,4,3,3,3,3,5,5,3,2,3,2,4,5,3,1,9,3,2,159,43,3,3,2,1,2,2,1,2,1,2,3,1,4,3,6,0,5,98
1,159,44,1,10,5,5,4,7,2,1,5,2,4,3,6,2,5,2,2,2,2,1,2,2,2,1,2,5,1,1,3,1,1,4,4,3,1,0,0,0,1,3,5,0,0,0,0,4,3,3,3,3,5,3,2,3,3,1,4,2,3,1,2,2,2,159,44,1,3,2,2,1,1,1,2,1,3,1,1,6,3,8,0,3,98
1,159,45,4,9,5,3,4,7,4,1,4,5,4,3,5,4,5,2,2,2,2,1,2,2,2,1,4,5,1,1,3,1,1,2,4,1,1,0,0,0,1,3,5,0,0,0,0,4,3,3,3,1,5,8,1,2,1,1,2,2,4,1,2,3,2,159,45,3,2,2,1,0,1,1,0,1,3,1,1,6,3,4,0,3,98
1,159,46,3,9,5,3,4,7,5,1,4,5,1,3,5,5,5,2,2,2,2,1,2,2,2,7,5,6,2,1,3,2,2,2,4,2,1,0,0,0,3,4,4,2,1,2,5,4,3,3,3,3,2,3,1,3,1,2,2,2,2,1,8,3,2,159,46,1,3,2,1,2,1,1,2,1,3,1,1,0,0,2,0,5,90
1,159,47,4,10,5,2,6,7,5,1,3,5,3,3,7,3,5,2,2,2,2,1,2,2,2,1,3,4,2,1,3,1,1,3,4,2,1,0,0,0,3,2,1,2,1,3,5,3,2,1,1,1,7,8,1,2,2,3,3,5,3,1,4,3,2,159,47,2,3,1,0,1,1,1,0,1,3,1,1,4,3,7,0,2,90
1,159,48,3,10,5,5,6,7,2,1,3,5,3,3,5,5,5,2,2,2,2,1,2,2,2,1,5,4,1,1,3,1,1,2,4,1,1,0,0,0,1,3,3,0,0,0,0,3,3,3,3,3,4,5,1,1,2,1,4,2,3,1,3,3,2,159,48,1,3,1,1,0,1,1,0,1,3,1,1,6,3,8,0,3,90
1,159,49,1,5,5,2,6,3,4,1,6,5,4,3,6,2,5,2,2,2,2,1,2,2,2,7,2,4,2,1,3,1,2,4,4,2,1,0,0,0,3,2,0,2,1,2,5,4,3,3,3,3,3,3,2,3,2,2,2,2,4,2,4,3,2,159,49,3,3,3,1,1,1,1,2,1,3,1,2,0,2,6,0,4,98
1,159,50,8,11,5,3,6,7,5,1,4,5,16,3,1,6,5,2,2,2,2,1,2,2,2,1,6,5,1,1,3,1,1,2,4,2,1,0,0,0,3,4,4,3,1,3,0,4,3,3,3,3,5,1,4,2,1,3,3,2,3,1,10,3,2,159,50,3,2,2,1,2,1,1,2,1,3,1,1,0,5,3,0,5,30
1,159,51,1,9,1,1,0,4,6,1,4,5,4,3,0,3,5,2,2,2,2,2,2,2,1,0,0,5,1,3,3,1,1,1,0,2,4,0,1,1,1,3,3,2,0,1,0,3,3,3,3,3,3,5,3,2,1,1,2,3,3,2,2,3,2,159,51,1,2,1,1,0,0,0,0,0,1,0,0,6,2,4,0,1,98
1,159,52,2,0,1,1,1,2,6,1,2,5,12,3,0,0,5,2,2,2,2,2,2,2,1,10,0,9,1,3,7,1,1,1,0,7,1,0,0,0,3,3,4,0,0,6,0,2,3,3,3,3,9,0,2,3,2,4,1,1,2,3,4,1,2,159,52,3,3,2,0,0,0,0,1,0,1,1,1,5,0,8,0,0,90
1,159,53,4,9,5,3,5,7,3,1,4,5,13,3,10,4,5,2,2,2,2,1,2,2,2,1,4,4,1,1,3,1,1,1,7,2,1,0,0,0,3,2,1,2,1,2,0,4,3,3,3,3,5,7,2,2,1,2,3,2,4,1,8,3,2,159,53,1,2,2,1,1,1,1,2,1,1,1,2,4,5,1,0,4,90
1,159,54,1,9,5,4,7,7,4,1,6,5,1,3,5,4,5,2,2,2,2,1,2,2,2,1,4,5,1,2,3,1,1,1,7,3,5,2,2,2,1,3,5,0,0,0,0,4,3,3,3,3,7,5,1,1,1,2,3,2,3,1,2,3,2,159,54,1,3,1,1,2,2,1,1,1,2,1,1,6,6,1,0,4,98
1,159,55,1,0,1,1,1,0,5,1,1,5,4,3,6,0,5,2,2,2,2,1,2,2,2,1,7,3,1,1,3,2,1,1,8,3,1,0,0,0,1,3,3,0,0,0,0,4,3,3,3,3,3,7,2,2,0,0,0,0,0,0,0,0,2,159,55,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,9,98
1,159,56,3,11,5,3,7,7,3,1,3,5,3,3,1,5,5,2,2,1,2,1,2,2,2,8,8,5,2,1,1,1,3,2,7,3,5,1,1,3,2,3,3,0,0,0,0,4,3,3,3,3,7,3,4,1,2,2,3,2,3,1,4,3,2,159,56,3,0,2,1,2,1,1,2,1,0,1,2,5,5,5,4,5,90
1,159,57,1,11,5,3,6,7,3,1,4,2,1,3,10,6,5,2,2,2,1,2,2,2,2,9,1,5,3,3,4,1,2,1,7,3,5,5,1,2,3,3,5,0,0,0,0,4,3,3,3,3,1,1,4,2,3,4,2,2,3,1,2,3,2,159,57,3,3,2,1,1,2,1,2,1,1,2,1,5,3,8,4,4,90
1,159,58,8,6,6,2,6,4,7,3,5,3,4,3,10,3,5,2,2,2,1,1,2,2,2,5,3,4,1,2,4,1,3,2,2,6,4,2,4,2,3,4,4,5,1,2,1,4,3,3,3,3,5,7,2,2,1,2,2,5,3,1,10,2,2,159,58,3,3,1,2,2,2,1,1,1,2,3,1,0,0,2,3,3,98
1,159,59,1,10,5,2,5,7,4,1,4,3,5,3,5,3,5,2,2,2,1,2,2,2,2,9,3,9,1,3,7,2,2,4,2,2,4,2,2,2,3,3,5,0,0,0,0,3,3,3,3,3,3,10,3,2,3,2,3,2,3,1,2,3,2,159,59,3,2,2,1,2,1,1,2,1,1,4,1,5,5,5,4,5,98
1,159,60,1,1,1,1,5,3,4,1,6,4,13,3,5,4,5,2,2,2,1,2,2,2,2,9,4,9,1,1,4,1,1,2,2,8,4,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,1,5,3,1,2,1,3,2,2,2,1,3,2,159,60,1,3,2,1,2,1,1,2,1,1,1,2,4,2,7,3,5,90
1,159,61,5,10,5,3,4,7,4,1,4,4,1,3,5,6,5,2,2,2,1,2,2,2,2,9,6,6,1,1,4,1,2,3,8,7,4,2,1,3,1,3,5,0,0,0,0,4,3,3,3,3,3,7,1,3,3,3,3,5,4,2,5,3,2,159,61,3,3,3,1,2,1,1,2,1,3,1,1,6,1,7,3,5,90
1,159,62,1,10,5,3,5,7,3,1,5,5,1,3,3,5,5,2,2,2,1,2,2,2,2,9,5,9,3,1,4,2,2,2,2,4,4,2,2,3,3,2,2,3,0,2,0,4,3,3,3,3,3,5,1,2,3,3,3,2,3,1,4,3,2,159,62,3,2,2,1,2,1,1,2,1,1,1,1,4,0,7,3,5,90
1,159,63,3,11,5,2,4,7,5,1,4,5,1,3,10,5,5,2,2,2,1,1,2,2,2,9,5,6,2,1,3,1,1,4,8,7,5,0,0,0,3,4,1,0,0,0,0,3,3,2,3,1,8,3,1,3,1,2,3,3,2,2,4,3,2,159,63,2,3,2,1,1,1,1,1,1,1,1,1,4,3,1,4,3,90
1,159,64,2,9,5,3,5,7,5,1,6,5,4,3,6,3,5,2,2,2,1,1,2,2,2,5,1,6,1,1,3,1,2,1,4,2,5,2,3,3,1,3,5,0,0,0,0,3,3,3,3,3,3,7,1,2,2,2,2,5,4,1,8,3,2,159,64,1,2,1,1,2,1,1,2,2,1,1,1,6,2,6,4,4,98
1,159,65,1,10,1,1,5,7,6,1,6,5,3,3,5,2,5,2,2,2,1,2,1,2,2,9,2,5,3,3,7,2,2,1,2,3,5,0,3,3,0,3,4,0,0,0,0,4,3,3,3,3,4,1,4,1,2,1,3,2,4,2,7,3,2,159,65,3,3,1,2,2,1,1,2,1,1,1,1,6,2,7,4,4,30
1,159,66,4,8,5,3,5,7,3,1,4,3,13,3,6,4,5,2,2,2,1,2,2,2,2,9,3,5,1,1,4,1,2,1,2,2,4,2,1,3,1,3,5,0,0,0,0,3,3,3,3,3,1,3,2,2,2,2,0,3,3,3,2,3,2,159,66,3,2,2,1,2,1,1,1,1,1,1,1,6,2,6,3,4,90
1,159,67,6,10,1,1,4,7,6,2,4,5,12,3,6,3,5,2,2,2,1,1,2,2,2,5,3,5,1,1,4,1,2,2,7,2,4,2,1,3,3,2,4,2,1,3,5,3,2,2,3,2,3,3,0,3,3,2,4,5,3,1,11,3,2,159,67,3,3,2,1,2,1,1,2,1,3,4,1,0,3,6,3,5,90
1,159,68,2,4,1,1,6,3,5,1,3,5,4,3,6,3,5,2,2,2,1,1,2,2,2,5,3,4,2,3,3,2,2,2,2,3,5,2,3,3,3,4,2,5,1,4,5,4,3,1,2,1,5,8,2,2,2,3,3,2,3,1,4,2,2,159,68,3,2,1,1,2,1,2,2,1,1,4,1,4,0,7,4,4,98
1,159,69,6,6,5,3,5,6,4,1,6,3,4,3,11,4,5,2,2,2,1,1,2,2,2,5,4,5,1,1,4,1,3,1,7,3,4,2,1,3,1,3,5,0,0,0,0,4,3,3,3,3,1,3,4,1,2,2,3,2,3,2,4,2,2,159,69,1,3,1,0,0,1,0,0,0,1,1,1,6,4,5,3,9,98
1,159,70,1,4,5,2,6,4,5,1,6,3,16,3,5,3,5,2,2,2,1,2,2,2,2,9,9,5,2,1,4,1,2,2,2,2,4,2,1,3,3,4,1,2,1,1,5,4,3,3,3,3,3,3,4,2,2,1,4,5,3,2,8,3,2,159,70,1,2,1,1,0,1,1,0,1,1,1,1,4,1,8,3,3,30
1,159,71,1,3,1,1,4,3,5,2,6,2,4,3,6,3,5,2,2,2,1,2,2,2,2,9,8,9,1,3,3,2,3,4,2,1,5,0,0,0,3,2,1,2,0,2,5,4,3,3,3,3,5,8,2,3,1,1,3,3,2,3,2,3,2,159,71,1,2,3,0,0,1,0,0,0,3,4,1,4,2,3,4,9,98
1,159,72,2,8,1,1,7,3,6,2,6,5,2,3,11,3,5,2,2,2,2,1,2,2,2,7,3,4,3,3,3,1,2,1,1,2,5,2,2,2,3,2,2,5,1,3,1,4,3,3,3,3,8,8,2,1,1,4,3,2,4,1,2,3,2,159,72,3,2,1,1,2,1,1,2,1,1,1,1,4,0,3,0,5,98
1,159,73,9,6,3,2,5,6,5,1,3,5,4,3,6,3,5,2,2,2,2,1,2,2,2,7,3,4,2,2,3,1,1,1,1,8,1,0,0,0,2,2,1,7,1,4,5,4,3,3,3,3,5,7,3,3,3,4,2,2,3,1,11,2,2,159,73,3,3,2,1,2,2,1,2,1,2,2,1,3,3,8,0,5,98
1,159,74,1,2,1,1,4,1,6,2,4,1,4,3,6,2,5,1,2,2,2,2,2,2,2,2,0,0,2,1,5,1,3,1,1,2,1,0,0,0,3,2,1,9,1,3,5,4,3,3,3,3,9,3,1,3,3,3,3,2,2,2,1,1,2,159,74,1,1,1,1,1,1,1,1,1,3,3,1,4,2,7,0,3,98
1,159,75,4,4,5,2,7,2,5,1,6,5,4,3,2,3,5,2,2,2,2,1,2,2,2,8,2,6,1,3,3,2,2,1,1,2,5,5,2,1,3,2,1,8,1,3,5,4,3,3,3,3,2,3,3,2,2,4,3,3,2,3,1,3,2,159,75,1,2,1,1,2,1,1,2,1,3,4,1,4,1,7,0,5,98
