CARD.,DECK.,BALLOT.,Q.1A.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.9.,Q.10A.,Q.10B.,Q.11.,Q.13.,Q.14A.,Q.15B.,Q.16.,Q.17A.,Q.18A.,Q.18C.,Q.19.,Q.20A.,Q.20B.,Q.20B..1,Q.20B..2,Q.21.,Q.22A.,Q.23.,Q.24.,Q.25A.,Q.26A.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.33A.,Q.33B.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39A.,Q.39C.,Q.40.,Q.40A.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45A.,Q.45B.,Q.45C.,Q.45D.,Q.45E.,Q.45F.,Q.45G.,Q.45H.,Q.45I.,Q.45J.,Q.45K.,Q.46.,V.47.
1,4,20,4,3,2,33,4,6,10,3,1,1,10,1,2,1,2,1,3,1,2,5,4,4,3,1,1,1,2,4,2,1,3,1,1,1,4,3,1,3,2,3,5,2,3,7,4,1,3,2,1,2,3,2,2,2,3,1,1,3,2,3,1,3,15
1,4,21,5,3,2,33,1,6,10,2,1,0,1,1,3,1,3,1,4,1,9,1,9,9,9,2,2,1,1,3,1,2,2,2,2,2,1,1,1,2,2,1,1,3,2,99,1,1,2,1,10,1,2,1,1,1,1,2,2,2,2,2,2,2,15
1,4,22,3,6,7,43,1,3,12,6,4,0,12,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,1,3,2,1,2,7,1,1,2,1,1,1,3,2,99,1,1,1,3,10,0,2,1,1,1,1,2,2,2,1,2,2,1,6
1,4,23,1,8,7,10,1,6,12,5,2,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,3,0,1,2,4,2,2,2,1,4,1,3,4,5,1,2,1,99,4,1,3,2,10,2,0,0,0,0,0,0,0,0,0,0,0,4,6
1,4,24,1,4,5,17,1,1,12,1,2,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,3,1,1,2,1,2,2,2,1,1,1,2,1,1,1,3,1,99,2,1,2,1,10,4,1,3,2,1,2,1,3,2,1,2,1,4,6
1,4,25,1,3,5,38,3,6,12,3,3,2,3,2,3,1,3,1,3,1,1,1,9,9,9,1,2,1,1,5,1,2,4,2,1,2,2,2,1,2,2,1,1,2,4,4,4,1,2,3,11,2,2,2,1,2,1,1,1,2,2,1,1,2,6
1,4,26,1,4,4,29,1,6,5,2,3,2,7,1,2,3,2,1,9,9,1,8,9,9,9,2,2,1,1,3,1,3,2,2,2,2,1,2,1,1,1,2,1,3,2,99,2,1,1,1,10,1,1,1,1,1,1,1,2,2,1,1,1,1,6
1,4,27,2,6,4,7,4,5,5,4,2,2,1,1,3,1,5,1,9,9,1,1,9,9,9,2,0,1,1,1,1,2,2,2,2,2,1,2,1,1,3,1,1,4,2,99,1,1,1,1,2,1,3,1,3,1,1,3,2,2,1,2,2,1,15
1,4,28,3,4,4,29,3,5,5,3,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,3,1,3,2,2,1,2,1,2,1,4,3,1,1,1,2,4,3,1,2,3,2,3,2,1,1,1,1,3,2,2,3,3,2,4,15
1,4,29,3,3,2,43,1,2,3,1,1,0,1,1,2,1,2,1,1,1,1,1,9,9,9,2,2,1,1,1,1,2,0,4,4,4,1,1,1,1,1,4,1,3,1,99,1,1,2,1,10,3,0,0,0,0,0,0,0,0,0,0,0,4,6
1,4,30,1,7,4,30,3,6,3,5,1,1,2,1,2,1,9,10,5,9,3,1,9,9,9,1,2,1,2,1,1,1,3,1,1,1,7,2,1,2,2,1,3,2,2,99,1,1,2,2,10,4,1,2,1,1,2,3,3,3,1,3,1,2,6
1,4,31,1,7,4,32,4,6,3,4,3,2,2,1,1,9,2,1,9,9,3,1,9,9,9,2,2,2,2,4,1,2,2,1,2,1,1,2,1,1,2,2,1,2,4,7,5,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,3,6
1,4,32,4,5,1,43,3,2,7,2,2,2,5,1,1,3,4,3,9,9,2,7,4,4,9,1,1,1,1,4,1,3,2,1,1,4,1,2,1,2,2,1,5,3,2,99,4,1,2,1,1,2,3,2,1,1,1,2,1,2,3,1,1,1,6
1,4,33,2,3,1,29,1,6,7,4,2,2,2,1,3,1,4,1,9,9,9,9,9,9,9,0,0,1,3,5,1,2,2,2,2,2,2,3,1,2,3,1,5,3,2,99,2,1,2,3,10,3,3,1,1,1,1,3,3,3,1,3,2,4,15
1,4,34,3,2,2,43,3,5,7,1,2,2,11,2,3,4,4,9,9,9,9,1,9,9,1,1,1,1,1,3,1,2,2,2,2,2,1,1,1,2,2,1,3,2,1,99,4,1,2,2,10,2,1,3,3,3,1,3,3,1,3,1,1,2,6
1,4,35,2,6,2,43,2,4,7,2,2,2,10,2,3,1,9,1,3,1,1,1,4,4,4,2,2,1,1,1,1,2,4,2,2,2,1,3,1,2,1,3,1,3,1,99,2,1,2,1,10,3,3,1,1,1,0,1,3,3,3,1,3,2,6
1,4,36,3,5,2,43,4,4,7,2,2,1,2,1,2,1,4,1,9,9,1,1,9,9,9,2,2,1,1,5,1,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,3,1,2,1,2,4,2,1,1,1,1,2,2,2,1,2,2,1,6
1,4,37,2,1,1,43,4,7,7,3,2,2,4,1,3,2,4,9,9,9,9,7,9,3,2,1,1,2,3,4,2,1,4,1,1,1,2,4,1,3,3,4,1,2,4,4,2,1,2,1,11,2,3,2,2,2,3,1,1,1,3,1,2,4,6
1,4,38,1,5,4,30,4,5,7,2,2,2,2,1,2,1,3,1,2,1,9,1,9,1,9,2,2,2,1,4,1,2,2,1,1,2,1,2,1,2,2,1,1,4,2,99,2,1,2,1,2,3,3,3,1,1,1,2,1,3,2,1,1,4,6
1,4,39,2,5,2,43,3,6,7,2,1,2,2,2,3,2,9,4,1,1,2,6,2,2,2,1,1,2,2,5,4,1,1,1,1,1,2,4,1,3,2,3,3,2,2,99,4,1,3,2,1,2,2,2,2,2,1,1,1,1,2,1,1,3,6
1,4,40,2,6,2,43,4,7,7,3,1,2,5,1,1,9,1,1,9,9,1,1,9,9,4,1,2,1,2,4,1,2,2,2,1,1,3,3,1,3,2,1,1,5,2,99,1,1,2,1,1,3,3,2,3,2,1,1,1,3,3,1,2,3,6
1,4,41,1,3,4,38,3,6,7,2,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,3,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,3,2,99,2,1,2,1,2,3,3,2,1,1,1,3,3,2,1,3,2,1,6
1,4,42,1,5,4,32,4,5,7,2,1,1,4,1,1,9,3,10,5,1,9,9,9,9,9,2,0,3,3,4,1,4,4,4,1,1,1,4,1,2,3,1,1,2,1,99,6,1,4,3,11,4,3,2,3,3,3,3,3,3,3,1,1,4,6
1,4,43,1,5,4,32,4,6,7,2,2,2,3,1,2,1,4,1,9,9,9,8,9,9,9,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,1,3,2,99,1,1,2,1,11,3,3,3,3,2,3,2,2,2,1,3,1,3,6
1,4,44,5,3,3,43,3,6,7,2,2,2,1,1,2,1,4,1,9,1,9,9,9,9,9,2,0,1,1,8,1,2,2,2,2,2,1,2,1,2,2,3,1,3,1,99,2,1,2,2,10,3,2,0,1,1,1,2,1,2,1,2,2,1,6
1,4,45,1,3,6,32,4,6,8,2,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,3,1,2,2,2,2,2,1,1,1,2,1,1,1,3,2,99,1,1,2,1,10,1,3,3,1,1,3,2,3,2,1,3,2,1,15
1,4,46,1,3,6,32,4,6,8,2,1,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,3,4,3,3,3,1,1,1,1,3,1,1,5,1,99,1,1,1,1,10,0,2,1,3,1,3,2,3,2,1,3,3,2,15
1,4,47,1,3,6,32,3,6,8,2,2,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,2,4,2,1,2,1,2,1,2,3,1,1,4,1,99,2,1,2,1,10,4,2,3,3,1,1,2,3,2,3,2,3,3,15
1,4,48,1,3,6,32,4,6,8,2,2,2,10,9,1,9,9,10,9,9,9,9,9,9,9,0,0,1,3,3,1,2,2,2,2,2,2,2,1,2,3,1,1,4,1,99,3,1,3,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,15
1,4,49,1,3,6,32,2,6,8,2,1,1,10,9,1,9,9,10,9,9,9,9,9,9,9,0,0,1,1,6,1,3,4,2,2,2,1,1,1,1,1,1,1,4,2,99,1,1,1,1,10,4,2,1,1,1,1,2,2,2,1,2,2,3,15
1,4,50,1,3,5,32,4,6,8,6,2,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,2,3,5,1,2,2,3,1,1,1,4,1,3,2,1,1,1,1,99,2,1,2,3,10,1,2,2,1,1,1,3,1,2,3,1,3,3,15
1,4,51,1,7,5,32,2,5,8,2,3,2,1,1,9,3,4,4,9,9,9,8,9,9,9,1,2,1,1,1,1,2,2,2,2,2,1,3,1,2,3,1,1,3,2,99,3,1,2,2,2,3,2,3,1,1,3,3,1,2,3,3,3,1,6
1,4,52,1,7,5,32,4,5,8,1,1,0,2,1,2,1,3,1,5,9,9,1,9,9,9,2,2,1,1,1,1,2,4,2,2,2,1,2,1,2,1,1,1,4,2,99,2,1,2,1,10,1,2,1,1,1,1,2,2,2,1,2,2,1,6
1,4,53,4,4,3,43,1,1,8,2,1,0,3,1,2,1,1,1,9,9,1,8,4,1,9,2,2,2,1,5,1,4,2,1,4,4,0,0,1,4,4,5,1,3,1,99,6,1,4,4,1,3,0,0,0,0,0,0,0,0,0,1,0,4,6
1,4,54,1,4,2,1,2,4,8,2,1,1,1,1,3,1,4,4,9,9,9,1,9,9,9,1,2,1,1,5,1,2,2,2,2,2,2,2,1,2,2,3,1,3,1,99,2,1,2,1,10,1,1,2,3,1,1,1,2,3,1,1,1,4,6
1,4,55,1,7,6,32,4,5,8,2,1,1,1,1,9,9,9,10,9,9,9,9,9,9,9,0,0,3,0,0,6,4,0,4,4,4,0,0,1,4,4,5,6,5,1,99,2,1,2,1,1,3,2,1,0,1,1,0,0,0,0,0,1,4,15
1,4,56,3,4,4,21,4,4,8,1,1,2,1,1,2,1,3,1,3,1,9,1,9,9,9,0,2,1,1,8,1,2,2,2,2,2,1,2,1,2,3,1,1,4,1,99,3,1,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,4,6
1,4,57,1,3,5,42,2,4,8,1,2,2,2,2,1,4,3,5,1,1,9,1,4,4,4,1,2,1,1,1,1,2,4,2,2,1,1,2,1,2,2,1,1,3,2,99,2,1,2,2,10,3,2,1,2,0,1,2,1,2,1,2,2,1,6
1,4,58,1,3,4,35,4,8,8,2,2,2,3,1,2,1,4,1,9,9,9,1,9,9,9,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,3,9,2,1,2,2,2,2,1,2,1,1,1,3,1,2,2,2,1,1,6
1,4,59,2,3,2,43,3,6,9,2,1,1,6,1,2,3,2,1,9,9,3,7,4,2,4,2,1,2,2,1,1,1,2,1,1,1,2,4,1,3,2,2,4,2,1,99,4,1,2,1,10,0,2,2,2,1,1,2,1,2,2,1,1,1,6
1,4,60,1,5,2,38,1,6,9,2,2,2,2,1,3,1,5,1,9,9,9,1,9,9,9,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,99,2,1,2,2,4,2,2,1,2,1,1,2,1,2,1,2,2,3,6
1,4,61,2,5,2,43,4,6,9,2,2,2,1,2,3,2,9,9,9,9,9,9,9,9,9,0,0,1,1,4,1,2,2,2,2,2,1,1,1,2,2,3,1,3,2,99,2,1,2,3,2,3,3,3,3,3,1,3,1,3,2,3,2,3,6
1,4,62,2,5,4,54,3,6,9,5,3,2,10,9,1,9,9,10,9,9,9,9,9,9,9,0,0,2,2,4,1,1,3,1,1,1,1,3,1,3,2,1,6,2,5,7,4,1,3,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,6
1,4,63,1,6,2,43,4,4,12,5,3,2,1,4,1,3,4,10,5,9,9,9,9,9,9,0,0,1,3,4,1,2,2,1,2,2,1,3,1,2,3,1,3,2,2,99,4,1,2,1,1,3,3,1,3,1,1,3,1,3,3,1,1,2,6
1,4,64,1,6,2,43,2,4,12,1,2,1,4,1,3,1,5,1,2,1,1,1,2,9,9,1,1,1,1,5,1,2,2,2,1,1,2,4,1,3,2,3,1,2,3,99,2,1,3,2,12,2,1,2,1,2,2,1,1,1,1,1,2,3,6
1,4,65,1,1,4,38,3,6,12,2,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,3,1,6,2,2,2,1,2,1,2,1,2,2,1,1,4,1,99,3,1,2,2,3,4,3,3,3,1,3,1,3,2,3,3,1,3,6
1,4,66,1,3,5,35,3,7,12,2,1,0,3,1,1,9,4,10,9,9,9,2,9,1,9,1,2,2,3,2,1,2,4,2,2,1,1,0,1,2,2,1,1,2,2,99,2,1,4,1,10,1,3,2,3,3,1,3,1,3,2,1,2,2,6
1,4,67,1,2,5,10,3,7,12,2,1,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,1,1,2,2,2,2,2,1,1,1,2,3,1,1,3,1,99,1,1,2,3,2,4,3,3,1,1,1,2,3,2,1,3,3,1,6
1,4,68,1,1,5,38,1,5,12,2,4,1,4,1,2,1,4,1,0,9,1,9,1,9,9,2,2,1,1,5,1,3,2,3,2,2,1,1,1,2,1,1,1,3,1,99,1,1,1,1,1,4,2,1,1,1,1,2,2,2,1,2,2,1,6
1,4,69,1,1,4,38,4,4,12,3,1,2,3,1,2,1,4,1,2,1,1,1,9,9,9,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,99,1,1,1,1,1,1,2,1,1,1,1,2,3,2,3,2,1,1,6
1,4,70,1,2,5,20,4,2,12,3,2,2,1,1,2,1,4,1,9,9,9,1,9,9,9,2,2,1,1,1,1,2,0,4,4,4,1,2,1,2,1,1,1,5,2,99,2,1,2,1,10,3,3,3,1,1,3,3,3,1,3,1,3,1,6
1,4,71,3,2,1,43,4,4,5,3,2,1,2,1,2,1,2,1,9,9,1,8,9,9,9,2,2,1,1,2,1,2,4,2,2,2,1,2,1,2,1,2,1,5,1,99,2,1,2,1,10,0,2,2,1,1,1,3,2,2,1,1,3,2,6
1,4,72,2,6,2,43,1,4,5,3,2,2,10,9,9,9,9,10,9,9,9,9,9,9,9,0,0,2,2,1,1,1,2,1,2,2,1,2,1,3,2,1,1,3,1,99,1,1,3,2,10,4,2,2,1,1,1,1,1,1,2,1,1,1,6
1,4,73,4,1,2,43,4,5,5,4,1,2,2,2,3,2,4,1,9,9,9,9,9,9,9,1,2,1,1,5,1,2,3,2,2,2,1,1,1,2,1,1,1,1,2,99,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,6
1,4,74,1,3,5,46,1,3,5,3,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,3,1,3,1,1,2,4,3,1,2,1,1,1,2,3,1,1,4,1,99,2,1,2,3,10,4,3,1,3,1,1,3,1,2,3,3,3,1,6
1,4,75,1,3,5,32,2,4,5,3,2,2,2,1,2,3,4,5,1,1,9,1,9,9,9,1,2,1,3,1,6,2,2,2,2,2,1,2,1,2,2,1,1,5,2,99,2,1,2,1,3,2,3,2,3,1,1,2,1,2,1,1,1,1,6
1,4,76,2,5,4,32,1,4,6,2,1,1,1,1,2,1,4,1,9,9,9,1,9,9,9,2,2,1,1,3,1,2,2,2,1,2,1,1,1,2,1,1,1,3,2,99,1,1,2,1,1,1,2,1,3,1,3,2,3,2,1,2,2,1,15
1,4,77,2,3,4,21,4,6,6,4,1,1,1,1,3,1,2,1,9,9,1,1,9,9,9,2,2,1,3,1,1,2,2,2,3,2,1,2,1,2,2,1,1,3,2,99,2,1,2,3,10,4,3,3,1,1,1,2,2,2,2,2,3,1,15
1,4,78,1,5,4,19,2,6,6,4,1,1,2,1,3,1,3,1,5,1,1,1,9,9,9,2,2,1,1,1,1,2,2,2,2,3,1,1,1,2,3,1,1,5,1,99,3,1,2,3,2,4,2,1,1,1,1,3,2,2,1,2,2,1,15
1,4,79,5,3,2,45,3,8,6,1,2,2,2,1,1,9,2,1,9,9,1,1,9,9,9,0,0,1,1,1,1,3,2,2,2,2,1,1,1,2,1,2,3,3,2,99,2,1,2,4,2,1,0,1,1,1,1,0,2,2,1,2,2,2,15
1,4,80,1,3,4,21,4,8,6,2,1,1,3,9,9,9,9,10,9,9,9,9,9,9,9,0,0,1,1,0,6,4,0,1,4,4,0,0,1,4,4,5,3,5,5,99,6,1,4,4,12,0,0,0,0,0,0,0,1,0,2,0,0,3,15
1,4,81,3,3,1,32,4,5,6,4,1,1,10,9,9,9,9,10,9,9,9,9,9,9,9,0,2,1,1,1,1,3,3,2,2,3,1,1,1,2,1,1,1,3,2,99,1,1,2,1,2,3,2,1,1,1,1,2,2,2,1,2,2,1,15
1,4,82,3,4,4,21,4,7,6,2,1,1,2,1,2,1,4,1,9,9,1,3,2,1,9,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,2,99,1,1,1,1,12,1,2,1,1,1,1,3,2,2,1,2,2,1,15
1,4,83,3,4,4,21,4,7,6,2,2,2,2,1,3,3,9,1,2,1,9,1,9,9,9,2,2,1,1,5,1,2,4,2,2,2,1,2,1,2,1,1,1,4,2,99,2,1,2,1,2,3,2,3,1,1,1,3,2,2,1,2,2,1,15
1,4,84,1,4,4,32,4,7,6,2,2,1,2,1,9,9,9,10,9,9,9,9,9,9,9,0,0,1,3,1,1,3,2,1,1,3,1,1,1,2,1,2,0,2,3,7,2,1,2,1,2,2,1,1,1,3,1,1,2,2,2,0,2,4,15
1,4,85,1,3,4,32,4,5,6,5,2,2,1,1,1,9,2,9,9,9,1,1,9,9,9,2,2,1,1,1,1,2,2,3,1,2,1,2,1,2,3,3,5,4,1,6,2,1,2,3,1,4,2,1,2,1,3,3,1,2,3,2,3,4,15
1,4,86,1,5,4,30,3,4,6,2,2,2,2,1,2,3,4,2,9,9,1,7,4,2,9,2,2,1,1,1,1,2,3,2,1,2,1,1,1,2,1,2,1,3,2,99,1,1,2,1,10,3,2,2,1,1,1,2,1,2,3,2,2,1,6
1,4,87,1,4,4,30,3,5,6,6,1,1,2,2,1,9,2,1,9,9,1,1,9,9,9,0,2,1,1,5,1,2,2,2,2,2,1,2,1,2,1,2,1,3,1,99,2,1,2,1,10,3,3,3,3,1,1,2,2,2,1,2,3,1,15
1,4,88,2,3,4,32,4,7,6,4,2,2,8,2,3,3,4,5,9,9,9,1,9,1,9,0,1,1,1,2,1,1,3,1,1,1,1,2,1,3,2,1,3,2,3,7,4,1,3,2,1,2,1,2,2,2,1,1,1,1,2,1,1,3,6
1,4,89,1,6,4,54,4,8,6,2,2,2,3,1,1,1,3,1,2,1,9,1,2,4,9,2,2,1,2,5,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,8,2,1,2,2,1,2,1,2,1,2,3,2,1,2,3,3,2,1,6
1,4,90,1,3,4,54,3,7,7,4,2,2,3,1,2,1,4,1,9,9,9,9,9,9,9,0,0,1,3,1,1,2,2,1,2,2,1,2,1,2,1,1,1,3,1,99,1,1,2,3,1,4,3,2,1,1,3,1,3,2,1,1,3,1,15
1,4,91,2,3,4,35,3,5,7,1,1,1,2,1,2,1,4,1,5,0,1,1,2,1,9,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,3,2,99,1,1,1,1,6,1,2,1,1,1,1,2,1,2,1,2,2,1,15
1,4,92,1,4,4,21,4,7,7,2,1,1,1,1,3,1,9,1,9,9,1,1,9,9,9,2,1,1,1,5,1,2,3,1,1,3,1,2,1,3,2,1,1,2,3,9,4,1,3,2,2,2,2,2,1,2,1,2,1,2,1,3,1,2,15
1,4,93,2,6,1,43,3,1,3,3,1,0,10,9,3,9,4,9,5,9,9,7,9,9,9,0,0,3,0,0,6,3,3,3,4,4,1,5,1,3,2,1,1,5,5,99,6,1,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,4,6
1,4,94,1,6,3,43,4,1,3,1,1,0,12,1,2,2,2,1,5,9,1,9,9,9,9,0,0,2,1,1,1,2,1,4,3,3,1,1,1,1,1,2,1,1,1,99,1,1,2,1,10,1,0,0,0,0,0,0,0,0,0,0,0,4,6
1,4,95,3,6,2,43,1,4,3,3,2,1,1,1,1,9,2,5,5,1,3,1,9,9,9,1,2,2,2,1,1,3,2,3,3,3,2,4,1,2,3,3,1,3,2,99,3,1,2,1,2,3,1,3,1,1,1,3,1,2,1,1,3,3,6
1,4,96,2,6,2,43,1,4,3,2,2,1,1,1,1,9,1,1,3,1,1,9,9,9,1,1,0,1,1,6,1,2,4,2,1,1,1,2,1,2,2,4,1,3,1,99,1,1,1,2,10,3,3,1,1,1,1,3,3,2,1,3,3,1,6
1,4,97,1,6,2,43,2,4,3,2,1,1,1,1,1,9,4,5,5,9,9,9,9,9,9,0,0,1,3,1,1,2,2,2,1,1,1,2,1,2,3,3,1,4,1,99,2,1,2,1,10,4,2,1,3,1,1,3,3,2,1,2,2,1,6
1,4,98,2,6,4,54,4,4,3,4,1,2,2,1,1,9,1,1,9,1,3,1,9,9,9,1,2,1,3,4,1,2,4,2,2,2,1,0,1,2,1,2,1,4,1,99,1,1,2,1,10,4,1,1,1,1,1,2,1,2,3,2,2,1,6
1,4,99,1,4,4,38,4,4,3,5,3,2,11,2,1,2,4,10,1,9,2,4,1,1,1,1,2,2,2,4,2,2,2,1,1,1,3,3,1,1,2,1,1,2,1,99,3,1,4,2,10,2,1,2,1,1,2,3,1,2,2,1,1,1,6
