CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39A.,Q.39B.,Q.40.,Q.41.,Q.42.,Q.42A.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61A.,Q.61B.,Q.61C.,Q.61D.,Q.61E.,Q.61F.,Q.61G.,Q.61H.,CARD..1,DECK..1,BALLOT..1,Q.61I.,Q.61J.,Q.61K.,Q.61L.,Q.61M.,Q.61N.,Q.61O.,Q.61P.,Q.61Q.,Q.61R.,Q.61S.,Q.61T.,V.61U.,V.61V.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87A.,Q.87B.,Q.87C.,Q.87D.,Q.87E.,Q.87F.,Q.87G.,Q.88.,Q.89A.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,V.97.,V.98.,V.100.
1,91,16,0,7,1,1,3,4,2,1,2,3,3,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,3,1,2,0,3,1,3,1,1,1,1,1,1,2,1,0,4,3,2,1,2,2,2,3,1,2,1,2,1,1,1,2,2,3,2,3,3,3,3,3,2,2,9,16,2,3,2,2,3,3,3,2,2,2,3,3,11,0,2,2,1,5,1,1,2,1,2,2,1,2,4,4,4,4,4,1,1,1,3,4,1,1,4,1,1,2,3,0,1,2,2,1,1,3,3,2,1,2,2,1,0,1129
1,91,17,2,9,1,1,3,4,2,1,1,5,2,3,1,3,3,3,4,2,1,2,2,5,2,2,2,2,2,2,2,1,2,2,2,1,3,1,3,1,4,1,1,1,1,2,7,3,4,3,2,1,1,1,1,1,2,2,1,1,1,1,1,2,3,2,3,3,2,3,3,3,3,2,9,17,2,1,3,1,2,0,1,1,1,3,3,2,5,1,2,2,1,10,1,2,2,3,1,1,2,3,4,4,4,3,4,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,2,1,2,2322
1,91,18,2,9,1,1,2,4,1,1,4,3,1,2,2,1,3,1,2,2,1,2,2,5,1,2,2,2,2,1,2,2,2,2,2,1,1,0,1,2,2,1,2,0,0,2,9,1,0,2,2,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,1,2,2,1,3,1,2,9,18,1,2,1,2,1,3,2,2,2,3,3,1,6,0,2,2,2,4,2,2,2,3,2,1,2,4,4,2,2,4,4,3,3,1,3,3,1,1,4,2,1,2,4,1,1,4,1,0,1,1,1,2,3,3,2,1,4,3310
1,91,19,2,6,1,1,3,4,2,1,1,2,5,1,3,2,3,1,2,2,0,2,2,3,2,2,2,2,2,2,2,2,3,1,1,1,1,2,3,1,2,1,4,1,2,1,9,3,4,3,2,1,2,2,2,4,3,3,4,2,2,3,3,1,2,2,2,3,1,1,3,3,2,2,9,19,1,1,2,1,2,1,3,2,2,2,3,2,6,0,2,3,2,2,2,2,2,1,1,2,2,4,4,1,2,3,3,1,2,1,3,4,5,1,4,3,1,1,3,1,1,1,1,5,1,1,3,3,1,1,5,1,0,1157
1,91,20,2,9,1,2,3,4,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,5,1,0,1,0,1,2,1,4,4,2,4,2,2,1,1,2,1,3,0,2,0,4,0,0,0,0,2,9,20,2,0,0,0,0,0,0,0,0,0,0,0,11,10,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,4,4,3,3,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,2,1,2,2316
1,91,21,2,6,1,1,3,4,2,1,2,2,3,1,2,2,2,1,3,2,2,1,1,5,1,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,6,3,0,1,2,1,2,2,1,4,4,2,1,1,1,1,2,2,3,3,3,1,2,2,2,3,3,2,9,21,3,1,2,1,3,0,1,3,2,0,1,3,5,2,2,2,2,5,2,1,2,2,2,2,2,2,2,2,2,4,1,1,3,1,3,2,1,2,4,2,1,2,1,1,1,1,2,2,1,3,2,3,1,3,3,1,9,5417
1,91,22,2,6,1,2,1,4,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,3,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,3,1,2,2,1,1,4,1,2,1,1,1,2,2,2,1,1,1,3,2,3,2,1,0,0,0,4,0,0,0,0,2,9,22,0,0,0,0,0,0,0,0,2,0,0,0,11,10,1,1,1,5,2,2,2,1,1,1,2,2,2,2,2,4,4,3,2,1,1,4,1,2,2,4,0,0,4,0,1,4,1,1,1,2,3,1,3,3,1,1,3,3126
1,91,23,2,5,1,1,2,4,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,3,1,2,0,2,1,2,1,1,1,3,2,1,2,1,3,4,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,2,9,23,3,3,3,3,2,3,3,3,3,3,3,2,11,0,1,1,1,5,2,1,2,3,2,2,2,3,2,2,2,3,4,1,3,1,3,4,1,2,4,1,1,1,1,1,1,1,2,1,1,1,4,1,1,3,2,1,0,1152
1,91,24,1,10,1,2,2,4,2,2,2,3,0,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,1,1,2,3,1,1,1,1,1,0,2,2,1,9,3,0,2,1,1,2,2,1,3,1,3,1,1,2,1,2,1,2,3,3,3,3,3,3,3,3,2,9,24,3,3,3,3,3,3,3,3,3,3,3,3,11,0,2,2,2,3,2,1,1,2,2,2,2,4,2,2,2,4,4,1,2,8,3,2,1,2,2,1,1,1,1,1,1,1,1,5,1,2,4,1,1,3,2,1,1,2135
1,91,25,1,5,1,2,2,4,2,1,2,3,2,1,2,1,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,3,1,1,1,2,1,2,1,1,2,3,1,1,1,2,1,1,2,1,2,4,2,4,2,3,1,2,1,3,2,3,2,3,2,3,3,2,2,9,25,3,1,3,2,2,2,2,2,2,2,3,3,1,0,1,2,1,3,1,2,3,2,2,1,1,2,3,3,3,4,2,2,1,1,2,2,1,2,4,2,1,1,1,1,1,1,1,5,1,2,2,2,1,3,1,1,7,5148
1,91,26,2,4,1,1,3,4,2,1,3,5,4,1,1,1,3,1,1,2,2,2,2,5,1,3,1,3,3,3,1,1,1,1,2,1,3,1,2,3,4,1,2,1,1,2,2,3,0,2,2,1,2,2,1,4,1,2,1,1,1,1,1,1,3,0,0,0,4,0,0,0,0,2,9,26,1,0,0,0,2,0,0,0,0,0,0,0,1,10,1,2,2,5,2,1,2,2,2,2,1,4,4,4,4,4,1,1,1,2,3,2,4,2,4,2,1,2,1,1,1,1,2,2,1,1,1,3,1,3,5,1,5,4130
1,91,27,1,6,1,1,3,4,2,1,2,2,2,1,2,2,3,1,1,2,1,2,3,2,1,2,2,2,2,2,1,2,2,1,3,1,1,1,2,1,2,1,2,1,2,2,1,3,1,2,1,1,2,2,2,2,2,1,4,2,2,1,2,1,3,2,3,3,3,2,2,3,2,2,9,27,2,3,2,2,2,3,1,3,3,1,3,2,2,0,2,2,1,5,2,2,2,2,2,2,2,4,4,4,4,4,2,3,4,1,3,4,1,2,4,1,3,1,3,1,1,1,2,5,1,2,3,3,1,3,2,1,0,1160
1,91,28,2,5,1,0,1,4,2,0,1,1,3,1,1,1,2,1,2,2,1,1,1,3,2,3,3,3,2,3,1,1,3,1,2,1,2,2,1,3,2,1,1,1,1,2,7,1,4,2,2,1,2,0,2,2,2,2,2,2,2,1,2,2,1,3,3,2,3,3,2,3,2,2,9,28,2,3,2,3,3,3,3,3,3,2,3,3,11,0,1,2,1,4,2,2,2,1,1,1,1,3,1,1,2,4,4,1,1,8,1,2,1,3,1,1,1,1,2,1,1,1,1,5,1,3,2,2,1,3,2,1,2,2324
1,91,29,2,5,1,1,3,4,2,1,4,3,4,2,5,3,3,1,3,1,1,2,1,5,2,3,1,2,1,2,1,1,1,3,2,1,3,3,2,2,2,1,2,2,2,2,1,1,4,3,1,1,2,1,1,1,1,1,4,1,3,2,3,2,2,2,1,2,1,2,2,2,2,2,9,29,1,1,1,2,1,2,2,0,0,1,0,0,6,4,1,1,1,7,2,3,1,2,4,1,3,5,4,4,3,3,3,3,2,8,3,4,1,3,3,2,1,2,3,1,1,2,2,2,1,2,1,2,1,3,1,1,7,5109
1,91,30,0,0,1,1,3,4,2,0,2,2,3,1,1,1,2,1,1,1,1,1,0,2,1,2,2,2,2,2,1,4,0,2,2,0,3,0,0,3,4,1,0,1,1,2,9,0,0,3,2,1,2,2,2,4,2,2,4,2,1,1,1,2,3,3,3,2,3,3,2,3,3,2,9,30,2,2,2,3,2,3,3,3,3,2,3,3,11,0,1,1,1,5,1,1,3,1,2,1,1,2,4,4,3,0,2,1,1,1,3,4,1,3,4,1,1,2,1,1,1,2,1,2,1,1,0,1,1,1,2,1,9,5429
1,91,31,1,9,1,1,3,4,2,1,0,3,4,3,1,4,5,2,1,3,1,3,0,5,1,1,1,2,3,2,1,2,3,1,2,2,3,1,1,2,4,1,4,1,2,1,9,3,4,3,2,2,2,1,4,4,4,4,4,4,3,2,3,2,2,3,2,1,1,3,2,3,1,2,9,31,1,1,2,2,1,2,1,3,3,3,3,3,6,0,1,2,2,8,1,1,1,1,2,2,1,4,4,4,4,4,1,1,2,3,3,4,5,4,4,1,1,2,1,1,1,2,3,5,1,1,3,2,1,2,3,1,1,2126
1,91,32,2,8,1,1,1,4,1,1,2,3,1,1,1,1,3,2,1,3,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,0,1,2,1,1,2,2,1,0,1,3,1,2,2,1,1,1,2,2,2,2,2,2,2,1,0,0,0,4,0,0,0,0,2,9,32,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,5,0,11,4,0,4,4,0,3,4,6,6,0,0,0,5,4,5,12,0,5,5,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,1,3,6,2,2,2307
1,91,33,1,9,1,0,3,4,1,1,2,2,5,2,6,3,2,2,3,2,2,2,3,4,2,2,2,2,2,2,0,3,2,2,2,0,3,1,2,3,2,1,4,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,3,3,1,1,2,2,3,3,3,2,2,0,2,9,33,1,2,2,3,3,3,2,3,3,3,3,2,1,1,1,1,1,5,2,2,2,2,2,2,2,2,4,4,4,3,2,3,4,1,3,4,5,0,3,3,1,1,1,1,1,2,1,1,1,1,2,2,3,3,2,2,3,3104
1,91,34,2,6,3,2,3,4,2,1,2,3,3,2,2,2,3,2,3,2,1,2,2,3,1,2,3,2,2,3,3,2,2,2,2,2,2,1,2,2,2,1,4,1,2,2,7,2,1,2,2,2,2,2,2,2,4,3,3,0,1,1,2,1,3,3,3,3,3,3,3,3,2,2,9,34,2,2,3,2,3,3,3,2,3,2,3,3,11,0,1,2,1,7,2,2,1,1,0,2,1,4,3,3,2,4,2,3,1,8,1,5,5,5,4,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,3,2,3,3124
1,91,35,1,6,1,1,2,4,2,1,1,1,1,1,1,1,3,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,3,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,0,2,2,1,2,2,1,1,2,2,1,2,3,1,3,2,3,2,2,2,2,2,2,2,0,2,9,35,1,2,2,2,2,0,2,2,3,1,1,2,3,2,2,2,1,2,2,1,2,2,2,2,2,3,6,0,0,0,5,4,5,12,0,2,1,1,4,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,2,4,3302
1,91,36,2,10,3,2,1,4,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,3,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,3,1,1,1,2,3,2,2,2,2,1,1,2,1,2,3,3,2,3,3,3,3,3,2,9,36,1,3,2,3,3,3,3,3,3,3,2,3,1,0,1,1,1,3,1,2,3,3,1,1,1,1,1,1,1,4,4,1,2,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,7,5106
1,91,37,1,6,3,2,3,4,2,1,2,2,1,1,1,1,1,2,2,1,1,2,2,4,2,2,2,2,2,2,1,2,3,1,2,1,3,1,1,3,1,1,1,1,2,2,1,1,4,3,1,2,2,2,2,1,2,3,2,2,1,1,1,1,1,3,3,3,3,3,2,3,2,2,9,37,3,1,1,3,3,3,1,3,3,1,3,3,4,0,2,3,1,3,2,1,1,1,1,1,2,4,1,1,1,4,4,1,4,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,5320
1,91,38,2,9,1,1,2,4,1,3,2,1,1,1,1,1,3,2,1,1,1,1,1,2,1,2,2,3,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,5,3,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,3,0,0,0,4,0,0,0,0,2,9,38,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,1,9,1,2,1,1,2,2,1,4,1,4,1,4,4,1,1,12,2,4,1,1,1,4,0,0,4,0,1,4,1,2,1,3,5,1,1,3,2,2,7,5131
1,91,39,2,9,3,0,1,4,2,1,2,2,2,2,1,2,3,2,1,2,1,1,1,4,1,1,2,1,2,1,1,2,3,1,1,1,2,1,1,3,1,1,2,1,2,1,9,3,1,2,3,1,2,2,1,1,2,3,1,1,2,1,2,2,2,3,3,3,3,3,3,3,3,2,9,39,1,2,3,1,2,1,1,2,3,1,3,2,5,0,1,1,1,7,2,2,2,1,2,2,2,2,2,2,2,3,1,3,2,2,3,2,1,1,4,1,1,1,1,1,1,1,1,5,1,2,0,2,1,3,3,2,1,2118
1,91,40,2,5,1,1,3,4,2,1,2,3,3,2,3,3,5,2,4,2,1,2,2,5,2,1,2,2,2,2,2,2,1,3,2,0,3,1,0,1,1,1,1,0,1,2,9,1,0,2,3,1,1,1,1,4,1,1,1,1,1,3,2,2,2,1,1,1,1,1,2,2,2,2,9,40,1,3,1,3,1,2,1,2,3,3,3,1,8,0,1,2,1,3,1,2,2,1,2,2,2,4,2,3,2,3,3,1,3,1,3,1,1,1,4,1,1,1,1,1,1,1,2,5,1,1,3,3,1,2,3,2,3,3113
1,91,41,2,7,1,1,3,4,1,2,2,3,2,2,2,2,3,2,1,2,2,1,1,2,3,3,2,2,2,3,1,2,2,1,2,1,3,1,1,2,1,1,1,1,1,2,9,3,4,2,2,1,1,1,2,2,2,1,2,2,1,1,2,1,2,2,3,2,1,1,1,3,3,2,9,41,3,1,2,3,2,1,2,3,3,3,3,3,5,0,1,1,1,3,2,2,3,1,1,1,2,2,3,3,4,3,4,3,4,1,3,2,1,1,1,1,3,1,1,1,1,1,2,5,1,1,3,3,2,2,5,2,1,2127
1,91,42,2,10,1,1,2,4,1,2,2,3,5,1,1,2,1,2,2,1,1,3,2,3,2,2,3,2,2,2,2,3,2,1,2,2,3,1,1,1,1,1,2,1,1,1,9,3,1,2,2,1,2,1,1,4,2,4,4,4,2,3,2,2,2,3,3,2,3,2,1,3,2,2,9,42,1,1,3,1,1,3,3,2,3,2,1,1,6,0,1,1,1,8,2,2,2,1,2,2,3,4,4,4,4,3,4,1,4,2,3,4,1,1,1,1,1,1,1,1,1,1,2,5,3,1,3,3,1,1,2,2,7,5107
1,91,43,1,9,1,1,2,4,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2,2,1,2,1,1,2,7,3,1,2,2,1,1,1,4,2,1,4,1,1,3,2,2,1,2,2,3,3,3,2,2,3,2,2,9,43,1,3,2,2,3,3,3,2,2,3,3,1,2,0,1,1,1,3,2,2,3,3,2,1,2,2,1,1,2,3,4,2,3,2,3,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,2,2321
1,91,44,2,6,1,1,3,4,2,1,2,3,5,1,1,2,2,2,2,2,1,1,1,2,2,3,3,3,2,3,2,2,3,1,1,1,2,1,2,2,1,1,1,1,1,2,3,3,4,1,2,3,2,1,4,4,4,2,4,4,3,3,3,1,2,3,2,2,3,3,3,3,2,2,9,44,3,2,3,2,3,3,2,3,3,2,3,2,11,0,1,1,1,5,2,1,3,1,2,1,2,2,2,2,2,3,3,3,3,1,3,1,1,2,4,1,1,1,1,1,1,1,1,5,1,2,3,3,1,1,5,2,3,3106
1,91,45,2,10,1,1,3,4,2,1,2,1,3,1,1,2,2,2,4,2,1,2,2,4,2,1,2,2,1,2,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,2,3,3,4,1,2,1,2,1,1,2,1,2,1,2,2,1,3,2,2,3,2,2,3,2,3,3,3,2,9,45,1,1,3,3,3,3,3,2,3,2,2,3,2,0,1,3,1,10,2,2,3,1,2,2,1,2,2,2,2,4,4,2,2,1,3,2,1,2,4,1,1,1,1,1,1,1,2,1,1,2,2,3,1,1,3,2,3,3101
