COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102
1,150,43,5,7,6,6,2,25,6,3,1,1,2,2,4,40,2,2,4,3,3,3,5,8,3,2,1,3,2,1,2,0,1,2,4,3,2,3,1,5,0,3,3,5,5,2,6,4,0,3,10,2,10,2,1,,215,4,3,3,6,2,1,1,8,11,0,1,3,3,3,4,4,2,30,0,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
1,150,44,5,7,6,4,1,32,18,3,2,2,1,3,5,45,2,1,4,3,7,8,9,10,3,3,1,3,2,6,4,3,1,2,2,2,1,3,2,5,0,2,3,6,0,2,6,5,0,3,10,1,10,3,1,,215,4,4,3,6,3,3,1,6,41,0,3,1,3,5,5,2,2,30,6,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,9,9,9,9,9,9
1,150,45,6,5,6,3,2,47,10,1,3,1,1,2,6,60,2,2,2,2,5,5,8,10,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,5,5,2,7,7,3,7,10,2,10,1,1,,215,4,5,3,6,2,3,1,7,11,0,1,1,3,4,3,1,2,30,8,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,1,3
1,150,46,5,6,7,4,2,2,1,3,2,1,2,3,4,50,2,0,3,3,1,1,2,2,3,4,1,3,1,2,4,0,2,2,2,2,1,2,1,2,5,5,3,5,5,1,9,9,11,4,10,10,10,3,4,,215,4,6,2,6,2,3,3,7,31,0,2,2,3,2,1,1,2,30,0,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,2,2,2,2,2,2,3
1,150,47,6,5,6,1,3,40,9,1,2,1,2,3,3,35,2,2,2,3,5,5,3,5,1,1,2,2,2,2,4,1,2,2,1,1,1,1,1,5,5,2,1,5,5,2,9,9,0,6,10,10,10,1,3,,215,4,7,1,6,2,3,3,9,31,0,3,1,3,2,5,2,2,30,0,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,1,3
1,150,48,5,6,6,5,2,49,14,1,1,2,1,3,3,50,2,1,3,3,7,7,3,5,3,2,1,3,3,2,1,3,3,2,2,3,2,3,2,5,5,3,2,5,5,2,4,5,0,5,10,2,10,3,2,,215,4,8,3,6,2,1,1,9,21,0,4,3,3,2,3,4,2,30,2,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,2,2,2,2,2,2,3
1,150,49,5,9,6,3,2,8,8,3,1,1,2,2,5,50,2,2,2,2,3,3,2,2,3,4,2,2,3,2,4,0,5,2,2,2,2,3,2,5,5,2,2,5,5,2,5,3,11,1,10,1,10,2,1,,215,4,9,5,6,3,5,3,9,21,0,4,3,3,1,4,4,3,40,0,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,9,9,3
1,150,50,5,0,7,6,2,97,97,4,2,2,1,2,0,98,0,0,4,3,11,11,11,11,0,4,4,2,1,3,3,0,5,2,3,2,2,2,2,5,5,2,2,5,2,1,11,5,3,1,10,1,10,1,4,,215,5,0,5,6,3,2,2,8,11,0,1,5,3,1,6,4,2,30,0,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,3
1,150,51,5,7,6,9,1,42,15,1,1,1,1,3,3,30,2,1,3,3,5,5,9,7,3,2,2,2,1,4,4,0,1,2,2,2,2,2,1,5,1,1,2,1,5,2,7,4,0,4,10,2,10,3,3,,215,5,1,1,6,2,3,1,7,31,0,1,3,3,3,0,3,2,40,2,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9,2,2,2,3
1,150,52,5,9,6,10,2,54,8,1,1,1,1,1,4,25,2,2,2,2,4,4,6,10,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,4,1,2,2,3,1,1,8,7,3,8,10,7,10,1,1,,215,5,2,3,6,2,2,1,8,21,0,1,2,3,1,4,2,2,30,8,1,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,1,2,2,2,3
1,150,53,5,0,6,7,2,59,6,1,2,2,2,3,3,20,2,2,2,2,4,5,10,10,2,3,2,2,3,3,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,8,10,4,10,3,2,,215,5,3,1,6,2,4,1,8,21,0,2,5,5,3,3,2,2,30,0,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,2,2,3
1,150,54,6,0,6,3,2,43,17,1,3,1,1,2,3,60,2,1,4,3,7,7,6,6,1,3,2,4,2,6,1,2,1,3,3,4,2,2,2,5,5,2,2,5,5,1,5,4,2,5,10,1,10,2,2,,215,5,4,2,6,3,2,2,7,41,0,2,3,3,3,5,3,2,30,7,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,2,1,9
1,150,55,5,7,6,3,2,31,5,1,1,1,1,2,2,98,2,1,4,3,3,3,4,6,3,1,2,3,2,1,2,0,1,3,2,2,2,3,2,5,5,2,2,5,5,2,11,7,0,5,10,3,10,3,2,,215,5,5,2,6,2,2,1,9,21,0,2,3,3,2,5,2,2,30,2,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,3,2,2,2,2,2
1,150,56,6,7,6,4,4,36,8,1,3,3,1,2,6,50,1,1,4,2,4,4,6,8,3,1,1,2,1,2,2,0,1,3,2,2,2,3,1,5,5,2,2,5,5,2,8,5,4,6,10,1,10,2,1,,215,5,6,1,6,2,1,1,8,21,0,4,1,1,1,5,4,2,20,0,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,3,3,4,2,3,2
1,150,57,6,8,7,10,2,12,97,1,3,3,1,3,0,98,1,2,4,3,2,2,2,3,3,4,1,3,4,1,4,4,1,3,3,1,1,1,1,5,5,1,1,5,5,2,11,0,11,4,10,2,10,3,3,,215,5,7,1,6,2,1,1,8,11,0,1,3,3,2,5,3,2,20,0,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,9,9,9,9,9,9
