CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.17..1,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.25..1,Q.25..2,Q.25..3,Q.25..4,Q.25..5,Q.25..6,Q.25..7,Q.25..8,Q.25..9,Q.26.,Q.26..1,Q.26..2,Q.26..3,Q.26..4,Q.26..5,Q.26..6,Q.26..7,Q.26..8,Q.26..9,Q.27.,Q.28A.,Q.28B.,Q.28B..1,Q.29.,Q.30.,Q.31A.,Q.31B.,Q.31B..1,Q.32.,Q.33.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.34A.,Q.34B.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.43.,Q.44.,Q.45A.,Q.45B.,Q.45C.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59A.,Q.59B.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68A.,Q.68B.,Q.69A.,Q.69B.,Q.69C.,Q.69D.,Q.69E.,Q.69F.,Q.69G.,Q.69H.,V.71.,V.72.,V.73.,V.74.,V.75.,V.76.,V.77.,V.78.,V.79.,V.80.,V.81.
1,157,11,1,2,11,9,2,4,2,3,1,5,6,1,5,1,1,2,5,6,2,10,3,4,7,10,6,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,15,2,3,3,9,13,13,9,2,2,157,11,1,5,0,3,5,1,1,4,5,3,1,2,2,3,3,2,3,4,2,1,1,4,1,1,1,3,5,3,3,9,2,4,1,2,2,2,1,4,3,2,1,2,2,2,1,3,2,2,2,3,0,0,4,3,11,2,23,24,57
1,157,12,1,4,8,9,2,4,1,6,3,5,6,1,5,2,2,2,3,6,2,2,2,2,4,2,8,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7,4,15,1,3,3,9,13,13,9,1,2,157,12,1,2,0,1,2,1,3,4,3,2,4,1,2,3,2,3,2,1,2,2,3,3,3,1,1,2,2,2,2,9,2,1,1,4,1,1,1,2,1,1,1,2,2,2,1,3,2,2,1,2,0,0,4,3,11,2,23,24,77
1,157,13,1,2,10,8,1,5,3,6,1,5,17,1,5,1,1,2,5,6,2,8,2,4,4,10,8,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,15,3,5,3,9,13,13,9,1,2,157,13,1,5,7,3,4,3,4,3,4,3,2,1,2,3,3,2,4,2,2,2,1,3,1,1,1,3,1,1,1,1,1,4,1,3,2,2,1,3,2,2,1,2,2,2,1,2,3,3,2,5,0,0,3,3,11,1,6,9,4
1,157,14,1,3,9,10,1,5,3,2,1,5,8,1,2,2,2,2,5,8,2,1,1,6,6,2,8,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,1,12,15,0,1,9,13,13,9,1,2,157,14,1,2,0,1,1,1,1,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,11,2,1,3,4,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,2,0,0,7,3,13,2,10,21,80
1,157,15,1,5,4,6,1,5,3,5,3,5,8,1,5,1,1,2,7,7,2,4,4,2,4,4,8,4,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,7,4,15,2,6,3,9,13,13,9,1,2,157,15,1,2,0,1,2,1,2,2,2,3,4,4,2,2,5,2,4,3,2,3,1,3,1,1,1,4,2,1,1,8,2,1,1,2,2,3,3,4,3,2,1,2,2,2,1,2,2,3,3,2,0,0,4,3,13,2,10,21,164
1,157,16,1,5,10,6,1,5,3,7,4,5,6,1,5,1,1,2,5,6,2,9,2,13,3,10,6,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,4,15,1,1,3,9,13,13,9,1,2,157,16,1,1,0,1,2,1,2,4,4,4,3,4,2,4,5,1,4,3,2,2,1,2,1,1,1,4,2,1,3,9,2,1,1,1,3,3,1,5,1,2,1,1,1,3,1,3,3,3,3,2,0,0,2,3,11,2,23,24,124
1,157,17,1,8,11,9,1,5,3,7,1,4,8,1,1,2,2,2,7,6,2,6,4,3,7,8,8,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,7,2,7,15,4,3,9,13,13,9,1,2,157,17,1,2,0,1,1,1,2,1,2,2,4,2,2,1,5,4,1,2,2,3,2,1,1,1,1,2,2,1,1,3,1,1,1,2,1,1,1,5,2,2,1,2,1,3,1,3,2,2,1,2,0,0,4,3,13,2,10,21,61
1,157,18,1,8,8,10,1,5,3,6,1,5,6,1,5,1,1,2,4,6,2,9,4,6,4,10,13,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,15,3,2,3,9,13,13,9,4,2,157,18,1,5,9,3,3,1,2,2,4,3,1,2,1,5,5,2,4,2,2,2,1,2,1,1,1,4,2,2,3,9,2,1,1,3,2,3,3,4,3,2,1,3,1,1,2,2,3,2,3,5,0,0,4,3,11,2,23,24,111
1,157,19,1,3,10,9,1,5,3,5,3,5,9,1,4,1,1,2,3,99,1,5,2,3,0,5,8,0,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,2,4,15,3,3,9,13,13,9,1,2,157,19,1,2,0,1,2,1,1,4,5,3,4,3,2,5,5,4,1,2,2,3,3,2,1,1,1,4,2,1,3,8,2,1,1,4,1,1,1,3,2,2,1,3,1,1,2,3,2,1,1,2,0,0,5,3,11,1,5,37,7
1,157,20,1,3,9,9,2,1,1,7,2,3,6,1,3,0,1,2,7,7,2,8,4,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,0,13,13,0,0,9,13,13,9,2,2,157,20,1,2,10,3,3,1,2,4,5,3,1,3,1,1,2,1,4,3,2,2,1,3,1,1,1,1,2,2,1,6,2,1,1,4,2,2,1,4,1,2,2,1,1,1,2,3,2,3,2,5,0,0,3,3,11,2,23,24,25
1,157,21,1,4,6,4,1,5,3,7,2,3,8,1,3,2,2,2,7,7,2,4,2,8,3,4,8,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,15,3,0,9,13,13,9,1,2,157,21,1,3,0,2,2,1,1,2,4,2,4,2,1,1,5,6,2,2,1,3,3,2,1,1,1,3,3,1,3,11,2,1,2,4,2,2,1,3,3,1,1,2,2,1,2,2,2,2,2,3,0,0,5,3,13,2,8,0,58
1,157,22,1,6,11,9,2,4,2,4,3,5,17,1,5,1,1,1,1,13,2,8,3,12,1,9,12,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,15,7,5,3,9,13,13,9,1,2,157,22,1,5,7,3,3,1,4,4,4,3,1,4,2,5,3,2,3,3,2,3,1,2,1,1,1,4,3,1,3,6,1,1,1,4,2,2,1,4,2,2,1,1,1,2,2,2,2,3,2,5,0,0,4,3,11,1,6,9,42
1,157,23,1,5,11,8,2,4,1,4,2,5,8,1,5,1,1,2,7,7,2,4,2,4,1,0,14,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,12,15,2,2,9,13,13,9,1,2,157,23,1,2,0,1,2,1,1,4,4,2,3,2,2,1,5,3,3,1,2,3,0,3,1,1,1,2,2,2,1,10,0,1,1,4,2,2,1,3,1,1,1,1,1,2,2,2,3,2,2,2,0,0,4,3,13,2,10,21,189
1,157,24,1,8,9,10,1,5,3,6,1,6,1,1,2,1,1,2,2,99,1,5,1,2,1,7,1,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,0,4,15,3,3,3,9,13,13,9,1,2,157,24,1,2,0,1,3,1,3,4,1,2,3,2,1,1,1,4,2,1,1,3,3,1,1,1,1,3,3,2,4,2,1,2,1,4,2,2,1,3,3,2,1,2,1,2,2,2,2,2,3,3,0,0,5,3,7,3,18,13,3
1,157,25,1,4,10,9,2,4,2,4,1,5,17,1,5,2,2,2,3,6,2,5,4,6,4,6,5,4,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,15,12,5,2,9,13,13,9,1,2,157,25,1,3,0,3,4,1,2,2,4,2,4,1,2,1,2,4,4,1,3,1,3,3,3,1,1,2,1,2,3,6,2,1,3,3,2,1,1,5,3,2,0,2,1,2,2,3,2,3,2,5,0,0,3,3,11,1,6,10,38
1,157,26,1,4,2,9,1,5,3,4,1,5,8,1,5,1,1,1,5,6,2,8,4,2,4,9,8,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,2,3,3,9,13,13,9,1,2,157,26,1,3,0,2,3,1,2,2,4,2,2,2,2,3,5,2,4,2,2,2,2,2,1,1,1,4,3,1,2,8,1,1,1,4,2,2,3,3,3,2,1,2,1,2,2,2,2,2,2,4,0,0,5,3,13,2,8,0,43
1,157,27,1,4,9,8,2,4,1,5,1,5,17,1,4,1,1,2,5,4,2,1,3,6,4,7,7,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6,6,15,6,1,9,13,13,9,1,2,157,27,1,1,0,2,4,1,5,3,4,2,4,2,2,4,3,2,3,2,3,1,3,3,1,1,1,2,3,3,1,1,1,4,2,2,2,2,1,3,2,2,1,2,1,2,2,3,2,3,2,4,0,0,3,3,11,1,6,10,9
1,157,28,1,1,10,5,1,5,3,4,1,3,8,1,2,1,2,2,1,99,1,8,3,6,2,9,8,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,4,15,1,3,3,9,13,13,9,1,2,157,28,1,2,0,3,3,1,4,0,4,3,1,2,2,4,3,2,3,2,3,2,1,2,1,1,4,2,3,1,5,2,1,4,1,2,2,2,1,4,1,2,1,2,1,2,2,3,2,3,2,5,0,0,3,3,11,1,6,10,10
1,157,29,1,6,1,9,2,2,1,4,1,4,17,1,1,2,2,2,1,7,2,3,0,1,6,3,17,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7,4,15,12,2,3,9,13,13,9,1,2,157,29,1,3,0,1,2,3,3,1,4,2,3,1,2,1,1,3,1,1,2,2,3,3,1,1,1,2,2,3,3,5,2,1,1,1,2,1,3,3,1,2,1,2,1,2,2,2,2,2,2,2,0,0,5,3,11,1,6,10,15
1,157,30,1,4,11,8,2,4,2,4,1,5,6,1,5,1,1,2,7,6,2,8,4,6,4,9,13,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,4,15,1,1,2,9,13,13,9,1,2,157,30,1,3,0,2,2,1,2,4,4,4,2,3,1,5,2,1,4,2,2,3,1,2,1,1,1,3,2,1,3,8,2,1,1,1,2,2,1,4,1,2,1,2,1,2,2,3,2,3,2,3,0,0,3,3,11,2,23,24,2
1,157,31,1,5,10,8,1,5,3,8,1,5,6,1,5,1,1,2,5,6,2,10,5,7,5,10,6,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,5,6,3,9,13,13,9,2,2,157,31,1,5,9,3,5,1,5,4,6,5,1,4,2,6,6,6,3,4,0,0,0,4,1,1,3,2,5,1,3,8,2,3,2,3,2,2,3,3,1,3,1,2,1,2,2,2,2,2,2,3,0,0,5,3,11,2,23,24,60
1,157,32,1,1,5,8,2,1,2,6,1,5,6,1,5,1,1,2,7,7,2,8,4,6,4,10,14,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,0,13,13,3,2,9,13,13,9,1,2,157,32,1,1,0,2,4,1,2,5,3,3,2,2,2,6,6,6,2,1,3,3,1,2,4,1,1,4,2,3,4,4,3,1,2,2,2,2,3,4,3,3,1,2,1,2,2,2,2,2,2,4,0,0,5,3,11,2,23,24,74
1,157,33,1,8,11,9,2,2,2,3,2,6,6,1,4,1,1,0,1,6,2,9,5,7,5,10,13,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,15,9,6,1,9,13,13,9,4,2,157,33,1,5,5,3,5,1,2,5,4,3,1,3,1,5,3,1,4,2,2,2,1,2,1,1,1,4,2,2,3,10,2,1,2,2,2,2,1,3,3,3,1,2,1,2,2,3,2,3,2,3,0,0,3,3,11,2,23,24,79
1,157,34,1,1,1,10,1,5,3,6,5,5,6,1,5,1,1,2,7,7,2,8,4,5,4,10,13,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,2,12,15,2,2,9,13,13,9,1,2,157,34,1,1,0,1,5,1,2,5,4,3,1,2,2,4,3,6,4,2,2,2,1,2,1,1,1,3,2,3,3,7,2,1,1,1,2,2,1,4,1,3,1,2,1,2,2,3,3,3,2,2,0,0,2,3,11,2,23,24,85
1,157,35,1,2,9,11,1,5,3,3,1,4,17,1,4,1,1,2,1,1,2,9,5,4,4,10,8,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,3,4,3,9,13,13,9,1,2,157,35,1,5,8,2,3,1,5,3,3,2,1,4,2,1,1,5,3,2,3,1,1,2,1,1,1,1,2,1,3,3,1,4,1,3,1,3,3,4,2,2,1,2,1,2,2,2,2,2,2,4,0,0,5,3,11,1,6,9,47
1,157,36,1,8,9,9,1,5,3,5,3,5,8,1,5,2,2,2,7,6,2,4,3,5,4,6,8,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,15,1,2,9,13,13,9,1,2,157,36,1,2,0,2,4,1,1,4,4,1,4,2,2,5,5,2,2,1,2,3,1,3,1,1,1,2,1,2,2,8,2,1,2,3,1,1,1,4,3,2,1,2,1,2,2,3,2,2,1,4,0,0,4,3,13,2,9,8,69
1,157,37,1,8,9,4,1,5,3,6,2,4,3,1,2,1,1,2,2,5,2,5,3,6,4,9,1,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,15,11,5,3,9,13,13,9,1,2,157,37,1,3,0,2,4,1,2,4,4,2,3,2,1,3,5,2,3,2,2,3,2,1,1,1,3,4,1,1,3,9,2,1,1,2,2,3,2,4,2,2,1,2,1,2,2,3,3,3,4,4,0,0,2,3,7,3,16,50,5
1,157,38,1,6,9,9,3,4,2,6,1,5,8,1,2,2,2,2,4,8,2,1,2,2,4,1,8,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,7,4,15,6,3,3,9,13,13,9,1,2,157,38,1,2,0,1,1,1,2,4,3,1,6,2,2,1,0,5,2,2,1,2,3,3,3,3,3,2,2,3,1,4,1,1,1,4,2,1,1,4,1,2,3,3,2,1,1,2,2,2,2,2,0,0,7,5,13,2,10,21,72
1,157,39,1,1,9,9,1,5,3,6,1,6,17,1,2,2,2,2,2,4,2,4,2,1,2,10,19,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,4,15,3,6,3,9,13,13,9,1,2,157,39,1,5,2,3,4,1,2,5,6,1,1,4,3,6,6,6,4,4,2,1,2,4,1,1,1,4,4,1,3,3,1,4,1,3,3,3,1,4,2,2,1,4,3,1,1,3,2,2,3,5,0,0,6,5,11,1,6,10,4
1,157,40,1,3,10,7,1,5,3,5,1,4,6,1,5,1,1,2,7,7,2,8,4,6,4,10,13,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,4,15,9,2,2,9,13,13,9,1,2,157,40,1,3,0,2,4,1,1,4,5,3,3,3,3,5,3,1,4,3,2,2,1,2,1,1,1,4,2,1,3,5,2,1,2,3,3,2,1,3,1,1,3,3,1,2,1,3,3,3,2,4,0,0,4,5,11,2,23,24,18
1,157,41,1,2,11,9,1,5,3,4,4,5,6,1,4,1,1,2,7,7,2,4,2,1,6,7,13,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,2,8,15,2,3,9,13,13,9,1,2,157,41,1,2,0,3,2,1,3,4,4,2,1,4,3,4,4,4,3,1,3,2,3,2,1,1,1,3,2,1,3,7,2,1,2,3,2,2,1,3,1,3,2,3,2,2,1,1,2,2,2,3,0,0,8,5,11,2,23,24,4
1,157,42,1,4,1,2,1,5,3,5,1,3,8,1,2,1,1,2,1,8,2,8,3,2,4,10,8,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,4,15,6,6,3,9,13,13,9,1,2,157,42,1,2,0,1,4,3,2,2,4,2,2,2,2,2,2,4,4,1,2,2,3,3,4,1,4,2,2,1,3,8,2,2,1,2,2,2,1,3,3,3,2,3,2,2,1,3,3,2,2,3,0,0,5,5,13,2,8,0,5
1,157,43,1,8,4,8,2,4,2,5,3,5,8,1,2,2,2,2,5,8,2,1,1,2,1,1,8,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,7,2,4,15,6,3,9,13,13,9,1,2,157,43,1,2,0,1,1,1,1,5,3,2,6,1,1,4,5,2,2,2,2,3,3,3,1,1,1,4,2,1,3,10,2,1,2,4,1,2,1,1,1,1,1,4,2,2,1,2,2,1,1,2,0,0,8,5,13,2,10,21,158
1,157,44,1,3,9,10,2,4,1,1,1,4,8,1,1,2,2,2,5,8,2,1,2,3,7,2,8,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,2,12,15,2,2,9,13,13,9,1,2,157,44,1,2,0,1,1,3,3,1,2,2,6,2,2,4,5,4,2,1,2,2,3,3,1,1,1,1,1,1,3,9,3,1,1,2,2,2,1,3,1,3,3,2,2,2,1,2,2,3,2,2,0,0,6,5,13,2,10,21,84
1,157,45,1,8,9,9,2,4,2,6,1,4,3,1,4,2,2,2,7,6,2,4,1,2,1,6,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,3,5,15,2,3,9,13,13,9,1,2,157,45,1,2,0,1,2,1,2,4,4,2,4,1,1,4,3,2,2,1,3,2,3,3,1,1,1,4,2,2,3,6,1,2,2,4,2,1,1,1,1,1,2,3,2,2,1,2,2,1,2,2,0,0,8,5,8,5,14,12,30
1,157,46,1,8,8,9,3,5,3,6,1,5,2,1,5,1,1,2,1,6,2,6,1,6,1,8,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,15,2,4,3,9,13,13,9,1,2,157,46,1,2,0,1,3,2,3,4,4,4,4,4,2,6,6,5,1,1,2,3,3,3,1,1,4,2,2,1,3,9,2,2,2,4,1,1,1,3,1,2,2,3,2,2,1,2,1,1,1,2,0,0,9,5,8,4,17,4,9
1,157,47,1,5,11,11,1,5,3,7,1,4,17,1,5,1,1,2,1,6,2,8,5,7,5,10,12,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,4,4,4,9,13,13,9,1,2,157,47,1,5,8,3,4,1,5,5,4,1,1,4,2,2,1,6,4,2,2,2,1,4,1,1,1,2,2,2,3,4,2,1,2,2,1,1,1,3,2,2,2,3,1,3,1,2,2,2,1,5,0,0,7,5,11,1,6,9,50
1,157,48,1,2,11,7,1,5,3,6,1,5,8,1,4,2,2,2,7,7,2,2,4,5,4,2,8,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,4,15,12,6,3,9,13,13,9,1,2,157,48,1,3,0,2,2,2,1,3,5,1,6,2,1,2,2,3,1,2,1,3,1,3,1,1,4,4,1,1,3,7,3,1,1,3,3,2,1,3,3,2,3,2,1,3,1,2,2,2,2,2,0,0,7,5,13,2,7,19,178
1,157,49,1,2,2,9,1,5,3,5,1,4,8,1,3,2,2,2,7,6,2,2,1,6,4,4,8,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,2,4,15,3,3,9,13,13,9,2,2,157,49,1,2,0,1,1,3,3,5,6,1,6,3,1,1,1,2,3,3,2,3,2,3,1,1,1,3,2,1,3,10,2,1,2,2,2,2,1,4,3,2,2,2,2,3,1,3,2,3,2,2,0,0,5,5,13,2,7,19,102
1,157,50,1,2,11,11,1,5,3,4,1,5,6,1,5,1,1,2,7,7,2,8,0,1,1,10,13,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,7,4,15,3,5,3,9,13,13,9,1,2,157,50,1,5,10,1,0,2,3,1,4,3,2,3,2,3,3,1,4,2,3,0,1,0,1,1,1,1,0,0,0,0,0,1,1,3,1,1,1,4,3,2,1,3,2,3,1,3,1,2,1,2,0,0,7,5,11,2,23,24,29
1,157,51,1,8,11,8,2,4,1,5,4,5,6,1,5,1,1,2,7,7,2,8,2,6,6,10,13,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,4,15,9,2,3,9,13,13,9,1,2,157,51,1,2,0,1,2,1,2,1,4,2,2,3,1,3,4,1,2,3,3,3,1,0,3,1,1,1,2,3,1,9,2,3,1,3,2,2,1,3,3,2,2,1,2,3,1,3,2,2,2,2,0,0,6,5,11,2,23,24,26
