CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4A.,Q.4B.,Q.5A.,Q.5B.,Q.6A.,Q.6B.,Q.7A.,Q.7B.,Q.8A.,Q.8B.,Q.9A.,Q.9B.,Q.10A.,Q.10B.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15A.,Q.15B.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.20A.,Q.20B.,Q.21A.,Q.21B.,Q.22A.,Q.22B.,Q.23A.,Q.23B.,Q.24A.,Q.24B.,Q.25A.,Q.25B.,Q.26A.,Q.26B.,Q.27A.,Q.27B.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30A.,Q.30B.,Q.31A.,Q.31B.,Q.32A.,Q.32B.,Q.33A.,Q.33B.,Q.34A.,Q.34B.,Q.35.,V.37A.,V.37B.,V.38A.,V.38B.,V.39A.,CARD..1,DECK..1,BALLOT..1,NA.1,V.39B.,V.39C.,V.40.
1,195,11,3,2,2,5,5,0,2,4,2,3,3,4,2,4,2,4,3,0,1,4,1,4,2,4,1,3,2,2,5,1,3,2,3,2,2,2,1,1,1,1,3,1,3,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,7,7,1,2,195,11,3,7,0,2
1,195,12,3,3,3,4,5,2,2,1,3,2,3,2,2,2,2,2,3,2,1,4,1,4,2,4,1,4,3,1,4,1,3,2,3,1,4,1,2,1,3,3,2,3,1,1,3,1,5,1,2,3,3,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,4,3,6,4,6,1,2,195,12,3,4,0,2
1,195,13,3,1,3,5,4,4,2,4,2,4,3,4,2,4,2,4,3,1,1,4,1,4,2,4,1,4,3,1,5,1,3,2,5,1,4,1,3,1,4,1,2,2,4,3,1,3,5,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,4,4,4,6,1,2,195,13,3,9,0,1
1,195,14,3,1,2,6,4,4,2,4,3,4,3,4,2,3,2,4,3,3,3,2,1,4,2,4,3,3,2,1,3,1,2,1,3,1,3,2,2,2,5,1,3,1,3,2,1,1,3,1,1,1,4,1,3,2,1,1,2,1,2,1,2,1,2,1,2,1,1,4,9,1,6,3,2,195,14,3,6,0,2
1,195,15,3,3,2,7,4,3,2,4,2,3,3,4,2,3,2,4,3,1,3,1,1,4,2,4,3,1,3,3,3,1,3,3,4,1,3,1,3,1,5,1,2,1,3,1,2,1,5,1,2,1,3,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,3,8,0,6,3,2,195,15,3,5,0,2
1,195,16,3,1,2,5,5,4,2,4,2,4,3,3,3,1,2,3,3,2,1,4,1,4,2,4,3,1,2,1,3,2,2,1,3,2,5,0,4,0,3,0,3,1,1,1,3,1,5,1,3,2,2,2,1,1,2,2,3,3,2,2,2,1,2,1,3,3,3,3,6,0,3,3,2,195,16,3,5,0,1
1,195,17,3,3,4,6,4,4,2,4,2,4,3,4,2,4,3,0,3,4,1,4,1,4,3,4,1,4,2,1,3,1,3,1,3,1,1,1,2,1,1,1,3,1,1,1,3,1,2,1,2,2,3,1,1,1,3,3,0,1,1,1,1,1,1,1,1,1,2,5,9,4,6,3,2,195,17,3,9,0,1
1,195,18,3,1,2,6,5,2,2,4,2,4,3,4,2,4,3,2,3,2,1,4,1,4,3,2,3,2,2,2,5,1,3,2,5,3,4,2,2,2,5,1,1,2,4,1,1,1,5,1,3,1,3,2,2,1,3,1,3,1,3,1,2,1,2,1,3,1,1,5,5,1,7,4,2,195,18,3,5,0,1
1,195,19,3,1,4,5,3,2,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,2,4,1,4,1,1,5,1,2,1,5,1,4,1,2,1,5,1,1,1,4,1,2,1,5,1,3,1,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,0,6,6,0,2,195,19,3,9,1,1
1,195,20,3,2,3,7,3,3,2,4,2,3,3,4,2,3,2,3,2,3,1,4,1,3,2,3,1,3,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,1,2,1,1,1,2,1,2,1,2,1,7,1,5,1,0,2,195,20,3,3,1,2
1,195,21,3,2,2,5,3,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,2,4,3,4,3,1,3,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,1,2,1,2,1,2,1,2,1,1,0,4,0,7,1,2,195,21,3,0,1,2
1,195,22,3,2,5,6,4,4,2,4,2,4,3,4,2,4,2,4,2,4,2,4,1,4,2,4,1,4,3,1,4,1,2,1,5,1,3,1,3,1,5,1,3,1,4,1,3,1,5,1,3,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,7,7,1,2,195,22,3,0,1,2
1,195,23,3,1,5,1,4,1,2,4,2,4,3,4,2,3,2,3,2,3,1,3,2,4,2,4,1,4,3,2,5,1,2,1,5,1,1,2,3,1,4,2,3,1,3,2,3,2,5,1,3,3,4,1,3,3,1,1,3,0,3,0,3,0,3,0,3,0,4,1,5,1,1,1,2,195,23,3,5,1,2
1,195,24,3,1,2,6,4,4,2,4,2,4,3,4,2,2,2,4,2,2,1,4,2,4,2,4,1,4,3,1,4,1,2,1,4,2,4,1,2,1,4,3,3,1,1,3,3,1,5,1,1,1,3,3,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,0,6,1,7,1,2,195,24,3,8,1,2
1,195,25,3,2,0,4,5,4,2,4,3,4,3,4,2,4,2,4,2,4,1,4,1,4,1,2,1,4,3,1,5,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,4,1,7,1,2,195,25,3,9,1,2
1,195,26,3,2,4,1,4,3,2,3,3,3,3,4,2,3,2,3,2,3,1,3,1,3,1,4,1,4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,6,7,1,2,195,26,3,3,1,1
1,195,27,3,3,3,8,4,4,2,4,3,4,3,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,1,2,2,2,3,2,2,1,2,2,1,2,2,2,2,3,3,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,8,3,6,7,1,2,195,27,3,0,1,1
1,195,28,3,3,4,6,4,4,2,4,1,4,3,4,2,4,2,4,2,2,1,4,1,4,1,3,1,4,2,1,2,1,1,1,5,1,4,1,3,1,1,1,2,1,3,3,2,2,1,1,3,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,7,1,2,195,28,3,8,1,2
1,195,29,3,2,4,5,4,4,2,4,2,3,3,4,2,3,2,3,2,3,1,3,1,3,2,3,2,3,2,1,4,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,3,3,1,2,2,2,3,3,3,3,3,3,3,1,2,2,0,1,2,195,29,3,3,1,2
1,195,30,3,1,3,8,1,4,2,4,2,4,3,4,2,4,2,4,2,4,1,3,1,3,2,4,3,1,1,1,3,2,2,1,5,1,3,1,3,1,2,2,2,1,2,1,2,1,5,1,2,2,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,5,8,6,5,2,2,195,30,3,7,1,2
1,195,31,3,3,4,7,2,4,2,4,2,3,3,4,2,4,2,4,2,4,1,4,1,4,2,4,3,4,2,3,4,1,1,1,5,2,3,2,1,2,3,1,3,1,3,3,3,2,3,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,3,4,6,6,2,2,195,31,3,0,1,2
1,195,32,3,2,4,6,1,4,2,4,3,4,3,4,2,4,2,4,2,4,1,4,1,4,0,4,3,1,3,1,3,1,2,1,5,1,4,1,3,1,5,1,3,1,1,1,3,1,5,1,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,0,0,3,7,2,2,195,32,3,9,1,2
1,195,33,3,3,4,0,5,1,2,4,3,4,3,4,2,4,2,4,2,4,1,4,1,4,1,4,3,0,2,2,4,1,2,1,5,1,3,1,2,1,1,1,2,2,3,2,3,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,6,7,2,2,195,33,3,8,1,1
1,195,34,3,3,3,7,5,1,2,4,3,3,3,4,2,2,2,4,2,3,1,2,1,2,1,3,3,1,3,1,4,2,2,1,5,1,2,2,4,0,4,2,3,1,1,1,3,1,5,1,2,2,4,1,1,3,2,2,3,0,3,0,2,2,3,0,2,1,4,1,8,0,1,2,2,195,34,3,3,1,2
1,195,35,3,4,5,8,4,3,2,4,2,4,3,4,2,4,2,3,2,4,1,3,1,3,1,2,3,1,2,2,4,2,2,2,5,1,4,1,3,1,4,2,1,3,4,3,1,3,3,3,3,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,6,1,3,2,2,2,195,35,3,4,1,2
1,195,36,3,3,5,6,4,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,1,4,3,0,3,1,3,1,0,1,5,1,4,1,3,1,5,1,3,1,1,1,3,1,5,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,7,2,2,195,36,3,9,1,2
1,195,37,3,3,4,7,3,4,2,4,2,3,3,4,2,4,2,4,3,3,3,3,1,4,2,4,1,4,2,1,3,1,1,1,2,2,3,1,2,1,2,1,1,1,4,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,4,9,8,4,7,2,2,195,37,3,8,1,1
1,195,38,3,1,3,3,1,4,2,4,3,4,3,4,2,4,2,4,3,0,1,4,1,4,2,4,1,4,2,2,5,1,2,1,5,1,4,1,3,1,4,2,2,2,3,2,2,2,5,2,1,1,4,3,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,3,3,0,6,2,2,195,38,3,9,1,1
1,195,39,3,2,4,7,2,2,2,4,3,3,3,4,2,4,3,2,2,4,1,4,1,4,2,4,1,4,3,1,3,1,2,1,5,1,4,1,3,1,5,1,2,1,1,1,3,1,5,1,2,3,4,1,3,3,3,3,3,3,3,3,2,1,3,3,2,1,4,2,9,0,2,2,2,195,39,3,8,1,2
1,195,40,3,2,3,0,4,4,2,4,2,4,3,4,2,4,3,0,2,4,2,4,1,4,2,4,1,4,2,1,3,1,2,1,4,1,5,1,4,1,3,1,3,1,3,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,6,7,2,2,195,40,3,9,1,1
1,195,41,3,1,3,2,5,1,2,4,2,4,3,4,2,4,2,4,3,1,1,4,1,4,1,4,1,4,3,1,5,1,2,1,5,1,5,3,4,3,2,3,3,1,1,1,3,1,3,3,1,1,4,1,1,1,3,3,3,3,3,3,2,1,2,1,3,3,1,2,8,0,3,2,2,195,41,3,8,1,1
1,195,42,3,2,2,6,5,2,2,4,3,4,3,4,2,4,2,4,3,4,1,4,1,4,1,4,1,4,2,3,3,1,2,1,3,1,2,1,1,1,1,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,6,9,6,6,2,2,195,42,3,9,1,2
1,195,43,3,2,2,6,4,3,2,4,2,4,3,4,2,4,2,4,3,2,1,4,1,4,1,3,1,3,2,2,2,2,3,2,2,2,2,2,1,1,3,2,2,1,3,3,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,7,7,2,2,195,43,3,6,1,2
1,195,44,3,1,5,4,4,4,2,4,2,4,3,4,2,4,2,4,3,3,1,4,1,4,1,3,1,4,3,1,3,2,3,2,1,1,3,2,2,2,1,1,3,1,1,1,3,1,2,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,3,3,9,6,5,2,2,195,44,3,8,1,2
1,195,45,3,1,3,4,4,4,2,4,2,4,3,4,2,4,3,1,2,4,1,4,1,4,1,4,1,4,3,1,5,1,3,1,5,1,4,1,3,1,1,1,1,1,4,1,3,1,5,1,2,1,4,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,4,0,0,7,2,2,195,45,3,9,1,2
1,195,46,3,3,4,8,4,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,3,3,2,3,2,2,3,2,1,2,4,1,2,2,2,2,4,1,2,1,3,1,2,2,2,2,3,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,6,5,7,5,2,2,195,46,3,8,1,2
1,195,47,3,2,4,5,5,1,3,1,2,4,3,4,2,4,2,4,2,4,3,1,1,1,3,4,3,3,3,2,3,1,3,1,3,1,5,1,4,1,3,1,2,1,2,1,2,1,3,1,1,1,3,1,3,2,3,2,3,3,1,1,1,2,1,1,1,1,3,4,9,4,3,3,2,195,47,3,5,1,1
1,195,48,3,1,2,6,2,2,2,3,2,2,3,3,2,2,2,2,3,2,1,2,1,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,3,1,2,1,2,2,2,1,2,1,2,2,2,3,7,0,4,0,3,2,195,48,3,0,1,1
1,195,49,3,3,3,7,4,3,2,4,3,0,3,4,1,3,2,2,3,2,1,4,1,4,2,4,3,2,2,1,3,2,1,2,2,2,3,1,2,1,5,1,2,1,4,1,2,3,5,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,3,6,6,6,3,3,2,195,49,3,5,1,1
1,195,50,3,1,4,6,4,4,2,4,2,4,3,4,2,4,2,4,2,4,3,4,1,4,1,3,3,4,3,1,4,1,2,1,3,1,4,1,3,1,4,1,3,1,1,1,3,1,5,1,1,1,4,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,0,0,7,3,2,195,50,3,9,1,1
1,195,51,3,3,2,6,4,3,2,4,2,4,3,4,2,4,2,4,3,2,1,4,1,4,1,4,3,2,2,1,3,1,3,1,2,1,2,1,2,1,1,1,1,1,3,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,4,8,0,5,5,3,2,195,51,3,7,1,2
1,195,52,3,3,3,6,4,4,2,4,3,4,3,4,2,4,2,4,3,4,1,4,1,4,1,4,3,4,1,2,3,3,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,0,1,2,1,1,8,7,0,7,3,2,195,52,3,0,1,2
1,195,53,3,3,5,6,4,4,2,4,3,4,3,4,2,4,3,4,2,4,1,4,1,4,1,4,3,4,2,2,3,1,2,3,5,3,5,1,3,1,3,1,3,1,4,1,3,1,2,1,3,1,1,1,1,2,1,2,3,0,3,0,3,0,3,0,3,0,4,5,7,1,0,3,2,195,53,3,0,1,1
1,195,54,3,3,5,7,4,4,2,4,2,4,3,4,2,4,3,4,2,4,1,4,1,4,1,4,3,4,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,4,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,3,2,2,0,0,6,1,3,2,195,54,3,0,1,2
1,195,55,3,3,3,4,4,4,0,0,0,0,0,0,2,4,2,4,3,4,2,3,1,4,3,3,1,3,2,2,2,2,1,2,3,2,2,2,3,1,4,2,2,1,3,1,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3,8,4,7,4,3,2,195,55,3,5,1,1
1,195,56,3,3,3,6,3,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,1,2,2,4,1,4,2,2,4,1,2,2,3,2,2,2,3,1,5,1,2,2,4,2,1,2,2,1,2,2,2,2,1,1,3,3,2,2,2,2,2,1,2,2,2,2,3,7,2,0,2,3,2,195,56,3,2,1,2
1,195,57,3,3,4,8,3,3,2,4,2,4,3,4,2,4,2,3,3,1,3,2,1,4,3,2,3,1,3,1,5,1,2,1,5,1,3,1,3,1,4,1,3,1,4,3,2,2,5,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,7,7,4,2,195,57,3,4,1,2
1,195,58,3,2,3,3,3,1,2,1,2,1,3,1,2,1,3,1,3,1,3,1,1,3,2,3,3,1,2,2,3,1,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,1,1,1,1,1,4,1,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,4,4,4,6,4,2,195,58,3,0,1,1
1,195,59,3,2,4,7,4,4,2,4,3,4,3,4,2,2,2,4,3,2,3,2,1,4,1,4,3,1,3,1,3,1,2,1,3,2,3,1,3,1,5,1,3,1,4,1,3,1,3,1,3,3,3,1,2,2,2,1,3,3,2,2,3,3,3,3,2,1,1,4,8,1,2,4,2,195,59,3,6,1,2
1,195,60,3,3,3,7,4,4,2,4,2,4,3,4,2,4,3,4,3,4,1,4,3,4,2,4,2,4,2,1,5,1,3,1,3,1,0,1,2,1,1,1,2,1,4,1,2,1,2,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,0,6,7,4,2,195,60,3,0,1,1
1,195,61,3,1,5,5,4,4,2,4,3,2,3,4,2,4,3,4,3,4,1,4,1,4,2,4,1,4,2,1,2,3,2,1,3,1,3,1,2,2,5,1,1,1,4,1,1,1,5,1,3,1,2,2,1,1,3,3,3,3,1,2,3,3,3,3,2,3,4,6,9,1,1,2,2,195,61,3,0,0,1
1,195,62,3,2,4,4,5,2,2,4,3,3,3,4,2,3,3,3,3,3,1,4,1,4,2,4,1,4,2,1,3,2,2,3,3,1,3,1,2,1,5,1,2,2,1,1,3,1,5,3,3,1,4,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,4,4,7,4,6,2,2,195,62,3,6,0,2
1,195,63,3,3,2,7,4,4,2,4,2,4,3,4,2,4,2,4,3,3,1,4,1,4,3,3,1,4,3,2,3,2,3,2,4,2,3,2,3,1,4,1,3,1,3,1,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,2,1,1,1,2,2,2,4,6,4,2,2,195,63,3,8,0,1
1,195,64,3,1,5,6,4,4,2,4,2,4,3,4,2,4,2,4,2,4,3,3,1,4,3,3,1,4,3,1,4,1,2,1,5,1,4,1,3,1,2,2,3,1,1,1,3,1,5,1,2,2,4,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,3,2,8,2,7,2,2,195,64,3,8,0,2
1,195,65,3,2,5,2,4,4,2,4,2,4,3,4,2,4,2,4,3,4,1,4,1,4,2,4,3,1,3,1,5,1,3,1,5,1,3,1,2,1,4,1,3,1,2,1,3,1,5,1,1,1,4,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,3,0,0,6,4,2,2,195,65,3,9,0,2
1,195,66,3,3,5,6,5,1,2,4,2,4,3,4,2,4,2,4,2,4,3,3,1,2,3,4,1,4,3,1,1,1,1,1,5,1,4,1,3,1,1,1,3,1,2,1,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,3,3,1,5,0,5,2,2,2,195,66,3,7,0,2
1,195,67,3,3,2,7,4,4,2,4,2,4,3,4,2,4,2,3,3,1,1,4,1,4,2,4,3,1,2,2,3,2,1,1,3,1,2,1,2,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,7,7,2,2,195,67,3,7,0,2
1,195,68,3,3,5,5,4,3,2,3,3,3,3,4,2,3,2,4,2,4,3,4,1,4,2,4,3,4,2,1,3,1,2,1,3,1,3,1,2,1,2,1,2,1,3,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,2,6,0,7,3,2,2,195,68,3,7,0,2
1,195,69,3,3,3,7,4,4,2,4,2,4,3,4,2,4,2,4,2,4,3,0,1,4,2,4,3,0,1,2,3,2,1,1,2,2,2,2,3,2,3,0,1,2,3,2,1,2,2,1,3,1,2,2,2,1,2,2,1,2,3,0,3,0,3,0,3,0,1,7,3,2,1,2,2,195,69,3,8,0,2
1,195,70,3,2,4,4,4,4,2,4,2,4,3,4,2,4,2,4,3,3,1,4,1,4,2,4,1,4,2,1,5,1,2,1,5,1,5,1,3,1,5,2,3,1,2,1,3,1,5,2,3,2,4,1,3,2,2,3,2,3,2,2,2,1,2,1,2,3,1,2,7,0,2,1,2,195,70,3,9,0,1
1,195,71,3,1,4,6,3,1,2,4,2,2,3,4,2,4,3,3,3,2,3,3,1,4,3,2,3,2,2,3,4,1,2,1,4,1,2,2,4,3,4,2,3,1,2,1,3,1,2,2,1,1,4,1,1,2,3,2,3,2,3,2,2,1,3,2,3,2,1,2,7,0,1,5,2,195,71,3,4,1,1
1,195,72,3,2,4,3,5,0,2,3,2,3,3,4,2,3,1,3,3,3,3,3,3,3,2,4,3,3,2,1,1,1,1,1,1,1,2,1,1,1,2,2,3,1,1,1,2,2,2,1,2,1,3,1,2,1,1,2,3,2,1,1,1,2,1,2,2,1,2,7,8,5,3,5,2,195,72,3,2,1,1
1,195,73,3,0,5,1,5,1,2,4,3,1,3,4,2,3,3,1,3,1,3,1,1,2,1,4,3,1,3,1,4,1,3,1,5,1,3,1,2,2,5,3,2,1,3,0,3,1,5,1,1,1,4,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,7,6,7,5,2,195,73,3,3,1,2
1,195,74,3,3,3,4,3,3,2,4,2,2,3,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,3,1,4,3,1,1,4,3,3,3,2,3,5,3,2,2,4,3,3,1,1,1,3,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,4,5,5,0,7,1,2,195,74,3,9,2,1
1,195,75,3,2,3,5,3,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,2,2,3,3,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,1,0,0,2,1,2,1,2,1,2,1,2,1,2,1,3,1,3,0,6,1,2,195,75,3,0,2,2
1,195,76,3,3,3,5,3,3,2,4,2,4,3,4,2,4,2,4,2,2,2,4,1,4,2,4,3,3,2,1,3,1,2,2,3,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,6,6,5,4,2,2,195,76,3,7,2,1
1,195,77,3,3,3,7,3,3,2,4,3,3,3,4,2,4,2,4,2,2,1,3,1,4,1,3,3,2,2,1,2,1,2,1,2,2,3,1,3,1,5,1,1,1,4,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,6,8,0,3,2,2,195,77,3,5,2,2
1,195,78,3,2,2,6,3,3,2,4,2,3,3,4,2,3,2,3,2,3,1,3,1,3,1,3,3,1,1,2,2,3,2,1,2,2,3,2,2,2,4,1,2,2,4,2,2,2,2,2,3,2,2,2,3,3,1,2,3,3,2,2,3,3,3,3,2,2,2,7,2,1,0,2,2,195,78,3,2,2,1
