COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88
1,142,186,2,11,11,9,1,6,2,11,6,1,1,2,2,1,3,4,4,4,4,3,2,2,10,1,2,5,15,3,2,6,2,6,4,0,3,3,4,4,4,2,2,4,2,2,2,4,2,2,2,2,4,4,1,2,142,186,9,1,1,2,1,3,3,6,6,1,1,2,5,3,2,1,1,1,2,4,5,4,2,2,1,6,6,4,27
1,142,187,4,11,11,6,1,6,2,11,6,1,1,1,1,1,1,3,4,4,3,3,2,2,6,2,2,7,25,3,2,6,1,3,4,2,3,2,1,1,2,2,2,4,1,2,2,4,2,3,2,2,2,2,2,2,142,187,3,1,1,1,2,4,1,6,6,1,4,1,6,3,1,1,1,1,1,4,5,4,1,1,3,6,6,4,48
1,142,188,4,11,11,3,1,7,2,1,7,1,1,1,1,1,2,4,2,2,4,1,1,1,4,2,2,6,30,2,10,0,0,0,4,2,3,1,1,1,2,2,2,3,2,2,4,4,2,2,2,2,3,3,2,2,142,188,3,3,1,3,2,4,2,1,6,1,1,2,7,3,1,1,3,1,4,4,4,1,2,3,0,4,4,11,19
1,142,189,4,8,8,7,1,7,2,11,7,3,1,3,2,1,2,3,2,2,3,1,1,1,5,2,1,5,25,2,10,0,0,0,4,3,3,2,2,1,2,2,3,4,3,2,2,3,2,2,2,3,2,2,2,2,142,189,2,5,0,0,2,2,1,6,6,1,1,3,6,3,1,1,2,1,1,2,1,1,2,3,1,9,9,11,85
1,142,190,4,11,11,8,1,7,2,11,7,1,1,2,2,1,2,3,4,4,3,3,2,2,5,1,1,8,25,3,2,7,2,7,4,2,3,2,5,2,3,2,4,3,2,2,3,2,2,3,2,2,3,4,2,2,142,190,3,1,1,2,2,4,1,6,6,0,4,3,4,3,1,1,4,1,1,4,5,1,2,3,1,7,7,4,35
1,142,191,4,11,11,3,1,7,2,11,2,1,1,3,3,1,1,6,2,5,6,3,3,3,2,2,2,5,20,2,2,7,1,4,4,1,2,1,5,2,2,2,3,2,2,2,2,3,2,3,2,2,3,3,2,2,142,191,2,0,1,1,1,3,2,6,6,1,1,3,6,3,1,1,2,1,3,4,3,1,2,2,3,7,4,9,32
1,142,192,4,11,10,9,1,8,2,0,8,1,3,3,1,1,2,2,5,2,3,2,1,1,5,2,0,4,20,3,2,8,1,5,2,5,2,1,2,1,2,2,3,3,2,2,3,3,2,2,2,3,3,3,1,2,142,192,7,1,1,3,2,2,1,6,6,2,4,3,5,3,1,1,3,1,4,4,5,4,2,3,2,8,8,2,44
1,142,193,4,11,11,6,1,8,2,11,8,1,1,3,1,1,2,5,1,2,3,1,1,1,3,2,1,5,20,3,2,8,1,4,4,1,2,2,2,1,3,4,3,3,3,2,3,4,2,3,2,2,3,3,2,2,142,193,2,2,1,1,2,4,1,6,6,1,1,2,6,3,2,1,1,2,2,4,3,1,2,3,0,8,8,1,53
1,142,194,4,11,11,4,1,8,2,11,8,1,1,2,1,1,2,5,2,2,2,1,1,1,5,2,1,6,24,2,1,4,1,4,4,2,2,1,1,1,2,2,3,4,3,1,3,3,2,3,2,2,2,2,2,2,142,194,2,3,1,3,2,4,1,1,6,1,1,3,7,3,1,1,3,2,1,4,2,1,2,3,3,8,4,11,60
1,142,195,3,11,11,9,1,8,2,11,8,1,1,1,1,1,1,4,4,6,4,3,2,2,7,1,1,6,29,2,2,8,2,8,4,2,3,1,1,1,2,1,2,3,3,2,1,2,2,2,2,2,4,2,2,2,142,195,6,4,1,3,2,2,1,6,6,2,1,0,6,3,1,1,1,1,3,4,5,4,2,3,3,8,8,4,37
