CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.8.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.57.,Q.58.,Q.59.,V.62.,V.63.,V.64.,V.65.,V.66.,V.67.
1,196,25,2,5,3,1,1,2,1,2,2,2,4,3,4,4,10,4,2,2,3,2,7,2,2,1,3,2,3,2,2,2,4,11,2,2,3,3,1,1,3,3,3,5,2,4,1,2,1,2,3,1,3,2,2,3,3,59
1,196,26,1,6,3,3,2,2,2,2,1,4,2,2,4,1,2,2,4,3,3,1,2,2,2,1,1,2,3,2,2,2,4,2,1,1,4,3,1,2,3,2,2,1,1,2,1,2,2,1,2,2,3,2,2,3,8,73
1,196,27,2,6,3,1,2,3,1,0,1,3,4,4,4,4,1,4,4,2,3,1,8,2,2,3,2,2,3,1,2,1,6,4,1,2,4,2,2,1,2,1,1,2,3,4,1,2,2,3,3,1,3,2,2,3,5,33
1,196,28,3,5,1,3,2,3,1,2,1,4,4,4,4,2,0,4,4,2,3,2,3,1,2,1,1,2,4,2,3,1,4,9,1,2,2,3,2,1,2,2,4,5,3,3,3,2,1,2,4,1,3,2,2,3,5,29
1,196,29,3,5,3,1,1,3,2,1,2,4,3,2,4,2,10,3,1,3,3,2,4,2,2,3,3,2,3,2,2,2,4,2,1,2,3,3,2,2,2,2,3,5,3,4,1,1,2,1,2,1,3,2,2,3,3,62
1,196,30,1,6,1,3,2,4,2,1,1,4,4,3,4,4,2,4,4,3,3,1,5,2,2,3,3,2,4,2,2,1,4,4,1,2,3,3,2,2,2,2,1,4,2,4,1,2,1,0,1,1,3,2,2,3,8,78
1,196,31,1,5,5,1,2,4,2,1,2,4,4,3,4,2,1,4,3,4,4,2,7,2,2,1,2,2,3,1,1,2,4,2,2,2,3,3,2,2,2,2,3,3,4,4,1,2,1,2,2,1,3,2,2,3,7,13
1,196,32,1,5,3,3,2,4,2,2,1,4,3,4,4,4,10,4,4,4,4,1,4,2,2,1,1,2,2,2,2,2,4,4,1,2,4,3,2,1,2,3,3,4,3,5,1,1,0,2,3,1,3,2,2,3,8,100
1,196,33,3,5,3,1,2,4,2,2,1,4,4,4,4,4,10,4,4,3,4,1,4,2,2,1,1,2,4,1,3,2,4,2,1,2,3,4,2,1,2,2,3,5,1,4,1,1,1,1,1,1,3,2,2,3,3,45
1,196,34,2,5,2,2,2,3,2,2,2,2,3,2,4,4,10,4,2,2,3,2,3,2,2,1,0,1,1,2,2,1,4,2,1,2,2,2,3,1,2,2,3,5,1,3,1,1,1,2,2,1,3,2,2,3,4,59
1,196,35,2,5,4,3,2,4,2,1,4,4,2,3,3,4,10,3,3,3,3,1,1,2,2,1,1,2,3,2,2,2,4,2,2,2,2,2,3,2,2,3,3,5,3,3,1,2,1,2,3,1,3,2,2,3,7,43
1,196,36,1,5,4,3,2,4,2,2,1,4,4,4,4,4,10,4,2,2,3,2,5,2,2,2,1,2,5,2,1,3,2,0,1,2,4,2,3,2,2,3,3,5,4,2,1,1,2,1,2,1,3,2,2,3,3,15
1,196,37,2,6,1,3,2,3,2,2,2,4,4,2,4,2,10,4,4,2,5,2,8,2,2,1,3,2,5,1,1,1,4,10,1,2,4,2,3,1,2,1,2,4,4,5,1,1,1,1,3,1,3,2,2,3,5,34
1,196,38,3,5,3,1,2,4,2,2,1,3,3,2,4,4,1,3,3,2,4,2,6,2,2,3,2,2,3,2,2,2,4,5,1,2,3,3,3,2,2,1,3,3,2,2,3,2,2,2,4,1,3,2,2,3,8,35
1,196,39,1,6,1,1,1,4,2,1,1,2,2,4,2,3,0,2,1,1,3,1,4,2,2,1,1,1,3,2,3,2,4,10,2,1,3,3,3,2,2,3,1,2,3,5,1,2,1,1,2,1,3,2,2,3,5,20
1,196,40,1,6,3,1,1,4,2,2,2,3,2,2,3,2,10,1,3,2,3,1,5,1,2,2,2,2,4,1,1,2,4,2,2,2,3,3,3,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,3,8,109
1,196,41,2,2,3,3,3,4,2,1,1,4,4,3,4,4,10,4,4,1,2,1,8,2,1,2,2,2,5,2,2,1,4,10,1,2,2,3,2,0,0,0,0,5,1,5,1,2,1,1,5,1,3,2,2,3,4,88
1,196,42,3,1,3,3,3,4,0,2,2,2,4,5,0,0,2,5,3,0,1,1,1,2,1,2,0,0,0,4,0,4,4,0,2,1,4,1,2,0,0,0,1,1,1,1,2,2,2,1,4,1,3,2,2,3,9,33
1,196,43,1,1,2,3,1,4,2,2,2,4,0,1,4,4,10,3,3,2,3,3,5,2,1,1,3,2,4,2,2,2,4,10,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,2,3,3,43
