CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.12B.,Q.12C.,Q.12D.,Q.12E.,Q.12F.,Q.12G.,Q.12H.,Q.12I.,Q.12J.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17A.,Q.17A..1,Q.17A..2,Q.17A..3,Q.17A..4,Q.17B.,Q.17C.,Q.18A.,Q.18B.,Q.1..1,Q.2..1,Q.3..1,Q.4..1,Q.5..1,Q.6..1,Q.7A.,Q.7A..1,Q.7A..2,Q.7A..3,Q.7A..4,Q.7A..5,Q.7A..6,Q.7B.,Q.7C.,Q.8A.,Q.8B.,Q.9..1,Q.10A.,Q.10B.,Q.10C.,Q.10D.,Q.10E.,Q.10F.,Q.11..1,Q.12A..1,Q.13A.,Q.13B.,Q.1..2,Q.2..2,Q.3A.,Q.3B.,Q.3C.,Q.4..2,Q.6..2,CARD..1,DECK..1,BALLOT..1,FORM.,Q.7..1,V.8.,V.9.,V.9..1
1,203,11,2,1,4,4,6,1,5,4,5,5,5,3,3,3,3,3,2,3,3,3,2,3,3,4,3,3,4,4,4,4,4,1,2,2,1,3,1,2,2,4,4,4,4,4,4,4,4,4,1,2,2,1,1,3,3,3,3,3,3,1,1,3,4,3,4,1,1,1,1,2,2,203,11,2,13,5,82,210
1,203,12,2,4,4,6,8,4,2,3,3,1,1,1,2,3,2,3,2,2,3,2,2,3,1,1,1,3,2,2,3,3,3,1,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,2,1,2,3,2,3,2,1,2,3,1,2,2,1,4,1,1,4,1,1,1,1,2,2,203,12,2,13,5,82,126
1,203,13,2,5,4,6,5,1,5,4,3,2,5,6,4,1,3,3,1,1,3,2,2,1,3,3,3,1,3,1,2,2,1,2,2,2,3,5,4,5,5,4,4,0,0,0,0,0,0,0,1,0,4,1,2,1,3,3,3,3,1,1,1,3,4,3,2,1,1,1,1,2,2,203,13,2,13,5,82,135
1,203,14,2,3,4,9,6,6,1,1,3,2,2,2,2,2,2,1,1,1,1,1,2,1,2,4,3,3,2,2,2,2,2,1,3,2,3,3,2,2,2,4,2,2,2,2,2,2,2,2,4,3,7,2,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,2,2,203,14,2,13,5,82,122
1,203,15,2,1,6,7,5,6,1,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,1,0,0,0,0,0,0,4,5,0,5,3,1,4,4,4,2,2,3,3,2,3,3,2,1,3,2,1,2,2,3,1,3,3,3,1,1,4,1,3,4,1,1,1,1,2,2,203,15,2,13,5,81,103
1,203,16,2,3,5,9,8,1,1,2,4,2,3,2,3,1,1,3,2,3,2,1,2,3,3,3,1,3,2,2,3,2,4,2,2,2,3,2,1,2,3,3,2,3,2,2,3,3,3,3,1,1,4,1,1,2,3,2,3,2,2,2,1,1,2,3,4,1,1,1,1,2,2,203,16,2,14,5,71,505
1,203,17,2,2,2,5,6,4,1,3,3,2,4,3,2,1,3,2,1,3,2,2,2,2,3,2,3,1,4,4,2,3,1,2,3,3,3,2,2,2,1,2,2,2,2,1,1,1,1,3,2,3,5,2,1,2,1,3,1,1,2,1,1,4,1,3,2,1,1,1,1,1,2,203,17,2,4,5,72,260
1,203,18,2,2,6,8,5,2,2,2,2,2,5,6,4,0,2,0,0,0,4,0,0,0,3,3,1,3,4,2,2,2,2,1,2,2,3,4,4,5,5,4,4,0,0,0,0,0,0,0,4,0,1,4,1,3,3,3,3,3,3,0,0,4,1,3,2,1,1,1,1,1,2,203,18,2,4,5,54,87
1,203,19,2,3,2,9,6,7,1,3,1,1,1,1,2,1,2,2,2,2,2,1,2,3,1,1,1,3,2,3,3,2,3,1,3,2,3,1,3,1,1,3,2,3,3,1,3,3,1,1,1,3,2,2,3,2,1,2,2,1,2,2,1,3,1,3,4,1,1,1,1,2,2,203,19,2,1,5,16,66
1,203,20,2,3,2,11,4,4,2,2,3,2,2,2,3,2,3,1,2,2,2,3,2,2,3,2,1,3,0,0,0,0,0,4,3,2,2,3,1,5,5,5,4,0,0,0,0,0,0,0,4,0,1,4,6,4,0,0,0,0,0,0,0,0,5,3,2,0,5,0,0,2,2,203,20,2,1,5,16,55
1,203,21,2,5,2,11,6,0,4,0,0,0,0,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,1,3,1,2,3,2,2,3,3,3,2,2,1,4,3,2,4,1,4,0,0,0,0,0,0,0,3,5,3,4,0,5,0,0,2,2,203,21,2,1,5,15,54
1,203,22,2,2,3,10,6,0,4,4,5,5,5,6,3,3,3,3,3,3,3,3,3,3,3,4,3,0,3,1,2,2,1,1,1,4,2,3,1,3,3,4,3,2,1,1,1,2,2,3,1,1,5,1,4,2,3,2,3,2,2,1,1,4,5,2,4,4,2,2,3,2,2,203,22,2,1,5,15,60
1,203,23,2,5,4,8,6,6,2,3,1,1,2,1,2,3,3,2,3,2,3,2,2,2,3,2,1,3,2,2,3,2,3,1,3,2,2,2,3,1,1,1,2,2,3,3,3,3,2,3,1,4,2,1,4,2,1,2,1,2,2,2,1,2,2,2,2,3,2,2,3,2,2,203,23,2,1,5,16,61
1,203,24,2,3,2,10,6,2,2,3,2,1,1,2,2,2,2,3,2,3,1,2,2,2,3,2,1,3,2,2,2,2,2,2,3,2,3,1,3,1,2,1,2,2,2,2,2,2,2,2,1,3,2,1,5,2,3,2,2,2,2,2,1,3,4,2,2,2,3,2,3,2,2,203,24,2,1,5,15,78
1,203,25,2,2,6,4,4,5,1,1,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,0,1,0,0,0,4,3,0,5,3,1,1,1,1,2,0,0,0,0,0,0,0,4,0,7,4,6,4,0,0,0,0,0,0,0,0,5,4,0,0,5,0,0,1,2,203,25,2,2,5,72,212
1,203,26,2,2,6,9,6,2,3,1,4,4,4,3,3,3,2,3,3,3,3,2,2,3,3,2,1,3,2,3,3,2,3,1,2,3,2,2,2,2,3,4,2,2,2,3,2,3,2,2,1,2,4,1,2,3,3,3,2,2,2,2,1,4,1,2,4,3,2,2,4,1,2,203,26,2,3,5,11,6
1,203,27,2,1,4,5,3,4,1,1,1,1,0,7,4,2,0,0,2,2,2,2,2,0,3,0,1,1,0,0,1,1,0,4,5,3,5,1,3,1,2,4,3,3,0,0,0,0,0,0,2,0,3,4,1,2,0,0,0,2,2,0,0,0,5,4,0,0,5,0,0,3,2,203,27,2,3,5,12,32
1,203,28,2,4,4,9,5,7,1,3,4,2,1,2,2,2,2,1,2,1,2,2,2,2,3,2,3,3,1,2,3,2,2,1,3,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,4,0,7,4,3,2,1,2,1,2,2,1,1,3,3,3,4,1,1,1,1,2,2,203,28,2,3,5,11,18
1,203,29,2,1,3,9,7,5,2,2,3,2,2,2,2,3,2,1,2,2,3,2,2,3,2,2,1,1,2,2,3,1,1,2,4,2,2,1,3,2,1,3,3,3,3,3,3,2,3,3,1,4,2,1,1,2,2,2,3,3,2,2,1,4,1,3,4,1,1,1,1,2,2,203,29,2,3,5,72,174
1,203,30,2,1,4,8,3,6,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,3,1,1,3,2,2,2,2,2,1,3,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,3,5,1,1,1,2,1,3,2,2,2,1,2,2,1,2,2,3,3,2,2,2,203,30,2,3,5,12,56
1,203,31,2,2,3,9,6,7,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,3,2,3,1,1,3,4,3,4,1,1,4,2,3,1,2,3,3,2,3,1,1,1,2,2,3,1,1,5,1,3,1,3,0,2,2,2,1,1,2,2,1,3,3,2,2,3,2,2,203,31,2,3,5,12,59
1,203,32,2,4,5,9,6,7,2,1,2,2,2,2,1,2,2,2,1,2,1,3,1,1,3,2,3,3,2,2,2,3,4,1,2,4,2,4,3,2,2,3,2,2,2,1,3,2,2,2,1,3,5,1,1,3,3,3,3,3,3,1,1,4,1,3,4,1,1,1,1,1,2,203,32,2,4,5,56,77
1,203,33,2,3,2,5,6,3,1,3,2,1,2,2,4,2,0,0,2,0,4,2,0,2,3,2,1,3,2,3,3,1,1,1,4,2,3,2,3,1,2,2,2,2,1,2,3,2,3,3,1,4,2,2,1,2,0,0,0,2,0,3,1,4,1,3,4,1,1,1,1,1,2,203,33,2,4,5,54,56
1,203,34,2,1,3,10,5,4,4,4,5,5,5,6,4,0,0,0,0,0,4,0,0,0,3,4,3,0,1,1,1,1,1,4,1,1,2,4,1,4,3,2,5,1,1,0,0,0,1,0,1,4,1,1,5,3,2,3,2,3,2,1,1,4,4,2,4,4,1,2,0,1,2,203,34,2,4,5,71,526
1,203,35,2,1,1,6,1,2,2,2,3,2,2,4,4,0,0,0,0,0,4,0,0,0,3,4,3,0,0,0,0,0,0,4,5,0,5,0,5,0,6,5,5,0,0,0,0,0,0,0,4,0,7,4,6,4,0,0,0,0,0,0,0,0,5,4,0,0,5,0,0,1,2,203,35,2,4,5,71,446
1,203,36,2,3,2,11,5,6,3,2,3,2,2,2,4,0,2,0,0,0,2,0,2,0,3,2,1,3,2,2,3,4,3,1,2,2,3,4,4,5,5,5,4,0,0,0,0,0,0,0,4,0,1,4,6,4,0,0,0,0,0,0,0,4,1,3,0,1,1,0,0,1,2,203,36,2,4,5,71,539
1,203,37,2,1,6,9,6,6,4,4,5,5,5,6,3,3,3,3,3,3,3,3,3,3,3,4,3,3,0,0,0,0,0,2,1,1,1,4,4,5,5,4,4,4,4,4,4,4,4,4,4,1,1,4,6,3,3,3,3,3,3,0,1,3,4,3,4,0,2,2,0,1,2,203,37,2,4,5,61,24
1,203,38,2,1,2,2,5,5,1,4,2,2,2,2,2,1,2,1,2,1,2,1,1,1,3,4,1,3,0,0,0,0,0,4,5,0,5,0,5,0,6,5,5,2,2,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,1,2,2,1,2,203,38,2,4,5,56,96
1,203,39,2,1,3,5,6,7,2,2,2,2,2,2,1,2,2,1,2,1,3,1,2,2,3,1,1,3,3,2,3,1,1,1,2,2,3,2,2,2,2,2,1,3,3,2,3,3,3,3,1,3,3,2,3,1,1,2,1,2,2,1,1,2,2,2,2,3,3,2,2,1,2,203,39,2,4,5,72,244
1,203,40,2,2,6,6,5,4,1,2,2,1,2,1,2,2,2,0,2,2,2,2,2,2,3,2,0,0,2,3,3,4,4,2,4,5,3,1,2,1,2,3,2,3,3,1,2,3,3,3,2,2,7,2,2,4,0,0,2,2,2,0,1,2,2,2,2,2,4,0,3,1,2,203,40,2,4,5,60,9
1,203,41,2,1,2,9,5,6,1,3,4,2,3,2,2,0,0,0,2,0,2,0,2,0,3,4,3,3,2,4,3,1,4,1,2,2,1,3,2,1,1,2,1,3,2,1,1,1,2,2,1,2,2,4,1,3,3,2,3,2,2,2,1,2,4,3,2,2,2,0,3,1,2,203,41,2,4,5,71,437
1,203,42,2,1,3,8,5,6,2,2,2,1,1,2,4,1,2,3,2,3,3,1,1,2,3,2,1,3,2,2,4,4,4,1,3,2,1,3,1,2,3,3,2,4,4,4,2,4,2,2,1,3,2,2,1,2,3,3,3,1,2,2,1,4,1,2,2,4,2,2,3,1,2,203,42,2,4,5,71,556
1,203,43,2,1,1,3,6,2,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,3,4,3,3,2,4,2,2,3,1,3,2,2,3,2,2,2,3,3,2,2,3,3,3,3,2,4,2,2,3,4,2,1,1,1,2,2,1,1,4,1,2,4,4,2,2,3,1,2,203,43,2,4,5,71,491
1,203,44,2,1,1,8,4,2,1,2,2,2,2,2,2,2,2,0,0,0,4,0,2,0,3,2,3,3,2,2,3,2,3,1,3,2,2,1,3,2,1,3,2,3,2,1,2,2,3,2,1,3,2,1,1,2,1,2,1,2,2,1,1,2,4,2,2,3,2,2,3,1,2,203,44,2,4,5,71,370
1,203,45,2,1,4,9,6,1,1,3,2,2,2,2,3,3,3,1,3,1,3,0,3,3,2,2,1,3,3,2,2,2,3,1,2,2,2,2,3,2,2,4,4,2,2,2,2,3,3,3,1,3,2,1,1,2,1,2,1,2,1,0,1,3,1,2,3,3,2,2,3,1,2,203,45,2,4,5,72,268
1,203,46,2,1,3,4,6,7,2,2,4,2,3,3,2,2,3,2,3,3,3,3,2,3,3,2,1,3,1,2,3,1,2,1,3,4,2,3,1,2,3,4,2,3,2,4,4,4,3,3,1,2,3,1,3,2,3,3,3,3,3,1,1,4,1,3,4,3,2,2,3,1,2,203,46,2,4,5,71,631
1,203,47,2,3,3,6,6,3,3,2,3,5,5,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,0,2,1,3,1,1,2,3,1,1,3,2,2,2,1,4,2,1,3,2,3,2,2,5,3,3,2,2,3,2,2,1,4,1,2,3,3,3,2,3,1,2,203,47,2,4,5,53,50
1,203,48,2,1,2,6,5,2,2,4,2,1,1,1,2,3,3,2,2,3,2,2,2,3,1,2,1,3,2,2,2,3,3,1,2,4,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,5,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,4,2,3,1,2,203,48,2,4,5,56,63
1,203,49,2,3,2,10,8,5,2,2,2,2,2,2,4,0,2,0,2,0,4,0,2,0,3,3,3,3,4,4,2,3,4,4,2,3,2,1,3,1,2,3,2,2,2,2,2,3,2,2,1,3,2,2,3,4,2,0,0,2,0,2,1,4,1,2,4,2,3,3,4,1,2,203,49,2,4,5,54,55
1,203,50,2,1,3,3,7,3,1,2,2,1,1,1,2,3,3,3,2,3,3,3,2,3,3,1,1,3,3,2,1,2,3,1,1,0,0,2,3,2,2,1,2,1,3,2,2,2,2,3,1,1,2,1,2,2,3,3,3,3,3,1,2,2,4,3,4,3,1,2,4,1,2,203,50,2,4,5,71,638
1,203,51,2,1,3,4,7,6,1,1,4,3,3,7,2,2,2,2,3,3,1,2,2,3,3,2,3,1,1,2,1,1,1,2,1,3,5,1,1,4,4,1,1,1,1,1,1,3,3,3,1,1,4,4,6,4,0,0,0,0,0,0,0,0,5,1,4,4,5,0,4,1,2,203,51,2,4,5,72,233
1,203,52,2,1,3,4,3,0,2,1,4,3,3,3,4,1,0,0,0,0,4,0,0,0,3,4,3,0,0,1,2,1,3,4,2,0,5,3,1,4,4,4,3,3,2,0,1,1,2,1,4,2,7,4,1,4,0,0,0,0,0,0,0,3,3,3,4,3,5,0,4,1,2,203,52,2,4,5,71,382
1,203,53,2,4,6,9,6,0,2,2,4,3,3,4,2,1,2,2,2,1,1,2,2,3,3,2,3,1,1,2,1,1,1,1,1,3,3,2,1,3,3,4,3,1,2,1,1,3,1,3,1,3,4,2,4,2,1,2,3,2,2,1,2,4,5,2,3,4,2,2,4,1,2,203,53,2,4,5,71,634
1,203,54,2,1,2,3,7,4,1,2,2,2,1,2,2,3,2,3,3,2,1,3,3,3,3,3,1,3,2,2,4,1,2,1,3,2,3,2,2,2,2,3,5,3,1,1,1,2,2,3,1,2,3,4,4,2,2,1,3,2,2,1,1,4,1,2,3,4,2,2,4,1,2,203,54,2,4,5,56,71
1,203,55,2,1,2,12,1,4,1,4,1,1,3,2,4,0,2,0,0,0,4,0,0,0,0,1,3,1,3,3,2,3,1,1,1,1,1,5,1,1,6,4,2,3,1,1,2,2,2,2,1,2,1,1,3,2,3,3,3,3,1,1,2,0,4,2,4,4,2,2,4,1,2,203,55,2,4,5,71,525
1,203,56,2,1,6,9,2,0,3,1,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,4,3,0,3,2,2,4,4,1,3,2,2,2,2,2,1,4,2,2,3,3,3,3,2,1,1,3,2,1,1,2,3,2,3,3,2,1,1,3,4,2,4,4,2,2,4,1,2,203,56,2,4,5,71,420
1,203,57,2,1,3,4,5,1,1,2,2,1,2,2,3,2,2,2,2,0,2,2,3,3,3,2,3,3,2,1,2,1,0,1,2,2,5,1,2,2,2,2,2,2,1,1,1,1,3,3,1,2,2,4,4,2,1,2,3,2,2,2,1,4,5,2,2,3,2,2,4,1,2,203,57,2,4,5,71,500
1,203,58,2,1,2,3,7,6,1,2,2,2,2,2,3,2,3,3,3,2,2,1,2,3,3,2,3,3,2,2,3,4,4,1,2,2,3,3,2,2,2,3,2,4,4,4,4,4,4,4,1,3,3,2,2,2,3,2,3,2,3,1,1,4,1,2,4,3,2,2,4,1,2,203,58,2,4,5,55,80
1,203,59,2,1,4,3,5,6,1,3,3,3,3,3,2,2,2,1,2,2,2,2,2,1,3,4,3,3,2,2,3,1,2,1,1,4,1,1,1,2,2,3,2,3,1,1,2,2,2,3,1,2,4,1,3,2,1,2,1,2,2,1,1,4,1,2,4,3,2,2,4,1,2,203,59,2,4,5,72,230
1,203,60,2,4,3,7,4,3,1,2,2,1,1,2,4,0,1,0,0,0,1,0,1,0,3,1,0,3,1,2,3,3,4,1,3,5,3,0,5,0,6,5,5,2,4,4,4,4,2,4,1,3,2,1,5,2,3,2,3,3,1,1,1,2,2,1,2,3,2,2,1,1,2,203,60,2,4,5,72,217
1,203,61,2,2,2,6,6,4,3,1,2,2,2,2,2,1,2,3,2,2,2,3,3,2,3,2,1,3,2,2,2,3,3,1,1,2,2,3,2,2,2,3,3,3,1,3,3,3,3,2,1,1,2,1,2,2,1,1,3,1,2,1,1,3,4,1,2,3,2,2,1,1,2,203,61,2,4,5,55,100
1,203,62,2,1,5,3,5,5,5,4,2,1,2,1,4,0,0,0,0,0,2,0,0,2,3,0,0,0,3,2,1,4,3,1,3,3,2,2,1,1,2,3,2,2,4,1,1,3,3,3,1,2,2,1,6,4,0,0,0,0,0,0,0,3,4,3,4,0,5,0,1,1,2,203,62,2,4,5,71,534
1,203,63,2,2,3,9,4,6,1,2,2,1,2,1,4,0,2,2,0,0,4,0,0,0,3,2,3,0,0,0,0,0,0,4,5,0,5,2,2,2,3,1,5,0,0,0,0,0,0,0,4,0,7,4,6,4,0,0,0,0,0,0,0,3,5,3,2,3,5,0,1,1,2,203,63,2,4,5,71,600
1,203,64,2,1,6,10,6,3,0,0,0,0,0,7,4,3,3,3,3,3,2,3,3,3,3,4,3,1,0,0,0,0,0,4,5,0,5,4,4,5,5,4,4,1,3,2,2,3,3,2,4,0,7,4,6,3,3,3,3,3,3,0,0,3,3,3,4,1,1,1,1,1,2,203,64,2,4,5,62,38
1,203,65,2,1,1,7,4,2,4,1,4,2,5,6,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,3,1,3,1,2,1,1,4,4,5,5,4,4,3,2,2,2,2,2,3,1,2,1,1,2,3,3,3,3,3,3,0,1,3,3,3,4,1,1,1,1,1,2,203,65,2,4,5,54,85
1,203,66,2,1,2,10,4,7,1,2,3,2,2,3,3,1,2,3,3,3,1,2,2,1,3,2,1,3,3,2,4,2,4,1,1,4,1,2,2,2,2,3,3,3,3,3,3,4,4,3,1,2,5,2,5,2,3,1,3,1,2,1,1,2,4,3,4,1,1,1,1,1,2,203,66,2,4,5,71,607
1,203,67,2,2,2,4,7,6,1,1,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,4,3,3,2,2,2,2,2,1,3,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,1,3,2,2,3,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,2,203,67,2,4,5,55,75
1,203,68,2,1,1,2,6,3,2,3,2,2,2,3,3,2,2,1,2,3,2,2,2,2,3,3,3,3,2,4,4,2,4,1,2,4,3,2,1,3,3,3,2,2,3,3,2,2,2,3,1,2,2,2,3,2,3,2,3,3,2,1,1,4,1,1,4,1,1,1,1,1,2,203,68,2,4,5,71,338
1,203,69,2,1,6,8,8,3,4,3,3,2,3,6,3,2,3,3,2,3,2,3,2,3,3,4,3,0,4,4,4,4,4,1,2,1,1,4,4,5,5,2,2,4,2,2,2,2,2,2,1,1,1,1,6,3,3,3,3,1,1,0,0,4,4,3,4,1,1,1,1,1,2,203,69,2,4,5,62,34
1,203,70,2,1,3,11,3,7,1,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,3,2,1,3,4,2,4,3,3,1,4,2,1,2,3,1,1,3,2,3,3,4,4,3,4,3,1,4,2,1,3,2,0,2,0,0,2,0,0,4,5,2,1,2,5,0,2,3,2,203,70,2,4,5,71,343
1,203,71,2,1,4,3,5,6,4,4,4,1,1,1,3,2,3,3,3,3,3,3,3,3,3,4,3,3,2,4,2,1,3,1,3,2,3,3,4,2,1,3,4,3,2,4,2,2,2,3,1,3,2,4,1,3,2,3,3,3,3,2,1,3,2,3,4,1,1,1,1,3,2,203,71,2,4,5,52,28
1,203,72,2,1,1,9,6,6,5,3,2,5,1,2,2,3,2,2,2,2,2,2,2,2,3,4,3,3,2,2,3,2,3,1,3,2,1,4,3,1,1,3,2,2,3,3,2,3,3,3,1,3,3,1,3,1,1,1,1,1,1,1,1,4,1,3,4,1,1,1,1,1,2,203,72,2,4,5,54,54
1,203,73,2,1,3,3,3,1,4,4,5,5,5,6,1,1,1,1,1,1,1,1,1,1,3,4,3,3,4,4,4,4,4,1,3,2,1,3,2,2,2,4,2,4,4,4,4,4,4,4,1,3,3,1,2,3,3,3,3,3,3,1,1,2,4,3,4,1,1,1,1,1,2,203,73,2,4,5,52,29
1,203,74,2,3,2,9,6,4,1,3,1,1,2,1,1,2,2,1,1,2,1,2,2,1,3,2,1,1,1,2,3,2,3,1,2,2,2,3,4,5,5,4,4,4,4,4,4,4,4,4,1,0,2,1,1,2,1,1,1,1,2,1,1,3,4,3,4,1,1,1,1,1,2,203,74,2,4,5,55,56
1,203,75,2,1,1,2,5,7,3,1,1,2,2,2,4,0,0,0,0,0,4,0,0,0,3,4,0,3,2,2,3,1,1,1,2,1,1,3,4,5,5,4,4,3,3,1,3,4,3,3,1,4,1,4,4,4,0,0,0,0,0,1,1,3,1,3,4,3,1,1,1,1,2,203,75,2,4,5,71,387
1,203,76,2,3,3,10,3,5,1,3,2,1,1,2,1,1,2,1,2,1,1,1,1,1,3,3,3,3,4,4,3,3,3,1,2,2,1,4,4,5,5,5,4,3,3,4,4,4,3,3,1,3,2,1,6,4,0,0,0,0,0,0,0,0,5,4,0,0,5,0,0,2,2,203,76,2,13,2,82,165
1,203,77,2,2,6,6,6,5,1,1,4,2,3,3,3,2,2,2,2,2,3,3,3,3,3,4,1,3,3,4,3,3,4,1,2,4,2,3,1,2,2,4,3,4,3,3,3,2,2,3,1,2,3,1,2,3,3,2,3,1,2,1,1,4,1,2,2,3,3,2,2,2,2,203,77,2,13,2,81,126
1,203,78,2,3,6,8,6,7,2,3,3,2,2,2,1,1,2,3,1,3,2,3,2,2,3,2,3,3,2,2,3,4,4,1,3,2,1,3,2,1,2,3,2,3,4,1,1,3,2,2,1,3,2,2,3,2,3,3,3,2,2,1,1,4,1,2,4,3,3,2,3,2,2,203,78,2,13,2,81,124
1,203,79,2,5,3,3,5,2,1,3,2,2,2,2,1,2,1,2,2,2,3,2,2,2,2,2,1,3,3,4,3,2,3,1,2,2,2,2,1,2,2,3,2,4,2,4,2,2,3,3,1,1,3,1,1,2,2,1,2,3,2,1,1,2,3,2,3,4,2,2,3,1,2,203,79,2,13,2,81,112
