CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.3..1,Q.3..2,Q.3..3,Q.3..4,Q.3..5,Q.3..6,Q.3..7,Q.3..8,Q.4.,Q.5A.,V.5B.,V.5B..1,V.5B..2,V.5B..3,V.5B..4,V.5B..5,V.5B..6,V.5B..7,V.5B..8,Q.6.,Q.7.,Q.8.,Q.8..1,Q.8..2,Q.9.,Q.9..1,Q.9..2,Q.10.,Q.11A.,V.11B.,V.11B..1,V.11B..2,V.11B..3,V.11B..4,V.11B..5,V.11B..6,V.11B..7,Q.12.,Q.12..1,Q.13.,Q.13..1,Q.13..2,Q.13..3,Q.13..4,Q.13..5,Q.13..6,Q.13..7,Q.13..8,Q.13..9,Q.13..10,Q.14.,Q.16.,Q.16..1,Q.16..2,Q.16..3,Q.16..4,Q.16..5,Q.16..6,Q.16..7,Q.16..8,Q.16..9,Q.16..10,Q.16..11,CARD..1,DECK..1,BALLOT..1,V.17.,V.18.,V.19.,V.20.
1,199,46,3,6,2,1,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,1,2,1,1,2,6,8,2,8,8,4,2,2,2,2,2,2,2,1,2,1,3,2,1,1,8,2,0,1,3,0,2,0,3,2,2,2,2,2,2,2,2,2,2,1,1,2,199,46,5,6,36,1
1,199,47,14,6,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,8,0,1,8,0,4,3,2,2,2,2,2,2,1,2,1,3,1,1,1,8,2,0,1,3,0,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,199,47,5,6,1,2
1,199,48,1,6,1,2,2,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,1,2,1,1,1,2,0,2,0,0,4,3,2,2,2,2,2,2,1,2,2,4,2,2,1,8,2,0,1,3,0,2,0,0,2,2,2,2,2,2,2,1,2,2,2,1,2,199,48,5,5,24,1
1,199,49,1,6,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,8,0,2,8,0,4,3,2,2,2,2,2,2,1,2,2,4,1,1,1,8,2,0,1,3,0,2,7,3,1,1,2,1,2,2,2,1,2,2,1,2,2,199,49,5,6,10,2
1,199,50,1,9,2,1,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,1,2,1,1,1,5,0,0,0,0,4,2,2,2,2,2,2,2,1,2,2,4,1,1,1,8,2,0,4,0,0,2,0,2,2,2,2,1,2,2,2,1,2,2,2,2,2,199,50,5,5,22,1
1,199,51,1,5,2,1,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,1,2,2,1,1,8,0,0,0,0,4,2,2,2,2,2,2,2,1,2,2,4,1,1,1,8,2,0,1,3,0,2,0,2,2,2,2,1,2,1,2,2,2,2,2,2,2,199,51,5,5,26,1
1,199,52,1,2,2,1,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,1,2,1,1,1,8,0,0,0,0,4,2,2,2,2,2,2,2,1,2,2,4,1,1,1,8,2,0,1,3,0,2,1,3,2,2,2,1,2,2,2,1,2,2,2,2,2,199,52,5,5,52,1
1,199,53,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,8,0,1,2,0,4,3,2,2,2,2,2,2,1,2,2,4,5,3,1,8,2,0,1,4,0,2,0,3,2,2,2,1,2,2,2,2,2,2,2,1,2,199,53,5,5,49,1
1,199,54,1,3,1,1,2,2,2,2,2,2,1,7,1,2,2,2,2,2,2,2,1,2,1,1,7,8,0,1,0,0,4,2,2,2,2,2,2,2,1,2,2,4,1,3,1,8,2,0,1,3,0,5,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,199,54,5,5,31,1
1,199,55,3,6,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,8,0,2,8,0,4,2,2,2,2,2,2,2,1,2,2,4,1,1,1,8,2,0,1,3,0,2,0,3,1,1,2,1,2,1,2,1,2,2,2,2,2,199,55,5,6,48,1
1,199,56,3,7,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,8,0,2,4,0,4,1,2,2,2,2,2,2,1,2,1,4,1,3,7,8,2,0,1,0,0,5,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,199,56,1,2,89,1
1,199,57,14,4,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,8,0,2,7,8,4,2,2,2,2,2,2,2,1,2,1,4,5,5,1,8,2,0,1,0,0,5,0,3,2,2,2,2,2,1,2,2,2,2,2,1,2,199,57,1,2,36,1
