CARD.,DECK.,BALLOT.,Q.0.,Q.1.,Q.2.,Q.3.,Q.4A.,Q.5.,Q.6A.,Q.6B.,Q.7A.,Q.7B.,Q.8A.,Q.8B.,Q.9A.,Q.9B.,Q.10A.,Q.10B.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15A.,Q.15B.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.20.,Q.21A.,Q.21B.,Q.22A.,Q.22B.,Q.23A.,Q.23B.,Q.24A.,Q.24B.,Q.25A.,Q.25B.,Q.26A.,Q.26B.,Q.27A.,Q.27B.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30A.,Q.30B.,Q.31A.,Q.31B.,Q.32A.,Q.32B.,Q.33A.,Q.33B.,Q.34A.,Q.34B.,Q.35A.,Q.35B.,Q.36A.,Q.36B.,Q.37A.,Q.37B.,Q.38A.,CARD..1,DECK..1,BALLOT..1,Q.0..1,Q.38B.,Q.39A.,Q.39B.,Q.40A.,Q.40B.,Q.41A.,Q.41B.,Q.42A.,Q.42B.,Q.43A.,Q.43B.,Q.44A.,Q.44B.,Q.45A.,Q.45B.,Q.46A.,Q.46B.,Q.47A.,Q.47B.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.51A.,Q.51B.,Q.52A.,Q.52B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.55A.,Q.55B.,Q.56A.,Q.56B.,Q.57A.,Q.57B.,Q.58A.,Q.58B.,Q.59A.,Q.59B.,Q.60A.,Q.60B.,Q.61A.,Q.61B.,Q.62A.,Q.62B.,Q.63A.,Q.63B.,Q.64A.,Q.64B.,V.65.,V.66.,V.67.,V.68.,V.69.
1,215,11,0,1,4,5,2,8,3,2,5,3,2,4,3,3,3,3,1,4,3,3,1,4,3,2,2,2,4,4,5,3,3,4,2,3,90,1,4,3,3,3,4,3,4,4,4,1,3,2,3,2,4,2,4,2,3,3,4,3,3,1,3,3,4,3,4,5,2,3,3,2,2,215,11,0,3,3,4,2,3,3,4,4,4,3,4,3,4,3,4,3,4,3,4,2,3,2,2,3,4,3,4,2,3,2,3,5,3,3,3,3,2,4,3,3,3,3,3,1,4,2,4,2,2,1,2,1,4,26,6,12,3,3
1,215,12,0,3,3,6,1,8,2,4,2,4,1,4,1,4,1,4,1,4,2,3,1,4,1,3,1,4,4,3,2,3,5,3,1,4,90,3,3,1,4,2,3,1,3,4,3,3,2,2,3,1,3,2,3,2,3,2,2,3,3,2,2,2,3,3,2,2,3,5,4,1,2,215,12,0,3,2,3,2,3,3,3,2,3,3,3,3,3,2,4,2,4,2,4,3,4,2,3,2,4,2,2,1,3,1,3,5,2,2,2,4,2,3,3,2,3,3,4,1,5,3,3,2,3,4,4,5,2,16,4,7,3,3
1,215,13,0,3,3,5,4,8,2,4,5,4,2,4,3,4,3,4,1,4,3,4,1,4,2,4,2,4,3,4,3,4,3,4,3,4,90,1,4,1,4,4,4,3,4,1,4,2,4,1,4,2,4,2,4,2,4,3,4,3,4,2,4,3,4,3,4,2,4,1,4,1,2,215,13,0,4,3,4,1,4,2,4,2,4,2,4,3,4,3,4,3,4,2,4,2,4,3,4,2,4,3,4,2,4,1,4,2,4,4,4,2,4,3,4,4,4,4,5,1,5,3,5,1,4,1,4,1,4,18,4,9,12,6
1,215,14,0,2,3,4,2,8,1,4,1,4,2,3,2,4,1,4,1,4,1,4,1,4,2,4,2,4,3,4,2,4,4,4,3,4,90,1,4,4,4,4,4,4,3,5,4,3,4,1,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,4,2,4,3,4,1,2,215,14,0,4,3,4,2,4,2,4,2,4,2,4,3,4,2,4,2,4,2,4,2,4,2,4,3,4,1,4,1,4,1,4,1,4,2,4,5,4,3,4,4,4,4,5,1,5,4,5,2,4,1,4,1,4,14,3,7,12,2
1,215,15,0,3,4,3,2,8,2,3,2,3,3,3,4,4,2,3,1,4,5,4,2,3,2,3,3,2,2,4,2,3,3,4,2,4,90,1,4,3,4,3,4,3,4,3,3,1,3,2,4,2,4,3,4,2,4,2,3,3,4,3,4,3,4,3,4,4,4,3,4,2,2,215,15,0,4,2,4,1,3,2,4,3,4,2,4,3,4,2,4,1,4,2,4,2,4,1,4,2,4,2,4,1,4,1,4,2,4,3,4,2,3,2,4,5,4,4,5,1,5,2,5,1,4,1,4,1,4,13,2,5,11,1
1,215,16,0,3,4,5,4,8,1,4,1,4,2,4,1,4,4,4,1,4,1,4,2,4,2,4,1,4,4,4,4,4,4,4,2,4,90,4,4,3,4,3,4,3,4,5,4,3,4,1,4,2,4,2,0,3,4,4,4,3,4,2,4,3,4,3,4,3,4,4,4,1,2,215,16,0,4,2,3,2,4,1,4,2,4,2,4,3,4,1,4,2,3,2,3,1,4,1,4,3,4,1,4,1,4,1,4,1,4,5,4,5,4,3,4,4,4,4,5,2,5,1,5,4,4,4,4,5,3,9,1,4,12,1
1,215,17,0,3,3,2,1,8,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,1,4,3,4,2,4,1,4,2,4,90,4,4,3,4,3,4,2,4,5,4,2,4,1,4,2,4,2,4,3,4,3,4,3,4,2,4,2,4,3,4,2,4,5,4,1,2,215,17,0,2,1,3,1,4,2,4,1,4,1,4,1,4,1,4,2,4,1,4,1,4,1,4,1,4,2,4,1,3,2,4,1,4,4,4,5,4,3,4,1,4,4,5,2,5,1,5,4,4,5,2,1,4,3,10,2,12,1
1,215,18,0,3,2,7,2,8,3,3,3,3,2,4,3,3,3,3,3,3,3,4,2,3,2,3,2,4,5,4,5,4,3,4,2,4,90,2,2,3,4,5,3,3,4,3,4,1,3,1,4,2,4,1,4,2,4,4,4,3,4,2,4,2,4,3,4,3,4,3,4,3,2,215,18,0,2,2,3,1,4,3,4,1,4,1,4,3,4,1,4,2,3,1,4,1,4,3,4,1,4,1,4,1,4,1,4,1,4,4,3,5,4,3,4,3,4,4,5,2,5,1,5,4,4,3,4,3,4,9,2,8,7,6
1,215,19,0,3,2,5,1,8,3,3,3,3,1,3,3,2,3,3,1,3,3,1,1,4,2,3,3,4,3,2,5,2,4,3,2,2,90,3,4,2,3,2,2,3,4,3,2,2,3,1,4,2,3,2,4,2,3,2,2,3,2,1,4,2,3,3,4,3,3,3,4,1,2,215,19,0,4,2,4,1,4,1,4,3,4,2,4,3,4,2,4,2,4,2,4,1,4,2,4,2,4,2,4,2,4,1,4,2,4,4,4,4,4,3,4,4,4,4,5,2,5,1,5,4,4,3,3,2,4,12,3,6,6,2
1,215,20,0,3,3,5,2,8,2,3,2,2,2,3,2,3,2,2,1,4,2,3,1,3,2,4,1,4,2,3,2,4,2,3,1,4,90,2,3,2,3,2,3,1,3,1,3,1,4,2,4,2,4,2,3,1,4,2,3,2,4,2,4,2,3,2,3,2,4,1,3,3,2,215,20,0,3,1,4,1,4,2,3,2,3,2,3,2,3,1,4,2,3,2,4,2,3,2,4,3,4,2,4,1,4,2,3,2,3,2,3,2,3,2,3,2,3,3,5,1,5,3,4,1,3,2,4,2,3,11,2,4,4,2
1,215,21,0,2,3,6,1,8,1,4,1,4,1,3,1,3,1,4,1,4,1,4,1,3,2,4,1,4,2,3,2,3,3,3,2,3,90,2,3,2,3,2,3,3,3,3,3,1,3,1,3,2,3,3,4,2,3,2,3,2,2,1,3,1,3,2,3,2,3,2,3,1,2,215,21,0,4,1,4,2,4,2,4,3,4,2,4,1,4,3,4,2,4,1,4,1,4,2,4,2,3,2,3,2,4,2,3,3,3,3,3,3,3,2,3,5,3,3,4,1,5,4,5,1,4,1,4,1,4,11,4,4,4,6
1,215,22,0,3,3,6,1,8,1,4,1,4,2,3,4,4,4,4,1,4,1,4,2,3,2,1,1,3,4,3,4,4,4,4,2,4,90,1,4,2,4,3,2,1,3,5,4,2,4,2,3,2,4,2,3,2,3,3,3,2,3,1,3,2,3,4,4,2,3,2,4,2,2,215,22,0,3,2,3,3,4,2,3,4,4,2,3,3,4,3,4,3,4,3,4,3,4,3,4,2,4,3,4,3,4,1,3,2,3,4,2,4,3,3,3,2,3,3,5,2,5,3,4,2,3,2,3,1,3,26,11,11,4,6
1,215,23,0,3,3,6,1,8,2,2,2,3,2,4,2,4,2,3,1,4,3,3,2,3,1,4,2,3,2,3,3,4,3,4,2,4,90,3,4,3,4,4,4,3,4,3,4,2,4,2,3,2,3,2,4,1,4,2,3,2,2,2,3,3,4,4,4,2,2,3,3,2,2,215,23,0,4,3,4,2,3,3,4,4,4,2,3,3,4,3,4,3,4,2,3,2,4,3,4,3,4,3,4,2,4,2,4,1,2,4,3,4,3,3,4,5,3,4,5,1,5,1,5,1,4,2,3,2,3,25,7,0,5,6
1,215,24,0,3,4,2,1,8,1,1,1,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,1,4,1,4,2,3,1,1,1,4,90,2,3,4,3,1,3,2,3,4,1,2,1,2,1,2,2,3,1,2,1,3,2,2,2,1,3,1,3,4,2,3,3,3,3,1,2,215,24,0,3,2,4,3,4,1,3,3,3,2,3,2,3,3,4,3,4,2,4,1,3,1,3,1,3,1,3,1,3,1,3,2,3,3,3,2,3,2,3,3,3,3,4,1,5,1,5,1,4,4,4,3,4,11,3,5,5,2
1,215,25,0,1,4,5,1,8,1,4,1,4,1,4,2,3,3,4,1,4,1,4,2,3,2,4,2,3,3,3,2,3,4,4,2,4,90,4,4,3,4,2,2,2,4,3,4,2,4,1,4,2,3,3,4,2,4,3,3,2,3,2,4,3,4,3,4,2,3,3,4,2,2,215,25,0,3,3,4,2,4,1,4,3,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,1,4,2,3,2,3,4,4,3,3,2,4,4,5,1,4,2,4,2,2,2,2,1,3,16,5,6,5,3
1,215,26,0,3,2,6,1,8,2,2,2,0,1,3,2,4,1,3,1,3,1,3,1,3,2,3,2,3,1,3,1,3,2,3,1,3,90,2,3,2,3,2,3,2,3,2,3,1,3,2,3,2,3,1,2,1,3,2,3,2,4,1,4,1,3,2,3,2,3,2,3,1,2,215,26,0,3,3,3,3,3,3,4,3,3,3,2,2,3,3,4,2,2,2,3,3,3,3,3,3,4,2,2,3,2,5,2,2,2,4,3,3,2,4,3,2,3,4,5,1,3,3,4,2,2,2,2,2,1,23,9,9,1,3
1,215,27,0,3,4,4,4,8,2,3,2,3,3,1,2,3,2,3,1,4,2,3,2,4,2,4,1,4,3,2,2,3,5,3,2,3,90,2,3,2,3,2,3,2,3,3,4,1,4,2,3,1,3,1,3,1,3,2,2,2,3,1,3,1,3,2,3,1,4,2,3,2,2,215,27,0,3,3,4,2,3,3,4,2,3,3,4,3,4,2,3,3,4,2,3,2,3,2,3,3,4,3,4,2,3,2,3,2,2,3,2,3,3,2,3,2,3,3,4,1,5,3,4,2,3,1,3,2,3,22,4,9,2,6
1,215,28,0,3,4,6,2,8,1,4,1,4,1,4,2,4,1,4,1,4,2,4,1,4,2,4,1,4,2,4,1,4,2,4,1,4,90,2,4,1,4,2,4,1,4,2,4,3,4,1,4,1,4,1,4,2,4,2,4,1,4,2,4,2,4,1,4,1,4,1,4,2,2,215,28,0,4,2,4,2,4,3,4,3,4,2,4,3,4,3,4,3,4,2,4,3,4,3,4,3,4,3,4,2,4,3,4,3,3,3,4,3,3,3,4,1,4,4,5,2,5,2,5,0,4,4,4,2,4,24,7,11,12,3
1,215,29,0,3,3,8,4,8,1,4,1,4,2,4,1,4,1,1,1,4,2,4,3,0,0,0,2,4,3,2,5,3,4,4,1,4,90,1,4,4,4,4,4,3,4,3,4,1,4,2,4,2,4,1,4,1,3,2,4,1,4,2,4,2,4,3,4,2,4,1,4,2,2,215,29,0,4,3,4,1,4,3,4,2,4,3,4,3,4,2,4,2,3,3,4,3,4,3,4,3,4,2,4,2,4,1,4,2,4,2,4,3,4,2,4,5,4,4,5,1,5,2,5,1,4,1,4,5,1,22,5,9,11,5
1,215,30,0,2,3,5,2,8,2,3,1,4,1,3,1,4,2,3,1,4,2,3,3,3,1,4,2,4,2,4,2,3,4,2,2,3,90,1,4,3,4,2,4,1,4,3,3,1,4,2,4,2,3,2,4,1,4,1,4,1,4,1,4,1,1,1,4,1,4,1,4,1,2,215,30,0,4,1,4,1,4,1,4,2,4,2,4,3,4,2,4,2,4,3,4,2,4,2,4,1,4,1,4,1,4,5,4,1,4,4,4,3,4,4,4,4,4,4,5,1,5,4,5,1,2,2,2,1,4,9,2,4,11,2
1,215,31,0,3,3,5,2,8,2,4,2,4,1,4,1,4,2,3,1,4,1,4,2,3,2,3,1,4,2,4,1,4,1,3,1,4,90,1,4,2,3,2,3,2,4,2,4,1,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,1,4,1,4,2,2,215,31,0,4,3,4,3,4,3,4,4,4,3,4,3,4,2,4,3,4,3,4,2,4,3,4,3,4,3,4,3,4,1,4,2,3,2,4,3,4,3,4,4,4,4,5,1,5,3,5,1,4,1,4,1,4,28,9,0,11,3
1,215,32,0,3,3,5,1,8,1,4,1,4,1,3,2,4,2,4,1,4,2,3,2,4,2,4,1,4,3,4,5,3,4,4,1,4,90,1,4,2,4,3,4,1,4,2,4,2,4,1,4,2,4,2,3,2,4,2,3,1,4,2,4,2,4,2,4,2,4,2,4,1,2,215,32,0,4,2,4,3,4,3,4,3,4,3,4,2,4,2,4,3,4,3,4,3,4,3,4,3,4,2,4,3,4,2,3,2,3,4,4,3,4,3,4,2,4,4,5,1,5,2,4,1,4,1,4,2,4,23,9,9,11,5
1,215,33,0,3,4,6,2,8,4,4,3,4,2,4,2,4,3,4,3,4,4,4,1,4,1,4,2,4,2,3,5,3,4,4,2,3,90,1,4,3,4,4,4,3,3,2,4,1,4,1,4,1,4,2,4,2,4,3,4,1,4,2,4,3,4,2,4,2,4,3,4,2,2,215,33,0,3,3,4,3,4,1,4,3,4,3,4,3,4,2,4,3,4,3,4,2,4,3,4,3,4,3,4,2,4,2,4,1,3,4,4,3,1,1,2,3,3,4,5,1,5,3,5,1,4,1,4,1,4,24,7,9,11,3
1,215,34,0,3,4,4,1,8,1,4,1,4,2,2,2,2,1,2,1,3,3,4,2,2,2,2,1,4,4,3,2,3,2,3,2,4,90,1,4,1,4,1,4,3,4,3,4,2,4,1,4,1,4,3,4,1,4,2,3,1,4,1,4,3,4,4,4,4,4,1,4,3,2,215,34,0,2,1,2,2,2,1,1,1,4,1,4,1,4,1,4,1,4,1,4,2,3,1,4,1,4,1,4,1,4,3,4,4,4,2,3,2,3,2,3,2,3,1,5,2,4,1,4,2,4,1,2,2,3,3,2,10,7,2
1,215,35,0,3,3,5,2,8,2,3,2,3,1,3,1,3,2,3,1,4,1,4,1,4,2,4,2,4,2,3,2,4,2,4,1,4,90,2,4,1,4,2,3,1,3,2,4,1,4,2,4,2,3,1,4,1,4,2,4,1,4,2,3,2,3,2,3,2,3,2,3,1,2,215,35,0,4,1,4,1,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,2,4,3,4,3,4,1,4,2,4,2,4,4,4,3,4,5,4,4,5,1,5,2,5,1,4,1,4,1,4,22,7,9,6,1
1,215,36,0,3,3,3,2,8,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,90,1,4,3,2,2,2,3,2,4,3,2,3,1,3,1,4,2,3,2,3,3,3,1,3,2,3,2,3,4,4,3,3,2,3,2,2,215,36,0,3,3,3,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,1,4,1,4,2,4,5,4,4,3,3,4,3,4,4,5,2,5,2,5,1,4,4,4,3,4,14,2,6,7,2
1,215,37,0,3,4,6,4,8,2,4,2,4,2,4,2,4,3,3,1,4,1,4,1,4,2,3,3,3,4,4,2,3,3,3,2,3,90,1,4,3,0,4,3,3,3,2,3,3,4,2,2,2,3,2,3,1,3,2,3,1,4,3,3,2,3,3,3,3,4,3,3,2,2,215,37,0,4,3,4,2,3,2,4,4,4,2,4,3,4,2,4,3,4,2,4,3,4,3,4,3,4,3,4,3,4,2,2,1,2,2,2,2,3,3,2,3,3,4,5,1,5,3,4,1,4,2,2,1,4,25,9,12,6,3
1,215,38,0,3,3,7,1,8,2,3,2,4,2,4,1,4,2,4,1,4,1,4,2,2,2,2,2,3,4,2,2,2,4,1,2,2,90,2,3,2,3,2,3,1,2,3,3,3,4,1,4,1,3,2,3,1,3,2,3,1,4,1,3,1,3,3,3,2,3,3,3,1,2,215,38,0,4,3,4,2,3,3,4,3,3,2,3,3,4,2,3,3,4,2,3,2,3,3,3,2,3,2,4,2,3,5,2,3,3,3,3,3,3,4,3,5,2,4,5,2,5,1,5,4,4,4,4,4,4,19,6,12,6,6
1,215,39,0,3,2,6,4,8,1,4,1,4,1,3,2,3,2,4,1,4,1,4,2,3,2,3,1,4,2,3,5,1,3,3,3,4,90,1,3,2,3,3,3,1,3,3,3,2,3,1,3,1,3,1,3,2,3,2,3,1,3,1,3,2,3,2,3,2,3,2,3,2,2,215,39,0,4,3,3,3,4,3,4,3,3,3,3,3,4,3,4,3,4,2,3,3,4,3,4,3,4,3,3,3,4,5,2,4,3,4,3,4,2,3,3,2,3,4,4,1,4,3,4,2,3,1,3,3,3,28,9,12,2,6
1,215,40,0,3,3,6,2,8,1,3,2,3,1,3,1,3,1,3,1,3,1,3,1,3,2,3,1,3,2,3,2,3,2,3,1,3,90,2,3,2,3,2,3,1,3,3,3,2,3,2,3,1,3,1,3,2,3,2,3,1,3,2,3,2,3,2,3,2,3,2,3,1,2,215,40,0,3,3,3,1,3,2,3,1,4,3,3,3,3,2,3,3,3,3,3,1,3,2,3,2,3,3,3,2,3,1,3,1,3,3,2,1,3,3,2,5,2,4,4,3,2,2,2,1,3,5,2,2,3,17,2,8,10,1
1,215,41,0,4,3,6,1,8,1,4,1,4,2,3,2,4,3,3,1,3,2,3,1,3,2,3,2,3,2,3,5,3,3,4,2,3,90,2,4,2,2,4,3,1,3,2,3,2,4,1,4,2,4,2,4,2,4,3,4,2,4,3,4,2,3,3,4,3,4,4,4,1,2,215,41,0,4,2,3,2,2,2,3,3,4,2,3,3,4,3,3,2,3,2,3,2,3,3,4,3,4,2,4,2,3,5,3,2,4,4,4,3,3,4,3,2,3,4,5,1,4,2,4,1,2,2,3,5,2,18,6,8,6,2
1,215,42,0,3,1,1,3,8,5,1,3,1,3,2,3,1,5,2,5,1,4,1,3,2,3,1,4,2,3,2,5,1,5,2,3,1,85,4,3,3,2,3,2,4,1,3,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,3,2,3,1,3,2,215,42,0,1,2,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,5,2,3,2,3,2,2,2,1,2,5,2,3,2,2,1,1,2,5,2,5,2,14,3,5,10,2
1,215,43,0,2,5,3,1,8,2,3,2,3,1,2,2,4,5,2,1,3,2,3,3,2,2,3,2,3,2,1,5,1,5,3,2,2,85,4,4,4,3,3,3,3,4,5,4,2,3,1,3,3,3,3,4,2,2,3,2,3,3,2,3,2,3,2,3,3,1,4,3,2,2,215,43,0,3,2,4,2,4,3,4,3,4,2,4,3,4,2,4,2,4,2,4,3,4,2,4,3,4,2,4,2,4,3,1,5,4,3,1,2,1,2,1,5,1,4,5,3,1,4,1,5,2,5,2,2,2,20,6,8,1,2
1,215,44,0,3,3,7,4,8,3,4,4,4,2,4,1,4,1,4,1,4,3,4,2,4,2,3,4,4,4,4,2,3,4,4,1,4,85,1,4,1,4,1,3,1,4,2,4,1,4,1,4,1,4,1,4,1,4,2,3,3,4,2,4,2,4,3,4,1,4,2,4,1,2,215,44,0,4,3,4,2,3,3,4,3,4,3,4,3,4,2,4,3,4,2,4,2,4,3,4,2,4,2,4,3,4,1,4,1,4,3,3,5,4,3,4,1,4,4,5,1,5,4,5,1,4,1,4,1,4,21,7,12,9,2
1,215,45,0,3,3,5,1,8,1,4,1,4,0,0,0,0,0,0,1,4,2,4,1,4,2,4,1,4,2,4,3,4,4,4,3,4,85,1,4,2,4,2,4,1,4,5,4,2,4,2,4,3,4,1,4,2,4,1,4,2,4,2,4,2,4,2,4,2,4,2,4,1,2,215,45,0,4,3,4,1,4,3,4,3,4,2,4,3,4,3,4,2,4,2,4,2,4,3,4,2,4,2,4,2,4,1,4,3,4,4,4,3,4,3,4,5,4,4,5,1,5,4,5,1,4,1,4,1,4,18,5,11,12,1
