COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71
1,135,939,1,9,3,3,8,3,1,1,27,4,2,4,2,2,6,1,3,8,1,6,1,3,11,1,3,1,2,3,2,1,1,2,3,7,1,1,10,3,3,1,1,1,4,2,1,2,4,0,0,2,3,,213,5093,9,1,3,3,1,3,1,1,3,1,3,60,0,601
1,135,940,1,8,4,3,8,4,2,1,28,2,3,4,1,2,6,1,3,8,2,11,1,1,11,11,3,1,2,3,1,1,1,3,3,7,1,1,10,3,3,1,5,1,4,1,2,2,8,3,4,1,3,,213,5094,0,1,3,1,1,3,4,3,3,3,2,20,0,602
1,135,941,1,9,7,2,8,5,2,2,22,4,5,4,1,2,2,1,1,4,2,11,1,8,11,1,4,2,2,3,1,1,2,2,3,3,10,10,10,3,3,1,5,3,4,2,1,5,7,3,2,1,3,,213,5094,1,1,1,1,1,1,2,2,3,1,2,51,11,7
1,135,942,1,5,8,2,8,9,5,2,22,1,4,2,1,5,6,1,2,1,2,8,11,7,11,3,6,2,2,2,2,1,1,3,4,3,1,10,10,3,3,1,5,1,4,1,1,3,7,3,4,1,3,,213,5094,2,1,3,3,3,3,3,4,3,3,2,10,21,7
1,135,943,1,10,4,3,8,6,2,2,22,11,1,3,3,1,4,2,2,8,3,6,11,1,11,11,11,1,2,2,2,1,2,2,2,1,1,7,11,2,3,3,5,2,4,2,1,5,8,3,2,1,1,,213,5094,3,1,3,1,1,3,3,1,2,3,2,30,20,608
1,135,944,1,10,4,3,8,2,1,1,23,10,1,1,1,1,4,1,2,8,4,2,11,11,11,11,4,1,2,2,1,1,1,2,3,7,1,2,10,3,3,1,5,1,4,5,1,3,9,3,4,3,3,,213,5094,4,1,3,1,1,2,5,4,3,1,2,11,0,609
1,135,945,1,8,8,8,8,4,2,2,15,11,5,1,2,5,5,1,3,8,2,11,8,8,2,2,7,3,2,2,1,1,2,2,3,1,10,1,10,3,2,2,5,1,3,2,1,2,4,2,1,1,4,,213,5094,5,1,1,1,1,1,2,1,3,1,2,10,20,701
1,135,946,1,1,9,8,5,7,1,1,10,1,5,1,1,3,1,1,2,8,2,6,4,6,3,3,4,3,2,3,1,1,2,2,3,1,10,1,10,2,3,1,5,3,1,3,1,5,5,2,1,1,3,,213,5094,6,1,3,1,1,3,4,2,3,3,2,50,10,406
1,135,947,1,1,8,8,5,5,3,2,14,11,7,3,2,2,2,1,1,8,2,6,4,7,1,1,3,3,2,2,1,2,2,2,3,2,10,1,10,3,3,1,5,1,1,3,1,1,6,1,3,1,1,,213,5094,7,1,3,1,1,3,5,3,3,1,2,50,50,201
1,135,948,1,1,9,10,4,6,1,1,5,11,3,1,2,2,6,1,2,8,2,3,1,4,11,1,3,2,2,4,2,1,2,2,2,2,10,2,10,2,4,1,5,3,2,2,1,1,6,3,1,1,3,,213,5094,8,1,3,1,1,3,2,1,3,1,2,50,40,104
1,135,949,1,1,8,7,4,3,2,1,13,2,5,1,2,2,2,1,2,8,3,11,2,4,11,11,4,2,2,2,1,3,2,2,3,3,11,2,11,1,4,1,5,2,2,2,1,5,8,3,2,1,3,,213,5094,9,1,3,1,1,3,5,2,3,3,2,51,0,501
1,135,950,1,1,8,7,4,7,1,2,15,3,5,2,2,1,3,1,2,8,3,11,1,1,11,11,7,0,1,2,1,3,1,3,2,1,10,10,10,2,3,2,5,3,3,2,1,5,7,3,1,3,1,,213,5095,0,1,3,1,1,3,2,1,3,3,2,50,90,206
1,135,951,1,1,4,4,4,9,2,2,19,9,3,4,2,2,6,1,2,8,2,6,1,4,11,3,2,1,1,2,3,2,2,2,3,6,10,2,10,3,3,2,5,2,2,4,1,3,6,2,0,0,5,,213,5095,1,1,5,0,0,5,5,2,3,3,2,30,60,206
