CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,V.18.,Q.0.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24B..1,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.27B..1,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51B.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59A.,Q.59B.,Q.60A.,Q.60B.,Q.60C.,Q.60D.,Q.60E.,Q.60F.,Q.60G.,Q.60H.,V.61.,V.62.,V.63.,V.64.,V.65.,V.66.,V.67.,V.68.,V.69.,V.70.,V.71.
1,157,11,2,3,5,3,2,4,1,6,5,4,1,1,2,1,1,1,2,2,99,1,0,8,10,2,4,12,3,6,15,3,3,9,14,12,9,2,1,0,3,3,1,3,3,3,4,3,2,2,3,3,3,3,2,1,1,4,3,9,2,157,11,2,3,2,2,4,2,2,3,1,1,2,4,3,2,3,1,1,1,3,5,4,2,14,4,1,4,7,36,115
1,157,12,2,3,7,7,1,5,3,7,5,5,1,3,2,1,1,1,1,1,99,1,0,8,10,4,1,9,3,5,15,2,3,9,14,12,9,2,1,0,2,3,1,5,4,4,4,1,2,2,2,3,3,3,1,1,1,2,3,7,2,157,12,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,4,4,1,5,2,1,4,6,43,2
1,157,13,2,3,6,3,2,1,1,7,5,4,1,1,2,1,1,1,1,2,99,1,0,8,10,2,4,2,2,13,15,2,3,9,14,12,9,2,1,0,1,2,1,3,3,2,2,1,0,1,6,2,3,4,2,1,1,5,3,9,2,157,13,2,2,2,2,2,1,2,2,1,1,3,3,1,1,1,2,2,2,1,2,4,1,6,2,1,4,6,43,45
1,157,14,2,4,4,7,1,5,3,7,5,4,1,3,2,1,1,1,1,1,99,1,0,8,10,3,4,6,4,16,2,2,1,9,14,12,9,2,1,0,3,3,1,3,4,3,3,1,2,1,1,5,3,2,2,3,1,4,3,8,2,157,14,2,2,3,2,4,2,2,4,1,3,1,3,2,1,1,2,1,2,3,5,2,5,6,2,1,1,5,34,36
1,157,15,2,3,7,6,1,5,3,7,5,4,1,3,2,1,1,1,2,5,99,1,0,8,10,2,4,6,4,16,12,3,3,9,14,12,9,2,4,0,2,2,2,3,3,3,4,2,3,2,0,5,2,3,4,0,1,3,2,9,2,157,15,2,3,3,2,4,1,1,2,1,1,3,4,2,3,2,1,1,1,1,2,2,1,14,4,1,1,11,66,51
1,157,16,2,3,8,7,1,5,3,7,5,5,1,2,2,1,1,1,2,2,99,1,0,4,5,2,4,2,4,16,4,3,3,9,14,12,9,2,1,0,1,2,3,3,4,2,3,2,1,2,4,4,2,3,1,1,1,3,2,6,2,157,16,2,2,1,1,4,2,2,3,1,2,3,3,1,2,2,2,1,1,3,2,1,4,10,3,1,1,11,66,37
1,157,17,2,3,9,7,2,4,1,7,5,4,1,2,2,1,1,1,2,1,99,1,0,4,6,1,4,8,4,16,3,3,3,9,14,12,9,2,1,0,1,1,2,3,1,2,2,1,4,1,1,5,1,3,1,1,1,2,2,8,2,157,17,2,3,1,2,4,1,1,3,3,2,1,3,3,2,2,2,1,1,1,1,2,4,10,3,1,4,6,43,63
1,157,18,2,3,8,6,2,4,1,7,5,4,1,2,2,1,1,1,2,1,99,1,0,4,9,2,4,2,4,16,5,3,3,9,14,12,9,2,1,0,2,3,1,3,3,3,3,2,3,3,3,3,3,3,2,1,1,4,4,9,2,157,18,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,1,1,3,4,2,4,9,3,1,4,7,36,116
1,157,19,2,4,7,6,2,4,1,6,5,5,1,2,2,1,1,1,2,2,99,1,0,4,9,2,4,6,4,16,5,1,2,9,14,12,9,2,1,0,2,3,1,2,5,3,4,2,2,2,6,4,3,3,2,3,1,4,2,10,2,157,19,2,2,2,2,4,2,1,2,1,1,3,4,1,2,2,2,1,1,2,4,2,1,11,3,1,4,7,36,27
1,157,20,2,4,8,9,2,4,1,7,5,5,1,2,2,1,1,1,2,1,99,1,0,4,7,1,4,2,4,16,5,3,3,9,14,12,9,2,1,0,1,2,1,3,3,2,3,1,4,1,1,4,2,3,1,1,1,2,2,7,2,157,20,2,3,1,2,4,2,1,1,1,1,3,3,3,3,2,2,1,1,2,2,2,1,13,4,1,4,6,43,7
1,157,21,2,3,9,4,2,4,1,6,5,4,1,2,2,1,1,1,2,1,99,1,0,4,4,5,5,7,3,5,15,2,3,9,14,12,9,2,6,10,1,1,1,3,2,2,2,1,1,1,6,6,2,3,3,3,1,2,2,7,2,157,21,2,1,2,3,4,1,1,2,1,1,1,3,3,2,2,3,1,2,1,2,4,1,8,2,1,4,8,82,1
1,157,22,2,3,9,9,2,4,1,8,5,4,1,2,2,1,1,1,1,1,99,1,0,4,7,1,4,6,2,8,15,3,3,9,14,12,9,2,1,0,1,1,2,3,3,2,2,1,4,1,6,3,2,3,1,2,1,2,2,4,2,157,22,2,1,2,2,4,1,1,3,1,2,2,3,3,3,2,1,2,1,1,1,4,4,12,3,1,4,6,43,56
1,157,23,2,3,8,7,1,5,3,7,5,4,1,2,2,1,1,1,1,1,99,1,0,4,9,2,4,2,2,13,15,3,3,9,14,12,9,2,1,0,1,1,3,3,2,2,2,1,2,3,6,6,2,3,3,3,1,2,2,9,2,157,23,2,2,2,2,4,2,1,2,1,1,2,3,2,3,2,2,2,1,2,2,4,1,10,3,1,1,11,66,104
1,157,24,2,3,9,9,1,5,3,7,5,4,1,2,2,1,1,1,2,5,99,1,0,4,7,4,4,6,3,7,15,3,3,9,14,12,9,2,1,0,1,2,1,2,3,4,4,2,4,4,6,6,3,3,2,1,1,4,2,9,2,157,24,2,2,1,2,3,1,2,2,3,1,2,3,2,2,2,2,2,1,1,2,4,1,9,3,1,4,7,36,39
1,157,25,2,3,7,7,2,4,1,6,3,5,1,3,2,1,1,1,2,1,99,1,0,4,10,1,4,2,2,5,15,3,3,9,14,12,9,2,1,0,1,1,1,3,5,2,6,1,1,1,6,6,2,2,4,1,1,2,1,2,2,157,25,2,1,2,3,4,1,2,2,1,1,3,3,3,3,2,2,1,1,1,2,4,1,13,4,1,1,5,34,4
1,157,26,2,4,8,6,2,4,1,6,5,5,1,2,2,1,1,1,2,2,99,1,0,4,4,2,1,9,2,5,15,3,3,9,14,12,9,2,1,0,1,2,1,3,2,4,4,1,5,1,2,4,1,4,3,3,1,3,2,7,2,157,26,2,3,2,2,4,1,1,2,1,1,1,4,2,3,3,1,1,1,1,2,4,1,13,4,1,4,8,41,15
1,157,27,2,3,8,9,2,1,1,7,5,4,1,2,2,1,1,1,2,1,99,1,0,4,5,2,4,2,1,1,15,2,2,9,14,12,9,2,1,0,1,1,1,3,5,2,2,1,1,1,6,4,2,3,4,1,4,2,2,5,2,157,27,2,1,4,2,3,2,1,1,1,1,3,3,3,3,2,1,1,1,2,2,3,1,14,4,1,4,6,43,61
1,157,28,2,3,9,8,2,4,1,7,5,5,1,3,2,1,1,1,1,5,99,1,0,4,10,3,4,6,3,7,15,1,1,9,14,12,9,2,1,0,2,2,1,3,4,4,4,2,1,3,2,4,2,2,2,1,1,4,4,9,2,157,28,2,2,1,2,3,3,2,3,1,2,1,2,1,1,1,1,1,2,3,3,3,4,5,2,1,4,7,36,38
1,157,29,2,3,9,5,1,5,3,7,5,4,1,2,2,1,1,1,2,1,99,1,0,4,5,3,4,5,3,1,15,1,1,9,14,12,9,2,1,0,2,1,1,4,4,2,3,1,3,1,1,4,1,3,1,4,1,2,1,8,2,157,29,2,2,2,2,2,1,2,3,1,1,3,2,2,2,2,2,1,1,1,3,3,2,10,3,1,4,6,43,89
1,157,30,2,3,8,8,2,4,1,7,5,4,1,2,2,1,1,1,2,1,99,1,0,4,4,3,4,5,4,16,2,3,1,9,14,12,9,2,1,0,1,2,1,3,4,2,3,1,2,1,4,4,2,3,4,1,1,4,3,4,2,157,30,2,2,2,2,4,1,1,3,1,1,3,2,1,3,1,3,1,2,1,2,2,2,7,2,1,4,8,41,13
1,157,31,2,3,8,7,2,4,1,7,5,5,1,2,2,1,1,1,2,2,99,1,0,4,5,2,4,2,4,16,10,2,3,9,14,12,9,2,1,0,1,2,1,3,3,2,2,1,1,1,1,4,3,2,3,1,1,3,3,5,2,157,31,2,1,2,2,4,1,1,3,1,2,2,3,2,2,1,2,2,2,1,2,2,4,7,2,1,4,7,36,9
1,157,32,2,3,9,9,2,4,1,5,5,5,1,2,2,1,1,1,2,1,99,1,0,4,5,2,4,2,4,16,12,3,3,9,14,12,9,2,1,0,1,1,3,3,3,2,2,2,1,1,1,4,2,3,4,1,1,4,2,8,2,157,32,2,2,1,2,2,1,2,3,1,2,2,2,2,2,1,3,2,2,1,2,2,4,5,2,1,1,5,34,127
1,157,33,2,2,5,4,1,5,3,6,5,5,1,2,2,1,1,1,2,1,99,1,0,4,8,3,4,6,4,16,1,6,3,9,14,12,9,2,1,0,1,1,1,3,4,3,3,2,4,2,3,4,3,3,2,1,1,4,4,8,2,157,33,2,3,2,2,3,2,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2,4,6,2,1,4,8,37,12
1,157,34,2,3,9,9,2,1,2,6,5,4,1,2,2,1,1,1,2,5,99,1,0,4,4,1,1,2,4,16,1,3,3,9,14,12,9,2,1,0,1,1,2,3,4,2,3,1,3,1,2,2,1,3,2,1,1,4,2,8,2,157,34,2,1,3,2,3,2,1,2,1,3,1,1,1,2,2,2,1,2,2,1,2,1,6,2,1,4,6,43,60
1,157,35,2,3,9,9,2,4,2,7,5,5,1,2,2,1,1,1,2,4,99,1,0,4,5,1,4,2,4,16,4,2,3,9,14,12,9,2,1,0,1,1,2,3,4,2,2,1,3,2,6,3,1,2,2,1,1,4,3,9,2,157,35,2,2,1,2,4,2,2,3,1,2,1,2,1,1,1,2,2,2,3,1,2,4,3,1,1,4,7,36,7
1,157,36,2,3,8,9,1,5,3,7,5,5,1,2,2,1,1,1,2,1,99,1,0,4,10,2,1,12,4,16,6,3,3,9,14,12,9,2,1,0,1,1,2,3,5,2,3,1,1,1,6,4,2,3,1,3,1,4,3,9,2,157,36,2,1,2,2,3,1,1,3,1,2,1,3,1,1,1,2,2,2,1,1,2,4,4,1,1,4,6,43,65
1,157,37,2,3,8,8,2,4,1,6,5,5,1,2,2,1,1,1,2,1,99,1,0,4,4,2,4,12,4,16,7,3,3,9,14,12,9,2,1,0,1,1,2,3,1,2,2,1,1,1,1,6,2,3,1,1,1,2,1,4,2,157,37,2,1,4,2,4,1,1,3,1,2,1,2,2,2,1,3,2,2,1,1,2,4,4,1,1,4,6,43,129
1,157,38,2,3,7,9,2,4,1,6,5,5,1,2,2,1,1,1,1,1,99,1,0,4,9,2,4,12,4,16,7,3,3,9,14,12,9,2,1,0,2,2,1,3,3,3,4,2,3,3,3,3,3,3,2,1,1,4,4,9,2,157,38,2,2,2,2,4,2,2,3,1,2,2,2,2,2,2,2,2,1,3,3,2,4,8,2,1,4,7,36,117
1,157,39,2,4,9,6,2,4,1,7,5,4,1,2,3,1,1,1,2,1,99,1,0,2,3,1,1,6,4,16,5,4,3,9,14,12,9,2,1,0,1,1,2,3,1,2,4,2,4,2,4,5,1,3,1,1,1,2,2,4,2,157,39,2,3,2,2,4,2,1,2,2,3,2,3,2,3,3,1,2,1,2,1,2,5,12,3,1,4,7,36,71
1,157,40,2,3,9,6,2,1,1,6,5,4,1,3,3,1,1,1,2,1,99,1,0,2,2,4,4,6,4,16,5,3,3,9,14,12,9,1,3,0,3,4,1,5,4,3,3,1,6,3,6,6,4,3,2,2,4,4,2,10,2,157,40,2,2,1,2,2,3,3,2,1,1,3,4,3,2,2,3,2,2,4,5,2,1,10,3,1,1,11,66,19
1,157,41,2,5,9,9,2,4,1,7,5,5,1,3,2,1,1,1,2,5,99,1,0,2,3,2,1,2,4,16,1,3,3,9,14,12,9,2,1,0,2,2,3,3,2,3,2,2,5,2,4,6,2,3,2,3,1,2,2,7,2,157,41,2,2,2,3,4,2,2,2,1,1,2,3,3,3,2,2,2,1,3,3,2,1,11,3,1,1,11,66,88
1,157,42,2,4,9,7,1,5,3,7,5,4,1,2,2,1,1,1,2,1,99,1,0,2,3,1,1,2,3,11,15,1,3,9,14,12,9,2,1,0,2,2,1,2,2,2,1,1,5,1,1,4,1,2,1,3,1,2,1,8,2,157,42,2,3,2,2,4,1,1,2,1,1,2,3,3,2,2,2,1,1,1,3,4,1,11,3,1,4,6,43,80
1,157,43,2,4,9,8,2,4,1,7,6,4,1,3,2,1,1,1,2,5,99,1,0,2,3,1,6,14,2,3,15,1,3,9,14,12,9,2,3,0,1,1,1,1,2,3,3,1,5,1,1,4,1,1,1,1,1,3,2,3,2,157,43,2,1,4,3,4,1,1,3,1,1,1,2,3,2,2,2,1,1,1,2,4,2,9,3,1,1,5,34,62
1,157,44,2,3,9,6,2,4,1,6,5,6,1,2,2,1,1,1,2,5,99,1,0,2,2,2,4,2,2,13,15,2,3,9,14,12,9,2,1,0,2,2,2,3,3,2,3,2,6,2,2,3,2,3,1,3,1,2,2,4,2,157,44,2,2,2,2,3,1,2,3,1,1,3,4,3,3,3,1,2,1,1,2,4,2,15,4,1,2,8,39,17
1,157,45,2,4,7,7,2,4,1,7,5,4,1,2,2,1,1,1,2,5,99,1,0,2,2,2,4,4,4,16,5,4,3,9,14,12,9,2,5,0,2,2,3,3,1,4,4,3,6,2,5,4,2,4,2,2,1,4,3,5,2,157,45,2,3,2,1,3,2,1,3,1,2,1,3,2,2,1,2,2,1,2,3,1,4,7,2,1,1,11,66,85
1,157,46,2,3,9,7,3,1,2,6,5,4,1,2,2,1,1,1,1,2,99,1,0,2,4,2,5,5,2,5,15,1,1,9,14,12,9,2,1,0,1,1,1,3,4,3,3,2,2,4,3,4,1,1,2,1,1,4,2,7,2,157,46,2,2,1,2,4,3,2,1,1,1,2,4,3,3,3,1,1,1,3,2,3,1,15,4,1,1,11,66,11
1,157,47,2,3,7,7,2,4,1,6,5,4,1,2,2,1,1,1,2,4,99,1,0,2,4,2,4,6,2,1,15,2,2,9,14,12,9,2,1,0,2,2,1,3,4,3,4,3,1,1,1,6,2,1,4,1,1,4,3,5,2,157,47,2,1,2,3,4,1,2,3,1,1,3,3,3,3,3,1,2,1,1,3,3,2,14,4,1,1,5,34,79
1,157,48,2,2,1,6,2,4,1,6,3,6,1,2,2,1,1,1,1,5,99,1,0,1,2,2,4,2,4,16,1,3,3,9,14,12,9,2,1,0,1,2,2,3,4,2,3,2,6,1,1,2,2,3,2,1,1,3,2,9,2,157,48,2,2,2,2,3,2,2,3,1,3,2,3,2,3,2,1,1,1,3,1,2,2,12,3,1,1,5,34,122
1,157,49,2,4,9,9,2,4,1,7,5,5,1,2,2,1,1,1,2,1,99,1,0,1,1,2,6,1,4,16,1,3,3,9,14,12,9,2,1,0,2,3,1,3,4,2,2,2,6,2,1,3,3,3,3,3,1,4,2,8,2,157,49,2,1,2,3,4,1,2,2,1,3,3,2,2,3,3,1,2,1,1,4,2,1,12,3,1,4,8,37,9
1,157,50,2,4,8,9,2,2,1,7,5,5,1,2,2,1,1,1,2,1,99,1,0,1,1,1,4,2,4,16,1,6,3,9,14,12,9,2,5,0,1,1,3,3,3,2,3,1,6,2,3,3,1,4,1,1,1,2,1,5,2,157,50,2,1,2,2,4,2,1,2,1,1,1,3,3,3,2,2,2,1,2,2,2,1,10,3,1,4,8,41,10
1,157,51,2,2,4,10,2,4,1,6,3,6,1,2,2,1,1,1,2,5,99,1,0,1,1,2,4,12,2,4,15,1,3,9,14,12,9,2,1,0,2,2,1,2,4,2,3,2,5,1,2,2,2,2,1,1,1,3,2,9,2,157,51,2,3,2,2,1,2,3,1,1,1,2,2,3,3,3,1,2,1,4,3,4,1,12,3,1,4,6,43,76
1,157,52,2,4,9,7,2,1,1,7,5,5,1,3,2,1,1,1,2,1,99,1,0,1,2,3,4,2,2,5,15,2,3,9,14,12,9,2,1,0,2,2,1,3,4,3,3,1,4,5,4,3,2,4,1,1,1,4,2,6,2,157,52,2,2,3,2,4,2,2,3,1,1,2,3,2,3,3,2,1,2,3,3,4,2,11,3,1,1,11,66,61
1,157,53,2,4,9,9,2,1,2,8,5,5,1,2,2,1,1,1,2,4,99,1,0,1,2,2,4,5,2,8,15,6,3,9,14,12,9,2,1,0,1,2,1,3,3,2,2,1,3,1,1,2,2,4,1,1,3,2,2,8,2,157,53,2,3,2,2,3,1,1,3,1,1,2,4,2,3,3,1,1,1,1,2,4,2,14,4,1,4,6,43,20
1,157,54,2,4,8,5,1,5,3,7,5,4,1,4,2,1,1,1,2,8,99,1,0,8,10,2,4,6,4,16,1,1,3,9,14,12,9,2,3,0,2,4,1,5,4,3,3,2,2,5,6,2,3,2,2,1,1,5,4,9,2,157,54,2,2,2,2,3,2,2,3,1,2,2,2,2,2,1,2,2,2,3,4,2,4,6,2,1,1,11,66,56
1,157,55,2,3,5,5,2,4,1,7,5,3,1,1,2,1,1,1,2,2,99,1,0,8,10,2,4,2,4,16,10,3,3,9,14,12,9,2,1,0,2,1,1,3,1,2,2,2,2,2,3,2,1,4,2,1,1,3,2,9,2,157,55,2,2,2,2,4,1,1,4,3,2,1,2,2,3,1,2,2,2,1,3,2,3,6,2,1,4,7,36,11
1,157,56,2,4,7,7,1,5,3,8,5,5,1,3,2,1,1,1,2,1,99,1,0,3,9,3,4,6,3,5,15,3,4,9,14,12,9,2,1,0,2,2,1,3,1,3,4,2,2,2,3,3,3,1,4,2,1,4,3,9,2,157,56,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,2,2,3,1,3,3,5,4,1,1,1,5,34,71
1,157,57,2,3,4,7,2,1,1,6,5,5,1,3,2,1,1,1,1,4,99,1,0,3,4,1,4,2,4,16,1,3,3,9,14,12,9,2,1,0,1,1,2,3,2,3,4,2,4,2,1,2,2,3,1,1,1,2,1,8,2,157,57,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,6,2,1,4,8,37,22
1,157,58,2,3,7,7,1,5,3,7,5,4,1,2,3,1,1,1,2,1,99,1,0,3,4,2,4,6,4,16,2,3,2,9,14,12,9,2,1,0,2,2,1,2,4,2,6,2,5,1,1,5,2,2,3,1,1,2,1,6,2,157,58,2,1,2,2,4,1,2,2,1,2,2,3,1,3,2,1,1,1,1,3,2,5,11,3,1,4,8,37,5
1,157,59,2,3,8,7,2,4,1,8,5,4,1,2,2,1,1,1,2,2,99,1,0,3,6,2,4,6,4,16,5,3,3,9,14,12,9,2,1,0,1,1,2,3,3,3,2,1,4,1,2,6,1,3,2,1,1,4,2,9,2,157,59,2,3,2,2,2,2,1,1,1,2,2,4,3,2,2,1,2,1,2,1,2,5,12,3,1,2,8,39,7
1,157,60,2,3,9,9,2,1,1,7,5,4,1,1,2,1,1,1,2,2,99,1,0,3,3,1,1,2,4,16,2,2,3,9,14,12,9,2,3,0,1,1,2,3,4,1,2,1,2,1,2,6,1,1,1,1,1,3,1,1,2,157,60,2,1,4,2,4,1,1,2,1,1,3,4,3,3,2,3,1,1,1,1,2,1,13,4,1,1,5,34,128
1,157,61,2,4,5,9,2,4,1,8,5,5,1,3,2,1,1,1,1,5,99,1,0,3,3,1,4,10,2,5,15,3,3,9,14,12,9,2,1,0,1,1,3,3,2,2,2,2,5,1,1,3,2,3,1,1,1,2,2,7,2,157,61,2,1,3,2,2,2,1,2,1,1,2,3,2,2,3,1,1,1,2,2,4,1,12,3,1,4,6,43,74
1,157,62,2,4,9,9,2,4,2,7,5,5,1,2,2,1,1,1,2,5,99,1,0,3,3,1,1,1,2,11,15,3,3,9,14,12,9,2,5,0,1,2,3,3,3,2,3,3,5,2,6,4,2,3,2,2,1,4,3,8,2,157,62,2,2,3,2,4,2,1,3,3,3,2,3,2,3,2,2,2,2,2,2,4,2,9,3,1,1,11,66,71
1,157,63,2,3,10,6,2,4,1,7,5,5,1,2,2,1,1,1,2,1,99,1,0,3,3,1,4,11,3,6,15,6,3,9,14,12,9,2,1,0,2,2,2,3,3,2,2,1,4,2,5,4,1,2,3,4,4,2,2,3,2,157,63,2,1,4,2,4,1,1,2,1,1,2,3,2,3,2,2,1,1,1,2,4,1,11,3,1,4,7,36,68
1,157,64,2,3,7,6,2,1,1,8,5,4,1,1,2,1,1,1,2,2,99,1,0,9,10,1,4,2,2,2,15,2,3,9,14,12,9,2,1,0,1,1,3,3,5,2,2,2,1,1,1,6,1,2,2,3,1,3,2,9,2,157,64,2,2,3,2,4,2,1,3,1,3,2,2,2,2,2,2,2,1,2,2,4,2,8,2,1,1,5,34,40
1,157,65,2,3,4,7,2,1,2,6,5,4,1,2,2,1,1,1,2,1,99,1,0,9,10,3,4,2,6,5,15,2,3,9,14,12,9,2,1,0,1,1,1,3,3,2,6,2,1,1,6,4,3,2,3,1,1,4,2,10,2,157,65,2,2,2,2,4,1,2,3,1,2,1,3,2,2,2,2,1,1,1,2,4,4,9,3,1,4,7,36,58
1,157,66,2,3,7,4,2,4,1,6,5,4,1,2,2,1,1,1,2,2,99,1,0,9,10,3,4,6,2,4,15,3,3,9,14,12,9,2,1,0,2,3,1,3,3,4,4,1,2,3,3,3,3,3,3,1,1,4,2,9,2,157,66,2,2,3,2,4,2,1,2,1,1,3,3,1,3,2,3,1,1,2,4,4,1,10,3,1,4,6,43,110
1,157,67,2,3,5,9,2,1,1,7,5,4,1,2,2,1,1,1,2,1,99,1,0,9,10,2,4,12,4,16,6,2,3,9,14,12,9,2,1,0,2,2,1,4,4,2,2,1,2,1,1,4,3,3,1,1,1,4,2,10,2,157,67,2,1,1,2,3,2,2,3,1,2,2,3,2,1,1,2,2,1,3,3,2,4,7,2,1,4,6,43,128
1,157,68,2,3,7,6,2,4,1,6,5,4,1,2,2,1,1,1,2,1,99,1,0,9,10,2,6,2,4,16,5,6,3,9,14,12,9,2,1,0,2,3,1,3,3,2,6,1,1,1,1,4,2,1,4,1,2,3,1,3,2,157,68,2,1,4,2,3,2,2,3,1,3,1,3,1,2,2,3,1,2,3,4,2,2,6,2,1,1,5,34,54
1,157,69,2,3,7,9,1,5,3,6,5,4,1,3,2,1,1,1,2,1,99,1,0,9,10,2,3,6,4,16,10,3,3,9,14,12,9,2,1,0,1,2,1,5,2,2,3,2,1,1,6,6,2,3,3,4,1,3,3,4,2,157,69,2,2,2,2,3,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,7,2,1,4,7,36,5
