CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.3..1,Q.3..2,Q.3..3,Q.3..4,Q.3..5,Q.3..6,Q.3..7,Q.3..8,Q.3..9,Q.4.,Q.5.,Q.6.,Q.7.,Q.9.,Q.10.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.17C.,Q.17D.,Q.17E.,Q.17F.,Q.17G.,Q.17H.,Q.17I.,Q.17J.,Q.17K.,Q.17L.,Q.17M.,Q.17N.,Q.17O.,Q.17P.,Q.17Q.,Q.17R.,Q.17S.,Q.20A.,Q.20B.,Q.20C.,Q.20D.,Q.20E.,Q.20F.,Q.20G.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.40..1,Q.40..2,Q.40..3,Q.40..4,Q.40..5,Q.40..6,Q.40..7,CARD..1,DECK..1,BALLOT..1,X.,Q.41.,Q.41..1,Q.41..2,Q.41..3,Q.41..4,Q.41..5,Q.41..6,Q.41..7,Q.42.,Q.44.,Q.45.,Q.46A.,Q.46B.,Q.46C.,Q.47.,Q.48.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,V.57.,V.,V.59.
1,72,11,2,3,2,1,2,2,2,2,2,2,2,2,2,2,7,4,5,2,2,3,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,0,1,1,1,2,5,2,5,3,2,1,1,2,2,2,2,2,2,2,2,72,11,2,2,2,2,2,2,2,2,1,1,1,1,0,0,1,3,2,1,1,2,1,3,2,10,55,38
1,72,12,3,5,1,2,2,2,2,2,2,2,2,2,3,3,3,2,7,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,3,1,1,3,1,3,1,1,1,2,1,1,1,1,2,5,3,5,2,7,4,2,1,2,2,2,2,2,2,2,72,12,2,1,2,2,2,2,2,2,2,1,2,3,0,0,1,3,3,2,1,2,2,3,3,4,47,47
1,72,13,1,2,1,2,2,2,2,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,2,2,3,1,1,1,2,5,3,5,4,4,1,1,2,2,2,2,2,2,2,2,72,13,2,2,2,2,2,2,2,2,1,3,1,3,0,0,3,3,0,5,1,3,1,4,1,7,10,107
1,72,14,3,4,1,2,2,2,2,2,2,2,2,2,3,1,1,1,8,4,6,5,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,1,1,3,2,3,3,1,2,2,2,1,1,1,2,7,4,5,2,7,2,2,2,2,2,2,2,1,2,2,72,14,2,1,2,2,2,2,2,2,2,3,1,1,2,2,1,1,8,3,1,3,1,1,3,11,28,49
1,72,15,3,3,1,2,2,2,2,2,2,2,2,2,3,6,11,11,4,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,3,3,1,3,2,2,1,1,1,2,7,4,5,2,7,4,2,2,2,2,2,2,1,2,2,72,15,2,2,2,2,2,2,2,1,2,2,6,3,1,1,2,1,3,4,1,1,1,3,2,6,21,52
1,72,16,3,1,2,2,2,2,2,1,2,2,2,2,1,5,5,5,7,2,2,5,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,1,2,3,1,1,1,2,7,0,5,7,0,5,2,2,2,2,2,2,2,2,2,72,16,1,1,2,2,2,2,2,2,2,1,2,3,1,1,3,1,8,4,1,2,1,4,3,11,38,78
1,72,17,3,3,2,1,2,2,2,2,2,2,2,2,2,2,5,11,4,2,2,3,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,3,1,2,2,2,3,3,2,3,2,2,1,1,1,2,7,4,5,2,7,4,2,2,2,2,2,2,1,2,2,72,17,2,2,2,1,2,2,2,2,2,2,6,3,1,1,2,1,6,4,8,2,1,3,3,11,29,31
1,72,18,1,3,1,2,2,2,2,2,2,2,2,2,1,7,6,11,1,2,1,3,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,2,1,1,1,4,4,2,5,1,1,4,2,2,1,2,2,2,2,2,2,72,18,2,1,2,2,2,2,2,2,2,1,1,3,2,2,1,2,12,1,2,4,3,4,1,11,37,105
1,72,19,2,1,1,2,2,2,2,2,2,2,2,2,4,11,11,11,8,4,6,5,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,3,3,1,1,1,1,1,0,6,2,2,1,1,1,1,0,0,5,7,0,5,2,2,2,2,2,2,2,2,2,72,19,1,2,2,2,2,2,2,2,1,4,0,0,0,0,3,3,0,0,0,7,1,0,3,7,1,66
1,72,20,2,1,2,2,2,2,2,2,1,2,2,2,3,6,8,11,1,2,2,5,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,3,1,1,1,1,4,2,5,3,2,2,2,2,2,1,2,2,2,2,2,72,20,2,2,2,2,2,2,1,2,2,1,3,3,2,2,1,2,9,1,1,1,1,3,2,11,38,16
1,72,21,2,4,1,2,2,2,2,2,2,2,2,2,3,1,10,1,8,4,6,5,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,3,1,1,1,0,1,1,1,1,2,4,2,5,6,1,1,1,2,2,2,2,2,2,2,2,72,21,2,2,2,2,2,2,1,2,2,1,1,3,0,0,3,2,0,1,1,2,0,4,2,10,55,79
1,72,22,1,1,2,2,2,2,2,2,1,2,2,2,7,7,1,1,7,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,3,1,3,3,2,2,2,2,1,1,1,1,3,2,5,3,1,4,2,2,2,1,2,2,2,2,2,72,22,2,2,2,2,2,2,2,2,1,1,2,0,0,0,3,3,6,1,2,3,3,3,2,6,22,17
1,72,23,1,3,1,2,2,2,2,2,2,2,2,2,5,7,5,11,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,3,1,3,1,1,3,1,4,2,1,1,2,1,2,3,2,5,3,1,4,2,2,2,1,2,2,2,2,2,72,23,2,1,2,2,2,2,2,2,2,3,1,0,0,0,3,2,5,4,2,2,1,1,2,7,10,45
1,72,24,2,1,2,2,2,2,2,2,1,2,2,2,1,10,10,7,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,1,1,1,3,3,1,2,2,1,1,1,1,2,3,1,5,3,4,3,2,1,2,2,2,2,2,2,2,72,24,2,1,2,2,2,2,2,2,2,3,1,1,2,0,3,3,2,1,1,3,3,3,2,6,22,73
1,72,25,2,4,1,2,2,2,2,2,2,2,2,2,2,6,7,8,7,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,3,3,2,2,2,2,1,1,1,1,6,3,5,7,5,4,2,2,2,2,2,2,2,2,2,72,25,1,2,1,2,2,2,2,2,2,1,1,1,1,0,3,3,3,5,1,4,1,4,4,7,10,47
1,72,26,2,1,1,2,2,2,2,2,2,2,2,2,2,5,11,11,7,1,2,3,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,1,2,2,1,1,1,6,6,2,5,4,3,3,2,2,2,1,2,2,2,2,2,72,26,2,2,2,2,2,2,1,2,2,3,1,1,2,2,2,2,4,1,4,6,1,2,2,2,40,47
1,72,27,1,3,1,2,2,2,2,2,2,2,2,2,2,2,6,11,5,1,2,5,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,3,1,3,3,1,2,2,3,1,2,2,6,5,2,5,4,3,4,2,2,2,2,2,2,2,1,2,72,27,2,2,2,2,2,2,1,2,2,3,6,3,2,2,2,2,3,1,2,4,1,3,2,4,49,67
1,72,28,1,4,1,2,2,2,2,2,2,2,2,2,5,7,6,1,1,2,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,3,1,1,2,1,3,3,1,2,2,2,1,2,1,5,5,3,4,4,3,3,2,2,2,2,2,1,2,2,2,72,28,2,2,2,1,2,2,2,2,2,1,1,3,0,0,1,3,4,1,4,6,1,3,2,7,8,12
1,72,29,2,4,1,2,2,2,2,2,2,2,2,2,2,6,5,11,7,1,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,3,1,1,0,1,3,0,1,1,2,2,1,1,1,3,6,2,3,4,1,4,2,2,2,1,2,2,2,2,2,72,29,2,2,2,1,2,2,2,2,2,2,6,1,1,1,2,1,3,5,3,3,3,3,2,10,57,18
1,72,30,4,2,2,2,2,2,1,2,2,2,2,2,2,2,11,2,0,1,6,3,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,1,3,1,2,3,2,2,1,2,1,1,1,4,5,2,3,4,5,3,1,2,2,2,2,2,2,2,2,72,30,2,2,2,2,2,2,1,2,2,3,1,3,1,1,2,2,3,5,2,4,3,1,4,9,26,0
1,72,31,1,3,1,2,2,2,2,2,2,2,2,2,4,7,11,11,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,3,1,1,3,1,3,3,1,2,2,2,1,1,1,5,5,1,4,3,4,1,2,2,1,2,2,2,2,2,2,72,31,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,4,2,5,5,2,1,4,49,59
1,72,32,3,4,1,2,2,2,2,2,2,2,2,2,3,3,11,11,1,1,1,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,3,1,3,0,1,1,2,0,1,1,1,1,5,2,3,1,1,4,1,2,2,2,2,2,2,2,2,72,32,2,1,2,2,2,2,2,2,2,3,3,4,1,1,3,2,8,4,1,1,1,3,3,12,65,10
1,72,33,3,6,1,2,2,2,2,2,2,2,2,2,5,4,3,3,7,3,2,5,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,3,1,1,3,1,3,3,1,2,2,3,1,1,1,1,5,2,3,3,1,1,2,1,2,2,2,2,2,2,2,72,33,2,2,2,2,2,2,2,1,2,1,3,3,2,2,2,2,5,3,1,2,2,3,4,4,47,79
1,72,34,3,4,1,1,2,2,2,2,2,2,2,2,3,11,11,1,8,4,6,5,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,1,1,1,1,1,5,2,3,3,5,2,2,2,2,1,2,2,2,2,2,72,34,2,2,2,1,2,2,2,2,2,1,2,3,0,0,1,3,7,1,1,1,1,1,3,11,29,79
1,72,35,3,7,1,2,2,2,2,2,2,2,2,2,7,5,3,2,7,4,6,5,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,3,1,1,1,1,5,2,3,6,6,4,2,2,2,2,2,2,2,1,2,72,35,2,2,2,2,2,2,2,1,2,2,6,1,2,1,2,2,0,1,1,1,1,3,3,4,48,51
1,72,36,3,2,1,2,2,2,2,2,2,2,2,2,2,6,11,6,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,2,1,1,2,2,1,1,1,1,5,2,3,1,7,4,2,2,2,2,2,2,1,2,2,72,36,2,1,2,2,2,2,2,2,2,3,2,1,1,1,2,2,9,5,1,2,1,3,3,7,5,73
1,72,37,3,5,1,2,2,2,2,2,2,2,2,2,3,1,11,11,8,4,6,5,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,3,1,1,3,1,3,3,1,1,2,1,1,1,2,1,5,2,3,4,4,3,2,2,2,1,2,2,2,2,2,72,37,2,2,2,2,2,2,1,2,2,1,2,3,1,1,3,2,2,5,1,1,1,3,3,10,56,47
1,72,38,3,3,2,1,2,2,2,2,2,2,2,2,2,4,2,11,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,3,1,1,1,1,5,5,3,3,1,3,2,2,2,1,2,2,2,2,2,72,38,2,2,2,1,2,2,2,2,2,1,2,3,1,0,1,1,2,2,1,1,1,4,3,10,55,29
1,72,39,3,7,1,2,2,2,2,2,2,2,2,2,3,4,4,4,7,1,1,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,1,2,2,1,2,1,1,5,2,3,4,3,4,1,2,2,2,2,2,2,2,2,72,39,2,1,2,2,2,2,2,2,2,3,2,3,2,2,1,2,9,2,1,1,1,2,3,10,59,54
1,72,40,1,3,1,2,2,2,2,2,2,2,2,2,1,6,11,11,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,1,1,3,1,3,3,1,2,2,2,1,2,1,1,5,1,3,4,1,3,1,1,2,2,2,2,2,2,2,72,40,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2,1,1,1,4,1,6,21,89
1,72,41,2,2,2,2,2,2,2,2,2,1,2,2,1,1,3,11,8,4,6,5,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,1,3,1,3,3,2,2,2,2,1,1,1,2,6,2,3,4,1,4,2,2,1,2,2,2,2,2,2,72,41,2,2,2,2,2,2,2,2,1,4,0,0,0,0,3,3,1,5,2,2,1,3,1,11,30,53
1,72,42,2,4,1,2,2,2,2,2,2,2,2,2,3,8,5,2,1,2,1,4,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,3,1,1,1,1,3,1,1,2,2,1,1,1,1,2,6,2,3,4,1,3,2,2,2,1,2,2,2,2,2,72,42,2,2,2,2,2,2,1,2,2,1,0,1,0,1,3,2,1,3,2,3,1,4,2,7,10,25
1,72,43,2,3,1,2,2,2,2,2,2,2,2,2,3,7,6,11,7,1,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,3,1,1,3,1,3,3,1,2,2,2,1,1,1,2,6,2,3,3,1,3,2,2,2,1,2,2,2,2,2,72,43,2,2,2,2,2,2,1,2,2,1,3,3,1,1,3,1,2,5,1,1,1,3,2,6,21,42
1,72,44,2,6,2,2,2,2,1,2,2,2,2,2,3,6,5,0,4,2,3,3,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,3,1,3,3,1,1,2,2,1,1,1,2,6,2,3,4,1,2,2,2,1,2,2,2,2,2,2,72,44,2,1,2,2,2,2,2,2,2,1,2,3,0,0,3,1,3,5,1,3,2,1,2,7,8,78
1,72,45,2,3,2,2,2,2,2,1,2,2,2,2,3,6,6,3,1,3,2,0,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,1,1,3,1,3,1,1,1,2,2,1,1,1,2,6,2,3,3,5,3,2,2,2,2,2,2,2,1,2,72,45,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,5,3,3,1,1,2,2,41,109
1,72,46,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,11,8,4,6,5,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,3,1,1,3,1,3,3,1,1,2,1,1,1,1,2,6,2,3,3,3,3,1,2,2,2,2,2,2,2,2,72,46,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,1,1,1,4,3,6,21,71
1,72,47,2,5,1,2,2,2,2,2,2,2,2,2,3,6,4,11,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,3,2,1,1,2,2,1,1,1,2,6,2,3,3,1,3,2,2,1,2,2,2,2,2,2,72,47,2,2,2,2,2,2,1,2,2,1,1,2,1,0,3,2,2,5,1,1,1,2,2,7,10,32
1,72,48,3,2,1,2,2,2,2,2,2,2,2,2,2,6,2,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,3,3,1,1,2,0,1,1,1,1,5,2,3,4,1,2,2,2,2,2,2,2,2,2,2,72,48,1,2,2,2,2,2,2,2,1,1,1,3,0,0,3,3,9,2,1,1,1,4,3,11,38,34
1,72,49,6,3,2,2,2,2,2,2,2,2,1,2,7,1,11,11,8,4,6,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,1,3,3,2,2,2,2,1,1,1,1,5,2,3,4,4,4,2,2,2,2,2,2,2,1,2,72,49,2,2,2,2,2,2,2,1,2,2,6,3,2,2,2,2,1,3,1,1,1,4,6,4,49,66
1,72,50,1,3,2,2,2,2,1,2,2,2,2,2,2,6,11,11,6,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,3,3,1,1,2,3,1,1,1,2,5,2,3,3,1,3,2,2,1,2,2,2,2,2,2,72,50,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,3,1,2,1,4,5,1,17,56
1,72,51,3,1,1,2,2,2,2,2,2,2,2,2,3,1,0,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,3,3,1,6,2,3,1,1,1,2,6,2,3,3,5,2,2,1,2,2,2,2,2,2,2,72,51,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,3,4,3,3,3,3,4,1,17,29
1,72,52,1,3,1,2,2,2,2,2,2,2,2,2,3,7,6,11,4,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,1,3,1,1,1,2,2,1,1,1,1,6,5,3,4,3,4,2,2,2,1,2,2,2,2,2,72,52,2,2,2,1,2,2,2,2,2,1,1,3,2,2,2,3,3,3,1,1,1,4,1,12,66,61
1,72,53,6,4,2,2,2,2,2,1,2,2,2,2,3,1,1,11,8,4,6,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,3,2,2,1,1,1,1,6,2,3,7,2,4,2,2,2,1,2,2,2,2,2,72,53,2,2,2,2,2,2,1,2,2,2,0,1,2,2,2,2,3,5,3,3,1,4,1,9,33,14
1,72,54,2,3,1,2,2,2,2,2,2,2,2,2,7,6,3,0,7,2,2,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,1,1,3,1,3,2,1,1,2,2,1,1,1,2,6,3,3,2,7,4,2,2,2,2,2,2,2,1,2,72,54,2,2,2,2,2,2,2,1,2,3,2,3,1,1,2,1,9,4,1,1,1,4,2,11,37,74
1,72,55,2,5,1,2,2,2,2,2,2,2,2,2,2,1,11,2,8,4,6,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,1,2,2,2,1,1,1,2,6,2,3,3,1,3,2,2,2,2,2,2,2,2,2,72,55,1,2,2,2,2,2,2,2,1,2,6,3,1,0,3,3,4,5,1,2,2,3,2,4,47,43
1,72,56,2,3,1,2,2,2,2,2,2,2,2,2,4,6,6,11,7,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,1,3,1,3,3,1,1,2,2,1,1,1,2,6,2,3,3,4,4,2,1,2,2,2,2,2,2,2,72,56,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,2,2,5,1,1,1,1,2,10,61,28
1,72,57,2,1,2,2,2,2,2,2,1,2,2,2,1,6,6,11,2,1,6,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,1,2,3,1,1,1,2,6,2,3,4,1,4,2,1,2,2,2,2,2,2,2,72,57,2,1,2,2,2,2,2,2,2,2,1,1,0,1,3,1,2,3,1,3,1,3,7,12,67,63
1,72,58,2,3,1,2,2,2,2,2,2,2,2,2,2,6,6,11,1,2,2,5,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,3,1,2,3,1,3,3,1,2,1,2,1,1,1,2,6,2,3,3,1,4,2,1,2,2,2,2,2,2,2,72,58,2,2,2,2,2,2,1,2,2,3,2,3,1,2,2,2,5,5,2,3,1,3,3,6,20,97
1,72,59,2,1,2,1,2,2,2,2,2,2,2,2,2,3,6,11,3,2,2,4,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,1,2,1,2,6,2,3,3,1,2,2,1,2,2,2,2,2,2,2,72,59,2,1,2,2,2,2,2,2,2,1,2,1,0,1,3,1,4,3,3,2,2,3,2,6,22,84
1,72,60,2,3,1,2,2,2,2,2,2,2,2,2,3,3,6,9,7,2,3,4,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,2,1,1,1,2,6,2,3,4,4,3,2,2,2,2,1,2,2,2,2,72,60,2,2,2,2,2,2,1,2,2,2,0,1,0,1,3,3,2,5,2,2,1,2,2,7,2,28
1,72,61,2,3,1,2,2,2,2,2,2,2,2,2,2,6,2,1,7,1,2,3,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,3,1,3,3,1,1,2,1,1,1,1,2,6,2,3,3,3,3,2,1,2,2,2,2,2,2,2,72,61,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,1,3,5,1,3,3,3,3,9,35,72
1,72,62,2,3,1,2,2,2,2,2,2,2,2,2,3,6,11,11,1,2,3,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,1,1,3,1,3,3,1,2,2,2,1,1,1,2,6,2,3,2,1,2,1,2,2,2,2,2,2,2,2,72,62,2,2,2,1,2,2,2,2,2,1,2,3,1,1,2,2,4,2,1,5,1,4,2,9,27,29
1,72,63,2,5,1,1,2,2,2,2,2,2,2,2,4,6,11,11,3,1,2,3,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,1,1,3,1,3,3,2,2,2,2,1,1,1,2,6,2,3,2,1,4,2,2,1,2,2,2,2,2,2,72,63,2,2,1,2,2,2,2,2,2,1,1,3,1,2,1,2,7,5,2,3,1,2,2,9,34,6
