CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.70.,Q.71.,Q.72.,CARD..1,DECK..1,BALLOT..1,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,V.80.,V.81.
1,113,13,4,1,1,2,3,2,1,3,4,2,4,2,1,2,1,1,2,3,2,2,0,1,5,1,1,2,1,5,1,4,3,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,0,2,4,1,3,2,2,2,2,4,12,2,113,13,1,1,1,1,1,1,1,1,0
1,113,14,4,1,3,2,3,3,1,1,1,4,4,2,1,3,2,3,3,3,2,2,2,2,2,3,1,3,2,3,2,4,1,1,3,1,3,3,2,2,1,2,2,1,3,2,1,4,2,2,2,2,4,2,1,2,2,5,4,3,2,1,3,2,5,5,2,2,2,4,1,1,2,113,14,3,1,2,1,1,2,1,18,0
1,113,15,4,1,2,2,3,4,5,3,3,3,4,2,1,2,1,3,3,2,1,2,1,2,2,2,3,2,2,1,1,4,2,3,2,2,1,3,1,2,1,2,1,1,1,2,1,2,3,3,2,1,4,2,3,3,4,4,3,1,3,1,4,2,1,1,3,4,4,1,3,11,2,113,15,1,1,1,3,1,1,1,25,0
1,113,16,4,2,3,2,3,1,5,1,0,2,4,2,1,2,1,1,2,2,1,2,2,1,5,4,1,1,1,1,1,4,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,3,2,3,1,1,1,1,4,3,5,6,2,1,1,2,2,11,2,113,16,1,1,1,1,1,1,2,26,1
1,113,17,4,3,1,2,3,1,3,3,1,2,2,1,2,1,2,2,2,3,1,3,2,2,1,1,2,2,2,2,1,3,2,3,2,3,2,3,3,2,1,1,1,1,3,2,1,2,2,3,3,1,2,2,2,3,2,3,2,1,2,2,4,3,5,1,2,3,3,2,2,3,2,113,17,1,2,3,3,3,1,1,14,0
1,113,18,4,1,1,2,3,1,1,1,4,0,3,4,4,2,2,3,2,4,2,3,3,4,1,1,1,2,3,3,2,4,2,0,2,2,4,3,1,3,5,3,3,2,3,4,1,3,3,4,2,2,3,2,4,3,3,3,1,4,0,1,2,1,6,5,2,3,4,2,3,11,2,113,18,1,3,1,1,1,1,2,13,0
1,113,19,4,2,1,3,3,1,1,2,3,2,3,2,2,3,1,3,3,3,2,3,2,1,2,2,1,2,2,2,1,3,2,2,2,1,2,4,1,2,2,4,2,2,2,1,1,2,2,3,2,1,2,1,2,2,2,3,2,1,3,2,3,3,1,4,2,2,3,2,2,11,2,113,19,2,1,2,1,1,1,1,11,1
1,113,20,4,2,1,3,3,2,1,3,2,1,2,1,1,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,5,1,2,2,3,4,2,2,5,4,1,3,2,1,1,0,0,11,2,113,20,1,2,1,1,1,1,1,2,0
1,113,21,4,4,1,3,3,2,1,3,1,0,3,0,1,1,2,2,2,1,1,0,0,0,0,4,0,2,1,1,1,4,3,2,5,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,5,1,0,1,0,1,1,1,5,4,6,1,2,2,2,2,2,11,2,113,21,1,1,1,1,1,1,1,4,1
1,113,22,4,1,3,3,3,2,1,1,1,2,3,3,1,2,2,1,4,3,2,2,2,4,1,3,4,2,1,4,1,4,2,3,1,2,2,3,3,3,4,2,1,2,4,1,1,2,2,2,2,2,3,2,2,2,2,1,2,1,1,1,4,4,5,4,3,1,3,3,3,11,2,113,22,3,2,3,1,1,3,2,4,1
1,113,23,4,1,3,3,3,2,3,3,3,2,3,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,5,3,5,3,2,2,2,2,2,11,2,113,23,1,1,1,1,1,1,1,6,2
1,113,24,4,4,1,3,3,1,1,3,1,2,3,1,1,2,1,2,1,1,2,2,1,1,1,1,3,1,1,1,1,3,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,3,1,2,2,1,1,1,2,2,2,2,2,4,0,2,4,3,1,3,2,2,2,1,3,11,2,113,24,2,1,1,1,1,3,2,19,0
1,113,25,4,4,1,3,3,1,1,3,3,2,3,2,1,2,2,3,3,2,2,2,2,2,1,1,3,2,2,2,1,4,1,6,2,3,2,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,3,0,2,4,4,1,3,3,2,2,0,0,12,2,113,25,4,0,4,0,4,3,1,19,0
1,113,26,4,1,1,3,3,1,1,3,3,1,4,2,2,1,1,2,2,1,2,3,1,1,2,2,3,0,2,2,1,4,1,2,1,2,1,2,1,1,1,2,2,1,3,3,1,2,2,2,1,2,1,3,3,1,3,2,3,2,2,1,4,4,1,3,3,3,2,3,2,11,2,113,26,3,2,3,3,2,3,2,21,0
1,113,27,4,3,1,3,3,3,1,1,3,2,4,1,2,1,1,2,3,2,1,2,1,4,1,1,3,1,4,3,1,4,2,2,1,3,1,3,1,2,1,2,1,1,4,4,1,4,3,3,1,2,1,3,2,2,2,2,1,2,3,1,4,1,1,0,3,3,2,3,2,11,2,113,27,3,1,1,1,1,1,1,16,1
1,113,28,4,2,1,3,3,3,1,3,3,2,3,2,1,2,2,3,1,2,1,1,2,1,1,1,3,1,1,1,1,4,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,4,3,5,3,2,2,1,3,1,10,2,113,28,2,2,1,1,1,1,1,17,1
1,113,29,4,3,1,3,3,1,1,3,1,3,4,4,3,5,3,1,4,1,3,5,3,3,1,3,3,2,2,3,2,4,2,2,1,1,2,2,2,2,4,4,3,3,3,2,3,4,4,4,3,2,2,1,4,3,3,4,4,3,3,3,1,1,3,3,4,4,4,3,2,11,2,113,29,3,3,3,3,1,2,3,9,0
1,113,30,4,1,1,3,3,1,1,3,2,2,3,4,1,2,3,2,5,2,1,4,2,3,1,1,3,1,2,1,1,3,2,2,2,2,1,1,1,2,1,2,1,2,2,1,3,2,4,4,2,1,2,1,4,4,3,4,4,1,2,1,2,4,3,0,2,4,2,2,1,12,2,113,30,3,3,3,1,1,3,1,9,0
1,113,31,4,3,2,3,3,1,1,3,1,4,4,4,1,1,2,2,4,2,2,3,2,2,1,3,3,2,4,1,1,4,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,4,2,4,3,2,1,3,3,3,3,3,3,3,3,2,4,2,1,5,4,4,2,3,2,11,2,113,31,3,3,1,1,1,3,3,8,0
1,113,32,4,2,1,3,3,1,1,3,1,2,3,1,1,2,1,2,2,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,4,1,1,4,4,5,3,2,1,1,1,4,11,2,113,32,1,1,1,1,1,2,1,7,2
1,113,33,4,3,1,3,3,4,4,3,2,2,3,3,2,1,3,2,2,1,1,1,3,3,3,3,3,2,3,4,1,4,2,2,2,2,3,3,3,3,5,2,3,2,3,3,1,4,4,2,3,2,3,3,2,3,3,4,2,1,2,2,4,3,4,2,3,4,4,2,2,4,2,113,33,1,1,1,2,2,1,1,25,0
1,113,34,4,2,1,3,3,4,4,3,3,2,3,3,1,2,1,3,3,1,2,1,1,1,1,3,3,1,2,1,1,4,2,3,2,3,1,1,1,1,1,2,3,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,3,5,3,3,3,2,2,3,11,2,113,34,1,1,1,3,2,3,2,26,1
1,113,35,4,3,1,3,3,1,1,6,2,3,4,3,2,3,3,3,2,2,2,1,3,3,3,2,2,2,1,2,2,3,1,1,4,4,4,3,2,2,3,4,3,3,3,3,1,3,4,4,2,2,3,3,3,0,3,4,3,4,0,2,2,1,1,3,3,3,4,4,1,12,2,113,35,2,3,2,1,1,1,2,13,0
1,113,36,4,1,2,3,3,1,1,3,3,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,3,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,4,0,1,4,4,5,3,2,2,2,1,3,10,2,113,36,1,1,1,1,1,1,1,15,0
1,113,37,4,2,1,3,3,2,2,3,2,3,4,2,2,2,1,1,1,1,1,3,1,1,1,3,3,1,1,2,1,4,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,3,2,1,2,2,4,3,3,4,3,2,3,1,3,2,3,4,2,2,4,2,2,11,2,113,37,3,3,3,3,1,3,3,15,0
1,113,38,4,1,1,3,3,1,1,3,3,2,3,2,1,1,1,1,1,2,1,3,2,2,1,1,3,2,2,2,1,3,2,1,1,2,1,3,3,2,2,1,1,1,3,1,1,2,3,2,2,1,2,2,1,2,3,3,1,1,2,1,5,4,5,4,2,1,4,2,3,12,2,113,38,1,2,3,1,1,1,1,15,0
1,113,39,4,1,1,3,3,1,1,2,3,2,4,2,2,2,2,3,2,2,1,3,2,2,2,1,3,2,1,1,1,4,4,6,1,3,2,2,1,1,1,4,2,2,2,1,2,4,3,4,3,1,1,1,2,3,2,3,3,3,1,2,2,2,3,3,2,4,2,1,2,12,2,113,39,1,3,1,1,1,1,3,14,0
1,113,40,4,1,1,3,3,1,1,3,1,1,3,2,2,1,1,3,2,2,1,3,1,1,1,1,2,2,3,2,2,3,2,3,1,3,1,1,1,2,2,2,2,2,3,3,1,4,2,3,3,2,2,3,3,3,3,4,2,1,3,2,3,2,6,0,6,0,5,2,3,11,2,113,40,1,3,3,1,1,2,2,14,0
1,113,41,4,1,3,3,3,1,1,3,3,2,4,1,1,2,1,2,1,2,2,1,2,0,1,1,1,1,2,1,1,4,2,1,1,1,1,3,1,1,1,3,1,1,2,2,2,1,2,3,1,1,1,2,2,1,2,2,1,1,0,2,2,1,3,6,2,2,2,2,2,2,2,113,41,1,3,3,3,2,1,2,13,0
1,113,42,4,3,3,3,3,3,1,1,3,3,2,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,0,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,3,2,2,3,2,4,1,1,3,4,1,3,3,3,3,2,3,11,2,113,42,2,3,3,1,2,3,3,14,0
1,113,43,4,2,1,3,3,1,1,1,1,2,5,2,2,2,2,2,2,2,1,3,2,2,2,1,2,1,2,2,1,3,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,6,2,2,2,2,2,11,2,113,43,1,3,1,2,2,2,2,14,0
1,113,44,4,4,4,1,3,2,3,3,2,3,3,1,1,2,1,1,3,1,2,2,1,1,5,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,4,1,3,3,1,1,1,3,11,2,113,44,1,3,1,1,1,1,1,35,0
1,113,45,4,3,1,2,3,2,1,3,2,2,4,2,1,2,1,2,2,2,1,1,2,1,1,2,3,1,2,1,1,3,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,3,1,2,2,2,2,1,2,1,4,4,1,3,2,3,1,1,2,11,2,113,45,2,1,1,3,1,2,3,34,0
1,113,46,4,2,2,2,3,2,1,3,2,2,4,2,1,2,1,2,2,2,1,3,1,1,1,1,1,1,3,1,1,4,1,1,1,2,1,1,1,2,1,1,2,1,1,3,1,3,2,3,2,2,1,3,2,3,3,3,1,1,2,1,1,3,3,3,2,4,2,2,3,11,2,113,46,2,2,2,1,1,1,1,32,0
1,113,47,4,3,1,2,3,2,1,3,1,2,3,1,1,2,2,1,2,2,2,1,1,1,1,1,3,1,2,2,1,4,1,2,1,1,1,1,4,1,1,1,1,1,1,2,1,2,1,3,3,1,1,1,2,2,2,2,2,1,1,1,4,3,1,6,3,2,2,1,4,12,2,113,47,3,3,1,1,1,1,1,32,0
1,113,48,4,3,1,2,3,2,1,3,1,2,3,2,2,2,1,2,2,3,2,1,2,2,2,1,3,1,1,1,1,4,4,6,1,2,2,4,3,1,2,1,1,1,1,1,1,2,2,3,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,6,2,2,2,2,2,11,2,113,48,2,2,1,1,1,3,1,33,0
1,113,49,4,2,1,2,3,1,1,3,2,2,4,3,2,2,2,3,2,2,1,2,2,1,3,3,3,2,2,2,1,3,1,2,2,3,3,1,1,2,4,2,2,1,2,3,3,3,3,4,2,1,1,3,3,4,4,5,2,2,2,2,2,1,3,6,3,3,4,2,2,1,2,113,49,2,1,1,2,1,1,1,31,0
1,113,50,4,4,1,3,3,2,3,3,2,2,3,4,2,3,2,3,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,3,2,2,2,1,1,3,3,1,1,2,1,4,2,3,1,2,1,3,2,3,3,4,3,2,3,1,4,3,1,2,5,4,1,0,0,12,2,113,50,4,0,4,0,4,3,1,34,0
1,113,51,4,3,2,3,3,2,1,2,2,2,3,3,1,2,1,2,2,2,1,1,2,1,5,2,3,1,3,1,1,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,2,1,1,3,2,3,2,3,2,1,1,1,4,3,1,6,2,3,4,2,3,12,2,113,51,2,3,1,1,2,3,1,34,0
1,113,52,4,1,2,3,3,2,1,1,1,2,5,2,3,1,2,1,5,1,1,5,4,2,4,3,3,3,4,4,1,4,2,3,2,4,2,1,1,2,2,2,3,2,3,4,4,4,4,2,2,2,2,4,2,3,3,5,4,1,4,1,2,1,3,6,3,4,4,1,1,10,2,113,52,2,1,1,1,1,1,1,35,0
1,113,53,4,4,4,3,3,2,1,3,1,2,3,2,1,2,1,2,3,2,1,2,2,2,3,3,3,2,2,2,1,4,2,3,1,2,2,4,4,1,2,3,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2,3,2,3,3,1,4,3,1,6,2,3,2,2,3,11,2,113,53,3,3,1,1,1,3,1,35,0
1,113,54,4,1,1,3,3,2,1,1,1,1,2,2,1,2,1,3,3,3,2,2,1,2,1,1,3,1,1,3,1,4,3,1,1,2,1,2,2,1,3,1,1,1,2,1,1,3,1,3,1,1,2,1,1,2,2,4,3,2,1,1,3,3,3,5,2,3,2,2,2,11,2,113,54,2,3,1,1,1,1,1,34,0
1,113,55,4,2,1,3,3,2,1,3,3,1,5,2,3,1,2,2,4,2,3,5,3,4,2,2,3,2,4,2,1,3,2,1,1,2,4,3,2,3,5,3,2,2,2,4,1,4,4,4,3,2,2,4,3,2,3,4,3,1,2,4,2,1,3,4,4,4,2,4,3,10,2,113,55,3,3,3,2,1,3,3,32,0
1,113,56,4,1,1,3,3,2,1,3,0,4,4,5,4,0,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,4,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,0,2,3,1,1,2,2,2,0,1,1,2,1,1,1,5,3,1,3,1,2,2,1,1,4,2,113,56,3,3,3,1,1,1,1,33,0
1,113,57,4,1,1,3,3,2,1,7,0,0,0,0,0,1,1,6,1,2,1,1,2,1,1,1,1,2,1,2,1,3,2,3,1,3,1,2,1,1,1,1,1,2,4,2,1,1,2,2,2,1,2,1,2,2,3,3,2,1,1,1,4,4,5,3,4,1,3,4,3,2,2,113,57,2,3,2,3,2,1,3,33,0
1,113,58,4,1,1,3,3,2,1,3,3,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,1,1,1,1,1,1,3,3,1,1,1,3,2,1,3,2,4,1,4,2,11,2,113,58,3,3,2,1,1,1,3,33,0
1,113,59,4,2,2,3,3,2,1,3,3,3,4,2,2,1,2,4,4,1,2,2,2,2,2,1,1,2,2,2,1,4,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,4,4,3,2,1,2,2,3,2,3,3,3,1,2,1,4,3,5,3,3,3,3,4,2,12,2,113,59,3,2,3,1,2,2,1,33,0
1,113,60,4,1,4,3,3,2,1,3,1,2,4,2,1,2,1,1,4,2,1,2,2,2,1,1,2,1,1,2,1,4,2,2,1,3,1,1,1,1,1,1,2,2,3,2,1,2,2,4,2,1,2,1,2,5,2,3,2,1,2,1,4,3,1,6,2,2,4,4,4,2,2,113,60,3,1,3,1,1,1,1,33,0
1,113,61,4,1,1,3,3,2,1,3,3,2,4,2,2,3,1,2,2,2,1,3,1,2,1,2,3,2,3,3,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,3,2,3,3,4,3,1,2,2,1,3,2,4,2,2,3,2,3,2,3,3,2,3,4,3,2,2,2,113,61,3,2,1,2,1,2,2,31,0
1,113,62,4,3,1,3,3,1,1,3,2,3,3,3,1,1,2,3,2,1,1,1,2,3,3,3,3,1,2,0,1,4,2,2,1,2,2,3,1,3,2,2,0,2,2,2,1,3,3,4,3,2,2,5,2,4,3,4,2,3,0,2,2,1,3,4,3,4,3,3,3,1,2,113,62,3,3,1,1,1,3,3,31,0
1,113,63,4,1,1,3,3,2,1,1,2,2,2,2,1,2,2,1,2,2,2,3,2,2,2,1,3,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,3,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,4,4,6,3,3,2,2,3,3,1,2,113,63,3,1,2,1,2,3,3,31,0
1,113,64,4,1,3,1,3,3,2,3,1,4,4,4,3,2,4,2,5,3,1,4,4,4,4,3,3,3,4,2,2,1,2,2,3,4,4,3,3,3,3,4,3,1,3,4,3,4,2,3,2,2,1,4,4,4,4,5,4,1,3,2,1,1,3,1,3,4,2,4,1,11,2,113,64,3,3,3,1,2,3,3,5,2
1,113,65,4,1,2,1,3,3,1,3,1,4,4,4,3,5,3,5,5,3,3,5,4,4,5,3,4,4,5,5,2,4,2,3,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4,5,3,2,3,4,4,4,4,4,4,3,4,3,1,1,3,5,5,4,3,4,2,11,2,113,65,3,3,3,1,3,3,2,5,2
1,113,66,4,4,1,1,3,3,1,3,1,3,5,2,1,3,2,2,3,2,2,3,2,2,1,2,3,2,1,1,1,4,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,0,1,2,2,1,1,2,2,2,3,3,3,3,4,1,4,4,6,6,3,2,1,0,0,12,2,113,66,4,0,4,0,4,3,3,16,1
1,113,67,4,3,1,1,3,1,1,1,3,4,4,1,1,2,1,2,1,1,2,1,1,2,2,4,1,1,1,1,1,4,4,0,1,1,2,2,2,2,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3,0,3,0,2,4,0,1,0,4,5,6,2,3,1,2,2,12,2,113,67,1,1,1,1,1,0,2,8,0
1,113,68,4,2,2,1,3,1,1,2,3,2,1,2,1,1,1,2,2,2,1,2,2,1,1,3,3,2,2,1,1,4,1,6,2,1,1,3,2,3,1,3,3,2,1,3,1,2,2,4,2,1,3,3,3,3,3,4,2,2,1,1,1,1,3,0,3,3,3,1,2,5,2,113,68,2,3,1,1,1,3,2,13,0
1,113,69,5,3,1,2,3,2,2,2,3,2,5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,0,2,1,1,1,1,1,4,3,1,3,2,2,2,2,2,11,2,113,69,1,2,1,1,1,1,1,1,0
1,113,70,5,1,1,3,3,4,1,3,2,2,2,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,3,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,3,3,2,11,2,113,70,1,1,1,1,1,1,1,23,0
1,113,71,5,3,1,3,3,1,1,1,1,2,4,1,2,1,1,2,3,1,1,2,2,2,1,1,3,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,3,1,1,1,1,2,1,2,2,2,1,1,1,4,4,6,4,3,2,1,2,2,11,2,113,71,2,1,1,2,1,2,3,9,0
1,113,72,5,2,2,3,3,5,4,3,3,2,5,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,4,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,4,1,2,2,1,2,2,2,2,2,4,4,1,3,1,3,1,2,1,4,3,1,1,2,10,2,113,72,1,1,1,3,3,1,1,26,1
1,113,73,5,3,2,3,3,2,3,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,2,1,2,2,2,3,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,4,4,5,3,2,2,2,0,0,12,2,113,73,4,0,4,0,4,1,1,35,0
1,113,74,1,1,1,4,3,1,1,1,5,3,5,3,4,4,2,3,4,1,1,3,3,3,1,2,3,4,4,3,1,4,2,2,1,1,2,1,2,1,3,2,3,2,3,3,1,4,3,5,2,2,3,3,4,3,4,4,3,3,1,1,2,1,3,6,4,3,4,4,4,1,2,113,74,2,2,1,1,1,2,2,9,0
1,113,75,1,1,1,4,3,1,1,3,4,2,4,4,3,4,3,2,3,2,2,3,4,2,5,3,3,2,4,2,2,4,3,1,1,3,3,3,3,2,5,4,3,3,3,1,4,4,4,5,3,2,4,4,3,4,4,4,3,3,3,2,1,1,3,1,4,4,4,3,1,1,2,113,75,2,3,1,1,1,2,3,9,0
1,113,76,1,1,1,4,3,1,1,1,4,3,4,4,3,2,2,2,3,2,2,2,2,1,1,3,3,1,1,1,1,4,2,2,1,2,2,3,3,2,4,3,3,2,1,1,3,4,4,5,2,1,1,1,2,2,3,1,4,1,0,2,2,3,3,0,2,4,4,3,3,11,2,113,76,2,2,2,3,1,3,3,9,0
