CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.50F.,Q.50G.,Q.50H.,Q.52.,V.54.,V.55.
1,192,23,2,1,3,4,7,1,3,5,2,2,5,2,2,1,2,2,1,1,2,1,1,1,3,1,4,1,1,1,2,1,2,1,4,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,3,1,1,3,3,2,3,2,3,2,2,5,1,41
1,192,24,2,1,3,4,6,1,3,5,2,2,5,6,2,5,2,2,2,1,2,2,1,1,2,1,4,1,1,1,2,2,2,2,3,1,2,2,2,1,2,2,1,1,1,1,2,1,2,3,2,2,1,1,3,3,2,3,3,3,3,0,3,5,45
1,192,25,2,1,1,5,7,1,3,5,2,2,5,6,6,2,1,2,1,1,3,3,3,3,1,1,4,1,3,3,2,3,2,2,3,1,2,2,2,1,2,2,1,1,1,2,1,1,1,3,2,3,1,1,3,3,2,3,3,3,3,3,4,4,6
1,192,26,2,1,3,5,7,1,3,5,2,2,5,6,1,2,1,2,1,1,2,3,1,1,2,1,4,1,1,2,0,1,1,1,3,1,2,2,2,1,2,2,1,0,1,2,2,1,1,3,2,3,2,2,2,2,2,3,2,2,1,1,5,4,5
1,192,27,2,2,2,5,8,1,3,5,2,2,4,4,4,2,2,3,3,2,2,2,1,1,2,1,3,2,2,3,2,1,1,1,2,1,1,2,2,2,2,2,1,1,0,1,2,1,1,2,2,3,2,1,3,3,2,2,2,3,3,3,2,4,24
1,192,28,2,1,3,5,6,1,3,5,2,2,5,6,6,2,3,2,2,1,2,2,1,1,2,2,3,2,1,2,1,2,2,2,3,2,1,2,2,1,2,3,1,3,3,2,1,1,1,2,2,1,2,1,3,3,2,3,3,3,3,3,2,2,65
1,192,29,2,1,5,5,6,1,3,5,2,2,5,2,2,5,3,2,4,2,2,3,1,2,3,2,4,1,4,1,2,1,1,1,3,1,1,1,2,2,3,3,2,2,1,2,1,1,0,2,2,1,2,1,3,3,1,3,1,2,3,3,5,2,82
1,192,30,2,1,3,5,6,1,3,5,2,2,5,6,6,2,1,2,2,1,2,2,3,1,3,1,4,1,1,1,2,3,3,2,3,3,2,2,3,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,3,3,2,3,2,3,3,3,6,2,19
1,192,31,2,2,3,5,6,1,3,5,2,2,5,6,6,2,1,2,2,1,2,1,3,1,3,1,4,1,1,1,2,3,2,2,3,3,2,2,3,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,3,3,2,3,2,3,3,3,6,2,2
1,192,32,2,1,3,5,6,1,3,5,2,2,5,6,5,5,1,2,2,1,2,1,3,1,1,2,4,1,1,1,2,1,2,1,3,1,2,3,3,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,3,2,3,2,3,3,2,4,2,45
1,192,33,2,1,3,5,8,1,3,5,2,2,5,7,6,1,1,3,2,1,2,2,1,1,2,1,4,2,1,1,2,1,1,0,2,1,1,2,0,1,2,2,1,0,1,2,2,2,1,3,1,3,1,1,3,3,3,3,3,2,2,2,1,2,95
1,192,34,2,2,2,5,6,1,3,5,2,2,5,6,6,1,1,2,1,1,2,2,1,1,1,1,4,1,1,1,3,2,2,2,2,1,1,2,2,1,2,2,1,3,1,2,2,2,1,3,2,2,1,1,3,3,3,3,2,3,3,2,5,2,87
1,192,35,2,1,2,5,6,1,3,5,2,2,5,6,6,2,1,2,1,1,2,2,1,1,3,1,3,2,1,2,1,2,3,2,3,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,3,1,2,2,2,2,2,2,2,76
1,192,36,2,1,3,5,7,1,3,5,2,2,3,2,2,2,1,2,1,1,2,1,3,1,2,2,4,1,3,3,1,2,2,2,3,2,2,1,2,1,3,4,2,2,1,1,1,1,1,2,2,1,2,1,3,3,2,3,2,2,3,2,2,2,29
1,192,37,2,1,2,5,7,1,3,5,2,2,5,6,6,2,1,2,1,1,2,2,1,1,3,1,4,2,1,1,2,3,3,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,3,2,1,3,3,2,3,2,2,1,2,5,2,36
1,192,38,2,1,2,5,6,1,3,5,2,2,4,4,4,4,4,2,4,2,1,4,3,2,3,2,3,2,3,2,1,2,4,2,5,1,1,2,2,1,3,2,1,3,1,2,2,2,2,2,2,1,4,1,3,3,2,3,3,3,3,2,4,3,14
1,192,39,2,1,3,5,7,1,3,5,2,2,5,3,3,2,3,2,2,2,1,2,3,1,2,2,4,1,2,2,1,2,4,2,4,1,1,2,2,1,2,2,1,1,1,1,1,1,2,3,1,1,1,1,3,3,2,3,3,3,3,3,5,3,0
1,192,40,2,1,3,5,7,1,3,5,2,2,5,3,1,4,2,2,2,1,1,2,3,2,3,2,3,2,3,2,1,3,4,2,4,1,1,2,2,1,2,2,1,3,3,1,1,2,2,2,2,1,2,2,2,3,3,3,2,3,3,3,3,3,13
1,192,41,2,1,3,5,6,1,3,5,2,2,5,3,2,1,2,2,2,1,2,3,1,1,2,1,3,1,2,2,1,2,3,2,5,2,1,2,3,1,2,2,1,1,1,1,1,2,1,2,2,4,1,1,3,2,2,3,2,3,3,3,5,3,27
1,192,42,2,1,3,5,6,1,3,5,2,2,5,3,3,2,1,2,2,0,1,2,3,2,2,2,2,1,2,2,1,1,2,2,4,1,2,2,3,2,2,2,1,1,1,2,2,3,2,2,1,1,1,1,3,2,2,3,2,3,3,2,4,3,16
1,192,43,2,1,2,5,8,1,3,5,2,2,4,2,2,3,1,3,1,1,3,1,3,1,1,2,4,2,1,2,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,3,1,4,1,1,3,3,3,3,2,3,3,2,5,1,76
1,192,44,2,2,3,5,7,1,3,5,2,2,6,2,2,2,2,2,2,1,4,2,3,1,3,2,3,1,4,1,3,3,2,2,4,1,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,3,2,3,2,2,2,1,52
1,192,45,2,2,2,5,7,1,3,5,2,2,6,2,2,2,2,2,2,2,2,2,1,1,2,1,3,2,2,2,2,3,1,2,3,3,2,2,2,1,2,2,1,3,1,1,1,3,1,3,1,1,2,1,2,2,2,3,2,2,2,3,4,1,44
1,192,46,2,2,2,5,6,1,3,5,2,2,5,6,6,1,1,2,2,1,4,2,3,1,1,1,4,1,2,1,2,3,3,1,4,2,2,2,3,1,2,2,2,1,1,2,1,3,1,1,1,1,1,3,3,2,3,3,1,3,2,3,1,1,80
1,192,47,2,2,3,5,6,1,3,5,2,2,6,6,6,3,4,2,3,1,1,4,3,2,2,1,4,1,3,4,2,2,2,1,4,1,4,1,1,1,3,4,3,2,1,1,2,1,2,3,2,1,1,2,3,3,2,3,2,3,3,3,5,1,87
1,192,48,2,2,2,5,6,1,3,5,2,2,5,1,1,2,1,2,2,1,4,2,3,1,1,1,4,1,4,2,2,3,2,1,3,3,3,2,2,2,5,3,4,1,1,1,2,1,1,2,2,2,2,1,3,3,1,3,2,3,3,2,5,1,86
1,192,49,2,2,2,5,7,1,3,5,2,2,4,1,1,2,3,2,2,1,2,3,3,3,1,2,3,1,3,3,2,3,2,1,3,2,2,2,2,1,5,2,4,3,1,1,1,1,1,2,2,1,1,1,3,3,2,3,3,3,3,3,2,1,67
1,192,50,2,2,2,5,6,1,3,5,2,2,5,7,2,2,2,2,2,1,4,2,1,1,1,1,4,2,1,1,2,3,3,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,3,3,2,3,3,3,3,3,2,5,14
1,192,51,2,1,3,5,6,1,3,5,2,2,5,6,2,2,1,2,1,1,2,1,1,1,2,1,0,1,1,1,2,3,2,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,3,3,2,3,2,3,3,0,4,5,5
1,192,52,2,1,3,5,6,1,3,5,2,2,5,5,2,1,1,2,1,1,4,1,1,1,1,1,4,1,1,1,2,1,2,2,4,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,3,2,1,3,2,3,3,3,5,5,4
1,192,53,2,1,3,5,6,1,3,5,2,2,5,7,2,1,1,2,1,1,3,2,1,1,1,1,4,1,1,1,2,2,3,2,3,1,1,2,3,1,2,2,1,1,1,1,2,3,1,2,1,4,1,1,2,3,2,3,1,3,2,2,3,5,17
1,192,54,2,2,2,5,6,1,3,5,2,2,4,5,2,5,1,2,2,1,2,2,1,1,2,2,4,2,1,1,2,1,1,1,3,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,2,3,3,2,2,2,3,2,2,6,5,25
1,192,55,2,2,3,5,6,1,3,5,2,2,5,7,1,2,2,2,2,1,4,2,1,2,3,2,2,1,1,2,2,3,3,2,4,1,2,2,2,2,2,2,1,3,1,1,1,1,1,2,1,4,1,1,2,3,2,2,2,2,2,2,2,5,21
1,192,56,2,2,2,5,6,1,3,5,2,2,5,7,2,2,2,2,2,1,2,3,1,1,1,1,4,1,1,2,1,2,2,1,2,1,2,1,3,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,3,2,1,3,1,2,3,2,5,5,13
1,192,57,2,2,3,5,7,1,3,5,2,2,5,5,2,5,1,2,2,1,2,2,1,1,1,2,4,2,1,1,2,1,1,1,3,1,2,2,3,2,3,3,1,1,1,2,2,1,1,1,2,1,1,2,3,3,2,2,2,3,2,2,6,5,24
1,192,58,2,2,2,5,6,1,3,5,2,2,4,5,2,2,1,2,1,1,2,2,1,1,1,2,4,1,1,1,2,2,2,2,4,1,1,2,2,1,2,3,1,2,1,1,1,1,1,2,2,4,1,1,3,3,2,3,3,3,3,3,5,5,11
1,192,59,2,1,2,5,7,1,3,5,2,2,5,5,1,2,1,2,1,1,1,1,1,1,3,1,3,1,2,1,1,3,1,1,3,1,2,2,2,1,2,3,2,1,1,1,2,1,1,1,2,4,1,1,3,2,2,3,2,2,3,2,5,5,6
1,192,60,2,1,2,1,6,1,3,5,2,2,2,2,2,3,3,2,3,2,1,3,1,1,1,1,4,1,4,1,1,1,1,1,3,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,2,3,3,2,3,3,3,5,2,32
1,192,61,2,1,2,1,7,1,3,5,2,2,2,2,2,2,1,2,1,1,2,2,3,1,1,1,4,1,2,1,2,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,3,2,1,2,3,2,3,2,2,2,2,5,2,15
1,192,62,2,2,2,6,7,1,3,5,0,2,5,7,2,2,2,0,2,0,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,3,3,2,3,2,3,2,2,2,5,26
1,192,63,2,2,2,7,7,1,3,5,1,2,5,5,5,2,1,1,1,1,2,2,3,1,2,2,3,2,1,1,2,0,3,2,3,1,1,2,3,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,3,2,2,3,2,3,3,2,5,5,0
1,192,64,2,1,2,7,5,1,3,5,1,2,4,2,2,1,1,2,2,1,2,1,1,1,2,2,4,2,1,1,3,0,2,0,3,1,1,2,2,1,2,3,1,1,1,1,1,1,1,2,1,3,1,3,3,2,2,3,2,2,2,3,5,5,22
1,192,65,2,1,2,7,6,1,3,5,1,2,2,2,2,1,2,2,1,1,2,5,3,1,1,1,3,2,1,1,2,2,2,1,3,1,1,2,2,1,2,2,1,3,1,1,1,1,1,1,2,3,1,1,3,2,2,3,3,3,3,3,5,5,9
1,192,66,2,1,3,7,7,1,3,5,1,2,5,6,2,2,1,2,2,1,2,1,1,1,1,1,3,2,2,2,2,2,3,2,3,1,2,2,3,1,2,2,1,1,1,1,1,1,1,2,2,3,1,1,3,3,2,3,3,3,3,3,5,5,12
1,192,67,2,2,0,5,7,1,3,5,0,2,5,2,2,0,1,1,0,1,1,3,3,0,0,0,0,1,2,1,0,1,1,1,0,1,1,0,0,1,0,3,2,2,1,2,2,1,1,2,1,0,1,1,3,3,2,3,3,2,3,2,0,1,0
1,192,68,2,2,2,7,7,1,3,5,1,2,5,6,6,1,1,2,1,1,3,2,1,1,1,1,4,1,1,3,2,3,2,2,3,2,1,2,3,2,2,2,1,3,1,2,1,1,1,2,2,2,1,1,3,3,2,3,3,3,3,2,5,2,89
1,192,69,2,1,3,7,6,3,3,4,1,2,5,2,2,1,1,2,1,1,2,1,1,1,1,1,4,1,1,1,2,1,2,1,3,1,3,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,3,3,2,3,2,2,3,3,5,1,18
1,192,70,2,3,2,7,6,1,3,5,1,2,6,6,6,1,1,2,1,1,3,2,3,1,3,1,3,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,3,1,2,2,2,1,1,3,3,2,3,3,2,3,3,6,2,8
1,192,71,2,3,2,7,8,1,3,5,1,2,5,6,6,2,1,1,2,1,3,1,3,1,1,2,4,1,2,1,2,2,4,2,4,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,3,3,2,3,2,3,3,3,3,2,5
1,192,72,2,1,2,7,4,1,3,5,1,2,5,6,6,1,1,2,1,1,4,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,3,3,2,3,3,3,3,3,5,2,50
1,192,73,2,2,3,7,6,1,3,5,1,2,5,6,5,5,1,2,2,2,2,2,3,3,0,1,3,2,1,2,2,1,1,1,2,3,2,0,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,0,6,4,3
1,192,74,2,1,3,7,7,3,3,4,1,2,5,7,7,2,2,2,3,2,1,1,3,3,2,2,4,2,2,1,1,2,4,2,3,1,2,2,2,1,2,2,1,2,2,1,2,1,1,3,2,2,2,1,3,2,2,3,3,3,3,3,5,2,44
1,192,75,2,3,1,7,6,1,3,5,1,2,5,6,6,1,1,1,1,1,4,1,1,1,1,2,4,2,1,1,2,1,1,1,2,3,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,3,3,2,3,1,3,2,3,4,2,99
1,192,76,2,1,3,6,6,1,3,5,1,2,2,2,2,5,1,2,1,1,3,1,1,1,2,2,4,1,1,1,2,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,3,2,1,3,1,3,3,3,5,2,39
1,192,77,2,2,4,6,6,1,3,5,1,2,6,6,6,5,1,2,2,1,2,4,2,2,3,2,4,1,2,3,2,1,2,1,2,1,1,1,2,3,1,2,1,1,1,2,1,3,1,1,2,0,1,1,3,3,1,3,2,3,3,3,5,2,6
1,192,78,2,2,2,6,6,1,3,5,1,2,5,6,6,1,1,2,1,1,2,2,1,1,1,1,3,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,3,1,1,3,3,2,1,3,3,2,2,5,2,25
1,192,79,2,2,2,6,6,1,3,5,1,2,5,6,6,1,1,2,2,1,4,1,1,1,1,2,4,2,1,1,3,3,3,1,2,3,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2,1,1,3,3,2,3,3,3,1,2,4,2,46
1,192,80,2,2,2,6,7,1,3,5,1,2,5,2,2,5,1,2,4,1,4,1,3,1,2,2,4,2,3,3,3,3,2,1,4,1,4,2,2,1,3,3,1,2,1,1,1,1,1,1,2,3,1,1,3,3,1,3,2,3,2,1,5,1,73
1,192,81,2,2,2,6,8,1,3,5,1,2,5,2,2,1,1,1,2,1,2,2,3,1,2,1,4,2,2,2,3,3,2,1,2,3,2,2,2,1,2,3,1,2,1,1,2,1,0,2,1,2,1,2,3,3,2,3,2,3,3,3,2,1,49
1,192,82,2,3,1,6,6,1,3,5,1,2,5,2,2,1,1,1,2,1,3,1,1,1,1,0,0,1,1,1,2,0,1,1,2,1,1,3,2,1,2,2,1,1,1,1,2,1,1,2,2,3,1,1,3,3,2,3,2,3,3,3,4,1,6
1,192,83,2,1,3,6,0,1,3,5,1,2,5,2,2,1,3,2,2,2,2,3,1,1,1,2,4,2,2,2,1,3,1,1,2,1,1,2,2,1,2,2,1,3,2,1,1,2,2,2,3,3,3,1,3,3,2,3,2,3,3,2,5,1,45
1,192,84,2,1,3,6,7,1,3,5,1,2,4,2,2,1,2,2,2,1,3,2,3,3,1,1,4,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,3,1,1,3,3,2,3,2,3,3,3,6,1,8
1,192,85,2,1,3,6,6,1,3,5,1,2,5,6,6,2,3,2,3,1,1,4,3,2,0,2,3,2,1,3,2,1,1,1,3,1,3,2,2,0,2,2,1,1,1,2,1,1,1,1,2,1,0,2,3,3,1,3,2,3,1,3,5,1,1
1,192,86,2,2,2,6,7,1,3,5,1,2,6,7,2,3,2,2,2,1,1,3,2,1,3,1,4,2,4,3,2,1,2,1,5,2,4,1,2,1,2,0,1,2,2,2,2,1,1,3,2,3,1,1,3,3,3,3,2,3,3,3,5,1,93
1,192,87,2,1,3,6,7,1,3,5,1,2,4,2,2,5,4,2,3,3,1,4,3,2,2,3,3,3,4,5,2,3,2,2,5,1,2,2,2,2,2,3,2,3,3,1,1,1,2,2,2,2,2,2,3,3,2,3,2,3,3,3,5,1,56
1,192,88,2,1,1,7,6,1,3,5,2,2,5,6,5,1,1,2,1,1,1,4,3,2,0,2,4,1,1,4,2,1,4,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,3,1,3,1,2,3,3,3,3,3,3,3,0,5,4,13
1,192,89,2,2,2,7,6,1,3,5,2,2,5,6,6,1,1,2,2,1,2,2,1,3,1,2,4,1,1,3,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,3,1,1,3,2,2,2,2,2,3,1,1,4,16
1,192,90,2,2,2,7,6,1,3,5,2,2,5,6,6,2,1,0,1,1,2,2,1,1,1,2,3,1,1,2,2,1,1,1,3,1,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,3,2,3,1,3,2,2,6,4,7
1,192,91,2,1,2,7,7,1,3,5,2,2,5,5,5,1,1,2,3,1,1,4,3,2,2,2,4,2,3,4,2,1,1,1,4,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,3,1,3,3,3,3,3,3,3,3,5,4,15
1,192,92,2,2,2,7,7,1,3,5,2,2,5,6,5,1,2,2,2,1,2,2,1,1,1,2,4,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,3,3,2,3,2,3,3,3,4,4,20
1,192,93,2,3,1,7,6,1,3,5,2,2,5,6,1,1,1,1,4,1,2,4,3,1,1,1,3,1,1,1,0,3,0,2,0,3,1,1,2,3,5,0,4,2,1,1,1,3,1,3,1,3,1,1,3,3,2,3,2,3,1,3,5,2,7
1,192,94,2,2,2,7,6,1,3,5,2,2,5,6,6,1,1,2,3,1,2,3,1,1,1,0,4,1,1,1,1,2,3,2,3,2,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,3,3,2,2,2,3,3,2,1,2,67
1,192,95,2,2,3,7,7,3,3,4,2,2,5,6,6,2,2,2,2,1,2,2,3,1,1,1,4,1,1,2,3,2,4,2,3,2,1,2,2,1,2,2,1,3,1,1,2,1,1,2,1,2,3,2,3,2,2,2,1,3,3,1,5,2,40
1,192,96,2,1,2,7,7,4,3,4,2,2,5,6,1,2,2,2,1,1,1,2,3,1,1,1,4,1,1,1,2,2,1,1,3,2,4,1,3,1,2,3,1,1,1,1,2,1,1,2,2,4,1,1,3,3,0,3,2,3,3,3,5,1,51
1,192,97,2,2,5,7,5,1,3,5,2,2,5,2,2,5,4,1,3,1,3,4,3,1,1,2,3,2,4,3,3,3,3,2,5,1,1,2,2,1,2,3,1,3,1,1,2,0,2,0,2,2,1,2,3,2,1,3,1,3,3,2,5,1,77
1,192,98,2,2,2,7,6,1,3,5,2,2,5,2,2,5,2,2,2,2,1,4,3,3,2,0,4,2,1,1,2,1,1,1,4,1,2,2,3,1,2,2,1,1,0,1,3,0,2,0,1,1,1,1,3,3,1,3,1,3,3,0,1,1,74
1,192,99,2,1,0,7,5,1,3,5,2,2,5,2,1,2,2,2,2,1,2,2,1,1,3,1,4,1,1,2,2,3,2,2,2,1,1,2,2,1,2,2,1,3,1,1,1,3,1,1,2,4,1,1,3,3,3,3,3,3,3,3,2,1,50
