CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.15..1,Q.15..2,Q.15..3,Q.15..4,Q.15..5,Q.15..6,Q.15..7,Q.15..8,Q.15..9,Q.15..10,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30.,Q.31.,Q.32A.,Q.32C.,Q.33A.,Q.34A.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.42B.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47A.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.52A..1,Q.52A..2,Q.52A..3,Q.52A..4,Q.52A..5,Q.53A.,Q.54.,Q.55.,Q.55..1,Q.55..2,Q.55..3,Q.55..4,Q.55..5,Q.55..6,Q.55..7,Q.55..8,Q.55..9,Q.55..10,Q.55..11,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,V.71.
1,132,18,3,5,5,4,7,5,1,4,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,0,7,3,12,5,3,1,2,2,3,2,2,2,3,4,1,3,4,2,4,2,4,1,1,17,2,132,18,3,2,3,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,6,3,2,2,3,2,3,1,2,3,3,2,2,2,90
1,132,19,3,1,1,0,6,3,2,4,1,4,1,0,1,3,3,2,2,1,2,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,0,3,1,5,4,2,2,1,4,2,3,2,4,6,8,2,4,0,3,3,4,2,1,14,2,132,19,3,2,2,3,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,7,1,2,2,3,3,3,3,1,4,3,1,2,3,442
1,132,20,3,4,4,4,10,6,1,4,1,2,1,2,4,6,2,2,1,2,2,2,2,1,2,2,2,2,8,1,2,3,5,7,1,3,1,1,3,2,7,1,1,4,1,3,2,3,1,1,1,3,4,2,2,2,1,1,2,2,1,1,13,2,132,20,3,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,8,1,2,3,1,2,2,4,3,4,3,1,4,2,411
1,132,21,3,3,3,5,9,2,1,4,1,3,1,0,1,6,2,2,2,1,2,2,2,2,2,2,2,2,7,1,2,3,4,3,1,3,1,1,3,2,7,7,5,1,2,0,2,4,2,2,2,4,6,7,1,2,1,2,1,2,1,1,17,2,132,21,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,8,1,2,2,3,2,2,4,3,5,3,0,6,2,57
1,132,22,3,5,5,6,11,5,2,4,1,3,1,0,1,1,1,2,1,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,6,7,6,0,4,2,2,2,2,1,1,1,3,3,1,2,2,2,4,2,2,1,1,3,2,132,22,3,2,3,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,8,1,2,3,2,2,2,4,2,3,3,2,1,1,558
1,132,23,3,1,1,0,11,0,1,4,1,2,2,1,1,3,3,2,2,1,2,2,2,2,2,2,2,2,0,1,2,3,5,7,1,5,2,1,1,7,5,11,5,2,1,3,3,3,1,1,3,3,6,2,3,3,1,1,3,3,2,1,0,2,132,23,3,1,1,4,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,8,1,4,2,2,2,2,2,1,4,3,2,7,3,571
1,132,24,3,1,1,6,11,5,1,4,1,4,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,7,7,9,5,3,3,2,3,2,1,1,2,3,5,11,1,1,2,4,2,4,0,0,0,2,132,24,3,0,0,0,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,8,1,2,2,1,1,1,2,2,2,2,3,3,2,472
1,132,25,3,2,2,5,11,4,1,3,1,3,1,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,0,1,6,8,0,1,1,3,2,1,1,1,0,3,4,11,1,2,2,4,1,4,0,0,0,2,132,25,3,0,0,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8,1,3,0,1,2,2,3,3,3,2,2,3,1,424
1,132,26,3,6,6,6,7,6,1,5,1,6,1,1,6,1,1,2,1,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,7,3,1,1,1,2,1,3,4,1,2,2,5,7,1,1,4,1,2,1,3,1,1,17,2,132,26,3,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,9,1,2,2,1,3,1,1,1,3,3,1,1,2,83
1,132,27,3,4,4,6,9,5,1,3,1,2,1,0,4,1,3,2,1,1,2,2,2,2,2,2,2,2,8,1,1,3,3,6,1,1,1,1,3,3,11,4,5,2,1,3,2,2,2,1,2,3,5,2,2,4,1,3,2,4,1,1,3,2,132,27,3,1,3,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2,3,4,3,1,4,2,300
1,132,28,3,1,1,0,11,1,1,4,1,4,1,0,1,3,0,1,2,2,2,2,2,2,2,2,2,2,6,1,2,2,2,0,0,2,3,1,1,4,0,1,1,0,1,2,2,1,2,2,2,4,3,0,0,2,2,4,2,4,0,0,0,2,132,28,3,0,0,0,0,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,2,2,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,321
1,132,29,3,2,2,4,8,5,1,4,1,4,2,0,1,1,1,2,2,2,1,2,2,1,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,1,5,0,0,2,2,3,3,2,2,1,2,4,5,2,2,3,0,0,2,2,1,1,0,2,132,29,3,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,431
1,132,30,3,2,2,3,10,7,2,3,1,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,6,7,7,5,2,1,2,2,2,2,1,2,3,4,1,2,3,1,3,2,4,1,1,17,2,132,30,3,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,10,1,2,2,3,2,2,4,2,3,2,1,4,1,400
1,132,31,3,8,8,6,7,6,2,4,1,3,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,7,8,3,5,2,3,1,3,2,1,1,1,3,5,6,1,3,2,4,1,2,1,1,17,2,132,31,3,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,10,1,2,1,2,2,2,3,2,3,3,2,4,1,534
1,132,32,3,1,1,0,9,8,1,5,1,5,2,0,5,3,2,2,1,2,2,2,2,2,2,2,2,2,6,1,1,3,2,4,1,5,0,1,2,7,6,1,1,1,3,2,2,3,1,1,2,3,4,11,2,2,1,0,3,4,0,1,0,2,132,32,3,1,3,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,11,1,0,2,3,0,3,3,1,5,3,1,1,2,446
1,132,33,3,2,2,3,10,6,1,4,1,4,2,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,1,4,3,4,3,1,2,1,2,2,2,2,7,4,2,2,2,1,3,2,1,1,1,17,2,132,33,3,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,11,3,2,2,2,2,3,2,2,2,2,2,3,2,351
1,132,34,3,3,3,5,6,5,1,5,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,1,7,3,6,5,1,2,2,3,2,1,1,1,3,6,1,1,4,2,4,3,1,1,1,17,2,132,34,3,1,3,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,11,1,3,2,2,2,2,4,2,3,2,3,2,2,89
1,132,35,3,8,8,6,9,6,1,5,1,3,1,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,4,7,7,8,5,2,3,2,3,4,3,1,1,3,4,5,1,4,1,2,1,4,2,2,12,2,132,35,3,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,4,1,2,2,1,1,2,2,1,3,2,2,2,1,441
1,132,36,3,9,9,6,11,5,2,4,1,4,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,2,7,8,10,5,2,3,2,3,3,1,1,2,3,3,2,1,3,1,2,2,3,1,1,0,2,132,36,3,1,2,2,0,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,3,1,1,1,4,2,2,0,3,2,2,616
1,132,37,3,1,5,3,9,8,4,3,1,4,2,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,3,8,6,5,3,2,2,3,2,2,2,1,3,4,1,2,3,2,4,2,1,1,1,17,2,132,37,3,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,2,3,3,2,3,1,641
1,132,38,3,2,2,5,10,8,2,4,1,3,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,4,2,0,0,0,0,0,0,0,0,2,0,8,7,5,1,1,3,2,1,2,1,2,3,2,4,1,2,1,1,1,4,1,2,14,2,132,38,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,1,2,2,2,2,2,1,4,3,1,1,1,559
1,132,39,3,3,3,6,10,3,1,4,1,2,2,1,4,1,2,2,2,1,2,2,2,2,2,2,2,2,7,1,2,3,1,1,1,3,1,1,3,1,11,8,5,1,2,3,3,2,2,2,2,4,5,2,2,3,1,2,3,3,1,1,0,2,132,39,3,1,3,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,3,3,2,3,4,3,2,1,2,307
1,132,40,3,2,2,5,7,5,1,5,1,5,1,0,4,3,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,4,6,6,2,5,2,2,2,2,2,2,3,2,3,4,6,1,4,2,4,1,2,1,1,17,2,132,40,3,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,2,4,2,3,3,1,1,2,163
1,132,41,3,8,8,6,9,6,1,6,1,6,1,1,4,3,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,7,11,9,5,4,3,2,2,2,2,2,1,7,1,5,3,2,2,4,1,4,1,1,17,2,132,41,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,1,1,4,3,2,2,3,4,1,348
1,132,42,3,4,4,3,9,4,1,5,1,6,1,0,4,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,1,3,11,1,1,1,2,2,1,3,1,2,2,6,4,3,3,4,2,4,3,3,1,1,17,2,132,42,3,2,3,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,3,1,3,1,2,2,2,3,2,3,3,3,3,2,326
1,132,43,3,4,4,1,9,4,1,5,1,6,1,0,4,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,4,6,6,5,1,3,1,1,2,1,2,2,5,7,1,3,3,2,4,1,4,1,1,17,2,132,43,3,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,3,2,1,2,2,4,2,3,3,2,3,2,38
1,132,44,3,9,9,6,4,6,1,5,1,5,2,0,1,2,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,3,11,12,5,3,2,2,2,1,2,1,2,6,7,5,3,3,2,4,3,3,1,2,0,2,132,44,3,1,3,1,2,2,2,2,1,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,2,3,1,2,2,2,2,2,3,2,3,3,2,3,2,345
1,132,45,3,2,2,6,9,5,1,4,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,7,4,5,5,3,2,3,3,3,2,3,3,5,9,2,3,4,2,2,1,3,1,1,17,2,132,45,3,1,1,3,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,1,2,2,2,2,2,3,1,2,2,3,1,2,3,3,3,3,2,2,2,74
1,132,46,3,0,3,0,10,8,2,4,1,4,2,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,1,3,9,5,3,2,2,2,1,1,1,1,3,3,5,1,0,2,4,2,2,1,0,0,2,132,46,3,0,0,0,2,2,2,2,2,2,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,0,2,2,2,0,2,3,2,1,2,1,581
1,132,47,3,8,8,2,10,6,2,4,1,5,2,1,6,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,3,3,11,1,1,3,3,2,3,2,2,2,1,4,5,2,3,4,2,4,1,3,1,1,17,2,132,47,3,2,2,3,1,2,2,2,2,2,1,2,3,2,2,2,1,2,2,1,2,2,2,2,2,3,1,2,2,3,1,3,2,2,1,2,2,3,2,216
1,132,48,3,2,2,1,3,5,1,3,1,2,2,1,6,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,3,11,5,5,2,3,2,2,3,2,2,1,3,3,1,1,3,2,4,1,1,2,1,7,2,132,48,3,2,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,3,1,3,3,3,2,2,2,3,1,2,3,3,3,233
1,132,49,3,3,3,6,9,4,2,5,2,4,1,2,1,6,2,2,2,1,2,2,2,2,2,2,2,2,8,1,1,3,1,5,1,3,2,1,2,7,2,4,5,3,2,2,2,2,1,2,1,5,5,2,2,3,1,3,2,4,1,1,14,2,132,49,3,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,5,1,2,2,1,2,2,2,3,3,3,1,2,2,364
1,132,50,3,2,2,6,9,4,1,5,2,5,1,1,4,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,2,7,8,1,5,2,1,2,2,3,1,1,1,3,5,1,2,3,1,3,2,4,2,1,12,2,132,50,3,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,5,3,2,2,2,2,2,3,3,3,2,0,2,1,659
1,132,51,3,4,4,6,7,8,1,4,2,5,1,1,4,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,5,1,4,1,1,1,1,3,3,3,2,3,2,6,6,6,3,3,1,3,1,3,1,1,7,2,132,51,3,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,5,1,2,2,2,2,3,3,2,3,3,1,2,2,371
1,132,52,3,2,2,5,9,2,1,5,2,5,1,1,5,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,3,4,8,6,5,2,2,2,2,2,2,2,2,3,5,1,3,2,1,3,2,4,0,1,16,2,132,52,3,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,5,1,0,3,2,2,2,3,2,4,3,1,4,2,173
1,132,53,3,6,8,1,9,5,2,5,2,5,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,7,2,0,0,0,0,0,0,0,0,1,7,7,8,6,1,3,3,3,4,2,1,1,3,3,1,2,3,1,2,1,4,1,1,10,2,132,53,3,1,1,3,4,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,5,1,2,3,3,2,2,1,1,3,3,2,4,2,618
1,132,54,3,2,2,5,10,4,1,5,2,3,1,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,1,7,8,4,5,2,3,2,3,5,3,1,2,3,5,1,2,4,2,4,2,1,1,1,10,2,132,54,3,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,5,1,1,2,3,2,3,4,1,5,3,2,4,2,599
1,132,55,3,2,2,6,11,4,1,5,2,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,7,9,7,5,2,3,3,3,0,1,1,0,3,5,2,2,2,2,4,1,4,1,1,17,2,132,55,3,1,1,2,2,2,2,2,2,1,2,0,1,2,2,1,1,2,2,2,2,2,2,2,2,5,1,3,3,1,1,1,4,2,2,2,3,3,1,631
1,132,56,3,4,4,6,6,5,1,5,2,5,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,1,7,7,9,5,2,2,2,3,4,1,1,1,7,7,5,2,4,1,3,1,4,1,1,14,2,132,56,3,1,1,2,2,1,2,2,2,2,2,2,4,2,2,2,1,2,1,2,2,2,2,2,2,6,1,2,3,2,1,2,2,2,3,3,2,2,1,380
1,132,57,3,1,2,0,8,7,2,5,2,4,1,2,0,1,1,2,1,2,1,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,11,12,0,2,1,3,2,1,2,0,0,3,3,6,3,3,0,3,2,1,1,2,3,2,132,57,3,2,1,3,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,7,1,0,2,2,3,2,2,1,4,3,1,1,2,458
1,132,58,3,1,1,6,9,6,2,4,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,5,2,0,0,0,0,0,0,0,0,1,3,8,8,0,1,2,2,2,2,1,3,3,3,3,1,2,3,2,4,3,2,1,2,14,2,132,58,3,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,7,1,2,2,2,3,3,3,1,3,3,1,4,3,556
1,132,59,3,1,1,6,11,5,3,4,2,4,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,8,1,1,3,2,2,2,2,2,2,2,5,7,1,1,1,2,2,2,2,2,2,1,7,6,10,1,1,1,1,1,2,1,1,17,2,132,59,3,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,7,1,2,2,1,2,2,4,3,4,3,2,2,1,304
