CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,V.19G.,V.19H.,V.19I.,V.19J.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,V.48.,V.49.,V.50.
1,93,22,3,2,0,1,3,3,1,5,3,3,3,2,1,2,4,2,1,1,2,4,3,10,3,1,4,2,2,2,2,62
1,93,23,3,2,2,1,3,2,3,5,3,1,2,1,1,1,4,2,1,3,4,2,1,11,3,1,4,5,2,2,3,52
1,93,24,3,2,3,2,4,4,7,5,3,1,1,2,1,3,3,1,1,2,4,3,1,7,1,1,4,2,2,2,3,17
1,93,25,3,2,3,1,3,3,1,5,3,1,1,3,2,4,4,1,1,4,1,3,2,11,1,1,4,2,2,2,2,61
1,93,26,3,2,3,2,3,3,3,6,3,3,1,2,1,1,4,3,1,3,4,2,1,4,2,1,3,4,2,2,2,62
1,93,27,3,1,3,2,4,2,4,2,9,1,1,1,1,4,4,3,1,0,0,0,0,11,1,1,3,2,2,1,3,25
1,93,28,3,1,3,2,4,6,6,2,9,1,2,3,1,4,5,2,2,4,2,3,1,10,1,2,1,0,0,0,2,12
1,93,29,2,1,3,3,0,3,4,2,3,2,1,2,1,4,3,2,1,2,1,3,4,10,1,1,2,2,2,1,2,61
1,93,30,2,1,3,1,3,0,7,2,3,1,2,1,1,3,2,2,1,2,4,3,1,11,2,1,4,2,2,3,2,12
1,93,31,2,1,2,2,4,6,7,2,3,4,2,2,2,3,4,2,2,3,1,2,4,11,1,2,1,6,1,0,2,12
1,93,32,2,1,2,1,3,3,1,2,3,1,3,1,1,4,3,1,1,2,1,3,4,2,2,1,4,3,2,3,2,61
1,93,33,2,1,2,1,3,2,3,2,3,1,3,1,1,4,4,2,1,2,4,3,1,11,1,1,4,2,2,2,3,52
1,93,34,2,1,2,1,3,2,2,2,3,2,2,1,1,4,4,1,2,3,1,2,4,11,1,1,4,2,2,2,3,52
1,93,35,2,1,3,1,4,3,1,2,3,1,1,1,1,4,3,1,3,3,4,2,1,11,3,2,1,2,2,0,2,62
1,93,36,2,1,3,1,3,3,3,2,3,2,2,1,1,4,4,3,1,3,1,2,4,11,3,1,4,2,2,2,3,52
1,93,37,2,1,3,2,3,3,1,2,3,1,1,1,1,4,4,2,1,3,4,2,1,11,1,2,1,2,1,0,2,61
1,93,38,2,1,3,1,3,2,3,2,3,2,1,2,1,4,3,2,2,2,4,3,1,11,3,1,4,2,4,2,3,52
1,93,39,2,1,3,2,3,2,1,2,3,1,1,1,1,4,2,3,1,3,4,2,1,11,3,1,4,2,2,2,2,61
1,93,40,3,1,2,2,4,6,2,2,3,4,1,2,1,3,5,1,1,3,4,2,1,11,1,2,1,2,1,0,2,55
1,93,41,3,1,3,3,4,3,1,2,3,1,1,2,1,3,5,3,1,2,4,3,1,4,2,1,4,4,2,3,2,61
1,93,42,3,1,3,3,4,3,1,2,3,2,1,2,1,4,3,2,1,1,3,2,4,11,1,2,1,2,1,0,2,61
1,93,43,3,1,3,2,4,6,7,2,3,1,2,1,1,1,2,1,2,4,3,2,1,11,1,2,1,2,4,0,2,11
1,93,44,3,1,3,1,4,4,7,2,3,1,1,1,1,4,2,1,2,2,1,3,4,6,2,1,3,3,2,2,3,17
1,93,45,3,1,3,2,4,4,7,2,3,1,3,1,1,3,3,1,2,3,4,2,1,11,2,1,4,2,2,3,3,17
1,93,46,3,1,3,1,4,2,7,2,3,4,1,2,1,2,4,1,1,1,2,3,4,6,1,1,4,2,2,2,2,2
1,93,47,3,1,3,1,3,3,1,2,3,3,1,1,1,1,4,2,1,3,1,2,4,9,1,2,1,2,1,0,2,61
1,93,48,2,1,2,2,4,6,3,2,4,1,2,2,2,4,4,3,1,1,2,3,4,11,2,1,3,3,2,2,2,8
1,93,49,2,1,2,1,4,6,3,2,4,2,1,2,1,3,4,2,2,2,1,3,4,6,2,1,3,4,2,2,2,9
1,93,50,2,1,3,2,4,6,7,2,4,4,1,2,1,4,5,3,2,0,0,0,0,11,2,1,4,2,4,3,2,11
1,93,51,2,1,3,2,4,6,7,2,4,2,2,2,2,3,3,3,2,3,1,2,4,11,2,1,4,2,2,3,2,11
1,93,52,2,1,3,2,4,6,7,2,4,2,1,1,1,4,5,1,2,3,4,2,1,10,2,1,4,2,4,3,2,11
1,93,53,2,1,3,2,4,6,7,2,4,4,1,2,3,1,4,2,1,3,1,2,4,11,1,2,1,5,3,0,2,11
1,93,54,2,1,1,1,3,0,7,2,4,1,1,1,1,4,3,2,1,2,4,3,1,11,1,1,3,6,3,1,3,5
1,93,55,2,1,2,2,3,6,7,2,4,1,2,2,1,4,5,2,1,2,1,3,4,10,1,2,1,5,2,0,2,11
1,93,56,3,1,3,3,4,6,3,2,4,4,3,2,3,4,4,3,1,1,2,3,4,11,2,1,4,2,2,3,2,8
1,93,57,3,1,3,2,4,6,7,2,4,3,1,2,2,4,3,2,1,1,2,3,4,6,1,1,4,3,2,2,2,11
1,93,58,3,1,3,2,4,6,7,2,4,3,1,2,2,3,2,1,1,2,1,3,4,11,1,2,1,2,4,0,2,11
1,93,59,3,1,3,2,4,2,7,2,6,3,1,3,1,4,5,1,2,3,2,1,4,6,1,1,4,2,2,2,3,1
1,93,60,2,1,2,1,4,5,4,2,6,1,2,1,1,1,3,2,1,3,1,2,4,0,1,2,1,2,2,0,3,45
1,93,61,2,1,2,3,4,2,7,2,6,2,3,2,1,1,4,2,1,1,2,3,4,6,3,2,1,2,2,0,2,2
1,93,62,2,1,3,1,3,6,5,2,6,1,1,2,2,4,4,2,2,1,2,3,4,10,2,1,4,2,2,3,1,43
1,93,63,2,1,3,1,3,2,7,2,6,4,1,2,2,3,4,2,2,3,1,2,4,11,1,2,1,2,1,0,3,21
1,93,64,2,1,3,1,4,5,7,2,6,1,3,1,1,3,3,2,2,2,4,3,1,10,1,1,4,4,2,2,3,18
1,93,65,2,1,3,1,4,4,7,2,6,2,1,2,1,2,4,2,2,3,4,2,1,11,1,2,1,4,4,0,3,25
1,93,66,3,1,3,2,4,6,2,2,7,1,1,2,3,1,3,2,1,0,0,0,0,11,1,2,1,2,2,0,1,40
1,93,67,3,1,3,1,4,6,2,2,7,3,1,3,3,3,4,1,3,4,1,3,2,11,3,1,4,2,2,2,3,47
1,93,68,3,1,3,2,4,2,6,2,7,3,1,2,2,4,2,2,2,3,1,2,4,11,1,2,1,3,2,0,1,40
1,93,69,2,1,3,2,3,3,7,2,7,1,3,1,1,3,4,3,1,2,1,3,4,11,3,3,3,4,2,0,1,14
1,93,70,2,0,2,1,4,6,3,2,4,1,3,2,2,3,4,1,2,3,2,1,4,11,3,3,0,4,1,0,2,8
1,93,71,3,1,3,1,4,5,7,2,9,1,2,2,1,3,4,3,2,3,4,2,1,10,2,1,4,2,2,3,3,18
1,93,72,3,1,3,2,4,6,7,2,9,2,1,2,1,4,4,1,2,0,0,3,0,11,2,1,4,1,4,3,2,12
1,93,73,3,1,3,2,4,4,7,2,9,3,3,2,1,4,4,1,1,2,4,3,1,6,3,1,4,1,2,2,3,5
1,93,74,2,1,3,2,3,1,2,2,9,1,2,1,1,1,1,1,2,1,2,3,4,11,1,1,4,4,2,2,3,5
1,93,75,2,1,2,2,3,5,5,2,9,1,1,1,1,4,2,1,1,3,1,2,4,11,1,2,1,4,2,0,3,63
1,93,76,2,1,2,2,3,6,6,2,9,1,2,2,1,4,2,2,1,2,4,3,1,11,2,1,2,2,2,2,3,63
1,93,77,1,1,5,1,2,2,7,2,9,2,1,1,1,3,2,1,1,2,1,3,4,11,2,3,2,3,3,1,3,24
1,93,78,1,2,2,1,2,2,7,4,9,1,3,1,1,4,4,2,1,3,4,1,2,11,1,1,4,2,2,2,3,20
1,93,79,1,1,3,1,2,2,7,1,9,1,3,1,1,4,5,2,1,1,2,3,4,4,1,2,1,2,1,0,3,25
1,93,80,1,1,3,1,2,2,7,4,9,1,2,1,1,4,2,3,1,3,4,2,1,11,2,1,4,2,2,3,3,24
1,93,81,1,1,4,2,2,2,7,1,9,2,2,1,1,4,3,1,1,1,2,3,4,11,2,1,4,3,2,3,3,24
1,93,82,1,2,4,1,2,2,7,2,9,1,2,1,1,4,2,1,1,3,1,2,4,1,1,1,4,2,2,2,3,24
1,93,83,1,1,3,1,2,2,7,1,9,1,2,1,1,3,2,1,2,3,4,2,1,4,2,1,4,3,4,3,3,24
1,93,84,1,1,2,2,2,2,7,2,9,1,1,2,1,3,4,2,1,2,1,3,4,11,1,1,4,2,1,2,3,20
1,93,85,1,1,4,1,2,2,7,1,9,1,1,2,1,2,1,2,1,2,1,3,4,11,1,1,2,2,2,1,3,24
1,93,86,1,2,2,1,2,2,7,2,9,2,2,2,2,2,3,2,1,2,1,3,4,1,1,1,4,1,2,2,3,25
1,93,87,1,2,3,1,2,2,7,3,9,1,3,2,1,4,3,2,1,1,2,3,4,11,1,1,4,2,2,2,3,24
1,93,88,1,1,4,1,2,2,7,2,9,1,2,2,1,1,4,1,1,2,1,3,4,6,1,2,1,5,2,0,3,24
1,93,89,2,1,4,1,2,2,1,2,9,3,1,2,2,3,3,2,2,3,4,1,2,11,2,1,4,2,2,3,3,25
1,93,90,2,1,5,1,2,3,2,2,9,1,2,1,1,4,3,2,1,2,4,3,1,11,1,1,4,3,2,2,3,24
1,93,91,1,1,4,2,2,0,7,2,9,1,2,1,1,3,2,1,2,3,1,2,4,7,1,2,1,0,2,0,2,12
1,93,92,1,1,3,1,2,0,2,2,9,4,1,2,1,4,3,2,1,1,2,3,4,11,2,1,2,2,2,2,3,64
1,93,93,1,1,3,1,2,2,2,2,2,1,1,3,1,1,4,2,2,1,2,3,4,10,2,1,4,2,2,3,2,46
1,93,94,1,1,3,1,2,1,7,2,2,0,1,1,2,4,4,2,1,3,4,2,1,11,1,3,3,1,1,0,3,5
1,93,95,1,2,4,1,2,1,7,2,3,1,1,1,1,4,4,3,2,2,4,3,1,11,2,1,4,2,2,3,3,5
1,93,96,1,2,3,1,2,1,7,4,3,1,2,1,1,4,3,2,1,3,1,2,4,11,2,1,4,1,1,3,3,5
1,93,97,1,2,3,1,2,1,7,5,3,1,2,1,1,4,4,1,1,3,4,2,1,11,1,1,4,5,1,2,3,5
1,93,98,1,1,5,1,2,2,7,2,3,1,2,2,1,3,4,2,2,3,4,2,1,11,1,2,1,3,1,0,2,2
1,93,99,1,2,5,1,2,2,7,4,3,2,1,2,1,4,3,2,1,1,4,3,2,11,2,1,4,2,2,3,2,2
1,93,100,1,2,3,1,2,2,7,4,3,1,1,2,2,4,4,2,1,3,4,1,2,10,3,1,4,2,2,2,2,12
1,93,101,2,1,3,1,2,3,3,2,3,1,2,1,1,3,4,1,1,2,1,3,4,0,1,1,4,2,2,2,3,52
1,93,102,2,1,4,2,2,2,1,2,3,3,1,1,3,3,4,2,1,0,0,3,0,11,1,2,1,6,1,0,2,61
1,93,103,2,1,4,1,2,2,1,2,3,2,2,1,1,3,1,1,2,3,1,2,4,4,2,1,4,1,2,3,2,61
1,93,104,1,1,3,1,2,3,3,2,3,2,2,2,1,4,4,1,1,2,1,3,4,11,1,1,4,2,2,2,3,52
1,93,105,0,1,3,1,2,2,1,1,3,3,1,3,1,3,4,2,1,4,2,3,1,10,1,2,1,4,1,0,2,62
1,93,106,1,1,5,2,2,2,3,1,3,3,1,1,1,4,3,1,2,3,1,2,4,11,2,1,4,2,2,3,3,52
1,93,107,1,1,2,1,2,2,3,3,3,3,1,2,1,3,4,3,1,2,1,3,4,3,3,1,4,2,1,2,3,52
1,93,108,1,1,2,1,2,2,3,2,3,1,2,2,1,1,3,2,1,3,1,2,4,11,1,1,4,2,2,2,3,52
1,93,109,1,1,3,1,2,2,3,2,3,2,1,2,0,3,4,2,1,2,1,3,4,3,1,1,4,2,1,2,3,52
1,93,110,1,2,2,1,2,2,1,3,3,4,1,2,1,4,4,2,2,2,1,3,4,0,1,1,4,2,2,2,2,62
1,93,111,1,1,5,2,2,2,1,2,3,4,1,3,2,3,4,1,1,2,4,3,1,4,2,1,4,6,2,3,2,61
1,93,112,1,1,3,1,2,2,1,2,3,3,1,3,3,2,4,2,1,2,4,3,1,11,3,3,0,2,1,0,2,61
1,93,113,1,2,2,1,2,2,1,2,3,3,1,3,1,1,4,2,1,3,1,2,4,6,1,2,1,2,1,0,2,62
1,93,114,1,1,3,1,2,2,1,2,3,2,1,1,1,2,4,2,2,2,1,3,4,10,1,2,1,3,1,0,2,62
1,93,115,1,1,4,3,2,2,1,1,3,1,1,1,1,3,2,1,2,3,1,2,4,11,1,2,1,3,1,0,2,61
1,93,116,1,1,5,1,2,4,7,3,3,1,1,1,1,4,2,1,1,3,1,2,4,11,2,1,4,2,4,3,3,17
1,93,117,1,2,2,1,2,2,7,1,4,1,3,2,2,2,3,1,1,2,1,3,4,11,1,1,4,3,2,2,2,8
1,93,118,1,1,3,1,2,2,7,1,4,1,3,1,2,3,3,2,1,3,1,2,4,11,1,1,4,2,3,2,2,8
1,93,119,1,1,3,2,2,2,7,1,4,2,3,2,1,3,4,2,1,1,2,3,4,11,3,1,4,2,2,2,2,8
1,93,120,1,2,3,1,2,2,7,2,4,2,2,2,1,4,4,2,1,2,1,3,4,11,1,2,1,2,2,0,2,8
1,93,121,1,2,2,1,2,1,7,2,4,1,3,2,1,1,4,3,2,3,1,2,4,11,2,1,4,3,2,3,2,8
1,93,122,1,1,4,1,2,3,7,2,4,1,3,1,1,4,3,1,2,2,1,3,4,11,2,2,1,2,2,1,2,9
1,93,123,1,1,2,1,2,2,7,1,4,1,3,2,1,3,3,2,2,2,1,3,4,11,2,1,4,6,2,3,2,9
1,93,124,1,1,3,1,2,2,7,2,4,2,2,2,1,3,4,1,1,2,1,3,4,11,1,1,4,2,2,2,2,9
1,93,125,1,1,2,1,2,2,7,2,4,4,3,2,1,4,3,2,1,1,2,3,4,0,3,2,1,2,2,0,2,9
1,93,126,1,1,1,1,2,2,7,2,4,1,2,2,3,3,3,2,1,2,1,3,4,10,3,1,4,2,2,2,2,9
1,93,127,1,5,3,1,2,1,7,5,4,2,2,1,1,4,4,2,2,3,1,2,4,11,1,2,1,3,2,0,2,9
1,93,128,1,1,4,1,2,2,7,2,4,3,1,3,1,3,4,2,2,3,4,2,1,8,2,1,2,2,2,2,2,9
1,93,129,1,1,5,1,2,2,7,2,4,4,1,2,2,3,4,2,2,0,0,0,0,0,2,1,3,2,2,2,2,9
1,93,130,1,2,3,1,2,6,7,4,4,4,1,3,3,3,4,2,1,2,4,3,1,11,1,3,0,4,1,0,2,11
1,93,131,1,1,3,1,2,5,7,2,4,1,3,1,1,4,3,3,2,2,1,3,4,11,3,3,0,5,2,0,2,11
1,93,132,1,2,3,1,2,5,7,2,4,1,2,2,2,2,2,2,1,0,0,0,0,11,3,1,4,3,2,2,2,11
1,93,133,1,1,3,1,2,2,7,3,4,4,1,2,2,4,4,2,2,2,1,3,4,1,1,2,1,5,2,0,2,11
1,93,134,0,1,2,1,2,5,7,2,4,2,2,2,2,3,5,2,1,3,1,2,4,11,2,2,1,2,2,1,2,11
1,93,135,2,5,2,1,2,2,3,4,6,1,1,2,1,4,3,2,1,3,4,2,1,0,2,1,4,2,2,3,3,60
1,93,136,1,1,3,1,2,2,3,2,6,4,1,2,2,4,4,2,2,1,2,3,4,11,1,1,4,2,1,2,3,60
1,93,137,1,5,2,1,2,2,2,5,6,4,1,2,1,3,4,2,1,3,4,2,1,4,2,1,2,2,2,2,3,60
1,93,138,1,1,3,1,2,2,2,3,6,1,2,2,2,4,4,2,1,2,1,3,4,11,1,2,1,2,2,0,3,60
1,93,139,1,1,3,1,2,2,2,1,6,2,3,2,3,4,4,2,2,0,0,0,0,11,3,2,1,5,1,0,3,60
1,93,140,1,2,3,1,2,2,2,2,6,1,2,1,1,4,4,2,1,2,1,3,4,11,1,1,4,2,2,2,3,60
1,93,141,1,5,3,1,2,2,2,4,6,1,2,1,1,3,4,1,1,2,4,3,1,7,2,1,4,2,2,3,3,60
1,93,142,1,5,4,1,2,3,7,5,6,3,1,3,1,1,4,3,2,2,1,4,3,10,2,1,4,1,2,3,2,11
1,93,143,1,1,5,1,2,4,7,2,6,4,1,2,1,4,4,2,2,4,2,3,1,11,3,3,4,3,2,1,3,1
1,93,144,3,1,4,2,4,6,5,3,1,2,1,3,1,2,2,1,2,2,4,3,1,4,2,1,3,6,3,2,1,43
1,93,145,3,1,4,2,4,6,5,2,1,2,3,3,2,4,2,1,1,4,2,3,1,3,2,1,4,2,2,3,1,43
1,93,146,3,1,4,2,4,6,5,4,1,3,1,3,1,3,4,1,1,4,1,3,2,2,2,1,4,2,2,3,1,43
1,93,147,3,1,4,2,4,6,1,2,1,3,1,3,1,4,4,2,2,4,2,3,1,6,1,1,4,1,4,2,1,66
1,93,148,3,1,4,2,4,5,4,2,1,1,1,3,3,4,4,1,2,3,1,2,4,6,2,1,4,2,2,3,1,66
1,93,149,3,1,4,2,4,5,5,2,1,3,1,3,1,4,2,2,1,2,4,3,1,10,1,2,1,6,2,0,1,40
1,93,150,3,1,4,2,4,5,5,2,1,3,1,3,1,3,2,1,1,1,2,3,4,11,1,1,3,2,2,1,1,40
1,93,151,3,1,4,2,4,5,5,2,1,3,2,3,1,1,1,1,2,2,4,3,1,11,1,2,1,5,2,0,1,40
1,93,152,3,1,4,2,4,5,5,3,1,2,2,3,1,1,3,2,1,1,2,3,4,11,2,1,4,2,3,3,1,40
1,93,153,3,1,4,2,4,5,5,4,1,3,1,3,1,4,5,1,2,2,4,1,3,11,2,1,4,2,2,3,1,40
1,93,154,3,1,4,2,4,5,5,2,1,3,1,3,1,4,4,3,2,1,3,2,4,11,1,2,1,2,2,0,1,40
1,93,155,3,1,4,2,4,4,2,3,1,1,1,1,1,4,5,3,2,2,1,3,4,10,1,1,4,1,4,2,1,66
1,93,156,3,3,4,2,4,3,1,3,1,2,1,2,1,4,4,3,2,2,1,3,4,11,2,1,4,2,2,3,1,22
1,93,157,3,1,4,2,4,5,2,3,1,1,3,1,1,3,4,1,1,3,1,2,4,10,3,1,4,2,2,2,1,23
1,93,158,3,1,4,2,4,6,3,4,1,2,2,2,1,3,4,1,1,3,1,2,4,11,2,2,1,2,2,1,1,22
1,93,159,3,1,4,2,4,6,4,2,1,3,2,3,2,4,4,2,2,2,1,3,4,11,1,2,1,2,2,0,1,22
1,93,160,3,1,4,2,3,6,5,3,1,1,1,2,1,4,2,2,1,3,4,2,1,11,1,2,1,4,2,0,1,50
1,93,161,3,1,4,2,3,6,5,3,1,1,2,2,1,4,5,2,1,2,4,3,1,11,1,2,1,1,1,0,1,50
1,93,162,3,1,4,2,3,6,5,2,1,2,1,2,2,3,2,2,1,1,2,3,4,11,1,2,1,3,2,0,1,43
1,93,163,3,1,4,2,3,6,5,2,1,3,1,2,1,4,4,1,1,1,2,3,4,10,1,1,4,2,2,2,1,43
1,93,164,3,1,4,1,3,5,4,2,1,2,2,2,1,3,3,2,2,3,4,2,1,10,1,1,4,2,2,2,1,65
1,93,165,3,1,4,1,3,5,5,3,1,1,1,2,1,4,4,3,1,2,1,3,4,11,2,1,4,2,2,3,1,42
1,93,166,3,1,4,2,3,5,5,2,1,1,2,2,3,3,3,3,1,2,4,3,1,8,3,1,4,3,2,2,1,42
1,93,167,3,1,4,2,3,5,5,3,1,1,2,2,1,3,3,1,1,3,4,2,1,11,1,1,4,2,2,2,1,42
1,93,168,3,1,4,2,3,5,5,2,1,1,2,2,3,3,3,1,1,2,1,3,4,11,2,1,4,2,2,3,1,42
1,93,169,3,1,4,1,3,5,5,2,1,1,1,2,2,3,4,3,2,2,1,3,4,6,2,1,3,2,2,2,1,42
1,93,170,3,1,4,1,3,5,5,2,1,2,1,2,1,4,4,2,1,2,4,3,1,11,1,1,2,3,2,1,1,42
1,93,171,3,1,4,1,3,5,5,2,1,2,1,2,1,3,4,1,2,3,1,2,4,11,1,1,4,2,2,2,1,40
1,93,172,3,1,4,2,3,5,5,2,1,2,1,2,1,4,4,1,2,3,1,2,4,7,1,3,4,2,1,1,1,40
1,93,173,3,1,4,1,3,5,5,2,1,2,2,2,2,4,3,1,1,1,2,3,4,11,1,1,0,2,2,1,1,40
1,93,174,3,1,4,2,3,5,4,3,1,1,1,2,2,3,4,3,1,3,1,2,4,11,2,1,3,4,1,2,1,42
1,93,175,3,1,4,2,3,5,4,3,1,2,2,2,1,4,4,2,2,3,4,2,1,0,1,1,2,3,2,1,1,42
1,93,176,3,1,4,2,3,5,4,2,1,2,2,2,1,4,4,2,2,4,1,3,2,11,1,2,1,2,2,0,1,42
1,93,177,3,1,4,1,3,5,4,2,1,4,2,2,1,4,4,1,1,1,2,3,4,11,1,1,4,2,2,2,1,40
1,93,178,3,2,4,2,3,5,4,3,1,1,2,2,1,3,4,2,1,2,1,3,4,11,1,2,1,2,2,0,1,42
1,93,179,3,1,4,2,3,5,2,3,1,1,1,2,1,4,2,2,1,3,1,2,4,1,3,1,4,2,2,2,1,42
1,93,180,3,1,4,2,3,6,5,2,1,2,2,3,1,4,4,2,2,2,4,3,1,6,1,2,1,2,1,0,1,65
1,93,181,1,1,4,2,4,6,5,0,1,1,2,2,1,4,5,2,1,3,1,2,4,6,1,1,4,2,3,2,1,67
1,93,182,1,1,4,2,4,6,6,2,1,3,1,2,1,4,2,2,1,1,3,2,4,2,1,1,4,5,2,2,1,40
1,93,183,1,1,4,2,4,6,5,2,1,4,3,2,2,4,4,1,1,3,1,2,4,0,1,1,4,2,2,2,1,43
1,93,184,1,0,4,2,4,5,5,3,1,3,2,2,1,4,1,2,1,2,1,3,4,11,1,1,3,2,3,1,1,40
1,93,185,1,1,4,2,4,5,5,2,1,3,2,2,1,4,5,1,1,3,1,2,4,11,1,2,1,1,2,0,1,40
1,93,186,1,1,4,2,4,6,5,2,1,2,1,2,1,4,4,2,1,0,0,3,0,11,1,2,1,4,0,0,1,50
1,93,187,1,1,4,2,4,6,5,2,1,4,1,1,1,4,1,2,3,2,1,3,4,3,1,2,1,2,4,0,1,50
1,93,188,1,1,4,2,4,6,1,2,1,3,1,1,2,4,4,2,1,3,1,2,4,11,2,1,4,2,2,3,1,50
1,93,189,1,1,4,2,4,6,5,2,1,3,1,3,1,4,4,1,1,3,1,2,4,11,2,1,4,2,4,3,1,43
1,93,190,1,1,4,2,4,5,5,3,1,2,1,3,1,1,1,2,1,3,1,2,4,0,1,1,3,2,1,1,1,40
1,93,191,1,1,4,2,4,5,5,2,1,3,1,3,1,4,4,2,1,2,1,3,4,10,2,1,4,1,4,3,1,40
1,93,192,1,3,4,2,4,2,2,3,1,1,1,1,1,3,5,1,1,3,1,2,4,11,2,1,4,2,2,3,1,51
1,93,193,1,1,4,2,3,4,1,2,1,4,1,2,1,4,4,2,1,3,4,2,1,11,1,1,4,2,4,2,1,44
1,93,194,1,1,4,2,3,2,3,2,1,4,1,3,3,4,4,2,1,0,0,3,0,11,1,1,4,2,2,2,1,50
1,93,195,1,1,4,1,3,2,1,2,1,2,1,1,2,3,4,2,1,2,4,3,1,11,1,1,4,5,2,2,1,51
1,93,196,1,1,4,2,3,2,2,2,1,2,1,3,1,4,4,1,2,3,1,2,4,10,1,1,4,2,2,2,1,50
1,93,197,1,1,2,2,4,6,7,2,4,3,1,3,1,4,5,2,2,0,0,0,0,11,3,2,1,5,4,0,2,11
1,93,198,1,1,2,1,0,4,7,2,4,2,1,2,2,3,4,2,2,2,1,3,4,10,1,2,1,2,1,0,2,11
1,93,199,1,1,2,2,3,6,3,2,4,2,1,2,1,3,3,1,1,1,2,3,4,11,2,1,4,2,1,3,2,9
1,93,200,1,1,2,1,3,3,2,2,4,2,1,2,2,3,4,2,2,2,1,3,4,10,1,2,1,2,1,0,2,11
1,93,201,1,1,2,1,3,6,7,2,4,1,2,2,1,1,3,2,2,3,4,2,1,11,3,1,3,4,2,1,2,11
1,93,202,1,1,2,1,3,4,7,2,4,2,1,2,2,2,4,2,2,2,1,3,4,10,1,2,1,2,1,0,2,11
1,93,203,1,1,2,1,3,5,7,2,4,1,1,2,1,4,5,1,2,3,2,1,4,11,1,1,4,4,2,2,2,11
1,93,204,1,1,2,1,3,2,7,2,4,1,2,2,2,3,3,1,1,3,4,2,1,7,3,3,0,2,2,0,2,11
1,93,205,1,1,3,3,4,6,3,2,4,1,1,1,1,4,5,2,1,4,2,3,1,11,2,1,4,2,2,3,2,9
1,93,206,1,1,3,2,4,6,7,2,4,1,2,2,1,4,4,3,2,2,3,1,4,10,2,1,3,2,3,2,2,11
