CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.27C.,Q.28A.,Q.28B.,Q.29A.,Q.29B.,Q.30A.,Q.30B.,Q.31.,Q.32A.,Q.32B.,Q.33A.,Q.33B.,Q.35.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.64.,Q.65.,Q.69.,V.70.
1,134,21,1,4,3,3,4,1,1,3,2,2,1,2,1,3,2,1,2,2,3,2,1,1,1,1,1,3,2,2,3,4,4,3,4,2,3,1,1,1,1,1,2,4,3,2,1,3,1,2,3,1,3,3,2,1,1,1,0,0,1,4,3,2,0,0,2,3,2,2,2,2,6
1,134,22,1,4,3,1,4,1,2,3,2,1,2,2,1,2,1,2,2,3,2,1,3,1,1,1,2,3,2,1,1,4,4,3,4,3,3,2,1,3,3,1,2,1,1,2,1,1,1,1,6,1,2,2,2,2,2,1,2,2,1,2,2,3,2,0,2,3,2,2,2,2,9
1,134,23,4,5,3,2,4,1,3,3,2,4,3,4,3,3,2,2,3,1,2,4,2,1,1,2,4,3,4,2,3,2,2,4,5,3,3,2,1,3,3,1,2,2,3,1,2,1,1,2,4,2,2,2,3,4,3,2,3,1,1,4,1,1,1,1,2,2,5,2,2,2,8
1,134,24,1,3,3,1,3,3,1,3,2,2,2,4,2,2,3,2,3,2,3,3,2,4,1,2,2,1,2,2,2,4,2,3,4,2,3,2,1,1,4,1,2,3,1,3,1,2,1,5,3,4,3,3,2,1,1,2,2,2,1,2,1,1,1,3,1,2,3,2,2,2,8
1,134,25,1,3,2,4,4,6,1,3,2,3,3,4,1,3,3,2,3,3,3,2,3,1,1,2,4,3,2,2,2,4,4,3,4,3,3,2,1,1,4,1,2,2,3,3,1,2,3,2,5,3,4,1,3,1,3,2,2,2,1,6,2,3,2,3,2,3,2,2,3,2,3
1,134,26,1,4,2,4,3,1,1,3,1,2,2,1,1,5,3,2,4,3,4,4,2,1,1,3,4,1,4,2,3,4,4,3,4,3,2,2,2,2,4,1,2,3,3,3,3,3,2,2,1,2,3,2,3,4,3,1,1,3,1,1,2,1,1,2,1,0,2,2,1,2,3
1,134,27,1,4,3,1,4,3,3,3,2,2,2,1,1,2,2,2,3,3,3,2,2,1,1,2,3,1,2,1,2,4,4,4,5,3,2,2,2,3,4,1,2,4,2,3,1,3,1,2,3,3,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,3,2,2,3,9
1,134,28,1,5,3,1,4,1,1,3,2,2,2,2,2,3,2,1,3,2,3,4,2,1,1,1,2,1,4,2,3,4,4,4,5,3,2,2,3,3,2,4,2,2,3,3,3,3,3,2,1,3,4,3,3,2,3,2,2,2,3,3,3,2,4,3,3,2,3,2,2,2,6
1,134,29,1,4,3,1,4,1,2,3,2,2,3,3,3,3,3,2,3,3,3,2,3,1,1,2,2,1,2,2,3,4,4,5,5,3,1,2,3,3,2,2,2,2,2,1,3,1,1,3,3,4,3,2,1,3,3,3,1,2,2,5,3,2,3,3,2,3,4,2,1,3,11
1,134,30,1,3,3,1,4,1,2,3,2,2,2,1,2,3,2,1,3,3,2,2,2,1,1,1,3,3,2,2,2,4,4,4,3,3,3,2,3,3,2,2,1,2,1,1,1,1,1,3,3,2,2,1,3,4,3,2,3,3,2,4,2,1,1,2,1,1,2,2,2,2,11
1,134,31,5,5,3,3,1,4,0,3,2,1,1,1,1,2,2,1,1,1,2,1,4,1,0,2,3,1,0,0,4,4,1,3,4,3,2,6,3,3,1,1,1,1,2,1,1,1,1,2,6,1,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,5,2,3,2,8
1,134,32,1,4,1,1,4,1,1,3,2,4,3,4,3,1,2,1,4,3,2,1,4,1,1,2,4,3,4,4,1,4,4,4,4,3,2,6,1,3,1,1,1,0,1,1,1,1,2,2,3,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,11
1,134,33,1,2,2,1,3,2,1,4,3,2,2,3,3,4,4,3,3,1,3,1,3,4,4,3,1,1,2,2,1,4,4,2,3,3,3,2,1,1,2,2,1,2,3,1,2,2,1,4,2,3,4,2,1,2,3,2,1,3,1,2,2,3,3,2,2,2,3,2,2,3,3
1,134,34,4,4,3,1,4,1,3,4,1,3,3,3,2,2,2,1,2,1,2,4,2,1,0,3,3,1,3,2,4,1,1,4,5,3,2,2,3,3,2,2,1,1,3,1,3,2,3,2,5,4,3,1,1,4,3,2,2,2,2,2,2,1,2,2,1,1,3,2,1,2,6
1,134,35,1,4,3,1,4,5,2,4,2,2,2,2,3,2,3,3,3,3,3,1,4,1,1,2,1,3,1,2,1,1,1,4,5,3,3,2,1,2,3,1,1,2,2,3,3,3,3,3,1,3,2,4,1,1,5,1,2,2,1,1,2,1,1,2,1,3,1,2,1,2,2
1,134,36,1,4,3,2,4,1,3,4,2,2,1,3,3,4,4,2,4,3,2,2,4,1,1,3,3,1,4,2,1,3,1,3,4,3,2,3,1,3,2,1,2,2,2,1,1,1,1,2,3,4,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,8
1,134,37,3,4,2,1,3,1,1,4,2,3,3,2,3,4,2,1,3,1,3,2,2,1,1,2,2,1,2,1,1,4,4,3,4,2,3,2,1,3,4,1,2,2,1,2,1,2,3,2,3,2,3,2,1,1,3,2,2,2,1,2,3,2,2,2,1,1,1,2,2,3,6
1,134,38,1,4,3,1,4,1,3,4,2,2,2,1,1,2,3,2,2,2,2,1,4,1,1,2,4,3,2,2,2,1,1,2,4,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,0,3,2,2,2,2,2,2,2,3,1,2,2,1,2,2,2,1,2,2,2,3,7
1,134,39,1,5,3,1,4,1,1,4,2,1,2,1,2,3,3,3,4,3,3,2,4,1,1,2,4,1,2,2,1,4,4,2,3,2,3,2,1,3,1,2,2,1,1,2,2,2,1,2,3,3,3,1,2,2,5,3,1,1,2,1,2,1,2,2,1,1,2,2,2,3,10
1,134,40,1,3,3,1,4,3,1,4,2,3,3,4,3,4,4,3,4,3,3,3,2,1,1,2,3,1,2,1,1,4,4,4,4,2,3,2,1,1,2,2,2,2,3,2,3,3,1,5,3,4,3,3,3,3,3,4,2,2,2,4,3,2,2,0,1,1,3,2,3,2,10
1,134,41,1,5,3,1,3,1,1,4,2,4,3,3,2,3,3,1,3,2,3,2,2,1,1,0,0,3,2,2,2,4,4,0,4,3,3,2,1,1,2,2,2,2,1,1,1,1,1,2,3,2,2,1,3,4,3,2,3,1,3,4,0,3,3,0,1,2,2,2,1,3,9
1,134,42,1,3,3,1,3,2,3,4,3,4,3,3,3,3,2,2,2,1,3,2,2,1,1,2,4,3,2,2,2,4,4,3,4,2,2,2,1,2,2,2,2,2,2,3,2,2,1,3,3,3,2,2,1,2,2,2,3,1,2,6,2,3,2,2,2,2,2,2,2,3,10
1,134,43,1,3,3,1,4,1,1,4,2,2,2,2,3,3,3,3,3,3,3,2,4,1,1,3,1,1,4,2,4,4,4,3,4,3,3,2,2,3,2,2,2,3,2,2,2,2,1,2,1,2,3,3,2,2,3,2,1,1,1,2,2,1,2,3,1,3,2,2,2,2,8
1,134,44,1,5,3,1,4,1,1,4,2,2,2,2,2,2,3,2,2,3,2,2,3,1,1,1,2,3,2,2,3,1,1,3,4,2,2,2,1,3,2,1,1,1,1,1,1,2,1,2,3,2,2,1,1,2,3,2,1,1,1,2,2,1,2,2,1,1,2,2,2,3,11
1,134,45,4,5,3,1,4,1,2,4,2,4,1,1,1,3,2,1,1,3,2,1,4,1,1,2,0,0,2,1,1,4,4,3,4,3,3,2,1,3,3,1,1,2,1,1,1,1,2,2,4,2,2,2,1,1,3,1,2,1,1,4,2,1,2,2,2,1,2,2,2,2,11
1,134,46,4,5,3,2,4,1,2,4,2,4,1,1,1,3,2,1,4,3,2,1,4,1,1,2,2,1,2,1,1,4,4,3,5,3,3,2,1,3,3,1,1,1,2,1,1,1,3,2,0,3,2,2,1,1,3,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,11
1,134,47,1,5,3,1,4,1,1,4,2,3,3,2,3,2,2,2,4,3,2,1,3,1,1,2,4,1,2,2,2,4,4,3,4,2,3,2,1,1,4,1,1,3,3,3,3,3,1,2,3,2,2,2,3,3,3,3,2,3,2,6,3,3,3,3,3,2,2,2,4,3,11
1,134,48,1,3,2,1,3,1,1,4,1,1,1,1,1,3,2,1,2,1,2,1,4,1,4,1,1,1,2,4,1,1,2,3,4,2,3,2,3,3,2,1,1,2,2,3,2,3,3,3,3,2,2,3,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,3,2,1
1,134,49,1,5,2,1,1,4,1,4,2,1,2,1,1,1,3,2,2,3,1,1,4,1,1,1,4,3,4,4,1,4,4,4,4,3,2,2,1,1,2,1,1,1,2,1,2,1,3,2,3,2,2,4,1,2,1,3,2,1,1,2,1,1,1,1,1,1,2,2,2,3,1
1,134,50,1,5,3,1,4,1,2,4,2,4,1,1,1,3,2,1,4,3,2,1,4,1,1,2,2,3,2,1,1,4,4,4,5,3,3,2,1,3,1,1,1,1,2,1,1,1,3,2,3,3,3,3,1,1,3,1,2,1,1,4,2,3,2,2,2,1,2,2,2,2,11
1,134,51,1,4,3,1,4,3,2,4,2,3,2,1,1,3,2,2,3,3,4,2,2,1,1,1,2,1,2,2,1,3,1,3,4,3,2,3,1,2,1,1,2,2,1,2,1,3,1,2,2,2,2,3,2,1,2,1,2,2,1,4,2,1,1,2,2,2,2,2,1,2,11
1,134,52,5,5,3,3,2,1,2,4,1,1,2,2,2,2,2,2,2,3,1,2,2,1,1,2,2,2,2,1,2,4,1,2,4,2,3,1,1,3,2,1,2,2,2,3,3,1,3,3,4,3,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1
1,134,53,1,5,3,1,4,1,2,4,2,1,1,3,2,2,3,3,3,2,4,1,4,1,1,2,1,1,4,4,1,1,1,1,3,2,1,1,1,3,1,1,2,1,2,3,3,2,3,3,3,2,3,3,1,1,1,2,2,2,1,1,1,1,2,1,1,1,3,2,2,2,1
1,134,54,1,4,3,1,4,1,1,4,2,4,2,2,2,4,3,3,4,3,3,2,2,1,1,2,2,1,4,4,3,1,2,2,3,3,3,2,3,3,3,1,2,2,3,3,3,3,3,3,5,3,3,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,1
1,134,55,1,4,3,1,5,1,3,4,2,2,1,1,3,4,4,1,4,1,2,1,4,1,1,1,1,1,2,2,1,1,1,3,4,3,2,1,1,3,1,1,1,3,3,3,3,3,3,5,1,4,2,3,1,1,2,1,2,1,1,1,2,1,2,2,1,1,3,2,1,2,1
1,134,56,1,4,3,1,4,1,2,4,3,2,2,4,2,3,2,1,2,3,3,4,3,1,1,1,4,3,2,1,3,1,1,3,4,2,2,1,3,3,2,1,1,5,1,1,1,3,1,4,3,4,3,0,3,2,2,2,1,1,2,6,1,1,2,0,2,0,2,2,2,2,11
1,134,57,1,4,2,1,3,3,3,4,3,2,2,4,3,4,4,2,4,4,4,2,1,1,1,1,1,3,3,4,2,4,4,3,4,2,2,1,1,3,4,1,2,4,2,3,2,3,3,4,3,4,4,1,3,3,5,3,3,2,1,1,1,1,1,2,1,2,1,2,2,2,1
1,134,58,1,4,3,1,3,6,2,4,3,2,2,3,2,4,3,2,3,3,3,0,3,1,2,3,0,1,2,2,3,0,1,2,4,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,0,4,2,3,3,2,1,2,0,0,1,1,0,1,2,2,1,1,2,0,0,2,1
1,134,59,1,5,3,1,5,1,2,4,2,2,2,2,2,5,3,2,3,3,3,3,2,1,4,2,2,1,2,0,4,1,2,3,5,3,2,6,1,3,2,1,1,1,3,2,1,2,1,3,3,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,3,11
1,134,60,3,5,3,1,4,1,1,4,1,2,2,1,2,1,2,2,2,1,2,3,1,1,0,0,3,1,2,2,2,4,1,5,5,3,3,6,3,3,4,1,1,2,1,3,1,3,3,2,5,1,2,4,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1
1,134,61,1,5,3,1,4,1,1,4,2,4,3,4,3,3,2,2,2,3,3,1,4,1,1,2,2,3,2,1,1,4,1,3,4,2,2,2,2,3,2,2,1,3,3,2,3,1,1,5,4,3,3,1,1,2,2,4,2,1,2,4,3,3,2,2,2,2,2,2,2,2,11
1,134,62,2,3,3,1,4,1,1,4,2,2,1,2,1,3,2,2,3,3,3,3,3,2,1,1,3,1,4,4,4,4,4,3,4,3,2,3,1,3,3,3,3,4,3,3,3,3,3,4,2,3,2,3,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1
1,134,63,1,3,3,1,3,1,1,4,2,2,2,2,3,4,3,2,4,3,1,1,2,1,1,3,3,1,1,2,2,4,4,3,4,3,3,2,3,3,2,1,2,1,3,1,1,1,2,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1,2,2,1,1,3,2,2,2,11
1,134,64,1,4,3,1,4,1,3,4,2,3,2,2,2,4,3,2,4,0,3,0,1,0,0,3,2,0,0,2,4,4,1,3,4,1,1,2,1,1,0,1,3,2,3,3,1,1,1,3,2,3,0,4,2,0,4,1,2,2,1,4,2,1,0,0,2,2,2,2,2,2,11
1,134,65,1,4,3,2,4,1,1,4,2,2,2,3,3,4,3,3,4,2,3,1,2,1,1,2,4,1,2,0,1,4,4,3,4,2,2,1,1,3,2,2,1,3,2,3,3,0,1,3,1,3,3,2,2,2,5,3,2,2,1,2,2,2,2,0,3,3,3,2,0,0,11
1,134,66,1,4,3,1,3,1,1,4,2,2,2,2,1,3,3,1,3,3,2,2,2,1,1,1,3,3,2,2,1,3,1,3,4,3,2,2,1,3,2,1,1,2,3,1,1,1,2,2,3,3,2,2,3,2,3,2,3,0,2,2,2,3,2,2,2,2,2,2,1,2,1
1,134,67,1,4,3,1,4,1,2,4,2,3,3,4,3,4,4,3,3,3,4,1,3,1,1,1,2,1,2,1,1,2,2,3,4,3,2,2,1,3,2,1,1,2,2,3,1,2,1,5,3,5,4,4,3,2,2,2,2,2,1,2,1,1,2,2,2,2,3,2,3,2,11
1,134,68,3,4,3,2,5,1,1,4,2,1,2,2,1,3,4,1,3,3,3,1,4,1,1,1,2,1,2,1,1,4,4,4,4,3,2,2,1,3,2,1,1,2,3,3,3,3,3,2,3,4,3,4,1,2,2,2,2,2,1,2,2,1,2,2,2,2,3,2,2,3,1
1,134,69,3,5,3,1,3,1,3,4,3,2,1,1,3,3,2,1,3,3,3,4,3,2,1,1,4,1,2,2,1,4,4,4,4,3,3,2,1,3,4,1,1,4,2,2,2,3,1,1,6,0,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,3,11
1,134,70,2,4,3,1,4,2,2,4,2,1,2,1,2,2,2,1,2,3,2,2,4,1,1,1,2,3,2,2,2,4,1,2,3,2,3,2,2,2,3,3,1,3,2,2,3,2,1,2,4,3,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1
1,134,71,1,3,2,1,3,1,3,4,3,2,2,4,2,2,3,3,3,1,2,2,4,1,1,2,4,3,2,1,1,4,1,2,4,1,1,2,3,3,2,1,1,2,3,3,3,3,3,3,6,5,3,4,2,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1
1,134,72,1,4,3,3,3,1,1,4,2,1,1,1,2,3,3,1,3,3,2,1,4,1,1,1,1,1,2,2,3,1,1,3,4,3,2,2,3,3,2,1,1,3,2,3,3,3,3,4,3,4,3,3,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1
1,134,73,1,2,2,1,3,2,1,4,2,4,3,1,2,2,2,2,2,3,2,2,4,1,3,0,0,3,0,2,3,4,4,3,4,2,1,2,3,3,4,2,1,2,2,2,2,2,2,2,3,2,2,2,3,4,3,2,2,1,3,2,3,3,2,2,2,1,2,2,2,2,11
1,134,74,1,4,3,1,4,1,2,4,2,2,1,1,2,4,2,2,2,3,2,2,3,1,1,1,2,1,2,2,2,4,4,2,4,2,2,2,0,3,2,2,1,2,2,1,3,2,3,3,3,3,3,3,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1
1,134,75,1,3,3,2,4,1,1,4,2,2,2,2,3,3,3,2,4,2,3,2,2,1,1,2,4,3,4,4,3,1,2,2,3,3,3,3,1,3,2,1,1,2,2,2,2,3,2,3,3,4,2,3,1,1,2,2,2,2,2,4,2,1,2,2,1,2,3,2,2,2,1
1,134,76,1,4,3,2,4,3,1,4,2,2,2,2,3,5,4,1,4,3,1,4,2,1,1,1,4,3,2,2,1,4,4,3,4,3,3,3,1,3,2,1,1,1,3,3,1,2,3,2,3,2,2,2,1,2,2,1,3,2,1,2,1,1,1,2,1,1,1,2,1,2,1
1,134,77,1,3,3,1,4,1,2,4,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,0,1,4,4,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,4,6,4,2,3,3,2,3,1,3,3,1,2,2,1,1,2,2,1,2,2,1,1,11
1,134,78,1,5,3,1,5,1,1,4,1,1,1,1,1,2,2,1,2,1,2,2,4,1,1,1,1,2,1,1,1,2,1,2,3,2,2,1,3,3,1,1,1,1,1,2,1,2,3,2,3,2,2,3,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1
1,134,79,1,5,3,3,4,1,2,4,2,0,2,2,2,3,3,3,4,2,2,1,4,1,1,1,2,3,3,3,4,4,4,1,2,0,2,1,1,3,1,1,1,1,3,3,1,2,0,5,1,5,4,2,1,2,3,1,1,2,1,4,2,1,2,1,1,1,2,2,1,2,1
1,134,80,1,3,3,1,4,3,2,4,2,2,2,1,2,4,2,3,2,3,0,0,0,0,0,0,0,0,1,1,2,1,1,2,3,2,2,2,0,3,2,1,1,2,1,1,1,0,1,2,3,3,2,3,1,1,2,0,1,1,2,2,2,1,2,2,2,2,2,2,2,2,11
1,134,81,1,3,3,1,4,1,2,4,2,3,1,1,2,3,3,3,4,2,3,2,4,1,1,2,1,1,2,1,2,4,1,4,5,3,3,2,2,2,3,1,2,2,3,2,1,2,1,3,3,4,2,4,1,2,3,2,2,2,1,4,1,1,2,2,3,2,3,2,2,2,11
1,134,82,1,4,3,2,3,3,2,4,2,2,1,2,2,3,3,1,3,3,2,2,2,1,1,1,2,1,2,2,2,4,4,2,4,3,2,2,2,3,3,1,2,1,2,2,3,3,3,2,6,2,2,2,1,1,2,2,2,3,1,2,2,1,2,2,1,1,3,2,1,2,7
1,134,83,1,3,3,2,4,1,1,4,2,4,2,1,1,2,2,1,2,3,3,1,3,1,1,2,1,1,2,2,2,4,4,3,4,2,3,2,2,3,3,1,2,2,1,1,1,1,1,2,3,2,1,2,3,1,1,1,1,3,3,2,2,3,2,2,1,1,3,2,2,2,9
1,134,84,1,5,3,1,4,1,1,4,2,4,2,3,2,3,4,3,4,3,3,1,4,1,1,1,1,1,3,3,3,4,4,3,4,2,3,2,2,3,3,1,2,1,3,2,2,3,1,4,1,4,4,4,2,1,4,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,10
1,134,85,1,3,2,1,4,1,1,4,2,4,3,4,3,2,3,2,4,1,2,3,2,1,1,1,0,1,3,1,4,3,2,0,0,3,3,2,2,3,3,1,2,2,3,2,3,2,3,5,1,2,3,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,3,2,2,2,6
1,134,86,1,3,2,1,4,5,0,4,1,1,1,1,3,1,1,2,3,3,3,1,4,1,1,1,1,1,3,0,4,4,1,2,4,2,1,2,3,3,3,1,2,1,3,3,3,3,3,3,3,3,3,1,3,1,2,2,3,3,1,2,2,1,1,2,1,1,1,2,1,3,5
1,134,87,4,5,3,2,4,1,1,4,2,4,2,3,2,4,4,3,4,3,4,1,3,1,1,2,1,1,2,1,1,4,2,3,4,2,3,3,1,3,2,1,1,1,1,2,1,2,3,2,4,2,4,1,1,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,1,2,10
1,134,88,1,4,2,1,4,1,2,4,1,3,3,2,2,2,2,1,1,1,1,1,4,1,1,1,1,3,4,1,1,4,1,3,4,2,2,1,1,3,1,1,2,1,1,2,1,2,3,4,3,3,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2
