COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78
1,230,854,1,9,1,3,1,2,4,2,4,1,1,1,2,3,1,1,1,2,1,2,2,1,2,2,1,1,1,1,4,1,2,3,2,2,1,2,2,2,1,1,2,1,2,1,2,2,5,1,1,1,1,1,3,2,1,1,1,2,2,2,2,3,2,1,2,5,0,2,2,0,,223,85,41,4
1,230,855,1,10,3,3,2,2,3,1,3,4,1,1,2,3,3,3,3,3,1,2,2,2,2,2,1,1,2,2,2,1,2,2,3,2,1,1,2,2,1,2,1,1,2,2,2,2,5,1,4,1,2,2,3,2,3,2,5,2,2,2,2,3,5,1,1,5,0,1,2,0,,223,85,51,0
1,230,856,3,10,3,3,0,2,3,3,4,2,1,1,2,3,1,2,1,2,1,1,2,1,2,2,1,2,2,2,4,2,1,3,5,2,1,2,2,2,1,2,1,1,2,2,1,2,5,1,0,1,1,2,4,1,1,3,5,2,2,2,3,3,5,1,2,5,0,0,0,0,,223,85,61,1
1,230,857,3,10,2,2,3,3,3,1,4,3,1,1,2,3,2,4,3,3,1,1,4,2,2,2,1,1,2,2,4,1,2,5,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,4,3,1,4,0,2,2,1,1,2,1,2,2,2,2,2,1,1,3,2,1,1,0,,223,85,71,3
1,230,858,1,11,4,3,2,5,3,1,4,5,1,1,2,3,2,4,3,3,1,4,3,2,2,2,1,1,1,2,4,3,2,3,5,2,1,1,1,1,2,1,2,2,2,2,2,2,5,5,4,1,3,1,1,2,1,3,5,1,2,3,2,2,2,3,0,3,2,3,0,0,,223,85,81,3
1,230,859,1,3,2,1,2,3,3,1,2,3,1,1,2,3,2,4,2,3,1,3,2,2,2,2,1,1,1,2,4,1,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,5,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,3,2,3,2,0,,223,85,91,5
1,230,860,1,0,3,0,1,2,4,2,4,1,1,1,2,3,1,1,1,2,1,2,2,1,2,2,2,1,1,1,4,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,5,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,0,2,2,1,2,2,,223,86,1,2
1,230,861,1,4,3,3,1,5,7,2,3,4,1,1,2,3,3,4,2,3,1,4,4,2,1,1,1,1,2,2,4,2,2,2,3,1,1,2,2,2,1,2,2,1,2,2,1,2,5,2,2,1,2,1,3,1,2,1,2,1,2,3,3,3,2,3,1,3,3,1,2,2,,223,86,11,5
1,230,862,3,4,5,3,1,2,3,2,4,2,1,1,2,3,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,3,2,2,1,2,1,2,1,1,2,1,2,2,2,2,5,2,2,1,2,1,2,2,2,1,3,3,2,3,1,3,2,1,1,2,2,3,2,2,,223,86,21,2
1,230,863,3,5,3,3,2,3,9,2,3,1,1,1,2,3,2,2,1,2,1,2,2,1,2,2,1,1,1,1,4,2,1,4,2,2,1,2,2,1,2,1,1,1,2,2,2,2,5,0,2,1,2,1,1,3,3,3,5,3,0,0,0,2,2,3,0,4,4,3,2,0,,223,86,31,3
1,230,864,3,7,4,3,3,2,5,2,4,1,1,1,2,3,1,1,1,2,1,1,2,1,2,2,1,1,2,1,0,1,2,5,4,1,1,2,2,2,1,2,1,2,1,2,2,2,5,1,1,1,1,1,3,2,1,1,1,2,1,3,2,3,1,1,2,3,3,3,1,0,,223,86,41,4
1,230,865,2,7,3,3,2,3,5,2,3,1,1,1,2,3,2,2,2,2,1,2,2,2,2,2,1,1,1,1,4,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,5,2,1,1,2,2,4,1,1,1,2,2,2,3,2,2,2,1,1,1,2,1,2,2,,223,86,51,10
1,230,866,2,7,3,3,1,3,5,2,3,5,1,1,2,3,2,4,2,3,1,4,2,1,2,2,1,2,1,2,3,2,1,1,5,2,1,2,2,2,2,1,1,1,2,2,1,2,5,1,4,1,1,2,2,2,1,1,2,3,1,3,3,4,5,1,2,5,0,1,2,0,,223,86,61,10
1,230,867,2,9,4,1,2,2,2,1,4,1,1,3,2,3,2,2,2,3,1,2,2,2,2,2,1,1,1,1,4,2,1,4,5,2,2,1,2,2,1,1,2,1,2,1,2,2,5,2,4,1,2,2,1,2,3,2,5,2,3,2,1,3,5,3,0,5,0,1,2,2,,223,86,71,10
1,230,868,2,10,5,1,2,4,7,1,4,2,1,2,2,3,2,3,2,2,1,2,2,1,2,2,1,1,1,1,4,2,1,3,2,2,2,1,2,1,1,1,1,2,2,2,2,2,5,1,2,1,2,1,2,2,3,2,2,2,1,2,2,3,2,3,1,3,2,1,2,2,,223,86,81,13
1,230,869,5,10,4,1,1,2,3,2,4,5,1,1,2,3,1,2,1,2,1,3,2,1,0,2,1,1,1,2,4,1,2,3,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,5,4,1,1,1,3,1,3,3,5,2,2,2,2,3,1,1,2,3,2,1,1,2,,223,86,91,12
1,230,870,2,11,3,4,2,3,7,1,2,1,1,2,2,3,2,3,2,2,1,3,2,2,2,2,1,1,1,1,4,2,1,3,3,2,1,2,2,2,1,1,2,1,1,2,2,2,5,2,2,1,2,1,3,1,1,1,5,2,2,2,2,3,1,0,0,0,0,0,1,2,,223,87,1,11
1,230,871,2,3,3,3,1,2,5,2,4,1,1,1,2,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,2,1,3,2,2,1,1,1,2,1,2,1,2,2,2,2,2,5,1,1,1,1,3,2,1,1,1,3,2,3,1,1,1,1,1,1,2,2,1,1,2,,223,87,11,12
1,230,872,1,5,3,1,1,2,2,1,2,2,1,1,2,3,2,2,1,2,1,2,2,0,2,2,1,1,2,2,2,3,2,3,2,2,1,2,2,2,2,1,2,1,2,1,2,2,4,5,4,1,1,1,2,2,0,3,5,1,2,1,2,3,2,3,2,3,2,1,1,0,,223,87,21,14
1,230,873,2,5,4,1,2,2,3,1,3,2,1,1,2,3,2,3,2,2,1,2,2,2,2,2,1,1,1,1,4,2,2,2,5,2,1,2,2,1,1,1,2,1,2,2,2,2,5,5,4,1,1,2,3,1,1,3,5,2,1,2,2,2,2,1,1,1,1,1,1,2,,223,87,31,13
1,230,874,3,10,3,6,1,3,3,3,1,1,1,1,2,3,1,2,1,2,1,2,2,2,2,1,1,2,1,2,4,3,2,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,3,5,4,1,1,1,3,2,1,1,1,2,2,3,2,3,2,1,1,3,2,1,1,2,,223,87,41,13
1,230,875,1,3,4,1,1,1,7,1,4,1,1,1,2,3,1,1,1,2,1,2,2,1,2,2,1,1,1,1,4,2,1,3,2,2,2,2,2,2,1,1,1,1,2,2,1,2,5,1,1,1,1,3,0,1,3,2,5,2,2,2,2,3,2,1,2,1,2,1,1,2,,223,87,51,11
1,230,876,1,9,4,3,1,5,7,2,1,4,1,1,2,3,2,4,3,3,1,2,4,2,2,1,1,1,1,1,4,2,1,3,2,2,1,2,2,1,1,1,1,2,2,2,2,2,5,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,,223,87,60,42
1,230,877,2,4,4,3,2,5,3,2,2,2,1,1,2,3,2,2,1,2,1,3,2,2,2,1,1,1,2,1,4,1,2,2,3,2,1,2,1,1,1,2,2,1,2,2,2,2,5,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,,223,87,70,43
1,230,878,2,5,4,3,2,4,3,2,4,2,1,1,2,3,2,2,1,3,1,3,2,1,2,2,1,1,1,2,2,2,2,3,3,2,1,2,2,1,1,2,1,1,2,2,2,2,5,2,4,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,3,3,1,1,2,,223,87,80,42
1,230,879,3,9,2,1,2,3,3,1,2,2,1,1,2,3,2,2,2,3,1,4,3,1,2,2,1,2,2,2,4,1,2,3,2,2,1,2,2,2,1,1,2,1,2,2,2,2,4,2,3,2,3,1,1,2,1,2,5,2,1,3,2,3,2,1,1,3,3,1,2,2,,223,87,90,40
1,230,880,3,10,4,6,1,3,7,1,4,2,1,1,2,3,2,3,2,3,1,2,2,2,2,2,1,1,2,2,4,1,2,3,2,2,1,2,2,1,1,1,2,1,2,2,2,2,5,2,1,1,3,1,1,3,3,2,1,1,1,0,1,3,3,0,2,3,3,3,2,0,,223,88,0,43
1,230,881,3,7,5,6,1,4,7,1,4,2,1,2,2,3,3,4,3,4,1,1,0,1,2,2,1,1,2,1,4,2,1,2,3,2,1,1,2,2,2,1,2,1,2,1,2,2,5,2,1,1,3,1,1,3,3,2,5,2,1,3,1,2,3,1,1,1,2,1,1,2,,223,88,10,41
1,230,882,3,9,4,5,1,3,4,2,3,2,1,1,2,3,2,2,2,2,1,3,2,2,2,2,1,1,1,2,2,2,1,3,2,2,1,2,2,2,1,1,2,1,2,1,2,2,5,2,1,1,1,2,4,2,1,1,1,2,2,3,2,2,2,1,1,1,2,1,1,2,,223,88,20,43
1,230,883,2,6,4,5,3,2,7,2,3,3,1,1,2,3,1,3,2,1,1,2,4,2,2,2,1,2,1,1,4,1,2,2,5,2,1,2,2,2,1,2,2,2,2,2,2,2,2,5,4,1,3,2,3,2,1,1,5,3,2,1,2,1,2,2,1,2,2,2,2,2,,223,88,30,31
1,230,884,2,9,2,5,3,5,9,2,2,4,1,1,2,3,2,5,3,4,1,4,3,1,1,2,2,2,1,2,4,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,5,3,1,2,1,1,3,3,2,5,2,2,2,2,3,5,2,0,1,2,1,3,1,,223,88,40,33
1,230,885,2,11,3,6,4,4,5,2,3,4,1,1,2,3,2,4,3,4,1,4,4,1,2,2,1,1,1,1,4,2,1,1,3,2,1,2,2,2,2,1,2,1,2,1,1,2,5,5,4,1,3,1,1,3,3,2,5,1,1,3,3,4,5,3,1,5,0,3,0,1,,223,88,50,33
1,230,886,2,11,3,5,3,3,7,2,3,4,1,1,2,3,3,5,3,4,0,4,4,2,2,1,2,2,2,2,4,3,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,1,0,5,4,2,3,3,1,3,1,2,1,3,0,0,0,4,5,3,0,4,3,3,3,0,,223,88,60,33
1,230,887,1,5,3,3,4,5,8,2,4,4,1,1,2,3,4,5,3,4,1,4,4,2,2,2,1,1,1,1,0,1,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,1,0,5,4,1,4,2,1,4,3,4,5,3,1,3,3,5,5,3,1,4,3,1,4,0,,223,88,70,32
1,230,888,1,5,4,4,4,5,5,2,2,3,1,1,2,3,2,4,2,4,1,3,4,1,2,2,1,1,1,2,0,2,1,5,3,2,2,1,1,1,2,2,2,1,2,1,2,2,5,2,3,1,3,1,2,2,1,1,5,2,2,2,2,2,2,3,2,3,2,1,2,0,,223,88,80,32
1,230,889,1,10,3,1,3,3,2,1,3,2,1,1,2,3,3,3,3,4,1,1,2,2,2,2,1,1,1,1,4,3,2,3,3,2,1,1,2,2,1,1,2,2,1,2,2,2,5,5,4,2,1,1,5,5,3,4,5,3,1,0,0,5,5,3,1,0,0,1,0,0,,223,88,90,30
1,230,890,3,10,3,4,2,1,5,1,4,3,1,1,2,3,1,1,2,1,1,2,2,1,2,2,1,2,1,1,4,1,2,3,3,2,1,2,2,1,1,2,2,1,1,2,2,2,5,2,1,1,2,1,4,1,1,1,1,2,2,3,1,1,1,2,2,2,2,2,1,0,,223,89,0,32
1,230,891,3,10,3,6,4,5,8,2,4,4,1,1,2,3,4,5,3,1,1,3,4,2,2,2,1,1,1,2,4,2,2,1,3,2,1,1,2,1,1,1,2,2,2,2,2,2,5,3,1,1,4,1,3,2,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,0,,223,89,10,31
1,230,892,3,11,5,1,5,3,10,1,3,3,1,1,2,3,2,4,2,1,1,3,1,1,2,2,1,2,1,1,0,2,1,2,3,2,2,1,2,2,1,2,1,1,1,2,2,2,5,2,2,1,1,3,1,2,3,2,5,2,1,2,1,3,1,1,1,5,0,1,1,2,,223,89,20,32
1,230,893,3,7,2,6,3,4,7,2,4,3,1,1,2,3,2,5,3,1,2,4,4,2,1,2,1,1,1,1,4,2,1,3,5,2,1,2,2,2,1,2,1,2,2,2,2,2,3,3,1,1,2,1,4,1,1,1,5,1,2,2,2,2,2,0,0,1,2,2,2,2,,223,89,30,30
1,230,894,3,9,4,1,3,2,10,1,2,3,1,1,2,3,2,4,2,1,1,2,2,2,2,2,1,1,1,1,0,2,1,4,4,2,1,1,2,2,1,2,1,1,2,2,2,2,5,2,1,2,3,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,2,0,,223,89,40,30
1,230,895,2,9,5,6,3,3,5,2,3,2,1,1,2,3,2,2,2,3,1,2,2,2,2,2,1,1,1,1,4,2,1,3,3,2,1,2,2,2,1,1,1,1,2,2,2,2,5,2,1,1,1,3,3,1,1,1,1,2,2,1,3,1,1,1,1,2,2,1,2,2,,223,89,50,82
1,230,896,2,9,2,4,3,2,3,2,3,1,1,1,2,3,2,2,1,2,1,2,2,2,2,2,1,1,2,3,4,2,1,3,2,1,1,2,2,2,1,2,2,1,2,2,1,2,5,2,2,1,1,1,4,1,2,2,2,1,1,2,2,1,1,1,2,2,1,3,2,2,,223,89,60,84
1,230,897,2,9,2,3,3,5,3,1,3,2,1,1,2,3,2,2,2,3,1,3,2,1,2,1,1,2,2,1,4,2,1,3,2,2,1,2,2,1,1,1,2,1,2,2,2,2,5,1,0,0,0,2,3,2,1,2,1,2,2,2,2,3,1,1,1,5,0,0,1,2,,223,89,70,80
1,230,898,2,8,1,4,1,5,3,2,4,2,1,1,2,3,2,4,0,0,0,0,0,2,2,2,1,1,0,2,3,1,2,2,3,2,1,2,2,1,1,2,1,1,2,2,2,2,5,2,2,1,3,1,2,2,1,2,1,1,1,2,2,3,2,3,1,3,3,3,0,1,,223,89,80,83
1,230,899,2,10,2,3,3,3,3,2,1,2,1,1,2,3,3,3,2,3,1,3,2,2,2,2,1,1,1,2,0,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,5,5,4,1,2,1,2,2,2,1,3,2,2,2,2,2,2,3,2,1,1,1,2,2,,223,89,90,83
1,230,900,4,0,4,4,2,2,6,1,2,1,1,1,2,3,2,3,1,2,1,1,2,1,2,2,1,1,0,2,4,2,1,2,3,1,1,1,2,2,2,1,2,2,2,2,1,2,5,2,3,1,3,1,2,2,1,2,1,2,2,2,1,3,5,3,0,3,2,1,2,0,,223,90,0,84
1,230,901,2,11,2,6,2,3,2,1,4,4,1,1,2,3,2,5,3,3,1,4,4,1,1,2,1,1,1,2,4,1,2,3,2,1,1,2,2,2,1,1,2,1,2,2,2,2,5,5,4,1,2,2,3,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,2,,223,90,10,81
1,230,902,1,8,1,4,2,3,5,1,4,1,0,1,2,3,1,2,1,1,1,4,3,1,1,1,1,1,1,3,1,1,2,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,0,1,1,2,2,2,1,1,2,3,3,2,1,3,1,3,1,2,1,3,2,2,,223,90,20,82
1,230,903,1,2,3,3,1,1,3,2,4,5,1,1,2,3,2,5,3,4,1,4,4,2,2,1,1,1,2,3,3,1,2,5,5,2,1,2,2,2,1,2,2,2,2,2,2,2,2,5,4,1,3,1,5,5,3,4,5,0,0,0,0,5,5,3,0,0,0,0,0,0,,223,90,30,80
1,230,904,1,10,3,6,4,4,7,1,2,3,1,1,2,3,3,4,3,3,2,4,4,2,1,1,1,2,1,1,4,1,2,2,3,2,1,2,2,1,1,2,2,1,1,2,2,2,5,2,1,1,1,1,4,1,1,1,1,2,2,3,3,3,5,3,1,3,2,1,1,2,,223,90,40,84
1,230,905,2,5,4,3,3,3,3,3,2,4,1,1,2,3,2,3,3,3,1,4,4,1,2,1,1,2,2,1,4,1,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,5,4,1,4,1,5,5,3,4,5,0,0,0,0,0,5,3,1,5,0,3,2,0,,223,90,50,83
1,230,906,3,10,3,6,2,3,7,2,4,3,1,1,2,3,2,4,2,3,1,4,1,2,2,2,1,1,1,2,4,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,5,1,1,1,2,2,4,2,1,1,1,2,2,0,0,0,0,1,2,2,2,1,1,2,,223,90,60,81
1,230,907,1,3,4,1,1,4,3,1,4,3,1,1,2,3,2,4,2,3,1,1,2,2,2,2,1,1,1,1,4,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,2,5,2,1,1,2,2,5,5,3,4,5,2,2,2,2,5,5,1,1,0,0,1,0,0,,223,90,70,83
1,230,908,3,9,4,3,1,2,7,2,4,1,1,1,2,3,2,2,1,2,1,4,2,1,1,2,1,1,1,2,0,1,2,3,2,2,1,2,2,2,1,2,1,1,1,2,2,2,5,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,,223,90,80,80
