CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.52B.,Q.52C.,V.54.,V.55.
1,192,23,1,1,7,2,1,1,1,2,3,1,2,1,3,2,2,2,3,4,4,2,1,2,2,3,2,2,5,1,5,2,1,1,1,2,2,1,1,1,2,3,3,2,4,2,3,2,1,1,2,1,0,0,0,0,2,9,2
1,192,24,1,1,23,4,1,2,1,2,3,1,2,1,1,2,2,2,2,1,1,1,2,2,3,3,1,4,5,2,5,2,1,2,1,1,2,2,2,2,2,3,4,1,3,3,2,1,1,3,2,1,0,0,0,0,2,9,2
1,192,25,1,1,11,2,1,1,1,1,2,1,0,1,1,2,2,2,2,2,2,2,0,2,2,1,3,1,3,2,3,2,1,1,2,1,1,1,1,2,2,1,1,2,2,3,3,1,1,3,3,1,0,0,0,0,2,10,2
1,192,26,1,1,29,5,4,2,1,1,2,1,2,2,1,2,2,2,2,4,4,4,2,2,3,1,1,2,3,2,3,1,1,2,2,1,1,1,1,1,2,1,2,2,4,4,1,3,1,1,2,2,0,0,0,0,2,9,2
1,192,27,1,1,37,6,6,2,1,2,4,2,2,1,3,2,2,2,2,4,3,2,2,2,3,2,2,3,5,2,5,2,1,2,2,2,1,1,1,1,2,1,2,1,4,4,2,1,1,1,2,1,1,0,0,0,2,10,2
1,192,28,1,3,11,6,1,3,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,1,0,1,1,1,1,1,1,1,0,0,2,10,2
1,192,29,1,1,8,2,1,1,1,1,3,1,1,1,1,2,2,2,0,1,1,3,1,2,2,1,1,3,5,4,5,2,1,2,1,4,1,3,2,2,2,2,2,2,3,4,3,1,1,2,2,1,2,5,1,1,2,10,2
1,192,30,1,1,7,2,1,3,1,1,2,1,0,1,1,1,2,2,1,3,1,1,2,2,2,2,2,4,3,3,3,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,3,1,1,2,3,1,2,5,1,1,2,10,2
1,192,31,1,1,18,4,2,2,1,2,2,2,2,1,1,1,2,2,2,3,2,2,2,2,3,2,2,2,3,4,3,2,1,1,1,2,2,1,1,1,2,1,2,2,3,3,1,2,1,1,3,1,2,0,2,1,2,10,2
1,192,32,1,1,10,2,1,2,1,1,2,1,1,1,1,2,2,2,2,4,4,2,2,1,2,3,3,1,3,4,3,0,1,2,2,1,1,2,1,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,10,2
1,192,33,1,1,10,2,1,2,1,1,2,1,1,1,1,2,3,1,2,2,2,1,2,1,1,2,3,1,3,3,3,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,3,1,2,5,1,2,2,10,2
1,192,34,1,1,41,6,6,2,2,2,3,2,2,2,1,2,2,2,2,4,4,4,2,2,3,1,2,5,5,3,2,2,1,2,2,1,2,2,1,2,2,1,2,1,3,3,2,1,1,1,2,1,0,0,0,0,3,10,2
1,192,35,1,1,10,2,1,1,1,1,2,2,1,2,1,2,3,2,0,4,4,4,2,1,1,3,3,2,3,3,5,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,3,1,2,1,0,1,3,10,2
1,192,36,1,1,24,5,4,3,2,4,2,1,1,1,0,0,0,0,1,3,1,1,1,0,0,0,0,1,1,3,5,0,0,0,0,1,2,1,1,1,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,2
1,192,37,1,2,7,5,6,3,2,2,2,2,1,1,1,1,2,0,2,3,2,2,2,1,2,3,3,1,5,4,5,0,1,2,2,1,1,1,1,1,3,1,1,2,2,2,3,1,1,1,1,1,1,1,0,0,2,8,2
1,192,38,1,1,46,6,6,2,3,3,4,1,1,2,3,1,2,0,4,4,4,4,1,1,3,2,3,5,5,2,5,0,2,3,3,1,1,2,1,1,2,3,4,1,4,4,3,1,1,1,1,1,2,5,0,0,4,7,2
1,192,39,1,1,27,5,3,2,0,0,3,1,2,0,1,2,2,0,4,4,4,4,1,1,3,2,2,0,0,3,4,2,0,2,1,1,1,1,1,0,3,2,2,1,3,3,0,1,1,1,1,1,2,0,0,2,2,6,2
1,192,40,1,1,41,5,6,2,2,2,5,2,3,3,0,0,0,0,4,4,2,2,2,2,3,1,2,3,2,4,3,0,1,3,3,3,1,3,2,2,1,2,2,2,3,5,2,1,1,2,3,3,1,1,2,1,1,7,2
1,192,41,1,0,0,0,0,0,0,2,3,2,2,1,0,0,0,0,2,2,1,1,1,0,0,0,0,2,3,2,3,0,0,0,0,2,2,1,1,0,0,0,0,0,0,3,1,1,2,1,2,0,0,0,0,0,2,6,2
1,192,42,1,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,1,1,1,2,1,0,0,0,0,4,3,2,4,0,0,0,0,1,1,2,1,1,0,0,0,0,0,3,2,2,1,2,2,0,0,0,0,0,2,6,2
1,192,43,1,1,43,6,6,3,0,4,5,0,0,3,2,1,2,0,4,4,4,2,0,0,0,0,0,0,5,2,5,0,3,0,0,1,1,2,1,0,2,4,4,0,3,4,2,1,3,1,0,0,2,5,0,0,0,7,2
1,192,44,1,2,8,6,3,3,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,3,3,1,3,2,4,1,1,2,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2
1,192,45,1,1,23,4,3,3,1,1,2,1,1,1,1,2,2,1,2,4,1,3,2,2,2,3,2,1,3,2,2,2,1,2,2,1,2,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,2,5,2,1,2,6,2
1,192,46,1,2,4,5,3,2,1,1,2,1,2,2,1,2,3,1,2,2,2,3,2,2,2,2,3,2,3,2,4,1,1,2,2,2,2,2,1,1,1,2,2,2,3,2,1,1,1,1,1,1,1,1,2,1,1,6,2
1,192,47,1,1,32,5,3,2,1,1,2,1,1,2,1,2,3,1,1,4,4,3,1,2,3,3,3,2,3,2,4,2,1,2,2,1,1,1,1,1,2,1,4,1,3,3,1,1,1,1,1,1,1,1,2,2,2,8,2
1,192,48,1,1,30,5,3,2,1,3,1,1,1,1,1,2,2,1,3,4,4,4,1,2,3,3,2,1,3,3,5,1,1,2,2,1,1,1,1,1,3,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,6,2
1,192,49,1,1,20,4,3,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,3,2,2,2,3,2,4,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,6,2
1,192,50,1,1,48,6,6,2,2,2,4,3,2,2,2,1,2,1,3,4,2,3,2,2,3,2,2,2,3,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,7,2
1,192,51,1,1,18,3,3,3,1,2,1,1,2,1,2,2,1,1,3,4,4,4,1,2,3,2,2,1,3,3,3,1,1,3,3,1,2,2,2,2,2,1,1,1,2,3,2,1,1,1,1,1,2,2,2,1,1,5,2
1,192,52,1,1,46,6,6,2,2,2,2,2,2,2,1,2,2,1,2,4,4,3,1,2,3,2,3,5,5,2,4,1,1,3,3,1,1,1,1,1,2,1,2,2,3,3,2,1,1,1,1,1,1,1,2,1,2,7,2
1,192,53,1,1,17,4,3,1,2,3,2,1,2,2,1,1,2,1,1,3,1,1,1,2,3,2,2,2,5,2,4,2,1,1,1,1,1,1,1,1,1,1,2,1,4,3,2,1,1,1,1,1,1,1,2,1,1,6,2
1,192,54,1,2,3,6,6,3,1,1,2,1,2,1,1,2,2,1,2,2,2,3,1,2,3,2,3,2,3,2,1,1,1,1,2,1,1,2,1,1,2,1,4,2,4,3,2,1,1,1,1,1,2,3,2,1,3,7,2
1,192,55,1,2,4,6,6,3,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,3,2,2,1,3,2,3,1,1,3,3,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,1,7,2
1,192,56,1,2,3,6,6,3,1,1,1,1,1,1,1,1,2,1,0,2,2,4,1,1,2,3,3,1,3,3,0,1,1,2,3,1,1,1,1,1,2,1,2,2,2,2,3,1,1,1,1,1,1,2,1,2,2,7,2
1,192,57,1,2,4,5,4,2,2,3,3,2,2,1,2,2,2,1,0,4,4,3,2,1,2,3,3,1,3,2,4,1,1,2,3,1,1,1,1,1,3,1,2,2,3,2,3,1,1,1,1,1,1,2,2,1,1,6,2
1,192,58,1,1,31,5,4,3,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,3,2,2,1,3,3,4,1,1,2,2,2,1,1,1,1,2,1,2,1,2,3,3,1,1,1,1,1,1,1,2,1,1,3,2
1,192,59,1,1,20,4,3,3,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,2,3,3,1,3,2,4,2,1,2,2,1,1,1,1,1,3,1,2,1,2,0,1,2,1,1,1,1,1,1,2,1,1,1,2
1,192,60,1,1,29,5,3,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,3,3,2,3,2,4,1,1,2,2,1,2,2,1,1,2,1,2,2,3,2,2,1,2,1,1,1,1,2,1,1,1,6,2
1,192,61,1,1,53,6,7,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,3,2,3,1,1,2,3,1,2,3,2,2,2,1,2,2,2,1,2,1,2,3,2,1,2,1,1,1,1,2,2,1,1,1,2
1,192,62,1,1,24,5,1,2,1,3,3,1,2,1,1,3,2,1,0,4,3,1,1,2,3,2,2,5,3,2,5,1,1,2,2,2,4,2,0,2,2,0,0,1,2,0,2,1,2,1,1,1,1,1,2,1,2,1,2
1,192,63,1,2,4,6,6,3,2,2,2,2,1,2,1,2,2,1,2,2,2,3,1,1,2,2,3,2,3,2,4,1,1,2,2,1,2,1,1,1,2,1,2,1,4,4,3,1,2,1,1,1,2,5,1,1,1,6,2
1,192,64,1,1,35,5,4,3,1,1,2,2,3,2,1,1,2,1,2,2,2,3,1,2,2,3,3,2,3,2,5,1,1,3,3,1,4,3,2,2,2,2,3,1,5,5,2,1,1,2,1,1,2,5,1,2,1,6,2
1,192,65,1,2,3,6,6,3,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,2,2,2,3,2,3,2,4,1,3,3,2,1,1,1,1,1,2,1,2,1,2,2,3,1,1,2,1,1,1,2,2,1,2,7,2
1,192,66,1,2,5,5,3,2,1,1,2,2,2,1,1,2,2,1,1,2,2,4,2,2,3,1,2,1,3,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,4,4,2,1,1,3,1,1,2,5,1,1,1,6,2
1,192,67,1,1,7,2,1,1,1,2,2,1,1,1,1,2,3,1,2,4,3,1,2,2,3,3,3,4,5,2,5,2,1,2,2,2,1,2,1,1,2,3,2,3,3,2,1,1,1,1,2,1,1,1,1,1,1,8,2
1,192,68,1,3,8,6,6,3,1,0,2,1,1,1,1,2,2,1,2,1,1,1,1,2,0,2,3,1,3,2,4,1,1,2,2,2,1,1,1,1,2,1,2,0,3,2,1,1,1,1,2,1,2,5,2,2,0,7,2
1,192,69,1,1,33,5,3,2,1,2,3,1,2,1,2,2,2,1,4,3,3,2,1,2,3,1,2,2,3,3,4,1,1,2,2,1,1,1,1,1,1,1,2,1,4,4,2,1,1,1,2,1,2,5,1,1,2,8,2
1,192,70,1,1,36,6,7,3,1,2,2,2,2,2,1,2,2,1,2,3,1,1,1,2,3,2,2,1,3,2,4,1,1,2,2,2,1,1,1,1,3,1,2,1,2,3,3,1,1,1,2,1,2,1,2,1,1,2,2
1,192,71,1,2,1,6,6,3,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,3,1,3,3,4,1,1,2,2,1,1,1,1,1,3,1,1,2,2,2,1,2,1,1,2,1,2,5,1,1,2,5,2
1,192,72,1,2,7,6,6,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,3,2,3,1,3,2,4,1,1,2,3,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,2,1,2,0,0,1,2,5,2
1,192,73,1,2,11,6,4,3,1,1,1,1,1,1,1,1,3,1,2,2,1,3,2,2,3,3,2,5,3,2,4,1,1,2,2,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,2
1,192,74,1,1,29,5,3,2,2,2,2,1,2,2,3,2,3,1,2,3,2,2,1,2,3,3,2,5,3,2,4,2,1,2,2,1,1,1,1,1,2,2,2,2,3,3,3,1,2,1,2,1,2,5,1,1,2,3,2
1,192,75,1,3,4,6,6,3,0,1,2,2,1,1,1,2,2,1,2,2,2,3,2,2,3,2,3,1,1,4,0,1,1,1,2,1,1,1,1,1,2,1,2,0,3,2,1,1,1,2,2,1,2,4,0,2,2,7,2
1,192,76,1,1,29,5,4,2,1,1,2,1,2,1,1,2,0,1,2,2,2,2,1,2,2,2,3,1,3,3,4,1,1,2,2,2,2,1,2,2,2,2,3,2,3,3,3,1,1,2,2,1,1,2,1,1,1,6,2
1,192,77,1,1,45,6,3,2,2,3,5,2,3,2,2,1,3,1,0,4,4,3,1,2,2,1,2,5,3,2,3,1,1,2,2,1,1,1,1,1,3,2,2,2,2,4,2,1,2,2,2,1,1,3,2,1,2,7,2
1,192,78,1,2,8,6,6,3,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,3,2,2,3,3,2,1,1,2,3,2,1,1,1,1,3,1,2,2,2,2,3,1,2,2,2,1,1,1,1,1,2,7,2
1,192,79,1,3,5,6,7,3,1,2,2,1,2,1,1,1,3,1,2,2,2,3,2,2,1,2,3,1,3,2,4,1,1,2,2,1,2,1,1,1,2,1,2,2,3,2,3,1,2,2,2,1,2,1,2,2,1,3,2
1,192,80,1,2,8,4,3,3,1,1,2,1,2,2,1,2,2,1,1,1,1,3,2,1,2,3,3,4,5,2,5,1,2,3,3,1,1,1,1,1,2,1,2,1,3,1,2,2,2,2,2,1,1,1,2,1,1,3,2
1,192,81,1,3,4,5,6,3,1,1,2,1,2,2,1,1,3,1,1,2,2,1,2,1,3,2,3,2,3,4,5,1,1,1,2,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,3,1,2,5,1,1,3,6,2
1,192,82,1,2,3,5,4,3,1,2,2,1,2,1,3,2,2,1,1,4,3,2,1,2,3,2,3,2,3,2,4,1,1,2,3,1,1,1,1,1,1,1,2,2,3,2,3,1,1,1,3,1,2,5,1,1,2,6,2
1,192,83,1,2,6,6,7,3,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,3,2,2,3,3,2,1,2,2,1,1,1,1,1,1,1,2,1,3,3,2,2,1,1,3,1,2,5,2,1,2,3,2
1,192,84,1,1,22,4,3,1,1,2,4,1,1,1,1,2,2,1,1,4,4,1,2,2,3,2,2,2,5,1,5,2,1,1,2,1,1,1,1,2,1,3,4,3,4,3,2,2,1,1,3,1,2,1,1,1,1,1,2
1,192,85,1,1,42,6,6,3,2,2,3,2,2,2,1,2,2,1,0,3,2,2,1,2,2,1,3,4,3,2,5,1,1,3,3,2,2,3,2,2,2,2,2,2,3,4,3,3,1,1,3,1,1,2,2,1,1,3,2
1,192,86,1,2,8,6,6,2,2,2,3,2,2,1,1,1,3,1,2,2,2,2,1,2,1,2,3,1,3,2,4,1,1,2,3,1,3,2,1,1,2,1,1,2,3,2,1,1,2,1,3,1,2,4,2,2,3,8,2
1,192,87,1,2,4,5,3,2,2,2,3,3,2,1,1,2,2,1,3,3,4,2,1,2,2,2,3,1,3,2,3,1,1,2,2,2,1,1,2,1,1,1,1,2,2,4,3,1,2,1,3,1,2,5,2,1,2,4,2
1,192,88,1,1,35,5,3,2,1,2,2,1,2,1,1,1,3,1,2,3,3,3,2,2,3,2,2,1,3,3,4,1,1,2,2,1,1,1,1,1,2,1,2,2,2,4,3,1,2,1,3,1,2,3,1,1,2,4,2
1,192,89,1,2,3,6,6,2,2,2,4,2,2,1,3,1,3,1,1,4,4,2,1,2,2,3,3,5,4,2,5,1,1,2,3,1,1,1,1,1,3,1,2,2,2,3,3,1,3,3,3,1,2,5,2,2,3,8,2
1,192,90,1,1,48,6,6,3,1,1,5,1,0,3,1,2,2,1,1,2,2,3,2,2,3,2,3,3,3,2,3,1,2,3,3,1,1,1,1,1,2,1,2,1,2,3,2,1,1,1,1,2,2,5,1,2,2,7,2
1,192,91,1,2,18,6,7,3,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,2,3,2,3,2,5,1,1,2,3,1,0,1,0,1,0,1,3,2,3,4,0,1,1,1,1,2,1,1,0,1,1,4,2
1,192,92,1,1,35,5,6,3,2,3,3,2,2,1,2,1,1,1,4,4,4,1,1,2,3,1,2,2,1,2,3,1,2,3,3,2,2,1,1,1,3,1,2,1,3,2,3,1,2,1,1,2,2,4,1,2,2,7,2
1,192,93,1,1,7,2,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,2,1,3,3,3,2,2,3,2,1,3,3,2,2,1,3,2,2,1,2,3,1,4,2,1,1,2,2,1,2,1,1,2,2,1,8,2
1,192,94,1,2,7,6,6,2,2,2,4,1,2,3,3,2,2,1,2,1,1,1,1,2,3,2,1,5,3,2,4,1,1,3,2,2,2,1,1,2,2,1,0,2,3,3,3,1,1,3,1,2,2,5,2,1,2,7,2
1,192,95,1,1,45,6,6,3,1,2,4,2,2,2,1,3,2,1,3,2,1,1,1,2,2,1,3,2,3,2,5,1,1,2,2,1,1,2,1,1,2,2,2,1,4,4,2,1,2,3,1,2,2,2,2,1,1,7,2
1,192,96,1,1,28,5,4,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,1,2,1,2,2,5,3,2,4,0,1,2,2,2,2,1,1,2,2,1,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,4,2
1,192,97,1,1,48,6,6,3,1,2,3,1,3,3,3,1,2,1,2,2,2,2,1,2,3,2,3,2,3,3,5,1,1,3,3,2,2,1,2,2,2,2,4,1,3,5,3,1,2,2,2,2,2,3,2,1,2,7,2
1,192,98,1,3,8,6,6,2,1,1,2,1,1,1,1,2,2,2,2,3,2,2,1,2,3,3,2,2,3,2,4,1,1,2,1,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,7,2
1,192,99,1,1,42,6,6,2,2,2,4,2,2,1,3,2,2,2,2,3,3,2,1,2,3,3,3,2,3,2,3,1,2,3,3,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,7,2
1,192,100,1,0,0,0,0,0,0,1,2,1,1,1,1,2,2,2,2,3,3,1,1,2,2,3,3,2,3,2,3,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2
1,192,101,1,3,8,6,7,3,2,2,2,2,1,1,1,1,2,2,2,4,4,3,1,1,2,2,3,1,3,2,5,1,1,2,3,1,1,1,1,1,3,1,2,0,2,2,1,1,1,1,1,1,2,5,0,0,3,2,2
1,192,102,1,2,18,5,6,3,1,2,3,1,2,1,1,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,4,1,1,2,3,1,1,1,1,1,3,1,2,2,3,2,1,1,1,1,1,1,2,3,2,2,2,7,2
1,192,103,1,2,13,6,6,2,1,2,3,2,2,1,1,2,2,2,2,3,3,2,2,2,2,2,3,2,3,4,3,1,1,2,2,2,2,1,1,1,3,1,3,2,4,2,1,1,1,1,1,1,1,2,2,1,1,7,2
1,192,104,1,2,8,6,6,3,2,2,4,1,2,2,1,2,2,2,2,2,1,1,2,1,3,2,0,2,3,2,3,1,1,2,2,1,2,1,1,1,2,1,2,1,3,3,1,1,1,1,1,1,2,5,2,2,2,7,2
1,192,105,1,1,40,6,6,2,1,2,2,2,1,1,1,2,2,2,1,3,3,4,2,2,3,1,0,5,3,4,3,1,1,1,2,1,1,1,1,1,2,0,2,1,3,3,1,1,1,1,1,1,2,5,1,1,2,8,2
1,192,106,1,2,5,6,6,3,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,3,1,3,1,5,3,5,1,1,2,2,1,1,1,1,1,2,1,2,2,2,4,1,1,1,1,1,1,2,0,1,2,3,4,2
1,192,107,1,1,7,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,3,2,5,3,2,3,2,1,2,2,1,1,1,1,1,3,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2
1,192,108,1,2,3,6,6,3,2,2,4,2,2,1,3,2,2,2,2,3,2,1,1,2,2,2,3,5,3,3,5,1,1,2,3,1,1,1,1,1,2,1,2,1,3,2,2,1,1,1,1,1,2,5,2,1,2,7,2
1,192,109,1,1,27,5,4,3,1,3,4,1,1,1,1,2,2,2,4,4,3,4,1,2,1,3,3,5,0,3,2,1,3,2,2,1,1,1,1,1,2,1,3,1,3,2,2,1,1,1,1,1,2,5,2,1,1,2,2
1,192,110,1,1,21,4,3,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,5,3,3,2,1,1,2,2,2,2,1,1,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,2,1,1,1,2
