COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98
1,116,26,2,2,2,3,4,1,3,3,3,4,3,1,2,2,2,2,2,1,5,3,5,2,1,1,1,1,2,2,1,2,2,3,2,1,2,1,6,2,1,4,3,4,3,2,4,2,2,4,4,2,2,1,2,2,2,1,4,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6002,6,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,21
1,116,27,5,2,1,4,4,3,2,2,4,3,2,3,2,1,2,2,2,1,3,3,2,2,1,1,3,1,1,2,1,2,3,2,2,1,2,2,6,2,3,2,2,4,2,2,2,6,2,4,2,4,3,1,3,3,2,4,2,2,0,9,9,9,9,9,9,9,9,9,9,9,,211,6002,7,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,81
1,116,28,4,2,1,4,4,3,3,2,1,2,1,1,2,1,2,2,2,1,3,1,5,1,1,1,3,1,1,1,1,2,3,2,2,4,1,2,6,2,1,2,1,1,1,1,1,3,1,2,1,5,1,1,1,1,4,1,3,3,0,9,9,9,9,9,9,9,9,9,9,9,,211,6002,8,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,80
1,116,29,3,2,2,4,4,3,3,2,1,3,1,1,1,1,2,3,2,1,3,3,2,1,1,1,1,1,1,3,1,2,3,3,3,1,2,2,6,2,1,5,2,2,2,1,4,3,2,4,2,2,2,1,2,2,3,2,3,1,3,1,4,2,1,2,3,2,2,2,2,2,,211,6002,9,3,4,3,2,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,22,24
1,116,30,5,2,2,3,4,3,2,2,2,2,2,4,2,1,2,2,2,1,5,3,3,3,1,1,1,1,1,1,1,2,3,3,2,2,1,1,6,2,2,4,3,3,3,1,2,6,3,3,2,4,3,1,3,3,3,2,4,3,2,1,4,1,1,9,5,2,1,3,3,1,,211,6003,0,3,5,4,1,1,1,9,2,2,2,2,2,2,2,2,2,1,2,2,12,20
1,116,31,5,2,1,4,4,3,5,1,4,3,0,4,2,1,2,2,2,1,3,3,2,2,1,1,1,4,3,4,1,2,3,3,4,0,2,3,6,0,2,4,5,3,5,3,4,1,2,2,3,3,3,4,1,3,0,1,2,3,1,1,1,1,1,4,3,2,2,9,2,3,,211,6003,1,9,9,5,9,3,2,9,2,1,2,2,2,2,2,2,2,2,2,2,22,80
1,116,32,4,2,1,5,5,2,2,5,1,3,3,1,1,1,1,3,2,2,1,4,5,2,3,3,4,1,1,2,1,2,2,2,1,4,3,1,6,1,1,2,3,3,2,2,3,5,3,4,4,2,2,2,4,4,1,4,2,3,2,2,4,2,5,1,2,2,2,2,1,1,,211,6003,2,4,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,21,52
1,116,33,4,2,3,5,5,4,4,3,2,4,3,1,4,3,5,3,2,3,0,3,3,1,2,3,4,2,1,1,1,2,5,3,2,2,3,2,1,0,1,2,2,2,2,2,4,6,2,2,2,2,3,2,2,2,4,2,2,2,3,3,3,2,6,2,3,2,3,3,2,2,,211,6003,3,2,2,4,5,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,21,32
1,116,34,3,2,3,4,5,3,7,3,4,3,2,2,1,1,2,2,1,1,2,1,5,1,1,1,1,1,1,3,1,2,3,2,1,4,1,2,6,2,2,2,3,2,3,2,4,4,2,3,2,3,3,1,2,2,2,1,4,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6003,4,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,83
1,116,35,2,2,1,5,5,1,1,3,3,3,2,2,3,1,4,2,1,2,0,3,5,1,1,1,3,2,2,1,1,2,2,2,1,4,1,1,6,1,3,1,3,4,3,1,4,2,2,3,4,3,2,1,1,2,4,1,3,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6003,5,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,24
