CARD.,DECK.,BALLOT.,Q.1.,Q.2.,V.3.,Q.3A.,Q.3A..1,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19A.,Q.19B.,Q.21.,Q.22.,V.23.,V.24.
1,136,93,2,3,2,0,0,1,1,1,2,4,1,3,2,1,0,3,2,3,2,2,2,4,2,1,7,125
1,136,94,3,3,2,0,0,1,1,2,4,5,4,1,3,2,4,3,1,3,1,1,4,1,2,2,2,55
1,136,95,2,3,2,0,0,1,1,3,2,3,1,2,2,1,0,3,1,3,1,1,2,4,1,1,7,135
1,136,96,4,3,2,0,0,2,2,1,4,5,1,1,4,2,8,3,1,1,5,4,3,3,3,3,8,135
1,136,97,4,3,2,0,0,1,4,3,3,2,3,3,4,2,8,3,1,2,1,2,3,3,1,1,10,235
1,136,98,2,3,2,0,0,1,1,4,2,2,1,3,2,1,6,3,2,2,1,1,6,6,1,1,7,235
1,136,99,3,0,2,0,0,1,1,1,4,5,1,1,1,1,6,3,2,3,1,1,6,2,3,3,6,35
1,136,100,3,2,2,0,0,1,1,1,3,5,1,3,2,2,7,3,1,1,4,2,1,5,1,1,2,63
1,136,101,3,2,2,0,0,2,1,1,5,5,1,3,3,1,8,3,2,2,5,1,6,6,1,2,1,163
1,136,102,4,3,2,0,0,1,2,1,2,1,1,1,1,2,1,3,1,3,1,1,2,4,1,1,10,63
1,136,103,4,3,2,0,0,3,3,3,2,2,1,2,1,1,7,3,1,3,1,4,0,0,2,1,7,173
1,136,104,2,3,2,0,0,1,1,2,2,3,3,3,1,1,8,3,2,3,5,1,2,5,4,4,8,173
1,136,105,1,3,2,0,0,2,2,4,3,2,1,1,2,2,7,3,1,3,1,1,2,5,4,4,6,73
1,136,106,1,3,2,0,0,2,2,2,3,2,1,3,3,2,7,3,2,2,1,1,5,4,1,1,5,173
1,136,107,1,3,2,0,0,1,1,4,2,4,3,3,3,1,0,3,1,3,1,1,3,4,1,2,4,473
1,136,108,1,3,2,0,0,1,1,2,3,3,1,3,2,1,3,3,1,2,4,2,1,3,1,5,7,73
1,136,109,3,2,2,0,0,1,1,2,1,2,1,1,1,2,2,3,1,1,3,1,1,1,5,2,3,173
1,136,110,4,3,2,0,0,1,1,2,1,2,1,1,2,2,1,3,1,2,1,2,1,5,1,2,10,173
1,136,111,3,2,2,0,0,2,1,2,3,4,1,3,4,2,2,3,2,3,1,1,4,5,1,1,1,173
1,136,112,3,2,2,0,0,1,1,1,3,3,1,3,3,3,7,3,1,3,1,1,4,5,1,1,2,73
1,136,113,4,3,2,0,0,1,1,2,3,3,1,1,3,2,1,3,1,3,1,1,3,5,1,1,1,73
1,136,114,1,3,2,0,0,1,1,4,2,3,3,3,4,1,3,3,2,3,1,3,6,6,4,4,1,113
1,136,115,4,3,2,0,0,3,3,3,3,3,1,1,3,2,7,3,1,4,4,4,2,1,4,1,2,13
1,136,116,4,3,2,0,0,1,2,4,3,2,1,1,1,2,9,3,1,2,0,4,0,0,4,4,10,13
1,136,117,4,1,2,0,0,2,2,1,3,3,1,1,1,2,7,3,2,3,1,1,6,5,1,1,9,103
1,136,118,2,2,2,0,0,1,2,4,2,2,3,3,1,1,2,3,1,2,1,1,1,5,1,1,8,103
1,136,119,3,3,2,0,0,1,1,1,1,4,1,1,4,2,8,3,1,1,3,3,5,5,1,1,1,203
1,136,120,4,3,2,0,0,1,4,3,2,3,2,3,4,2,7,3,1,2,1,1,5,3,1,1,10,203
1,136,121,1,3,2,0,0,1,1,1,2,4,1,3,4,2,4,3,2,3,0,3,2,5,1,1,5,110
1,136,122,2,3,2,0,0,1,1,2,3,3,1,2,2,2,8,3,1,3,1,1,0,0,1,2,4,510
1,136,123,3,3,2,0,0,1,4,3,2,3,1,3,4,1,0,0,0,0,0,0,0,0,5,5,1,110
1,136,124,4,3,2,0,0,1,1,1,5,5,3,3,4,3,0,3,1,2,1,4,6,5,2,1,10,110
1,136,125,4,3,2,0,0,2,1,2,2,3,1,3,2,2,1,3,1,3,2,3,3,4,2,2,2,110
1,136,126,3,3,2,0,0,1,1,4,2,4,1,2,3,1,8,3,1,4,1,1,0,5,2,1,5,120
1,136,127,2,2,2,0,0,1,1,3,3,5,3,3,2,2,11,3,1,4,1,1,1,4,2,1,4,520
1,136,128,1,3,2,0,0,1,0,2,3,2,1,3,3,1,7,3,1,3,1,1,1,6,1,1,4,420
1,136,129,1,3,2,0,0,2,2,2,2,3,1,2,2,2,2,3,1,2,3,2,6,6,1,1,3,120
1,136,130,3,2,2,0,0,1,3,2,2,3,1,1,3,2,9,3,1,3,1,1,1,5,1,1,5,221
1,136,131,1,3,2,0,0,3,3,1,3,4,1,1,2,2,1,3,1,3,5,1,5,4,3,3,3,137
1,136,132,4,3,2,0,0,1,1,1,2,3,1,3,4,3,8,3,2,2,3,3,4,3,4,4,10,147
1,136,133,3,2,2,0,0,1,1,2,2,3,1,3,3,1,3,3,2,3,1,1,4,4,2,2,2,47
1,136,134,3,2,2,0,0,1,1,2,2,3,1,2,4,1,3,3,2,3,1,1,4,5,1,2,1,147
1,136,135,4,3,2,0,0,2,2,2,2,2,4,0,2,3,0,3,1,3,5,1,6,6,1,1,10,47
1,136,136,1,2,2,0,0,1,1,1,3,4,1,2,2,2,7,3,2,3,1,1,3,3,1,1,7,157
1,136,137,2,2,2,0,0,1,4,3,2,1,1,3,2,1,7,3,1,4,5,1,6,3,1,1,8,157
1,136,138,4,3,2,0,0,1,1,4,1,2,1,1,4,2,7,3,1,2,5,4,4,3,2,2,10,257
1,136,139,2,3,2,0,0,1,1,1,3,5,1,3,2,1,5,3,1,3,2,2,1,5,1,1,7,57
1,136,140,1,3,2,0,0,2,2,1,2,3,1,2,2,2,3,3,2,3,1,1,5,1,1,1,3,157
1,136,141,3,2,2,0,0,2,2,4,3,3,1,1,3,1,6,3,2,2,2,1,3,4,4,4,5,157
1,136,142,4,3,2,0,0,1,2,2,2,3,1,3,2,2,2,3,1,3,3,2,6,5,2,2,4,457
1,136,143,4,3,2,0,0,2,2,3,2,1,1,2,4,2,6,3,1,2,0,4,2,4,2,2,10,157
1,136,144,1,3,2,0,0,1,1,1,2,4,1,1,3,1,7,3,2,2,1,1,5,5,1,1,2,57
1,136,145,3,2,2,0,0,1,1,1,3,4,3,3,4,2,7,3,2,2,1,1,4,5,1,1,1,157
1,136,146,4,3,2,0,0,1,1,2,2,3,3,3,1,2,1,3,1,2,1,1,2,3,5,5,9,147
1,136,147,2,2,2,0,0,2,2,4,2,4,1,1,2,2,7,3,1,4,1,2,6,6,3,3,7,147
1,136,148,2,2,2,0,0,1,1,4,3,3,1,3,1,2,2,3,1,3,1,4,6,3,2,4,8,147
1,136,149,4,3,2,0,0,4,4,4,5,3,1,1,4,2,8,3,1,2,4,4,6,5,1,2,10,247
1,136,150,3,2,2,0,0,1,1,2,2,4,1,1,2,2,1,3,1,3,1,3,4,4,2,4,3,147
1,136,151,3,2,2,0,0,2,2,2,3,3,2,2,0,0,7,3,1,2,1,0,3,3,1,1,5,147
1,136,152,1,3,2,0,0,1,1,1,2,4,1,1,3,2,5,3,1,2,1,1,1,5,4,4,4,447
1,136,153,3,3,2,0,0,1,1,3,1,2,1,3,3,1,0,3,1,3,1,1,2,6,1,1,5,228
1,136,154,1,3,2,0,0,1,1,2,3,4,3,1,2,2,4,3,2,3,1,1,1,5,2,2,6,228
1,136,155,2,3,2,0,0,1,1,3,2,4,1,3,2,2,7,3,1,4,1,4,3,4,1,4,7,228
1,136,156,3,2,2,0,0,1,3,3,2,3,3,3,1,2,2,3,1,2,5,1,1,5,1,1,6,28
1,136,157,2,2,2,0,0,1,1,4,2,1,1,3,2,1,2,3,2,3,1,1,3,3,1,1,7,138
1,136,158,1,3,2,0,0,1,3,2,2,3,3,3,2,2,5,3,1,3,1,1,2,4,4,4,8,138
1,136,159,4,3,2,0,0,1,3,2,3,2,1,3,4,2,7,3,1,4,1,4,6,6,2,2,10,238
1,136,160,2,2,2,0,0,2,2,4,2,5,3,3,2,2,11,3,1,3,1,1,3,5,1,1,7,238
1,136,161,4,1,2,0,0,2,2,2,4,3,1,2,3,2,5,2,1,2,2,1,2,4,2,1,9,38
1,136,162,4,3,2,0,0,1,1,1,3,4,1,3,1,2,2,3,2,3,2,1,3,3,2,2,10,148
1,136,163,3,2,2,0,0,1,1,2,3,4,1,1,3,1,4,3,1,3,1,1,4,5,5,5,2,48
1,136,164,3,2,2,0,0,1,1,4,3,4,1,1,4,2,7,3,2,3,5,1,4,5,2,2,1,148
1,136,165,4,3,2,0,0,2,1,4,2,2,1,3,2,1,5,3,1,2,1,1,6,5,3,4,10,48
1,136,166,1,2,2,0,0,2,2,2,2,3,1,1,2,2,4,3,1,3,1,1,2,4,2,2,7,158
1,136,167,2,2,2,0,0,2,2,4,3,3,1,1,1,2,8,3,2,3,3,1,3,3,1,1,8,158
1,136,168,4,3,2,0,0,2,2,3,3,2,1,1,2,2,2,3,1,4,1,2,4,4,1,1,10,102
1,136,169,3,3,2,0,0,1,1,3,3,3,1,3,3,2,4,3,2,2,2,4,6,6,2,2,2,102
1,136,170,4,3,2,0,0,2,2,2,3,4,1,2,4,2,7,3,2,1,1,1,6,5,4,2,1,102
1,136,171,4,3,2,0,0,1,3,4,2,2,1,1,1,2,1,3,1,3,5,4,6,6,1,1,10,2
1,136,172,4,3,2,0,0,1,1,1,3,3,1,1,2,2,9,3,1,1,2,4,1,5,1,1,2,2
1,136,173,3,3,2,0,0,2,2,1,1,5,1,3,1,1,4,3,1,2,1,4,4,5,1,1,1,2
1,136,174,4,3,2,0,0,4,4,3,2,3,1,2,2,2,3,3,1,1,3,4,4,4,4,4,8,112
1,136,175,4,3,2,0,0,1,1,1,2,4,1,3,4,2,7,3,1,3,1,1,5,1,3,5,10,212
1,136,176,3,2,2,0,0,1,2,1,1,3,1,2,3,2,7,3,1,1,1,1,3,5,3,3,5,212
1,136,177,1,2,2,0,0,1,1,2,3,3,1,1,1,1,4,3,1,2,1,1,1,5,4,4,6,212
1,136,178,2,3,2,0,0,1,1,1,2,2,3,3,2,2,2,3,1,2,1,1,3,3,4,4,7,212
1,136,179,3,3,2,0,0,1,2,3,3,1,1,3,1,2,3,3,1,2,1,1,2,5,1,4,6,12
1,136,180,2,2,2,0,0,1,1,4,3,3,3,3,2,2,3,3,1,2,1,1,4,5,1,1,7,112
