S0196.CARD.  1. CARD ONE 
S0196.Q45. DO YOU THINK EVERYTHING POSSIBLE IS BEING DONE TO PREVENT WASTE OF GOODS IN THE STOCK PILES AT THE DOCK?  1. A LOT MORE COULD BE DONE 2. SOME MORE COULD BE DONE 3. EVERYTHING POSSIBLE IS BEING DONE NOW 0. NO ANSWER 
S0196.Q46. DO YOU FEEL THAT THE AMOUNT OF GOODS LOST THROUGH PILFERING IS SERIOUS ENOUGH TO WORRY ABOU?  1. YES 2. NO 0. NO ANSWER 
S0196.Q47. DO YOU FEEL THAT ABOUT EVERYTHING POSSIBLE IS DONE TO LOOK AFTER THE WELFARE OF THE MEN WHILE THEY ARE ON THE JO?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S0196.Q48. CONSIDERING EVERYTHING (ABOUT YOUR JOB AND YOUR OFF-DUTY TIME AS WELL) WOULD YOU SAY YOU ARE BETTER OFF NOW OR WORSE OFF NOW THAN YOU WERE A MONTH OR SO AG?  1. I AM BETTER OFF NOW 2. I AM WORSE OFF NOW 3. ABOUT THE SAME 0. NO ANSWER P. HERE ARE A FEW GENERAL QUESTIONS: 
"S0196.Q49. DO YOU FEEL PROUD OF YOUR COMPAN?  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT VERY PROUD 4. UNDECIDED 0. NO ANSWER "
"S0196.Q50. ON THE WHOLE, HOW IS THE MORALE OF THE MEN IN YOUR COMPAN?  1. VERY HIGH 2. FAIRLY HIGH 3. JUST SO-SO 4. FAIRLY LOW 5. VERY LOW 0. NO ANSWER "
S0196.Q51. DO YOU FEEL THAT YOU REALLY BELONG IN YOUR COMPANY AND ARE AN IMPORTANT PART OF I?  1. VERY MUCH SO 2. FAIRLY MUCH SO 3. NOT VERY MUCH 4. NOT AT ALL 0. NO ANSWER 
"S0196.Q52. DO YOU FEEL THAT THE MOST DESERVING MEN USUALLY GET THE ""BREAKS"" IN YOUR OUTFI?  1. ALWAYS 2. USUALLY 3. ABOUT HALF THE TIME 4. RARELY 5. NEVER 0. NO ANSWER "
"S0196.Q53. IN YOUR OUTFIT, WHEN A MAN BREAKS A RULE OR DISOBEYS AN ORDER DOES HE USUALLY GET THE PUNISHMENT YOU THINK HE HAS COMING TO HI?  1. HE GETS TOO MUCH PUNISHMENT 2. HE GETS ABOUT WHAT HE SHOULD 3. HE GET TOO LITTLE PUNISHMENT 0. NO ANSWER "
S0196.Q54. IN YOUR PRESENT OUTFIT HAVE YOU EVER BEEN GIVEN PUNISHMENT OR RESTRICTION FOR SOMETHING WHICH YOU FEEL YOU DID NOT DESERV?  1. YES 2. NO 0. NO ANSWER 
"S0196.Q55. DO TOO MANY OF THE THINGS YOU HAVE TO DO WHILE OFF THE JOB SEEM UNNECESSAR?  1. YES, TOO MANY OF THEM DO SEEM UNNECESSARY 2. NO, NOT TOO MANY OF THEM SEEM UNNECESSARY 0. NO ANSWER P. HERE ARE A FEW MORE GENERAL QUESTIONS: X. QUESTION 56 NOT CODED. "
S0196.Q57. WHAT SORT OF OPINION DO YOU HAVE OF THE ENGLISH PEOPL?  1. VERY FAVORABLE 2. FAIRLY FAVORABLE 3. RATHER UNFAVORABLE 4. VERY UNFAVORABLE 0. NO ANSWER 
S0196.Q58. WHAT SORT OF OPINION DO YOU HAVE OF THE FRENCH PEOPL?  1. VERY FAVORABLE 2. FAIRLY FAVORABLE 3. RATHER UNFAVORABLE 4. VERY UNFAVORABLE 5. NO ANSWER 0. NO CODE OR NO DATA 
S0196.Q59. HOW DO YOU FEEL ABOUT THE WAY GERMAN PRISONERS OF WAR ARE TREATE?  1. TREATED TOO WELL 2. TREATED ABOUT RIGHT 3. NOT TREATED WELL ENOUGH 0. NO ANSWER X. QUESTIONS 60 AND 61 NOT CODED. 
S0196.V62. LOCATION OF CROSS-SECTION COMPANIES:  1. LE HAVRE CROSS-SECTION COMPANIES 2. ROUEN CROSS-SECTION COMPANIES 3. CHERBOURG CROSS-SECTION COMPANIES 
"S0196.V63. HIGH MORALE CODE: E. A MAN IS CONSIDERED TO HAVE ""HIGH JOB MORALE"" IF HE CHECKS CODE 1 IN Q.31; 1 OR 2 IN Q.24; 1, 2 OR 3 IN Q.50.  1. MEN WITH HIGH JOB MORALE 2. ALL OTHERS "
S0196.V64. WHITE OR NEGRO COMPANY:  1. WHITE COMPANY 2. NEGRO COMPANY 
S0196.V65. PORT LOCATION:  1. LE HAVRE 2. ROUEN 3. CHERBOURG 
S0196.V66. COMPANY IDENTIFICATION: X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS.  ANP 
S0196.V67. SERIALIZATION OF NUMBERS WITHIN COMPANY: X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS.  ANP 
