CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51A.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56A.,Q.57A.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72A.,Q.73A.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,V.99.,V.100.,V.101.,V.102.,V.103.,V.104.,V.105.,V.106.,V.107.,V.108.,V.109.,V.110.,V.111.,V.112.,V.113.,V.114.,V.115.,V.116.,V.117.
1,63,14,7,2,2,6,2,2,1,5,3,1,2,2,2,2,13,2,2,2,1,1,1,3,3,2,2,2,3,2,3,2,1,1,3,3,3,3,2,1,2,2,2,1,3,1,3,2,1,3,2,4,2,4,1,4,3,3,3,3,2,2,1,2,1,2,2,63,14,7,2,3,2,2,2,1,1,2,2,1,3,3,4,4,4,4,3,2,1,2,2,2,2,3,1,1,4,1,3,2,2,4,1,0,1,2,2,3,0,2,0,2,2,3,2,1,1,3,3,2,37,3284
1,63,15,7,2,3,6,8,5,1,5,3,1,2,2,2,2,9,2,1,2,2,3,2,2,2,2,1,2,5,1,1,3,2,4,4,1,4,2,1,2,3,4,1,1,2,1,2,3,3,3,3,1,2,4,6,3,2,3,1,3,2,2,2,2,2,1,2,63,15,7,3,4,5,3,3,1,3,1,2,1,1,3,4,4,2,4,1,2,2,1,3,1,1,1,3,1,1,1,2,3,1,4,2,3,1,2,4,5,0,1,3,3,4,6,2,4,2,1,6,2,37,351
1,63,16,7,2,3,6,2,2,1,5,3,2,2,2,2,2,2,2,3,2,1,2,1,2,1,2,1,1,1,2,1,2,1,4,1,1,1,2,1,2,3,3,1,1,2,2,1,2,1,1,2,1,1,4,10,3,4,3,1,3,2,1,1,2,2,1,2,63,16,7,2,3,1,2,2,1,1,1,1,1,2,2,2,1,1,2,3,2,1,1,1,1,2,1,1,1,4,1,4,2,2,3,2,3,3,5,6,11,2,3,2,5,3,6,3,6,1,5,5,3,37,181
1,63,17,7,2,2,6,8,1,1,5,3,1,2,2,2,2,9,1,1,1,3,1,1,1,1,1,1,1,2,3,1,2,1,4,2,1,1,1,1,8,2,4,2,2,3,3,2,2,1,1,1,1,3,4,3,3,1,2,1,3,3,1,1,1,1,3,2,63,17,7,2,2,1,2,1,2,1,3,1,2,2,2,2,2,1,2,3,4,2,1,2,3,3,3,1,1,3,1,4,2,1,2,2,2,2,5,6,10,2,3,1,6,3,7,4,5,1,4,3,3,37,151
1,63,18,7,2,4,6,9,5,4,4,2,1,3,2,2,2,10,2,2,2,1,2,3,2,2,2,1,2,1,2,2,3,2,3,3,2,2,1,1,1,2,1,3,2,1,1,2,3,1,1,2,3,2,4,3,4,3,3,3,3,2,2,2,2,2,2,2,63,18,7,2,3,2,2,3,1,2,2,1,1,4,4,3,2,3,4,2,2,2,1,3,5,4,4,1,1,2,3,3,2,2,3,2,0,3,2,2,6,0,2,1,4,2,7,2,3,1,1,1,2,37,651
1,63,19,7,2,3,6,3,4,4,4,1,1,3,2,2,2,9,2,1,2,1,2,1,2,2,2,1,3,0,3,1,2,1,3,2,1,1,1,1,4,3,7,2,2,1,1,1,1,1,1,1,1,3,4,8,3,5,3,4,2,2,1,1,3,3,1,2,63,19,7,3,2,1,1,2,2,1,1,2,1,3,4,3,3,2,3,2,2,2,1,1,2,2,2,1,1,4,1,1,5,5,4,1,1,3,6,3,7,2,3,3,4,2,7,4,5,1,4,3,2,37,601
1,63,20,7,2,3,6,2,3,1,5,3,1,3,2,2,2,2,1,3,2,3,2,1,1,2,1,1,1,2,1,2,2,1,4,2,1,1,1,1,1,2,2,3,1,3,3,2,3,2,2,2,2,2,4,1,2,3,3,2,3,2,2,1,2,2,1,2,63,20,7,3,2,1,2,2,3,1,4,1,1,4,4,4,1,1,4,1,2,5,1,1,1,1,1,1,1,4,1,4,2,2,2,1,1,3,1,1,9,2,2,1,6,4,7,4,5,2,3,6,3,37,531
1,63,21,7,2,2,6,4,1,1,5,3,2,3,2,3,2,9,1,4,2,1,2,1,1,1,2,1,1,1,2,1,2,1,3,1,1,1,1,1,3,3,4,2,1,2,3,2,2,1,1,1,1,2,4,11,4,1,3,2,3,1,2,2,2,2,2,2,63,21,7,3,2,1,2,2,1,1,3,1,0,2,2,3,1,1,1,3,2,1,1,1,1,2,2,1,2,4,1,1,2,5,5,5,2,3,4,5,12,2,3,3,6,3,7,4,6,2,3,4,3,37,521
1,63,22,7,2,3,6,0,5,1,5,3,2,3,2,2,2,2,2,1,2,1,3,1,2,2,3,1,1,4,2,3,3,6,3,2,2,2,2,1,1,3,4,3,1,2,2,2,2,1,1,2,3,2,4,3,3,4,3,2,1,2,1,1,0,2,1,2,63,22,7,3,4,2,2,1,3,1,1,1,1,2,3,2,2,3,4,2,3,1,1,1,1,1,1,1,1,4,1,1,2,2,5,2,2,1,4,5,6,0,2,3,2,1,6,3,4,1,5,6,3,37,511
1,63,23,7,2,2,6,9,5,1,5,3,1,3,2,2,2,4,3,2,1,3,2,1,2,2,1,1,1,1,2,1,3,2,4,4,1,2,1,1,1,3,1,2,1,3,1,2,2,1,2,4,2,2,4,2,3,6,4,2,2,1,2,1,2,2,1,2,63,23,7,4,3,2,2,1,1,1,2,1,2,2,3,3,3,3,3,2,3,2,1,1,2,2,2,1,1,4,1,4,2,2,4,5,1,2,3,4,6,0,2,1,5,2,7,4,4,1,4,3,1,37,121
1,63,24,7,2,5,6,7,4,1,5,3,1,3,2,2,2,2,2,3,2,2,1,2,2,3,2,3,2,3,2,3,3,2,4,4,4,2,4,3,1,2,3,2,1,2,2,3,4,3,4,3,4,1,4,2,3,4,1,2,2,1,2,1,2,3,1,2,63,24,7,3,3,2,1,2,1,1,1,1,1,4,3,4,4,3,3,1,2,1,1,4,1,2,1,1,1,4,1,1,2,1,2,1,3,0,0,1,5,0,1,0,3,2,2,2,0,1,3,5,7,37,381
1,63,25,7,2,2,7,3,5,1,5,3,1,3,2,2,2,2,2,1,3,2,2,1,0,2,2,1,3,5,3,5,3,3,4,4,4,2,1,3,1,3,3,2,1,1,2,2,2,1,1,4,1,2,4,1,1,5,4,2,3,1,2,2,2,2,2,2,63,25,7,4,5,2,1,1,1,2,2,1,1,4,3,4,2,2,2,2,1,1,4,1,1,1,3,4,1,3,4,3,2,2,3,2,1,1,5,1,9,0,2,1,2,2,5,4,0,2,0,6,2,37,451
1,63,26,7,2,3,3,5,1,1,5,3,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,4,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,3,3,1,2,2,1,1,1,1,2,2,63,26,7,2,2,1,1,2,1,1,3,2,1,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,4,1,3,4,3,4,1,3,3,4,6,11,2,2,0,6,5,6,4,5,3,6,7,2,37,561
1,63,27,7,2,2,5,0,5,1,5,3,2,3,2,3,2,9,2,2,2,1,1,1,1,1,1,1,1,3,2,2,3,5,4,4,1,1,1,1,2,2,3,2,1,1,2,3,2,1,2,2,2,2,4,2,3,2,3,1,2,2,2,2,2,2,1,2,63,27,7,4,2,2,2,1,3,2,1,1,0,4,4,3,4,3,4,1,3,1,1,1,1,2,4,1,1,4,1,2,3,2,3,2,2,2,3,2,4,0,1,1,6,1,7,4,4,1,4,3,1,37,51
1,63,28,7,2,2,5,2,3,1,5,3,2,3,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,3,2,2,3,1,1,2,2,3,3,2,3,6,1,2,1,2,1,0,1,1,1,1,1,1,1,3,4,2,2,2,3,2,1,2,2,63,28,7,2,1,2,1,1,3,1,2,1,1,2,1,2,1,1,2,3,2,1,1,1,4,4,4,1,1,4,1,2,2,3,2,1,1,3,5,7,11,1,3,3,4,4,5,2,4,3,4,0,3,37,401
1,63,29,7,2,9,5,3,1,4,4,2,2,3,2,3,2,13,2,2,2,1,3,1,2,2,3,1,1,3,2,2,3,3,4,4,1,3,1,3,1,2,2,2,1,2,2,3,3,2,2,2,1,2,1,11,1,1,1,1,2,1,2,1,1,1,2,2,63,29,7,3,2,2,2,2,1,1,2,1,1,4,4,4,3,2,2,2,1,1,1,1,3,3,3,1,1,4,1,1,2,1,3,1,4,2,2,1,8,0,2,0,2,1,5,4,4,2,4,4,7,37,571
1,63,30,7,2,2,5,3,4,1,5,3,1,3,2,3,2,2,2,1,2,2,1,2,3,3,2,3,2,1,2,1,2,6,0,4,2,2,3,7,2,2,4,3,1,1,2,4,3,1,4,2,1,2,1,1,2,3,3,3,3,2,2,0,2,2,1,2,63,30,7,3,2,1,1,1,1,1,1,1,1,3,3,3,2,2,3,2,3,1,1,1,1,3,1,3,1,2,1,3,3,1,2,1,0,2,3,3,8,2,2,3,2,4,1,1,3,1,2,5,3,37,681
1,63,31,7,2,1,5,5,5,1,5,3,1,2,2,2,5,9,3,1,2,1,2,1,2,2,1,1,1,3,2,2,3,2,4,4,1,2,2,8,0,0,0,0,6,0,0,6,6,3,2,3,1,1,4,2,1,5,3,2,3,3,2,1,2,2,2,2,63,31,7,2,2,2,2,2,3,1,2,2,1,2,2,2,1,1,1,2,3,1,1,1,2,2,2,1,1,4,1,2,2,1,3,2,1,2,3,6,12,0,3,0,5,1,4,3,4,3,3,3,4,37,3494
1,63,32,7,2,3,4,2,5,1,5,3,1,2,2,2,5,9,2,3,2,1,2,1,3,3,3,3,2,3,2,2,2,4,2,4,4,4,1,4,2,3,2,1,1,2,1,2,3,1,2,2,3,2,1,2,4,4,3,3,2,2,1,1,2,1,2,2,63,32,7,1,4,2,1,1,3,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,3,1,1,4,3,1,3,2,7,11,1,1,2,2,2,2,3,0,3,1,4,3,37,5628
1,63,33,7,2,10,5,4,4,4,1,2,1,2,2,2,5,9,1,1,1,1,2,1,2,1,1,1,1,1,3,1,2,1,4,2,2,1,1,2,4,2,4,2,1,1,2,2,2,1,1,2,1,1,4,4,1,3,3,1,2,3,1,1,2,1,3,2,63,33,7,2,2,1,2,2,3,1,2,2,2,1,2,2,2,2,2,3,2,2,5,6,0,0,0,0,0,5,0,1,2,1,2,2,2,3,5,7,9,2,2,2,6,3,6,4,4,2,1,3,4,37,6139
1,63,34,7,2,1,5,2,2,1,5,3,1,2,2,2,5,5,1,2,1,3,2,1,2,2,1,1,1,1,1,2,2,2,4,5,2,2,2,2,1,2,2,2,1,3,1,2,3,2,1,1,2,3,4,2,3,3,1,1,2,2,1,1,1,1,1,2,63,34,7,2,2,1,2,2,3,1,4,2,2,2,2,2,2,2,1,3,2,2,1,1,3,3,3,1,1,4,1,1,2,2,2,2,3,3,1,6,10,2,2,0,5,4,5,3,3,3,5,3,4,37,6099
1,63,35,7,2,1,6,3,5,1,5,3,2,2,2,2,8,2,2,2,1,1,2,3,2,1,2,1,1,5,3,2,2,2,3,2,1,2,2,2,2,2,6,3,1,1,3,2,2,1,2,1,1,2,4,3,3,1,2,2,2,3,1,1,2,1,1,2,63,35,7,2,2,1,2,1,4,1,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2,2,2,1,1,4,1,2,2,1,4,1,1,3,4,6,8,2,2,3,5,3,5,2,5,1,4,3,3,37,3854
1,63,36,7,2,2,6,4,3,1,5,3,1,2,2,2,8,9,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,4,1,1,2,2,2,1,2,3,3,1,2,1,2,3,1,3,1,1,1,4,4,3,2,3,1,3,2,2,1,2,1,2,2,63,36,7,2,2,2,2,2,3,1,2,1,2,2,2,2,3,2,3,2,2,1,1,1,2,1,3,1,1,3,1,3,2,2,3,3,3,3,3,6,7,0,2,1,4,3,5,3,6,1,2,4,3,37,3814
1,63,37,7,2,1,6,4,1,1,5,3,1,2,2,2,8,9,2,1,2,1,3,1,2,2,2,1,3,3,3,2,2,1,4,4,5,2,2,2,1,2,3,2,2,3,1,2,2,1,3,2,2,3,4,2,3,6,3,4,2,1,1,1,1,1,2,2,63,37,7,4,2,1,2,1,4,1,3,2,1,3,2,2,2,1,2,3,3,1,1,1,4,3,3,1,1,3,1,4,2,1,3,2,1,2,3,5,10,2,2,0,3,2,5,3,2,1,5,2,3,37,3684
1,63,38,7,2,2,5,2,2,1,5,3,1,2,3,2,8,9,1,1,1,1,2,1,2,1,1,3,1,1,3,1,1,1,4,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,11,4,3,1,1,2,2,1,1,1,1,3,2,63,38,7,1,1,1,3,1,2,1,3,2,2,0,0,0,0,0,0,0,0,6,1,2,4,3,2,1,1,4,1,1,2,1,2,2,3,4,6,0,3,4,2,0,6,3,3,4,5,3,6,2,5,37,3754
1,63,39,7,2,6,5,5,2,1,5,3,1,2,2,2,8,8,2,2,2,1,1,3,3,2,2,1,1,5,3,2,2,2,4,5,1,3,1,1,3,3,6,3,2,1,2,2,3,1,2,2,2,1,4,3,3,4,3,2,4,2,2,2,2,2,1,2,63,39,7,2,2,2,2,2,1,1,4,1,2,2,2,2,2,2,2,3,2,2,1,2,1,1,2,3,2,2,1,3,5,1,4,2,1,2,2,6,9,0,2,4,2,3,7,3,4,1,2,5,1,37,3844
1,63,40,7,2,1,5,5,1,1,5,3,2,2,2,2,8,9,2,2,2,1,2,1,2,2,2,3,1,1,2,2,2,2,3,4,2,2,2,3,1,2,1,2,2,3,3,2,3,2,2,2,2,3,4,2,3,5,3,2,4,2,2,1,2,3,2,2,63,40,7,2,2,6,2,2,3,2,2,3,1,2,2,3,3,4,2,0,3,2,1,2,2,3,3,1,1,4,1,1,5,2,2,1,1,3,1,5,6,0,1,0,4,3,2,3,3,1,3,3,3,37,3934
1,63,41,7,2,3,7,4,5,1,5,3,1,2,2,2,8,9,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,4,2,1,1,1,2,1,2,2,3,1,1,1,2,2,2,2,1,2,2,4,2,1,2,2,1,2,2,2,1,2,2,2,2,63,41,7,1,2,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,4,1,1,2,1,2,1,2,3,2,9,12,3,3,1,4,3,6,4,5,4,3,4,5,37,3504
1,63,42,7,2,3,7,5,5,1,5,3,1,2,2,2,8,8,2,2,1,1,2,1,1,1,2,3,2,3,2,2,1,2,4,1,1,1,1,2,1,2,4,2,1,1,1,2,4,1,2,1,3,2,4,3,1,3,3,2,2,2,2,1,2,1,3,2,63,42,7,2,2,1,3,1,2,1,3,1,2,1,2,2,4,2,2,4,2,1,1,1,2,2,2,1,1,4,1,1,3,2,4,2,1,4,2,7,7,2,4,1,6,2,4,5,6,3,3,3,1,37,3734
1,63,43,7,2,2,6,3,5,1,5,3,1,2,2,1,15,16,3,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,2,1,0,1,2,2,1,1,1,1,1,1,1,4,11,4,4,3,3,3,2,1,1,2,1,3,2,63,43,7,1,0,1,3,1,3,1,2,2,1,2,4,4,2,2,2,1,2,2,1,1,1,1,1,1,1,4,1,4,3,1,4,3,1,4,6,3,9,2,1,1,7,5,7,4,5,4,5,6,2,46,651
1,63,44,7,2,2,6,5,4,1,5,3,1,2,2,1,15,9,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,3,5,3,2,2,1,11,2,9,3,2,1,2,1,1,1,1,2,1,2,1,10,1,2,3,4,1,2,1,1,1,1,3,2,63,44,7,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,3,3,1,1,2,1,1,2,1,1,4,1,1,2,1,3,1,1,3,6,8,12,3,4,2,6,3,6,3,1,3,6,5,5,46,701
1,63,45,7,2,2,6,1,5,1,5,3,2,2,2,1,15,9,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,4,2,2,1,1,1,1,2,11,2,1,3,3,1,1,1,1,1,1,1,4,10,3,1,1,1,3,3,1,1,1,1,3,2,63,45,7,1,2,1,3,1,2,1,3,3,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,3,3,6,9,12,3,4,0,7,5,7,5,4,4,5,6,5,46,841
1,63,46,7,2,0,6,0,0,0,0,4,4,0,2,2,15,16,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,2,3,6,0,0,6,6,1,1,1,1,4,1,1,1,2,3,3,3,2,1,1,1,1,1,2,63,46,7,1,3,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,3,4,9,7,2,1,2,6,4,7,3,6,5,4,7,6,46,3303
1,63,47,7,2,4,6,2,5,1,5,3,1,5,2,5,15,1,2,3,1,1,2,1,1,1,2,1,1,1,3,1,2,2,3,3,2,1,1,1,3,3,2,2,2,1,2,2,1,3,1,1,3,1,1,1,4,3,3,2,3,1,1,1,1,1,1,2,63,47,7,2,3,1,1,2,1,1,2,1,1,3,3,3,2,1,2,1,4,1,2,1,1,3,3,1,1,3,3,3,2,2,4,4,1,3,2,3,10,2,1,2,6,3,7,4,3,1,3,4,1,46,3273
1,63,48,7,2,4,6,2,4,1,5,3,2,5,2,1,15,9,3,1,1,3,1,1,1,1,1,1,3,1,3,1,1,6,4,2,5,1,1,1,1,3,5,2,1,3,3,1,1,1,2,1,1,1,1,11,1,5,3,4,3,4,1,1,1,1,1,2,63,48,7,2,2,1,1,0,3,1,2,1,2,1,5,2,1,1,1,3,2,2,1,1,1,1,1,1,1,4,1,4,5,1,2,2,1,3,6,7,12,2,3,2,6,3,7,4,3,4,5,6,2,46,3073
1,63,49,7,2,6,6,0,5,1,5,3,1,5,2,3,15,9,2,1,2,3,2,3,2,2,1,1,1,5,3,1,3,2,4,4,2,2,1,1,2,3,2,2,1,3,1,2,2,1,1,2,1,3,1,3,3,3,4,1,2,1,2,2,1,1,1,2,63,49,7,2,2,2,2,1,2,2,2,1,4,1,2,2,2,1,2,3,2,1,1,2,2,2,2,1,1,4,1,1,2,1,1,1,2,3,5,7,10,1,3,2,5,2,7,3,3,1,5,3,5,46,2403
1,63,50,7,2,6,6,2,3,1,5,3,1,5,2,2,15,0,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,2,4,4,2,1,1,2,2,3,2,1,2,3,1,1,1,1,1,1,1,1,2,3,5,2,2,2,3,1,1,1,1,4,2,63,50,7,1,2,1,2,2,3,1,3,1,2,2,1,1,2,2,2,3,1,1,1,3,3,3,3,1,1,4,1,2,2,2,3,2,2,4,6,8,9,3,2,1,5,5,7,3,0,4,5,4,3,46,2553
