CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2A.,Q.2B.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.6A.,Q.6A..1,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.10.,Q.11.,Q.12.,Q.13A.,Q.13B.,Q.14A.,Q.14A..1,Q.14B.,Q.14B..1,Q.14C.,Q.15A.,Q.15B.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.24F.,Q.24G.,Q.25A.,Q.25B.,Q.25C.,Q.25D.,Q.25E.,Q.25F.,Q.25G.,Q.25H.,Q.25I.,Q.26A.,Q.26B.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.26C.,Q.26D.,Q.27A.,Q.27B.,Q.0.,Q.28A.,Q.28B.,Q.29A....HAVE,Q.30A.,Q.30B.,Q.31A.,Q.31B.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.37A.,Q.37B.,V.39.,V.40.
1,135,11,2,2,9,4,4,9,3,2,5,11,3,1,2,1,4,1,2,7,4,4,1,3,0,0,3,3,2,4,1,2,1,3,1,2,6,5,5,5,5,3,2,5,2,3,2,2,3,2,2,1,3,3,5,2,135,11,2,3,2,1,0,0,3,2,2,2,2,2,2,1,1,3,2,5,5,4,5,4,1,47
1,135,12,2,2,8,8,4,7,2,1,8,1,4,2,2,3,3,1,2,7,9,2,3,6,11,3,7,1,2,2,1,1,2,2,2,2,1,5,5,5,2,3,4,3,2,4,2,3,1,2,2,2,4,8,10,2,135,12,2,3,4,4,9,0,2,2,2,1,3,1,4,5,1,1,1,1,5,4,5,1,2,58
1,135,13,2,2,5,4,4,9,3,3,8,11,3,1,1,2,1,1,2,7,2,2,1,1,11,11,3,1,1,4,3,1,1,3,2,1,2,0,0,0,0,0,2,2,2,2,3,3,3,2,3,2,3,9,5,2,135,13,2,9,10,10,0,0,3,2,1,1,3,1,2,1,1,1,2,1,1,3,5,4,2,88
1,135,14,2,2,10,9,4,4,1,1,4,1,2,1,1,3,3,1,2,7,5,9,4,5,11,1,4,3,2,4,1,1,0,3,2,3,2,5,5,5,5,3,3,2,2,4,3,3,3,2,1,3,0,3,2,2,135,14,2,2,1,3,3,0,3,2,2,1,2,2,2,2,1,1,1,1,5,4,4,1,4,85
1,135,15,2,2,9,5,4,5,2,5,8,11,4,1,2,6,6,2,2,7,2,6,6,7,2,2,3,3,2,4,2,2,1,2,2,1,6,5,5,5,5,2,3,2,2,3,3,2,4,5,5,2,3,5,1,2,135,15,2,3,10,3,9,0,3,2,3,2,2,2,4,3,1,1,1,2,2,5,2,2,1,92
1,135,16,2,2,10,9,4,3,3,1,8,11,4,1,1,1,1,1,2,7,5,8,6,8,2,2,2,3,2,4,1,1,1,2,2,2,2,5,5,5,5,5,2,2,2,3,3,2,2,3,2,2,3,10,2,2,135,16,2,10,10,9,9,0,3,2,2,1,1,2,4,5,1,1,2,1,4,2,5,4,3,60
1,135,17,2,2,9,4,4,8,1,1,7,1,4,1,1,2,2,1,2,7,3,11,5,7,2,3,2,3,2,2,2,3,1,2,2,1,2,5,5,5,5,5,2,2,2,2,3,2,2,2,2,2,1,4,11,2,135,17,2,4,10,9,9,0,2,2,2,1,3,1,3,3,1,1,1,2,3,3,2,1,1,85
1,135,18,2,2,10,10,4,9,3,3,2,1,1,4,3,2,2,3,3,7,2,10,2,5,1,1,11,3,2,4,3,2,3,1,3,5,3,5,5,5,5,4,4,5,2,4,2,2,3,5,5,3,3,6,4,2,135,18,2,1,1,9,9,0,2,2,1,1,2,2,4,3,2,1,2,1,5,4,5,4,2,29
1,135,19,2,2,9,8,4,9,3,2,8,11,4,3,2,2,2,1,2,7,2,6,4,8,1,1,3,3,2,4,2,3,2,2,2,3,3,5,5,5,3,3,2,2,1,4,4,2,3,1,1,2,4,6,2,2,135,19,2,1,1,2,9,0,3,2,2,1,2,2,4,3,1,1,2,1,2,4,4,4,3,53
1,135,20,2,2,9,5,4,9,1,2,7,11,4,2,2,3,3,1,2,7,3,8,3,6,1,2,2,1,2,2,2,2,7,2,3,2,3,5,5,5,5,3,2,2,2,2,2,2,2,2,5,2,4,8,8,2,135,20,2,6,1,2,2,0,2,2,3,0,0,1,3,1,1,1,2,1,1,2,4,0,1,71
1,135,21,2,2,8,7,4,5,3,2,13,11,6,3,2,2,6,1,2,7,5,8,3,7,1,3,3,3,2,2,2,3,2,2,3,2,3,5,5,5,5,2,2,3,1,2,3,5,2,2,2,4,0,5,5,2,135,21,2,10,10,9,9,0,3,2,2,1,1,2,2,1,1,1,1,1,2,2,3,2,3,97
1,135,22,2,2,8,8,4,3,3,1,15,2,4,1,2,3,3,2,2,7,2,8,3,4,1,1,3,3,2,2,1,1,5,2,3,2,2,5,5,5,4,3,2,2,2,4,3,2,2,2,2,2,3,5,8,2,135,22,2,3,3,9,9,0,3,2,1,1,2,2,4,4,1,1,2,1,3,4,4,1,4,32
1,135,23,2,2,9,8,4,6,3,1,10,2,5,1,2,2,2,2,2,7,3,2,4,6,2,2,3,3,2,2,2,3,2,2,1,4,3,5,5,5,5,4,2,4,3,3,3,0,2,0,0,0,1,3,3,2,135,23,2,2,2,9,9,0,2,2,2,2,3,2,4,1,1,1,1,1,1,2,5,4,2,9
1,135,24,2,2,5,5,4,6,3,3,19,2,3,2,2,5,5,2,3,7,2,6,4,6,2,2,2,3,2,2,5,2,3,1,3,0,2,5,5,5,5,2,1,2,2,2,3,4,3,5,5,2,3,5,6,2,135,24,2,4,4,9,9,0,3,2,1,2,3,2,4,4,1,1,1,1,3,4,3,4,5,20
1,135,25,2,2,8,8,4,7,3,2,14,1,6,1,1,5,6,2,2,7,2,6,3,7,2,2,6,1,2,2,1,3,1,2,3,3,2,5,5,5,2,4,2,3,2,1,3,5,1,5,5,3,1,6,3,2,135,25,2,3,10,3,2,0,3,2,1,1,3,1,3,2,1,1,1,1,3,2,2,4,3,8
1,135,26,2,2,7,6,4,5,3,3,14,11,7,1,1,3,3,2,2,7,2,6,3,5,11,2,3,1,1,2,2,2,2,2,2,3,3,4,4,3,4,3,2,5,2,4,3,4,3,5,5,4,1,4,8,2,135,26,2,1,1,3,0,0,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,90
1,135,27,2,2,3,2,4,5,3,1,15,1,1,1,1,4,0,0,4,7,3,4,11,2,11,2,11,1,1,2,1,2,1,3,3,1,3,5,5,5,5,2,2,3,3,2,3,5,3,3,3,3,4,3,3,2,135,27,2,1,5,2,9,0,3,2,2,1,3,1,2,1,1,1,1,1,1,3,4,4,2,81
1,135,28,2,2,7,7,4,3,3,1,10,3,3,4,2,5,5,1,3,7,3,4,4,7,11,2,5,2,1,3,1,1,2,2,3,2,2,5,5,5,5,2,2,5,1,2,2,2,3,5,5,2,3,9,3,2,135,28,2,8,5,2,9,0,3,4,1,1,3,2,3,1,1,1,1,1,1,3,5,4,2,66
1,135,29,2,2,8,8,4,9,2,1,15,11,7,1,2,2,1,1,2,7,3,6,5,5,3,3,7,3,2,3,1,3,1,2,3,3,6,5,5,5,5,5,3,4,4,4,2,4,3,4,2,4,1,1,8,2,135,29,2,3,1,0,9,0,2,2,2,3,3,1,2,3,1,1,2,5,5,4,5,2,4,46
1,135,30,2,2,8,8,4,6,2,2,18,11,8,3,2,2,2,1,3,8,3,4,6,8,2,2,4,2,2,3,3,3,2,2,3,1,3,5,5,5,5,5,3,2,1,2,3,5,2,5,5,2,3,5,7,2,135,30,2,4,4,1,1,0,2,3,1,1,2,1,3,2,1,1,3,1,3,4,5,4,2,33
1,135,31,2,2,8,8,4,9,3,2,13,3,5,1,1,2,0,1,2,7,3,6,5,7,2,2,5,3,2,2,2,1,2,2,3,3,3,5,5,5,5,3,2,2,2,2,2,2,2,5,5,2,3,5,8,2,135,31,2,3,1,9,9,0,3,4,2,1,3,2,2,3,1,1,2,3,3,2,5,4,2,30
1,135,32,2,2,7,6,4,7,3,2,14,2,3,4,1,2,2,1,2,7,2,1,2,10,1,3,2,1,2,2,2,1,5,5,3,2,3,5,5,5,5,2,4,2,2,3,3,2,2,2,2,4,3,6,4,2,135,32,2,3,3,1,9,0,3,2,2,1,1,1,3,2,1,1,1,1,4,4,5,4,5,62
1,135,33,2,2,3,2,3,7,1,2,8,11,3,1,1,2,1,1,2,7,3,8,5,9,1,1,2,3,2,2,2,2,1,3,2,3,6,5,5,5,5,2,3,4,2,2,3,5,2,5,5,4,3,4,11,2,135,33,2,1,3,3,9,0,3,2,1,1,1,1,2,2,1,1,1,2,3,2,5,1,3,29
1,135,34,2,2,9,10,3,6,1,1,6,1,3,3,2,4,4,1,2,7,3,4,3,4,11,11,4,1,2,4,1,1,1,3,3,3,3,5,5,5,5,4,2,3,4,2,4,5,4,5,5,4,1,1,11,2,135,34,2,1,10,9,9,0,3,2,1,2,2,2,4,3,1,1,1,1,1,2,4,1,2,44
1,135,35,2,2,6,6,3,6,3,1,10,11,1,4,1,2,2,1,2,7,2,6,2,4,11,2,2,1,1,2,1,1,1,3,3,2,2,5,5,5,5,4,3,5,2,4,2,3,3,2,2,2,3,6,3,2,135,35,2,1,1,9,9,0,2,1,1,1,1,2,0,2,1,1,2,1,2,5,3,4,2,38
1,135,36,2,2,3,3,3,9,1,1,18,2,4,3,2,2,2,1,2,7,3,8,7,7,3,3,4,3,2,3,1,1,2,2,3,2,1,5,5,5,5,4,2,4,3,4,3,2,3,4,4,4,1,5,2,2,135,36,2,2,3,4,0,0,3,1,1,1,2,2,2,3,1,1,1,1,1,3,1,0,4,73
1,135,37,2,2,7,6,3,7,1,1,21,2,4,4,2,3,3,1,1,7,3,6,4,4,2,2,7,1,2,2,1,1,3,2,3,1,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,6,2,135,37,2,2,11,0,9,0,3,4,1,1,3,1,3,0,1,1,1,6,0,3,0,1,4,39
1,135,38,2,2,2,2,3,9,2,1,23,3,6,1,1,2,2,2,2,7,2,8,2,3,11,1,2,1,1,1,2,1,1,2,2,3,6,5,5,5,5,3,2,5,2,2,2,2,2,5,5,2,3,1,1,2,135,38,2,1,10,1,9,0,3,2,2,2,3,1,3,1,1,1,2,1,3,4,5,4,2,97
1,135,39,2,2,6,5,3,6,3,1,26,2,4,4,1,2,2,2,2,7,6,6,5,6,2,2,3,2,2,2,1,3,3,2,4,1,1,2,2,5,4,4,3,2,2,4,2,4,4,1,1,2,3,3,1,2,135,39,2,2,1,6,9,0,3,2,1,1,2,2,2,1,1,1,2,1,3,2,5,4,3,51
1,135,40,2,1,9,5,3,5,3,3,6,11,3,3,1,5,5,1,1,7,1,8,3,6,1,2,2,3,2,4,1,2,3,1,2,2,5,5,5,5,5,4,4,2,2,3,2,3,2,1,1,2,1,6,3,2,135,40,2,3,1,10,0,0,2,2,2,2,3,2,4,3,1,1,2,1,2,4,0,4,1,60
1,135,41,2,1,9,5,3,9,2,3,6,1,3,3,2,2,6,2,2,7,1,6,3,6,1,2,2,3,2,4,2,1,2,1,3,2,6,5,5,5,5,2,2,2,2,2,2,2,2,2,2,1,3,6,7,2,135,41,2,4,2,10,0,0,2,2,2,0,0,2,2,2,1,3,1,1,2,2,3,1,1,4
1,135,42,2,1,2,1,3,8,2,2,9,6,2,4,1,2,5,1,2,7,4,6,3,9,1,3,3,2,2,2,1,1,2,2,4,1,6,5,5,5,5,2,2,5,2,2,3,2,3,2,3,3,3,4,11,2,135,42,2,3,2,9,9,0,3,2,1,1,1,2,2,1,1,1,1,1,5,2,1,1,2,4
1,135,43,2,1,8,8,3,9,1,1,15,2,4,2,2,2,3,2,1,7,4,2,3,3,1,1,3,3,2,2,2,1,6,5,2,4,3,5,5,5,5,4,1,4,2,2,2,2,2,3,2,2,3,6,4,2,135,43,2,5,5,7,9,0,2,2,3,1,3,2,3,3,1,1,1,1,2,2,4,1,4,31
1,135,44,2,1,9,3,3,9,1,2,7,1,4,1,1,2,3,1,2,7,1,4,4,6,2,3,2,3,2,4,2,1,1,2,3,1,6,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,3,8,3,2,135,44,2,3,2,3,9,0,2,2,2,1,2,2,4,5,3,1,3,2,3,4,5,4,1,6
1,135,45,2,1,9,4,3,9,2,2,6,11,3,3,2,2,3,2,2,7,2,10,3,4,2,2,2,3,2,2,2,1,2,2,2,1,6,5,5,0,0,2,2,2,2,2,2,1,2,2,2,2,3,8,9,2,135,45,2,7,2,2,0,0,3,2,2,1,3,2,2,2,1,1,1,2,2,3,2,2,1,30
1,135,46,2,1,7,7,3,9,2,2,19,1,6,1,2,5,6,1,2,7,2,11,2,7,0,1,4,3,2,3,1,2,2,2,3,2,2,5,5,5,5,3,3,4,1,2,2,2,1,2,3,1,1,9,10,2,135,46,2,4,2,3,9,0,2,1,1,1,3,1,3,3,1,1,2,3,4,3,4,1,4,3
1,135,47,2,1,7,6,3,7,3,2,17,1,3,1,2,2,6,1,2,7,3,6,2,5,2,2,4,3,2,2,2,3,1,2,3,3,3,5,5,5,5,2,2,2,2,3,2,2,2,2,3,3,3,6,10,2,135,47,2,5,7,3,5,0,2,2,2,1,2,1,3,2,1,1,1,1,3,4,5,4,3,63
1,135,48,2,1,8,7,3,7,2,2,17,1,6,1,2,2,1,1,2,7,3,6,4,4,3,3,4,3,2,3,2,1,1,2,2,3,2,5,5,5,5,4,2,3,1,3,2,1,1,2,2,2,3,6,4,2,135,48,2,3,1,0,9,0,3,2,2,1,3,2,4,4,1,1,2,1,2,2,5,4,4,57
1,135,49,2,1,8,7,3,6,1,1,10,2,2,1,1,5,5,1,1,7,2,8,1,4,11,2,3,1,2,2,2,1,1,3,2,1,6,3,4,1,2,2,2,4,2,2,2,2,2,4,2,2,3,4,9,2,135,49,2,4,6,3,9,0,3,2,1,3,3,1,2,1,1,1,1,1,1,2,5,4,5,29
1,135,50,2,1,9,5,3,7,1,1,6,11,3,1,1,2,2,1,4,7,3,6,2,4,11,11,2,3,2,3,2,1,1,3,1,1,1,5,5,5,5,3,2,1,1,1,2,1,2,1,1,1,3,8,6,2,135,50,2,7,6,4,9,0,3,2,2,1,1,1,4,3,1,1,1,5,4,2,5,4,1,37
1,135,51,2,1,7,7,3,4,2,1,14,11,2,1,2,3,4,1,3,7,3,11,11,11,11,11,5,1,2,2,1,1,2,3,2,3,1,5,5,5,2,2,2,2,2,2,1,1,2,2,2,3,3,8,8,2,135,51,2,4,2,7,9,0,2,2,1,3,3,1,3,2,1,1,1,1,5,4,2,2,4,59
1,135,52,2,1,9,1,3,9,1,1,6,1,3,1,1,3,1,1,1,7,2,6,5,6,2,2,3,3,2,4,2,3,1,2,2,2,6,5,5,5,5,3,5,2,3,3,4,5,3,5,5,4,1,2,11,2,135,52,2,6,4,6,5,0,3,2,2,1,1,2,2,1,1,1,1,3,3,4,5,4,1,11
1,135,53,2,1,9,6,3,8,3,2,7,11,4,1,1,2,6,2,2,8,2,8,5,5,2,2,3,3,2,4,1,1,5,5,3,1,6,5,0,0,0,0,2,6,2,2,3,4,4,2,2,2,3,8,3,2,135,53,2,7,4,6,9,0,2,2,1,1,1,2,4,5,1,1,1,1,5,4,2,1,1,33
1,135,54,2,1,8,8,3,9,2,2,19,1,6,2,2,2,3,1,2,7,3,8,6,6,3,3,3,3,2,2,1,3,1,3,3,2,2,5,5,5,5,2,1,2,2,3,2,2,2,2,2,2,3,4,6,2,135,54,2,2,0,3,3,0,3,2,2,2,3,2,4,3,1,1,1,2,3,4,5,4,4,63
1,135,55,2,1,8,8,3,9,2,1,15,11,10,1,2,3,3,2,2,7,1,4,4,8,1,2,4,1,2,2,1,3,1,3,2,2,2,5,5,5,5,3,2,2,1,2,1,1,1,2,2,2,1,8,4,2,135,55,2,6,1,4,9,0,3,2,2,1,1,2,2,3,1,1,2,3,3,4,5,4,3,26
1,135,56,2,1,10,1,3,9,1,1,4,1,2,2,2,2,1,1,2,7,1,4,3,6,1,2,2,1,2,3,2,1,7,2,2,2,6,5,5,5,5,4,2,2,1,3,2,2,2,2,2,2,1,9,2,2,135,56,2,8,5,1,9,0,3,2,1,1,2,2,4,2,1,1,1,5,5,4,5,4,1,16
1,135,57,2,1,6,5,3,6,3,2,19,1,3,1,2,6,4,2,3,7,2,8,3,5,1,1,3,1,2,1,1,1,2,2,2,2,6,5,5,5,2,4,2,1,2,3,2,4,3,2,3,2,3,7,4,2,135,57,2,7,7,3,2,0,3,2,1,1,1,1,2,1,1,1,1,1,1,3,5,4,3,54
1,135,58,2,1,8,8,3,9,3,3,21,11,8,4,3,2,2,3,3,8,3,4,6,9,1,2,7,2,2,3,3,2,3,1,3,5,5,5,5,5,5,4,2,2,1,2,1,1,1,2,3,1,3,9,8,2,135,58,2,6,10,9,9,0,1,3,1,3,3,2,1,2,2,4,1,2,3,1,2,3,2,34
1,135,59,2,1,7,6,3,7,1,2,23,2,3,1,1,4,5,1,2,7,11,2,4,4,2,2,4,1,2,2,1,1,2,2,2,1,5,5,5,5,5,2,2,2,2,2,2,2,2,3,1,2,3,5,4,2,135,59,2,2,5,5,9,0,3,2,1,1,3,1,3,3,1,5,1,2,3,2,4,2,4,48
1,135,60,2,1,5,5,3,9,2,2,26,3,5,1,3,5,5,1,2,7,2,6,4,6,2,2,5,3,2,3,2,1,2,2,3,3,2,2,5,5,5,3,3,2,2,3,3,3,2,2,0,2,1,8,8,2,135,60,2,4,2,9,9,0,3,2,2,3,3,1,3,0,1,1,2,1,3,3,5,2,5,63
1,135,61,2,1,4,3,3,6,2,1,27,6,4,3,3,2,2,2,2,7,2,6,3,4,2,2,4,1,2,2,2,1,1,5,3,1,4,4,5,5,2,5,2,2,2,2,3,2,3,2,2,2,3,8,7,2,135,61,2,3,1,1,9,0,2,2,1,1,1,2,3,1,1,3,1,1,1,3,3,2,5,65
1,135,62,2,1,2,2,3,6,2,1,28,11,2,1,1,5,5,1,2,7,3,8,3,6,2,2,4,1,2,1,1,3,2,2,3,4,2,5,5,5,2,4,3,4,2,4,2,2,2,5,5,4,1,6,1,2,135,62,2,4,10,6,9,0,2,2,1,1,1,2,3,1,1,1,2,2,2,2,3,1,3,3
1,135,63,2,1,5,5,3,9,2,2,28,1,3,2,3,4,4,1,2,7,2,8,10,5,10,2,4,1,2,3,1,1,2,2,2,2,3,5,5,5,2,3,2,2,2,1,2,5,1,1,1,2,4,7,5,2,135,63,2,4,3,3,9,0,3,2,2,1,1,2,4,5,1,1,3,2,3,3,5,4,2,43
1,135,64,2,1,7,6,3,9,2,1,22,11,5,3,1,1,2,1,2,7,3,2,3,9,11,4,4,3,2,3,1,1,6,2,3,3,2,5,5,5,4,3,2,3,2,2,2,2,2,2,2,3,3,4,6,2,135,64,2,5,2,1,9,0,3,2,2,1,1,1,2,2,1,1,1,1,1,2,3,2,4,38
1,135,65,2,1,4,3,3,7,2,1,23,11,6,4,2,4,5,1,3,7,1,2,3,8,11,3,5,2,1,3,2,1,3,1,3,3,6,5,5,5,5,2,2,2,2,2,3,3,3,1,2,1,3,11,0,2,135,65,2,11,11,4,0,0,2,2,1,2,3,2,4,4,1,1,1,1,5,4,5,4,2,91
1,135,66,2,1,6,5,3,6,1,1,24,2,3,1,1,5,6,1,1,7,3,3,3,7,11,2,3,1,2,3,1,1,1,3,4,2,1,5,5,5,5,3,1,1,1,1,2,1,1,1,1,1,3,6,6,2,135,66,2,6,2,3,9,0,3,2,2,1,1,2,4,5,2,1,1,1,3,2,5,4,5,68
1,135,67,2,1,3,2,3,9,2,1,24,3,2,3,1,2,4,1,2,7,4,6,2,4,11,2,6,1,1,3,1,1,2,3,3,3,1,4,4,4,2,4,1,5,2,3,3,2,2,2,2,2,1,5,2,2,135,67,2,1,10,3,9,0,3,2,1,1,1,1,2,1,1,3,2,1,1,2,5,4,2,36
1,135,68,2,1,4,3,3,9,2,1,24,1,4,1,2,5,5,1,2,7,1,6,2,7,11,3,2,1,1,3,3,2,2,2,4,4,2,0,0,0,3,4,2,2,2,4,2,4,2,2,2,2,1,3,3,2,135,68,2,1,10,4,9,0,2,2,1,1,1,2,4,3,1,1,3,3,3,2,3,2,2,105
1,135,69,2,1,6,6,3,9,2,1,29,11,5,1,2,2,2,1,2,7,3,6,2,3,11,11,6,1,2,2,1,2,2,2,2,3,2,5,5,5,5,2,2,2,2,2,2,1,2,3,3,2,3,6,11,2,135,69,2,6,6,9,9,0,3,2,2,1,1,2,3,2,1,1,1,2,2,2,5,4,3,34
1,135,70,2,1,7,6,3,9,1,1,27,11,8,1,1,3,3,1,2,7,4,8,6,6,2,2,7,1,2,1,1,2,1,3,1,2,4,5,5,5,5,2,2,4,2,2,2,2,2,2,2,3,3,6,7,2,135,70,2,4,2,10,0,0,3,2,1,1,3,2,3,3,1,1,1,1,1,3,1,1,4,37
1,135,71,2,1,6,5,3,5,2,1,21,11,2,4,1,2,2,1,1,7,3,6,2,7,1,2,3,1,2,2,1,1,2,2,2,3,2,5,5,5,5,2,2,2,2,2,2,2,4,2,2,2,3,7,3,2,135,71,2,6,2,3,9,0,3,2,2,1,1,2,2,3,1,1,2,1,1,2,3,2,5,58
1,135,72,2,1,3,3,3,4,3,2,29,2,2,1,2,5,5,1,2,7,2,6,2,2,1,1,4,1,2,2,2,1,2,2,3,2,6,5,5,5,5,3,2,2,2,2,1,2,2,1,3,1,1,8,11,2,135,72,2,5,1,1,9,0,1,2,1,1,1,2,2,1,1,1,1,1,5,4,4,4,5,97
1,135,73,2,1,4,3,3,9,2,1,23,4,3,1,3,2,2,1,2,7,2,6,4,8,1,1,4,3,2,3,2,2,6,2,3,3,2,5,5,5,5,4,2,2,2,3,4,2,2,2,2,3,3,3,4,2,135,73,2,2,1,9,9,0,3,2,2,1,1,2,2,1,1,1,2,1,5,4,4,1,5,76
1,135,74,2,1,4,3,3,7,1,1,28,1,4,1,3,5,5,1,2,7,2,8,4,6,1,1,3,1,2,3,1,1,2,2,1,1,2,5,5,5,5,3,2,5,2,2,2,2,2,4,4,4,3,8,3,2,135,74,2,7,1,9,9,0,3,2,1,1,1,1,2,1,1,2,2,1,2,2,3,1,5,48
1,135,75,2,2,7,0,4,6,3,3,21,11,5,1,1,1,1,1,1,7,3,2,4,4,2,2,4,2,2,2,1,1,1,2,3,1,2,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,3,4,3,2,135,75,2,3,4,3,9,0,3,2,2,1,1,2,4,4,1,1,1,2,3,4,3,4,4,54
1,135,76,2,2,7,7,4,6,3,3,21,11,6,3,3,5,5,1,2,7,3,8,4,7,2,2,5,1,2,3,1,2,2,2,3,3,1,5,5,5,5,2,1,2,2,3,2,2,2,4,1,2,3,2,7,2,135,76,2,1,2,2,9,0,3,2,1,3,3,2,4,4,1,1,1,1,1,3,3,4,4,9
1,135,77,2,2,6,5,4,6,3,3,20,11,4,1,1,2,1,1,2,7,3,6,2,7,0,1,5,3,2,3,2,1,2,2,2,2,1,5,5,5,5,4,3,4,2,2,2,2,2,1,2,2,3,5,2,2,135,77,2,10,10,9,9,0,2,2,1,1,3,2,4,3,1,1,1,1,2,2,3,1,4,6
