CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.29B.,Q.29C.,Q.30A.,Q.30C.,Q.30D.,Q.31.,Q.32A.,Q.32B.,Q.36.,Q.37A.,Q.37B.,Q.37C.,Q.38A.,Q.38C.,Q.38D.,Q.39.,Q.40A.,Q.40B.,Q.33A.,Q.34.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.52B.,CARD..1,DECK..1,BALLOT..1,Q.52C.,Q.52D.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63A.,Q.63B.,Q.63C.,Q.63D.,Q.63E.,Q.63F.,Q.63G.,Q.63H.,V.65.,V.66.,V.67.,V.68.
1,213,13,4,3,4,6,5,1,1,1,1,68,1,2,2,1,2,3,3,2,2,2,2,3,1,1,3,3,1,2,3,2,1,2,2,4,7,1,1,11,9,9,9,9,9,9,9,9,99,99,2,2,1,1,3,3,6,2,3,1,3,1,1,2,213,13,3,1,2,1,1,4,5,3,6,3,3,2,3,3,3,3,3,1,1,1,1,24,2,2
1,213,14,4,3,2,6,5,1,2,1,1,93,1,1,2,1,1,2,3,2,2,3,2,4,2,1,3,3,1,1,1,1,1,1,2,1,6,1,1,11,9,9,9,9,9,9,9,9,99,99,1,3,1,2,2,3,4,2,4,1,3,1,2,2,213,14,3,2,1,5,1,1,1,3,2,2,2,2,1,3,3,2,2,2,1,2,1,24,2,2
1,213,15,4,3,3,6,5,1,3,1,2,75,3,2,2,3,4,1,2,4,1,4,2,5,1,1,3,3,1,2,6,1,1,1,2,2,6,1,11,11,9,9,9,9,9,9,9,9,99,99,4,6,1,3,2,5,1,1,1,1,3,3,3,2,213,15,3,1,2,1,3,2,3,2,2,4,3,5,3,1,2,2,1,3,3,2,1,24,2,2
1,213,16,4,3,3,6,5,1,3,1,3,65,3,2,2,2,3,3,3,3,3,2,2,5,3,2,3,2,1,1,1,2,4,6,2,4,7,2,11,11,9,9,9,9,9,9,9,9,99,99,3,2,1,3,2,3,1,2,3,1,3,1,2,2,213,16,2,2,1,1,2,1,3,1,6,2,2,2,1,2,1,2,2,2,2,2,1,24,2,2
1,213,17,4,3,1,6,5,1,2,1,1,97,0,1,10,4,4,1,4,4,3,4,2,4,1,1,3,1,1,2,1,1,2,5,3,2,6,6,1,11,9,9,9,9,9,9,9,9,99,99,1,3,1,3,3,3,1,2,4,2,1,4,1,2,213,17,1,3,1,1,4,5,5,3,5,3,3,5,3,5,3,3,4,1,2,2,1,24,2,2
1,213,18,4,3,1,7,5,1,2,1,1,70,1,1,2,2,3,1,3,2,2,3,2,5,1,2,3,3,1,1,2,1,1,1,2,4,1,1,1,11,9,9,9,9,9,9,9,9,99,99,2,4,1,3,2,3,2,1,4,2,3,2,3,2,213,18,3,2,2,1,2,1,1,1,3,2,3,4,2,3,3,2,2,1,1,1,1,24,2,2
1,213,19,4,3,2,7,5,1,3,1,2,94,3,2,1,1,1,2,3,2,2,2,2,4,1,2,3,3,1,1,5,1,1,1,1,1,1,2,1,1,9,9,9,9,9,9,9,9,99,99,4,4,1,3,3,2,4,1,2,1,4,1,1,2,213,19,3,3,3,5,2,1,1,1,1,2,1,1,2,3,1,2,2,2,2,1,1,24,1,1
1,213,20,4,4,3,7,5,1,3,1,1,68,1,1,2,2,3,1,5,3,1,2,2,4,1,2,3,2,1,1,3,1,4,6,2,4,7,1,1,12,9,9,9,9,9,9,9,9,99,99,1,6,1,1,3,2,2,2,2,2,3,1,1,2,213,20,1,2,2,3,1,4,1,1,5,2,3,3,3,4,3,3,3,1,2,1,1,24,2,2
1,213,21,4,5,4,6,5,1,2,1,1,80,3,1,2,4,4,1,5,4,2,4,2,3,1,2,3,2,1,2,1,1,1,6,3,2,3,1,1,11,9,9,9,9,9,9,9,9,99,99,1,3,1,2,2,4,2,2,2,3,3,2,3,2,213,21,3,2,2,5,1,2,4,2,6,3,3,5,2,3,2,3,3,1,2,1,1,24,2,2
1,213,22,4,5,1,6,5,1,3,1,2,90,1,4,2,2,4,1,3,4,3,2,2,4,2,2,3,3,1,2,6,1,1,1,2,2,7,5,11,11,9,9,9,9,9,9,9,9,99,99,4,6,1,2,3,3,6,2,1,1,2,2,2,2,213,22,1,2,2,1,1,1,1,3,6,5,3,6,2,3,1,3,1,3,2,1,1,24,2,2
1,213,23,3,2,1,4,7,1,4,2,2,92,24,2,1,1,1,1,3,2,1,1,2,5,2,2,3,3,24,2,2,1,2,3,3,2,2,3,2,2,9,9,9,9,9,9,9,9,99,99,4,5,1,6,1,3,3,1,4,1,4,1,1,2,213,23,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,3,2,2,2,30,2,2
1,213,24,2,2,1,4,7,1,3,1,2,95,24,2,1,1,1,2,2,2,3,2,2,4,1,2,3,3,24,1,2,1,1,1,1,1,1,4,11,12,9,9,9,9,9,9,9,9,99,99,4,4,1,6,3,3,4,1,2,2,3,2,1,2,213,24,2,1,3,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,3,2,2,30,2,2
1,213,25,3,2,3,5,7,2,3,3,2,98,16,4,2,3,4,2,2,4,3,2,2,3,1,4,3,3,21,2,1,2,2,6,1,1,1,1,11,11,9,9,9,9,9,9,9,9,99,99,4,6,2,2,2,5,6,1,2,2,1,3,1,2,213,25,1,2,3,1,2,4,4,3,2,2,3,2,2,2,2,2,2,3,3,2,3,21,2,2
1,213,26,3,2,2,2,7,1,3,1,1,94,24,1,1,1,2,1,1,2,2,2,2,7,1,2,3,3,24,1,2,1,3,3,3,4,4,4,2,2,9,9,9,9,9,9,9,9,99,99,4,3,1,5,2,4,3,1,3,2,2,2,2,2,213,26,3,2,1,2,1,1,1,1,2,2,3,2,2,4,3,3,2,2,2,2,2,30,2,2
1,213,27,3,2,2,4,7,2,3,3,2,95,24,2,1,1,1,2,1,1,1,1,2,4,1,1,3,3,24,1,4,1,2,3,3,2,2,3,3,3,9,9,9,9,9,9,9,9,99,99,4,5,1,3,1,2,6,1,4,2,1,1,1,2,213,27,1,1,1,1,1,1,3,1,1,1,1,1,2,3,2,1,1,1,2,2,2,30,2,2
1,213,28,3,2,1,5,7,3,3,3,2,95,24,3,1,1,2,1,2,1,1,1,2,4,1,2,3,3,24,2,2,1,2,1,4,4,3,3,1,1,9,9,9,9,9,9,9,9,99,99,4,3,2,3,2,3,3,1,4,2,4,2,1,2,213,28,3,1,1,1,1,2,4,2,6,2,3,4,2,2,2,1,1,3,2,2,2,30,2,2
1,213,29,4,2,1,5,7,1,2,1,2,96,24,3,1,1,2,3,3,5,1,1,2,3,1,2,3,3,24,1,2,1,1,6,1,4,4,3,11,12,9,9,9,9,9,9,9,9,99,99,4,5,1,1,2,3,4,1,2,1,1,1,1,2,213,29,2,1,2,1,1,1,4,1,1,2,1,2,1,2,2,2,1,2,2,1,2,30,2,1
1,213,30,3,2,3,4,8,2,2,1,1,97,24,1,99,2,3,1,2,3,1,3,2,4,1,6,3,3,24,2,2,1,1,1,1,1,1,4,12,12,9,9,9,9,9,9,9,9,99,99,4,5,2,3,1,2,3,1,2,1,1,1,1,2,213,30,3,1,1,5,2,2,2,1,1,2,3,2,1,2,1,2,2,3,2,2,2,30,2,2
1,213,31,2,3,1,5,6,2,4,2,2,94,16,3,10,3,4,4,4,4,3,4,2,4,1,2,3,3,24,2,1,1,1,6,3,3,6,2,1,11,9,9,9,9,9,9,9,9,99,99,4,5,2,2,2,5,6,1,4,1,3,2,1,2,213,31,2,2,2,6,1,2,4,3,6,3,3,3,2,3,3,2,2,1,3,2,3,21,2,2
1,213,32,3,3,1,4,6,1,4,2,2,86,24,2,1,1,1,2,3,1,1,2,2,7,1,2,3,3,24,1,2,1,1,1,1,1,1,2,1,1,9,9,9,9,9,9,9,9,99,99,4,4,1,6,2,3,3,1,4,1,4,1,1,2,213,32,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,30,2,2
1,213,33,4,3,1,2,7,2,5,2,2,73,3,3,10,3,4,2,3,3,1,3,2,5,2,1,3,3,21,2,1,3,1,6,1,1,6,4,11,11,9,9,9,9,9,9,9,9,99,99,4,3,2,1,1,1,3,1,1,2,1,2,2,2,213,33,3,3,2,4,1,1,1,1,1,1,3,2,1,3,2,2,1,1,3,3,1,27,1,2
1,213,34,2,4,5,1,6,3,3,2,2,90,12,4,1,3,3,2,2,5,3,4,2,4,1,4,3,2,13,2,1,2,4,6,4,4,1,6,12,12,9,9,9,9,9,9,9,9,99,99,5,3,11,7,5,6,1,4,5,4,5,4,4,2,213,34,4,4,5,6,4,5,5,0,0,0,0,0,0,0,0,1,0,4,4,0,3,22,2,1
1,213,35,4,4,3,5,7,1,5,2,2,94,41,4,10,3,4,3,2,4,2,5,2,3,1,2,3,4,24,2,1,1,1,1,1,1,1,5,12,12,9,9,9,9,9,9,9,9,99,99,4,5,11,2,2,5,6,1,4,2,2,2,3,2,213,35,3,3,3,5,2,3,4,3,2,3,3,3,1,2,1,1,1,2,3,3,3,21,2,2
1,213,36,2,4,3,2,8,1,5,2,2,94,24,1,1,1,1,2,2,1,1,1,2,8,1,0,3,3,24,1,2,2,2,6,1,1,2,2,4,3,9,9,9,9,9,9,9,9,99,99,4,5,1,2,2,1,5,1,4,1,4,2,1,2,213,36,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,2,30,2,2
1,213,37,3,5,2,5,7,3,3,2,2,79,24,2,1,1,2,1,1,2,1,2,2,6,1,2,3,3,24,2,2,1,1,6,1,4,1,5,11,12,9,9,9,9,9,9,9,9,99,99,4,5,2,4,4,2,2,1,4,1,4,1,2,2,213,37,3,1,1,3,2,1,4,1,5,2,2,4,2,3,2,2,2,1,1,1,2,30,2,2
1,213,38,4,6,1,4,8,1,3,2,3,95,24,2,10,3,3,2,3,2,1,1,2,4,2,1,3,1,24,1,1,1,1,1,1,1,1,6,11,11,9,9,9,9,9,9,9,9,99,99,2,4,1,2,3,2,5,3,4,1,3,1,1,2,213,38,2,2,1,2,1,1,1,1,1,1,1,1,3,2,2,3,2,1,1,4,2,30,2,2
1,213,39,2,3,2,5,6,1,3,1,2,91,24,3,1,2,5,1,2,3,3,4,2,5,1,2,3,4,24,1,2,1,3,4,1,1,6,4,2,2,9,9,9,9,9,9,9,9,99,99,4,3,1,4,2,3,6,1,4,3,3,1,2,2,213,39,3,2,2,5,2,1,4,1,2,2,3,2,1,3,2,2,1,3,2,2,2,30,2,2
1,213,40,3,3,1,5,6,1,3,1,3,75,16,3,1,2,4,1,3,5,1,1,2,5,2,2,3,3,24,2,2,1,2,4,3,2,3,2,12,1,9,9,9,9,9,9,9,9,99,99,4,3,2,3,3,2,7,1,2,2,2,1,2,2,213,40,1,2,1,1,1,2,1,2,6,3,3,4,1,1,3,3,1,2,1,1,3,21,2,2
1,213,41,2,3,2,4,7,1,2,1,1,86,24,2,1,2,3,4,6,5,3,1,2,6,1,7,3,3,24,2,2,1,2,3,1,1,1,3,1,2,9,9,9,9,9,9,9,9,99,99,4,3,1,6,2,3,4,1,3,2,3,1,1,2,213,41,3,1,1,3,2,1,3,1,2,2,3,2,3,4,2,2,2,2,2,2,2,30,2,2
1,213,42,2,3,3,5,7,1,3,3,2,94,24,2,1,2,3,2,2,3,1,2,2,4,1,2,3,3,24,1,2,1,1,6,3,3,4,2,2,2,9,9,9,9,9,9,9,9,99,99,4,4,1,4,2,3,2,1,4,2,5,2,2,2,213,42,3,2,2,5,2,2,4,1,2,2,2,3,2,2,1,1,1,1,2,2,2,30,2,2
1,213,43,2,3,1,4,7,1,3,1,2,92,24,2,1,1,2,3,2,3,3,4,2,4,1,2,3,3,24,2,2,1,4,1,4,1,1,5,12,12,9,9,9,9,9,9,9,9,99,99,4,4,1,3,2,3,2,1,3,2,3,2,2,2,213,43,3,3,3,1,2,2,4,2,3,2,3,2,1,2,1,2,1,2,3,3,2,30,2,2
1,213,44,3,3,1,5,7,1,2,1,2,95,24,2,1,1,5,2,2,2,1,4,2,4,1,2,3,3,24,1,2,1,1,1,1,1,1,2,1,12,9,9,9,9,9,9,9,9,99,99,4,5,1,5,2,3,3,1,3,2,3,2,2,2,213,44,3,2,2,1,2,2,4,1,2,2,1,1,2,3,2,3,2,2,2,1,2,30,2,2
1,213,45,4,3,3,5,7,1,3,3,2,88,24,3,1,1,2,3,2,3,2,2,2,4,1,4,3,3,24,2,2,1,1,1,1,1,1,5,1,1,9,9,9,9,9,9,9,9,99,99,4,4,11,3,1,3,2,1,4,2,3,1,1,2,213,45,2,2,2,5,2,2,3,2,3,2,2,2,3,3,2,2,2,2,2,3,2,30,2,2
1,213,46,4,3,1,5,7,3,3,3,2,67,16,4,2,3,3,1,2,4,3,4,2,7,2,7,3,3,23,2,1,1,3,5,2,4,6,4,6,11,9,9,9,9,9,9,9,9,99,99,4,3,3,2,3,5,6,1,1,1,4,1,1,2,213,46,3,4,2,1,2,4,4,2,1,1,3,2,1,4,2,2,2,3,2,2,3,21,2,2
1,213,47,2,4,3,4,6,2,3,3,3,90,24,3,1,1,5,1,2,5,1,2,2,4,1,2,3,3,22,2,2,1,2,4,1,1,1,5,3,3,9,9,9,9,9,9,9,9,99,99,4,4,2,3,3,3,3,1,4,2,3,1,1,2,213,47,2,2,2,1,1,1,3,1,3,5,4,6,4,5,4,4,4,4,4,2,2,30,2,2
1,213,48,4,4,1,4,8,2,3,1,1,95,24,3,99,2,2,1,2,3,1,1,2,7,1,4,3,3,22,2,2,2,3,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,99,99,3,4,2,4,2,1,5,1,4,2,2,1,1,2,213,48,3,2,1,4,1,1,3,1,2,1,2,1,1,3,2,1,1,2,2,2,2,30,2,2
1,213,49,4,6,3,4,8,1,3,3,3,95,24,1,1,1,1,1,3,2,1,1,2,6,1,2,3,2,24,1,4,1,1,1,1,4,1,3,11,11,9,9,9,9,9,9,9,9,99,99,2,6,1,4,3,3,5,2,4,1,3,1,2,2,213,49,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,2,2,1,2,1,2,30,2,2
1,213,50,2,3,1,6,7,3,3,2,2,95,16,3,10,3,4,1,4,3,2,4,2,3,1,4,3,3,31,2,1,1,1,1,1,1,1,5,11,11,9,9,9,9,9,9,9,9,99,99,4,5,3,2,2,4,2,1,1,3,3,2,3,2,213,50,2,3,3,4,1,2,4,2,5,3,3,5,1,3,1,2,2,2,3,2,3,21,2,2
1,213,51,2,3,1,8,6,1,3,2,2,95,24,3,1,2,2,1,2,3,1,4,2,4,1,2,3,3,24,2,2,1,1,1,3,4,3,4,3,3,9,9,9,9,9,9,9,9,99,99,4,4,1,3,2,3,3,1,4,2,3,2,1,2,213,51,3,3,2,4,1,2,4,2,3,2,2,2,2,2,1,1,2,2,2,2,2,30,2,2
1,213,52,3,3,3,8,7,2,3,2,2,88,24,4,1,2,2,1,2,3,1,4,2,7,1,5,3,3,23,2,2,1,1,1,1,1,1,5,11,11,9,9,9,9,9,9,9,9,99,99,4,5,2,5,2,3,2,1,3,3,3,1,1,2,213,52,3,1,1,4,2,2,3,2,2,3,2,3,3,4,3,3,2,1,2,1,2,30,2,2
1,213,53,1,3,1,4,7,2,5,2,2,87,13,4,1,3,5,1,2,4,1,4,2,6,2,2,3,3,21,2,4,2,3,5,1,1,1,2,12,12,9,9,9,9,9,9,9,9,99,99,4,5,1,4,2,5,1,1,2,2,3,1,1,2,213,53,3,2,1,5,3,3,4,2,2,4,3,5,1,1,1,2,1,3,2,3,3,13,2,2
1,213,54,1,5,1,4,7,2,3,2,2,95,3,4,8,3,4,1,4,4,1,5,2,4,1,4,3,3,21,2,1,1,1,1,1,1,1,1,11,11,9,9,9,9,9,9,9,9,99,99,4,5,2,2,2,3,5,1,4,1,1,1,1,2,213,54,1,1,2,1,1,1,1,1,5,3,3,2,1,3,1,1,1,2,3,2,1,11,2,2
1,213,55,1,3,4,2,6,1,5,3,2,71,11,4,10,3,3,1,2,4,1,3,2,4,1,4,3,2,13,2,3,2,2,5,1,4,2,5,12,1,9,9,9,9,9,9,9,9,99,99,4,3,11,7,5,6,7,4,5,4,5,4,4,2,213,55,4,4,5,6,4,5,5,3,6,5,4,6,4,5,4,4,4,4,4,4,3,13,2,2
1,213,56,1,3,3,1,6,1,4,3,2,95,13,4,9,1,4,1,4,3,1,1,2,7,1,7,3,3,13,2,3,2,2,5,1,2,5,1,2,1,9,9,9,9,9,9,9,9,99,99,4,6,1,4,3,4,4,1,4,3,3,1,1,2,213,56,3,2,1,1,3,1,1,1,2,5,4,6,4,5,4,4,4,4,4,4,3,13,2,2
1,213,57,1,3,1,5,7,2,3,1,2,93,3,3,2,2,2,1,3,3,2,3,2,5,1,4,3,3,21,2,2,1,1,1,1,1,1,2,12,11,9,9,9,9,9,9,9,9,99,99,4,4,2,3,3,4,3,1,4,2,3,2,3,2,213,57,2,1,3,1,1,2,3,1,3,2,2,4,2,3,2,1,1,2,2,2,1,10,2,1
1,213,58,1,4,1,1,6,1,5,3,2,98,13,4,1,1,4,2,4,3,1,1,2,7,1,7,3,3,13,2,2,2,2,5,1,1,6,1,11,11,9,9,9,9,9,9,9,9,99,99,4,5,1,5,3,4,5,1,4,3,3,1,1,2,213,58,3,2,1,2,3,1,3,1,2,1,4,6,4,5,4,4,4,4,4,4,3,13,2,2
1,213,59,1,2,3,6,7,2,4,2,2,96,11,2,10,1,2,1,3,2,3,4,2,4,1,4,3,3,11,2,1,1,2,5,1,1,1,2,11,11,9,9,9,9,9,9,9,9,99,99,4,3,2,2,2,4,1,2,3,2,1,2,2,2,213,59,3,2,3,5,1,2,3,2,2,3,3,4,1,2,1,2,2,2,2,1,3,13,2,2
1,213,60,1,2,3,6,7,2,3,2,3,95,3,3,2,3,5,1,5,3,3,4,2,5,1,4,3,2,21,2,2,1,2,5,2,3,5,4,11,11,9,9,9,9,9,9,9,9,99,99,2,4,2,3,2,3,2,2,4,3,3,2,2,2,213,60,1,3,2,4,3,3,4,2,2,3,3,4,1,2,3,2,2,4,2,1,1,10,2,1
1,213,61,1,2,1,6,8,3,2,1,2,95,11,4,1,2,3,1,2,4,1,4,2,5,1,4,3,3,13,2,4,2,1,3,1,1,1,5,11,11,9,9,9,9,9,9,9,9,99,99,4,4,3,2,2,5,1,1,2,2,4,2,1,2,213,61,2,3,1,3,2,3,4,2,2,4,3,5,3,3,2,3,2,1,3,2,3,13,2,2
1,213,62,1,3,1,6,7,2,4,2,2,92,2,4,2,3,4,1,2,4,3,4,2,5,1,5,3,3,22,2,2,1,3,5,2,3,5,4,1,11,9,9,9,9,9,9,9,9,99,99,4,4,2,2,2,3,2,1,4,1,3,3,2,2,213,62,1,2,2,4,3,3,3,2,5,2,3,5,2,3,1,2,2,2,3,3,1,10,2,1
1,213,63,1,4,3,6,7,1,4,2,2,98,13,4,2,3,4,1,5,4,3,4,2,8,2,5,3,4,13,2,2,1,3,5,1,1,6,5,12,1,9,9,9,9,9,9,9,9,99,99,4,4,1,4,4,5,1,2,2,2,3,1,2,2,213,63,3,1,1,3,2,3,3,2,5,2,3,5,3,3,2,2,2,1,1,2,3,13,2,2
1,213,64,1,4,1,6,7,2,3,2,2,94,3,3,1,2,5,3,3,5,1,1,2,4,1,5,3,4,21,2,2,3,4,6,3,4,7,6,12,12,9,9,9,9,9,9,9,9,99,99,4,6,2,2,2,3,2,1,4,3,3,1,1,2,213,64,3,3,4,5,3,5,4,1,6,1,1,1,1,1,1,4,2,2,3,2,1,10,1,2
1,213,65,1,2,1,4,5,3,5,2,2,45,3,3,1,2,5,1,3,4,3,2,2,6,2,2,3,3,21,2,2,1,1,1,1,1,1,3,12,12,9,9,9,9,9,9,9,9,99,99,4,5,3,2,3,3,6,1,4,1,1,2,2,2,213,65,2,2,4,1,3,3,1,1,1,4,3,5,3,3,3,3,3,1,3,2,1,10,1,2
1,213,66,1,2,1,2,5,2,3,2,2,60,3,1,1,1,1,2,3,2,2,3,2,4,1,2,3,3,21,1,2,1,1,1,1,4,1,5,1,1,9,9,9,9,9,9,9,9,99,99,2,3,2,3,3,1,6,2,5,4,5,4,4,2,213,66,4,4,5,1,1,1,1,1,4,5,4,6,4,5,4,4,4,4,4,4,1,10,1,2
1,213,67,4,2,1,6,5,1,2,1,1,74,1,1,8,3,4,3,4,2,2,2,2,3,1,4,3,3,1,1,1,1,1,1,1,1,1,6,11,11,9,9,9,9,9,9,9,9,99,99,4,3,1,1,3,4,6,1,1,2,3,2,1,2,213,67,2,1,2,5,2,4,3,2,5,4,3,3,2,3,3,3,2,2,2,2,1,11,2,2
1,213,68,4,2,1,6,5,1,3,1,1,74,3,4,2,3,4,1,5,4,2,4,2,3,1,1,3,1,1,2,1,1,1,1,2,1,5,1,1,11,9,9,9,9,9,9,9,9,99,99,4,2,1,1,2,4,1,2,1,2,3,3,2,2,213,68,1,2,1,1,3,3,4,1,5,3,3,4,1,2,1,2,2,2,1,2,1,11,2,2
1,213,69,3,2,1,6,5,1,2,1,2,95,1,1,2,3,3,1,2,3,2,4,2,3,1,4,3,3,1,2,2,1,1,1,2,3,5,1,1,11,9,9,9,9,9,9,9,9,99,99,4,4,1,2,2,5,2,1,2,2,2,1,1,2,213,69,3,2,2,5,2,3,2,1,1,4,3,5,1,2,1,2,1,3,3,3,1,11,2,2
1,213,70,3,2,2,6,5,1,2,1,1,79,2,1,1,1,2,2,3,2,2,3,2,5,1,1,3,2,1,1,2,1,1,5,1,4,7,3,2,1,9,9,9,9,9,9,9,9,99,99,2,6,11,4,2,3,2,1,3,2,3,2,1,2,213,70,2,2,2,4,2,2,1,1,5,3,2,5,2,3,2,3,2,2,2,1,1,10,1,2
