CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34A.,Q.34B.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.42B.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53A.,Q.53B.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58A.,CARD..1,DECK..1,BALLOT..1,Q.59A.,Q.59B.,Q.60.,Q.61.,Q.62.,Q.63.,V.64G.,V.64H.,V.64I.,V.64J.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.74D.,Q.74E.,Q.75.,Q.76A.,Q.76B.,Q.77A.,Q.77B.,Q.78A.,Q.78B.,V.80.,V.81.,V.82.,V.83.
1,125,21,5,8,5,5,5,1,5,3,1,6,4,6,7,11,4,6,13,13,1,2,2,1,1,1,1,1,1,2,2,4,1,1,2,7,1,3,3,2,3,3,2,1,1,1,1,2,1,2,2,1,1,1,1,7,9,2,6,1,1,2,2,125,21,3,3,6,6,1,2,1,2,3,4,5,1,2,1,4,2,2,4,3,2,2,1,1,1,2,2,6,3,4,5,6,2,4,4,717
1,125,22,5,8,5,2,4,1,5,3,1,6,5,6,7,6,4,6,7,7,1,2,2,1,2,3,3,2,2,2,2,3,2,3,3,9,3,3,6,3,4,4,2,2,2,2,1,2,2,2,2,3,2,3,3,9,11,4,3,6,2,3,2,125,22,5,8,6,6,1,3,2,1,3,4,1,1,2,1,4,3,2,3,5,2,2,2,2,1,2,2,6,1,4,5,6,2,4,12,172
1,125,23,5,8,5,1,4,1,5,3,1,6,5,7,8,11,4,7,9,10,3,1,1,2,3,1,1,5,3,5,3,4,1,1,3,9,4,2,3,3,3,2,2,2,1,2,2,4,3,3,2,4,5,4,4,9,11,3,3,6,2,3,2,125,23,1,6,6,6,1,2,1,2,3,4,5,2,2,1,2,2,3,4,1,2,1,1,1,1,2,5,1,3,3,5,5,4,4,6,4868
1,125,24,5,8,5,3,5,1,5,3,1,6,6,8,8,11,4,8,9,9,2,2,2,1,2,2,1,1,1,2,2,4,4,2,3,0,4,3,3,2,3,3,2,1,1,2,2,2,2,3,2,1,3,3,3,9,11,2,2,1,2,3,2,125,24,1,1,6,6,1,1,1,2,3,4,1,1,2,1,4,2,2,3,2,2,1,1,2,2,8,2,6,3,4,5,6,1,3,6,2077
1,125,25,5,8,5,2,1,1,5,3,1,6,6,4,8,1,4,4,9,10,3,3,2,1,2,3,1,3,3,2,2,4,4,11,2,7,3,3,2,2,3,3,2,2,1,2,2,4,2,3,3,5,4,4,5,9,11,1,6,6,2,3,2,125,25,3,6,6,6,1,1,1,2,3,4,5,1,1,1,4,6,1,4,4,2,2,1,1,1,2,5,1,3,3,2,5,4,4,6,4873
1,125,26,5,8,5,3,1,1,5,3,1,6,1,2,8,11,4,1,5,5,4,3,2,1,2,4,3,2,2,1,2,4,4,3,3,9,1,3,2,3,3,3,2,1,1,1,3,3,0,2,2,2,2,3,2,9,11,2,3,5,1,3,2,125,26,2,2,6,6,1,3,1,2,3,4,4,1,1,1,2,2,2,4,4,2,2,1,1,2,6,5,2,3,3,5,5,1,2,3,2758
1,125,27,7,8,5,6,1,1,5,3,2,7,7,8,7,11,4,7,14,14,1,2,2,1,2,1,1,1,1,1,1,4,1,3,2,1,3,3,4,3,3,3,2,2,1,1,1,1,1,2,2,2,2,1,1,1,7,3,3,1,2,2,2,125,27,6,11,6,6,1,2,3,2,1,4,5,1,1,1,4,2,3,2,3,2,2,1,2,1,2,5,6,3,4,5,6,4,4,8,3409
1,125,28,7,8,5,6,5,1,5,3,3,7,6,8,8,11,4,5,2,2,1,3,2,1,2,1,1,1,1,1,3,4,4,3,3,0,1,3,1,3,3,3,2,2,2,2,1,2,2,2,1,1,2,2,1,9,11,4,5,2,2,3,2,125,28,1,1,6,6,1,2,1,2,3,4,5,2,1,1,4,2,2,3,3,2,2,2,1,2,2,6,2,4,3,6,5,2,1,11,5697
1,125,29,7,8,5,6,5,1,5,3,3,7,6,8,8,11,4,2,2,6,1,2,2,1,2,2,3,1,1,1,1,4,2,11,1,4,3,3,3,3,3,3,3,1,1,1,1,1,3,3,1,1,3,1,1,9,11,4,5,2,2,3,2,125,29,6,11,6,6,1,1,5,5,5,5,4,1,1,1,4,1,2,2,1,2,2,1,1,2,2,5,4,1,3,5,5,2,1,11,5668
1,125,30,3,8,2,7,5,1,5,3,1,7,3,4,8,8,1,2,1,11,1,2,2,1,2,3,2,3,2,3,3,3,2,11,3,9,1,3,3,1,3,3,3,1,1,1,1,2,1,2,1,1,1,1,1,5,5,4,1,2,2,3,2,125,30,4,5,6,6,1,2,2,1,3,4,5,2,1,1,4,2,2,2,1,2,1,2,1,2,2,1,2,3,3,5,5,4,3,1,3562
1,125,31,5,8,2,5,2,1,5,3,1,6,6,8,8,11,4,8,9,10,2,3,2,1,3,3,2,1,3,2,3,4,1,4,1,5,3,3,3,2,2,3,1,2,2,1,1,2,3,2,2,4,4,6,4,1,7,3,2,6,2,3,2,125,31,1,1,6,6,1,3,1,2,3,4,5,2,1,2,1,2,2,4,2,2,2,1,2,1,2,1,1,3,3,5,5,2,1,6,230
1,125,32,4,8,3,7,1,1,5,3,2,6,1,3,8,11,4,3,12,10,2,2,2,1,1,3,2,1,2,2,2,4,4,3,1,1,1,1,10,2,2,2,2,2,2,1,1,2,2,2,3,4,4,3,3,9,11,1,1,4,1,3,2,125,32,2,6,6,6,1,1,3,1,2,4,5,1,2,1,4,2,2,3,1,2,1,1,2,1,1,2,6,3,4,5,6,1,3,12,1736
1,125,33,3,8,1,7,2,1,5,3,2,7,1,3,8,11,4,3,12,12,2,3,2,2,2,1,3,3,2,2,2,2,2,1,3,9,10,3,11,3,3,3,3,2,2,1,3,4,2,2,3,4,4,4,4,9,11,2,6,3,1,3,2,125,33,5,6,6,6,1,1,3,1,2,4,5,3,3,1,4,3,2,4,4,2,3,1,2,2,2,1,6,3,4,2,6,1,3,12,1735
1,125,34,3,8,1,3,1,1,5,3,1,6,6,7,7,11,4,7,14,3,1,1,2,1,2,3,2,3,1,1,1,2,2,4,2,4,2,3,3,2,3,3,1,1,1,1,1,1,1,2,3,4,2,2,1,9,11,3,1,6,2,3,2,125,34,1,1,6,6,1,1,1,2,3,4,1,1,1,1,4,1,2,3,2,1,1,1,1,1,8,5,4,3,3,5,5,1,2,12,1174
1,125,35,6,8,1,7,2,1,5,3,1,5,1,2,7,11,4,3,3,3,1,2,2,1,2,3,1,2,1,3,3,3,2,2,3,11,1,1,2,1,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,9,11,2,3,2,1,3,2,125,35,4,4,6,6,1,2,1,2,3,4,5,2,1,2,1,6,1,3,2,1,1,1,1,1,2,1,6,3,4,5,6,2,2,8,566
1,125,36,4,8,0,2,5,1,5,3,2,7,7,8,8,11,4,8,5,5,1,2,2,3,3,3,3,3,2,2,3,3,4,4,3,0,9,2,4,2,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,6,6,3,3,2,125,36,1,1,6,6,2,2,1,2,3,4,5,1,2,1,4,2,3,5,2,1,1,1,1,1,0,1,6,5,4,5,6,4,4,12,3240
1,125,37,3,8,5,3,2,1,5,3,2,7,7,8,8,9,4,8,1,10,3,1,2,3,3,3,1,4,2,2,4,4,4,3,1,0,4,3,6,3,2,3,2,2,2,2,2,1,1,4,4,4,5,4,4,2,9,4,4,6,2,3,2,125,37,1,2,6,6,2,2,1,2,3,4,5,2,1,2,1,3,2,4,3,2,1,2,2,2,1,1,6,3,4,5,6,4,4,4,4531
1,125,38,3,8,5,1,4,1,5,3,1,7,1,2,7,11,4,3,9,7,1,1,2,1,1,1,1,2,1,1,1,4,1,1,2,11,1,3,4,1,3,3,2,2,2,1,1,1,1,2,3,4,4,4,4,9,11,2,5,3,1,3,2,125,38,4,4,6,6,1,2,1,2,3,4,1,1,1,1,4,2,2,4,1,1,2,1,1,1,2,4,6,3,4,5,6,1,3,6,2183
1,125,39,3,8,5,2,5,1,5,3,2,7,7,8,8,11,4,8,9,10,2,1,2,1,1,1,1,0,4,5,5,4,2,2,1,1,4,3,5,3,3,3,2,2,1,2,4,1,1,3,2,2,2,2,2,1,2,2,5,6,2,3,2,125,39,6,11,6,6,1,1,3,1,2,4,5,1,1,1,4,1,2,2,2,3,3,1,3,3,2,6,4,4,1,6,5,1,3,6,1340
1,125,40,3,8,5,2,5,1,5,3,1,7,6,7,8,1,4,5,2,10,4,3,3,1,2,3,2,4,3,3,3,4,4,3,3,0,11,3,11,3,4,4,4,2,2,2,2,4,4,2,3,3,4,5,4,9,11,3,6,2,2,3,2,125,40,3,6,6,6,2,4,5,5,5,5,6,1,3,3,3,4,1,4,4,2,2,1,1,1,7,7,3,5,1,0,2,4,2,2,4608
1,125,41,3,8,5,2,4,1,5,3,1,7,5,3,8,1,4,5,2,2,2,2,2,1,2,3,2,1,2,3,2,4,2,1,2,8,2,3,4,3,3,3,1,2,2,2,1,3,4,2,2,2,3,3,3,9,11,4,3,2,2,3,2,125,41,1,1,6,6,2,2,4,2,3,1,5,1,2,1,5,3,2,4,4,2,1,1,2,1,1,5,4,3,3,5,5,4,2,2,4617
1,125,42,3,8,5,2,5,1,5,3,3,7,6,3,8,2,4,3,2,12,1,1,2,1,1,3,3,4,4,2,3,3,2,1,2,4,2,3,3,3,3,3,4,1,1,1,1,2,2,2,2,2,2,1,4,9,11,3,5,3,2,3,2,125,42,2,2,1,4,1,2,1,3,2,4,1,1,2,1,3,2,2,3,2,2,2,1,1,1,2,6,4,4,1,6,5,2,4,11,5804
1,125,43,3,8,5,1,4,1,5,3,1,7,1,2,7,11,4,1,5,5,1,2,2,1,2,2,3,1,2,1,2,4,4,4,1,1,1,3,1,2,3,3,4,1,1,2,1,2,2,3,3,2,2,2,3,9,11,4,4,5,1,3,2,125,43,2,4,6,6,1,3,1,3,2,4,5,1,1,1,4,2,2,3,1,2,1,1,1,1,1,2,6,3,4,5,6,4,4,3,3360
1,125,44,3,8,5,7,3,1,5,3,2,7,7,8,7,11,4,7,8,8,2,1,2,2,2,3,2,2,2,3,3,4,1,6,3,9,3,3,4,2,3,3,1,2,2,2,2,3,2,3,2,3,2,1,2,1,2,4,5,1,2,3,2,125,44,2,4,6,6,1,2,4,2,3,1,1,2,1,1,4,4,3,3,2,2,1,1,1,1,5,6,3,2,1,6,2,2,4,7,1490
1,125,45,3,8,5,2,4,1,5,3,2,7,6,7,8,9,4,0,5,5,1,3,2,2,2,1,1,3,3,2,2,3,1,1,2,10,4,3,6,3,3,3,2,1,1,2,2,2,3,2,4,5,5,4,5,2,9,3,6,2,2,3,2,125,45,1,2,1,3,1,4,4,3,1,2,6,1,1,1,4,2,2,4,2,1,2,1,1,1,2,3,6,3,4,2,6,4,4,2,3463
1,125,46,3,8,5,7,1,1,5,3,1,5,5,7,9,11,4,7,5,10,1,1,2,1,2,3,1,2,2,2,2,4,4,3,2,0,2,2,4,3,3,3,2,2,1,1,1,3,2,2,2,2,2,2,2,9,11,3,4,6,2,3,2,125,46,1,6,6,6,1,2,3,1,2,4,5,1,2,2,4,2,2,4,3,1,1,2,1,1,1,1,6,3,4,2,6,4,4,12,3264
1,125,47,3,8,5,5,4,1,5,3,1,5,1,3,5,11,4,3,1,10,3,1,1,1,3,3,2,4,2,1,3,4,3,4,3,11,1,2,1,2,1,1,2,1,1,3,1,3,2,5,4,5,5,5,5,9,11,2,6,1,2,3,2,125,47,2,2,6,6,2,2,1,2,3,4,5,1,1,1,4,4,2,4,4,1,1,1,2,2,1,6,4,4,3,5,5,3,2,12,4094
1,125,48,3,8,5,8,5,1,5,3,1,6,5,9,7,11,4,7,8,10,2,2,3,3,2,3,3,1,2,1,2,3,2,3,1,1,1,2,4,3,2,3,2,2,2,1,1,3,3,2,3,3,2,2,2,9,11,3,2,6,2,3,2,125,48,2,2,6,6,1,1,3,1,2,4,5,2,1,1,4,2,2,4,2,2,2,1,1,1,2,1,6,1,4,5,6,1,3,7,1908
1,125,49,3,8,5,3,5,1,5,3,1,6,5,7,7,11,4,7,12,10,1,1,2,1,2,1,2,2,2,1,3,4,2,12,2,4,3,3,3,3,3,3,1,2,1,3,1,2,2,2,3,3,4,4,3,9,11,4,5,6,2,3,2,125,49,2,3,6,6,1,2,3,4,2,1,1,2,2,1,4,3,2,4,2,2,2,1,1,1,2,2,6,3,4,5,6,2,4,12,11
1,125,50,3,8,5,3,2,1,5,3,1,6,6,7,8,1,4,7,3,3,1,2,2,1,2,1,3,1,5,5,5,4,4,1,3,9,3,2,3,2,3,3,2,1,1,1,1,2,1,2,3,3,3,6,4,9,11,2,6,6,2,3,2,125,50,1,2,6,6,2,4,3,1,2,4,4,1,2,1,4,2,2,4,5,2,2,2,2,2,8,3,5,3,3,4,5,4,4,2,3440
1,125,51,3,8,5,7,1,1,5,3,1,6,5,7,7,8,4,7,6,6,2,2,2,3,2,3,2,2,2,2,3,3,1,11,2,2,1,3,1,3,3,3,1,2,1,2,2,3,3,2,3,2,3,2,2,5,9,4,5,6,2,3,2,125,51,1,3,6,6,1,3,2,4,3,1,4,1,1,2,1,6,2,4,4,2,1,2,1,2,8,4,4,3,3,5,5,4,4,11,3068
1,125,52,3,8,5,3,2,1,5,3,1,6,3,5,8,8,4,5,2,10,1,1,2,1,2,1,2,4,3,3,3,4,1,1,3,9,1,3,3,3,2,3,2,2,2,2,1,3,2,2,2,2,2,2,2,9,11,3,2,2,2,3,2,125,52,3,4,6,6,1,2,5,5,5,5,5,1,2,1,4,2,3,4,3,2,2,1,1,1,2,3,6,3,4,2,6,4,4,1,3606
1,125,53,3,8,5,4,2,1,5,3,1,6,5,4,8,9,4,1,1,1,4,3,3,3,2,3,2,2,2,2,5,4,1,3,1,2,1,2,1,3,2,2,2,2,2,2,2,4,2,2,4,4,3,3,4,2,9,2,3,6,2,3,2,125,53,6,11,1,4,1,2,3,1,2,4,5,1,2,3,6,4,2,4,5,2,2,1,1,1,2,3,5,3,3,5,5,4,4,11,4366
1,125,54,3,8,5,4,5,1,5,3,1,6,5,4,8,9,4,1,1,10,2,2,2,2,1,3,2,2,2,1,1,3,1,6,1,1,2,3,3,2,3,3,2,2,2,2,2,2,2,2,3,2,1,2,3,2,9,2,2,6,2,3,2,125,54,1,5,6,6,1,2,1,2,3,4,5,2,2,1,4,2,2,4,2,2,2,1,1,2,2,4,6,3,4,2,6,4,4,11,4362
1,125,55,3,8,5,3,3,1,5,3,1,6,5,7,7,11,4,7,9,10,4,3,2,3,2,3,3,3,2,2,2,3,2,3,3,9,1,3,3,3,4,4,4,1,1,2,2,2,2,4,5,4,4,4,4,9,11,2,6,6,2,3,2,125,55,3,4,6,6,2,2,1,3,2,4,1,1,3,2,1,4,2,3,3,2,1,1,2,2,1,2,6,3,4,5,6,1,2,6,879
1,125,56,3,8,5,3,3,1,5,3,1,6,6,8,8,11,4,1,8,10,2,1,2,1,2,3,1,2,2,1,2,3,2,3,2,5,1,2,3,2,2,3,2,2,1,2,2,2,3,3,2,3,4,2,4,9,11,2,1,6,2,3,2,125,56,6,11,6,6,1,2,2,4,3,1,5,1,2,1,4,2,4,4,3,1,1,1,2,1,2,1,6,3,4,5,6,1,3,7,1837
1,125,57,3,8,5,3,5,1,5,3,2,6,6,7,7,11,4,7,8,4,4,1,2,1,3,1,1,4,3,2,3,4,2,11,2,1,3,3,6,3,4,3,1,2,1,2,1,1,3,2,2,4,4,4,4,9,11,4,6,6,2,3,2,125,57,1,2,6,6,2,1,3,4,2,1,5,1,1,1,2,1,1,2,1,2,1,1,1,1,2,6,2,4,3,6,5,1,1,7,1076
1,125,58,3,8,5,2,4,1,5,3,1,6,6,8,8,11,4,2,8,7,4,1,1,3,2,3,2,4,4,4,4,4,4,11,2,11,11,3,7,3,2,2,2,2,2,2,1,4,4,4,1,5,5,5,5,8,10,3,5,6,2,3,2,125,58,3,3,6,6,1,2,1,3,2,4,5,2,2,1,4,2,2,4,1,2,2,1,2,2,5,2,4,3,1,2,5,2,4,7,1511
1,125,59,3,8,5,7,2,1,5,3,1,6,6,4,3,2,4,4,5,10,3,1,1,2,2,1,2,3,4,3,2,2,2,3,3,0,2,3,3,2,3,3,2,2,2,2,2,2,4,4,3,3,5,5,4,9,11,4,4,1,2,1,2,125,59,1,1,6,6,1,2,5,5,5,5,6,1,2,1,4,2,2,4,2,2,2,2,2,2,2,6,6,4,4,6,6,1,2,11,1424
1,125,60,4,8,5,8,3,1,5,3,3,7,5,3,8,2,4,1,2,2,2,2,2,1,2,3,2,2,2,3,3,4,1,3,2,4,3,3,3,2,3,3,3,1,1,1,1,3,2,2,2,1,4,4,3,9,11,4,2,1,2,3,2,125,60,2,3,6,6,2,2,1,2,3,4,5,1,2,1,4,3,2,4,4,2,2,1,1,2,2,2,1,3,3,5,5,3,2,11,5745
1,125,61,4,8,5,2,5,1,5,3,3,7,5,7,7,1,4,7,3,11,2,1,2,1,1,2,1,3,2,2,2,3,2,3,3,9,2,3,4,2,3,3,3,2,2,2,2,2,2,4,2,4,1,1,1,9,11,2,6,1,2,3,2,125,61,4,5,1,1,1,3,3,2,1,4,5,2,1,1,4,2,2,3,1,2,2,1,2,1,2,4,6,3,4,5,6,2,4,12,1401
1,125,62,4,8,5,4,3,1,5,3,3,7,6,7,7,9,4,7,1,10,4,1,1,3,2,2,2,3,3,3,3,3,1,6,1,0,1,3,3,2,3,3,1,2,2,1,1,3,2,2,1,2,3,3,3,2,9,4,3,1,2,3,2,125,62,1,6,6,6,2,2,2,3,1,4,4,2,1,2,1,3,1,4,4,2,2,1,1,1,2,5,1,3,3,5,5,4,4,4,4563
