CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4A.,Q.4B.,Q.4C.,Q.5A.,Q.5B.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.7A.,Q.8.,Q.9.,Q.10A.,Q.10B.,Q.10C.,Q.12A.,Q.12B.,Q.12C.,Q.12D.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,V.26.,V.27.,V.28.
1,224,26,5,3,4,1,1,1,1,7,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,4,2,1,2,4,0,1,1,1,2,1,5,3,1,2,8,49
1,224,27,6,2,7,1,1,1,2,2,1,1,1,3,1,1,1,1,2,1,2,2,0,7,0,0,0,5,1,1,0,0,5,5,1,0,5,0,0,0,0,5,3,2,3,8,19
1,224,28,4,2,7,1,1,1,2,6,1,1,1,1,1,1,2,3,2,1,2,2,1,1,2,1,2,3,1,1,3,1,1,1,1,1,5,0,3,3,1,5,3,2,2,9,2
1,224,29,6,3,6,3,6,1,1,2,1,1,1,3,3,1,2,1,1,2,1,2,1,1,1,1,3,2,1,1,4,2,5,5,1,3,5,3,3,3,1,6,3,2,1,2,76
1,224,30,3,3,7,2,1,1,2,2,1,1,1,0,2,1,2,3,2,2,1,3,1,1,1,1,1,4,3,3,0,3,5,2,1,0,0,0,3,3,1,6,3,1,3,3,35
1,224,31,6,3,6,6,6,1,2,6,1,1,1,1,1,2,1,1,2,1,1,2,4,5,5,4,1,3,3,1,4,2,1,2,1,1,5,0,2,3,1,6,3,1,1,3,11
1,224,32,7,3,5,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,0,0,0,0,5,5,0,0,0,0,3,3,1,6,3,1,1,7,37
1,224,33,6,3,8,2,3,1,2,7,2,1,1,3,1,1,3,3,2,3,2,3,1,1,1,1,1,2,1,1,4,2,1,1,1,1,5,3,3,3,1,6,3,1,2,7,13
1,224,34,5,3,7,6,6,2,1,6,1,1,1,1,1,1,1,3,4,1,1,1,5,4,4,4,1,4,3,3,4,1,4,4,3,3,1,2,3,2,2,6,3,2,2,7,84
1,224,35,5,3,6,2,2,1,2,7,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,2,1,2,1,4,1,1,2,1,3,3,2,6,3,1,1,2,47
1,224,36,0,1,4,6,6,0,2,0,1,1,1,1,1,1,1,1,0,2,1,3,0,7,4,0,3,3,1,1,0,0,1,1,2,3,0,0,0,3,1,0,1,2,2,3,32
1,224,37,2,3,4,6,5,0,2,7,1,1,1,1,2,2,1,1,2,1,3,1,6,4,4,4,3,3,1,1,1,2,1,1,1,3,2,2,3,3,1,0,1,2,2,3,50
1,224,38,3,3,6,6,5,3,1,0,2,3,1,1,2,2,2,1,2,1,1,3,1,1,1,1,2,3,3,2,1,2,5,5,3,4,1,3,3,3,1,0,1,1,2,3,62
1,224,39,5,0,2,0,1,0,0,7,1,1,1,1,1,1,1,0,0,1,1,1,4,4,4,4,0,5,0,0,0,0,5,5,0,3,0,0,3,3,1,0,1,2,4,6,55
1,224,40,2,2,4,3,2,0,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,1,1,0,2,1,1,1,1,1,3,3,3,1,0,1,1,4,1,6
1,224,41,2,3,5,2,1,0,1,4,1,1,1,1,1,1,1,0,2,1,1,0,1,1,4,4,3,3,1,1,0,2,5,5,0,0,5,1,0,0,0,0,1,2,1,9,3
1,224,42,3,3,7,6,5,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,3,2,2,3,1,3,1,1,5,3,5,0,3,3,1,3,3,1,1,4,18
1,224,43,1,3,6,6,4,1,2,7,2,2,0,0,2,1,1,1,2,2,1,1,4,3,4,2,3,3,3,3,2,2,1,1,3,3,1,2,3,3,2,3,3,1,1,4,16
1,224,44,1,3,4,6,6,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,4,4,4,4,4,2,1,2,2,2,1,2,1,1,3,1,3,3,1,3,3,1,1,4,11
1,224,45,2,3,7,6,6,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,4,4,4,4,3,3,3,3,3,3,2,2,3,4,1,2,3,2,2,3,3,1,1,4,43
1,224,46,2,2,6,4,4,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,4,4,5,4,3,3,2,1,3,2,1,2,1,3,1,3,3,3,1,3,3,2,1,4,2
1,224,47,3,2,7,2,1,1,2,2,1,1,1,3,1,1,1,1,2,1,1,2,0,7,0,0,0,5,3,1,0,0,1,1,1,3,2,1,3,3,1,4,1,1,3,8,20
1,224,48,4,2,7,5,3,1,2,2,1,1,1,3,3,1,2,0,2,1,2,3,1,1,1,1,3,3,1,1,3,2,5,5,1,1,5,2,3,2,2,4,1,1,3,8,39
1,224,49,4,2,5,1,2,1,2,2,1,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,3,3,1,4,2,4,5,5,1,1,1,1,3,3,1,4,1,1,3,8,41
1,224,50,1,3,5,6,5,1,1,2,1,1,1,3,1,1,1,3,2,2,2,2,1,1,1,1,3,3,3,4,2,1,5,5,1,1,5,0,0,0,0,4,1,2,3,8,44
1,224,51,2,3,5,6,6,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,2,4,2,5,5,4,4,1,2,2,2,2,4,1,2,3,8,16
1,224,52,6,2,8,6,6,1,2,7,3,2,1,2,1,2,1,1,4,1,2,2,5,5,4,4,3,2,1,1,3,2,2,2,1,4,5,0,2,3,0,4,1,1,1,9,30
1,224,53,3,2,5,2,1,1,2,7,3,3,2,3,1,1,0,1,2,2,2,2,1,1,1,4,3,2,1,2,3,2,2,2,1,1,3,2,2,3,1,4,1,1,1,9,24
1,224,54,6,2,6,4,2,1,2,7,2,1,1,1,1,1,2,1,1,1,2,2,1,1,4,4,3,3,1,1,2,2,5,5,1,1,5,0,3,3,2,4,1,1,1,9,25
1,224,55,4,2,7,3,6,1,2,2,1,1,1,3,1,1,1,1,2,1,2,2,1,1,4,1,0,5,1,1,1,0,5,5,0,0,1,3,2,0,1,4,1,2,1,9,29
1,224,56,4,2,3,1,3,1,2,2,2,1,1,3,1,2,2,3,2,2,2,3,4,1,4,0,3,5,1,2,0,2,1,0,0,3,5,3,3,3,1,4,1,2,1,9,38
1,224,57,3,2,6,1,3,1,2,2,1,3,1,1,1,1,2,1,2,2,2,3,1,4,3,4,3,3,1,2,4,2,5,5,1,1,5,0,3,3,1,4,1,2,1,9,32
1,224,58,4,3,6,5,3,1,1,6,1,1,1,1,1,1,1,3,3,1,1,1,1,1,4,0,0,1,1,3,1,2,4,4,1,1,5,0,3,3,2,4,1,1,1,9,37
1,224,59,4,2,6,1,2,1,2,7,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,4,3,2,1,2,1,2,5,5,1,0,0,0,3,3,0,4,1,1,2,9,48
1,224,60,2,1,7,6,4,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,4,3,1,1,4,2,5,5,5,4,5,0,3,3,2,4,1,1,2,9,44
1,224,61,4,1,5,3,2,1,2,7,1,1,1,1,1,1,3,1,2,1,3,2,5,5,5,4,2,3,3,3,2,3,2,2,2,4,2,2,2,2,0,4,1,1,2,9,24
1,224,62,5,1,6,2,5,1,2,6,1,1,1,3,1,1,2,3,2,2,2,1,1,1,1,4,1,1,1,4,4,1,4,4,1,1,5,3,2,3,1,4,1,1,2,9,3
1,224,63,3,1,6,1,3,1,2,6,1,1,1,1,1,1,3,1,1,3,6,0,1,1,4,4,3,2,1,1,4,1,4,4,1,1,5,3,3,3,1,4,1,1,2,9,7
1,224,64,2,3,5,3,6,1,1,4,1,1,1,1,1,1,3,1,2,1,1,3,1,1,4,4,2,3,1,4,1,2,1,1,1,1,5,0,3,3,1,4,1,1,2,9,29
1,224,65,5,3,1,3,6,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,2,3,1,1,2,2,1,1,1,0,3,3,3,3,1,4,1,2,3,9,63
1,224,66,2,3,6,3,2,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,4,2,1,1,4,2,5,5,1,1,2,3,2,3,2,4,1,1,3,9,17
1,224,67,3,1,3,1,1,1,2,7,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,4,4,3,1,1,0,2,5,5,0,0,0,0,3,3,1,4,1,2,3,9,24
1,224,68,5,2,8,5,3,1,2,7,3,1,1,3,1,1,2,3,2,2,2,2,1,1,1,1,4,3,1,4,2,2,1,1,1,0,5,0,3,3,1,4,1,2,3,9,37
1,224,69,3,2,5,2,1,1,2,7,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,3,1,1,2,2,5,5,1,1,5,3,3,3,1,4,1,2,3,9,20
1,224,70,5,2,5,3,2,1,2,7,1,1,1,1,1,3,1,1,2,1,1,3,1,1,4,4,3,4,1,4,4,2,1,1,1,2,5,3,3,3,1,4,1,2,3,9,1
1,224,71,4,2,6,2,2,1,2,7,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,3,2,1,1,3,2,5,5,3,3,5,0,3,3,1,4,1,1,3,9,12
1,224,72,5,2,6,1,4,1,2,7,1,1,1,3,3,1,2,3,2,2,2,3,1,1,1,1,3,3,1,1,1,2,1,1,1,1,5,0,3,3,1,4,1,2,3,9,9
1,224,73,4,2,5,5,5,1,2,7,1,1,1,3,1,1,1,1,2,1,2,1,4,4,4,4,4,1,2,3,4,1,3,1,1,1,1,0,3,3,1,4,1,2,3,9,92
1,224,74,4,2,7,0,3,1,2,7,1,1,1,1,1,2,1,1,2,1,1,2,4,1,4,4,3,3,2,1,4,2,3,3,1,1,5,3,3,3,1,4,1,2,3,9,48
1,224,75,6,2,6,3,2,1,2,7,1,1,1,3,1,3,1,1,2,1,1,1,1,1,4,1,3,4,2,2,1,2,1,1,5,3,5,3,3,3,2,4,1,1,3,9,65
1,224,76,5,0,5,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,0,5,1,1,4,0,5,5,1,3,2,3,3,3,1,4,1,2,3,9,51
1,224,77,4,2,6,1,3,1,2,2,1,2,1,3,3,2,3,0,4,3,4,4,1,1,4,0,3,2,1,4,2,1,5,5,1,1,5,0,2,2,0,4,1,1,3,9,40
1,224,78,3,2,5,1,2,1,2,5,1,1,1,1,1,1,2,3,2,3,2,2,1,1,1,1,4,4,1,2,2,2,5,5,1,1,5,3,3,3,1,4,1,2,3,9,77
1,224,79,1,3,6,2,2,1,2,6,1,1,1,1,3,1,2,0,2,2,2,2,1,1,1,1,1,3,2,1,2,2,5,5,1,3,5,3,3,3,1,4,1,2,3,9,81
1,224,80,4,3,6,1,4,1,1,2,1,1,1,3,2,1,3,3,1,3,2,1,1,1,4,1,3,4,3,0,1,1,5,5,1,1,5,0,3,3,2,4,1,1,3,9,75
1,224,81,2,3,6,0,5,1,1,4,1,2,2,3,1,1,2,3,3,1,1,3,1,1,5,0,1,3,1,1,2,2,5,5,2,3,5,1,3,3,2,4,1,1,3,9,44
1,224,82,3,3,5,6,6,0,1,6,1,1,1,0,1,1,1,0,2,1,1,1,1,7,4,4,3,1,1,1,1,2,5,5,1,3,1,1,3,3,1,4,1,2,3,9,28
1,224,83,4,3,5,6,6,1,1,6,1,1,1,3,1,2,2,1,2,2,3,3,1,1,1,1,3,3,2,4,4,1,5,5,1,2,3,3,3,3,1,4,1,2,3,9,4
1,224,84,2,3,5,2,6,1,1,0,1,1,1,1,2,1,4,1,2,3,3,2,1,1,1,1,3,3,1,4,2,1,5,5,1,1,5,0,3,3,1,4,1,1,3,9,78
1,224,85,1,3,1,3,3,1,1,0,1,2,2,1,2,2,4,1,2,3,1,2,5,4,5,3,1,3,2,1,4,3,5,5,1,3,5,3,2,3,0,7,1,2,4,2,35
1,224,86,2,2,5,6,0,1,2,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,4,4,4,3,1,1,1,2,5,5,5,3,5,1,3,3,1,7,1,2,2,3,22
1,224,87,1,2,3,3,4,1,2,2,1,1,1,2,1,3,3,3,2,3,2,3,1,1,4,3,4,2,2,2,4,1,1,1,1,1,2,1,3,3,1,7,1,1,2,3,45
1,224,88,2,2,1,5,6,1,2,2,1,1,1,1,2,1,1,0,4,1,1,1,1,1,1,1,4,3,3,1,1,2,5,5,1,0,5,0,3,3,1,7,1,2,2,3,39
1,224,89,4,3,5,6,5,1,2,3,1,1,1,1,1,1,1,0,2,1,6,1,0,7,0,0,4,4,3,0,1,2,5,5,1,1,4,0,3,3,1,7,1,2,3,3,59
1,224,90,3,2,4,2,2,1,2,5,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,4,3,3,4,2,2,5,5,1,1,2,3,3,3,1,7,1,2,3,3,32
1,224,91,1,3,4,6,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,1,0,1,0,5,5,1,0,5,1,3,3,1,7,1,2,3,3,15
1,224,92,5,3,5,6,6,1,1,2,1,1,1,1,1,1,1,0,0,1,3,3,4,4,4,4,2,3,3,0,1,2,4,3,1,2,0,0,1,0,2,7,1,2,1,4,6
1,224,93,2,3,6,1,4,4,2,7,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,4,4,4,1,1,1,2,5,5,1,1,5,0,3,3,1,7,1,2,4,5,22
1,224,94,3,3,6,1,3,5,2,2,1,1,1,3,1,3,1,3,3,2,3,1,1,1,1,1,1,1,1,3,0,2,5,5,1,3,5,3,3,3,0,7,1,1,4,5,12
1,224,95,4,3,5,3,0,1,2,2,1,1,1,0,0,1,1,0,2,1,1,1,0,7,0,0,0,5,1,1,1,2,1,1,0,0,0,0,0,0,2,7,1,2,4,5,20
1,224,96,2,3,4,2,3,1,1,7,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,1,1,4,2,5,5,1,1,2,3,3,3,1,7,1,1,4,5,13
1,224,97,3,3,5,1,1,1,2,2,1,1,1,1,1,1,2,1,2,3,2,2,3,4,3,4,3,3,2,1,3,2,1,1,1,1,5,3,3,3,1,7,1,1,1,7,25
1,224,98,3,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,0,1,1,1,4,4,4,4,2,2,1,1,1,2,1,1,0,2,1,0,3,3,0,7,1,2,2,7,56
1,224,99,1,3,6,5,3,1,1,6,1,1,1,2,2,1,2,0,0,2,2,2,4,4,4,4,4,4,3,1,4,2,2,2,2,3,2,1,1,2,2,7,1,2,1,1,61
1,224,100,2,3,6,0,3,1,2,2,1,1,0,0,1,1,3,0,0,1,1,2,1,1,1,1,2,2,1,4,1,1,1,1,1,1,2,3,1,3,1,7,1,2,4,1,78
1,224,101,3,3,1,1,3,1,2,7,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,5,3,3,3,1,7,1,2,4,1,11
1,224,102,3,2,3,6,5,0,0,7,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,5,3,1,1,2,5,5,1,1,2,1,3,3,1,7,1,2,4,1,17
1,224,103,2,2,1,2,1,1,2,2,1,1,1,3,1,1,1,2,2,1,1,2,1,1,1,1,3,3,1,4,0,2,5,5,3,2,2,1,3,3,1,7,1,2,4,1,80
1,224,104,2,3,7,5,3,1,2,6,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,3,3,1,1,3,0,5,5,0,0,0,0,3,3,1,7,1,2,4,1,79
1,224,105,4,3,4,1,5,1,1,7,1,1,1,3,1,1,1,3,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,1,1,1,1,3,3,1,7,1,1,4,1,29
1,224,106,5,3,5,2,2,1,2,7,1,1,3,0,2,1,2,0,2,3,2,1,1,1,1,3,3,3,1,3,0,1,4,4,0,0,0,0,3,2,0,7,1,2,1,2,91
1,224,107,1,2,5,4,4,1,2,7,1,2,1,1,1,1,1,0,2,1,1,3,4,4,4,4,1,3,2,1,2,3,3,3,1,1,1,1,3,3,0,7,1,1,1,2,65
1,224,108,1,1,5,1,1,1,2,0,1,1,1,1,1,1,2,1,2,1,2,1,4,4,4,4,3,3,1,1,2,1,1,1,1,3,2,1,3,3,1,7,1,2,2,8,75
1,224,109,0,3,4,0,1,0,1,2,1,1,1,1,1,1,2,3,0,2,2,1,1,1,1,1,1,4,3,1,4,2,5,5,4,1,1,0,3,3,1,7,1,1,2,8,71
1,224,110,2,3,4,1,6,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,0,1,5,0,1,0,0,7,1,2,2,8,6
1,224,111,3,3,6,1,5,1,1,0,1,1,1,1,1,1,1,1,4,1,1,3,5,5,5,4,3,3,1,2,4,1,5,5,2,4,5,3,3,3,1,7,1,1,2,8,40
1,224,112,4,2,4,6,4,1,2,2,1,1,1,3,3,3,2,1,2,1,2,3,1,1,1,1,4,4,1,0,1,2,5,5,2,3,5,0,3,3,1,7,1,2,3,8,40
1,224,113,4,3,7,2,6,1,2,6,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,4,4,1,1,1,2,5,5,4,3,1,1,3,3,1,7,1,2,3,8,23
1,224,114,2,3,3,2,4,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4,2,2,1,1,2,2,5,5,5,3,5,3,3,3,1,7,1,2,1,9,28
1,224,115,6,3,3,2,5,1,2,2,1,1,1,1,1,1,3,1,2,3,3,3,1,1,4,4,2,1,1,1,4,2,5,5,1,1,2,3,3,3,1,5,1,1,1,2,58
1,224,116,7,3,5,2,3,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,4,2,2,3,3,4,2,4,3,5,3,1,2,3,3,1,5,1,1,1,2,30
1,224,117,3,3,7,3,3,1,2,3,1,1,1,1,2,1,2,0,2,2,1,4,1,1,1,4,3,2,1,3,3,2,3,3,1,3,3,3,1,3,2,5,1,1,1,2,24
1,224,118,4,3,6,1,6,1,1,1,1,2,1,1,2,1,1,3,2,1,1,2,1,1,1,4,2,3,1,3,3,2,5,5,0,0,2,1,3,3,2,5,1,2,1,2,42
1,224,119,5,3,7,1,3,1,1,6,1,3,2,3,2,1,3,3,3,2,2,4,1,1,1,2,3,1,1,3,3,1,1,1,1,1,3,3,3,3,2,5,1,1,1,2,53
1,224,120,4,3,7,3,4,1,1,7,1,1,3,1,2,3,2,2,0,3,1,3,2,5,3,6,1,3,1,4,4,3,4,4,1,1,2,3,2,1,0,5,1,2,1,2,41
1,224,121,1,3,7,3,3,1,2,2,1,1,1,2,1,1,2,3,2,2,2,2,4,1,4,3,4,3,2,3,3,2,1,2,1,1,2,3,3,3,1,5,1,1,3,2,13
1,224,122,3,3,6,6,4,1,2,7,1,1,1,1,1,1,4,3,2,4,1,1,1,4,4,4,1,3,1,1,3,2,5,5,5,3,2,3,3,3,1,5,1,1,4,2,2
1,224,123,7,2,6,2,1,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,2,5,5,1,1,2,3,3,3,1,5,1,2,4,2,60
1,224,124,6,3,6,5,3,0,0,4,1,1,1,2,2,1,2,3,2,1,3,3,4,6,4,4,3,3,1,3,4,1,4,4,2,3,2,1,3,3,0,5,1,1,4,2,51
1,224,125,5,2,3,1,5,1,2,7,1,1,1,1,2,1,1,1,2,1,1,1,4,4,4,3,1,3,1,1,1,2,1,1,2,3,1,1,3,3,1,5,1,1,2,3,67
1,224,126,6,2,5,2,6,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,2,4,1,1,2,2,5,5,3,4,5,1,3,3,1,5,1,2,2,3,9
1,224,127,5,3,6,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,4,4,2,2,1,1,2,1,1,1,1,2,3,3,3,1,5,1,1,2,3,3
1,224,128,4,3,5,5,6,1,1,1,1,1,3,3,1,1,1,1,2,2,2,2,4,4,4,4,3,3,1,1,1,2,1,1,2,3,3,3,3,3,1,5,1,1,2,3,66
1,224,129,4,3,7,4,3,1,1,8,1,1,1,3,2,2,1,3,1,1,3,3,1,1,1,2,4,2,2,3,4,1,1,1,1,3,5,1,3,3,1,5,1,1,2,3,14
1,224,130,6,2,7,3,2,1,2,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,2,5,5,1,1,1,3,3,3,1,5,1,2,3,3,17
1,224,131,2,3,6,2,1,1,2,6,2,2,2,3,1,2,1,1,2,1,1,1,1,1,1,1,3,3,1,4,0,0,5,5,1,1,5,1,3,3,2,5,1,1,3,3,49
1,224,132,2,3,0,6,6,1,1,4,1,1,1,3,1,1,1,3,4,1,5,1,1,1,1,1,2,4,2,4,1,2,5,5,1,3,2,3,0,3,1,5,1,2,3,3,60
1,224,133,5,2,6,6,5,1,2,0,1,1,1,1,1,3,1,1,2,1,1,1,4,4,5,4,3,4,1,1,1,2,2,1,5,3,2,3,2,3,1,5,1,1,1,4,34
1,224,134,4,3,7,6,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,4,4,4,2,3,3,1,1,2,1,1,5,3,1,2,3,2,1,5,1,1,1,4,27
1,224,135,3,3,5,2,0,1,2,7,1,1,1,1,1,1,1,3,2,1,1,2,4,4,4,3,2,3,2,1,3,2,2,2,3,3,5,3,3,3,2,5,1,2,1,5,5
1,224,136,4,3,7,1,3,1,2,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,3,1,1,4,2,1,1,2,3,1,1,3,3,1,5,1,1,4,5,2
1,224,137,2,3,6,5,6,4,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,2,2,5,5,5,2,5,3,3,3,1,5,1,2,4,5,14
1,224,138,3,3,5,2,4,1,0,0,3,1,1,0,1,1,3,0,2,2,2,2,1,1,1,1,2,3,1,2,3,2,5,5,0,0,0,0,3,3,0,5,1,2,4,6,47
1,224,139,6,3,5,2,6,1,2,6,1,1,1,3,1,1,2,1,2,1,1,3,1,1,4,3,3,3,1,2,3,2,5,5,1,3,1,3,3,3,1,5,1,1,4,6,31
