COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75
1,218,31,2,2,35,2,3,3,1,6,10,2,2,3,1,4,5,1,3,2,3,5,2,3,1,3,1,3,2,3,4,1,2,3,2,2,4,5,2,1,3,70,2,5,1,3,6,3,1,2,2,2,2,2,7,1,1,9,9,99,9,9,4,2,,22,180,3,12,33,0,8,15,1
1,218,32,2,2,31,3,11,99,1,6,10,2,4,1,3,4,4,2,1,2,2,2,1,1,1,2,1,2,2,2,3,2,1,1,2,1,1,4,1,2,2,47,1,1,1,3,6,2,7,7,2,1,1,1,2,8,7,9,9,99,9,9,3,3,,22,180,3,22,17,0,7,14,8
1,218,33,2,2,33,3,1,1,1,6,10,2,2,2,1,3,6,3,2,1,3,5,1,3,3,2,2,3,2,3,3,1,3,3,3,2,4,3,3,3,3,47,2,2,1,3,6,5,7,7,2,4,2,3,1,8,0,9,9,99,9,9,9,7,,22,180,3,32,0,1,0,12,2
1,218,34,2,3,28,3,2,2,1,6,10,1,4,3,3,3,5,2,1,2,2,3,2,3,1,2,2,3,3,4,3,2,4,2,2,3,3,5,0,3,2,50,2,5,1,3,6,3,7,5,3,2,2,2,7,8,7,9,9,99,9,9,6,2,,22,180,3,42,7,0,7,14,7
1,218,35,2,4,58,0,2,2,2,1,10,1,2,2,1,1,2,2,3,1,3,4,2,3,1,2,2,4,3,3,3,1,1,2,1,3,1,1,2,3,2,90,1,1,1,3,6,4,7,2,1,3,2,3,5,1,1,6,2,7,4,2,3,3,,22,180,3,52,21,0,7,16,1
1,218,36,2,0,0,0,0,0,0,0,9,1,3,2,3,3,4,3,1,2,1,2,2,2,1,2,2,3,4,3,4,3,3,2,1,2,1,3,2,0,1,99,2,5,3,1,5,2,7,5,2,2,1,2,9,8,8,9,9,99,9,9,6,2,,22,180,3,62,2,0,7,13,7
1,218,37,2,4,0,3,1,1,2,1,10,1,4,2,3,4,5,1,3,3,3,5,2,1,1,2,2,2,2,4,3,2,3,2,2,2,2,1,2,2,2,63,1,1,1,3,6,3,7,7,1,2,2,1,1,8,6,9,9,99,9,9,6,3,,22,180,3,72,13,0,8,12,5
1,218,38,2,3,12,1,1,1,1,6,9,1,4,1,2,3,4,3,1,2,3,5,2,2,3,2,2,3,2,2,3,3,3,2,2,1,2,5,1,2,2,13,1,1,1,3,6,2,7,5,2,2,2,2,8,9,8,9,9,99,9,9,5,1,,22,180,3,82,1,0,7,13,7
1,218,39,2,3,14,3,1,1,1,6,10,1,4,1,3,3,4,2,2,1,3,3,1,1,1,1,2,3,3,0,4,1,1,2,1,1,1,5,1,3,2,99,1,1,2,5,0,1,7,7,1,1,1,1,9,10,0,9,9,99,9,9,4,4,,22,180,3,92,10,0,8,13,7
1,218,40,2,4,24,3,1,2,2,1,10,1,4,2,2,3,4,1,1,1,3,3,1,2,3,2,2,3,2,2,3,2,2,3,3,2,2,5,2,1,2,52,1,1,1,3,6,3,1,4,1,3,2,3,4,8,0,9,9,99,9,9,5,3,,22,180,4,2,17,0,7,14,8
