CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.51.,Q.52.,Q.53.,Q.53..1,Q.53..2,Q.53..3,Q.53..4,Q.53..5,Q.53..6,Q.53..7,Q.53..8,Q.53..9,Q.53..10,Q.53..11,Q.53..12,Q.53..13,V.54.,V.55.,V.56.,V.57.
1,210,70,2,10,7,8,1,3,3,4,1,5,6,1,1,2,2,2,3,2,4,3,2,3,1,3,3,2,4,4,4,3,4,2,2,2,1,1,3,3,2,1,3,2,1,1,1,1,5,4,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,5,2,39
1,210,71,4,5,5,7,3,1,3,5,2,7,6,1,1,2,2,3,1,4,2,2,2,1,2,2,2,3,4,4,5,5,7,2,4,2,5,1,3,2,2,2,1,2,2,2,2,4,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,40
1,210,72,3,8,2,5,1,2,2,4,2,7,6,1,1,1,1,3,1,1,1,2,1,1,2,0,2,1,3,4,3,4,1,1,2,1,5,1,4,1,1,2,1,2,2,2,1,2,5,4,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,5,2,41
1,210,73,3,7,6,5,5,1,3,5,1,6,6,1,1,2,2,3,2,1,2,2,1,1,1,1,1,1,3,4,4,1,4,2,2,1,1,2,2,1,1,2,1,2,2,2,1,2,5,4,6,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,42
1,210,74,1,9,5,2,5,1,3,5,2,7,5,1,1,0,0,0,2,0,0,0,1,4,2,2,5,5,2,6,5,1,4,0,2,2,5,4,2,2,1,3,2,3,2,2,3,0,5,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,5,2,43
1,210,75,5,8,4,3,4,2,1,4,1,6,6,1,1,2,2,3,1,3,2,3,1,1,2,5,5,5,5,5,4,3,1,2,2,2,2,2,3,1,3,2,2,2,3,3,1,2,5,4,3,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,5,2,44
1,210,76,3,8,5,3,1,1,3,5,1,6,6,1,1,2,4,3,2,3,2,3,3,3,2,2,3,5,4,4,1,1,3,1,3,3,1,3,2,2,3,1,1,3,1,1,2,4,5,4,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,5,2,45
1,210,77,4,8,6,2,5,1,3,5,1,6,6,1,1,1,2,0,1,3,3,1,1,3,1,2,2,2,4,4,4,3,3,1,2,2,2,1,3,2,2,2,1,2,1,1,1,1,5,4,3,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,5,2,46
1,210,78,1,9,5,5,3,2,2,4,1,7,5,1,1,4,3,3,3,4,3,2,2,2,3,2,2,2,4,5,4,1,4,2,2,2,2,2,3,1,2,2,1,1,1,1,2,4,5,4,3,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,5,2,47
1,210,79,1,10,5,4,0,2,1,3,1,4,3,1,1,3,3,0,4,0,0,2,1,3,2,4,4,0,6,0,4,0,7,0,1,1,2,3,3,4,3,1,2,1,2,2,1,1,5,4,6,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,48
