CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14A.,Q.14B.,Q.14C.,Q.14D.,Q.14E.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,V.41.,V.42.
1,181,19,1,5,4,3,2,4,3,1,3,3,2,1,2,2,2,3,2,1,5,3,2,2,3,3,4,3,3,4,3,2,4,2,2,1,1,3,2,1,0,0,0,0,0,3,48
1,181,20,1,3,5,2,5,6,3,1,1,3,1,1,1,2,3,3,1,3,3,3,1,1,2,1,3,3,3,1,4,2,3,3,2,1,3,4,1,0,2,1,3,2,1,3,60
1,181,21,1,3,5,3,3,4,3,1,0,1,3,1,1,2,1,3,1,1,5,2,0,2,3,0,3,3,3,4,3,2,2,3,3,3,2,3,1,2,2,2,3,2,1,3,75
1,181,22,1,3,7,3,3,5,3,1,3,4,1,1,1,2,3,2,2,1,5,2,1,2,3,2,5,3,3,4,3,2,3,2,1,1,2,5,2,4,2,1,1,1,3,3,84
1,181,23,1,3,7,1,5,6,3,1,1,3,1,1,2,1,1,3,1,2,4,2,1,2,2,1,3,2,2,4,3,3,2,2,1,1,2,4,1,2,3,1,2,5,2,3,90
1,181,24,1,3,6,2,4,2,3,1,2,3,4,2,2,2,1,1,1,1,2,2,2,2,4,1,1,2,2,4,3,2,4,2,1,1,2,4,1,1,3,3,4,2,1,3,92
1,181,25,1,5,5,3,2,4,3,1,1,4,4,1,2,2,1,3,1,2,5,1,2,2,1,1,4,2,2,1,4,2,1,2,1,2,2,1,1,1,3,2,4,3,1,3,97
1,181,26,1,5,2,2,0,2,3,1,2,4,2,2,2,0,2,0,2,2,3,2,1,1,4,1,3,2,3,3,4,2,4,3,2,2,2,4,1,1,2,2,4,2,3,3,98
1,181,27,1,5,7,3,3,2,3,1,1,2,4,0,2,2,1,3,1,1,3,3,1,2,2,1,3,2,2,2,4,2,3,1,1,1,1,4,2,2,2,3,2,3,1,3,99
1,181,28,1,4,4,1,4,6,3,1,1,4,1,1,2,2,1,1,1,1,3,3,0,2,2,2,3,2,3,1,2,2,2,2,3,1,1,3,2,2,2,2,3,2,1,3,100
1,181,29,1,4,4,3,2,4,3,1,3,3,1,1,1,2,2,2,1,2,3,2,1,2,2,3,4,2,2,1,2,2,2,2,3,1,2,5,1,4,1,3,2,2,1,3,103
1,181,30,1,3,1,3,2,4,3,1,3,3,1,1,2,2,2,2,2,2,5,2,1,2,2,2,1,2,3,1,3,3,1,2,0,2,2,5,1,1,2,1,0,1,2,3,108
1,181,31,4,3,7,1,5,6,3,1,1,3,1,1,2,2,2,2,2,2,5,2,1,2,1,2,3,1,2,1,2,3,2,1,1,2,3,3,1,1,2,1,2,1,1,4,86
1,181,32,1,4,5,2,3,5,3,1,1,4,1,1,1,1,2,1,1,1,5,3,1,2,3,1,5,1,3,1,4,2,2,3,2,1,3,4,1,2,1,2,1,1,2,1,56
1,181,33,1,5,1,2,2,4,3,0,1,3,1,1,0,0,1,1,2,1,5,2,1,2,2,2,0,1,2,1,0,2,2,1,1,2,2,1,1,0,1,1,1,1,1,1,41
1,181,34,1,1,5,1,3,4,3,1,4,3,1,1,2,2,3,3,3,2,5,2,2,2,4,1,4,2,1,4,3,2,2,3,2,3,2,2,2,2,3,3,4,3,3,1,65
1,181,35,1,4,6,1,4,2,3,1,1,3,4,1,2,1,1,3,1,0,0,2,1,2,2,2,4,2,2,2,0,2,0,2,3,0,2,0,1,0,1,1,4,3,1,1,66
1,181,36,1,4,1,2,4,4,3,1,1,4,1,1,2,1,1,2,1,2,2,2,1,2,1,2,5,2,2,2,2,2,1,2,3,3,1,2,1,1,1,1,2,1,2,1,71
1,181,37,1,3,7,2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,4,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,4
1,181,38,1,2,6,3,2,2,3,4,4,1,4,0,1,1,3,2,1,0,4,2,1,2,2,1,3,3,3,4,0,2,1,2,2,0,2,2,2,0,2,3,3,5,2,1,23
1,181,39,1,5,6,3,2,4,3,1,3,3,4,1,1,1,3,1,1,2,5,2,1,2,2,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,2,4,2,2,1,90
1,181,40,1,5,5,3,2,4,3,1,3,1,4,1,1,1,2,3,1,1,5,3,1,2,4,1,4,3,3,4,3,2,2,2,2,1,2,4,2,2,4,3,3,3,2,1,87
1,181,41,1,2,5,3,3,4,3,1,4,2,3,1,2,1,1,2,2,1,5,3,1,2,2,3,3,2,2,2,3,3,4,1,3,3,2,1,1,1,2,2,3,2,1,1,80
1,181,42,1,5,7,3,2,4,3,1,2,3,1,1,2,2,1,2,1,3,3,3,1,2,2,2,5,2,2,2,3,2,2,2,2,1,2,1,1,1,2,1,3,5,2,1,83
1,181,43,1,2,5,1,3,5,3,1,2,4,3,1,2,1,2,2,1,3,4,3,1,2,2,1,3,2,2,2,2,2,1,2,2,1,2,3,2,1,2,2,3,2,1,1,85
1,181,44,1,6,4,3,3,4,3,1,1,4,1,1,2,1,1,1,1,2,5,1,1,2,2,2,3,2,3,1,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,91
1,181,45,1,3,5,2,2,4,3,1,3,3,1,1,3,2,1,2,1,1,5,2,1,2,2,2,5,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,4,3,2,1,14
1,181,46,1,3,4,3,6,5,3,1,2,3,4,1,3,3,1,2,1,3,5,2,1,1,3,2,4,2,2,1,2,2,1,3,2,1,3,1,1,2,3,3,4,4,2,1,18
1,181,47,1,3,2,3,4,4,3,3,1,1,2,1,2,2,3,2,1,2,4,3,1,2,3,1,5,3,3,1,3,2,1,3,1,1,2,2,1,3,2,2,4,2,2,1,73
1,181,48,1,5,8,3,4,5,3,4,1,1,4,1,3,2,1,2,1,3,0,3,1,2,4,1,4,3,3,3,4,2,1,2,2,3,3,5,2,3,4,2,3,3,1,1,81
1,181,49,1,4,8,3,3,4,3,1,1,4,1,1,2,3,2,3,1,2,3,3,1,2,2,1,3,0,2,2,3,2,1,2,1,3,2,0,2,0,2,1,1,1,2,1,58
1,181,50,1,6,4,1,3,5,3,1,3,3,1,1,2,1,1,2,1,1,5,2,1,2,3,1,4,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,3,2,3,1,36
1,181,51,1,2,6,2,4,3,3,1,1,4,4,2,2,1,1,2,1,2,2,3,1,2,2,3,3,2,2,1,2,2,2,2,1,3,2,2,1,5,2,2,4,2,1,1,47
1,181,52,1,6,4,2,2,4,3,3,1,3,1,1,2,2,1,1,1,3,4,2,1,2,3,1,4,2,2,1,2,2,1,3,2,1,1,2,1,2,2,1,3,3,3,1,51
1,181,53,1,3,3,1,4,3,2,1,2,3,4,1,1,1,3,0,1,0,5,2,1,2,3,1,3,2,2,4,3,2,4,2,2,1,2,3,1,1,1,3,2,2,1,1,60
1,181,54,1,3,4,2,4,4,2,4,1,1,1,1,2,3,2,3,1,1,5,3,1,2,1,1,5,3,3,1,1,2,2,3,1,1,3,2,1,2,1,1,4,2,1,1,25
1,181,55,1,2,5,3,4,3,2,1,1,1,4,1,2,2,1,2,2,2,3,3,2,2,4,1,4,2,3,3,3,2,4,2,2,1,1,2,1,2,3,1,4,2,2,1,26
1,181,56,1,5,5,4,5,4,2,1,2,4,3,2,2,3,3,3,2,2,3,3,1,2,4,1,4,2,2,4,3,2,2,2,3,1,2,2,3,2,3,3,4,3,1,1,34
1,181,57,1,2,5,3,5,4,2,4,3,1,4,1,2,2,0,0,0,0,5,3,1,2,4,1,4,3,3,4,3,2,4,3,2,1,1,5,1,2,2,3,3,4,0,1,57
1,181,58,1,5,7,2,4,3,2,1,1,4,4,1,3,2,1,2,1,1,5,3,1,2,3,3,3,2,2,2,3,2,1,2,2,1,1,4,1,2,3,3,3,2,3,1,21
1,181,59,1,2,2,1,3,3,2,1,1,4,1,1,2,1,1,2,2,1,2,2,1,2,3,1,3,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,3,2,2,1,5
1,181,60,1,2,6,3,3,5,3,1,1,3,2,1,1,1,1,2,1,2,4,2,1,2,3,1,3,2,2,2,3,2,1,2,2,3,2,1,1,2,2,2,3,2,1,1,96
1,181,61,1,2,5,3,3,3,3,0,1,1,0,1,2,2,3,1,1,1,3,2,1,2,4,1,5,2,1,1,0,2,1,2,3,0,2,1,1,2,3,3,4,0,0,1,6
1,181,62,1,6,2,1,0,5,3,1,0,4,1,1,2,1,2,2,2,1,5,2,2,1,2,2,3,2,2,3,3,2,2,2,3,1,2,2,1,2,1,2,3,3,2,1,15
1,181,63,1,4,5,3,3,5,3,1,3,1,2,1,2,1,3,2,1,1,3,3,1,2,4,1,4,2,2,1,3,2,1,3,2,1,2,2,1,2,2,1,3,3,2,1,22
1,181,64,1,6,4,1,3,3,3,1,1,3,1,1,2,2,1,3,1,3,5,3,1,2,4,3,4,2,3,3,4,2,2,3,2,1,1,2,1,3,2,2,3,3,1,1,27
1,181,65,1,5,4,1,4,3,3,4,1,4,1,1,1,1,0,1,1,1,0,2,1,2,2,0,3,2,0,1,1,2,1,1,1,0,2,1,1,1,1,1,1,1,3,1,43
1,181,66,1,6,4,2,3,4,3,1,1,3,1,1,1,1,1,1,1,2,5,2,1,2,2,3,4,2,3,2,3,2,1,2,2,1,2,5,1,1,1,1,2,5,1,1,48
1,181,67,1,6,1,1,4,6,3,1,0,2,0,1,1,1,2,2,1,2,5,2,1,2,2,1,4,2,1,2,2,3,1,1,3,3,2,5,1,3,2,2,2,2,1,1,49
1,181,68,1,5,5,1,4,5,3,1,1,3,2,1,1,2,3,3,1,3,4,3,1,1,4,1,3,2,3,1,3,2,2,2,2,1,1,2,1,2,2,1,3,1,1,1,52
1,181,69,1,2,7,1,3,3,3,1,1,1,1,1,1,1,1,2,1,2,5,2,1,2,2,1,3,2,3,4,3,1,1,1,1,2,1,4,1,1,1,1,4,4,1,1,54
1,181,70,1,3,6,3,3,5,3,4,1,3,1,1,1,2,1,2,1,2,5,3,1,2,1,2,3,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,70
1,181,71,1,4,4,3,2,4,3,1,4,3,1,1,1,1,1,1,1,2,3,0,1,2,1,3,3,2,2,1,2,2,4,1,2,3,2,1,1,1,1,2,4,2,3,1,89
1,181,72,1,3,5,1,4,4,3,1,0,3,2,1,0,1,1,2,1,2,5,2,1,2,2,3,4,2,2,2,2,2,1,2,2,1,2,2,1,0,1,2,2,2,1,1,29
1,181,73,1,1,2,3,3,5,3,4,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,3,1,2,2,2,2,2,4,2,1,1,1,5,1,1,2,2,2,1,2,1,20
1,181,74,1,5,4,3,2,4,3,1,3,4,1,1,1,1,1,2,1,4,3,2,1,2,2,2,3,2,3,1,2,2,1,1,2,1,2,5,1,2,1,1,2,1,3,1,24
1,181,75,1,4,4,2,4,4,3,1,1,4,1,1,1,2,2,2,1,2,5,2,1,2,1,2,3,2,2,4,2,2,4,1,1,3,1,1,1,1,2,1,3,1,1,1,35
1,181,76,1,3,6,2,4,4,1,1,1,3,2,1,2,1,1,0,1,0,4,3,1,2,3,1,3,2,2,1,2,2,4,2,3,3,2,2,2,2,2,3,4,3,1,1,13
1,181,77,2,2,8,1,4,6,3,1,1,4,1,1,2,1,2,2,1,2,4,3,1,2,1,2,3,1,2,2,2,1,1,2,1,2,2,1,1,0,3,2,2,5,3,1,76
1,181,78,2,3,7,3,4,5,3,1,1,1,1,1,2,2,3,2,1,1,4,3,1,2,1,2,2,1,2,2,3,2,1,1,1,2,3,1,1,1,3,3,3,3,2,1,94
1,181,79,2,4,7,1,4,6,3,1,1,4,2,1,2,1,1,2,1,1,2,2,1,2,1,2,3,2,2,2,2,2,1,1,1,2,1,2,1,3,2,2,3,2,2,1,67
1,181,80,2,5,3,2,3,5,3,1,3,1,3,1,2,2,1,2,1,2,3,2,1,2,3,3,5,3,3,3,3,2,1,2,2,1,3,2,1,1,1,1,4,4,2,1,31
1,181,81,2,4,5,1,4,6,3,1,3,2,2,1,2,2,1,3,2,4,4,3,1,2,2,1,4,3,3,2,5,2,3,2,2,1,3,5,1,2,2,1,3,2,2,1,84
1,181,82,2,4,5,1,3,5,3,1,1,4,1,1,3,1,2,3,1,2,4,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,28
1,181,83,2,5,4,2,3,5,3,2,1,4,1,1,2,2,1,0,0,0,0,0,1,2,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77
1,181,84,2,2,5,1,4,4,2,1,1,3,2,1,1,2,2,0,1,2,1,2,1,2,2,0,0,2,2,1,2,2,1,2,1,2,2,2,1,5,1,2,2,1,1,1,101
1,181,85,2,2,5,1,5,4,2,1,1,4,2,1,2,2,3,2,1,2,3,2,1,2,2,1,4,2,2,2,3,3,2,2,1,3,2,3,2,1,2,2,3,3,1,1,100
1,181,86,2,3,6,1,5,4,2,1,2,3,1,1,3,2,2,2,1,2,5,1,1,2,2,1,4,2,1,2,3,3,3,1,1,3,2,2,1,0,3,2,4,2,1,1,19
1,181,87,2,6,6,4,4,6,3,1,1,1,3,1,1,1,0,2,1,2,4,2,1,2,2,1,3,2,2,1,2,2,1,1,1,3,1,1,1,2,2,1,2,2,1,1,95
1,181,88,2,4,7,1,4,6,3,1,1,3,2,1,2,2,3,3,1,3,4,3,1,1,1,3,3,2,2,2,3,1,2,2,1,3,3,3,1,2,3,2,3,3,3,1,7
1,181,89,2,5,7,2,3,4,3,1,1,4,1,1,2,3,1,2,1,3,3,2,1,2,2,1,3,2,1,2,3,2,2,1,1,1,2,2,1,1,2,2,2,2,3,1,12
1,181,90,2,5,4,1,3,4,3,2,1,3,1,1,2,2,1,2,1,1,5,3,1,2,2,3,3,2,3,1,3,2,2,2,2,1,2,2,1,1,2,2,3,3,3,1,16
1,181,91,2,5,3,1,4,6,3,1,1,3,1,1,2,1,2,2,1,2,5,2,1,2,2,2,3,2,1,2,2,2,2,1,3,1,2,4,1,1,1,2,2,2,1,1,33
1,181,92,2,4,6,1,3,5,3,1,3,4,1,1,1,2,2,2,1,2,5,2,1,2,2,1,4,2,2,2,2,2,2,2,2,1,2,3,1,1,2,2,3,2,1,1,82
1,181,93,2,5,6,1,4,5,3,1,1,4,1,1,1,1,3,2,1,1,4,2,1,2,1,2,4,2,3,1,4,2,1,2,1,1,2,2,2,4,2,1,4,3,1,1,86
1,181,94,2,4,5,2,3,5,3,1,3,4,1,1,0,1,2,1,1,2,4,2,0,2,2,2,3,2,1,2,3,2,1,2,1,1,2,5,1,1,2,2,3,3,2,1,9
1,181,95,2,2,8,1,3,5,3,1,1,4,4,1,1,3,3,3,1,2,4,2,1,2,1,2,3,2,1,3,3,2,1,1,1,2,3,4,1,5,2,1,1,1,1,1,11
1,181,96,2,2,6,1,3,5,3,1,1,3,4,1,1,1,3,2,1,2,4,2,1,2,2,3,3,2,2,3,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,17
1,181,97,2,3,4,2,5,3,1,1,1,3,1,1,2,2,1,3,1,2,2,2,0,2,2,3,3,2,2,2,2,2,2,2,1,3,2,1,2,0,2,2,3,2,3,1,61
1,181,98,2,5,5,1,4,3,1,1,1,3,2,1,2,2,3,2,1,2,5,2,1,2,2,1,3,2,2,2,3,2,2,2,2,1,2,2,2,3,2,2,4,3,1,1,75
1,181,99,3,3,7,1,5,4,3,1,2,4,4,1,1,1,1,1,1,1,4,1,1,2,3,1,3,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,3,3,2,1,92
1,181,100,3,4,4,2,4,6,3,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1,2,3,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,97
1,181,101,3,4,8,1,4,6,3,1,1,4,1,1,1,1,1,0,1,1,4,2,1,1,1,2,1,1,1,2,2,1,1,3,1,2,2,1,1,5,1,1,2,1,2,1,62
1,181,102,3,5,8,2,2,4,3,1,3,4,1,1,1,1,1,3,1,1,5,2,1,2,1,2,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,1,1,2,1,88
1,181,103,3,4,6,1,5,6,3,1,1,3,1,1,3,2,1,2,1,3,1,3,1,2,2,1,3,1,3,3,5,2,3,1,2,2,3,1,3,2,2,3,4,4,2,1,79
1,181,104,3,2,7,1,3,5,3,1,3,3,2,1,2,2,2,3,1,2,3,3,1,2,2,1,2,1,2,3,2,3,2,1,1,2,2,5,1,2,2,1,3,2,2,1,78
1,181,105,3,4,7,3,3,5,3,1,3,3,1,1,2,3,2,3,1,3,3,2,1,2,1,2,3,2,2,2,2,2,2,1,1,1,3,2,2,1,1,1,2,2,3,1,93
1,181,106,3,5,3,1,4,6,3,1,0,3,2,1,2,2,3,2,2,2,5,2,1,2,3,1,4,2,2,3,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,99
1,181,107,3,4,4,3,3,5,3,1,1,3,1,1,2,2,2,3,2,3,5,2,1,2,2,2,3,2,3,2,4,2,3,1,1,3,2,4,1,1,3,2,3,2,1,1,102
1,181,108,3,4,7,3,3,5,3,1,3,4,1,1,2,1,3,1,1,2,5,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,64
1,181,109,3,4,5,3,5,2,2,1,2,3,4,1,3,2,1,0,1,3,3,2,1,2,2,1,5,2,3,1,3,2,2,2,2,1,2,5,4,3,1,1,2,5,1,1,42
1,181,110,3,3,3,3,5,4,2,4,1,4,1,1,2,1,1,2,1,3,5,2,1,2,1,2,3,2,2,1,2,1,1,1,1,3,2,1,1,5,2,3,3,3,3,1,1
1,181,111,3,4,8,2,4,6,3,1,3,3,1,1,1,2,1,3,1,2,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,3,2,1,1,5,1,1,1,1,1,1,63
1,181,112,3,3,6,1,5,3,1,1,2,3,2,1,1,1,1,2,1,2,5,2,1,2,3,1,3,2,1,4,3,3,4,2,1,2,1,4,1,5,2,1,3,1,1,1,46
1,181,113,3,2,6,1,3,4,1,1,2,4,1,1,2,2,1,3,1,2,5,3,1,2,2,1,1,1,1,3,1,1,2,1,1,0,0,0,0,0,0,1,1,2,2,1,10
1,181,114,1,2,6,1,4,4,3,1,1,1,4,1,2,1,3,3,1,2,4,3,3,1,2,1,3,3,2,1,2,0,3,0,2,2,0,2,2,3,2,3,4,3,1,34,77
1,181,115,1,6,5,1,4,6,3,1,4,4,2,1,1,3,1,2,1,2,5,2,1,2,4,1,3,3,2,4,4,2,3,2,2,1,1,4,2,2,2,3,3,3,3,34,1
1,181,116,1,5,7,3,3,2,3,1,1,3,4,1,1,1,2,3,2,1,3,2,1,2,4,1,5,3,3,3,5,2,4,3,2,1,1,2,4,1,3,3,2,5,3,34,3
1,181,117,1,4,3,4,2,0,3,1,2,1,3,2,1,3,1,1,1,3,4,3,2,2,4,1,3,3,3,4,4,2,4,3,3,1,3,1,3,2,4,3,3,4,1,34,5
1,181,118,1,5,4,1,3,5,3,2,2,0,2,1,2,2,3,3,1,2,5,2,1,2,3,1,4,3,2,3,5,2,3,2,2,2,3,2,3,2,1,1,4,4,1,34,7
1,181,119,1,3,6,3,5,2,3,1,2,0,4,0,3,2,1,2,2,0,3,2,2,2,4,1,4,3,2,3,4,2,3,3,2,1,2,4,3,2,3,2,0,3,1,34,78
1,181,120,1,2,5,3,4,6,3,1,3,2,1,2,2,2,3,2,2,4,3,3,3,2,4,1,3,2,3,3,5,2,2,1,2,3,3,4,3,2,4,3,3,4,2,34,67
1,181,121,1,3,4,1,4,6,3,1,2,3,2,2,3,2,2,2,2,2,3,3,1,1,1,1,3,2,2,2,4,2,2,3,2,1,2,2,3,0,3,3,3,4,1,34,68
1,181,122,1,4,5,1,4,1,3,1,2,1,1,2,2,3,3,3,2,2,5,3,2,2,3,1,4,2,3,4,3,3,4,2,1,1,1,5,4,2,3,3,4,2,1,34,72
1,181,123,1,3,5,3,4,5,3,1,3,1,2,2,2,2,3,3,1,4,4,2,3,1,2,1,3,2,2,3,5,2,2,1,2,1,2,3,3,2,2,3,4,4,2,34,8
1,181,124,1,3,5,1,4,6,3,1,3,4,1,2,2,2,2,3,1,4,5,2,2,2,2,3,3,2,2,2,4,2,2,3,2,3,2,2,3,2,3,3,4,4,1,34,10
1,181,125,1,3,6,3,2,1,3,1,2,0,3,0,2,3,2,3,3,0,5,3,2,2,4,1,5,2,2,3,5,2,4,2,2,1,2,4,3,0,3,1,3,4,1,34,12
1,181,126,1,3,6,3,5,1,3,1,1,0,2,2,2,2,3,3,1,2,4,3,3,2,3,1,4,2,2,3,5,2,3,3,2,1,2,1,3,2,3,3,1,4,2,34,13
1,181,127,1,4,3,3,4,2,3,1,2,1,4,2,2,2,1,2,1,4,3,3,2,2,4,1,4,2,2,3,5,2,3,3,2,3,3,5,3,2,4,3,4,4,1,34,14
1,181,128,1,2,7,4,2,3,3,1,3,4,3,1,3,3,2,2,1,3,3,2,1,2,2,1,1,1,2,0,1,1,2,1,1,2,2,3,2,0,2,1,3,3,1,34,28
1,181,129,1,4,5,1,2,4,3,1,3,3,1,1,3,3,1,0,1,4,5,2,2,1,2,1,1,1,3,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,1,34,30
1,181,130,1,5,5,3,4,6,3,1,1,1,2,2,1,1,1,3,1,3,3,3,2,2,1,2,4,2,3,1,5,2,2,2,3,1,3,2,2,2,3,3,3,3,1,34,47
1,181,131,1,4,5,3,4,6,3,1,3,1,2,2,1,1,1,3,1,1,1,3,2,2,1,2,4,2,3,1,5,1,2,1,3,1,3,5,2,2,3,3,3,3,2,34,48
1,181,132,1,6,8,1,4,4,3,0,1,3,3,1,1,2,1,1,1,2,4,2,3,2,2,1,1,2,2,3,5,2,3,2,2,1,3,0,3,2,4,3,4,4,1,34,53
1,181,133,1,3,6,3,3,1,3,1,1,2,1,1,2,2,2,2,1,2,5,2,1,2,1,1,5,3,3,2,2,2,1,3,2,1,1,1,1,1,2,2,2,2,1,34,11
1,181,134,1,5,5,3,2,2,3,1,4,0,2,1,2,2,2,2,2,3,5,2,3,2,4,1,4,3,3,3,4,2,4,3,2,1,2,1,2,3,3,3,3,3,1,34,16
1,181,135,1,1,4,3,2,2,3,1,4,0,2,1,3,3,2,2,2,3,3,3,3,2,4,1,5,3,3,3,4,2,4,3,2,1,2,1,2,3,4,3,3,3,1,34,17
1,181,136,1,5,5,3,3,2,3,1,2,1,2,2,3,2,3,2,2,2,5,2,1,2,0,0,5,3,3,2,4,2,4,2,2,1,2,2,2,4,2,2,3,3,1,34,23
1,181,137,1,2,5,1,4,6,3,1,4,1,2,2,2,3,3,3,1,4,3,3,3,2,4,1,4,3,3,3,5,2,2,3,2,1,3,4,3,5,3,3,4,4,1,34,33
1,181,138,1,3,6,1,3,4,3,1,2,1,1,1,3,3,2,3,1,4,5,3,2,2,2,1,3,3,3,3,4,2,3,2,2,1,1,1,1,0,2,2,4,1,1,34,35
1,181,139,1,4,4,3,3,2,3,1,4,4,3,2,2,3,2,1,3,4,3,2,3,2,4,1,4,3,3,3,5,2,4,3,2,1,2,3,4,5,4,3,0,4,2,34,38
