COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106
1,86,28,1,3,3,2,9,21,5,4,1,1,1,4,3,1,1,4,4,6,9,3,1,2,1,3,1,2,1,4,4,3,3,2,2,3,3,4,3,4,5,2,2,1,1,1,2,1,2,2,3,2,6,5,1,1,2,3,6,3,2,3,4,3,,208,6002,8,2,1,4,2,2,1,1,1,1,5,2,3,1,1,3,3,6,3,2,2,5,1,2,1,5,0,10,10,40,7,3,1,4,0,10,21,9
1,86,29,2,4,3,2,7,34,3,4,4,3,3,4,3,2,2,3,4,4,9,2,1,3,1,1,3,2,1,3,3,3,4,2,2,3,3,3,3,1,4,2,2,1,1,2,2,3,5,4,4,3,2,4,1,2,2,3,7,3,3,1,1,1,,208,6002,9,2,1,4,2,2,2,2,2,2,1,4,4,1,2,2,3,1,1,3,2,5,1,2,1,4,0,10,90,0,0,1,1,5,0,60,20,6
1,86,30,2,4,3,2,9,34,5,4,5,3,3,4,3,3,1,5,4,6,9,3,1,2,1,3,2,2,1,3,2,3,4,2,2,1,3,4,3,1,4,2,2,1,2,1,3,5,5,5,4,5,4,5,1,1,3,2,6,2,2,4,3,3,,208,6003,0,2,1,4,2,4,1,1,1,1,5,2,4,2,1,3,4,5,3,1,2,3,1,2,1,5,0,10,10,41,0,3,1,5,0,60,21,2
1,86,31,1,4,3,2,6,23,5,4,1,1,1,4,3,2,3,5,4,4,9,2,1,2,1,1,1,2,2,3,3,2,1,3,3,2,3,4,3,2,4,1,2,2,2,2,3,5,5,4,4,5,5,4,1,1,2,2,5,3,1,3,1,6,,208,6003,1,1,1,4,2,3,2,1,2,2,2,1,4,1,2,2,3,4,3,2,1,5,1,2,1,2,5,40,40,50,8,3,2,1,0,20,21,6
1,86,32,2,5,3,2,10,1,5,5,1,1,1,4,3,3,1,3,4,4,9,3,1,2,1,2,3,2,2,4,2,3,4,2,2,2,3,4,3,2,3,2,2,1,1,1,2,2,2,6,3,3,6,5,2,2,2,3,7,3,3,1,1,1,,208,6003,2,2,1,4,1,3,1,1,1,1,5,1,2,1,2,2,3,4,2,3,3,2,1,2,1,4,2,40,20,31,1,3,1,4,0,20,21,5
1,86,33,1,4,3,2,6,92,3,6,4,2,2,4,4,1,0,0,0,0,9,2,1,2,2,2,2,1,3,2,3,3,1,2,2,2,4,3,3,2,4,2,2,1,1,2,3,3,3,5,3,5,2,2,2,1,1,2,4,2,1,4,0,6,,208,6003,3,2,1,4,1,1,1,1,1,1,5,2,2,2,2,2,2,5,1,1,2,1,3,2,1,5,2,40,10,30,4,3,1,5,0,20,23,5
1,86,34,2,6,3,2,10,58,4,6,4,4,3,7,4,1,0,0,0,0,11,3,1,3,4,2,2,2,2,3,1,3,3,2,3,4,3,3,2,2,4,2,2,1,1,1,2,3,1,5,5,3,1,5,2,2,2,3,4,3,1,1,1,7,,208,6003,4,1,1,4,6,4,1,1,1,1,5,1,3,1,2,3,3,2,2,1,4,2,1,2,1,1,4,40,50,81,1,3,2,4,7,30,11,2
1,86,35,2,5,3,2,7,85,4,5,5,3,3,7,3,1,2,5,0,6,11,3,1,2,1,10,2,2,3,3,2,2,1,3,3,2,3,3,1,2,4,2,2,2,1,2,3,2,3,3,2,1,1,3,0,3,2,4,7,3,3,1,3,3,,208,6003,5,2,1,4,2,2,1,1,1,1,5,2,2,2,2,2,4,4,2,1,1,3,1,2,1,4,6,40,50,91,1,3,1,6,0,30,11,0
1,86,36,1,2,1,1,5,14,2,4,5,2,2,7,3,1,2,6,11,8,11,3,1,2,1,1,2,2,2,4,1,3,3,2,2,2,2,4,3,10,8,2,2,1,1,2,2,3,1,2,2,2,1,4,1,1,2,4,7,3,4,1,3,3,,208,6003,6,1,2,1,2,4,1,1,1,1,5,2,2,1,2,3,4,6,2,2,3,3,1,2,1,3,4,20,50,81,1,3,4,5,8,30,31,1
1,86,37,2,5,3,2,11,41,1,3,4,3,3,7,6,3,0,0,0,0,11,1,3,2,1,3,2,2,3,4,1,3,1,3,3,2,3,4,3,2,4,2,2,1,1,1,2,6,0,0,0,0,0,5,1,2,2,3,1,3,0,0,1,1,,208,6003,7,1,1,3,2,2,1,1,2,1,4,1,2,1,0,2,4,0,2,2,2,3,1,2,1,3,5,40,50,81,1,3,2,4,7,30,12,0
