CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.8D.,Q.8E.,Q.9A.,Q.9B.,Q.9C.,Q.9D.,Q.9E.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,V.16.,V.17.
1,122,28,1,1,3,3,4,4,3,1,3,3,3,2,2,2,2,11,2,2,1,4,1,2,4,2,8,1912
1,122,29,1,2,3,3,4,10,3,1,1,3,3,3,3,2,2,3,2,2,1,4,2,2,2,2,8,4641
1,122,30,1,1,3,3,4,3,3,1,1,2,2,3,1,1,2,2,1,2,1,1,1,1,2,2,8,6028
1,122,31,1,1,3,1,4,12,3,1,2,3,3,3,3,2,2,2,2,2,4,3,2,3,4,1,3,2943
1,122,32,1,1,7,2,4,9,3,1,2,2,2,4,3,4,11,3,1,1,4,4,1,1,4,2,3,2922
1,122,33,1,1,1,2,4,3,3,1,2,2,2,3,2,2,2,2,2,1,1,4,1,1,3,1,3,2903
1,122,34,1,2,1,2,4,1,3,1,1,4,4,4,4,1,2,2,1,1,1,1,1,1,4,2,3,5418
1,122,35,1,1,2,2,4,9,3,1,3,3,2,3,3,2,2,2,1,2,1,1,1,1,4,2,3,2434
1,122,36,1,1,2,2,4,1,3,1,1,1,1,1,1,1,3,6,3,2,1,4,1,1,4,1,3,2858
1,122,37,1,2,3,2,4,3,3,1,3,2,1,2,3,3,2,2,2,2,1,2,1,1,4,2,3,3337
1,122,38,1,1,3,2,4,3,3,1,1,1,1,2,5,1,1,3,1,1,1,1,1,2,2,2,3,2641
1,122,39,1,1,3,2,4,9,3,1,1,1,3,2,1,1,1,5,1,1,1,6,2,2,4,2,3,4603
1,122,40,1,1,3,2,4,3,3,1,2,2,1,2,1,1,4,11,2,1,1,1,2,2,2,2,3,7650
1,122,41,1,1,3,2,4,7,3,1,2,1,1,2,2,2,2,3,3,2,1,1,2,2,2,2,3,2016
1,122,42,1,1,3,2,4,9,3,1,3,3,3,3,2,3,3,3,3,3,1,1,2,3,4,2,3,2602
1,122,43,1,1,3,2,4,8,3,1,3,4,4,4,4,2,3,12,3,2,1,4,1,1,3,2,3,1664
1,122,44,1,1,6,4,5,9,4,2,2,3,3,3,3,3,4,2,3,3,1,4,2,1,1,2,8,5656
1,122,45,1,2,4,3,5,3,3,2,2,3,2,2,3,2,11,2,3,2,1,3,4,2,2,2,8,4304
1,122,46,1,2,4,4,5,3,3,2,2,3,3,3,3,3,7,11,3,1,1,4,2,2,2,1,8,2937
1,122,47,1,1,6,2,5,9,2,2,2,1,1,2,2,3,1,6,2,1,1,1,1,2,2,2,3,5039
1,122,48,1,1,4,2,4,3,4,2,2,1,2,2,2,1,6,5,2,2,1,4,1,2,1,2,3,2647
1,122,49,1,1,4,3,4,3,3,2,2,3,2,3,2,2,2,2,2,1,1,1,2,1,2,1,8,1653
1,122,50,1,1,4,3,4,3,3,2,2,1,1,3,2,3,3,3,1,1,5,4,2,3,1,1,8,2933
1,122,51,1,2,4,3,4,9,3,2,2,3,1,1,2,3,3,3,2,3,1,2,2,2,1,2,8,6905
1,122,52,1,1,4,1,4,11,3,2,2,2,1,3,1,1,1,6,1,1,1,1,1,2,4,2,9,5017
1,122,53,1,2,4,2,4,3,3,2,2,2,3,3,4,2,6,3,2,2,1,1,2,2,4,2,3,4186
1,122,54,1,2,4,2,4,5,3,2,2,3,4,3,3,3,2,11,2,1,3,3,2,1,4,2,3,2934
1,122,55,1,1,4,2,4,1,3,2,2,1,1,4,2,1,3,2,1,1,1,4,2,2,1,2,3,7240
1,122,56,1,1,4,2,4,9,3,2,2,3,4,3,2,2,2,11,2,1,1,4,1,1,3,2,3,2155
1,122,57,1,2,4,2,4,1,3,2,2,1,1,2,3,2,1,2,1,1,1,1,1,1,4,1,3,1174
1,122,58,1,1,4,2,4,11,3,2,2,3,2,3,3,3,3,3,3,3,1,4,2,2,2,2,3,5018
1,122,59,1,2,4,2,4,5,3,2,2,2,1,2,2,2,2,2,2,1,4,4,2,5,3,1,3,5000
1,122,60,1,2,5,2,4,1,3,2,2,3,1,2,3,3,2,3,3,3,1,6,4,2,3,2,3,8173
1,122,61,1,4,5,2,4,5,3,2,2,2,1,3,3,3,1,3,1,2,3,3,2,1,5,1,3,5100
1,122,62,1,1,4,2,4,3,2,2,2,3,3,3,3,2,11,2,2,2,1,1,1,1,4,2,3,5116
1,122,63,1,2,4,2,4,7,2,2,2,1,2,1,1,3,1,1,1,1,5,6,4,5,5,2,3,5455
1,122,64,1,1,4,2,4,11,2,2,2,1,1,3,2,2,2,2,2,3,1,4,1,1,4,1,3,4821
1,122,65,1,1,4,2,4,4,2,2,2,2,1,3,2,2,2,8,2,3,1,3,1,2,4,2,3,5353
1,122,66,1,2,4,2,4,9,2,2,2,1,3,3,2,2,7,2,2,3,1,3,1,2,1,2,3,5441
1,122,67,2,1,5,1,4,9,2,2,2,3,3,1,3,2,3,3,2,3,1,4,1,2,4,2,9,7633
1,122,68,2,1,4,1,4,9,2,2,2,2,2,1,2,1,2,2,2,1,5,1,1,1,4,2,9,8617
1,122,69,1,1,4,3,4,2,2,2,2,2,1,2,1,2,3,11,1,3,1,4,1,2,2,2,8,3387
1,122,70,1,2,6,3,5,3,3,1,2,1,2,1,3,2,6,4,2,2,2,4,1,5,4,1,8,4316
1,122,71,1,2,5,4,5,3,4,1,2,2,3,3,2,2,2,3,2,2,3,1,1,1,4,2,8,3312
1,122,72,1,2,4,2,5,4,2,1,2,4,4,4,4,4,2,5,1,2,3,1,1,1,2,2,3,6912
1,122,73,1,1,4,2,5,4,2,1,2,3,1,3,3,3,2,5,2,2,1,1,1,1,2,1,3,1254
1,122,74,1,2,5,2,5,6,2,1,2,3,3,3,3,2,7,6,2,2,1,1,1,2,4,2,3,5005
1,122,75,1,2,4,3,5,11,2,1,2,1,2,1,1,1,2,2,2,0,1,4,2,2,4,2,8,4817
1,122,76,1,1,4,1,4,4,1,1,2,3,3,3,3,2,2,2,2,2,2,1,1,1,3,2,3,5469
1,122,77,1,2,4,2,4,4,3,1,2,2,2,3,2,3,7,8,1,2,1,3,1,1,2,1,3,5405
1,122,78,1,2,4,2,4,4,3,1,2,3,3,3,2,3,3,5,2,2,1,4,3,3,3,1,3,2912
1,122,79,1,1,4,2,4,3,3,1,2,1,3,2,3,2,2,2,2,2,1,4,1,1,3,1,3,2658
1,122,80,1,1,4,2,4,9,3,1,2,2,1,2,1,3,2,2,1,3,1,1,2,2,2,2,3,3901
1,122,81,1,2,4,2,4,9,3,1,2,1,1,1,3,2,1,1,1,1,1,1,2,2,4,2,3,6911
1,122,82,1,1,4,2,4,9,3,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,3,3902
1,122,83,1,1,4,2,4,9,3,1,2,3,1,2,3,3,2,12,1,1,1,5,2,2,2,2,3,3810
1,122,84,1,2,5,2,4,3,3,1,2,3,2,2,2,3,2,2,2,3,1,4,1,2,2,1,3,5460
1,122,85,1,1,4,2,4,9,2,1,2,1,2,1,1,1,1,2,1,2,1,5,1,2,3,2,3,1432
1,122,86,1,1,4,2,4,2,2,1,2,2,1,1,2,1,4,1,1,1,5,6,1,1,3,2,3,5731
1,122,87,1,1,4,2,4,9,2,1,2,2,1,2,3,2,2,2,2,2,1,4,2,2,3,1,3,1750
1,122,88,1,2,4,2,4,7,2,1,2,1,1,1,2,3,4,1,1,2,1,4,2,1,3,2,3,5050
1,122,89,1,1,4,2,4,5,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,2,3,2,3,1926
1,122,90,1,1,5,2,4,6,2,1,2,1,1,1,3,3,1,1,2,3,5,6,4,5,5,2,3,5363
1,122,91,1,1,5,2,4,5,2,1,2,3,2,2,3,3,2,2,5,3,5,6,1,1,4,1,3,1758
1,122,92,1,1,5,2,4,9,2,1,2,1,2,3,3,3,1,6,2,3,2,2,3,1,4,2,3,5048
1,122,93,1,1,5,2,4,8,2,1,2,3,3,2,2,1,11,4,1,2,1,1,1,2,4,2,3,5110
1,122,94,1,2,6,2,4,6,2,1,2,2,2,3,3,2,2,2,2,2,1,1,1,1,3,2,3,6658
1,122,95,1,1,4,3,5,9,3,2,1,1,1,3,3,1,3,3,3,3,1,4,2,2,2,2,8,2715
1,122,96,1,2,4,4,5,9,3,2,1,1,1,1,1,1,1,1,1,1,5,6,3,3,2,1,8,1662
1,122,97,1,1,4,2,5,10,3,2,1,3,3,3,3,1,1,6,3,1,5,6,3,3,3,1,3,1265
1,122,98,1,2,5,2,5,7,2,2,1,1,1,1,1,1,3,1,1,1,5,6,1,1,4,2,3,4634
1,122,99,1,1,4,4,5,11,2,2,1,1,1,3,1,1,1,2,1,1,1,4,1,1,4,2,8,3330
1,122,100,1,1,4,3,5,4,2,2,1,2,3,2,1,1,4,3,1,1,1,4,2,2,1,2,8,2881
1,122,101,1,1,4,3,5,3,2,2,1,1,2,2,2,2,1,4,1,1,1,1,2,2,1,1,8,4176
1,122,102,1,1,5,1,4,1,5,2,1,1,1,2,1,2,2,2,3,3,1,4,1,1,4,2,9,5143
1,122,103,1,1,4,3,4,1,4,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,8,5123
1,122,104,1,1,4,2,4,1,4,2,1,2,2,1,1,1,2,11,1,2,1,3,2,2,4,1,3,2900
1,122,105,1,1,4,3,4,11,3,2,1,2,2,3,2,3,2,3,2,2,1,4,1,2,3,1,8,4879
1,122,106,1,2,4,3,4,9,3,2,1,1,1,1,2,3,1,1,3,3,1,4,3,3,2,2,8,6033
1,122,107,1,2,4,3,4,5,3,2,1,2,1,2,1,1,2,3,1,1,2,4,2,2,3,2,8,8351
1,122,108,1,2,4,3,4,5,3,2,1,2,1,2,1,1,2,3,1,1,2,4,2,2,3,2,8,8351
1,122,109,1,1,4,3,4,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,4108
1,122,110,1,1,4,2,4,9,3,2,1,1,1,1,1,1,1,1,1,1,5,6,2,2,1,2,3,2926
1,122,111,1,1,4,2,4,5,3,2,1,1,3,2,1,1,4,2,1,3,1,4,3,2,2,1,3,5114
1,122,112,1,1,4,2,4,3,3,2,1,1,1,1,1,1,1,1,1,1,5,6,2,2,2,2,3,2604
1,122,113,1,1,4,2,4,4,3,2,1,1,1,1,1,1,2,3,1,3,5,6,3,2,2,1,3,6013
1,122,114,1,2,5,3,4,9,3,2,1,1,1,1,1,1,11,3,5,3,4,4,2,1,2,2,8,7880
1,122,115,1,1,5,3,4,6,3,2,1,3,2,1,1,3,2,2,3,1,1,4,2,2,3,2,8,1651
1,122,116,1,2,4,2,4,9,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,2,3,2857
1,122,117,1,1,4,2,4,5,2,2,1,1,1,3,1,1,1,2,1,1,1,3,2,4,1,2,3,2611
1,122,118,1,1,4,2,4,4,2,2,1,1,2,1,1,1,2,6,3,1,2,4,2,2,2,2,3,2885
1,122,119,1,1,4,2,4,9,2,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,3,2,3,1632
1,122,120,1,2,5,2,4,5,2,2,1,1,1,1,1,1,2,2,1,1,5,6,1,1,3,2,3,5514
1,122,121,1,2,4,3,4,3,2,2,1,1,1,3,1,2,2,2,5,1,1,3,2,2,4,1,8,5355
1,122,122,1,1,4,3,4,11,2,2,1,1,2,2,1,1,3,12,1,1,4,4,2,2,2,1,8,7253
1,122,123,1,2,4,3,4,5,2,2,1,1,2,3,2,1,2,3,3,3,1,1,1,1,2,2,8,5375
1,122,124,1,1,4,4,5,3,4,1,1,1,1,1,1,1,1,1,1,1,5,6,3,4,1,2,8,4314
1,122,125,1,1,4,3,5,3,3,1,1,4,4,4,4,1,2,2,2,2,1,4,4,1,1,0,8,4319
1,122,126,1,2,5,2,5,1,3,1,1,2,2,3,2,2,5,8,2,3,1,1,2,2,2,1,3,3861
1,122,127,1,1,4,2,5,9,2,1,1,1,2,2,1,1,1,3,1,1,1,3,1,2,4,2,3,5137
1,122,128,1,1,4,3,4,9,5,1,1,1,1,1,1,1,2,1,1,1,5,6,2,2,3,2,8,2893
1,122,129,1,1,4,2,4,9,3,1,1,1,1,3,2,1,2,3,1,2,1,1,1,2,2,2,3,5320
1,122,130,1,1,4,2,4,3,3,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,2,3,4668
1,122,131,1,1,4,2,4,9,3,1,1,1,1,1,1,1,2,1,1,3,5,6,2,2,4,2,3,5338
1,122,132,1,2,5,2,4,12,3,1,1,2,1,1,1,1,2,1,1,1,4,5,1,2,1,2,3,3860
1,122,133,1,1,4,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,5,6,2,2,3,2,3,5370
1,122,134,1,2,4,2,4,9,2,1,1,3,1,1,3,1,2,1,1,2,1,1,1,1,4,2,3,6610
1,122,135,1,2,4,2,4,11,2,1,1,2,1,1,2,1,3,3,1,1,1,1,2,2,1,2,3,3859
1,122,136,1,2,4,2,4,6,2,1,1,1,1,2,2,1,1,2,1,2,1,4,1,1,3,2,3,3376
1,122,137,1,1,4,2,4,11,2,1,1,1,1,1,1,1,1,1,1,1,5,6,1,5,2,2,3,1266
1,122,138,1,1,4,2,4,3,2,1,1,1,1,1,1,1,2,1,1,1,5,6,1,2,3,2,3,4616
1,122,139,1,1,4,2,4,11,2,1,1,3,2,3,4,1,2,2,2,2,1,1,1,1,2,2,3,2655
1,122,140,1,1,4,2,4,7,2,1,1,1,1,1,1,2,1,2,3,1,1,3,1,2,4,1,3,2907
1,122,141,1,1,4,2,4,2,2,1,1,1,1,2,1,1,1,6,1,1,1,4,1,2,2,2,3,2117
1,122,142,1,1,4,2,4,8,2,1,1,1,2,1,1,1,2,2,1,2,1,3,1,2,2,2,3,5642
1,122,143,1,1,4,2,4,11,2,1,1,1,1,1,2,3,1,1,2,2,1,1,1,2,4,2,3,3388
1,122,144,1,1,4,2,4,5,2,1,1,1,1,1,1,3,3,3,3,3,1,1,1,2,2,2,3,4878
1,122,145,1,2,5,2,4,10,2,1,1,1,1,1,1,1,9,1,1,1,1,6,1,2,4,2,3,8307
1,122,146,1,2,6,4,5,6,3,2,4,3,1,4,3,2,2,3,2,2,3,2,1,1,2,2,8,5031
1,122,147,1,1,5,3,5,5,3,2,4,3,3,3,2,3,2,2,3,3,1,3,3,2,1,2,8,8147
1,122,148,1,2,5,3,5,11,2,2,4,3,3,4,3,3,2,6,2,3,2,3,2,1,3,2,8,6705
1,122,149,1,1,4,3,5,5,2,2,4,4,3,4,4,2,2,2,3,2,4,5,2,2,4,1,8,3816
1,122,150,1,1,6,3,4,1,3,2,4,3,3,3,4,3,2,3,3,3,1,6,1,2,4,1,8,1773
1,122,151,1,2,4,4,4,1,4,2,4,4,3,3,4,3,8,6,2,3,1,3,4,5,5,2,8,1978
1,122,152,1,1,4,1,4,5,2,2,4,1,1,4,3,2,2,2,3,2,1,1,2,2,4,2,9,5037
1,122,153,1,2,4,2,4,3,2,2,4,4,4,3,4,2,2,2,3,3,2,4,1,1,4,1,3,4336
1,122,154,1,1,5,3,5,5,1,1,4,4,3,3,4,2,7,7,5,3,1,4,1,2,1,1,8,5400
1,122,155,1,1,4,4,5,9,4,1,4,3,3,3,3,2,2,3,2,2,1,4,3,2,1,2,8,1620
1,122,156,1,2,4,2,4,11,1,1,4,4,4,4,4,2,3,2,2,3,1,3,1,2,2,2,3,4852
1,122,157,1,1,4,2,4,1,4,1,4,3,3,3,3,3,4,7,3,3,4,4,2,2,1,1,3,1911
1,122,158,1,2,4,2,4,9,3,1,4,2,1,2,4,2,3,8,2,2,1,4,1,2,2,2,3,5042
1,122,159,1,1,5,2,4,3,3,1,4,3,2,3,3,2,2,6,2,3,1,4,1,1,3,2,3,5650
1,122,160,1,1,4,2,4,3,2,1,4,4,4,3,3,3,2,6,1,2,1,4,2,1,4,2,3,2143
1,122,161,1,2,4,2,4,6,2,1,4,2,3,3,3,2,2,10,3,2,1,4,1,1,4,2,3,2149
1,122,162,1,1,4,2,4,9,2,1,4,3,3,3,3,2,2,2,2,2,1,1,1,1,2,2,3,2446
1,122,163,1,1,5,2,4,7,2,1,4,3,2,3,4,1,4,3,2,3,1,3,1,1,2,2,3,6007
1,122,164,1,2,4,4,5,9,1,2,3,3,3,4,3,2,2,2,2,2,2,3,1,3,3,2,8,5431
1,122,165,1,2,4,2,5,9,4,2,3,3,1,3,3,3,3,3,3,3,1,1,2,2,4,2,3,3808
1,122,166,1,1,4,4,5,3,3,2,3,3,2,2,2,3,3,3,1,2,1,1,2,1,1,2,8,5401
1,122,167,1,1,5,1,5,9,3,2,3,4,4,4,4,2,9,3,2,2,1,4,3,4,1,2,9,3834
1,122,168,1,1,4,3,5,1,2,2,3,4,3,3,3,2,8,12,5,3,1,6,2,3,1,1,8,8146
1,122,169,1,4,5,3,4,1,2,2,3,4,4,3,3,3,3,3,3,2,1,4,2,2,1,2,8,4815
1,122,170,1,1,5,2,4,3,2,2,3,2,2,3,2,3,7,6,3,3,1,1,2,2,2,2,3,5423
1,122,171,1,1,5,2,4,1,2,2,3,4,4,4,4,1,2,1,1,3,1,1,1,1,2,2,3,5334
1,122,172,1,1,5,2,4,5,2,2,3,3,3,4,3,3,2,4,2,2,1,1,1,1,4,2,3,1757
1,122,173,1,1,5,2,4,7,2,2,3,1,2,3,2,2,2,6,2,3,1,3,3,2,1,1,3,8308
1,122,174,2,2,4,1,4,5,2,2,3,3,4,4,4,2,5,6,2,2,1,4,1,1,4,1,9,1149
1,122,175,2,2,4,1,4,5,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,3,2,9,7239
1,122,176,1,1,4,3,4,4,2,2,3,3,3,4,3,3,2,2,3,3,1,1,2,2,4,1,8,2902
1,122,177,1,2,4,3,4,3,2,2,3,3,3,3,3,2,2,3,3,2,2,3,1,2,2,1,8,3844
1,122,178,1,3,6,3,4,8,3,2,3,2,2,2,2,3,4,8,3,3,1,1,3,3,2,2,8,5007
1,122,179,1,4,4,3,4,5,4,2,3,3,2,3,2,2,6,2,2,3,1,1,2,3,1,2,8,2635
1,122,180,1,1,4,3,4,3,4,2,3,3,3,3,3,3,11,6,3,3,1,3,2,2,1,1,8,5354
1,122,181,1,1,4,2,4,6,4,2,3,3,3,4,4,3,4,9,2,3,1,4,3,2,2,1,3,5020
1,122,182,1,1,4,3,4,3,3,2,3,3,3,4,3,2,2,6,2,2,1,1,1,1,2,2,8,5667
1,122,183,1,1,4,2,4,5,3,2,3,4,2,3,2,3,2,3,3,3,1,4,1,2,4,2,3,3960
1,122,184,1,2,4,2,4,3,3,2,3,1,1,2,3,2,1,2,2,1,4,5,2,1,3,2,3,6919
1,122,185,1,2,4,2,4,3,3,2,3,3,1,3,3,3,8,8,2,2,2,2,2,5,2,1,3,6737
1,122,186,1,1,4,2,4,5,3,2,3,3,2,3,3,3,4,3,3,3,4,3,2,3,1,1,3,2072
1,122,187,1,1,5,3,4,2,4,2,3,2,2,1,3,2,2,5,2,2,1,2,1,4,1,2,8,6918
1,122,188,1,2,5,3,4,1,3,2,3,2,2,2,2,3,2,4,2,2,1,1,3,3,3,2,8,5647
1,122,189,1,2,5,2,4,4,3,2,3,3,3,3,4,3,11,6,2,3,1,3,2,2,3,1,3,5434
1,122,190,1,1,5,2,4,1,3,2,3,3,1,2,3,3,2,3,3,1,1,1,1,1,3,1,3,3948
1,122,191,1,2,4,2,4,10,2,2,3,1,3,3,3,3,4,4,2,3,2,2,1,1,2,2,3,8223
1,122,192,1,2,4,2,4,5,2,2,3,3,2,3,3,3,2,12,2,2,1,1,2,2,3,1,3,6140
1,122,193,1,1,4,2,4,3,2,2,3,3,2,3,2,3,2,7,2,1,1,4,1,1,4,2,3,2448
1,122,194,1,1,4,2,4,9,2,2,3,2,2,2,1,3,2,3,1,1,4,3,1,1,3,2,3,4867
1,122,195,1,2,4,4,5,11,4,1,3,4,2,4,3,3,6,11,1,1,2,2,2,2,3,1,8,2653
1,122,196,1,2,5,4,5,12,4,1,3,3,3,3,3,3,6,6,3,3,1,4,2,2,1,1,8,8153
1,122,197,1,2,5,2,5,11,4,1,3,2,1,2,3,1,11,8,1,1,2,2,1,1,1,1,3,6110
1,122,198,1,2,4,3,4,9,2,1,3,2,1,3,1,2,2,2,1,2,1,1,2,2,2,2,8,3307
1,122,199,1,2,4,3,4,9,2,1,3,2,1,1,3,1,1,1,1,2,4,5,2,2,1,2,8,6648
1,122,200,1,1,4,3,4,5,2,1,3,1,2,2,2,1,1,2,3,2,1,1,1,2,2,1,8,1444
1,122,201,1,1,4,3,4,3,1,1,3,2,2,3,3,3,9,11,3,3,1,3,2,2,3,2,8,2944
1,122,202,1,1,6,5,4,5,3,1,3,2,1,4,2,2,5,7,3,3,1,1,1,1,4,2,9,6122
1,122,203,1,1,4,2,4,4,3,1,3,3,1,3,2,2,2,11,2,3,1,4,1,1,4,2,3,3936
1,122,204,1,1,4,2,4,9,3,1,3,3,3,3,2,3,2,3,3,2,4,4,2,1,2,2,3,2631
1,122,205,1,1,4,2,4,9,3,1,3,2,3,3,3,2,3,3,2,3,1,3,2,1,4,2,3,6010
1,122,206,1,2,4,2,4,1,3,1,3,2,3,3,2,1,3,3,1,1,1,1,2,1,4,2,3,6655
1,122,207,1,2,5,3,4,9,4,1,3,2,2,4,3,3,5,4,3,3,1,3,2,2,2,2,8,6133
1,122,208,1,2,5,3,4,9,3,1,3,1,1,3,3,3,5,11,5,2,3,1,2,2,4,1,8,6151
1,122,209,1,1,5,2,4,11,3,1,3,3,2,2,3,2,4,11,2,2,1,1,2,2,2,2,3,4819
1,122,210,1,1,4,2,4,11,2,1,3,3,1,3,3,2,2,2,2,2,2,4,1,2,3,2,3,4885
1,122,211,1,1,4,2,4,11,2,1,3,2,3,2,3,3,11,2,2,3,4,2,1,3,2,1,3,2628
1,122,212,1,1,4,2,4,9,2,1,3,1,1,2,1,1,3,3,1,1,1,1,1,1,4,2,3,1428
1,122,213,1,1,4,2,4,1,2,1,3,2,2,2,2,3,3,4,3,3,1,1,1,2,2,1,3,2058
1,122,214,1,1,4,2,4,11,2,1,3,2,3,4,3,2,2,7,1,2,1,3,1,1,3,2,3,3343
1,122,215,1,2,4,2,4,11,2,1,3,2,3,3,3,3,2,4,2,0,3,4,1,1,4,2,3,4891
1,122,216,1,4,4,2,4,5,2,1,3,3,4,3,4,2,4,2,2,3,3,3,1,1,4,2,3,5661
1,122,217,1,1,4,2,4,2,2,1,3,3,2,3,3,2,2,8,2,2,1,1,2,2,3,2,3,4831
1,122,218,1,4,4,2,4,5,2,1,3,3,3,3,3,2,2,4,2,2,1,1,1,2,3,2,3,5136
1,122,219,1,1,4,2,4,6,2,1,3,2,1,3,3,2,2,2,2,2,1,3,1,1,3,2,3,4864
1,122,220,1,2,5,2,4,9,2,1,3,3,2,3,4,2,2,2,2,3,1,5,2,2,1,1,3,5461
1,122,221,1,1,5,2,4,11,2,1,3,2,3,3,2,2,2,6,2,2,1,5,2,2,3,2,3,6631
1,122,222,1,1,5,2,4,7,2,1,3,3,2,3,3,2,5,4,3,2,1,1,1,2,3,1,3,2914
1,122,223,1,1,5,2,4,5,2,1,3,1,2,3,4,2,1,8,2,3,4,5,2,1,4,2,3,5054
1,122,224,1,1,6,2,4,7,2,1,3,3,2,2,4,3,11,4,3,3,1,1,1,2,4,2,3,5057
1,122,225,1,1,3,2,2,1,2,4,3,1,1,3,3,2,5,7,2,3,1,1,1,2,3,2,4,3315
1,122,226,1,2,3,2,2,9,2,4,3,3,2,2,4,4,7,6,2,2,1,1,2,3,2,2,4,8362
1,122,227,1,2,3,2,2,9,2,4,3,2,1,2,2,3,2,2,2,2,2,4,1,2,2,2,4,5443
1,122,228,2,1,3,2,2,8,2,4,1,1,4,4,4,1,2,2,2,1,1,4,1,1,2,2,4,1134
1,122,229,1,1,1,3,2,9,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,1247
1,122,230,1,2,3,2,2,9,3,4,5,2,5,2,5,4,2,3,5,2,2,6,2,2,2,1,4,5316
1,122,231,1,1,2,2,2,1,1,3,1,3,1,2,3,1,11,11,1,1,1,4,1,1,2,2,4,1781
