CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.18.,Q.19.,Q.20.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.26..1,Q.26..2,Q.26..3,Q.26..4,Q.26..5,Q.26..6,Q.26..7,Q.26..8,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40.,Q.40F.,Q.40G.,Q.41.,Q.42A.,Q.42B.,Q.42C.,Q.42D.,Q.42E.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.51..1,Q.51..2,Q.51..3,Q.51..4,Q.51..5,CARD..1,DECK..1,BALLOT..1,X.,X..1,X..2,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69A.,Q.69B.,Q.69C.,Q.69D.,Q.69E.,V.71.
1,146,6,2,6,0,6,3,1,1,1,0,6,5,3,2,2,3,4,3,4,1,2,1,1,2,2,1,1,1,2,2,2,1,2,3,1,2,4,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,0,1,1,2,6,1,2,4,1,2,1,2,2,2,1,2,2,2,146,6,2,2,2,3,2,2,2,8,1,1,3,1,1,3,1,2,1,1,5,3,2,1,2,1,1,2
1,146,7,1,9,3,5,4,4,2,1,5,6,5,3,2,1,1,1,1,4,1,1,1,2,2,2,1,2,1,1,2,2,1,2,3,1,2,2,3,2,1,3,0,0,1,2,1,2,1,1,2,2,2,3,3,3,1,3,4,0,2,2,4,1,1,1,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,7,2,22,3,2,2,2,0,2,1,3,1,11,4,2,2,3,4,3,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,8,1,6,5,7,4,1,1,2,5,4,2,1,1,1,1,2,2,4,1,1,1,1,2,1,2,1,1,2,2,2,1,1,3,1,1,5,4,4,1,1,1,1,1,2,1,2,2,1,1,1,1,0,0,0,0,1,5,6,1,1,3,2,1,1,2,2,2,1,2,2,2,146,8,1,2,2,4,2,2,2,2,2,1,3,1,3,2,5,4,2,1,4,2,2,1,2,1,2,4
1,146,9,2,7,3,5,2,4,4,1,4,3,2,1,1,2,2,1,2,4,3,1,1,2,1,2,2,2,2,2,2,2,1,3,3,1,1,4,3,3,2,2,5,1,1,1,1,2,1,2,1,1,1,2,1,3,3,1,2,6,1,2,4,1,1,1,2,2,2,2,2,1,2,146,9,2,2,2,1,2,1,2,3,4,3,4,1,1,1,4,1,2,1,5,3,2,1,1,1,1,4
1,146,10,4,6,5,3,5,1,1,1,4,4,2,1,2,2,2,2,3,4,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,5,3,2,1,1,2,1,1,2,1,2,1,1,2,1,2,3,3,3,1,1,4,6,3,1,3,3,2,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,10,2,22,1,3,2,4,3,3,4,4,3,32,5,2,1,2,2,3,2,1,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,11,0,10,0,5,4,1,1,1,4,4,2,1,0,2,0,0,0,1,3,4,0,2,2,2,2,2,2,2,2,1,1,0,3,1,1,5,4,4,2,1,0,1,0,0,0,0,0,0,0,0,3,3,2,3,3,3,0,0,2,2,2,3,4,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,11,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,12,3,11,5,2,4,4,2,1,5,5,2,1,2,2,1,1,1,4,1,1,1,1,2,1,1,1,1,2,2,2,1,2,3,1,1,5,3,3,1,1,5,2,1,2,1,2,2,1,1,2,1,3,3,3,3,3,6,7,3,2,4,1,1,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,12,2,22,4,3,0,2,4,2,4,4,3,32,5,3,2,3,5,2,2,1,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,13,7,10,5,2,5,5,3,1,6,4,2,1,1,3,2,2,1,4,1,1,1,2,2,2,1,2,2,2,2,2,1,2,3,1,1,2,3,2,1,2,4,1,1,2,1,2,2,1,1,2,1,2,1,3,3,3,2,6,1,1,4,2,2,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,13,1,22,4,3,4,2,4,2,1,3,1,10,3,2,2,3,4,4,2,1,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,14,1,10,3,7,5,4,3,1,4,4,3,1,2,2,3,3,2,4,2,1,1,2,2,2,2,2,2,1,2,2,1,3,3,1,1,4,1,3,1,1,2,2,1,2,1,2,2,1,1,1,1,3,1,1,2,3,3,6,1,2,3,1,3,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,14,2,22,0,3,1,3,2,4,4,4,3,32,5,2,2,1,5,3,2,2,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,15,3,6,6,2,4,1,1,1,5,4,3,1,2,2,3,4,2,4,2,1,1,2,2,2,1,2,2,2,2,2,1,3,3,3,1,5,4,4,1,2,4,1,1,2,2,2,2,1,1,1,3,3,1,3,3,3,2,6,1,2,3,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,15,2,22,1,3,4,4,4,2,2,4,2,32,5,2,1,2,1,3,2,2,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,16,4,5,7,5,4,1,1,1,4,4,2,1,1,1,1,2,1,4,2,2,1,1,2,1,1,2,1,2,2,2,1,3,3,1,1,5,0,0,2,3,5,2,1,2,2,1,2,2,2,2,2,3,1,3,3,3,2,6,1,2,4,2,2,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,16,2,22,2,3,0,1,1,2,4,4,3,32,5,2,2,3,1,3,2,2,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,17,5,7,6,3,5,5,2,1,5,4,2,1,2,2,2,3,3,3,2,2,1,2,2,2,2,1,2,2,2,2,1,3,3,1,1,5,2,2,2,2,4,1,1,2,2,2,1,1,1,1,1,3,2,3,3,3,0,0,1,2,3,2,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,17,2,22,1,3,4,2,0,1,4,4,3,32,5,2,1,3,5,3,2,2,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,18,3,5,5,6,5,1,1,1,4,3,2,1,2,2,1,1,2,4,1,4,1,1,1,2,2,1,1,2,2,2,1,2,3,1,1,5,3,3,2,3,5,1,1,2,1,2,2,2,2,1,3,3,3,3,3,3,6,7,1,2,4,2,1,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,18,2,22,1,2,2,2,4,2,2,4,2,32,5,2,2,1,4,3,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,19,2,6,0,6,5,1,1,1,4,4,2,1,3,2,2,4,1,4,3,4,1,2,2,2,2,2,2,2,2,1,2,4,4,4,6,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,7,1,0,4,3,3,1,2,2,2,2,2,2,2,146,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,2,1,1,1,1,4
1,146,20,1,10,1,3,0,1,1,1,6,4,3,1,0,0,0,3,2,4,3,4,2,1,2,2,2,2,1,2,2,2,1,2,0,0,0,0,1,1,2,1,6,0,3,2,2,1,0,0,0,0,1,1,1,1,3,1,0,0,1,1,4,2,4,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,20,2,22,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,21,1,6,2,0,1,4,2,1,4,0,5,0,2,3,2,1,2,4,3,2,0,1,2,2,2,2,2,2,2,2,1,1,2,1,1,5,2,3,1,2,5,2,1,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,1,3,1,2,3,0,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,21,2,22,1,3,4,1,1,4,1,1,1,0,0,2,0,1,0,0,1,2,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,22,2,6,3,5,5,5,2,1,4,4,2,1,2,2,2,1,3,4,2,2,1,1,2,1,1,1,1,1,2,2,1,2,3,1,1,5,4,4,2,3,2,1,1,2,1,2,1,1,1,2,1,3,1,3,3,3,2,0,1,2,2,2,2,1,1,2,2,1,2,2,2,146,22,2,2,2,1,3,4,1,1,2,3,4,2,3,2,5,2,1,1,5,1,2,2,2,2,1,4
1,146,23,3,6,4,0,5,1,1,1,2,3,2,1,3,2,2,1,2,4,1,1,1,2,2,2,2,2,1,2,2,2,1,2,3,1,1,5,3,1,1,1,5,2,1,1,1,2,1,1,1,1,1,3,1,3,3,3,2,6,1,2,4,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,23,2,22,2,2,2,1,1,1,1,3,1,0,0,1,1,1,2,1,1,1,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,24,4,7,1,6,5,4,5,1,0,4,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,3,3,1,1,5,3,3,1,2,5,1,1,2,1,0,0,0,0,1,0,1,1,1,1,3,0,2,1,1,1,2,1,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,24,2,22,1,3,1,1,1,2,4,4,3,32,5,1,2,1,4,3,2,2,0,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,25,2,6,5,6,2,4,4,1,4,4,2,1,2,3,1,2,2,4,3,1,1,2,2,2,1,2,1,1,2,2,1,2,3,1,1,5,3,3,2,2,2,2,1,2,2,2,1,1,1,1,1,3,1,3,3,3,2,6,2,2,4,3,1,1,2,2,2,1,2,2,2,146,25,2,2,2,2,3,4,1,1,2,4,4,3,3,2,5,2,2,3,4,1,1,1,0,2,2,4
1,146,26,1,2,1,5,2,1,1,2,3,4,2,1,3,2,3,4,2,4,2,1,1,1,1,1,2,1,1,1,2,2,1,2,3,1,1,5,4,4,1,3,2,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,6,7,2,2,3,3,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,26,2,22,1,3,1,1,1,4,1,0,1,32,5,2,2,1,5,2,2,2,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,27,7,9,7,5,5,1,1,1,6,5,3,1,2,1,3,2,2,3,2,2,1,2,2,1,1,1,1,2,2,2,1,3,3,1,1,5,2,2,1,2,4,1,1,2,1,2,2,1,2,2,1,3,1,3,3,2,2,6,1,1,2,2,2,1,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,27,2,22,0,2,2,2,2,1,4,4,3,32,5,4,0,2,5,2,1,1,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,28,2,6,2,5,4,1,1,1,4,4,2,1,1,1,2,1,2,4,2,1,1,2,2,2,2,1,2,2,2,2,1,3,3,1,1,5,3,3,3,2,1,1,1,2,1,2,2,1,1,2,1,3,1,3,3,3,2,6,1,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,28,1,22,3,2,1,2,0,3,3,4,1,32,5,0,0,0,0,0,1,1,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,29,0,7,5,5,2,1,1,1,4,4,2,1,2,1,1,2,3,4,1,2,1,2,2,1,1,2,1,2,2,2,1,3,3,1,1,5,3,2,2,3,2,1,1,1,2,2,2,1,2,2,3,3,3,3,1,3,4,6,1,2,4,1,2,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,29,2,22,1,3,4,2,4,3,4,4,3,32,5,4,2,1,5,3,1,2,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,30,1,6,2,6,1,1,1,1,4,4,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,3,2,1,4,2,2,2,2,5,1,1,2,1,2,1,1,1,1,2,3,1,3,3,1,2,0,2,0,1,3,4,1,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,30,2,22,1,3,2,2,4,4,2,4,1,32,5,4,2,1,5,2,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,31,4,7,5,6,5,4,3,1,4,4,3,1,2,3,3,4,2,3,3,1,1,2,2,1,2,2,2,2,2,2,1,3,3,2,1,5,3,3,1,3,4,1,1,1,1,2,2,1,0,1,1,3,3,3,3,3,6,7,1,2,4,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,31,2,22,3,3,4,2,2,0,4,4,3,32,5,0,2,3,4,3,0,0,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,32,1,9,3,6,5,1,1,1,4,4,1,1,1,3,1,1,3,4,1,2,1,1,2,2,2,2,2,2,2,2,1,0,3,1,1,5,4,4,0,3,0,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,4,0,0,1,2,2,2,2,2,2,2,146,32,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,2,0,0,4
1,146,33,3,3,6,5,4,1,1,1,4,4,2,1,2,2,1,1,2,3,2,1,1,2,1,2,2,2,2,2,2,2,1,2,3,1,1,5,3,3,2,2,2,1,1,2,1,1,2,1,1,1,1,3,3,3,1,1,4,6,1,1,2,2,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,33,1,22,1,2,1,2,0,2,1,3,1,32,5,2,2,1,5,2,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,34,3,4,3,5,2,4,2,1,4,4,3,1,2,2,3,3,2,4,2,2,1,1,1,1,1,1,1,2,2,2,1,3,3,1,1,5,4,4,2,3,0,1,1,1,2,2,1,1,1,1,1,3,1,3,3,3,2,6,1,2,3,2,2,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,34,2,22,3,3,4,2,0,2,3,4,2,32,5,2,2,1,5,3,1,2,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,35,3,6,3,5,2,1,1,1,4,4,2,1,2,3,2,1,2,4,3,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,1,5,3,2,1,2,5,2,1,2,1,2,1,1,1,1,2,3,3,3,3,3,6,7,2,2,4,3,2,2,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,35,2,22,0,3,4,2,0,3,4,4,3,32,5,2,2,3,4,2,2,0,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,36,6,9,5,5,5,1,1,0,6,4,3,1,3,2,3,4,2,4,1,1,1,1,2,2,2,2,2,2,2,2,1,3,3,1,1,5,4,4,1,2,0,1,1,1,1,1,0,0,0,0,0,0,3,3,3,3,6,7,1,3,2,2,0,0,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,36,1,22,1,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,37,4,6,4,6,4,4,4,1,4,4,3,1,3,1,3,4,2,4,3,2,1,2,2,2,1,2,2,2,2,2,1,3,3,1,1,5,3,3,2,3,4,1,1,2,1,2,0,1,1,1,1,3,1,1,3,1,2,2,3,1,3,3,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,37,2,22,1,3,4,3,3,1,4,4,3,32,5,2,1,2,5,2,1,1,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,38,1,5,6,6,5,1,1,1,4,3,2,1,3,2,3,2,2,4,1,1,1,1,2,1,2,1,1,2,2,2,1,2,3,1,1,5,3,2,1,2,6,2,1,1,1,2,2,1,2,2,1,3,1,1,1,2,2,6,1,1,2,1,2,1,2,2,2,2,2,2,2,146,38,1,2,2,1,3,4,3,3,2,2,4,1,3,2,5,2,1,3,4,2,2,2,1,1,2,4
1,146,39,3,7,7,5,5,4,2,1,4,4,3,1,1,2,2,3,2,4,3,2,1,2,2,2,1,2,2,2,2,2,1,3,3,1,2,5,3,2,2,2,2,2,1,2,1,2,1,1,1,2,1,3,3,3,3,3,6,7,2,2,3,2,3,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,39,2,22,2,3,4,3,0,3,4,4,3,32,5,4,1,3,2,3,2,2,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,40,1,5,6,6,4,1,1,1,4,4,2,1,2,3,3,2,2,4,2,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,3,5,3,3,1,2,4,1,1,2,2,2,0,1,1,2,1,3,3,3,3,3,6,7,1,1,4,2,1,1,2,2,2,2,2,2,2,146,40,1,2,2,4,0,0,3,0,2,4,4,3,3,2,5,2,2,3,4,3,2,2,2,2,2,4
1,146,41,1,4,3,6,2,4,3,1,4,4,2,1,2,2,3,4,3,2,3,1,1,1,2,1,1,2,2,2,2,2,1,1,3,2,1,5,3,2,2,3,5,2,2,2,1,2,2,1,1,2,2,3,1,3,3,3,2,6,2,2,4,2,1,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,41,2,22,3,3,1,4,4,2,4,4,3,32,5,2,1,2,5,3,2,2,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,42,3,9,4,5,3,4,3,1,4,4,2,1,3,2,2,3,2,4,2,2,1,2,2,2,2,2,2,1,2,2,1,2,3,1,1,5,4,4,2,3,2,2,2,2,1,2,2,1,1,2,1,3,1,3,3,3,2,6,2,2,2,2,4,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,42,2,22,3,3,4,4,4,2,4,4,3,32,5,4,1,1,5,2,2,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,43,1,10,4,2,5,1,1,1,6,0,4,1,3,2,3,4,3,4,2,1,1,2,2,2,2,2,2,1,2,2,1,3,3,1,1,5,3,1,1,3,5,1,1,2,1,2,1,1,1,2,1,3,3,3,3,3,6,7,1,1,4,3,1,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,43,2,22,2,2,3,4,6,1,4,4,3,32,5,4,2,3,5,4,2,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,44,3,11,6,5,5,1,1,1,5,4,2,1,2,2,3,2,2,4,3,2,1,2,2,2,2,2,1,2,2,2,1,3,3,1,1,5,3,3,2,2,5,1,1,2,1,2,2,2,1,1,1,3,3,3,3,3,6,7,2,2,2,3,4,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,44,2,22,4,3,4,4,4,4,3,4,2,32,5,2,2,3,2,4,2,2,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,45,1,5,5,6,2,1,1,1,4,3,2,1,2,2,3,1,2,4,2,2,1,1,1,1,1,1,1,2,2,2,1,1,3,1,4,1,3,0,2,0,2,2,2,2,1,2,1,2,1,2,1,3,3,3,1,3,0,0,1,2,3,2,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
