COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107
1,106,11,2,5,3,1,5,5,4,1,2,5,1,8,3,1,3,2,2,2,2,2,2,2,2,2,1,2,2,6,2,5,2,2,2,2,2,2,2,2,2,2,1,2,2,9,1,3,0,2,2,2,1,2,2,2,2,2,2,2,2,1,3,2,99,,210,6001,1,29,9,2,2,2,2,2,2,2,2,2,1,4,3,4,3,3,4,3,4,2,2,5,4,6,30,3,10,30,3,1,1,1,2,2,2,5
1,106,12,2,1,2,1,5,7,3,1,6,2,5,11,3,2,5,2,1,2,2,2,2,2,2,2,2,2,2,12,7,5,1,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,9,2,2,2,2,1,2,2,2,2,2,2,2,6,5,3,99,,210,6001,2,29,9,2,2,2,2,2,2,2,2,2,1,5,2,1,1,2,2,2,4,2,3,6,4,9,90,4,20,40,4,2,2,3,6,1,2,3
1,106,13,2,2,5,1,5,2,0,6,7,6,5,11,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,7,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3,8,2,2,2,1,2,2,2,2,2,2,2,2,2,1,5,99,,210,6001,3,29,9,2,2,2,2,2,2,2,2,2,1,5,3,4,4,3,9,9,2,3,3,6,4,9,90,2,10,20,2,1,1,1,5,1,5,5
1,106,14,2,3,3,1,5,6,0,6,7,6,0,0,5,4,12,2,2,2,2,2,2,2,2,2,1,2,2,6,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,8,1,3,8,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,99,,210,6001,4,29,9,2,2,2,2,2,2,2,2,2,1,4,1,3,3,3,9,9,9,9,3,6,4,9,90,2,10,20,2,1,1,1,4,1,1,5
1,106,15,2,1,2,1,5,6,3,1,6,1,5,11,3,1,3,2,2,2,2,2,2,2,2,1,2,2,2,10,1,2,2,2,2,2,2,2,2,1,1,2,2,2,4,1,2,3,9,2,2,2,1,2,2,2,2,1,2,2,2,1,2,3,99,,210,6001,5,29,9,2,2,2,2,2,2,2,2,2,1,3,2,1,1,3,9,9,9,9,3,6,4,9,90,8,10,80,8,1,1,2,6,1,1,5
1,106,16,2,1,4,1,5,5,4,1,4,5,1,11,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,7,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,1,9,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,99,,210,6001,6,29,9,2,2,2,2,2,2,2,2,2,1,4,3,3,3,3,9,9,9,9,3,6,4,9,90,3,10,30,3,1,1,1,4,4,5,5
1,106,17,2,1,11,1,5,4,3,1,6,2,5,11,4,3,3,2,2,2,2,2,2,2,2,2,1,2,2,5,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,8,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,99,,210,6001,7,29,9,2,2,2,2,2,2,2,2,2,1,4,1,3,3,3,9,9,9,9,1,5,4,9,90,9,10,90,9,1,1,1,6,1,1,5
1,106,18,2,2,10,4,1,5,0,6,7,6,0,11,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,6,7,5,2,2,2,2,2,2,2,2,2,2,2,1,12,0,2,2,5,2,2,2,1,2,2,2,2,2,2,2,2,1,6,5,99,,210,6001,8,29,9,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,9,9,9,9,4,0,4,9,90,3,30,0,0,5,0,5,0,1,1,5
1,106,19,2,0,0,1,5,1,4,6,7,1,0,0,5,4,1,2,2,2,2,2,2,2,2,2,2,2,1,0,7,5,2,2,2,2,2,2,2,2,2,2,2,1,12,0,0,3,0,2,1,2,2,2,2,2,2,2,2,2,2,0,6,5,99,,210,6001,9,29,9,2,2,2,2,2,2,2,2,2,1,0,0,4,0,4,9,9,9,9,4,0,0,9,90,0,30,0,0,5,0,5,0,4,5,5
1,106,20,2,2,8,2,1,1,4,1,6,1,1,11,3,1,3,2,2,2,2,2,2,2,2,2,1,2,2,5,3,4,2,2,2,2,2,2,2,2,1,2,2,2,3,8,1,1,9,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,6,,210,6002,0,20,3,2,2,2,2,2,2,2,1,2,2,5,1,3,3,3,9,9,9,9,3,6,4,9,90,7,10,70,5,3,1,1,6,1,3,5
