COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85
1,79,1069,1,3,6,4,2,1,5,3,1,4,1,4,2,1,1,1,2,2,1,1,2,4,2,2,3,2,3,3,3,4,1,1,2,3,1,1,3,2,2,3,5,2,1,10,3,10,4,4,3,3,4,4,2,2,1,2,2,3,2,2,3,1,1,4,,207,9106,9,3,4,3,2,4,1,3,5,5,1,3,2,2,300376
1,79,1070,4,3,6,9,3,5,1,2,2,4,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,4,3,2,11,3,3,7,3,2,1,3,4,1,1,2,2,6,3,1,3,3,1,3,1,2,2,2,2,2,2,3,1,1,3,2,1,2,,207,9107,0,2,2,1,1,1,2,3,1,2,1,1,2,2,300604
1,79,1071,3,5,5,4,3,1,5,3,1,5,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,3,5,5,1,1,1,2,11,3,3,1,1,2,1,1,2,3,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,,207,9107,1,2,2,1,1,1,3,3,1,3,2,3,2,2,100165
1,79,1072,3,5,5,2,5,1,5,3,1,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,3,1,2,4,4,4,2,3,3,7,3,2,1,2,3,1,2,3,2,4,4,4,1,3,5,2,3,4,2,1,2,1,2,2,1,2,4,1,3,5,,207,9107,2,3,3,4,4,4,3,3,1,3,3,3,1,1,400530
1,79,1073,3,5,6,0,3,1,5,3,1,4,2,3,1,1,1,1,2,2,1,1,1,2,2,3,3,2,4,5,3,2,1,1,3,4,3,3,1,2,2,1,5,3,2,3,1,1,2,1,2,4,4,3,2,2,2,1,1,2,2,2,3,1,2,3,,207,9107,3,3,3,4,4,4,3,3,2,5,2,3,2,2,200325
1,79,1074,1,5,6,5,2,4,1,2,1,5,1,2,2,1,3,1,2,2,2,1,2,4,2,2,2,2,4,4,3,2,2,1,2,3,3,1,1,3,3,1,2,2,1,10,2,9,3,4,2,3,2,3,2,2,2,2,2,3,2,2,3,2,2,3,,207,9107,4,3,3,2,2,2,3,3,1,4,1,3,2,2,100327
1,79,1075,2,5,4,3,4,4,1,2,1,4,1,1,1,2,2,1,2,2,2,3,2,1,3,2,3,2,3,3,3,1,3,1,1,11,2,2,1,1,3,1,2,2,3,5,7,5,1,4,6,4,4,4,2,2,1,2,2,4,2,1,4,2,3,2,,207,9107,5,4,4,4,4,4,3,2,1,1,1,3,1,2,301099
1,79,1076,2,5,5,3,5,5,1,1,1,5,2,2,2,1,2,2,2,3,3,3,2,2,2,2,3,3,4,4,2,3,3,1,3,3,3,1,1,2,3,2,3,2,3,3,6,3,1,4,5,2,3,3,2,1,2,1,1,3,2,2,3,1,1,3,,207,9107,6,3,3,2,4,4,2,2,5,5,2,3,2,2,200129
1,79,1077,2,5,5,2,3,1,5,3,1,5,3,2,2,1,1,2,2,2,2,2,2,4,2,5,3,2,4,4,1,4,11,1,3,3,3,1,1,2,2,2,5,4,2,7,4,7,1,3,5,3,2,3,2,2,2,2,2,3,2,2,4,2,2,3,,207,9107,7,5,3,3,3,3,2,4,3,4,2,3,2,2,200535
1,79,1078,1,5,5,8,1,1,5,3,1,3,1,1,1,1,2,1,2,2,2,1,1,3,3,1,1,1,3,2,2,2,2,4,1,7,2,3,2,1,1,1,5,2,1,10,1,10,4,3,6,2,4,2,2,1,1,1,1,1,2,1,1,1,1,1,,207,9107,8,2,2,2,1,1,4,1,1,5,1,3,2,2,301202
