CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.6G.,Q.6H.,Q.6I.,Q.6J.,Q.6K.,Q.6L.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,V.9A.,Q.10.,Q.11.,Q.12.,V.13.,V.14.
1,189,120,3,1,1,3,2,1,2,1,1,1,1,1,1,1,3,3,1,1,1,1,2,3,3,5,8,2,3,1
1,189,121,3,1,1,3,2,1,3,1,1,2,2,3,1,1,1,3,3,1,1,2,2,1,3,5,6,2,2,1
1,189,122,3,1,2,3,2,1,2,2,1,3,3,2,1,1,4,2,4,1,2,2,2,1,4,5,6,2,0,1
1,189,123,3,1,1,3,3,1,2,1,3,1,1,3,1,3,2,2,1,1,2,1,1,1,3,5,6,2,3,1
1,189,124,3,1,1,3,2,1,2,2,1,1,3,3,1,1,2,2,1,1,1,1,2,1,3,5,6,2,2,1
1,189,125,3,1,1,3,2,3,2,1,1,1,1,3,1,1,2,2,1,1,2,1,2,1,3,5,6,1,3,1
1,189,126,3,1,1,3,3,1,2,3,3,2,2,3,1,1,2,2,1,1,1,1,0,2,2,5,6,2,3,1
1,189,127,3,1,1,3,2,1,3,3,1,3,3,3,1,1,2,2,3,1,2,2,2,2,3,5,6,2,0,1
1,189,128,3,1,1,3,3,1,2,2,1,3,2,1,1,1,2,2,1,1,3,1,1,2,2,5,6,2,2,1
1,189,129,3,1,2,3,3,1,2,2,1,3,3,3,2,2,1,3,1,1,2,2,2,3,3,5,6,2,0,1
1,189,130,3,1,1,3,3,1,2,3,1,1,3,3,1,1,3,2,3,1,1,1,2,1,3,5,6,2,3,1
1,189,131,3,1,1,3,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,5,6,2,0,1
1,189,132,3,1,1,3,3,1,2,3,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,5,6,2,0,1
