CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.13A.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.65..1,Q.65..2,Q.65..3,Q.65..4,Q.65..5,Q.65..6,Q.65..7,Q.65..8,Q.65..9,CARD..1,DECK..1,BALLOT..1,X.,X..1,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.71..1,Q.71..2,Q.71..3,Q.71..4,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.76..1,Q.76..2,Q.76..3,Q.76..4,Q.76..5,Q.76..6,Q.76..7,Q.76..8,Q.76..9,Q.76..10,Q.76..11,Q.76..12,Q.76..13,V.78.,V.79.
1,233,11,2,4,2,1,2,3,3,3,2,3,5,8,1,3,2,1,2,2,2,1,1,8,2,6,5,4,8,6,6,6,1,2,6,8,3,2,1,1,1,0,1,2,3,3,1,3,1,2,2,2,1,2,2,8,8,2,5,2,2,2,2,2,2,2,2,1,2,2,233,11,2,2,3,2,4,1,5,2,2,1,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,49
1,233,12,3,4,3,1,5,1,4,2,2,1,1,1,2,1,5,1,1,2,3,1,1,8,3,6,5,4,8,6,6,6,1,2,6,8,2,4,3,1,1,1,1,2,1,1,2,3,3,2,1,2,2,2,2,8,8,0,5,1,2,2,2,2,2,2,2,2,2,2,233,12,2,2,1,3,6,7,5,1,2,2,2,2,1,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,63
1,233,13,1,4,4,1,3,8,4,5,2,0,4,8,2,4,3,3,2,3,1,2,3,2,2,2,4,3,5,5,5,2,1,2,1,4,1,5,5,3,3,3,1,2,1,1,1,1,3,4,1,1,2,1,2,8,8,0,1,1,2,2,2,2,2,1,1,2,2,2,233,13,2,2,2,1,6,7,5,2,2,1,2,2,1,1,4,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,3,5
1,233,14,2,4,3,3,5,1,4,5,2,1,4,8,1,3,5,1,3,3,1,3,3,1,2,1,3,3,3,1,3,3,1,2,1,6,4,1,1,3,1,0,2,2,1,0,0,1,2,2,1,2,1,1,2,8,8,6,4,2,2,2,2,2,1,2,2,2,2,2,233,14,2,2,2,6,3,1,5,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,8
1,233,15,3,4,3,1,3,8,5,5,1,3,1,5,3,4,5,3,2,3,3,1,2,4,2,2,2,3,5,2,3,3,1,2,2,4,2,1,5,2,6,3,1,2,1,1,2,3,2,3,2,2,2,2,2,8,8,2,5,2,1,2,1,2,2,2,2,2,2,2,233,15,2,2,1,4,3,3,3,2,2,1,2,2,4,7,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,22
1,233,16,2,4,3,3,1,1,4,5,2,3,1,7,1,3,2,1,2,2,2,1,1,4,1,2,2,3,5,1,4,1,1,2,1,4,1,1,1,2,2,3,1,2,1,1,2,1,2,3,1,2,2,2,2,8,8,0,5,2,2,2,2,2,2,2,2,2,2,2,233,16,2,1,1,1,2,1,3,2,2,1,2,2,5,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,26
1,233,17,3,4,2,2,1,1,3,4,2,5,1,7,3,3,2,1,2,2,2,1,1,8,2,6,5,4,8,6,6,6,1,2,6,8,1,1,1,6,6,1,1,2,1,1,1,2,3,2,2,2,2,1,2,8,8,0,5,2,2,2,2,2,2,1,1,2,2,2,233,17,2,2,1,4,3,1,6,1,2,2,2,2,7,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,25
1,233,18,1,4,2,3,4,1,3,4,2,5,1,7,2,2,5,1,2,2,2,3,1,3,1,2,1,3,5,2,1,1,1,2,1,4,2,4,5,1,1,5,1,1,2,2,1,5,3,2,2,3,2,1,2,8,8,4,4,1,1,2,1,2,2,2,1,2,2,2,233,18,2,2,2,4,6,7,3,1,2,2,2,2,6,7,5,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,39
1,233,19,2,4,3,3,1,3,3,5,2,5,4,8,1,4,1,1,2,1,3,1,1,8,3,6,5,4,8,6,6,6,1,4,6,8,3,2,2,2,1,3,1,2,1,1,3,3,3,3,3,2,2,1,2,8,8,7,5,2,2,2,2,2,2,1,2,2,2,2,233,19,2,2,1,4,6,7,6,1,1,2,2,2,7,7,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,59
1,233,20,2,4,2,1,1,1,3,5,2,5,1,1,2,5,2,3,2,2,2,1,1,2,2,2,3,3,2,3,5,3,1,2,1,5,1,1,1,1,3,3,1,2,1,1,1,3,2,2,2,2,2,2,2,8,1,0,4,1,2,2,1,2,2,1,2,2,2,2,233,20,2,2,1,4,3,3,5,1,1,2,2,2,1,1,4,4,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,36
1,233,21,2,4,5,3,1,3,3,4,2,5,1,1,3,3,3,1,2,2,3,3,3,2,1,2,4,3,4,1,5,1,2,7,1,4,1,2,1,2,3,1,1,2,1,1,2,2,3,2,1,2,2,1,2,8,8,5,4,2,2,2,2,2,2,1,1,2,2,2,233,21,2,2,1,4,1,5,5,1,2,2,2,2,1,2,4,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,5,37
1,233,22,1,4,2,3,4,1,3,4,2,5,1,3,1,3,3,1,1,3,1,1,4,3,1,2,2,2,5,1,3,1,1,2,1,4,3,1,4,2,2,3,1,2,1,1,1,3,1,3,2,2,2,1,2,8,8,2,5,2,1,2,1,2,2,1,2,2,2,2,233,22,2,2,1,4,5,7,3,1,2,1,2,2,2,3,4,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,5,40
1,233,23,3,4,3,3,1,8,4,5,2,5,1,4,1,1,1,1,1,1,2,1,1,8,3,6,5,4,8,6,6,6,3,2,6,8,3,1,2,2,5,1,2,2,1,1,2,3,3,3,1,1,1,1,2,8,8,0,5,2,2,2,2,2,2,2,2,2,2,2,233,23,2,1,1,4,4,1,5,1,2,2,2,2,1,1,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,5,48
1,233,24,2,4,3,3,3,3,4,5,2,5,1,7,1,1,1,1,2,1,2,1,1,8,3,6,5,4,8,6,6,6,1,2,6,8,1,1,2,1,2,3,1,2,1,1,2,2,3,3,2,2,2,0,2,8,8,2,4,2,2,2,2,2,2,1,1,2,2,2,233,24,1,2,1,3,4,1,6,1,2,2,2,2,7,1,4,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,6,7
1,233,25,3,4,3,3,5,3,4,4,2,5,1,7,4,4,3,3,2,1,2,1,1,2,1,2,2,2,5,1,2,1,1,2,2,3,1,1,1,1,1,0,1,2,1,1,4,2,3,3,2,2,2,2,2,8,8,6,2,2,2,2,2,2,2,2,2,2,2,2,233,25,2,1,1,1,5,1,3,1,2,2,2,2,1,2,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,21
1,233,26,1,4,2,3,4,6,2,4,2,5,1,7,1,4,5,1,1,1,2,1,1,2,4,0,3,3,7,1,4,4,1,2,2,4,2,5,1,1,1,2,2,1,2,2,2,3,2,2,1,2,2,3,2,8,8,0,4,1,2,2,2,2,2,2,2,2,2,2,233,26,2,2,1,0,6,7,7,1,2,2,2,2,1,1,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,27
1,233,27,1,4,3,3,2,3,4,4,2,5,1,7,1,2,2,1,2,1,2,5,2,1,2,2,3,3,5,2,5,5,1,2,2,4,1,3,1,1,2,5,1,2,1,1,2,2,2,3,2,2,2,1,2,8,8,11,4,2,1,2,2,2,2,1,1,2,2,2,233,27,2,2,1,4,3,1,3,1,2,2,2,2,1,2,4,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,6,29
1,233,28,3,4,2,1,2,3,3,4,2,5,5,8,2,2,2,1,2,2,2,1,1,8,3,6,5,4,8,6,6,6,3,2,6,8,1,5,1,2,1,6,1,2,1,1,1,1,3,2,1,2,2,1,2,8,8,0,5,2,2,2,2,2,2,1,1,2,2,2,233,28,2,2,1,4,2,1,6,1,2,2,2,2,7,2,4,4,2,2,2,2,2,2,2,2,2,1,1,2,2,2,6,40
1,233,29,3,4,3,3,2,3,4,5,2,5,1,7,1,3,2,1,2,2,2,4,4,6,3,2,2,3,4,1,4,5,1,2,1,5,1,1,3,1,1,1,1,2,1,1,1,2,1,3,2,2,1,2,2,8,2,2,5,1,2,1,2,2,2,2,2,2,2,2,233,29,2,2,1,1,4,5,3,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,7,6
1,233,30,2,4,4,3,5,7,4,5,2,5,4,8,4,2,2,2,1,3,2,1,1,8,3,6,5,4,8,6,6,6,4,2,6,8,5,5,1,2,2,3,1,2,1,1,1,2,3,4,3,2,2,1,2,8,8,9,5,2,2,2,2,2,2,2,2,2,2,2,233,30,2,1,1,4,6,7,5,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,7,12
1,233,31,2,4,3,1,1,8,4,5,2,5,1,7,3,3,5,1,2,2,2,3,3,3,2,2,2,2,3,1,3,2,1,1,2,4,4,1,3,2,2,1,1,2,1,2,1,3,2,3,3,3,2,2,2,8,8,4,3,2,1,2,2,2,2,1,2,2,2,2,233,31,2,2,3,6,3,1,3,1,2,2,2,2,1,2,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,7,20
1,233,32,3,4,5,1,3,8,4,5,2,5,1,7,1,3,2,1,1,1,2,1,1,8,3,6,5,4,8,6,6,6,1,2,6,8,1,3,4,2,1,1,2,2,1,1,1,2,2,3,1,2,1,1,2,8,8,8,5,2,2,2,2,2,1,2,1,2,2,2,233,32,2,2,1,4,6,7,5,1,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,7,42
1,233,33,3,4,4,3,5,3,3,5,2,5,4,8,2,1,1,1,2,2,2,1,1,6,2,3,4,3,5,1,5,5,1,2,1,5,1,1,4,2,2,1,1,2,1,1,1,3,1,2,1,1,2,2,2,8,8,2,4,1,2,2,2,2,2,2,1,2,2,2,233,33,2,2,1,4,4,5,4,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,7,56
1,233,34,3,4,4,3,3,8,4,5,2,5,1,2,1,3,2,1,3,1,2,1,2,1,1,2,2,3,2,1,5,4,1,2,3,6,1,1,4,2,1,5,1,2,1,1,0,2,1,3,2,2,1,2,2,8,8,2,5,1,2,1,2,2,2,2,2,2,2,2,233,34,2,2,1,1,2,1,4,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,7,57
1,233,35,1,4,2,4,5,1,6,6,1,5,5,1,3,5,1,1,1,1,2,1,3,3,1,2,1,2,4,1,3,1,1,2,1,2,2,5,5,6,6,4,1,2,1,2,4,1,1,2,1,2,2,2,2,8,7,6,5,2,1,1,2,2,2,2,2,2,2,2,233,35,2,2,1,1,6,7,1,1,2,2,2,2,1,1,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,7,58
1,233,36,3,4,3,1,3,8,4,5,2,5,1,2,1,1,1,1,1,1,1,1,1,5,1,2,3,3,2,1,4,1,1,2,1,4,1,5,2,2,1,0,1,2,1,1,1,1,2,2,1,2,2,1,2,8,8,1,4,2,2,2,2,2,1,2,2,2,2,2,233,36,2,2,2,6,4,1,1,1,2,2,2,2,2,1,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,7,60
1,233,37,3,4,4,3,3,1,4,5,2,5,1,1,1,4,5,1,2,1,2,1,3,8,3,6,5,4,8,6,6,6,1,2,6,8,2,1,2,2,1,1,1,2,1,1,1,2,3,2,1,2,2,2,2,8,8,2,5,1,1,2,2,2,2,1,2,2,2,2,233,37,1,2,1,2,1,1,4,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,7,70
1,233,38,2,4,4,4,2,3,4,6,2,4,1,7,2,3,4,1,2,2,3,1,3,6,2,2,4,3,6,1,5,5,1,2,1,4,3,2,1,1,2,1,1,2,1,1,1,3,2,2,2,2,1,1,2,8,8,0,5,2,2,2,2,2,2,2,2,2,2,2,233,38,1,2,1,4,4,1,5,2,1,1,2,2,4,1,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,9,2
1,233,39,2,4,4,3,1,3,4,5,2,4,1,1,3,3,2,3,3,3,2,1,4,6,3,6,5,4,8,6,6,6,1,2,6,8,1,5,5,1,3,1,1,2,1,1,1,3,3,0,2,1,1,2,2,8,8,0,5,2,2,2,2,2,1,2,2,2,2,2,233,39,1,2,1,1,2,5,5,2,1,1,2,2,7,1,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,9,3
1,233,40,3,4,3,6,1,3,4,4,2,4,1,1,2,5,2,4,1,2,3,1,4,8,3,6,5,4,8,6,6,6,1,2,6,8,1,2,1,1,2,0,1,2,1,1,1,1,3,2,1,3,3,2,2,8,8,0,5,2,2,2,2,2,2,1,1,2,2,2,233,40,2,2,1,4,1,1,3,1,2,1,2,2,1,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,9,9
1,233,41,1,4,3,3,5,6,4,5,1,4,1,4,2,1,2,1,1,3,2,1,1,2,1,2,3,3,5,1,3,3,1,3,1,4,1,3,2,3,2,3,1,2,1,1,1,2,1,3,1,2,1,2,2,8,8,5,5,2,2,2,2,2,2,1,2,2,2,2,233,41,2,2,1,3,5,1,5,2,2,1,2,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,15
1,233,42,1,4,2,3,3,3,4,3,2,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,4,3,3,1,3,3,1,2,1,3,1,2,1,1,1,6,2,2,2,1,0,1,1,2,1,2,2,1,2,8,8,0,5,2,2,2,2,2,2,1,1,2,2,2,233,42,2,2,1,1,1,1,6,2,2,1,2,2,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,9,31
1,233,43,1,4,3,3,3,1,5,5,2,4,1,2,1,2,2,1,2,1,1,1,1,5,1,2,4,3,2,1,1,1,1,2,1,4,1,4,3,3,3,4,1,1,1,2,1,3,3,2,1,2,2,3,2,8,8,0,5,2,2,2,2,2,2,1,2,2,2,2,233,43,2,2,3,5,1,1,6,2,2,1,2,2,7,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,32
1,233,44,2,4,4,3,5,3,4,4,1,3,1,4,1,1,1,1,1,2,2,1,1,1,1,2,2,3,1,1,5,5,1,3,1,1,2,1,2,1,1,1,2,2,1,1,1,3,2,2,1,2,1,2,2,8,8,5,5,2,1,2,2,2,2,1,2,2,2,2,233,44,1,2,1,3,3,1,3,1,2,1,2,2,4,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,30,29
1,233,45,1,4,3,3,3,1,4,5,2,2,1,7,1,5,4,4,2,2,1,1,1,6,3,2,3,1,6,1,3,7,4,4,2,4,2,1,1,2,2,0,1,2,1,1,2,2,1,3,3,3,1,2,2,8,1,0,5,2,2,2,2,2,2,2,2,2,2,2,233,45,2,1,1,1,3,3,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,30,37
1,233,46,1,4,2,3,2,3,2,4,1,2,4,8,3,2,1,1,2,2,2,1,1,8,3,6,5,4,8,6,6,6,2,2,6,8,2,4,2,2,2,0,1,2,1,1,2,2,3,2,2,2,3,1,2,8,8,6,5,1,2,2,2,2,2,2,2,2,2,2,233,46,2,2,1,4,5,7,6,2,1,2,2,2,7,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,30,41
1,233,47,1,4,6,6,2,8,3,4,1,4,4,8,1,1,1,1,1,1,1,1,1,3,1,1,4,2,6,2,2,1,1,2,1,1,1,3,3,1,1,0,1,2,2,1,0,1,1,3,1,3,1,1,2,8,8,0,1,2,1,2,2,1,1,2,2,2,2,2,233,47,2,2,1,1,2,1,4,1,2,1,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,30,44
1,233,48,3,4,5,3,1,3,4,5,1,3,2,7,2,1,2,1,2,1,3,1,1,2,2,1,4,3,6,1,5,3,1,2,1,1,1,2,1,1,1,3,1,2,2,1,3,3,3,3,1,1,2,1,2,8,8,0,2,2,2,2,2,2,2,2,2,2,2,2,233,48,2,1,1,1,4,1,5,2,1,2,2,2,1,1,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,30,55
1,233,49,1,4,5,3,4,1,4,4,1,2,1,7,1,1,1,1,1,1,2,2,2,5,1,1,1,2,2,1,5,5,1,2,1,4,1,1,1,3,2,1,1,2,1,1,1,1,3,2,1,3,3,2,2,8,8,0,1,2,2,2,2,2,2,2,2,2,2,2,233,49,2,1,1,1,4,1,2,1,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,30,56
1,233,50,1,4,2,3,2,1,3,4,1,1,1,3,2,1,3,1,1,2,3,1,3,6,1,2,1,2,5,1,5,1,1,2,2,4,1,2,1,3,3,1,1,2,2,1,1,1,2,2,2,2,3,2,2,8,8,2,4,2,1,2,2,2,2,2,1,2,2,2,233,50,2,2,3,2,4,1,4,1,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,30,73
1,233,51,2,4,3,3,3,1,3,5,1,2,1,7,1,2,2,1,2,2,2,2,4,4,1,2,2,3,5,1,5,1,1,2,1,4,2,1,1,2,3,3,2,2,1,1,1,2,2,3,2,2,2,2,2,8,8,2,4,2,1,2,2,2,2,2,2,2,2,2,233,51,2,2,1,4,2,1,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,30,104
1,233,52,2,4,2,3,5,1,3,5,2,2,1,7,2,3,3,1,3,2,2,3,3,3,2,2,2,2,2,1,4,5,1,2,2,4,3,3,2,6,6,6,1,2,1,1,1,2,2,2,2,2,2,1,2,8,8,5,5,2,1,2,1,2,2,2,2,2,2,2,233,52,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,30,107
1,233,53,1,4,3,4,1,8,5,5,1,2,1,7,1,1,5,1,2,2,2,1,4,1,2,2,3,3,6,1,4,4,1,2,2,6,2,1,1,2,2,3,1,2,1,1,2,3,1,3,3,2,1,2,2,8,8,0,2,2,2,2,2,2,2,2,2,2,2,2,233,53,1,2,3,1,5,1,3,2,1,2,2,2,2,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,31,3
1,233,54,1,4,2,3,4,3,3,3,2,2,4,8,1,2,5,1,2,2,2,3,2,5,1,1,1,3,2,1,5,4,1,2,1,4,3,3,2,1,3,0,1,2,1,2,2,1,1,2,1,2,3,1,2,8,8,0,4,2,2,2,2,2,2,2,2,2,2,2,233,54,2,1,1,4,6,7,3,2,1,2,2,2,3,6,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,31,7
1,233,55,1,4,4,3,5,1,4,4,1,4,1,1,1,3,2,4,3,2,2,4,3,2,3,2,1,2,2,4,5,5,1,2,2,4,1,1,1,1,1,1,1,2,1,1,3,1,3,2,1,2,2,3,2,8,8,5,4,1,1,2,2,2,2,1,2,2,2,2,233,55,2,2,1,4,1,1,3,2,1,2,2,2,3,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,31,12
1,233,56,2,4,2,3,2,3,3,4,1,3,1,2,2,4,4,1,2,2,2,1,1,1,1,2,4,3,5,1,5,4,1,3,1,4,3,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,8,8,0,2,2,2,2,2,2,1,2,2,2,2,2,233,56,2,2,1,4,4,1,3,2,2,1,2,2,2,1,4,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,31,17
1,233,57,2,4,2,2,5,1,3,4,1,2,1,1,1,5,2,1,2,1,2,3,1,1,2,2,4,3,6,1,5,1,1,2,1,4,2,5,1,2,2,3,1,2,1,1,2,2,2,2,3,2,1,2,2,8,8,2,1,2,2,2,2,2,2,1,1,2,1,2,233,57,2,2,1,4,5,7,5,2,2,1,2,2,4,7,1,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,31,21
1,233,58,1,4,4,3,2,3,3,4,2,2,1,7,1,2,2,1,2,2,2,1,1,2,2,2,3,3,2,2,2,3,1,2,2,4,2,3,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,8,8,5,4,2,2,2,2,1,2,2,2,2,2,2,233,58,2,2,2,6,6,1,5,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,31,32
1,233,59,2,4,2,1,2,1,3,5,1,2,1,1,1,5,5,1,1,2,2,2,1,2,1,1,1,3,6,1,4,1,2,3,1,4,2,5,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,8,1,2,4,1,1,2,1,2,2,2,2,2,2,2,233,59,2,2,1,4,3,1,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,31,48
1,233,60,2,4,2,3,2,1,4,5,1,2,1,1,1,4,2,2,1,2,2,2,2,1,1,2,2,3,5,1,5,5,1,3,1,4,2,2,2,1,1,1,1,2,1,1,1,3,1,3,2,2,1,1,2,8,8,0,2,1,1,2,2,2,2,2,2,2,2,2,233,60,2,2,1,5,6,7,3,2,1,2,2,2,2,7,4,4,2,2,2,2,2,2,2,1,2,2,1,2,2,2,31,53
