COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130
1,64,2042,2,6,4,3,5,1,5,3,1,4,1,3,11,9,2,1,1,1,2,1,2,1,1,3,2,4,1,2,1,1,9,3,3,2,2,1,3,2,4,2,1,4,1,2,2,2,1,4,2,2,1,2,3,1,1,1,3,1,1,2,1,2,1,,206,4204,2,1,1,2,2,3,2,1,1,1,1,1,6,4,2,2,1,4,3,5,1,3,5,4,6,1,1,4,1,3,1,2,1,1,1,2,3,1,21,0,3,6,1,4,3,2,4,4,20,30,6,3,2,3,6,3,4,1,2,1,59
1,64,2043,2,10,1,0,1,1,5,3,1,4,2,4,12,1,3,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,5,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,4,1,4,3,4,1,3,2,1,1,4,6,6,6,6,6,,206,4204,3,6,6,6,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,1,1,4,1,1,3,1,4,1,1,1,1,3,1,20,6,1,6,2,4,3,5,2,1,10,61,2,5,9,2,7,4,6,2,2,4,94
1,64,2044,2,9,3,4,1,4,2,2,1,5,2,2,6,2,4,1,1,1,2,2,2,1,1,3,2,1,2,1,1,2,2,4,6,1,3,2,4,3,2,2,2,1,2,3,1,3,1,4,2,2,3,2,2,4,1,2,1,1,2,1,1,2,1,,206,4204,4,1,1,2,3,2,1,1,1,2,1,1,1,3,1,2,5,1,1,4,1,1,1,1,1,2,4,1,1,3,2,3,1,1,2,2,1,1,20,5,1,5,3,3,4,5,0,4,20,91,1,3,9,4,6,3,2,0,2,3,45
1,64,2045,2,11,3,0,1,1,5,3,1,5,1,5,9,9,2,1,1,2,2,1,1,1,2,3,3,1,1,1,1,1,9,5,5,1,1,4,2,2,10,2,2,1,1,1,1,2,2,4,4,2,1,1,2,1,1,1,1,1,1,2,1,2,1,,206,4204,5,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,4,1,1,3,3,4,1,1,1,1,5,5,30,3,2,1,4,4,4,6,6,4,30,61,0,5,9,4,6,5,2,2,2,2,49
1,64,2046,2,9,5,2,5,1,5,3,1,3,3,3,4,8,5,3,2,1,2,2,2,1,2,3,2,3,1,1,1,2,9,4,2,2,3,4,1,3,1,3,2,1,2,3,2,3,2,1,4,1,1,2,1,1,1,1,1,1,1,2,1,2,2,,206,4204,6,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,4,4,4,4,3,3,3,2,1,1,1,3,3,1,2,3,1,11,1,3,4,2,4,3,4,7,5,40,30,4,1,3,4,5,4,0,0,0,3,30
1,64,2047,2,3,5,7,1,1,5,3,2,4,2,4,9,9,2,1,1,2,2,2,2,1,2,3,2,2,1,3,1,1,9,4,4,2,2,3,3,2,3,2,1,1,2,3,1,2,1,4,2,1,1,5,5,5,1,1,1,1,1,2,1,2,1,,206,4204,7,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,4,1,2,3,1,1,1,2,1,1,3,1,4,1,1,1,1,4,1,10,5,3,5,2,3,4,5,6,5,40,61,2,5,5,1,5,5,2,0,2,0,57
1,64,2048,2,10,5,1,2,4,4,2,1,6,2,2,8,8,3,1,1,3,2,1,2,1,2,2,2,2,3,1,1,1,8,5,1,2,1,5,2,2,11,2,2,2,1,1,4,4,4,4,2,2,1,4,4,3,1,3,1,1,2,6,1,6,1,,206,4204,8,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,4,1,21,1,3,1,3,4,4,6,2,4,20,91,2,4,4,1,5,3,4,2,2,4,46
1,64,2049,2,4,5,0,5,1,5,3,1,3,2,3,4,9,3,1,1,3,2,1,2,1,2,1,2,2,2,1,1,1,9,3,1,2,2,2,2,3,3,3,1,1,3,1,2,2,2,4,1,3,2,2,4,2,2,1,3,1,1,2,1,2,1,,206,4204,9,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,3,1,1,3,3,2,2,2,2,1,4,6,20,3,1,5,2,4,3,6,5,3,20,61,2,1,4,4,5,3,5,1,2,4,46
1,64,2050,1,4,3,7,1,1,5,3,1,3,1,2,5,8,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,8,3,1,2,4,6,1,2,2,3,1,1,2,1,1,3,1,6,6,1,1,3,1,1,1,1,3,1,1,2,1,1,5,,206,4205,0,2,2,1,2,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,3,2,1,3,1,4,1,2,2,2,3,6,10,4,1,2,3,4,3,4,6,5,10,70,9,2,2,2,7,4,4,0,0,4,55
1,64,2051,1,4,1,1,1,4,2,2,1,3,2,3,4,9,3,1,1,1,2,1,1,1,4,3,2,3,1,1,1,1,9,3,3,1,1,1,1,1,1,1,2,1,1,3,1,3,2,2,1,3,2,6,6,6,6,2,3,4,2,6,1,6,6,,206,4205,1,6,6,6,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,3,2,2,1,2,2,1,10,1,2,1,3,4,1,6,1,2,10,91,1,2,3,0,5,4,5,2,2,1,47
