CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,V.12A.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.56..1,Q.56..2,Q.57.,Q.58.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.59.,Q.63.,Q.64A.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.70..1,Q.70..2,Q.70..3,Q.70..4,Q.70..5,Q.70..6,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.72D.,Q.72E.,Q.72F.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.77..1,Q.77..2,Q.77..3,Q.77..4,Q.77..5,Q.77..6,Q.77..7,Q.77..8,Q.77..9,Q.77..10,Q.77..11,Q.77..12,Q.77..13,Q.77..14,Q.77..15,Q.78.,Q.79.,Q.80.,Q.81.,Q.82A.,Q.82B.,Q.83A.,Q.83B.,Q.83B..1,Q.83B..2,Q.83B..3,Q.83B..4,Q.83B..5,Q.83B..6,Q.83B..7,Q.83B..8,Q.83B..9,Q.83B..10,Q.83B..11,Q.83B..12,Q.83B..13,Q.83B..14,Q.83B..15,Q.83B..16,Q.83B..17,CARD..2,DECK..2,BALLOT..2,NA.2,X.,X..1,X..2,X..3,Q.84.,V.86.,V.87.,V.88.,V.89.
1,115,11,1,4,7,6,2,4,2,7,8,3,7,2,1,1,2,3,1,1,2,2,2,2,2,2,1,2,1,1,2,3,2,2,3,1,3,1,2,2,1,3,2,2,2,2,1,1,2,3,4,3,1,1,1,3,2,2,2,1,1,1,3,2,2,115,11,1,3,2,1,2,4,4,2,4,2,2,2,2,2,1,2,3,1,1,2,1,1,1,1,3,3,2,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,10,5,1,11,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,11,1,2,2,2,2,2,1,12,36,4
1,115,12,1,3,0,7,5,2,1,7,8,2,3,10,1,1,9,1,1,2,1,3,3,2,5,3,1,2,3,1,4,4,1,2,3,2,3,2,2,4,4,3,3,4,2,4,2,1,3,1,3,2,1,1,4,3,1,2,3,3,3,3,1,1,2,115,12,1,2,2,1,3,1,0,4,5,2,2,2,2,2,2,1,5,1,1,1,1,1,1,3,4,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,12,1,2,2,2,2,1,1,8,94,4
1,115,13,1,3,3,7,9,4,2,3,8,2,3,6,1,1,6,8,2,2,3,2,2,2,3,2,2,2,2,1,3,3,2,1,2,2,4,4,3,2,2,2,3,3,2,1,2,1,3,2,4,1,1,1,3,3,2,2,2,1,3,1,3,1,2,115,13,1,3,2,2,2,1,2,4,2,1,2,2,2,2,2,2,6,1,1,2,1,2,2,2,1,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,10,5,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,115,13,1,2,2,2,2,2,1,12,50,5
1,115,14,1,4,5,7,3,5,2,7,8,2,4,18,1,1,18,4,2,1,2,1,1,2,1,2,1,2,2,3,2,1,1,2,2,3,2,1,3,2,3,3,4,4,2,2,1,3,2,2,11,2,1,1,2,4,2,3,3,3,3,3,3,1,2,115,14,1,2,3,3,1,1,1,4,5,1,2,2,2,2,2,2,2,1,1,3,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,5,4,1,6,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,14,1,2,2,2,2,2,1,12,93,4
1,115,15,1,3,5,7,3,4,2,7,9,2,5,12,1,1,12,3,2,3,1,3,3,1,4,2,2,3,2,1,3,3,1,2,3,3,5,4,1,1,4,4,1,4,2,3,2,1,2,3,4,3,1,1,0,1,6,2,3,3,2,0,3,1,2,115,15,1,2,2,2,1,2,2,4,5,2,2,2,1,2,2,2,4,3,0,3,3,3,3,0,2,2,3,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,7,5,1,4,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,15,1,2,2,2,2,3,1,14,31,4
1,115,16,1,3,5,7,3,5,2,7,6,2,5,17,1,1,3,4,2,1,2,1,2,2,1,2,2,1,1,1,4,4,1,1,3,2,3,2,2,3,4,2,2,3,2,3,2,1,2,3,3,3,2,1,1,3,6,2,3,3,2,3,3,1,2,115,16,1,3,1,2,1,1,1,4,5,2,2,2,2,2,1,2,4,1,2,2,1,2,1,2,1,6,3,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,9,6,1,4,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,16,1,2,2,2,2,2,1,12,94,4
1,115,17,1,4,6,7,3,5,2,7,8,2,4,17,1,1,16,4,2,1,2,2,2,3,2,2,2,2,1,1,3,1,1,2,4,1,4,2,1,2,4,3,4,2,2,3,1,3,3,3,5,2,2,1,3,1,2,2,2,3,1,1,3,1,2,115,17,1,3,3,3,1,2,0,4,5,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,5,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,17,1,2,2,2,2,2,1,14,19,4
1,115,18,1,4,6,7,4,3,2,11,8,2,5,20,1,1,20,2,1,2,1,3,3,1,3,2,2,2,2,4,4,2,1,2,2,1,4,4,2,0,4,1,4,3,2,3,0,1,2,2,5,3,3,1,0,3,2,2,2,3,0,0,1,1,2,115,18,1,2,3,1,1,1,1,4,5,2,2,2,1,2,2,2,4,1,0,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,8,5,1,4,1,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,18,1,2,2,2,2,2,1,13,112,5
1,115,19,1,3,7,7,2,5,2,8,8,4,5,18,1,1,18,3,2,1,2,2,2,1,4,2,2,1,2,1,4,1,1,2,2,1,4,3,1,1,4,1,3,2,2,1,1,3,3,3,7,2,0,1,3,1,2,2,2,3,2,1,3,1,2,115,19,1,2,3,1,1,1,2,4,5,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,7,3,1,5,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,19,1,2,2,2,2,2,1,4,15,1
1,115,20,1,4,5,6,2,3,1,9,9,3,7,31,1,1,30,4,2,2,1,2,2,2,1,2,2,1,1,1,3,3,1,1,4,1,3,1,1,2,2,4,4,3,1,1,1,3,2,3,5,3,1,1,4,5,1,2,2,2,1,1,1,3,2,115,20,1,3,2,1,1,4,4,3,5,2,2,1,2,2,2,2,4,2,2,2,2,2,2,1,2,3,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,20,1,2,2,2,2,1,1,13,8,5
1,115,21,1,6,6,6,7,4,1,8,8,3,0,48,1,1,30,9,1,1,2,1,1,2,3,2,1,1,3,1,1,1,1,1,2,1,4,2,1,2,3,3,2,3,2,1,1,3,4,3,7,3,1,1,1,1,3,1,2,1,2,3,2,3,2,115,21,1,2,3,3,1,1,0,4,5,1,2,2,2,2,2,2,4,1,2,2,2,2,2,1,4,1,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,5,1,1,1,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,115,21,1,2,2,2,2,2,1,11,58,1
1,115,22,1,1,6,6,2,3,1,7,8,2,4,12,1,1,12,4,2,1,2,2,2,2,2,2,1,1,2,1,3,2,2,2,3,3,2,1,4,2,2,4,3,4,2,2,1,3,3,3,3,2,2,1,3,3,1,2,2,3,1,3,2,2,2,115,22,1,2,3,1,2,0,4,2,5,2,2,2,1,2,2,2,3,1,1,1,1,1,1,2,3,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,7,6,2,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,22,1,2,2,2,2,3,1,14,23,4
1,115,23,1,1,3,6,3,4,1,7,11,2,2,1,1,1,1,3,2,2,1,2,2,3,4,2,2,2,2,1,3,3,2,2,3,1,4,4,1,2,4,3,2,2,2,3,1,3,2,2,4,3,2,1,3,4,1,1,2,3,3,3,3,1,2,115,23,1,2,1,1,2,1,1,4,5,2,2,2,1,2,2,2,3,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,7,6,1,11,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,115,23,1,2,2,2,2,2,1,8,42,4
1,115,24,1,5,3,6,5,4,1,8,8,4,6,11,1,1,11,3,2,1,2,2,2,3,2,2,2,2,2,1,2,1,1,2,4,2,4,1,1,4,4,2,3,4,2,3,1,3,4,3,5,3,3,1,4,5,2,3,2,3,3,3,3,3,2,115,24,1,3,3,3,1,1,1,5,5,2,2,2,1,2,2,2,3,1,2,2,2,2,1,3,1,1,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,5,4,1,1,1,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,24,1,2,2,2,2,4,1,11,131,1
1,115,25,1,2,3,6,3,2,1,8,8,2,3,4,1,1,1,2,2,1,3,2,2,2,2,2,1,2,2,1,4,3,7,1,3,1,4,3,1,4,4,2,2,4,2,2,2,2,3,3,4,3,3,1,4,3,2,2,2,3,2,3,3,1,2,115,25,1,3,2,1,2,1,1,4,5,1,2,2,2,2,2,2,4,1,1,2,2,2,2,1,2,1,3,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,10,3,1,1,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,25,1,2,2,2,2,4,1,11,149,1
1,115,26,1,3,3,6,4,1,1,8,8,4,5,18,1,1,16,4,2,2,1,2,2,2,2,1,1,2,2,1,3,3,1,2,3,3,4,4,2,2,4,2,3,2,1,2,1,3,3,2,5,3,3,1,4,3,1,2,2,3,3,3,3,1,2,115,26,1,4,2,1,1,1,1,4,5,1,2,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,4,5,2,3,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,26,1,2,2,2,2,3,1,11,86,1
1,115,27,1,3,3,6,3,1,1,3,11,4,3,3,1,1,3,3,2,1,1,2,1,2,3,1,2,2,2,1,3,2,1,1,2,1,4,3,2,3,3,3,3,4,2,2,1,3,2,3,3,3,2,1,4,4,3,2,2,1,1,1,3,1,2,115,27,1,3,3,3,1,1,1,2,5,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,7,4,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,115,27,1,2,2,2,2,2,1,13,50,5
1,115,28,1,1,3,6,1,4,1,6,11,4,6,23,1,1,5,3,1,2,1,3,2,2,3,2,2,2,1,1,1,1,1,2,4,2,2,3,2,2,3,3,2,2,2,1,1,3,2,2,3,2,3,1,2,3,1,1,2,3,3,1,3,1,2,115,28,1,2,2,1,3,1,1,2,4,2,2,1,2,2,2,2,4,1,1,1,1,2,1,2,2,2,4,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,6,7,1,4,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,28,1,2,2,2,2,2,1,15,32,2
1,115,29,1,3,4,6,5,3,1,8,8,4,6,23,1,1,6,3,2,2,1,1,1,1,4,1,1,2,1,3,4,4,1,2,4,1,5,3,1,1,3,4,2,4,2,3,1,3,3,3,4,3,3,1,3,3,2,1,2,3,3,1,3,1,2,115,29,1,2,2,1,1,1,1,4,5,1,2,2,2,2,2,2,4,1,1,2,1,2,1,2,2,2,3,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,4,3,1,5,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,29,1,2,2,2,2,2,1,11,97,1
1,115,30,1,7,4,6,2,3,1,8,8,3,0,39,1,1,1,3,1,1,2,2,2,2,1,2,1,2,3,1,4,2,1,2,4,1,3,1,3,4,4,3,3,4,2,1,1,3,2,3,5,2,2,1,4,2,2,1,0,3,3,3,3,2,2,115,30,1,2,2,1,1,1,1,4,5,2,2,2,1,2,2,2,3,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,1,6,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,30,1,2,2,2,2,3,1,4,2,1
1,115,31,1,3,4,6,3,4,1,8,8,4,3,3,1,1,3,4,2,1,1,1,2,2,1,1,1,2,2,1,3,2,1,1,2,1,2,1,2,2,5,4,2,3,1,4,1,3,3,2,4,3,2,1,3,2,1,2,1,3,3,3,1,1,2,115,31,1,2,1,1,1,1,1,4,5,2,2,2,2,2,2,1,4,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,10,4,1,11,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,115,31,1,2,2,2,2,3,1,4,41,1
1,115,32,1,4,4,6,7,4,1,3,8,5,8,20,1,1,20,3,2,1,1,2,2,3,2,1,1,1,1,1,4,3,1,2,3,2,4,1,3,2,3,1,2,3,2,1,1,3,3,3,6,3,1,1,1,3,1,1,2,3,3,3,3,2,2,115,32,1,2,2,1,1,1,1,4,5,2,2,2,1,2,2,2,4,1,2,1,1,2,2,1,2,3,4,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,5,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,115,32,1,2,2,2,2,2,1,6,19,5
1,115,33,1,3,4,6,3,1,1,9,8,2,3,11,1,1,11,3,2,1,1,2,2,2,1,2,2,2,2,1,2,1,9,2,4,2,1,1,3,2,3,3,2,2,2,1,1,3,3,3,5,3,1,1,2,5,2,1,2,3,3,3,3,3,2,115,33,1,3,2,1,2,1,1,4,5,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,1,3,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,4,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,115,33,1,2,2,2,2,2,1,6,5,5
1,115,34,1,2,4,6,6,5,1,6,6,4,4,14,1,1,14,9,2,1,3,2,2,2,2,2,2,2,1,1,2,1,10,1,1,2,4,1,2,4,2,3,4,3,2,1,2,2,3,3,4,3,1,1,2,2,2,2,3,3,3,2,4,1,2,115,34,1,3,2,1,1,1,1,4,5,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,4,3,4,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,4,1,9,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,34,1,2,2,2,2,2,1,14,40,3
1,115,35,1,2,4,6,2,5,1,9,7,3,5,22,1,1,22,2,2,2,1,2,3,1,3,3,3,3,3,1,4,3,1,2,4,2,4,3,2,2,4,2,4,3,2,3,1,3,3,2,5,2,1,1,2,3,1,3,3,1,3,3,3,3,2,115,35,1,3,1,1,3,2,1,4,5,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,3,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,3,3,2,1,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,35,1,2,2,2,2,4,1,11,153,2
1,115,36,1,1,4,6,3,1,1,6,8,2,4,9,1,1,1,4,1,2,1,2,2,1,3,2,2,2,3,1,3,6,10,2,3,2,4,2,1,2,4,1,2,4,2,2,1,3,2,3,4,3,1,1,2,4,1,2,2,1,3,1,3,2,2,115,36,1,3,2,1,3,1,1,4,5,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,4,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,7,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,36,1,2,2,2,2,4,1,10,129,2
1,115,37,1,4,5,6,3,5,1,8,8,4,6,23,1,1,7,3,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1,2,4,2,4,1,2,1,4,3,4,4,2,3,1,3,3,3,5,3,1,1,2,2,2,2,2,3,3,3,3,2,2,115,37,1,3,3,3,1,1,1,4,5,1,2,2,2,2,2,2,4,1,1,2,2,2,2,1,2,4,4,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,5,4,2,5,2,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,37,1,2,2,2,2,3,1,11,106,1
1,115,38,1,3,5,6,6,2,1,8,8,3,8,26,1,1,8,3,2,1,2,2,2,2,1,2,1,2,1,1,4,6,1,2,4,2,4,1,4,1,4,1,4,4,2,3,1,3,2,3,4,2,5,1,2,3,2,1,2,3,2,3,3,1,2,115,38,1,2,3,3,1,1,1,4,5,1,2,2,2,2,2,2,6,1,1,2,1,1,1,1,1,4,4,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,6,3,1,4,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,38,1,2,2,2,2,5,1,11,55,1
1,115,39,1,4,5,6,3,2,1,8,8,3,8,29,1,1,23,4,2,1,2,2,2,2,2,2,2,1,1,1,3,2,1,2,4,2,2,4,3,1,3,3,3,4,2,1,2,1,3,3,3,2,1,1,2,3,3,2,3,1,3,1,2,1,2,115,39,1,4,2,1,1,1,1,4,5,2,2,2,1,2,2,2,3,1,1,2,1,2,2,1,1,2,4,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,4,4,1,5,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,115,39,1,2,2,2,2,3,1,11,56,1
1,115,40,1,5,5,6,2,2,1,8,8,3,8,32,1,1,5,3,1,1,1,1,1,2,1,1,3,2,1,1,3,5,7,2,3,1,4,2,2,4,5,3,2,4,2,1,1,3,3,3,5,3,3,2,4,2,2,1,3,2,2,3,2,3,2,115,40,1,2,2,1,1,1,1,4,5,2,2,2,1,2,2,2,3,1,1,2,1,2,1,3,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,3,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,115,40,1,2,2,2,2,4,1,10,138,1
