CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7B.,Q.7C.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.0.,Q.29B.,Q.29C.,Q.29D.,Q.29E.,Q.29F.,Q.29G.,Q.30A.,Q.30B.,Q.31.,Q.32A.,Q.32B.,Q.32C.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.37.,Q.38.,Q.39.,Q.41.,Q.42.,Q.42..1,Q.43A.,Q.43B.,Q.43C.,Q.44.,Q.45A.,Q.45B.,Q.46A.,Q.46B.,Q.48.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.49A.,Q.49B.,Q.49C.,Q.49D.,Q.49E.,Q.49F.,Q.49G.,Q.49H.,Q.50A.,Q.50B.,Q.50C.,Q.53A.,Q.53B.,Q.53C.,Q.54.,Q.55A.,Q.55B.,V.57.,V.58.
1,100,37,3,4,3,3,3,1,3,45,25,4,2,2,2,2,1,2,4,3,2,3,2,8,2,2,3,0,4,3,3,1,1,2,0,1,2,2,3,1,1,2,3,1,1,2,4,3,1,2,3,2,3,1,4,1,3,0,0,0,0,0,0,2,2,1,2,100,37,3,2,3,1,1,3,2,3,1,3,0,2,2,2,2,2,1,2,9,35
1,100,38,3,5,3,3,4,1,5,50,12,2,1,1,2,1,1,2,3,2,1,1,1,0,2,2,3,6,2,3,2,1,1,3,0,1,1,1,2,0,1,1,2,2,1,4,2,3,2,1,7,2,3,1,4,1,2,3,1,2,3,1,3,2,2,3,2,100,38,3,1,2,2,1,2,1,3,3,2,1,1,1,1,1,2,1,2,2,48
1,100,39,3,5,1,5,3,1,1,65,21,2,3,1,2,1,1,2,4,2,2,2,3,0,3,2,3,3,3,3,2,1,1,2,0,2,1,2,3,1,2,3,1,3,1,3,4,3,2,2,1,2,4,2,4,10,2,3,1,2,4,2,4,2,2,0,2,100,39,3,2,3,1,1,3,2,2,3,2,2,2,2,2,2,2,0,2,3,27
1,100,40,3,5,1,3,4,1,2,50,21,2,2,1,2,2,3,3,4,3,3,3,1,8,2,2,3,2,2,3,2,1,2,5,0,2,1,1,2,1,1,2,3,1,1,0,4,1,4,1,1,3,1,1,4,2,3,3,1,3,3,1,2,2,2,3,2,100,40,3,2,3,1,1,3,2,3,2,4,2,2,1,1,1,2,2,1,4,34
1,100,41,3,5,1,3,3,1,1,80,20,2,2,1,1,1,1,2,3,2,2,2,3,8,2,1,3,3,2,3,3,1,1,2,0,1,1,4,4,1,5,2,2,1,1,2,4,2,2,2,1,3,4,2,4,12,2,3,1,2,3,1,3,2,1,3,2,100,41,3,1,2,1,2,2,1,3,3,4,2,2,1,2,2,2,1,2,6,43
1,100,42,3,5,1,5,3,1,4,999,15,2,1,1,2,1,1,3,3,1,2,1,4,0,2,2,3,4,4,3,2,1,1,2,0,5,1,2,2,3,1,2,2,1,0,4,2,0,2,1,0,2,2,1,4,1,2,4,1,2,2,3,3,2,2,1,2,100,42,3,1,2,2,1,2,1,3,3,5,1,1,1,3,3,2,1,2,7,47
1,100,43,3,4,1,3,3,1,1,75,30,4,3,2,2,2,3,2,3,2,3,2,3,0,2,2,4,3,4,3,3,1,1,5,0,3,3,3,3,1,5,2,2,1,1,3,4,3,2,2,1,2,2,1,4,7,2,3,1,1,4,1,4,2,2,3,2,100,43,3,2,3,1,1,3,1,2,3,5,2,2,3,2,0,2,2,2,11,42
1,100,44,3,0,0,0,0,0,0,40,14,3,3,1,3,4,1,4,4,2,4,3,3,0,2,0,4,5,3,3,3,1,1,2,0,3,2,2,5,0,0,0,0,0,1,4,4,2,3,2,0,2,2,2,4,10,2,3,1,2,3,1,3,1,1,3,2,100,44,3,2,3,2,1,2,2,2,2,3,2,0,3,2,3,2,0,0,3,35
1,100,45,3,4,1,3,4,1,4,65,10,3,3,2,3,1,2,1,3,3,4,3,2,0,2,2,4,6,3,3,3,1,1,2,0,3,1,2,5,1,2,1,2,1,1,0,4,3,1,1,1,3,4,1,4,1,2,3,1,1,4,1,5,2,1,2,2,100,45,3,1,2,1,1,3,3,3,2,2,2,2,2,2,1,2,1,1,1,49
1,100,46,3,4,3,4,3,1,5,60,14,1,2,1,1,1,1,2,2,1,2,2,1,8,2,2,7,2,4,2,3,1,1,2,0,1,1,1,1,1,1,1,2,1,8,4,1,2,2,1,1,1,2,1,4,1,2,3,1,2,2,2,3,2,1,3,2,100,46,3,2,2,2,1,2,1,2,2,4,2,2,1,1,1,2,2,2,7,35
1,100,47,3,4,1,3,3,1,3,999,14,3,3,3,4,4,2,1,4,3,4,3,3,1,3,3,4,3,3,3,3,1,3,1,0,5,5,5,5,3,5,3,3,3,1,1,3,3,3,2,0,2,4,1,4,4,3,2,1,3,4,3,5,2,2,4,2,100,47,3,1,3,1,1,1,3,1,2,4,4,4,2,2,2,2,2,1,9,42
1,100,48,3,5,2,3,4,1,3,71,12,4,3,1,2,1,2,2,3,3,4,2,3,0,2,1,8,3,3,2,3,1,3,2,0,2,1,5,3,1,1,1,2,3,1,2,0,3,3,2,1,3,2,2,3,8,3,1,1,2,4,1,4,2,2,1,2,100,48,3,2,3,1,1,1,2,3,3,4,2,2,3,2,3,2,1,1,5,44
1,100,49,3,4,1,5,3,1,3,50,20,2,2,1,1,1,3,2,4,3,4,3,3,1,2,1,0,6,2,2,2,1,3,0,0,5,1,5,4,1,1,3,1,1,1,3,4,3,1,1,3,0,2,2,4,3,4,3,2,4,4,2,3,2,1,0,2,100,49,3,2,3,2,1,3,2,2,3,4,2,2,1,2,3,2,1,1,11,43
1,100,50,3,0,0,0,0,0,0,45,3,4,3,1,2,0,0,0,0,0,3,2,2,8,3,1,4,3,3,2,2,3,3,5,0,2,2,2,1,1,1,2,2,2,1,2,5,0,2,1,1,2,3,0,4,10,1,4,1,1,1,1,3,1,2,2,2,100,50,3,0,0,3,1,0,0,0,0,4,2,2,1,2,3,2,1,1,4,23
1,100,51,3,4,1,2,5,1,5,55,21,2,3,1,2,2,3,2,4,2,3,2,3,1,2,3,8,3,3,3,3,1,3,0,0,3,3,4,4,1,3,3,1,3,1,2,3,3,3,2,1,3,2,1,4,1,3,2,1,2,4,3,3,2,2,2,2,100,51,3,2,3,1,1,3,1,3,2,5,2,2,2,2,2,2,2,2,10,32
1,100,52,3,5,1,4,3,1,1,40,14,3,3,1,3,3,1,4,4,2,4,3,3,0,2,2,4,4,3,3,3,3,3,2,0,5,2,5,5,1,5,2,2,1,1,2,3,3,4,2,0,3,4,2,4,9,1,4,1,3,4,1,5,2,2,4,2,100,52,3,1,3,1,1,3,1,3,3,4,2,2,3,2,2,2,1,2,3,36
1,100,53,3,5,2,5,3,1,2,71,27,2,2,1,3,2,1,2,3,2,4,2,1,1,2,2,8,3,2,3,2,1,1,5,0,3,2,2,2,2,2,2,2,1,1,2,5,2,3,1,3,1,4,1,4,5,2,3,1,2,4,1,4,2,1,3,2,100,53,3,1,2,1,1,3,1,3,2,3,3,3,1,1,1,2,1,2,4,20
