CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.30E.,Q.30F.,Q.30G.,Q.30H.,Q.30I.,Q.30J.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.42B.,Q.42C.,Q.42D.,Q.42E.,Q.42F.,Q.42G.,Q.42H.,Q.42I.,Q.42J.,Q.42K.,Q.42L.,Q.44.,Q.45.,Q.46.,V.48.,V.49.,V.50.
1,175,16,3,10,4,7,2,2,1,1,4,4,1,2,1,1,2,3,2,3,3,3,3,2,2,3,4,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,3,1,1,3,4,1,3,4,4,2,4,2,3,2,4,4,5,5,3,2,3,34
1,175,17,3,7,5,7,1,2,1,4,5,3,1,1,1,1,4,2,1,2,3,1,3,2,2,4,5,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,5,1,2,3,4,1,4,4,4,4,4,4,1,1,4,4,1,2,2,0,6,42
1,175,18,2,11,4,7,1,1,1,1,1,3,1,2,1,1,2,3,2,2,2,1,3,2,3,3,5,3,1,1,1,1,1,1,1,1,1,1,4,1,2,1,3,3,0,0,1,3,4,2,2,4,4,4,3,2,2,2,4,4,1,2,2,0,6,35
1,175,19,3,10,4,7,1,2,1,4,5,3,1,1,2,1,2,3,2,3,3,3,3,2,3,4,4,3,1,1,1,1,1,2,1,1,2,2,3,1,4,1,3,1,6,0,2,3,4,2,3,4,4,2,3,2,2,2,4,4,2,4,3,0,6,64
1,175,20,4,11,4,7,2,1,1,3,4,3,1,2,1,1,1,2,1,3,3,1,3,1,1,2,4,3,1,1,1,1,1,1,2,1,2,1,3,1,3,1,3,1,3,2,1,3,4,3,4,4,4,3,2,2,2,2,4,4,2,2,1,0,6,88
1,175,21,1,7,2,4,1,4,1,4,4,2,4,2,2,1,1,2,3,3,3,1,3,1,3,2,5,3,2,1,2,1,2,2,2,2,1,2,3,1,4,1,5,1,1,3,3,3,3,2,3,3,4,2,2,2,2,2,3,3,5,5,5,2,2,104
1,175,22,3,10,5,7,2,4,1,2,4,4,4,1,1,1,4,2,2,2,2,1,3,1,3,3,5,3,1,1,1,1,1,1,1,1,1,2,3,2,2,1,5,1,6,3,1,2,2,1,2,3,4,1,3,1,1,2,3,3,2,4,3,2,3,9
1,175,23,1,5,5,5,1,2,1,3,4,1,4,2,2,2,2,3,2,2,2,1,3,2,3,2,5,3,2,1,1,1,2,2,1,1,1,2,3,1,3,2,5,1,2,2,1,1,4,1,4,2,3,2,4,2,2,3,4,4,2,5,3,2,3,7
1,175,24,4,11,5,4,1,1,1,3,5,4,4,4,2,1,2,3,2,2,2,1,3,1,1,2,3,3,1,1,1,2,1,1,1,1,1,1,2,2,5,2,4,2,7,4,1,3,4,1,3,4,4,4,4,1,3,4,4,4,2,2,2,0,8,32
1,175,25,3,11,3,7,1,3,1,3,1,4,1,2,1,1,2,2,2,2,2,1,3,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,7,4,3,3,4,1,4,3,4,1,2,1,1,1,4,4,5,5,5,0,7,5
1,175,26,1,5,3,5,1,3,1,3,3,4,1,2,1,1,4,2,3,1,3,1,3,1,2,3,4,3,1,1,1,3,2,1,1,2,1,2,1,1,3,2,2,2,7,4,1,3,1,2,0,3,4,2,4,1,1,1,3,4,2,2,2,0,7,80
1,175,27,3,9,3,4,1,2,1,2,4,4,1,4,1,1,1,2,3,3,3,1,3,2,2,3,4,3,1,2,1,1,2,1,1,2,1,2,2,2,3,2,3,1,5,2,2,2,3,1,2,3,3,2,4,2,2,3,4,4,2,5,2,0,7,18
1,175,28,4,10,4,9,1,1,1,3,2,3,1,2,1,1,2,5,2,2,2,1,3,2,3,3,5,3,1,1,1,1,2,1,2,2,1,1,3,1,2,1,3,1,2,2,1,3,3,2,3,3,3,2,1,1,2,2,3,3,2,2,2,0,6,75
1,175,29,4,9,4,2,1,4,1,1,5,4,1,1,1,2,2,1,2,3,3,3,3,2,3,4,5,3,1,1,2,1,1,0,1,1,2,2,3,1,4,1,2,1,2,1,2,2,3,1,0,0,4,1,4,1,1,1,3,2,3,3,3,0,6,87
1,175,30,2,10,2,7,1,2,1,1,3,2,1,0,1,1,2,3,2,2,2,1,3,2,2,3,4,3,2,2,2,2,2,1,1,1,2,1,3,1,3,1,3,2,7,4,1,3,4,1,3,2,4,2,3,1,2,3,4,4,3,3,4,0,6,36
1,175,31,3,9,5,4,1,1,1,2,1,4,1,2,1,2,2,2,2,2,2,1,3,1,1,2,3,3,2,1,3,1,1,3,2,1,2,2,3,2,3,2,3,2,7,4,1,3,4,2,3,3,4,2,2,2,1,2,3,4,2,3,1,0,8,8
1,175,32,2,6,3,7,1,4,1,3,5,3,2,1,1,1,1,1,1,3,3,1,3,2,2,2,3,3,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,4,2,3,3,3,1,2,4,4,1,4,1,2,2,4,4,0,5,4,0,6,38
1,175,33,4,9,3,7,1,4,1,1,4,2,3,2,1,1,1,1,2,2,2,1,3,1,1,3,4,3,1,1,1,1,1,1,1,1,1,1,3,1,2,2,3,1,4,1,2,2,3,1,4,2,4,2,4,1,2,2,4,4,2,3,3,2,3,61
1,175,34,2,9,3,6,1,4,1,2,4,1,3,1,1,1,1,2,2,2,2,1,3,1,3,4,5,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,1,5,1,1,3,3,1,3,2,4,0,0,1,1,1,4,3,1,2,2,2,3,59
1,175,35,1,11,3,7,1,1,1,4,4,4,2,4,1,1,2,4,2,2,2,3,4,2,1,2,4,3,3,3,3,3,3,3,3,3,3,3,4,1,4,1,3,3,6,0,1,3,4,4,4,4,4,1,4,1,4,4,4,4,1,4,2,2,1,49
1,175,36,4,7,5,3,0,0,1,4,4,3,2,3,1,1,1,1,2,2,3,1,4,2,3,3,4,3,1,1,2,1,2,3,1,2,3,1,3,2,2,2,2,2,7,4,1,1,4,2,4,4,4,2,4,1,2,4,4,4,2,2,3,1,4,48
1,175,37,1,10,4,5,1,3,1,3,3,4,2,3,2,2,4,5,2,2,2,3,4,4,3,3,5,3,1,2,3,2,2,3,1,1,1,1,1,2,5,1,4,2,7,4,2,3,4,4,4,4,4,4,4,2,2,3,3,4,2,5,4,1,4,38
1,175,38,0,10,4,7,0,4,1,3,0,3,2,2,1,1,2,5,3,3,3,3,4,2,3,2,4,3,1,1,3,1,3,3,1,1,1,1,3,1,4,1,3,1,3,1,2,3,4,1,4,4,4,4,4,1,1,3,4,4,1,2,3,0,5,56
1,175,39,3,10,4,7,1,2,1,4,5,4,2,1,1,1,2,1,2,2,2,1,4,2,3,1,3,3,3,1,2,1,3,2,1,1,3,3,2,1,3,2,2,1,2,1,1,3,4,1,4,4,4,4,4,3,4,2,4,4,1,3,2,0,5,28
1,175,40,1,5,4,6,1,3,1,3,4,2,2,2,2,2,2,3,2,2,2,1,4,2,1,4,5,3,1,1,1,1,3,1,2,2,1,2,1,2,5,2,4,2,7,4,2,2,1,1,4,2,4,3,4,1,1,2,2,4,1,4,2,0,7,2
1,175,41,2,7,4,7,1,1,1,3,5,3,3,1,2,1,1,1,2,2,2,1,4,2,2,4,4,3,1,1,1,1,2,3,1,2,1,3,2,1,3,1,2,1,5,1,1,0,4,1,4,4,4,1,4,1,1,2,4,4,2,2,3,0,5,12
1,175,42,2,5,4,4,1,2,1,1,4,2,3,1,1,1,2,3,2,2,2,1,4,2,1,2,5,3,2,2,2,1,1,1,2,2,2,1,3,1,3,1,3,1,5,2,2,2,2,1,3,2,4,1,4,1,2,2,4,3,2,2,2,0,5,67
1,175,43,3,3,2,1,1,4,1,5,5,3,3,2,4,1,1,1,1,1,2,2,4,2,2,4,4,3,1,1,1,1,2,2,2,2,2,1,4,1,1,1,2,1,6,3,1,3,4,1,4,4,4,4,4,4,4,4,4,4,1,1,1,0,5,75
1,175,44,1,11,3,5,1,1,1,1,4,1,3,1,1,1,1,1,2,1,1,1,4,4,3,4,5,3,1,1,1,1,1,0,1,1,1,0,3,1,1,1,3,1,5,2,1,3,1,1,0,0,1,1,0,1,1,1,0,0,3,2,4,0,5,14
1,175,45,3,7,5,5,1,4,1,1,0,3,3,1,1,1,2,5,2,3,3,1,4,3,0,4,4,3,1,1,1,1,2,3,1,2,1,2,4,2,5,2,4,2,7,4,2,0,3,1,4,4,4,1,2,1,1,1,2,4,3,4,3,0,7,78
1,175,46,1,6,3,8,1,4,1,2,2,3,3,1,1,1,1,1,2,1,2,1,4,2,2,3,4,3,2,2,1,3,1,2,2,2,1,2,3,2,3,2,3,3,6,0,1,2,4,3,4,4,4,2,4,1,1,1,4,4,4,3,5,0,7,77
1,175,47,3,3,4,6,1,3,1,3,5,3,4,3,1,1,2,2,2,2,2,1,4,4,2,2,3,3,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,7,4,1,3,4,2,4,4,4,2,4,2,2,3,4,4,1,2,2,1,4,42
1,175,48,4,7,4,3,1,3,1,2,4,2,4,4,1,1,2,1,1,1,3,1,4,2,2,2,4,3,1,1,1,1,2,2,1,1,2,2,3,1,2,2,3,1,5,1,1,1,3,2,2,4,4,1,2,1,1,2,1,1,2,2,3,1,4,49
1,175,49,3,8,4,7,1,2,1,5,4,3,1,3,1,1,3,3,0,2,2,1,4,2,1,4,5,3,1,1,1,3,3,3,2,2,2,2,3,1,3,2,5,1,5,1,2,0,4,3,4,4,4,1,4,1,3,3,4,4,2,3,2,2,2,11
1,175,50,3,5,4,7,2,1,1,4,4,4,1,1,3,1,2,2,2,2,2,1,4,4,1,2,5,3,1,1,1,1,3,3,3,3,1,3,3,1,3,2,3,1,4,2,1,3,3,4,4,3,4,2,4,1,1,2,4,4,3,4,1,2,3,8
1,175,51,2,6,4,5,1,4,1,4,4,1,1,1,1,1,2,2,2,3,3,1,4,2,3,2,4,3,2,1,1,1,3,3,2,1,2,1,2,1,4,1,3,1,2,2,1,2,3,2,3,2,4,3,4,1,1,2,4,3,2,3,2,2,3,32
1,175,52,1,5,4,5,1,3,1,2,4,4,1,2,1,1,2,5,2,2,2,1,4,2,3,4,5,3,2,1,1,3,1,1,2,2,1,3,4,1,4,2,5,2,7,4,1,3,3,1,4,4,3,1,4,1,1,4,4,4,2,3,2,2,3,66
1,175,53,1,10,4,6,1,1,1,1,4,2,1,3,2,1,1,2,2,2,2,1,4,1,3,3,4,3,1,2,3,1,1,1,1,1,3,3,3,2,4,1,2,1,1,1,1,2,4,3,4,2,4,1,3,1,1,3,2,4,4,4,3,2,3,49
1,175,54,1,6,3,6,1,4,1,5,5,3,1,3,3,4,1,4,3,3,3,3,4,4,3,4,5,3,1,1,1,1,1,3,1,1,1,3,1,2,4,1,4,3,6,2,3,3,3,1,4,3,4,2,4,1,2,3,4,4,5,4,5,2,3,27
1,175,55,2,5,2,9,1,2,1,2,4,4,4,1,1,4,2,5,3,3,3,3,4,3,3,3,3,3,1,1,2,1,1,1,1,1,2,1,3,1,1,1,1,3,2,1,2,2,2,1,3,3,4,1,1,1,1,1,1,3,1,5,2,2,2,21
1,175,56,2,11,2,4,1,3,1,2,4,4,4,1,1,1,2,3,2,2,2,1,4,2,3,3,5,3,1,1,1,1,1,1,1,1,1,1,3,1,4,2,3,1,5,1,1,3,4,1,4,4,4,4,4,1,1,1,4,4,5,5,2,2,2,87
1,175,57,3,7,3,7,1,3,1,3,4,3,4,2,1,2,2,3,2,2,2,1,4,4,3,3,5,3,3,3,3,3,3,3,3,3,3,3,4,1,3,1,3,3,6,3,1,3,4,1,4,4,4,4,4,1,2,3,4,4,1,5,2,2,2,49
1,175,58,1,9,3,9,1,1,1,1,3,1,4,1,1,1,2,3,2,2,2,1,4,2,3,3,5,3,1,1,1,1,1,3,1,1,0,1,2,1,4,1,1,1,4,1,1,2,4,1,4,1,4,1,1,1,1,1,1,4,3,2,3,2,2,102
1,175,59,2,8,3,5,1,1,1,4,5,2,4,2,2,1,1,1,3,3,3,3,4,4,1,3,0,3,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,2,7,4,1,1,3,1,4,3,4,2,1,1,1,3,4,2,5,5,5,2,2,103
1,175,60,1,6,5,6,1,2,1,4,4,4,4,4,1,1,1,3,2,2,2,1,4,2,3,2,5,3,1,1,1,1,1,1,1,1,1,1,4,1,4,2,3,1,2,3,1,3,4,2,4,3,4,1,4,1,2,3,4,4,1,3,2,2,3,3
1,175,61,3,9,4,6,1,4,1,1,4,1,4,1,2,2,1,1,3,3,3,1,4,1,2,2,4,3,1,1,1,1,1,1,1,1,1,1,3,1,2,1,3,1,4,2,1,1,4,1,4,1,2,1,2,1,1,1,1,1,1,2,2,2,3,24
1,175,62,3,9,3,7,1,2,1,1,5,2,4,1,1,1,1,1,3,3,3,1,4,1,3,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,5,1,1,2,2,1,2,1,2,3,3,1,1,1,4,4,2,3,3,2,3,57
1,175,63,1,9,3,5,2,1,1,1,4,1,4,1,2,4,2,1,3,3,3,1,4,1,3,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,4,1,1,1,1,1,4,1,4,2,4,1,1,1,4,4,2,2,3,2,3,19
1,175,64,1,5,4,1,1,4,1,5,4,2,4,1,1,1,1,1,3,3,3,1,4,2,3,3,5,3,3,1,3,3,3,3,3,3,1,3,4,2,3,2,4,3,7,4,2,3,4,4,4,2,4,4,4,4,1,1,4,4,5,4,4,0,6,14
1,175,65,2,7,5,4,2,1,1,3,4,3,1,2,1,1,1,2,2,2,2,1,4,2,1,3,5,3,1,1,1,1,1,1,1,1,1,1,4,2,5,1,4,1,5,2,1,2,4,1,4,4,2,1,3,1,0,3,4,4,3,4,2,2,1,14
1,175,66,1,3,4,4,1,4,1,4,3,3,1,2,1,1,2,1,2,2,3,1,4,1,2,2,5,3,1,1,1,2,3,3,2,2,1,1,2,2,4,2,2,2,7,4,1,3,3,3,3,4,4,2,4,2,3,4,4,4,2,5,4,1,4,37
1,175,67,1,6,3,6,1,4,1,5,4,4,1,1,1,1,2,5,2,2,2,2,4,4,2,3,4,3,1,1,1,1,3,1,2,2,1,1,4,1,4,2,2,1,5,1,2,3,3,2,4,2,1,0,0,1,3,3,4,1,1,1,1,1,4,55
1,175,68,2,8,4,9,2,4,1,4,5,3,1,1,3,1,2,4,2,2,2,2,4,3,2,2,4,3,1,1,1,1,1,1,1,1,1,1,4,1,3,1,3,2,7,4,3,3,3,1,2,4,4,0,4,2,1,2,4,4,5,5,5,0,7,48
1,175,69,3,11,4,9,2,2,2,4,5,3,1,2,1,1,1,4,2,2,2,1,4,2,2,4,5,3,1,1,1,1,2,2,1,2,2,1,4,2,5,2,2,2,7,4,2,2,1,2,4,4,1,1,2,1,1,4,2,3,4,3,3,0,7,17
1,175,70,2,11,2,6,1,3,1,2,4,2,1,2,1,1,2,5,2,3,3,3,4,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,2,5,2,4,2,7,4,3,3,2,2,4,2,4,2,4,2,2,2,4,4,2,3,3,0,7,61
1,175,71,2,7,3,2,1,1,1,2,4,1,1,1,1,1,2,4,2,2,2,2,4,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,4,1,1,2,4,1,1,1,2,2,2,1,1,1,2,2,2,3,4,0,7,52
1,175,72,2,10,2,7,1,4,1,3,5,4,1,1,2,1,1,2,2,2,2,1,4,2,3,3,5,3,2,1,1,1,1,1,1,2,1,1,3,1,2,1,2,3,0,0,2,3,2,1,4,3,4,1,4,1,1,1,2,4,2,4,3,0,6,40
1,175,73,3,7,3,7,1,4,1,2,4,2,1,1,1,1,2,2,2,3,2,1,4,1,3,2,2,3,1,1,1,1,1,2,1,1,2,1,1,1,3,1,3,2,5,1,1,3,3,1,2,2,4,2,4,1,1,1,4,4,2,2,3,0,6,63
1,175,74,1,3,3,5,1,4,1,1,5,1,1,1,2,2,4,3,3,3,3,3,4,2,3,3,5,3,1,1,3,3,3,2,1,2,0,2,1,1,4,0,3,1,6,3,1,3,3,1,3,1,4,1,3,2,1,1,4,4,5,5,5,0,6,84
1,175,75,3,9,5,4,1,1,1,5,5,4,1,1,1,1,3,0,2,2,2,1,4,1,3,2,5,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,7,4,1,3,1,2,4,4,4,4,4,1,2,1,3,4,5,5,2,0,8,10
1,175,76,5,6,5,4,1,3,1,4,1,4,1,4,1,1,4,5,2,2,2,1,4,1,3,2,2,3,1,1,1,2,1,1,1,1,1,1,3,2,5,2,4,2,7,4,1,3,4,2,4,4,4,2,4,4,2,4,4,4,5,5,5,0,8,43
1,175,77,5,9,5,4,1,2,1,2,5,2,1,2,1,1,1,3,3,3,3,1,4,1,1,3,5,3,1,1,2,3,2,2,3,3,2,3,3,1,4,2,5,2,7,4,1,1,1,2,3,3,1,2,1,1,2,3,1,1,2,3,2,0,8,42
1,175,78,2,4,4,4,1,4,1,1,5,3,1,1,2,1,2,0,2,2,2,1,4,1,3,3,5,3,1,1,1,1,1,1,1,1,1,1,3,2,5,2,4,2,7,4,1,3,4,1,3,4,4,4,4,2,2,3,4,4,4,3,3,0,8,1
1,175,79,3,9,4,4,1,1,1,1,4,4,1,1,1,1,1,1,2,2,2,1,4,1,3,3,5,3,1,1,1,1,1,1,1,1,0,1,0,2,5,2,4,2,7,4,1,3,3,1,1,3,3,1,3,1,1,1,3,3,2,4,2,0,8,29
1,175,80,2,11,5,3,2,3,1,2,5,2,2,1,1,1,1,1,1,1,1,1,4,2,2,3,4,3,1,1,1,1,2,1,1,1,2,2,1,1,2,1,3,2,7,4,2,3,1,1,2,3,4,2,4,1,1,1,2,3,3,3,2,0,6,37
1,175,81,2,10,4,7,1,3,1,3,4,4,2,2,1,1,2,1,3,3,3,1,4,2,3,3,5,3,1,1,1,1,2,2,1,1,2,2,3,1,3,2,3,1,5,1,1,3,4,1,4,3,4,2,4,1,2,1,4,4,2,2,2,0,6,17
1,175,82,3,11,3,1,1,4,1,1,4,2,2,3,1,1,2,4,2,3,3,1,4,2,3,2,2,3,1,1,1,1,1,1,1,1,2,1,3,1,4,1,2,3,0,0,2,0,4,1,4,3,2,2,4,2,1,3,4,4,2,3,2,0,6,33
1,175,83,4,10,3,7,1,4,1,2,4,1,3,2,1,1,1,1,2,2,2,1,4,2,3,4,5,3,1,1,0,1,1,1,1,1,1,1,4,2,4,2,2,1,6,1,1,3,4,1,4,1,4,1,4,1,1,2,4,4,2,5,5,2,3,67
1,175,84,2,10,5,1,1,4,1,4,2,2,3,2,1,1,1,1,1,1,3,1,4,2,1,3,4,3,1,2,2,1,1,1,1,2,2,1,3,1,1,2,2,1,4,1,2,2,2,3,3,1,4,3,3,2,1,2,3,2,1,4,1,0,6,25
1,175,85,1,5,4,1,1,4,1,5,4,1,3,1,1,4,1,1,1,3,1,1,4,2,3,3,5,3,3,2,2,1,3,2,1,1,1,3,3,1,3,2,2,3,6,4,3,3,2,2,4,1,4,1,4,1,1,1,2,2,3,4,3,0,6,13
1,175,86,3,11,2,2,2,4,1,2,5,2,2,2,1,1,4,4,3,2,3,1,5,1,1,3,4,3,1,1,1,1,2,2,1,2,1,1,2,1,3,2,1,3,7,4,3,2,3,1,3,2,4,1,4,1,1,2,4,4,4,3,4,1,4,7
1,175,87,1,7,4,6,1,3,1,3,4,4,1,2,1,1,1,2,2,3,3,1,5,2,3,2,4,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,5,1,3,3,3,3,0,4,4,4,4,1,2,2,4,4,0,0,0,2,2,53
1,175,88,1,10,5,6,2,2,1,1,2,1,1,1,1,1,1,1,1,3,3,1,5,2,3,3,4,3,2,1,1,1,1,1,1,1,1,1,3,1,4,1,5,1,2,2,1,3,3,2,3,1,4,1,3,1,1,1,3,3,3,4,2,2,3,26
1,175,89,1,10,3,5,1,2,1,3,4,4,1,2,1,1,2,3,2,2,3,1,5,1,3,2,4,3,1,1,1,1,2,2,1,1,1,2,2,1,2,2,3,1,4,1,1,2,4,1,2,4,3,1,4,1,1,1,4,4,2,3,0,2,3,64
1,175,90,2,9,4,2,1,4,1,3,4,3,1,2,1,1,2,1,2,2,2,1,5,2,2,2,4,3,0,1,0,0,0,0,0,0,0,0,3,1,3,1,2,1,2,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,37
1,175,91,1,7,3,6,1,4,1,3,2,4,1,4,2,1,2,1,2,2,2,1,5,1,3,3,5,3,3,2,3,1,2,2,1,1,2,2,3,1,4,1,5,2,7,4,1,3,1,2,4,4,4,1,4,1,2,4,4,4,2,4,3,1,4,59
1,175,92,2,6,2,6,1,3,1,3,5,3,1,2,1,1,4,5,3,3,3,3,5,2,3,2,4,3,2,2,2,2,2,2,1,1,1,3,3,2,4,1,5,2,7,4,3,0,3,1,3,3,3,2,4,1,1,3,4,4,5,5,5,0,7,55
1,175,93,2,7,1,7,1,2,1,2,2,2,1,1,1,4,2,1,3,3,3,1,5,2,1,3,3,3,1,2,2,1,2,2,2,2,2,2,3,1,3,0,1,3,6,0,3,3,3,2,3,3,3,2,3,2,2,2,3,3,2,5,5,0,6,66
1,175,94,1,7,4,4,1,4,1,4,5,3,1,2,1,1,1,4,2,2,2,1,5,1,3,3,5,3,1,1,1,1,3,3,1,1,1,2,4,2,0,2,4,2,7,4,1,3,2,1,3,4,4,2,3,1,1,2,3,3,3,3,2,0,8,3
1,175,95,1,6,4,5,1,2,1,3,4,4,2,2,2,1,1,3,2,2,2,2,5,2,3,2,4,3,1,1,2,1,1,1,1,1,1,1,2,1,4,1,3,1,2,2,1,3,4,1,3,3,4,2,4,1,2,2,3,4,3,4,3,2,2,90
1,175,96,5,7,4,7,2,2,1,2,0,4,3,1,1,1,4,3,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,3,2,1,2,3,3,2,2,2,1,2,3,4,2,3,2,0,5,31
1,175,97,2,9,4,7,2,1,1,1,1,4,3,1,1,1,4,2,2,3,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,3,3,0,0,1,3,2,2,1,3,3,1,3,1,1,1,4,4,5,4,3,0,5,64
1,175,98,2,9,4,5,1,2,1,4,1,4,3,1,1,1,3,4,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,2,4,1,1,4,4,1,4,1,3,1,4,4,2,3,2,0,5,48
