COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99
1,203,31,1,4,4,9,6,1,2,3,1,2,1,4,4,3,2,1,4,4,1,4,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,3,1,3,4,1,1,3,3,3,4,4,3,2,1,3,2,1,3,4,3,1,1,3,2,2,2,2,2,2,,220,3003,1,1,3,4,3,3,4,2,4,2,3,4,2,3,1,3,2,2,1,20,9,61,704
1,203,32,1,2,4,5,5,1,2,1,1,1,2,3,4,2,2,3,2,3,1,3,2,3,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,3,4,1,1,3,2,2,4,2,1,1,1,2,2,3,2,2,2,2,1,1,2,2,1,2,1,1,,220,3003,2,1,3,2,3,3,3,3,2,2,2,2,2,3,1,1,2,2,5,20,9,41,700
1,203,33,1,4,4,9,6,1,2,3,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,3,3,3,3,3,1,1,2,2,2,1,2,4,2,2,1,1,6,2,2,2,2,2,,220,3003,3,1,3,4,3,3,3,2,2,2,3,2,2,3,1,1,2,2,2,20,9,68,201
1,203,34,1,3,4,9,5,1,2,3,2,2,1,2,2,2,2,2,2,3,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,3,4,3,4,3,1,1,2,2,2,3,1,2,1,2,1,2,5,2,1,2,2,2,,220,3003,4,1,3,2,3,3,3,2,1,2,2,2,1,2,1,1,6,1,1,20,9,71,702
1,203,35,1,2,4,10,6,1,3,1,1,2,2,1,3,2,2,4,3,3,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,3,2,2,3,2,1,1,2,2,2,3,2,2,4,2,1,1,2,2,3,2,2,2,,220,3003,5,1,3,4,3,3,2,2,1,2,2,4,2,3,1,3,2,2,2,20,9,31,704
1,203,36,1,2,4,7,5,1,2,3,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,4,1,1,4,3,3,4,4,1,1,3,3,1,1,1,4,3,1,1,2,5,2,3,1,2,2,,220,3003,6,1,3,4,3,3,2,2,1,5,2,2,3,1,1,1,3,3,2,20,9,21,704
1,203,37,1,2,3,4,5,2,1,3,1,2,2,4,2,2,2,2,2,2,2,4,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,4,2,4,4,5,1,4,5,4,3,4,6,1,2,3,1,4,3,1,4,4,1,2,3,2,2,3,2,2,2,,220,3003,7,1,3,4,3,3,2,2,2,2,2,2,2,2,1,3,2,2,5,20,9,11,700
1,203,38,1,3,4,9,5,1,2,1,1,2,2,5,2,2,2,3,3,3,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,3,1,1,6,1,1,1,4,3,4,1,3,2,1,3,4,3,1,3,3,1,1,3,0,1,5,4,4,5,,220,3003,8,1,3,4,3,3,5,5,5,5,5,0,0,0,4,5,6,1,1,20,9,31,701
1,203,39,1,1,4,5,6,1,1,3,1,2,2,2,3,2,2,2,2,3,3,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,4,2,2,4,3,3,3,6,1,2,3,1,2,1,2,2,1,2,2,2,2,2,1,3,2,2,,220,3003,9,1,3,2,3,1,2,2,3,3,1,1,2,3,1,3,2,5,2,21,1,12,1
1,203,40,1,2,4,9,6,1,1,2,1,1,2,1,2,2,1,3,3,3,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,3,1,1,3,1,1,2,2,4,1,2,4,2,2,2,2,1,2,1,3,2,2,,220,3004,0,1,1,3,0,1,2,3,2,1,2,2,3,1,1,3,2,2,2,21,1,82,2
1,203,41,1,3,4,10,5,1,2,3,1,2,2,2,2,2,2,1,1,3,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,5,1,1,2,4,3,1,2,1,1,4,2,4,1,2,4,3,2,2,2,3,2,3,1,2,2,,220,3004,1,1,1,3,3,3,2,3,2,2,2,2,3,3,1,3,2,2,2,21,1,72,0
1,203,42,1,2,4,10,6,1,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,4,1,3,2,3,2,3,1,1,2,2,2,3,2,1,1,2,1,1,2,2,2,1,2,2,,220,3004,2,1,2,2,3,3,2,2,2,2,3,4,4,3,1,3,3,4,2,21,1,22,1
1,203,43,1,2,4,3,6,1,2,2,1,2,2,1,2,2,2,1,4,3,3,4,3,3,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,3,3,3,1,3,3,1,2,1,4,3,2,2,1,2,1,2,3,2,4,1,3,4,,220,3004,3,1,3,1,3,3,5,5,5,5,5,0,0,0,4,1,4,4,1,21,1,42,2
1,203,44,1,1,4,3,7,1,2,4,1,2,2,0,2,2,2,1,2,3,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,4,1,2,5,1,3,3,1,1,2,3,1,2,3,2,2,5,2,2,4,4,2,1,3,2,2,,220,3004,4,1,3,2,0,3,3,2,3,2,2,2,2,2,1,2,2,2,2,21,1,62,2
1,203,45,1,1,6,5,3,1,2,1,1,1,2,1,2,2,4,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,3,1,2,1,3,3,1,2,3,1,1,2,2,2,3,2,2,1,1,1,1,3,2,1,1,2,2,,220,3004,5,1,3,2,0,3,2,4,1,2,3,2,2,3,1,2,1,2,2,21,1,32,1
1,203,46,1,1,4,9,5,1,2,4,2,1,1,1,2,2,3,3,2,1,2,1,2,3,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,1,3,1,2,1,3,4,4,1,1,2,2,2,1,1,4,3,1,1,3,4,2,2,3,2,2,,220,3004,6,1,3,4,3,3,2,2,1,1,1,1,1,1,1,1,3,4,2,21,1,72,1
1,203,47,1,2,4,10,6,1,1,3,1,2,2,2,2,2,2,1,3,3,2,1,2,3,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,4,3,2,1,3,3,3,3,3,1,1,2,2,2,3,3,4,3,1,1,3,0,3,2,2,2,2,,220,3004,7,1,3,2,3,3,2,2,1,2,2,2,3,3,1,2,2,2,2,21,1,62,0
1,203,48,1,1,4,6,7,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,3,2,1,1,2,3,3,4,3,1,1,2,2,2,3,2,4,2,2,1,1,2,2,1,3,1,1,,220,3004,8,1,3,2,0,3,1,2,1,1,4,1,2,2,1,2,2,2,2,21,1,12,2
1,203,49,1,1,4,4,5,2,2,4,1,2,3,1,3,2,3,3,4,2,1,2,2,3,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,4,3,2,4,2,4,4,3,4,3,3,3,1,1,2,2,2,1,2,3,2,1,1,2,5,2,1,2,1,2,,220,3004,9,1,3,2,4,3,2,2,4,2,2,2,1,2,1,1,2,2,2,21,1,52,0
1,203,50,1,1,4,10,6,1,1,3,2,2,1,2,3,2,3,2,4,3,2,1,1,3,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,3,2,1,1,2,3,3,4,2,1,1,2,2,4,1,2,3,1,1,1,3,6,3,2,1,2,3,,220,3005,0,1,3,4,3,3,2,2,1,2,4,4,4,4,1,2,3,2,2,21,1,32,0
1,203,51,1,1,4,5,6,1,2,1,1,1,2,3,2,2,2,1,2,3,3,1,2,2,3,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,3,4,1,1,4,4,3,4,3,1,1,2,1,4,1,2,2,1,2,1,2,3,2,2,1,2,2,,220,3005,1,1,3,4,3,3,2,2,2,2,2,2,3,1,2,3,2,2,3,21,1,22,0
1,203,52,1,2,4,5,6,1,2,3,1,2,2,3,2,3,3,4,2,3,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,3,3,1,1,4,3,2,2,3,1,1,2,1,4,3,2,2,1,1,1,1,3,3,4,4,4,4,,220,3005,2,1,3,3,3,3,1,2,2,1,1,2,4,4,1,1,2,2,1,21,1,32,0
1,203,53,1,3,4,8,5,1,3,1,1,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,3,3,1,1,4,4,3,4,1,3,2,1,1,4,3,2,4,2,1,1,2,5,2,1,3,2,2,,220,3005,3,1,3,3,3,3,2,2,2,2,2,2,2,2,1,3,2,2,2,21,1,42,1
1,203,54,1,3,4,10,6,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,3,2,1,2,2,1,1,2,1,2,3,2,2,1,2,1,1,5,2,1,1,2,2,,220,3005,4,1,3,2,3,3,2,2,2,2,2,2,2,2,1,2,1,4,1,21,1,52,0
1,203,55,1,1,4,10,5,1,1,3,1,2,2,1,2,2,2,2,2,3,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,3,3,2,5,1,1,2,3,3,4,5,1,1,3,1,4,3,2,4,5,1,2,4,5,2,3,4,3,4,,220,3005,5,1,3,4,3,3,1,2,1,5,2,1,3,3,1,4,6,1,1,21,1,22,0
1,203,56,1,1,4,3,7,1,1,2,1,1,2,1,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,3,4,1,3,2,2,3,2,3,2,4,2,1,1,1,6,2,2,1,3,3,,220,3005,6,1,3,4,3,4,4,2,1,1,2,1,2,3,1,1,3,2,1,21,1,42,1
1,203,57,1,1,4,3,6,1,1,3,1,2,2,1,2,2,2,3,3,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,4,3,4,2,1,1,2,1,2,1,1,4,1,1,1,1,5,1,5,4,4,5,,220,3005,7,1,3,4,3,3,4,4,4,4,4,4,4,4,3,4,1,1,1,21,1,72,2
1,203,58,1,1,4,5,7,1,1,2,2,2,1,2,3,2,2,1,5,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,4,3,2,1,1,3,4,3,4,6,1,1,0,2,2,3,2,4,1,2,1,2,0,4,0,5,5,0,,220,3005,8,1,4,0,4,4,5,5,5,5,5,0,0,0,4,5,0,0,5,21,1,22,1
1,203,59,1,1,4,3,4,1,0,4,1,2,1,3,2,2,2,4,4,2,4,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,4,1,1,1,1,2,2,3,1,3,3,1,3,2,3,3,4,2,1,1,2,1,3,2,1,2,2,,220,3005,9,1,2,4,3,3,2,2,2,2,2,2,2,2,4,2,3,3,2,21,1,12,2
1,203,60,1,1,4,6,4,1,2,1,1,2,2,2,2,3,2,2,2,3,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,1,3,1,4,1,2,4,3,3,3,3,1,1,1,4,3,2,4,2,2,1,3,1,3,2,2,2,2,,220,3006,0,1,3,2,3,4,2,2,1,2,2,2,3,2,1,2,1,2,1,21,1,72,1
1,203,61,1,1,4,4,5,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1,3,3,2,3,3,1,1,2,2,3,3,2,4,5,1,2,4,1,2,1,2,2,2,,220,3006,1,1,3,4,3,3,1,1,2,2,2,1,2,2,1,3,2,5,2,21,1,42,0
1,203,62,1,2,4,5,6,1,2,3,1,2,1,4,3,2,2,2,2,3,4,1,4,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,4,4,1,6,1,1,1,4,3,1,1,3,3,1,2,4,3,2,4,1,2,1,2,1,2,1,2,2,2,,220,3006,2,1,3,3,3,3,2,2,1,4,2,2,2,3,1,3,1,2,2,21,1,32,1
