COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95
1,195,118,1,2,2,6,4,1,1,2,1,2,1,2,2,2,2,1,1,3,2,2,1,3,2,2,2,4,2,5,1,4,1,2,2,2,1,2,2,3,2,4,3,3,2,2,2,1,1,3,2,3,1,3,1,2,2,2,2,2,1,3,2,2,3,2,3,4,2,4,2,2,4,1,,219,511,8,1,4,4,2,2,1,4,2,1,3,1,8,2,3,1,3
1,195,119,1,3,5,7,4,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,3,2,2,2,4,2,4,3,2,3,3,3,1,1,2,2,2,3,2,3,3,2,4,2,1,2,2,2,3,2,5,1,2,2,3,2,3,2,3,2,2,3,2,3,1,2,2,2,2,4,3,,219,511,9,1,5,4,4,2,0,4,3,2,3,2,6,2,6,5,2
1,195,120,1,3,4,7,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,5,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,2,1,2,3,5,1,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,2,4,4,,219,512,0,1,4,4,2,2,4,4,2,2,2,1,9,0,6,4,3
1,195,121,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4,1,1,1,4,1,1,,219,512,1,1,4,4,1,1,1,4,1,1,1,1,9,6,6,7,8
1,195,122,1,3,2,7,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,4,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,4,3,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,1,4,3,1,1,4,2,3,,219,512,2,1,4,4,4,3,2,4,1,2,2,2,6,2,1,4,8
1,195,123,1,2,5,4,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,4,1,1,1,1,1,2,1,2,1,2,1,2,1,3,1,3,1,4,1,2,1,4,1,2,1,3,1,1,1,2,1,1,1,1,1,3,3,4,2,4,2,2,,219,512,3,1,2,4,2,2,2,2,1,1,1,1,5,0,5,7,4
1,195,124,1,3,3,4,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,1,3,1,1,1,1,1,2,1,3,1,1,1,2,1,4,1,2,1,5,1,1,1,1,1,3,1,3,1,1,1,1,1,4,3,3,3,1,1,2,,219,512,4,1,3,5,1,1,5,5,1,1,3,1,9,5,5,7,8
1,195,125,1,3,4,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,2,1,2,1,1,1,1,1,3,1,3,1,1,1,2,1,4,1,2,1,3,1,2,1,1,1,2,1,2,1,2,1,1,1,4,4,5,5,4,4,2,,219,512,5,1,1,1,5,5,4,1,1,1,3,1,3,7,5,7,9
1,195,126,1,3,5,4,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,0,1,1,1,5,1,1,,219,512,6,1,1,1,4,1,1,1,1,1,1,1,4,8,3,6,8
1,195,127,1,3,5,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,,219,512,7,1,5,5,1,1,5,5,1,1,1,1,0,0,5,6,9
1,195,128,1,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,5,1,4,1,4,1,3,1,1,1,2,1,3,1,3,1,1,1,3,1,2,1,5,1,4,1,4,1,2,2,2,1,2,2,1,1,1,2,1,1,3,4,3,2,3,4,2,,219,512,8,1,2,3,4,3,2,2,2,1,2,1,3,0,6,7,4
1,195,129,1,3,2,6,3,2,1,1,1,3,1,2,2,2,2,1,3,3,1,1,3,4,1,2,1,5,1,3,2,4,1,3,2,1,1,3,1,3,1,3,1,4,2,4,2,3,2,3,1,3,1,5,1,3,2,2,2,3,2,4,1,2,3,1,1,2,5,3,3,3,2,4,,219,512,9,1,4,4,5,3,1,3,2,1,4,1,5,2,3,3,0
1,195,130,1,3,3,8,4,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,4,3,1,2,1,5,1,5,1,4,1,3,1,3,1,2,1,3,1,1,1,2,1,2,1,2,1,5,1,3,1,3,1,2,1,2,1,0,0,2,1,0,0,1,1,2,5,2,3,2,4,1,,219,513,0,1,3,3,4,2,1,3,2,1,1,1,5,2,1,7,3
1,195,131,1,3,3,6,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,5,1,5,1,5,1,3,1,1,1,3,1,3,1,3,1,5,1,4,1,1,2,1,1,4,1,5,1,3,2,3,2,5,1,3,2,3,2,2,1,5,2,2,2,1,4,0,,219,513,1,1,0,0,0,0,0,0,2,2,3,1,3,1,6,6,1
1,195,132,1,3,3,6,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,5,1,4,1,4,1,3,1,2,1,1,1,3,1,1,1,3,2,1,1,2,1,4,1,4,1,5,1,3,2,2,2,4,1,3,2,2,2,1,1,4,5,5,5,2,5,2,,219,513,2,1,4,5,5,2,5,2,1,1,2,1,6,5,5,6,7
1,195,133,1,3,3,7,4,3,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,4,1,2,1,5,1,4,1,5,1,4,1,1,1,2,1,0,0,3,1,0,0,4,2,1,1,0,0,3,2,4,1,3,2,4,1,4,2,4,2,3,1,2,1,1,5,1,4,4,4,4,,219,513,3,1,5,2,5,3,4,3,3,1,5,1,4,4,1,5,1
1,195,134,1,1,4,6,3,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,1,2,1,5,1,4,2,4,1,2,2,1,1,3,1,3,1,3,1,3,1,3,2,2,3,4,1,3,1,4,2,3,2,3,2,3,2,3,2,2,3,2,1,2,5,5,5,2,5,5,,219,513,4,1,1,1,5,5,2,1,3,1,4,1,0,8,6,6,1
1,195,135,1,3,3,3,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,4,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,3,3,1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1,3,3,3,4,3,3,1,,219,513,5,1,4,4,3,2,4,3,1,2,2,2,7,1,6,0,9
1,195,136,1,3,4,6,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,2,1,1,5,1,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,4,1,3,1,3,1,2,1,2,1,4,1,2,1,1,1,2,1,4,1,3,4,4,2,4,,219,513,6,1,3,1,4,2,1,1,1,1,2,1,3,3,7,6,7
1,195,137,1,3,4,4,3,2,1,1,1,2,1,1,2,1,3,3,2,1,2,1,1,2,2,2,2,1,1,4,2,3,1,3,1,1,1,2,2,2,2,2,2,2,1,3,2,2,3,4,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,4,4,3,3,2,,219,513,7,1,4,4,4,3,2,3,2,1,3,1,4,0,2,5,3
1,195,138,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,1,1,3,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,,219,513,8,1,3,3,3,2,2,3,1,2,1,2,5,0,6,7,8
1,195,139,1,3,5,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,5,1,3,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,5,1,2,1,3,1,1,0,1,1,2,2,2,1,2,1,1,1,4,2,2,2,3,2,2,,219,513,9,1,3,4,2,2,2,4,1,1,2,1,8,0,7,7,8
1,195,140,1,3,5,7,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,1,1,5,1,5,3,1,2,1,1,1,2,3,3,1,2,2,2,2,2,2,2,5,1,1,1,4,1,2,2,1,1,1,2,3,2,3,1,1,2,0,0,0,0,0,0,0,,219,514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3
1,195,141,1,3,5,0,3,3,1,1,3,3,1,1,2,1,2,1,2,1,2,1,1,4,1,2,1,1,1,5,1,4,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,3,1,2,2,2,2,4,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,4,4,1,4,1,,219,514,1,1,2,2,4,4,2,1,1,2,2,2,1,2,1,6,4
1,195,142,1,3,5,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,2,3,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,4,1,2,2,3,2,2,2,2,2,3,2,2,2,1,1,1,1,4,2,2,2,4,2,2,,219,514,2,1,4,4,4,2,2,4,1,1,1,1,8,0,6,7,8
1,195,143,1,1,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,5,1,2,1,3,2,1,1,1,1,2,2,2,2,2,1,4,1,2,1,4,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,4,1,2,1,3,2,1,,219,514,3,1,5,4,2,2,1,4,2,1,2,1,9,4,7,7,4
1,195,144,1,3,5,7,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,4,1,3,1,2,1,1,1,1,1,2,1,2,2,3,1,2,2,2,1,3,1,2,2,4,1,2,2,2,1,3,1,4,1,2,2,1,2,4,3,1,2,4,2,2,,219,514,4,1,5,4,2,1,1,5,2,1,2,1,9,5,3,7,4
1,195,145,1,3,3,5,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,4,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,1,2,2,1,2,1,4,1,1,3,1,1,,219,514,5,1,2,2,4,3,2,3,1,2,3,1,4,4,7,4,7
1,195,146,1,2,4,6,3,2,3,2,3,2,1,2,2,1,2,2,2,1,2,2,3,2,1,1,2,2,1,4,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,5,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,4,2,3,2,3,4,1,,219,514,6,1,2,2,4,3,2,2,1,2,3,2,4,1,1,2,6
