CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,Q.26B..1,Q.26B..2,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42A.,Q.42B.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87A.,Q.87B.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.97.,Q.98.,Q.99.,Q.100.,Q.101.,Q.102.,V.104.,V.105.,V.106.,V.107.,V.108.,V.109.,V.110.
1,77,11,2,1,7,4,1,4,3,4,1,5,4,2,3,3,4,1,10,4,2,1,2,3,2,3,3,1,3,99,9,11,4,1,9,4,1,3,1,1,2,9,2,2,1,6,3,1,5,2,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,77,11,2,2,1,7,3,1,1,2,1,5,4,1,5,3,5,3,4,2,1,2,2,1,2,1,1,1,1,2,3,4,3,2,2,2,1,1,1,1,1,2,3,3,3,2,2,2,4,3,8,3,45,16
1,77,12,2,1,10,6,7,4,5,4,1,6,8,1,5,0,4,3,1,4,3,3,1,1,3,5,6,3,9,99,9,2,3,1,2,1,1,4,1,4,2,2,2,2,1,7,1,1,7,2,3,1,2,3,2,2,5,2,1,1,1,1,3,1,1,2,77,12,2,2,1,3,2,1,4,4,1,1,4,2,3,1,5,2,2,2,3,2,2,2,2,2,2,0,11,2,3,6,0,1,2,1,1,2,2,2,2,3,2,0,9,2,1,1,2,2,8,3,46,3
1,77,13,2,1,5,6,3,3,5,5,2,6,4,2,4,2,1,1,7,3,2,2,2,3,3,2,5,1,2,99,9,11,2,1,1,4,1,4,1,3,2,5,1,1,1,0,2,1,0,3,6,1,1,4,4,5,5,2,2,2,2,2,3,1,1,2,77,13,2,1,1,7,1,1,4,4,1,5,4,1,5,1,5,4,3,1,1,2,2,3,2,1,0,3,0,2,1,2,0,1,3,1,1,2,1,2,1,3,1,2,4,2,2,1,3,2,8,3,46,11
1,77,14,2,3,8,6,2,1,1,1,3,6,4,4,4,4,1,1,10,5,1,1,3,2,2,3,5,1,9,99,9,11,4,1,7,4,1,3,3,4,2,2,1,2,1,0,1,1,0,2,3,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,77,14,2,2,1,7,3,2,2,2,1,5,4,1,5,2,1,2,4,2,1,2,2,3,2,2,2,1,1,3,3,2,8,2,2,1,1,1,1,1,4,1,1,1,4,2,3,4,4,1,8,3,47,4
1,77,15,2,1,5,6,7,2,1,1,1,5,13,6,5,5,2,1,11,5,1,1,2,3,1,2,6,3,9,99,8,11,3,1,5,4,1,2,1,2,1,2,2,1,1,5,3,1,6,2,10,1,1,3,0,2,2,2,1,1,1,1,1,1,1,2,77,15,2,1,1,7,3,1,2,2,2,2,1,1,5,4,3,2,4,1,3,2,2,2,2,2,2,2,0,4,3,2,0,1,2,2,1,1,1,2,2,9,9,9,99,9,9,3,3,2,8,3,48,2
1,77,16,2,3,8,6,7,4,1,1,2,6,4,5,5,5,3,7,11,5,2,2,1,3,1,3,1,1,8,99,9,8,3,1,2,3,1,2,1,3,2,2,2,2,1,6,1,1,3,2,3,1,2,5,1,3,1,2,1,1,1,1,3,1,2,2,77,16,2,2,1,7,3,1,1,1,2,1,1,2,1,3,3,3,1,2,2,2,1,2,2,2,2,1,1,2,1,2,8,2,2,1,1,1,1,1,1,9,9,9,99,9,9,1,3,2,8,3,48,11
1,77,17,2,3,7,5,4,1,3,5,1,5,1,3,4,4,1,1,11,3,2,3,3,1,3,1,3,2,9,2,9,11,3,1,2,4,1,3,1,2,1,2,1,2,1,1,2,1,0,3,3,1,4,3,1,4,5,2,1,1,1,1,1,1,1,2,77,17,2,1,2,7,0,1,1,4,1,1,4,3,3,6,3,5,1,1,3,2,1,3,2,2,2,2,0,3,3,6,0,1,2,1,1,1,1,2,1,1,1,1,1,3,3,2,2,3,6,3,49,2
1,77,18,2,1,11,4,4,3,1,1,1,4,4,2,3,1,4,1,10,5,1,1,3,3,3,5,1,3,9,99,2,11,4,2,11,4,3,4,2,3,4,9,2,2,1,0,2,1,3,2,10,1,3,1,1,1,1,2,2,2,2,1,3,2,2,2,77,18,2,2,3,7,3,0,1,4,1,5,4,1,5,2,3,5,4,1,1,2,2,2,3,1,2,1,1,5,1,6,0,2,2,1,1,1,1,2,2,1,1,1,4,3,2,4,4,1,6,3,49,5
1,77,19,2,3,8,5,4,1,3,1,2,5,11,3,5,3,1,1,11,5,3,2,2,1,3,2,3,1,8,99,9,9,3,1,5,1,1,4,1,3,2,2,1,1,1,2,1,1,2,2,3,1,2,3,1,2,2,1,1,1,1,1,1,1,2,2,77,19,2,2,3,7,3,2,1,1,1,1,4,3,3,1,5,3,2,1,2,2,3,3,2,2,2,1,1,2,1,2,8,1,2,1,1,1,1,1,1,2,1,2,11,2,2,1,3,2,6,3,49,7
1,77,20,2,2,4,5,4,3,5,4,1,5,2,3,4,5,1,1,11,1,2,2,2,3,3,2,5,1,2,99,9,11,4,1,3,1,1,3,1,3,2,2,1,2,1,1,2,1,5,3,3,1,1,5,1,2,5,3,1,1,1,1,1,1,2,2,77,20,2,2,2,3,2,1,3,3,1,4,4,1,4,1,4,2,4,1,1,1,1,1,2,1,1,1,1,2,1,6,0,2,2,5,1,1,1,1,1,1,1,1,2,1,3,1,4,2,6,3,50,5
1,77,21,2,3,4,6,3,3,1,1,1,5,6,1,4,4,1,1,4,4,2,1,2,3,3,3,1,1,2,99,9,11,4,2,2,4,1,3,1,2,2,2,1,2,1,5,2,1,5,3,3,1,1,2,1,1,1,2,2,2,2,1,3,1,2,2,77,21,2,2,3,7,3,2,1,1,1,5,4,1,5,1,5,3,3,2,2,2,2,3,2,2,2,1,1,2,1,1,8,1,2,1,1,1,1,1,1,3,2,3,6,2,3,2,3,2,6,3,50,15
1,77,22,2,1,9,5,3,5,4,1,1,6,2,5,5,2,4,1,1,5,2,1,2,1,1,3,4,1,3,99,9,2,4,2,5,4,3,4,2,3,4,8,1,3,2,8,3,2,8,4,9,2,3,3,1,2,5,2,2,3,2,1,1,2,2,2,77,22,2,2,3,7,3,2,1,1,2,3,3,1,5,5,2,4,4,2,2,2,3,3,2,3,3,1,1,5,3,3,0,1,2,1,1,1,3,2,4,9,9,9,99,9,9,2,4,1,6,3,3,16
1,77,23,2,3,9,6,7,4,2,5,2,5,9,1,4,2,4,1,11,5,2,2,1,1,1,3,5,3,9,99,9,11,4,3,11,4,1,4,1,2,1,3,1,2,2,8,3,2,8,4,9,2,3,2,2,5,5,1,2,2,2,1,3,1,2,2,77,23,2,2,2,7,3,2,1,1,1,1,4,2,1,2,1,2,4,1,2,2,3,5,2,3,3,2,1,3,1,1,0,2,2,1,1,1,1,1,1,9,9,9,99,9,9,1,4,2,8,3,8,5
1,77,24,2,2,9,4,8,1,1,4,1,5,11,5,4,1,1,1,11,5,2,2,2,1,1,5,1,1,2,99,9,11,4,1,1,4,1,4,2,4,3,8,1,2,3,8,3,3,8,4,9,2,3,5,1,1,1,2,2,2,2,2,3,1,2,2,77,24,2,1,1,7,3,1,1,1,1,5,4,6,3,8,3,4,3,1,1,2,1,1,2,1,1,1,1,2,1,3,3,1,2,1,1,3,3,2,2,9,9,9,99,9,9,1,3,1,6,3,3,13
1,77,25,2,1,9,6,1,4,5,5,3,6,1,3,4,1,4,3,1,5,3,3,1,1,1,3,5,1,3,99,9,11,3,1,3,2,1,4,2,3,2,2,1,2,2,8,3,2,8,4,9,2,3,1,1,2,1,2,2,2,1,1,3,1,2,2,77,25,2,2,1,2,2,1,1,1,1,1,4,2,1,4,2,4,1,3,1,2,3,3,2,2,3,1,0,2,3,2,4,1,2,1,1,3,3,3,2,9,9,9,99,9,9,1,3,1,6,3,43,6
1,77,26,2,3,9,6,2,1,5,1,1,5,3,1,2,2,5,1,10,5,2,2,2,1,1,3,5,1,1,99,9,11,4,3,5,4,1,3,2,3,3,8,2,2,2,8,3,2,8,4,9,2,3,1,1,1,1,2,2,2,1,1,1,1,1,2,77,26,2,1,1,7,3,1,1,4,1,5,4,1,5,1,5,3,1,1,2,2,3,2,2,2,2,1,1,2,3,2,8,2,2,1,1,3,3,1,1,9,9,9,99,9,9,1,3,1,8,3,17,3
1,77,27,2,1,9,8,11,11,5,1,3,6,4,3,3,1,3,3,10,5,1,1,3,2,1,4,5,1,2,99,9,0,4,1,11,1,1,3,1,2,2,5,1,1,3,8,1,3,8,4,9,2,3,1,1,1,1,1,2,1,1,1,3,1,1,2,77,27,2,1,1,6,2,2,1,1,1,3,4,1,5,5,3,4,4,1,1,1,1,1,1,1,2,2,2,2,1,2,8,1,1,1,1,1,1,4,2,9,9,9,99,9,9,4,4,2,8,3,8,6
1,77,28,2,3,9,6,5,4,3,1,1,6,4,2,4,3,4,3,11,5,2,1,2,1,1,5,3,1,9,99,9,11,3,1,2,4,1,3,2,3,3,2,2,2,3,8,1,2,8,4,10,3,4,5,1,1,1,2,2,2,2,2,3,1,2,2,77,28,2,1,3,2,2,1,2,2,1,5,4,1,5,2,2,3,1,1,3,2,2,1,2,3,3,1,1,2,1,6,0,1,3,1,1,3,3,3,2,9,9,9,99,9,9,2,2,1,8,3,11,8
1,77,29,2,1,9,5,6,4,1,1,1,5,4,2,4,4,3,3,11,2,1,2,2,1,1,5,1,1,3,99,9,11,3,1,10,2,1,3,1,4,4,9,2,2,3,8,3,3,8,1,10,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,77,29,2,1,1,6,2,1,1,1,1,5,4,1,5,2,5,2,2,1,1,2,1,1,2,1,2,1,1,2,1,6,0,2,2,2,3,2,1,1,3,9,9,9,99,9,9,2,3,2,6,3,7,16
1,77,30,2,3,9,7,3,3,5,1,3,6,4,3,4,5,4,3,11,1,2,3,2,1,1,2,5,1,3,99,9,11,4,3,2,4,1,3,1,2,1,5,2,2,1,5,1,2,8,1,6,1,4,2,1,4,5,1,1,1,1,1,1,1,2,2,77,30,2,1,1,3,1,1,1,1,1,1,4,3,2,4,3,3,3,2,2,1,1,1,2,2,2,2,4,2,1,2,6,1,2,1,1,2,3,2,2,9,9,9,99,9,9,1,3,3,6,3,6,1
1,77,31,2,1,2,7,7,4,2,1,2,3,14,5,4,2,5,1,10,5,1,2,2,3,3,3,3,1,7,99,9,11,4,1,1,4,1,5,1,1,1,5,1,1,2,8,3,2,8,4,9,2,3,4,4,4,4,2,1,2,2,1,1,1,1,2,77,31,2,1,3,7,3,1,1,1,1,1,4,1,2,5,3,2,3,1,2,2,2,2,1,2,2,1,1,2,3,3,3,2,2,1,1,1,1,2,3,1,3,1,4,1,3,2,3,5,2,3,1,1
1,77,32,2,3,9,5,2,1,5,1,2,6,4,3,4,2,4,3,4,5,2,1,2,1,1,5,5,1,8,99,9,9,4,3,8,1,1,4,0,3,3,8,1,3,3,8,3,3,8,4,9,2,3,3,2,2,5,0,3,3,3,1,1,1,2,2,77,32,2,2,1,6,2,1,1,1,1,5,4,1,5,6,2,3,3,1,2,2,1,1,2,3,3,1,2,3,1,1,0,2,2,1,1,1,1,2,2,9,9,9,99,9,9,2,3,1,8,3,52,3
1,77,33,2,2,9,6,6,3,4,1,2,6,4,1,4,2,4,1,11,4,2,2,2,1,1,5,4,1,2,99,9,11,4,2,11,4,2,4,1,4,4,2,2,2,3,8,3,3,8,4,9,2,3,5,1,1,5,2,2,3,1,1,1,1,2,2,77,33,2,2,2,2,2,2,1,1,1,5,4,1,5,1,5,4,4,1,2,2,3,5,2,3,3,1,1,5,3,6,0,2,2,4,2,3,3,4,4,9,9,9,99,9,9,1,4,2,8,3,8,3
1,77,34,2,1,9,4,7,3,2,2,1,3,4,1,1,1,5,1,11,5,1,2,3,1,1,2,4,1,1,99,9,11,4,1,11,4,1,4,3,4,2,9,2,2,3,8,2,3,8,4,9,2,1,5,1,5,5,2,3,1,1,1,3,1,1,2,77,34,2,1,1,7,3,1,1,1,1,5,4,3,3,3,3,5,4,1,2,2,1,2,2,1,1,1,1,2,1,1,8,3,2,1,1,1,1,1,1,9,9,9,99,9,9,3,4,1,8,3,47,1
1,77,35,2,1,9,4,4,5,2,3,1,6,2,1,3,2,4,3,11,5,2,2,3,1,1,4,6,3,9,99,9,11,3,1,11,4,3,4,1,2,4,9,3,3,3,8,0,3,8,4,9,2,4,5,3,1,1,2,2,3,2,1,1,1,2,2,77,35,2,2,3,3,2,1,1,1,1,5,4,1,5,1,5,1,4,1,2,2,3,1,2,3,3,0,0,3,1,6,0,2,2,5,2,1,1,2,4,9,9,9,99,9,9,2,4,2,8,3,8,15
1,77,36,2,1,9,4,7,3,5,4,2,2,9,1,3,2,5,1,10,2,2,2,1,1,1,4,5,1,2,99,9,11,4,1,2,1,1,4,2,4,3,8,1,3,3,8,3,2,8,4,9,2,3,1,1,1,1,1,2,3,2,2,3,1,1,2,77,36,2,2,2,3,1,1,1,1,1,5,4,1,5,2,3,4,2,1,1,2,1,2,2,2,3,1,1,2,3,2,8,2,2,1,1,3,3,1,1,9,9,9,99,9,9,1,3,1,8,3,8,13
1,77,37,2,2,9,4,4,3,1,1,1,5,6,4,4,2,1,1,2,4,2,2,2,1,1,5,1,1,4,99,9,10,4,1,9,4,1,4,2,3,3,9,1,1,3,8,3,3,8,4,9,3,3,3,1,1,1,2,2,2,1,1,1,1,2,2,77,37,2,2,3,7,3,1,1,1,1,5,4,3,3,5,3,3,1,1,1,2,1,1,2,1,1,1,1,1,1,2,0,2,2,5,1,2,2,3,4,9,9,9,99,9,9,1,3,1,6,3,16,5
1,77,38,2,3,9,4,8,5,1,1,1,6,4,2,3,5,3,2,11,5,2,1,2,1,1,3,2,3,9,99,9,11,4,3,11,0,1,4,1,2,2,5,3,3,2,8,3,3,8,0,1,3,1,5,3,5,5,1,3,2,3,1,3,1,2,2,77,38,2,2,1,7,3,1,4,4,1,5,4,1,4,1,4,5,4,1,2,1,1,1,1,1,1,2,11,4,3,6,0,2,2,1,1,1,1,1,1,4,1,1,9,1,3,2,4,2,6,3,39,7
1,77,39,2,2,9,6,3,4,4,4,1,6,4,4,5,3,3,3,11,4,1,2,3,3,1,4,1,1,2,99,9,9,3,2,2,4,3,4,3,4,2,2,1,1,3,8,1,2,8,2,3,1,2,2,1,1,1,3,2,3,2,1,1,1,2,2,77,39,2,2,1,7,3,2,1,1,2,2,1,1,2,5,2,3,3,1,1,1,2,2,2,2,2,2,4,3,3,2,0,1,2,1,1,2,1,2,4,9,9,9,99,9,9,3,3,1,2,3,1,19
1,77,40,2,3,9,4,7,4,3,4,2,5,9,3,3,0,5,1,11,3,3,3,2,1,1,5,3,1,2,99,9,4,3,1,2,4,1,4,1,2,2,4,1,2,2,8,2,2,8,3,2,1,1,5,1,2,5,3,2,1,1,1,1,1,1,2,77,40,2,1,1,7,3,1,4,4,1,5,4,1,5,1,3,5,1,1,3,2,1,1,2,1,1,1,1,1,1,6,6,1,2,1,1,2,1,2,1,9,9,9,99,9,9,1,2,2,9,3,30,6
1,77,41,2,3,9,7,5,6,4,4,2,5,9,3,5,1,4,3,1,5,2,3,3,1,1,5,4,1,2,99,9,11,4,1,1,1,1,4,2,3,3,8,1,2,2,8,1,2,8,4,9,2,3,5,1,1,1,2,2,3,3,1,3,1,2,2,77,41,2,2,2,7,3,2,1,4,2,2,2,6,2,1,5,5,1,1,1,1,3,4,1,3,3,3,4,2,1,3,3,1,2,2,1,2,3,3,4,9,9,9,99,9,9,2,3,1,2,3,1,22
1,77,42,2,1,9,5,7,4,4,4,2,5,9,1,4,4,4,1,1,5,1,1,3,1,1,3,4,1,2,99,9,2,4,2,5,4,1,4,2,2,3,8,2,1,2,8,3,2,8,4,9,2,3,2,1,1,1,1,2,3,1,1,1,1,2,2,77,42,2,2,2,7,2,2,1,1,1,5,4,2,3,2,3,3,4,1,2,2,2,1,2,2,1,1,1,2,1,6,0,1,2,1,1,1,3,2,2,9,9,9,99,9,9,4,4,1,8,3,36,10
1,77,43,2,1,9,3,6,2,5,4,2,6,4,2,3,2,2,3,10,5,2,2,3,1,1,3,5,1,1,99,9,2,4,2,5,1,1,4,2,3,2,2,1,2,2,8,3,2,8,4,9,2,1,2,1,1,1,2,2,2,3,1,1,1,2,2,77,43,2,2,1,4,2,1,1,1,1,5,4,1,5,3,3,3,4,1,3,2,1,2,2,1,3,1,1,5,2,2,0,1,3,1,1,1,1,2,2,9,9,9,99,9,9,2,3,1,8,3,31,3
1,77,44,2,3,9,6,9,3,5,5,2,5,9,2,4,2,4,1,10,3,2,2,3,2,1,3,5,1,3,99,9,11,4,2,11,4,2,4,2,4,3,8,2,2,2,8,3,2,8,4,9,2,3,1,1,1,1,2,2,2,3,1,1,1,2,2,77,44,2,2,2,3,2,2,1,4,1,5,4,1,5,3,3,3,3,1,2,2,1,1,2,2,2,1,1,2,1,1,8,1,1,5,1,1,1,1,2,9,9,9,99,9,9,2,3,1,8,3,18,2
1,77,45,2,1,8,4,5,8,3,1,2,7,1,1,5,5,1,1,7,3,2,2,1,1,1,4,1,1,3,99,9,11,2,1,1,1,1,4,1,4,2,2,2,2,2,8,3,2,8,3,3,1,1,4,3,1,1,3,1,1,1,2,3,1,2,2,77,45,2,2,2,3,2,2,4,4,1,5,4,1,5,1,5,5,1,1,1,2,1,1,2,1,1,1,1,2,1,6,0,2,2,1,1,1,1,1,1,9,9,9,99,9,9,1,3,2,8,3,27,4
1,77,46,2,1,8,4,3,5,2,1,1,5,3,2,5,1,5,3,10,1,2,2,1,1,1,5,3,1,1,99,9,11,4,3,11,4,3,4,2,3,3,8,1,2,2,8,3,3,8,4,9,2,3,2,3,5,5,2,2,3,3,1,3,1,2,2,77,46,2,2,3,3,2,1,1,1,1,5,4,1,5,2,3,4,1,1,1,1,3,4,2,3,3,1,0,4,3,1,8,3,2,1,1,1,3,3,3,9,9,9,99,9,9,1,3,1,9,3,30,3
1,77,47,2,1,8,1,7,4,1,4,1,3,4,1,4,4,1,1,1,1,1,2,2,1,1,3,1,3,9,99,2,2,3,1,11,4,3,4,3,4,4,9,2,2,2,8,3,3,8,4,9,2,3,2,3,1,5,2,2,2,3,1,1,1,1,2,77,47,2,1,1,7,3,1,3,3,1,4,4,1,4,1,4,5,3,2,1,2,3,3,2,3,3,1,1,2,1,6,0,1,2,1,1,1,1,2,2,9,9,9,99,9,9,2,3,1,6,3,7,9
1,77,48,2,2,8,4,7,1,2,2,1,5,1,5,4,2,5,1,11,5,3,2,1,1,1,3,4,3,9,99,9,11,1,3,11,0,3,4,3,4,2,0,2,2,3,8,0,3,8,3,10,0,4,2,1,1,1,1,2,3,1,2,3,2,2,2,77,48,2,2,3,1,2,2,2,4,2,3,2,1,5,3,3,3,1,4,2,2,3,1,3,2,3,3,0,5,1,3,0,2,2,1,1,2,2,5,5,9,9,9,99,9,9,1,2,1,6,3,6,13
1,77,49,2,3,8,3,2,3,5,1,1,5,1,2,4,1,4,1,10,5,2,1,3,1,1,4,6,1,9,99,9,11,4,3,0,4,3,4,2,4,4,0,3,2,2,8,3,2,8,4,9,2,3,2,1,5,5,3,3,3,3,2,3,1,2,2,77,49,2,2,3,2,2,2,1,1,1,5,4,1,5,1,5,3,4,1,2,1,2,1,2,3,2,1,1,2,3,1,0,2,2,2,3,1,3,1,1,9,9,9,99,9,9,3,4,1,8,3,8,17
1,77,50,2,1,8,5,2,1,4,1,1,6,1,5,5,1,5,1,11,4,2,2,2,1,1,4,5,2,9,5,9,11,4,1,5,1,1,4,1,4,4,9,1,2,3,8,0,2,8,0,10,0,4,5,3,2,2,1,1,1,1,1,3,1,1,2,77,50,2,2,1,3,2,1,1,1,1,5,4,1,3,3,3,3,1,1,1,2,2,1,2,1,2,3,3,2,1,1,8,1,2,2,2,1,1,2,2,9,9,9,99,9,9,1,3,2,8,3,26,6
1,77,51,2,1,8,6,4,3,5,1,1,4,11,4,4,5,1,1,11,5,3,3,2,1,3,5,5,1,1,99,9,11,4,1,11,2,1,4,3,4,4,5,2,2,3,8,3,3,8,2,5,1,4,5,2,1,5,2,3,2,2,1,1,1,2,2,77,51,2,2,2,7,2,1,1,4,1,1,4,2,2,4,1,3,1,2,2,2,2,3,2,3,3,0,11,2,3,6,0,1,0,2,1,3,3,3,1,4,3,0,9,3,5,1,3,1,8,3,46,12
