,CARD,DECK,BALLOT,S175.Q1,S175.Q2,S175.Q3,S175.Q4,S175.Q5,S175.Q6,S175.Q7.n,S175.Q8,S175.Q9,S175.Q10,S175.Q11,S175.Q12,S175.Q13,S175.Q14,S175.Q15,S175.Q16.n,S175.Q17,S175.Q18,S175.Q19,S175.Q20,S175.Q21,S175.Q22,S175.Q23,S175.Q24,S175.Q25,S175.Q26,S175.Q27,S175.Q28.n,S175.Q29,S175.Q30A,S175.Q30B,S175.Q30C,S175.Q30D,S175.Q30E,S175.Q30F,S175.Q30G,S175.Q30H,S175.Q30I,S175.Q30J,S175.Q31.n,S175.Q32,S175.Q33,S175.Q34,S175.Q35,S175.Q36,S175.Q37,S175.Q38,S175.Q39,S175.Q40,S175.Q41,S175.Q42A,S175.Q42B,S175.Q42C,S175.Q42D,S175.Q42E,S175.Q42F,S175.Q42G,S175.Q42H,S175.Q42I,S175.Q42J,S175.Q42K,S175.Q42L,S175.Q43.n,S175.Q44,S175.Q45,S175.Q46,S175.Q47.n,S175.V48,S175.V49,S175.V50
10,1.0,175.0,11.0,1.0,3.0,4.0,1.0,1.0,3.0,,1.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,,3.0,4.0,4.0,,2.0,2.0,95.0
11,1.0,175.0,12.0,1.0,9.0,4.0,3.0,1.0,4.0,,1.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,,1.0,2.0,2.0,,0.0,5.0,43.0
12,1.0,175.0,13.0,1.0,9.0,2.0,9.0,1.0,1.0,,1.0,4.0,5.0,3.0,4.0,3.0,2.0,0.0,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,,2.0,1.0,2.0,,0.0,5.0,70.0
13,1.0,175.0,14.0,2.0,10.0,3.0,7.0,1.0,4.0,,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,,2.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,,2.0,3.0,2.0,,3.0,2.0,88.0
14,1.0,175.0,15.0,2.0,7.0,5.0,6.0,1.0,2.0,,1.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,5.0,1.0,6.0,3.0,1.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,,1.0,4.0,2.0,,2.0,3.0,4.0
15,1.0,175.0,16.0,3.0,10.0,4.0,7.0,2.0,2.0,,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,,5.0,5.0,3.0,,2.0,3.0,34.0
16,1.0,175.0,17.0,3.0,7.0,5.0,7.0,1.0,2.0,,1.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,,4.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,,1.0,2.0,2.0,,0.0,6.0,42.0
17,1.0,175.0,18.0,2.0,11.0,4.0,7.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,,1.0,2.0,2.0,,0.0,6.0,35.0
18,1.0,175.0,19.0,3.0,10.0,4.0,7.0,1.0,2.0,,1.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,3.0,1.0,4.0,1.0,3.0,1.0,6.0,0.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,,2.0,4.0,3.0,,0.0,6.0,64.0
19,1.0,175.0,20.0,4.0,11.0,4.0,7.0,2.0,1.0,,1.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,,2.0,2.0,1.0,,0.0,6.0,88.0
20,1.0,175.0,21.0,1.0,7.0,2.0,4.0,1.0,4.0,,1.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,,1.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,5.0,,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,3.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,5.0,5.0,5.0,,2.0,2.0,104.0
21,1.0,175.0,22.0,3.0,10.0,5.0,7.0,2.0,4.0,,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,2.0,1.0,5.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,,2.0,4.0,3.0,,2.0,3.0,9.0
22,1.0,175.0,23.0,1.0,5.0,5.0,5.0,1.0,2.0,,1.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,3.0,1.0,3.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,,2.0,5.0,3.0,,2.0,3.0,7.0
23,1.0,175.0,24.0,4.0,11.0,5.0,4.0,1.0,1.0,,1.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,5.0,2.0,4.0,2.0,7.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,,2.0,2.0,2.0,,0.0,8.0,32.0
24,1.0,175.0,25.0,3.0,11.0,3.0,7.0,1.0,3.0,,1.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,,5.0,5.0,5.0,,0.0,7.0,5.0
25,1.0,175.0,26.0,1.0,5.0,3.0,5.0,1.0,3.0,,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,,4.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,3.0,2.0,2.0,2.0,7.0,4.0,1.0,3.0,1.0,2.0,0.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,,2.0,2.0,2.0,,0.0,7.0,80.0
26,1.0,175.0,27.0,3.0,9.0,3.0,4.0,1.0,2.0,,1.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,,1.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,2.0,3.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,,2.0,5.0,2.0,,0.0,7.0,18.0
27,1.0,175.0,28.0,4.0,10.0,4.0,9.0,1.0,1.0,,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,,2.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,,2.0,2.0,2.0,,0.0,6.0,75.0
28,1.0,175.0,29.0,4.0,9.0,4.0,2.0,1.0,4.0,,1.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,,3.0,3.0,3.0,,0.0,6.0,87.0
29,1.0,175.0,30.0,2.0,10.0,2.0,7.0,1.0,2.0,,1.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,3.0,1.0,3.0,2.0,7.0,4.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,,3.0,3.0,4.0,,0.0,6.0,36.0
30,1.0,175.0,31.0,3.0,9.0,5.0,4.0,1.0,1.0,,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,,3.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,,3.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,,2.0,3.0,1.0,,0.0,8.0,8.0
31,1.0,175.0,32.0,2.0,6.0,3.0,7.0,1.0,4.0,,1.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,,0.0,5.0,4.0,,0.0,6.0,38.0
32,1.0,175.0,33.0,4.0,9.0,3.0,7.0,1.0,4.0,,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,,2.0,3.0,3.0,,2.0,3.0,61.0
33,1.0,175.0,34.0,2.0,9.0,3.0,6.0,1.0,4.0,,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,,1.0,2.0,2.0,,2.0,3.0,59.0
34,1.0,175.0,35.0,1.0,11.0,3.0,7.0,1.0,1.0,,1.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,4.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,1.0,4.0,1.0,3.0,3.0,6.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,,1.0,4.0,2.0,,2.0,1.0,49.0
35,1.0,175.0,36.0,4.0,7.0,5.0,3.0,0.0,0.0,,1.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,,3.0,2.0,2.0,2.0,2.0,2.0,7.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,,2.0,2.0,3.0,,1.0,4.0,48.0
36,1.0,175.0,37.0,1.0,10.0,4.0,5.0,1.0,3.0,,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,,4.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,5.0,1.0,4.0,2.0,7.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,,2.0,5.0,4.0,,1.0,4.0,38.0
37,1.0,175.0,38.0,0.0,10.0,4.0,7.0,0.0,4.0,,1.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,,2.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,,1.0,2.0,3.0,,0.0,5.0,56.0
38,1.0,175.0,39.0,3.0,10.0,4.0,7.0,1.0,2.0,,1.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,3.0,,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,,1.0,3.0,2.0,,0.0,5.0,28.0
39,1.0,175.0,40.0,1.0,5.0,4.0,6.0,1.0,3.0,,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,5.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,,1.0,2.0,5.0,2.0,4.0,2.0,7.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,,1.0,4.0,2.0,,0.0,7.0,2.0
40,1.0,175.0,41.0,2.0,7.0,4.0,7.0,1.0,1.0,,1.0,3.0,5.0,3.0,3.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,,2.0,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,,2.0,2.0,3.0,,0.0,5.0,12.0
41,1.0,175.0,42.0,2.0,5.0,4.0,4.0,1.0,2.0,,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,5.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,3.0,1.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,,2.0,2.0,2.0,,0.0,5.0,67.0
42,1.0,175.0,43.0,3.0,3.0,2.0,1.0,1.0,4.0,,1.0,5.0,5.0,3.0,3.0,2.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,4.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,1.0,1.0,1.0,,0.0,5.0,75.0
43,1.0,175.0,44.0,1.0,11.0,3.0,5.0,1.0,1.0,,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,3.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,3.0,2.0,4.0,,0.0,5.0,14.0
44,1.0,175.0,45.0,3.0,7.0,5.0,5.0,1.0,4.0,,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,,2.0,5.0,2.0,3.0,3.0,1.0,4.0,3.0,0.0,4.0,4.0,,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,,4.0,2.0,5.0,2.0,4.0,2.0,7.0,4.0,2.0,0.0,3.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,,3.0,4.0,3.0,,0.0,7.0,78.0
45,1.0,175.0,46.0,1.0,6.0,3.0,8.0,1.0,4.0,,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,3.0,2.0,3.0,2.0,3.0,3.0,6.0,0.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,,4.0,3.0,5.0,,0.0,7.0,77.0
